0.123242-5.55112e-17j 0.0415841-0.0063777j 0.0786997+0.183621j -0.0866278-0.0949473j -0.151739-0.0151935j -0.0906403-0.21758j 0.0892655-0.11402j 0.103306+0.142136j -0.0661343-0.141575j -0.08541-0.160205j -0.0456435-0.00587113j -0.0369436-0.0644225j -0.108743-0.0189356j -0.0526541-0.0218956j -0.0530854+0.000896849j 0.0481805+0.0360372j 0.0880689+0.069146j -0.0104819+0.00919076j -0.0104783+0.0159053j 0.0854879-0.0427509j 0.028038+0.0146315j 0.0221205-0.0891255j 0.0685808+0.000573772j -0.0429277-0.040382j 0.0536523+0.0979596j 0.0664662+0.0541172j 0.07215-0.0308117j 0.11912+0.144997j -0.116778+0.258635j 0.00219481+0.0543274j 0.0074105+0.106319j -0.139755-0.0512799j 0.0427716+0.0946911j 0.0884779+0.285759j 
0.0415841+0.0063777j -0.207122+2.498e-16j 0.0703502+0.0392728j -0.138074+0.0417035j 0.0215159-0.101598j -0.287214+0.147979j 0.143759+0.0775105j -0.0226765-0.114633j -0.0145311-0.0127257j -0.0665758+0.0275284j 0.0365497-0.018591j -0.154654+0.0695821j 0.0203294-0.0111971j -0.0634856+0.106423j 0.0227651-0.0750298j -0.0838729+0.0542751j 0.10847+0.0777341j -0.0184813-0.0790713j -0.0419037+0.05957j -0.0320563+0.0855635j 0.0518777+0.0189959j -0.0113941+0.0615321j -0.00794343-0.0178192j -0.0180751+0.0840609j 0.0941548-0.0973276j 0.0430229+0.0408647j -0.0167441-0.116268j 0.0257024-0.119j 0.0720936+0.0173147j 0.144076-0.0883985j 0.0918145-0.136621j -0.198229+0.119498j 0.100136+0.26797j -0.0149305-0.0710917j 
0.0786997-0.183621j 0.0703502-0.0392728j -0.349266+1.31839e-16j -0.0565821-0.00355327j 0.0925799+0.12309j -0.32129+0.163811j -0.36805+0.429645j -0.0396858-0.0261993j 0.104831-0.0146901j -0.0109672+0.00750882j -0.0971367+0.0267746j -0.0482604+0.0416751j -0.0070383-0.069004j -0.0403723+0.0501871j 0.00051664-0.0310371j -0.00144816-0.038844j -0.0966722+0.0372332j -0.00654155-0.011413j -0.0306274-0.0522237j -0.0129598+0.000327418j -0.0174443+0.0192776j 0.0598754-0.0488551j 0.0361193-0.0149286j -0.11171+0.00496514j -0.00361098-0.0229172j -0.0200788-0.0171079j 0.0644651+0.00802771j -0.0474898+0.0437638j -0.068512+0.00857527j 0.0488816-0.0352395j 0.0287109-0.0752397j 0.0658266-0.0200667j -0.111963-0.0219726j 0.0221253-0.029635j 
-0.0866278+0.0949473j -0.138074-0.0417035j -0.0565821+0.00355327j -0.182903-6.14855e-14j -0.0465239-0.174467j -0.21992+0.0590807j 0.0969795-0.0354685j 0.0984321+0.0349576j -0.00934817-0.0337602j -0.0258637-0.0681067j -0.0540424-0.0188538j -0.0349964+0.0201936j -0.0218574+0.00641804j 0.0171448-0.0505017j -0.0858659+0.00813919j -0.00678063+0.0384681j 0.0264564-0.0115882j 0.00261269+0.0193752j -0.00677185-0.0149487j 0.0231618-0.043202j -0.0460577+0.0117993j 0.0172718-0.0113697j -0.00867482+0.0572387j 0.0214396+0.0335105j 0.0316758+0.0262715j -0.00609162+0.0524545j 0.0333398+0.0239511j -0.00725525+0.121311j -0.0263349+0.0427717j -0.0402449+0.0201167j -0.00863+0.0255824j 0.0275124-0.0617299j 0.0307647-0.0754388j 0.0381133+0.0785299j 
-0.151739+0.0151935j 0.0215159+0.101598j 0.0925799-0.12309j -0.0465239+0.174467j 0.144261+1.7486e-15j -0.0652726+0.403773j 0.143512+0.144918j 0.107393-0.154387j -0.0239123-0.022523j 0.0150976-0.0445801j 0.0805096+0.0271156j -0.000751771+0.0222456j -0.0729828-0.0440001j 0.0828822-0.0732034j -0.0414402+0.0340712j -0.015797+0.0274605j 0.0641433+0.0147563j -0.00959766+0.00436949j 0.0248897-0.0761415j 0.00830869-0.00835857j 0.0801928-0.0370383j -0.0325321+0.00244718j -0.0163785+0.062685j 0.0101033-0.0451159j -0.0322071+0.0456888j 0.00874302+0.0300614j 0.0484286-0.0246645j 0.00907771+0.170787j 0.000631431+0.0651564j -0.0348174+0.0701396j -0.0131461-0.0328272j 0.0924112-0.143136j 0.0376706-0.148673j 0.0747295+0.0800799j 
-0.0906403+0.21758j -0.287214-0.147979j -0.32129-0.163811j -0.21992-0.0590807j -0.0652726-0.403773j -0.278026+4.16334e-17j 0.0459044-0.197002j 0.0302517+0.0745121j -0.012545-0.0215743j -0.0571801-0.0414598j -0.0762734-0.0882837j 0.0267004+0.0293041j 0.0446456+0.0579289j 0.0648942-0.112635j -0.110309+0.00582123j -0.0516523+0.00669426j 0.0112935-0.0926308j -0.0603381+0.0124289j -0.0101006+0.0375648j -0.00269157-0.00951298j 0.0143911-0.0553405j -0.0313291-0.0603515j -0.0337351+0.0382329j 0.0436779-0.0589383j -0.0215373-0.00406864j -0.0251296+0.0549254j -0.0436114+0.0223506j -0.039239+0.00434923j 0.0650973-0.0333028j -0.0420772-0.0119674j -0.0353941+0.0460033j 0.0961085-0.0823005j 0.0599191-0.114923j -0.0129394-0.00536103j 
0.0892655+0.11402j 0.143759-0.0775105j -0.36805-0.429645j 0.0969795+0.0354685j 0.143512-0.144918j 0.0459044+0.197002j -0.113679-4.74338e-17j -0.198734-0.170284j -0.0138035-0.036899j -0.064542-0.0622591j 0.0209725-0.0526474j -0.0108955+0.0287793j -0.0418377+0.0213673j -0.0529871-0.00285202j 0.136306-0.0300631j 0.0472478-0.0161747j 0.0502363+0.0970947j -0.0523197-0.0526453j -0.0811911-0.024239j 0.0516048+0.074821j -0.0212176-0.0181112j 0.0753881+0.053219j 0.051343-0.0275636j -0.0249019+0.00751895j -0.0163783+0.0307994j 0.067548-0.0146706j 0.0340508-0.0661678j 0.0693397+0.0341173j -0.0797554+0.071001j 0.0409881+0.0585944j 0.0191753-0.0480599j -0.150672+0.0594737j -0.0230156+0.114387j -0.00471464+0.0834652j 
0.103306-0.142136j -0.0226765+0.114633j -0.0396858+0.0261993j 0.0984321-0.0349576j 0.107393+0.154387j 0.0302517-0.0745121j -0.198734+0.170284j -0.213833-9.02056e-17j -0.16617+0.0124942j -0.064875-0.0984738j 0.168499-0.00335213j 0.0625302-0.0525484j 0.237314-0.194666j 0.188306-0.102166j -0.0446472+0.059394j 0.0465357-0.0190848j 0.294616-0.11926j -0.024879+0.000492068j -0.0390529+0.0214221j 0.0383519-0.0885445j 0.00681896-0.0426071j 0.0250197+0.0127868j -0.0397903+0.0422912j 0.0447158-0.0651981j -0.00904303+0.0730933j -0.040346+0.0861119j -0.133834-0.0442043j 0.0226848+0.0674694j 0.204765+0.0593819j 0.0239145+0.0758618j -0.0559263+0.0722982j 0.0376229-0.183317j 0.236146-0.0668758j 0.0465746+0.10017j 
-0.0661343+0.141575j -0.0145311+0.0127257j 0.104831+0.0146901j -0.00934817+0.0337602j -0.0239123+0.022523j -0.012545+0.0215743j -0.0138035+0.036899j -0.16617-0.0124942j -0.0180827+4.30211e-16j -0.0344284-0.254922j -0.0986626+0.10779j -0.186864-0.0456961j -0.106042-0.170251j -0.113196-0.111469j 0.0597618-0.0990509j 0.0330763+0.152616j 0.122369-0.00122463j 0.032434+0.0355873j -0.00698274+0.0164075j 0.0193017-0.0754362j -0.0322847-0.120986j 0.0194005+0.0148488j 0.0754216+0.107502j -0.0534948-0.0790334j 0.0324026+0.0923685j 0.0997891+0.0625148j -0.0974942+0.0847643j -0.0471815+0.11281j -0.018197+0.0143585j 0.0167461-0.00476794j 0.00228488+0.0259834j -0.129681-0.0128835j 0.0807384-0.0204935j -0.0416468+0.200673j 
-0.08541+0.160205j -0.0665758-0.0275284j -0.0109672-0.00750882j -0.0258637+0.0681067j 0.0150976+0.0445801j -0.0571801+0.0414598j -0.064542+0.0622591j -0.064875+0.0984738j -0.0344284+0.254922j 0.0853692+2.77556e-17j -0.0631405+0.146684j -0.0612458-0.123832j 0.0703883-0.147864j -0.0773555-0.0702227j 0.150203-0.13893j -0.0967766+0.110047j 0.0347675-0.160375j -0.0498789-0.0831818j 0.0276295+0.0780814j -0.0156009+0.109396j 0.00702898+0.00411086j 0.0670456+0.0752342j -0.0357134+0.0212755j 0.0287012-0.0240305j -0.036339-0.0394553j 0.00877705+0.0422733j -0.0553635+0.0302695j -0.0165971-0.0175762j 0.00970945-0.0299638j 0.0495269-0.033545j 0.00856173-0.00972423j -0.150159+0.0659476j 0.000448365+0.0877568j -0.0944233-0.00494393j 
-0.0456435+0.00587113j 0.0365497+0.018591j -0.0971367-0.0267746j -0.0540424+0.0188538j 0.0805096-0.0271156j -0.0762734+0.0882837j 0.0209725+0.0526474j 0.168499+0.00335213j -0.0986626-0.10779j -0.0631405-0.146684j 0.0966708-9.99201e-16j 0.289759-0.0454144j 0.0562403-0.0448951j 0.25843-0.309766j -0.233093+0.238078j 0.111692-0.0672315j -0.00690765-0.0967293j 0.0130729+0.0671039j 0.109185-0.0455049j 0.0791286-0.111881j -0.0256975-0.00778746j -0.0209432+0.00453664j 0.00201249-0.00611437j 0.0152701+0.0357122j -0.0529665+0.0335976j 0.000634417-0.100492j -0.11986+0.0643582j 0.0584508-0.127152j -0.13955+0.0257499j -0.0722903+0.083515j -0.0283246+0.115764j -0.168368+0.247721j -0.112747+0.191107j -0.0770449-0.0403663j 
