-0.368925+8.32667e-17j -0.0437609-0.419424j 0.227846+0.0285266j -0.0882687+0.0466712j 0.0208866-0.153602j -0.0438963-0.117445j 0.175739+0.0371131j -0.0208036+0.0423249j 0.0806944-0.0182828j 0.0453297+0.0761589j -0.0473376+0.0381805j -0.0686267-0.0756709j -0.0139606-0.0166902j 0.0236561-0.0705631j -0.0648571+0.0115428j 0.0254925-0.0889468j 0.0198715+0.0117312j 0.058337-0.0344906j -0.00786345-0.00871439j 3.61676e-05-0.0563447j -0.0244933+0.0378884j 0.00781351+0.0279312j 0.0133885+0.0161275j 0.0472612+0.0678159j 0.0154712+0.0137118j 0.0221989+0.0552214j -0.028898+0.0154367j -0.0411929-0.0171111j -0.0871815-0.0274791j 0.00390891-0.140975j 0.0948485-0.0383007j 0.0267015-0.0601974j -0.0318149+0.12262j 0.0365723-0.0169268j 0.0475996+0.0624846j -0.0601206-0.203854j 
-0.0437609+0.419424j -0.467958-1.11022e-16j -0.0595864-0.231891j 0.0788729-0.107337j -0.0279645+0.0609847j 0.0858542-0.0147827j 0.0365063+0.00588293j 0.0194681+0.0147819j 0.00726783-0.0309985j 0.0652466-0.0014569j 0.0876479-0.0236436j 0.0118387-0.0157829j -0.0265321-0.0356597j -0.0169378+0.0327775j -0.0240526+0.00501226j -0.0161317+0.0313766j 0.0249923-0.0368954j 0.0161961-0.00137177j -0.0193303+0.0302798j 0.00868658+0.0187167j 0.0230931+0.00191173j -0.0173654-0.00111074j -0.0545849+0.00190858j 0.0427747-0.0418812j -0.0303492-0.0378038j 0.0177118+0.00917329j 0.00605974+0.0304571j -0.0216245-0.0138789j 0.0103619-0.0178115j -0.0160938+0.0266947j 0.0440886-0.0249962j -0.048031+0.0292767j 0.0469623-0.052559j -0.00911013+0.0118149j 0.0144307+0.0473555j -0.036765+0.0365375j 
0.227846-0.0285266j -0.0595864+0.231891j -0.120228-1.66533e-16j -0.137243-0.160585j -0.000235122-0.214773j 0.0137121-0.127978j 0.199447+0.139834j -0.110606-0.0420391j -0.0280296+0.0235028j 0.0745526+0.0499934j -0.0312128-0.00866014j -0.027233-0.0800104j -0.0397422+0.0635088j -0.0302336+0.0318355j -0.0717312-0.0114964j 0.0354269-0.0958271j -0.0166823+0.0262625j 0.0864985-0.0689727j -0.0181934-0.0696935j 0.0289456+0.0176825j 0.00610456-0.011514j 0.0579433+0.0187477j -0.0143754+0.0663703j 0.0461082+0.0488721j 0.0170602+0.0502811j 0.0300762+0.155393j 0.00854662+0.0152207j -0.00750109-0.0142324j -0.0391058-0.13679j -0.0604194-0.102112j 0.0314757+0.0123063j 0.053809-0.143147j -0.0616145+0.11189j 0.0548774+0.0382578j 0.0920791-0.0244653j -0.0828049-0.335074j 
-0.0882687-0.0466712j 0.0788729+0.107337j -0.137243+0.160585j -0.271642-0j -0.198469+0.131314j 0.088215-0.0720042j 0.13339-0.134884j 0.0601771-0.0436224j -0.00525801-0.0478546j 0.0688866-0.0202043j 0.00650135-0.0738851j -0.124398-0.00505767j 0.0889724-0.0557999j -0.0176208-0.0376957j -0.0852282+0.00766194j -0.0832644+0.12825j 0.0277921-0.0407428j 0.111001+0.0556256j 0.0375424+0.0225192j 0.0575046-0.0265547j -0.00430051+0.0226659j 0.00469062-0.0463825j -0.0676996+0.0184953j 0.0870504-0.0752135j 0.0521124-0.0407254j 0.0288333-0.069596j -0.0212048+0.013376j -0.0591995+0.0210896j -0.0213236+0.00116984j -0.0143726-0.0601255j 0.111612-0.117835j -0.200323+0.0765799j 0.103541-0.102288j 0.156591-0.0445737j 0.036999+0.261213j -0.0796463+0.0781158j 
0.0208866+0.153602j -0.0279645-0.0609847j -0.000235122+0.214773j -0.198469-0.131314j 0.569302-1.2379e-14j -0.108912-0.365298j 0.0256921-0.114908j -0.0540018+0.0959693j -0.0313084-0.128988j 0.0933245-0.0511929j -0.0924378+0.0562827j 0.0387951+0.0185149j -0.0610848-0.00832329j 0.0598038+0.00860169j 0.123873+0.0566646j -0.0195045-0.0258626j -0.0290389-0.0551348j 0.0471254+0.00526942j 0.00100772-0.00540905j -0.0816604-0.0430332j 0.0264716+0.0571465j 0.0117226-0.0230268j 0.0105285+0.0446442j -0.0161151-0.00527312j -0.0589958+0.024348j 0.0208108-0.0329422j -0.0233899+0.0103885j -0.00229614+0.0138334j -0.0492682+0.0372368j -0.0534648+0.019743j -0.0221384-0.0444174j -0.00202316-0.00492365j -0.0168144+0.0259761j 0.0397594-0.0354641j 0.0665237+0.0202772j 0.00990527+0.02051j 
-0.0438963+0.117445j 0.0858542+0.0147827j 0.0137121+0.127978j 0.088215+0.0720042j -0.108912+0.365298j 0.00478753-6.10623e-16j -0.00519462-0.267j 0.0165897-0.131022j 0.00058207-0.0549879j -0.0295743+0.0672722j 0.0193487-0.0925985j -0.00624026+0.0339406j 0.0304459-0.0514764j -0.0476344+0.0664279j 0.0426166-0.0265548j 0.0715465-0.0831327j 0.020164-0.0307479j 0.0171342+0.0109196j 0.0334024-0.0582507j 0.0157969+0.0608369j 0.0175789-0.00576528j 0.00156185+0.0484316j -0.017711+0.03047j 0.0152942+0.0516373j -0.0112532+0.019178j 0.0545023+0.0982582j -0.0141422+0.0812695j -0.00537959+0.0110747j 0.0206995-0.124221j -0.00885417-0.0920623j -0.0934312+0.079448j 0.0634739-0.0651908j -0.0656716-0.0319699j -0.153096+0.157056j 0.105818-0.239022j -0.0552988-0.165977j 
0.175739-0.0371131j 0.0365063-0.00588293j 0.199447-0.139834j 0.13339+0.134884j 0.0256921+0.114908j -0.00519462+0.267j -0.401091-1.09635e-15j -0.147695-0.121637j -0.112087+0.0904512j 0.0806936+0.0385699j -0.0846853-0.0566884j -0.0629989-0.0229034j -0.0132428-0.0130031j 0.0209532-0.0133438j -0.0559193-0.0456263j -0.165944+0.0510625j -0.104456+0.0529095j 0.134195+0.0566776j 0.0321107+0.0613273j 0.137846+0.0301307j -0.0707885-0.00953463j -0.0479152-0.0157661j -0.0536782-0.0431897j 0.0488788-0.0486082j 0.00802528-0.0220375j -0.0111932+0.0415287j 0.0034357+0.0158028j 0.0120774-0.0371277j -0.0545809-0.080724j -0.0425596-0.0696902j 0.0808044+0.00202442j -0.1423-0.0260147j 0.0217515-0.0801586j 0.183593-0.0101316j 0.00499128+0.148865j -0.0653776-0.105545j 
-0.0208036-0.0423249j 0.0194681-0.0147819j -0.110606+0.0420391j 0.0601771+0.0436224j -0.0540018-0.0959693j 0.0165897+0.131022j -0.147695+0.121637j 0.176431+3.96905e-15j -0.130193-0.0395461j 0.0667947-0.174115j -0.161574-0.0741457j -0.20854-0.09762j -0.0373905-0.0625048j -0.0473854-0.0994317j 0.0998096-0.147087j 0.116309-0.0922739j 0.109874+0.0464713j 0.0145338-0.159982j 0.155559-0.0559635j -0.0602479-0.0847874j 0.00683172+0.051267j -0.0274906+0.0331746j -0.106085-0.0352376j 0.0455244-0.0108007j -0.0260709+0.016956j 0.0057855-0.0451765j 0.00271345-0.0967154j -0.000943445-0.0465415j -0.0493759-0.0826776j -0.104397-0.106244j -0.287244-0.06475j -0.0574617+0.0862852j -0.0275817+0.153578j 0.108016+0.153666j 0.209869-0.0190227j 0.00563135-0.0936602j 
0.0806944+0.0182828j 0.00726783+0.0309985j -0.0280296-0.0235028j -0.00525801+0.0478546j -0.0313084+0.128988j 0.00058207+0.0549879j -0.112087-0.0904512j -0.130193+0.0395461j 0.0515949-1.11022e-16j -0.202677-0.0729368j 0.112508-0.153272j -0.101293-0.103049j -0.102512+0.0364043j 0.276029-0.440917j 0.0108632+0.0624509j 0.0577137-0.189665j 0.0218804-0.0035756j -0.0177356+0.0566029j -0.061379+0.0445554j 0.0191399-0.142418j 0.0459946+0.0181937j -0.0103561+0.101786j 0.0348501-0.0249913j -0.0794583-0.0631097j 0.0428587-0.0766885j -0.020127-0.0652005j 0.0104171-0.11527j 0.00622184-0.0707255j -0.0658298+0.0669289j 0.0666344-0.0693292j 0.0970935-0.11593j 0.154641-0.0467627j -0.00977693+0.248344j -0.00648389-0.0826069j -0.0399461+0.042547j 0.035698-0.0132941j 
0.0453297-0.0761589j 0.0652466+0.0014569j 0.0745526-0.0499934j 0.0688866+0.0202043j 0.0933245+0.0511929j -0.0295743-0.0672722j 0.0806936-0.0385699j 0.0667947+0.174115j -0.202677+0.0729368j -0.126887-5.55112e-17j -0.0234251-0.0627537j 0.0987899-0.156466j 0.0529412+0.0394049j -0.178481+0.0198287j -0.127855+0.152459j -0.22224-0.0355027j 0.158199+0.0323742j -0.190092+0.152328j 0.0850396+0.12226j -0.0589842+0.0231378j 0.0908607-0.00667943j -0.0360013+0.105285j -0.0387696-0.0424462j 0.0645573-0.00763598j -0.0228106-0.0039331j 0.0122041-0.0795041j -0.125252-0.0424746j -0.0531568+0.000625401j 0.0554091-0.00122842j 0.0542991-0.043137j -0.0961869-0.0500431j 0.0158408+0.0855876j 0.123531+0.013262j -0.00302195+0.0926182j -0.160996+0.0565726j 0.0040934+0.0794252j 
-0.0473376-0.0381805j 0.0876479+0.0236436j -0.0312128+0.00866014j 0.00650135+0.0738851j -0.0924378-0.0562827j 0.0193487+0.0925985j -0.0846853+0.0566884j -0.161574+0.0741457j 0.112508+0.153272j -0.0234251+0.0627537j 0.117539+1.5439e-16j 0.089265+0.16632j -0.0323607+0.0326737j -0.107886+0.115736j 0.237062-0.0433919j 0.131213+0.110793j -0.0720247-0.0940848j 0.0486208-0.130044j -0.13045+0.114189j 0.0279537+0.0309544j 0.0177057-0.00297809j -0.0618829-0.0839367j 0.0428136+0.0381017j -0.109109-0.0165594j -0.0208487-0.0153746j 0.0126934-0.0468969j 0.0346111+0.0430667j -0.0171422+0.0478556j 0.0356981+0.0448258j 0.0246055+0.0669818j 0.0766926+0.0161123j 0.00110969-0.0338615j -0.0189202-0.0655141j -0.108381-0.0275114j -0.00783847-0.0200257j -0.00439393+0.105374j 
