-0.260287-0j -0.294025-0j 0.472123-0j 0.477016-0j -0.210062-0j -0.173292-0j -0.0553676-0j -0.0341882-0j -0.0378394-0j -0.0299147-0j 0.0983835-0j -0.0302247-0j 0.0686353-0j -0.0123392-0j 0.0400373-0j -0.0215935-0j -0.0125962-0j -0.00328604-0j -0.0223112-0j -0.00322035-0j -0.0243486-0j -0.00351442-0j -0.0188604-0j -0.0190558-0j -0.00272226-0j 0.0338591-0j -0.00275047-0j 0.00488715-0j -0.021305-0j 0.0700681-0j -0.0124279-0j -0.00307512-0j 0.0241901-0j 0.0101135-0j -0.00179382-0j 0.00349155-0j 0.0345645-0j -0.00878788-0j 0.00498896-0j 0.0142571-0j -0.00126842-0j -0.00887895-0j 0.00205784-0j -0.00401193-0j -0.00128157-0j -0.000579073-0j -0.000884548-0j -0.000127674-0j 
0.322088-0j 0.00630379-0j -0.288615-0j -0.28975-0j -0.0132545-0j 0.405838-0j -0.26812-0j 0.0423057-0j 0.000811263-0j -0.0359637-0j 0.0246783-0j -0.0361051-0j -0.000726952-0j -0.0750407-0j -0.0490755-0j 0.0759156-0j 0.0443805-0j -0.0199086-0j 0.0276087-0j 0.00398498-0j 0.000522025-0j 7.53479e-05-0j -0.0226741-0j -0.0227633-0j -0.00327272-0j 0.021305-0j -0.00328559-0j 0.00307512-0j -0.000443769-0j 0.000304515-0j -0.0299582-0j -6.40525e-05-0j -0.0447965-0j 4.39529e-05-0j -0.0043241-0j -0.00646582-0j 0.0203976-0j -0.000925954-0j 0.00294413-0j -0.0262912-0j -0.00013365-0j 0.062991-0j -0.0037948-0j 0.0188749-0j 0.00909196-0j 0.00272436-0j -0.00643469-0j -0.000928767-0j 
-0.187885-0j 0.413445-0j -0.173292-0j -0.157202-0j 0.29538-0j -0.480853-0j 0.509024-0j -0.0246783-0j 0.0532081-0j -0.0215935-0j -0.0143957-0j -0.0195886-0j 0.0490755-0j -0.00890688-0j -0.0564914-0j -0.0139948-0j -0.0108857-0j 0.103537-0j -0.0161051-0j -0.00232457-0j 0.034238-0j 0.00494182-0j -0.0136141-0j -0.0123501-0j -0.00196503-0j -0.0124279-0j -0.00178258-0j -0.00179382-0j 0.0299582-0j 0.0199721-0j -0.0344852-0j 0.0043241-0j -0.00887895-0j 0.00288273-0j -0.00497752-0j -0.00128157-0j -0.0113908-0j 0.0123571-0j -0.00164413-0j -0.00626517-0j 0.0017836-0j -0.0246375-0j -0.000904299-0j 0.0368838-0j -0.00355611-0j 0.00532372-0j 0.062086-0j 0.00896135-0j 
0.0324338-0j -0.108738-0j 0.0299147-0j 0.0302247-0j 0.0261753-0j 0.0215935-0j 0.00689924-0j -0.200869-0j -0.222321-0j 0.521642-0j -0.117174-0j 0.527048-0j -0.205054-0j -0.0724975-0j -0.119615-0j -0.126871-0j -0.0740078-0j -0.0193068-0j 0.00278015-0j -0.0382429-0j 0.00303403-0j -0.0417351-0j 0.00235015-0j 0.0023745-0j -0.0323279-0j -0.00636732-0j -0.0326629-0j 0.0875867-0j -0.00787916-0j 0.00176985-0j -0.00459617-0j 0.108383-0j 0.00153274-0j -0.0243455-0j 0.0632234-0j -0.0210838-0j 0.00219008-0j 0.00109504-0j -0.030126-0j 0.000903361-0j -0.015063-0j 0.00110639-0j -0.0124263-0j 0.000499919-0j -0.0152191-0j -0.00687672-0j 0.000110222-0j -0.00151617-0j 
-0.0378394-0j -0.000740578-0j 0.0686353-0j -0.0669436-0j -0.000529095-0j 0.0490755-0j 0.0314992-0j 0.234347-0j 0.00449389-0j 0.205054-0j -0.674382-0j -0.2-0j -0.00815128-0j 0.0845804-0j 0.534616-0j -0.142887-0j -0.253044-0j -0.110281-0j -0.00324351-0j 0.0446167-0j -6.13283e-05-0j 0.000843612-0j -0.00274184-0j 0.00267426-0j 0.0377158-0j 0.0049223-0j -0.0367862-0j -0.0677096-0j -5.36623e-05-0j 0.000176485-0j 0.00351954-0j 0.00073816-0j 0.00351666-0j -0.00242767-0j -0.0484136-0j -0.0483741-0j -0.00485073-0j -2.21346e-05-0j 0.0667251-0j -0.0060743-0j 0.000304476-0j 0.00251448-0j 0.083556-0j 0.00228243-0j -0.0345883-0j -0.0313963-0j 0.000755956-0j -0.0103987-0j 
-0.0231718-0j -0.0261753-0j 0.0628994-0j -0.0215935-0j -0.0166014-0j 0.0454032-0j -0.00492906-0j 0.143508-0j 0.158834-0j -0.369559-0j 0.0837129-0j 0.126871-0j -0.431152-0j 0.647042-0j 0.0854569-0j 0.0804663-0j -0.155611-0j 0.0137934-0j -0.00198624-0j 0.027322-0j -0.00216762-0j 0.029817-0j 0.00494149-0j -0.00169643-0j -0.0679735-0j -0.00153274-0j 0.0233355-0j 0.0210838-0j 0.005582-0j -0.00126444-0j -0.00110639-0j -0.0767842-0j -0.000972121-0j 0.0173932-0j 0.0152191-0j 0.0133722-0j 0.00460492-0j -0.00977326-0j -0.0633437-0j -0.000645392-0j 0.134438-0j -0.000701714-0j 0.0088778-0j 0.00105114-0j 0.00965255-0j -0.0144592-0j -7.87462e-05-0j 0.00108321-0j 
0.0331095-0j -0.0361051-0j -0.0296685-0j -0.0308358-0j 0.0759156-0j -0.0192282-0j 0.0738543-0j -0.205054-0j 0.219089-0j 0.174314-0j -0.119615-0j 0.181173-0j -0.19632-0j 0.363719-0j -0.109633-0j -0.380938-0j 0.346912-0j -0.358257-0j 0.00283807-0j -0.0390396-0j -0.00298991-0j 0.0411283-0j -0.00233081-0j -0.00242252-0j 0.0320619-0j 0.00219008-0j 0.0333233-0j -0.030126-0j 0.0025417-0j -0.00174412-0j 0.00141939-0j -0.0349628-0j -0.00460492-0j 0.0239915-0j -0.0195246-0j 0.0633437-0j 0.00217076-0j 0.00530342-0j -0.0298602-0j 0.00435859-0j -0.0729522-0j -0.00298444-0j -0.0599553-0j -0.00519913-0j 0.041053-0j 0.0715175-0j 0.00312798-0j -0.0430274-0j 
-0.013657-0j 0.0452124-0j -0.0125962-0j -0.0601517-0j 0.0323013-0j -0.0108857-0j 0.0540888-0j 0.0845804-0j -0.274352-0j 0.0740078-0j 0.0493385-0j 0.353415-0j -0.253044-0j 0.0305267-0j 0.0603001-0j 0.252492-0j -0.433558-0j 0.255623-0j -0.00117065-0j 0.016103-0j 0.0037441-0j -0.0515026-0j -0.000989583-0j -0.00472562-0j 0.0136124-0j -0.000903361-0j 0.0650041-0j 0.0124263-0j 0.00327609-0j 0.00218406-0j -0.000780689-0j -0.0450648-0j -0.000645392-0j -0.0300432-0j 0.0107389-0j 0.0088778-0j -0.00435859-0j 0.00135132-0j 0.0599553-0j 0.00529214-0j -0.0185883-0j -0.000557751-0j -0.0727969-0j 0.00391927-0j 0.00767224-0j -0.0539122-0j -0.00942234-0j 0.129611-0j 
-0.0812934-0j 0.0230991-0j 0.0188604-0j 0.0190558-0j 0.0165028-0j 0.0136141-0j 0.00434978-0j 0.00268588-0j -0.0118181-0j 0.00235015-0j 0.00156677-0j 0.0023745-0j 0.00274184-0j 0.000969387-0j 0.00159941-0j 0.00169643-0j 0.000989583-0j 0.000258157-0j -0.167577-0j 0.000252996-0j -0.18288-0j 0.000276099-0j 0.563163-0j 0.568999-0j -0.000850222-0j -0.129316-0j -0.000859033-0j 0.000195231-0j -0.16002-0j -0.10668-0j -0.093345-0j 0.000241587-0j -0.0923876-0j 0.000161058-0j 0.000140926-0j 0.00013948-0j -0.13201-0j -0.0660049-0j 0.000199299-0j -0.0544513-0j 9.96494e-05-0j -0.0666889-0j 8.22065e-05-0j -0.0301333-0j 0.000100682-0j 4.5493e-05-0j -0.00664376-0j 1.00303e-05-0j 
0.0117337-0j -0.00333407-0j -0.00272226-0j -0.00275047-0j -0.00238197-0j -0.00196503-0j -0.000627836-0j 0.0369461-0j -0.162566-0j 0.0323279-0j 0.0215519-0j 0.0326629-0j 0.0377158-0j 0.0133346-0j 0.0220009-0j 0.0233355-0j 0.0136124-0j 0.00355112-0j -0.000252996-0j -0.162333-0j -0.000276099-0j -0.177157-0j 0.000850222-0j 0.000859033-0j 0.54554-0j -0.000195231-0j 0.551194-0j -0.125269-0j -0.000241587-0j -0.000161058-0j -0.000140926-0j -0.155013-0j -0.00013948-0j -0.103342-0j -0.090424-0j -0.0894966-0j -0.000199299-0j -9.96494e-05-0j -0.127879-0j -8.22065e-05-0j -0.0639394-0j -0.000100682-0j -0.0527473-0j -4.5493e-05-0j -0.064602-0j -0.0291903-0j -1.00303e-05-0j -0.00643586-0j 
-0.0230991-0j 0.00134176-0j -0.021305-0j 0.0207799-0j -0.000322987-0j 0.0299582-0j 0.0192287-0j -0.00303403-0j -5.81811e-05-0j 0.00787916-0j -0.00176985-0j -0.00768495-0j -5.36623e-05-0j -0.00109504-0j 0.00351954-0j 0.00184991-0j 0.00327609-0j 0.00142778-0j 0.189299-0j -0.00028579-0j 0.00357926-0j -5.40371e-06-0j 0.16002-0j -0.156076-0j -0.000241587-0j -0.433546-0j 0.000235632-0j 0.000654537-0j -0.00929508-0j 0.0020879-0j 0.609634-0j 1.4033e-05-0j 0.104363-0j -3.15216e-06-0j -0.000920381-0j -0.00015756-0j -0.143954-0j 0.00129182-0j 0.000217331-0j -0.180265-0j -1.9503e-06-0j -0.146751-0j 0.000272151-0j -0.133208-0j 0.000221553-0j 0.000201107-0j -0.0441193-0j 6.66082e-05-0j 
