-0.154149-7.20812e-14j 0.0121237+0.0107543j 0.152874+0.113274j 0.0187614+0.0539944j -0.103946+0.198467j 0.119542-0.0634614j -0.149253+0.131192j 0.0665406-0.347315j -0.164432-0.00261536j -0.0144281-0.0468284j 0.0585991-0.176579j 0.031966-0.00217287j 0.000257078-0.146782j -0.0838646-0.151426j 0.113853-0.210494j 0.136722-0.163781j 0.0431319+0.0177451j 0.0729852+0.269005j 
0.0121237-0.0107543j 0.246178+1.94289e-16j -0.101071-0.0508511j -0.037839+0.158619j 0.175439+0.21083j -0.122131+0.135299j 0.131417+0.00206218j -0.178324+0.0511895j -0.12185-0.100501j 0.160844+0.156212j 0.0350525+0.00159221j 0.0794128-0.00846505j -0.159446-0.0362773j -0.113736+0.0589303j 0.0339316-0.238649j -0.267079+0.0307375j 0.0404376+0.281325j 0.0194036-0.0758342j 
0.152874-0.113274j -0.101071+0.0508511j -0.0646138+1.80411e-16j 0.292866+0.0457052j 0.203088+0.166344j 0.30478-0.0271357j 0.115628+0.0551232j 0.384545-0.315648j 0.0146125-0.0563876j 0.26861-0.0704012j -0.0194612-0.024599j 0.0181634-0.0680526j 0.0165049-0.115259j 0.0758541+0.0282188j -0.137646-0.106099j -0.0190837-0.116228j 0.132686+0.0666623j -0.12668+0.0572257j 
0.0187614-0.0539944j -0.037839-0.158619j 0.292866-0.0457052j 0.0705803-4.85723e-16j -0.127198-0.234765j 0.16581-0.107195j 0.0189747-0.065865j 0.100238+0.154524j 0.0776888+0.221651j -0.0821147+0.0380558j 0.0109912+0.068239j -0.0046722+0.0708461j 0.0755444+0.123505j -0.0612165+0.0898676j -0.0235416+0.0225046j 0.0208576+0.0183378j -0.00555964-0.050396j 0.0427841-0.103952j 
-0.103946-0.198467j 0.175439-0.21083j 0.203088-0.166344j -0.127198+0.234765j -0.099446-1.11022e-15j 0.0841205+0.0302549j -0.14621-0.0710244j -0.0605351-0.0412315j -0.168915+0.27357j -0.185772+0.0943671j -0.0243876-0.129999j 0.0380477-0.00105799j 0.00867225+0.0122697j -0.0475377+0.0223199j 0.0277639+0.00124194j 0.129685-0.0259064j 0.00642324-0.0709805j 0.0549253+0.0608769j 
0.119542+0.0634614j -0.122131-0.135299j 0.30478+0.0271357j 0.16581+0.107195j 0.0841205-0.0302549j 0.200886-4.78784e-16j 0.2218+0.0810254j 0.112372+0.141387j -0.135663+0.131889j 0.0253219+0.132763j -0.00917046-0.0011997j -0.0244062+0.00892926j -0.0673375+0.0286323j -0.0537436-0.0475555j 0.0939-0.0523413j -0.00863319-0.0177518j -0.00821771+0.0823575j 0.0723263+0.0174015j 
-0.149253-0.131192j 0.131417-0.00206218j 0.115628-0.0551232j 0.0189747+0.065865j -0.14621+0.0710244j 0.2218-0.0810254j -0.21565-2.22045e-16j 0.110928-0.361377j -0.0359268+0.174411j -0.0663837-0.0395357j 0.0821394-0.0119446j 0.00884211-0.0286152j -0.019338+0.13938j 0.016195+0.0673574j 0.0601121+0.0166767j -0.253013+0.242001j -0.145539+0.105401j 0.098573-0.315937j 
0.0665406+0.347315j -0.178324-0.0511895j 0.384545+0.315648j 0.100238-0.154524j -0.0605351+0.0412315j 0.112372-0.141387j 0.110928+0.361377j 0.00202059+6.66134e-16j -0.0397498-0.198745j -0.0673574-0.0721553j 0.0881978+0.0684828j 0.0155846-0.011754j 0.0153732-0.0127071j 0.0538818+0.020061j 0.046597+0.0578984j -0.141187+0.115362j -0.143057+0.0669304j 0.019482-0.111666j 
-0.164432+0.00261536j -0.12185+0.100501j 0.0146125+0.0563876j 0.0776888-0.221651j -0.168915-0.27357j -0.135663-0.131889j -0.0359268-0.174411j -0.0397498+0.198745j 0.113294-1.09357e-14j 0.166135-0.00421364j 0.103109+0.120078j 0.0751384+0.0294723j -0.0269106+0.0488237j -0.0719087+0.01635j 0.169563-0.164937j -0.209864-0.0393491j -0.0843398+0.183697j 0.0880366+0.0179325j 
-0.0144281+0.0468284j 0.160844-0.156212j 0.26861+0.0704012j -0.0821147-0.0380558j -0.185772-0.0943671j 0.0253219-0.132763j -0.0663837+0.0395357j -0.0673574+0.0721553j 0.166135+0.00421364j -0.128105+4.85723e-16j 0.0679433+0.135166j -0.082119-0.0309435j 0.136013-0.0740838j 0.0114283+0.0365983j -0.229387-0.170478j 0.0610801-0.268441j 0.293938+0.0268413j -0.148686+0.196474j 
0.0585991+0.176579j 0.0350525-0.00159221j -0.0194612+0.024599j 0.0109912-0.068239j -0.0243876+0.129999j -0.00917046+0.0011997j 0.0821394+0.0119446j 0.0881978-0.0684828j 0.103109-0.120078j 0.0679433-0.135166j -0.259763+4.30211e-15j 0.0279919+0.203397j 0.00273522+0.118092j -0.319782+0.015354j 0.110608-0.00254617j 0.305826+0.218605j 0.079371-0.319442j 0.174898-0.180577j 
