5.45993-0j -0.252868-0j 0.172261-0j 0.0645282-0j 0.00391246-0j -0.0001321-0j 6.67312e-05-0j 0.0745096-0j -0.256539-0j -0.0436677-0j -0.00116708-0j -3.15349e-05-0j 0.104337-0j 0.0124602-0j 0.000300619-0j 7.1147e-06-0j -0.00109094-0j -4.05847e-05-0j -9.8399e-06-0j 0.236621-0j 0.156983-0j 0.0132161-0j 0.000293631-0j -1.11653e-05-0j -0.0610161-0j -0.00403705-0j -5.82502e-05-0j 0.000462379-0j 4.36786e-06-0j 0.0131032-0j 0.000490427-0j 3.2759e-06-0j -5.77525e-05-0j -5.36371e-06-0j -0.278624-0j -0.0668398-0j -0.00310651-0j -4.71552e-05-0j 0.0190725-0j 0.000716315-0j 4.78475e-06-0j -5.96466e-05-0j -0.00438458-0j -8.94698e-05-0j 6.70885e-06-0j 0.000550115-0j 5.19666e-06-0j 0.179719-0j 0.0213238-0j 0.000566297-0j -6.24685e-06-0j -0.00462176-0j -9.43095e-05-0j 5.00048e-06-0j 0.000794022-0j 7.50073e-06-0j -0.000102428-0j 6.072e-06-0j -0.0792063-0j -0.00524058-0j -7.56158e-05-0j 0.000848846-0j 8.01861e-06-0j -0.000106023-0j 8.70891e-06-0j 0.025893-0j 0.000972475-0j 6.49582e-06-0j -0.000114518-0j 9.108e-06-0j 
0.252868-0j 0.201932-0j -0.344454-0j 0.325644-0j 0.0766497-0j 0.00298122-0j 2.67079e-05-0j -0.134341-0j -0.0533283-0j -0.244494-0j -0.0325882-0j -0.000766914-0j -0.107632-0j 0.0349296-0j 0.0050682-0j 7.0954e-05-0j 0.00621936-0j -0.000201776-0j -9.5752e-06-0j 0.164528-0j 0.155914-0j 0.11245-0j 0.0073323-0j 7.45757e-05-0j 0.116923-0j -0.0156086-0j -0.00112511-0j -0.00242374-0j 3.39844e-05-0j -0.0380258-0j 0.00248329-0j 7.73628e-05-0j 0.000380465-0j -2.13601e-05-0j 0.0599594-0j -0.123725-0j -0.0366969-0j -0.00118873-0j -0.0555402-0j 0.00362708-0j 0.000112996-0j 0.000392942-0j 0.0175494-0j -0.000569358-0j -5.40374e-05-0j -0.00288364-0j 4.04329e-05-0j -0.184783-0j 0.0599829-0j 0.00870339-0j 0.000121846-0j 0.0184987-0j -0.000600156-0j -4.02771e-05-0j -0.00416218-0j 5.83599e-05-0j 0.000674782-0j -4.89077e-05-0j 0.151781-0j -0.0202618-0j -0.00146054-0j -0.00444956-0j 6.23893e-05-0j 0.000698466-0j -7.01471e-05-0j -0.0754018-0j 0.00492416-0j 0.000153404-0j 0.000754429-0j -7.33616e-05-0j 
0.172261-0j 0.344454-0j 0.0201194-0j -0.125218-0j 0.397149-0j 0.0536872-0j 0.000878451-0j -0.0952987-0j -0.239423-0j -0.0336077-0j -0.154111-0j -0.0129292-0j -0.0163568-0j -0.11912-0j 0.00406021-0j 0.00084442-0j -0.0116226-0j 0.00223893-0j 4.50311e-05-0j 0.0327601-0j 0.0719358-0j 0.0373275-0j 0.0503134-0j 0.00161735-0j -0.0544007-0j 0.0885343-0j -0.00121519-0j 0.00657225-0j -0.000485105-0j 0.0427248-0j -0.0204384-0j 0.000107489-0j -0.0013909-0j 0.000100454-0j 0.0886899-0j 0.174724-0j -0.0202607-0j -0.0109971-0j 0.0624035-0j -0.0298522-0j 0.000156998-0j -0.00143652-0j -0.0327959-0j 0.00631768-0j 0.000254132-0j 0.00781932-0j -0.000577153-0j -0.0280888-0j -0.20456-0j 0.00697241-0j 0.00145008-0j -0.0345699-0j 0.00665942-0j 0.000189419-0j 0.0112862-0j -0.000833049-0j -0.00246686-0j 0.000230008-0j -0.0706188-0j 0.114928-0j -0.00157747-0j 0.0120655-0j -0.000890567-0j -0.00255344-0j 0.000329894-0j 0.0847195-0j -0.0405275-0j 0.000213141-0j -0.00275804-0j 0.000345012-0j 
-0.0645282-0j 0.325644-0j 0.125218-0j 0.0375442-0j 0.134577-0j 0.323443-0j 0.0170535-0j -0.0307679-0j -0.17443-0j -0.203247-0j 0.0668517-0j -0.0581062-0j 0.00834322-0j 0.0324294-0j -0.0812866-0j -0.00150345-0j 0.00857714-0j -0.00808408-0j -0.000136397-0j 0.0141654-0j -0.0612966-0j -0.0870426-0j -0.0413799-0j 0.0101863-0j -0.0229924-0j -0.109146-0j 0.0375823-0j -0.00919559-0j 0.00245462-0j -0.0069627-0j 0.0477714-0j -0.00465866-0j 0.00300628-0j -0.000304272-0j 0.0386789-0j 0.123364-0j 0.213943-0j 0.0139718-0j -0.0101697-0j 0.0697746-0j -0.00680441-0j 0.00310487-0j 0.0242024-0j -0.0228111-0j -0.000769753-0j -0.0109404-0j 0.00292038-0j 0.0143274-0j 0.0556896-0j -0.13959-0j -0.00258181-0j 0.0255116-0j -0.024045-0j -0.00057374-0j -0.0157912-0j 0.0042152-0j 0.00533185-0j -0.000696682-0j -0.029847-0j -0.141684-0j 0.0487864-0j -0.0168815-0j 0.00450624-0j 0.00551899-0j -0.000999233-0j -0.0138064-0j 0.0947265-0j -0.00923773-0j 0.00596119-0j -0.00104502-0j 
0.00391246-0j -0.0766497-0j 0.397149-0j -0.134577-0j 0.213492-0j 0.252302-0j 0.130237-0j 0.0150482-0j -0.0967621-0j -0.131277-0j -0.03167-0j 0.124915-0j 0.00331053-0j 0.0385432-0j 0.103655-0j -0.0260761-0j 0.000449795-0j 0.0130204-0j 0.000261875-0j 0.0175926-0j -0.0340847-0j -0.188524-0j -0.186654-0j -0.0365818-0j -0.00581519-0j -0.00802115-0j -0.110307-0j 0.00459161-0j -0.00660438-0j -0.00590511-0j -0.0334281-0j 0.0228421-0j -0.00345512-0j 0.000584186-0j 0.0153109-0j 0.0437245-0j 0.028652-0j 0.145061-0j -0.00862496-0j -0.0488248-0j 0.033363-0j -0.00356843-0j 0.0012692-0j 0.03674-0j 0.00147789-0j 0.00546286-0j -0.00785755-0j 0.00568502-0j 0.0661885-0j 0.178001-0j -0.0447793-0j 0.00133786-0j 0.0387274-0j 0.00110155-0j 0.00788495-0j -0.0113414-0j -0.00612791-0j 0.00133759-0j -0.00754882-0j -0.0104124-0j -0.143192-0j 0.00842937-0j -0.0121245-0j -0.00634298-0j 0.00191848-0j -0.0117093-0j -0.066285-0j 0.0452938-0j -0.00685121-0j 0.00200639-0j 
0.0001321-0j 0.00298122-0j -0.0536872-0j 0.323443-0j -0.252302-0j 0.235463-0j 0.135077-0j -0.000669099-0j 0.0184917-0j -0.148839-0j 0.0994422-0j 0.143219-0j -0.00207392-0j 0.0182877-0j 0.044057-0j 0.108653-0j -0.000368132-0j -0.0059935-0j -0.000284419-0j -0.00128368-0j 0.0274686-0j -0.128821-0j -0.164288-0j -0.127304-0j -0.0035588-0j 0.00844519-0j 0.0731251-0j 0.00105342-0j 0.00922742-0j -0.00217799-0j -0.00986577-0j -0.0459611-0j 0.00123634-0j -0.000634476-0j -0.00227451-0j 0.0344229-0j -0.0434445-0j -0.19914-0j -0.00318116-0j -0.0144099-0j -0.0671305-0j 0.00127688-0j -0.00103877-0j -0.0169121-0j -0.00160511-0j 0.0012533-0j 0.0109783-0j -0.00356144-0j 0.0314047-0j 0.0756571-0j 0.186584-0j -0.00109496-0j -0.0178269-0j -0.00119638-0j 0.00180899-0j 0.0158458-0j 0.00219273-0j -0.00145274-0j -0.00461975-0j 0.0109629-0j 0.0949253-0j 0.00193389-0j 0.0169399-0j 0.00226969-0j -0.00208363-0j -0.00431877-0j -0.019563-0j -0.091137-0j 0.00245155-0j -0.00217911-0j 
6.67312e-05-0j -2.67079e-05-0j 0.000878451-0j -0.0170535-0j 0.130237-0j -0.135077-0j -0.509976-0j 5.12177e-06-0j -0.000328929-0j 0.00913848-0j -0.106021-0j 0.3621-0j 4.61432e-05-0j -0.00191286-0j 0.0284068-0j -0.104217-0j 0.000165625-0j -0.00307055-0j 0.000115122-0j 1.31931e-05-0j -0.000747232-0j 0.0175454-0j -0.157673-0j 0.310909-0j 0.000137247-0j -0.00464551-0j 0.0487816-0j 0.000426629-0j -0.00456647-0j 0.000186328-0j -0.00488521-0j 0.0296173-0j 0.000518048-0j 0.000256811-0j 3.3091e-05-0j -0.00162312-0j 0.0311181-0j -0.197738-0j 0.000272149-0j -0.0071353-0j 0.0432589-0j 0.000535037-0j 0.000467349-0j -0.00866427-0j 0.000649686-0j 0.000507581-0j -0.00543295-0j 7.92396e-05-0j -0.00328487-0j 0.0487816-0j -0.178968-0j 0.000492629-0j -0.00913294-0j 0.000484247-0j 0.00073263-0j -0.00784179-0j 0.000918795-0j 0.000588013-0j 0.000178163-0j -0.00603043-0j 0.0633245-0j 0.000783215-0j -0.00838322-0j 0.000951043-0j 0.000843372-0j 0.000369472-0j -0.00968695-0j 0.0587286-0j 0.00102724-0j 0.000882019-0j 
0.0745096-0j 0.134341-0j -0.0952987-0j 0.0307679-0j 0.0150482-0j 0.000669099-0j 5.12177e-06-0j 0.220656-0j -0.165472-0j 0.158191-0j 0.0217302-0j 0.000495393-0j -0.243988-0j -0.238662-0j -0.0167788-0j -0.000181637-0j 0.0817815-0j 0.00372882-0j -0.000264626-0j -0.133495-0j 0.0747218-0j 0.051683-0j 0.00296674-0j 2.78134e-05-0j 0.221805-0j 0.0527732-0j 0.00170143-0j -0.0235261-0j -0.000441118-0j 0.0512415-0j 0.00509464-0j 6.75467e-05-0j 0.0016869-0j 5.46805e-05-0j 0.0922115-0j -0.124669-0j -0.0209742-0j -0.000552131-0j -0.145866-0j -0.0145026-0j -0.000192281-0j 0.00437836-0j -0.0294086-0j -0.00134088-0j -0.000269603-0j 0.00571469-0j 0.000107151-0j 0.0855442-0j 0.083677-0j 0.00588278-0j 6.36836e-05-0j 0.0604166-0j 0.00275469-0j -0.000505008-0j 0.00824844-0j 0.00015466-0j -0.00153509-0j 0.0001252-0j -0.147735-0j -0.03515-0j -0.00113325-0j -0.0171858-0j -0.000322238-0j -0.00158897-0j 0.000179572-0j 0.101607-0j 0.0101022-0j 0.000133939-0j 0.00334497-0j 0.000187801-0j 
0.256539-0j -0.0533283-0j 0.239423-0j -0.17443-0j 0.0967621-0j 0.0184917-0j 0.000328929-0j 0.165472-0j -0.0046163-0j 0.00964842-0j 0.20857-0j 0.0151598-0j -0.28241-0j -0.215973-0j -0.153975-0j -0.00529227-0j -0.160262-0j 0.0160587-0j 0.00157419-0j -0.114498-0j -0.0835458-0j 0.141957-0j 0.0454804-0j 0.00113567-0j -0.00461412-0j 0.0998973-0j 0.0222404-0j 0.0736347-0j -0.00253481-0j -0.0480035-0j 0.0154032-0j 0.00117811-0j -0.00752075-0j -0.00032528-0j -0.00266312-0j -0.0025052-0j -0.120508-0j -0.0120566-0j 0.136649-0j -0.0438474-0j -0.00335365-0j -0.0195202-0j 0.0576302-0j -0.00577469-0j 0.0016038-0j -0.0178865-0j 0.000615727-0j 0.0990154-0j 0.0757221-0j 0.0539849-0j 0.00185552-0j -0.118395-0j 0.0118634-0j 0.00300416-0j -0.025817-0j 0.000888726-0j 0.00684395-0j -0.000744785-0j 0.00307328-0j -0.0665375-0j -0.0148134-0j 0.0537903-0j -0.00185168-0j 0.00708416-0j -0.00106823-0j -0.0951869-0j 0.0305433-0j 0.00233609-0j -0.014913-0j -0.00111718-0j 
-0.0436677-0j 0.244494-0j -0.0336077-0j 0.203247-0j -0.131277-0j 0.148839-0j 0.00913848-0j 0.158191-0j -0.00964842-0j -0.0335201-0j 0.222212-0j 0.149515-0j -0.130037-0j -0.192855-0j -0.0551324-0j -0.0430256-0j 0.0674733-0j -0.104244-0j -0.00505739-0j -0.0544007-0j -0.116762-0j -0.0123385-0j 0.139486-0j 0.0168252-0j -0.0542589-0j -0.127657-0j 0.0140527-0j -0.0892428-0j 0.0247175-0j -0.0141225-0j -0.0566622-0j 0.0011182-0j 0.0160846-0j 0.00104502-0j -0.00183384-0j -0.089416-0j -0.0149894-0j -0.0652515-0j 0.0402018-0j 0.161297-0j -0.00318312-0j 0.0417477-0j -0.0242634-0j 0.0374859-0j -0.00515251-0j 0.0216779-0j -0.0060041-0j 0.045592-0j 0.0676166-0j 0.0193299-0j 0.0150851-0j 0.0498463-0j -0.0770105-0j -0.00965142-0j 0.0312893-0j -0.00866617-0j -0.0146371-0j 0.00239276-0j 0.0361396-0j 0.0850273-0j -0.0093599-0j -0.0651921-0j 0.0180562-0j -0.0151508-0j 0.00343187-0j -0.0280038-0j -0.112356-0j 0.0022173-0j 0.0318943-0j 0.00358914-0j 
0.00116708-0j -0.0325882-0j 0.154111-0j 0.0668517-0j 0.03167-0j 0.0994422-0j 0.106021-0j -0.0217302-0j 0.20857-0j -0.222212-0j 0.071291-0j 0.280152-0j -0.0727638-0j -0.0373791-0j 0.122406-0j 0.0457804-0j 0.0368264-0j 0.156927-0j 0.0091546-0j 0.0174339-0j -0.109146-0j -0.0204837-0j -0.0127222-0j 0.0633276-0j -0.0251379-0j -0.116394-0j -0.181199-0j 0.0138473-0j -0.0747435-0j -0.00163853-0j 0.0146873-0j -0.0289627-0j -0.0144944-0j -0.00189164-0j 0.0237302-0j -0.0692035-0j -0.117062-0j 0.0345638-0j 0.00466431-0j -0.0418093-0j 0.0824463-0j -0.0376205-0j -0.0132428-0j -0.0564307-0j 0.00932679-0j -0.00336363-0j 0.0181558-0j 0.0255116-0j 0.0131054-0j -0.0429167-0j -0.016051-0j 0.0272057-0j 0.11593-0j 0.0174705-0j -0.00485498-0j 0.0262057-0j 0.0131901-0j -0.00433124-0j 0.0167433-0j 0.0775249-0j 0.120689-0j 0.0101155-0j -0.0546003-0j 0.013653-0j -0.00621219-0j -0.00324907-0j 0.0291236-0j -0.0574305-0j -0.0287412-0j -0.00649686-0j 
