-0.416099-0j 0.495149-0j -0.300356-0j -0.0519797-0j -0.060643-0j 0.10856-0j 0.0510276-0j -0.0218872-0j -0.0328542-0j -0.0047421-0j -0.0371128-0j -0.00535677-0j 0.0291403-0j 0.00420604-0j -0.0306165-0j 0.0775102-0j -0.00441911-0j 0.0111876-0j 0.0210346-0j 0.00303608-0j -0.00698868-0j -0.00100873-0j -0.0244727-0j -0.00432621-0j -0.000360517-0j -0.0270863-0j -0.00478823-0j 0.0205924-0j -0.000399019-0j -0.0142758-0j -0.0216355-0j 0.00364025-0j -0.00252362-0j 0.0240244-0j 0.000303354-0j -0.00382466-0j 0.0431471-0j -0.000210302-0j -0.0145732-0j -0.000318722-0j 0.00424696-0j 0.0451859-0j 0.0076274-0j 0.000353913-0j -0.0025762-0j 0.00867087-0j 0.000635616-0j 0.00798781-0j -0.000214683-0j -0.00235222-0j 0.00153281-0j 0.000665651-0j 0.000127734-0j -0.000415818-0j -3.46515e-05-0j -0.0196095-0j -0.00326825-0j -0.00200139-0j -0.000408531-0j -0.0214002-0j -2.40729e-05-0j -0.0035667-0j 0.0159407-0j -0.00218415-0j -0.0167483-0j -0.000445837-0j -0.0151322-0j -2.62712e-05-0j 0.00265679-0j 0.018007-0j 0.00162695-0j -0.00279138-0j -0.00252203-0j -0.0124834-0j -0.010923-0j -0.00170936-0j 0.000332099-0j -0.00154442-0j 0.0316037-0j -0.000348923-0j 1.95691e-05-0j -0.000315254-0j 0.00300117-0j 0.014855-0j -2.05605e-05-0j -0.00208057-0j 0.00183783-0j 0.03773-0j -1.85765e-05-0j -0.0018205-0j -0.00637175-0j -0.00127409-0j 0.00526728-0j -0.00111482-0j 0.000375146-0j 0.0228127-0j 0.00322553-0j 0.00247584-0j -0.000260072-0j 2.21057e-05-0j -0.000227563-0j 0.00339088-0j 0.00628833-0j 0.000658409-0j 0.00151613-0j -0.00106196-0j -1.53249e-05-0j -1.34093e-05-0j -0.000777436-0j 0.0038508-0j 0.00380212-0j 0.000309479-0j -0.000650314-0j 3.87972e-05-0j 0.000786041-0j 0.00232831-0j 1.82362e-05-0j 0.000565147-0j -0.000132745-0j 0.000346081-0j 0.000475265-0j 4.63179e-05-0j -0.000129573-0j -7.82207e-06-0j 7.06434e-05-0j -7.93468e-05-0j 2.80053e-05-0j 4.1627e-06-0j -1.61966e-05-0j -9.54393e-07-0j 
0.0200232-0j 0.0247303-0j -0.028411-0j -0.00128648-0j -0.00566316-0j -0.000919106-0j -0.00116041-0j -0.000662822-0j -0.00081313-0j -0.000117365-0j 0.00178252-0j 0.000257284-0j 0.00145819-0j 0.000210472-0j 0.0013018-0j 0.00127349-0j 0.000187899-0j 0.000183813-0j -0.00206903-0j -0.000298639-0j 0.00217284-0j 0.000313622-0j -0.000605691-0j -0.000107072-0j -8.92267e-06-0j 0.00130095-0j 0.000229977-0j -0.00052998-0j 1.91648e-05-0j 0.00172725-0j -0.00047314-0j -9.3688e-05-0j 0.000305338-0j -0.002333-0j -7.80734e-06-0j -8.36402e-05-0j -0.000218605-0j 2.54448e-05-0j 0.00268023-0j -6.97002e-06-0j -0.00041242-0j -0.000338028-0j -3.86443e-05-0j -3.43683e-05-0j 0.000473801-0j -0.000273057-0j -3.22036e-06-0j -5.97554e-05-0j 3.94835e-05-0j 0.00251414-0j -4.82701e-05-0j -4.97962e-06-0j -4.0225e-06-0j 0.000444442-0j 3.70368e-05-0j 0.0929322-0j -8.0888e-05-0j -4.95336e-05-0j -1.0111e-05-0j -0.196815-0j -5.95796e-07-0j 0.000171307-0j 0.0785584-0j 0.000104904-0j 0.0701332-0j 2.14134e-05-0j -0.139434-0j 1.2618e-06-0j -6.83771e-05-0j -0.172213-0j -4.18722e-05-0j -6.10438e-05-0j 0.000121363-0j 0.561258-0j 0.197844-0j -3.73815e-05-0j -8.54714e-06-0j 7.43196e-05-0j -0.0996167-0j -7.63048e-06-0j -5.03645e-07-0j 1.51704e-05-0j 0.000149894-0j -0.12577-0j -4.4963e-07-0j -0.000488518-0j 9.17909e-05-0j -0.0710342-0j 8.93926e-07-0j -0.000172203-0j -0.0718395-0j -0.000299155-0j 8.67062e-05-0j -0.000105452-0j 1.87367e-05-0j 0.141346-0j 5.30965e-05-0j 0.00010947-0j -6.10648e-05-0j 1.10407e-06-0j -2.15254e-05-0j -0.209923-0j 6.18281e-05-0j 1.08383e-05-0j 6.70366e-05-0j 6.2529e-05-0j -3.59828e-06-0j -1.2684e-06-0j -0.354801-0j 3.78618e-05-0j -0.000123028-0j 1.36838e-05-0j 3.8291e-05-0j 6.38652e-07-0j 7.72851e-06-0j -7.53388e-05-0j 8.06325e-07-0j 0.000182716-0j 7.81612e-06-0j 0.00011189-0j -1.53785e-05-0j 4.55407e-07-0j 0.000308818-0j 4.6057e-07-0j 2.28395e-05-0j 0.000189112-0j -9.06185e-07-0j 1.34583e-06-0j 3.86022e-05-0j 2.27466e-06-0j 
-0.00254817-0j 0.00302838-0j -0.00162526-0j -0.0438376-0j -0.0167744-0j 0.0106956-0j -0.0152706-0j 0.0295521-0j -0.000201198-0j 0.00276059-0j -0.000639174-0j 0.00876996-0j -0.000185571-0j 0.00254618-0j 0.000187347-0j 0.000155947-0j -0.00257055-0j -0.00213971-0j -0.000118359-0j 0.00162398-0j -0.000445704-0j 0.00611541-0j 0.0214721-0j 0.00124599-0j 0.000315914-0j -0.0228245-0j -0.00132447-0j -0.0550157-0j -0.000335811-0j 0.0125254-0j 0.0555423-0j -0.00319248-0j 0.000726829-0j -0.0210517-0j -0.000809433-0j 0.00322304-0j 0.00774968-0j 0.000184283-0j 0.0112979-0j 0.000817181-0j -0.0012216-0j -0.0135513-0j 0.000449702-0j -0.000309729-0j 0.000655602-0j 0.0370876-0j 0.000114019-0j -0.000786362-0j 0.000166224-0j 0.037276-0j 0.00215213-0j -0.000199377-0j 0.00054566-0j 0.00216307-0j 0.000548433-0j -0.000120088-0j -0.13486-0j -1.22564e-05-0j 0.000237824-0j 0.000125866-0j 2.81753e-05-0j 0.141349-0j -0.000101514-0j 1.28461e-05-0j 0.000102485-0j -0.000249268-0j 0.000271356-0j -2.9531e-05-0j -0.114001-0j -0.000322493-0j -1.03607e-05-0j 0.115093-0j 0.304736-0j 7.34217e-05-0j 0.000173074-0j 1.04599e-05-0j 0.00020104-0j 2.76951e-05-0j -6.62058e-05-0j -0.000202964-0j 2.38174e-05-0j -0.000537399-0j -0.362165-0j 9.45253e-05-0j -2.40454e-05-0j 0.0824537-0j -3.29143e-05-0j 4.54274e-05-0j -6.36662e-05-0j 0.194365-0j -0.000182928-0j 7.49357e-06-0j -0.0743502-0j 1.76643e-05-0j 0.000638673-0j -4.22269e-05-0j -6.7571e-06-0j 0.106153-0j -0.000145406-0j 7.56643e-05-0j -0.00034276-0j -0.000224879-0j 0.0510156-0j 0.000131116-0j 9.64745e-06-0j -0.205431-0j -1.72264e-05-0j -4.06071e-05-0j -0.000131551-0j 4.63641e-06-0j -0.0474215-0j -0.0001872-0j -1.867e-05-0j 1.55334e-05-0j -8.99654e-05-0j -4.30977e-06-0j -2.21778e-05-0j -0.252542-0j 0.000362275-0j -2.29516e-05-0j 8.36272e-05-0j -1.06583e-05-0j -0.147733-0j 4.29191e-05-0j 0.000445355-0j -1.34263e-05-0j 9.9074e-06-0j 5.27617e-05-0j 0.000260526-0j 3.08647e-05-0j 
-0.00503342-0j 0.00127409-0j 0.000743216-0j 0.000128621-0j -0.00073358-0j 9.18914e-05-0j 0.000131301-0j 5.41588e-05-0j -0.0155472-0j 1.17341e-05-0j -0.0175624-0j 1.32551e-05-0j 0.0701014-0j -5.29083e-05-0j 0.0708278-0j -0.0125472-0j -5.34566e-05-0j 9.46987e-06-0j -0.0103509-0j 7.81224e-06-0j -0.00330716-0j 2.49605e-06-0j 6.05565e-05-0j -0.00204723-0j 8.92081e-07-0j 6.70237e-05-0j -0.00226587-0j 5.29869e-05-0j 9.87353e-07-0j 0.000231756-0j 5.3536e-05-0j -0.00179133-0j -0.00783499-0j -0.000302206-0j 7.80571e-07-0j -0.00180989-0j 2.1856e-05-0j 3.41409e-06-0j -0.000176287-0j 7.8866e-07-0j 0.0102167-0j 3.8248e-05-0j -0.000738886-0j -4.45192e-06-0j 0.00595974-0j 2.23113e-05-0j 3.21969e-07-0j -0.00129305-0j -2.59695e-06-0j 5.82046e-06-0j -0.000754279-0j 5.63446e-07-0j 3.28677e-07-0j -0.000196772-0j 8.57434e-08-0j 4.85227e-05-0j 8.08712e-06-0j 0.0896119-0j -0.000193324-0j 5.29536e-05-0j 5.95672e-08-0j 8.82561e-06-0j 4.10177e-05-0j 0.0977949-0j 4.14428e-05-0j -0.000210978-0j -0.00018305-0j 6.50067e-08-0j 6.83628e-06-0j 4.63344e-05-0j 0.0757516-0j 6.90713e-06-0j -3.05083e-05-0j 0.000202659-0j 2.70284e-05-0j 0.0765366-0j -0.000163423-0j -0.338057-0j -0.000130777-0j -0.000165116-0j 5.0354e-08-0j 0.000729306-0j 7.72241e-06-0j -0.000186863-0j 5.08758e-08-0j 3.37766e-05-0j 0.0855706-0j 1.9112e-05-0j -2.24715e-07-0j 4.50474e-06-0j -7.70771e-05-0j 0.374272-0j -2.17962e-05-0j 0.0499162-0j -0.000184605-0j 1.931e-05-0j -0.241519-0j -3.11439e-05-0j -0.000807435-0j 5.68809e-08-0j -0.000107687-0j 8.7252e-06-0j 3.18533e-06-0j 0.000521041-0j -0.345099-0j -1.28462e-05-0j 2.48788e-07-0j 3.31805e-08-0j 1.92373e-06-0j 0.0352961-0j 3.21834e-06-0j 0.0007445-0j -0.142346-0j -1.60544e-07-0j -7.61459e-05-0j 0.0356618-0j -2.29396e-07-0j 1.4542e-06-0j 0.00030709-0j 0.0161137-0j -7.6935e-05-0j 2.34622e-08-0j 3.20621e-07-0j -9.46211e-08-0j -3.47629e-05-0j 0.00355274-0j 2.37053e-08-0j 1.07112e-08-0j -7.6645e-06-0j 2.3616e-09-0j 
-0.000315254-0j 0.000375146-0j -0.000227563-0j -0.0109623-0j 0.00436762-0j -0.00781866-0j -0.00367509-0j 0.00157636-0j 0.00236772-0j -0.0158898-0j -0.00783191-0j 0.0525602-0j -0.00210007-0j 0.0140936-0j 0.00220645-0j -0.00558596-0j -0.0148076-0j 0.0374875-0j -0.00151591-0j 0.0101733-0j 0.000503657-0j -0.00338005-0j -1.85416e-05-0j -0.0296378-0j -0.00370223-0j -2.05217e-05-0j -0.032803-0j -4.56851e-05-0j -0.00409762-0j -1.08159e-05-0j 4.79995e-05-0j -0.0730255-0j -0.0172887-0j 1.82019e-05-0j -0.00912205-0j 0.0767248-0j 3.269e-05-0j -0.00215964-0j -1.10412e-05-0j 0.00958416-0j 0.0290949-0j 3.42347e-05-0j 0.0522534-0j 0.00363442-0j -0.0176489-0j 6.56941e-06-0j 0.00652729-0j 0.0547225-0j -0.00220463-0j -1.78214e-06-0j 0.0105009-0j 0.00683572-0j 0.00131173-0j -0.00284867-0j -0.000355845-0j -1.4857e-05-0j 0.000235385-0j 0.000289986-0j 0.130211-0j -1.62137e-05-0j -0.000497907-0j 0.00025688-0j 1.20774e-05-0j 0.000316467-0j -1.26892e-05-0j 0.142102-0j 3.35715e-05-0j -0.000543374-0j -0.000191347-0j -3.99494e-05-0j -0.000235732-0j 0.00020104-0j -0.000531887-0j -9.45798e-06-0j 2.42332e-05-0j 0.000247674-0j -0.10585-0j -0.000655266-0j 2.39443e-05-0j 0.111212-0j 0.000404753-0j -0.294232-0j 0.000632934-0j 1.12548e-05-0j -0.000425258-0j 0.000149846-0j 0.000779752-0j 2.85858e-05-0j 0.00112509-0j -0.000383936-0j -4.82751e-06-0j 0.000184605-0j -0.000379358-0j -0.000472996-0j 0.35013-0j 1.72839e-05-0j -0.000467356-0j -0.000178314-0j 0.0828928-0j -0.00133884-0j -0.212388-0j 2.56908e-06-0j -0.000452896-0j -0.209855-0j -0.000219676-0j 7.64841e-05-0j -0.000316968-0j 0.000812136-0j -5.89018e-07-0j -0.000557952-0j -0.000273835-0j -0.0986406-0j 9.42257e-05-0j 0.000802452-0j -0.250536-0j -0.000337355-0j 0.000377185-0j -4.07029e-05-0j 0.0423099-0j -5.01445e-05-0j -0.151482-0j 0.000958006-0j 9.33205e-06-0j -0.000161786-0j -0.0225162-0j 1.14968e-05-0j 0.00057924-0j 8.60983e-05-0j 0.00516235-0j -1.974e-05-0j 
-0.00156043-0j 0.0018545-0j -0.000995262-0j 0.000570803-0j 0.000218417-0j -0.000139266-0j 0.000198836-0j -0.000384793-0j 0.0235624-0j -1.77835e-05-0j 0.0748543-0j -5.64955e-05-0j 0.0217324-0j -1.64023e-05-0j -0.0219404-0j -0.0182631-0j 1.65593e-05-0j 1.37839e-05-0j 0.0138612-0j -1.04616e-05-0j 0.0521969-0j -3.93951e-05-0j -9.1776e-05-0j 0.00310267-0j -1.35199e-06-0j 9.75565e-05-0j -0.0032981-0j 0.000235148-0j 1.43714e-06-0j -5.3536e-05-0j -0.000237399-0j -0.00794967-0j 0.00180989-0j 8.99794e-05-0j 3.46406e-06-0j 0.00802576-0j -3.31237e-05-0j -7.8866e-07-0j -4.82897e-05-0j -3.49722e-06-0j -0.00304194-0j 5.79211e-05-0j 0.00111981-0j 1.32552e-06-0j 0.00163253-0j -0.00015852-0j -4.87959e-07-0j -0.00195814-0j -7.11374e-07-0j -0.000159325-0j 0.00535908-0j 8.53258e-07-0j -2.33522e-06-0j 0.00538631-0j -2.34708e-06-0j -7.35383e-05-0j -1.22564e-05-0j -0.135811-0j 0.000292991-0j 7.70768e-05-0j -9.02768e-08-0j 1.28461e-05-0j -6.21642e-05-0j 0.142346-0j 6.27592e-05-0j -0.000307089-0j 0.000166171-0j 9.46207e-08-0j -1.03607e-05-0j -0.000197486-0j -0.114805-0j 1.04599e-05-0j 2.76951e-05-0j 4.49614e-05-0j 0.000105986-0j 0.115904-0j 0.000247674-0j 0.306884-0j -4.05426e-05-0j -0.000250045-0j -7.63137e-08-0j -0.000662056-0j -3.29143e-05-0j 5.78847e-05-0j 7.70441e-08-0j 7.49357e-06-0j -0.364718-0j 2.78185e-05-0j 2.03994e-07-0j 1.76643e-05-0j -0.00011202-0j 0.0830349-0j -6.7571e-06-0j 0.195735-0j 0.000786823-0j -2.58586e-05-0j -0.0748742-0j 9.64745e-06-0j -0.000179135-0j -2.42437e-07-0j -0.000422268-0j -0.00013771-0j 4.63641e-06-0j 0.00016153-0j 0.106902-0j -1.867e-05-0j 5.51954e-08-0j 1.3011e-07-0j -8.05579e-05-0j 0.0513752-0j -4.30977e-06-0j -0.000230624-0j -0.206879-0j -4.97708e-08-0j -0.000110834-0j -0.0477558-0j 7.10602e-08-0j -2.29516e-05-0j 0.00044631-0j -0.254323-0j 0.000103026-0j 3.41504e-08-0j -1.34263e-05-0j -1.37518e-07-0j 0.000548662-0j -0.148775-0j -3.17444e-08-0j -1.69055e-07-0j 0.000320959-0j -9.88942e-08-0j 
-0.010923-0j -0.0379487-0j -0.00696684-0j -0.00136452-0j 0.00152892-0j -0.000828173-0j -0.0040688-0j -0.00269355-0j -0.000862455-0j -0.000124485-0j 0.000935681-0j 0.000135054-0j 0.00232539-0j 0.000335641-0j 0.000803083-0j 0.000567897-0j 0.000115915-0j 8.19688e-05-0j 0.00148316-0j 0.000214076-0j -0.00191056-0j -0.000275766-0j -0.000642432-0j -0.000113567-0j -9.46392e-06-0j 0.000682896-0j 0.00012072-0j 0.00164327-0j 1.006e-05-0j -0.000374752-0j 0.000567509-0j 0.000290491-0j -6.62474e-05-0j -0.00184125-0j 2.42076e-05-0j 0.000100322-0j -0.00285624-0j -5.52062e-06-0j -0.000338028-0j 8.36019e-06-0j -0.000325491-0j 0.00034444-0j -0.000504916-0j -2.71242e-05-0j -5.97554e-05-0j 0.0032438-0j -4.20763e-05-0j 6.0889e-05-0j -4.97962e-06-0j -0.00111528-0j 0.000573428-0j 5.07408e-06-0j 4.77857e-05-0j -0.000197155-0j -1.64296e-05-0j 0.0985694-0j -8.57947e-05-0j -5.25383e-05-0j -1.07243e-05-0j -0.103312-0j -6.31938e-07-0j 8.99229e-05-0j -0.24358-0j 5.50663e-05-0j -0.0841213-0j 1.12404e-05-0j 0.0760638-0j 6.62345e-07-0j 0.000212012-0j 0.264261-0j 0.00012983-0j 7.3219e-05-0j -6.62058e-05-0j -0.0602655-0j 0.0485145-0j 4.48373e-05-0j 2.65014e-05-0j -4.05426e-05-0j 0.0461657-0j 9.15238e-06-0j 1.56161e-06-0j -8.27573e-06-0j -0.000230012-0j 0.226812-0j 5.39309e-07-0j 5.2455e-05-0j -0.000140853-0j -0.459324-0j -4.87652e-07-0j -4.22269e-05-0j 0.15015-0j 3.2122e-05-0j -4.01826e-05-0j -2.58586e-05-0j -2.87515e-05-0j 0.0294451-0j -2.46067e-05-0j -0.000197416-0j 6.55688e-06-0j -1.6942e-06-0j -5.27837e-06-0j -0.539592-0j 0.000399795-0j -5.02282e-06-0j -0.000120892-0j -0.00013069-0j 3.86368e-07-0j -3.11031e-07-0j 0.107978-0j 0.000244823-0j -2.5629e-05-0j -2.46771e-05-0j -8.0031e-05-0j -2.95973e-07-0j 4.99743e-05-0j -1.56945e-05-0j -1.45411e-06-0j 0.00046966-0j -1.63363e-05-0j 0.000287607-0j -3.20362e-06-0j 2.94477e-06-0j -9.39842e-05-0j -9.62623e-07-0j 5.87075e-05-0j -5.75534e-05-0j -1.88775e-07-0j 3.45937e-06-0j -1.1748e-05-0j -6.92259e-07-0j 
0.00102744-0j -0.000260072-0j -0.000151708-0j 0.00249578-0j -0.0142345-0j 0.00178307-0j 0.00254778-0j 0.0010509-0j 0.00157848-0j -0.0105932-0j 0.00178308-0j -0.0119663-0j -0.00711728-0j 0.0477643-0j -0.00719104-0j 0.0012739-0j 0.0482593-0j -0.00854916-0j 0.00105091-0j -0.00705269-0j 0.000335771-0j -0.00225337-0j -1.2361e-05-0j -0.0197585-0j -0.00246816-0j -1.36812e-05-0j -0.0218687-0j -1.08159e-05-0j -0.00273175-0j -4.73071e-05-0j -1.0928e-05-0j -0.0172887-0j -0.0756181-0j 6.16876e-05-0j -0.00215964-0j -0.0174679-0j -4.46133e-06-0j -0.00944591-0j 3.59844e-05-0j -0.00218202-0j 0.0986046-0j -7.80734e-06-0j -0.00713123-0j 0.0123173-0j 0.0575194-0j -4.55428e-06-0j -0.000890805-0j -0.0124796-0j 0.00718509-0j -1.1881e-06-0j -0.00727979-0j -0.00155891-0j -0.000909363-0j -0.00189911-0j -0.00023723-0j -9.90465e-06-0j 0.000156923-0j 0.000193324-0j 0.0868077-0j -1.08091e-05-0j -0.000331938-0j 0.000171253-0j -8.3727e-06-0j 0.000210978-0j -8.45947e-06-0j 0.0947347-0j 3.73649e-05-0j -0.000362249-0j 0.000132652-0j -9.45798e-06-0j 0.000163423-0j 0.000134027-0j -0.000591986-0j -4.13677e-05-0j -5.51715e-06-0j 0.000165116-0j 0.0733812-0j -0.000729306-0j 2.66947e-05-0j 0.0741416-0j -0.000280597-0j -0.327478-0j 0.000149846-0j 3.81433e-05-0j -0.000283505-0j 0.000655404-0j 0.000184605-0j -3.90122e-06-0j 0.00125222-0j 8.74104e-05-0j 1.57333e-05-0j 0.000807435-0j -0.000422935-0j 0.000107687-0j 0.0828928-0j -3.94164e-06-0j -0.000521041-0j -0.000604319-0j 0.36256-0j -0.000316968-0j 0.0483541-0j -1.78102e-06-0j 6.18085e-05-0j -0.233962-0j -0.0007445-0j -0.000249269-0j -0.00138637-0j -0.000184898-0j -3.92679e-07-0j 7.61459e-05-0j 6.2449e-05-0j -0.3343-0j -0.00030709-0j 0.00089463-0j 0.0341915-0j 7.6935e-05-0j 0.00127831-0j 2.82175e-05-0j -0.137892-0j 3.47629e-05-0j 0.0345459-0j -0.000130743-0j 6.22137e-06-0j 0.000527275-0j 0.0156095-0j 7.6645e-06-0j -0.000132098-0j -5.96881e-05-0j 0.00344157-0j -1.316e-05-0j 
0.00572092-0j 6.93006e-05-0j 0.00412172-0j 0.0172867-0j -0.000776115-0j -0.0361033-0j 0.0162983-0j -0.0212605-0j -0.000232323-0j 0.00318765-0j -5.19427e-06-0j 7.12694e-05-0j -0.000400648-0j 0.0054972-0j -0.000404281-0j 1.08482e-05-0j 0.00554705-0j -0.000148846-0j -0.000288653-0j 0.00396054-0j 0.000192786-0j -0.00264518-0j 0.0247938-0j 0.00143875-0j 0.000364786-0j 0.00054314-0j 3.15176e-05-0j -0.0208625-0j 7.99108e-06-0j -0.0707047-0j -0.0210517-0j -0.00121062-0j -0.00410289-0j 0.00093666-0j -0.000306946-0j -0.0012216-0j -0.0437132-0j -0.00104026-0j 0.0557088-0j -0.000309729-0j 5.43529e-05-0j 0.0439666-0j -0.00253661-0j 1.37809e-05-0j 0.0032327-0j 0.0256584-0j -0.000643142-0j 0.00255131-0j 0.00081963-0j -0.0116324-0j 0.00148892-0j 0.00064687-0j 0.000377506-0j -0.000675012-0j -0.000171145-0j -0.000138665-0j -0.155723-0j -1.41525e-05-0j 0.000274616-0j -2.99515e-06-0j 3.2534e-05-0j -0.0033636-0j 0.000112722-0j -3.05691e-07-0j 0.000113744-0j 5.93166e-06-0j 0.000208052-0j 7.0273e-07-0j 0.126589-0j 2.52024e-06-0j 1.15047e-05-0j 0.127737-0j 0.233645-0j 8.54128e-06-0j 0.000149894-0j 1.1609e-05-0j -0.000223238-0j 2.12342e-05-0j -0.000434516-0j -0.000225262-0j -2.64472e-05-0j -0.00041203-0j 0.00283027-0j 0.000196156-0j -2.6687e-05-0j 0.00959199-0j 2.57221e-07-0j 5.28065e-06-0j -4.88136e-05-0j 0.168333-0j -0.000255879-0j 8.71741e-07-0j -0.487968-0j 1.52985e-05-0j -4.99115e-06-0j -0.000313054-0j -4.43476e-05-0j 0.220286-0j -1.69154e-05-0j -5.91306e-07-0j -0.000296854-0j -9.35392e-05-0j 0.00593025-0j 0.000860526-0j 2.002e-05-0j -0.287356-0j -2.00398e-06-0j -3.51685e-05-0j 3.22234e-05-0j 5.38954e-07-0j -0.351564-0j -0.000388471-0j -2.61155e-05-0j 0.000101947-0j -1.04579e-05-0j -3.19509e-05-0j -4.60226e-05-0j -0.105046-0j 0.000506748-0j -9.54681e-06-0j 0.000619979-0j -1.23896e-06-0j 0.0361873-0j 6.00349e-05-0j 0.000185247-0j 3.28878e-06-0j 7.34496e-05-0j 2.19464e-05-0j -6.38159e-05-0j -7.56034e-06-0j 
1.85765e-05-0j -2.21057e-05-0j 1.34093e-05-0j 0.00129872-0j -0.000517436-0j 0.000926285-0j 0.000435392-0j -0.000186752-0j 1.46676e-06-0j 0.00577954-0j -4.85173e-06-0j -0.0191175-0j -1.30095e-06-0j -0.00512621-0j 1.36686e-06-0j -3.4604e-06-0j 0.00538589-0j -0.0136352-0j -9.39078e-07-0j -0.00370029-0j 3.12006e-07-0j 0.00122941-0j 1.09257e-06-0j -3.69133e-05-0j -0.0414729-0j 1.20926e-06-0j -4.08555e-05-0j 2.69202e-06-0j -0.0459021-0j 6.37334e-07-0j -2.8284e-06-0j -9.09518e-05-0j -2.15327e-05-0j -1.07256e-06-0j -0.102186-0j 9.55593e-05-0j -1.92628e-06-0j -0.0241925-0j 6.50611e-07-0j 0.107363-0j 3.62371e-05-0j -2.0173e-06-0j 6.50807e-05-0j 0.0407132-0j -2.19813e-05-0j -3.87106e-07-0j 0.0731196-0j 6.81558e-05-0j -0.0246966-0j 1.05014e-07-0j 1.30787e-05-0j 0.0765747-0j 0.0146942-0j -3.54796e-06-0j -0.00398622-0j 8.75456e-07-0j -2.78863e-05-0j 8.93509e-08-0j 0.000497907-0j 9.554e-07-0j 0.126012-0j -3.04328e-05-0j -7.11667e-07-0j 9.75101e-08-0j 7.47719e-07-0j 0.000543374-0j -1.97822e-06-0j 0.13752-0j 2.2669e-05-0j 2.35404e-06-0j -7.26342e-08-0j -2.38174e-05-0j 6.30132e-05-0j 5.57317e-07-0j -1.42796e-06-0j 7.63137e-08-0j -0.000404753-0j -2.01901e-07-0j -1.41093e-06-0j 0.000425258-0j -0.102437-0j -0.00112509-0j -7.49843e-05-0j -6.63194e-07-0j 0.107626-0j -1.77525e-05-0j 2.40258e-07-0j -1.68444e-06-0j -0.284744-0j 4.54853e-05-0j 2.84464e-07-0j 5.68809e-08-0j 4.49429e-05-0j -1.4574e-07-0j 0.00133884-0j -1.01846e-06-0j -1.44002e-07-0j 2.1125e-05-0j 0.000316968-0j 0.338839-0j -0.000812136-0j -1.51384e-07-0j 5.36551e-05-0j -0.000802452-0j -6.7687e-08-0j -9.06115e-06-0j 0.0802197-0j -0.205539-0j 3.47082e-08-0j -1.71917e-07-0j 3.24415e-05-0j -0.000377185-0j 2.9033e-08-0j -0.203088-0j -0.000958006-0j -1.03946e-07-0j -0.0954597-0j 4.82211e-06-0j 0.000161786-0j -1.54506e-08-0j -0.00057924-0j -0.242456-0j -1.10558e-06-0j 0.0409455-0j -8.60983e-05-0j 3.5424e-09-0j -0.146597-0j -0.0217901-0j 1.974e-05-0j 0.00499588-0j 
0.000318521-0j -0.000378548-0j 0.000203157-0j 0.0110759-0j 0.00423819-0j -0.00270232-0j 0.00385824-0j -0.00746657-0j -0.00239226-0j 0.0160545-0j -0.00759983-0j 0.0510027-0j -0.00220645-0j 0.0148076-0j 0.00222757-0j 0.00185422-0j -0.0149493-0j -0.0124437-0j -0.0014073-0j 0.00944446-0j -0.00529947-0j 0.0355649-0j 1.87337e-05-0j 0.0299449-0j 0.0037406-0j -1.99136e-05-0j -0.031831-0j -4.79995e-05-0j -0.0039762-0j 1.0928e-05-0j 4.84589e-05-0j -0.0767248-0j 0.0174679-0j -1.8367e-05-0j -0.00958416-0j 0.0774592-0j 6.76135e-06-0j 0.00218202-0j 9.85709e-06-0j 0.0096759-0j -0.0293587-0j -1.18231e-05-0j 0.0108077-0j -0.00366737-0j 0.0157561-0j 3.23577e-05-0j 0.00135005-0j -0.0188986-0j 0.00196819-0j 3.25221e-05-0j 0.0517222-0j -0.00236074-0j 0.00646094-0j 0.0519851-0j 0.00649377-0j 1.50109e-05-0j -0.000237824-0j -0.000292991-0j -0.131561-0j -1.57332e-05-0j 0.000503067-0j 0.000249268-0j 1.26892e-05-0j 0.000307089-0j -1.28107e-05-0j 0.137891-0j -3.39194e-05-0j -0.000527273-0j -0.00020104-0j 4.03117e-05-0j -0.000247674-0j 0.000202964-0j 0.000537399-0j -9.17772e-06-0j -2.16343e-05-0j 0.000250045-0j -0.111212-0j 0.000662056-0j 8.27573e-06-0j 0.112277-0j 0.000425258-0j 0.297281-0j -0.000638673-0j -1.18157e-05-0j -0.000429328-0j 0.000145406-0j -0.000786823-0j -5.67842e-06-0j -0.00113675-0j 0.00034276-0j 2.2866e-05-0j 0.000179135-0j -0.000131116-0j 0.000422268-0j -0.353305-0j 5.27837e-06-0j -0.00016153-0j 0.0001872-0j 0.0804365-0j 0.00135098-0j 0.18961-0j 2.81099e-05-0j 8.99654e-05-0j -0.0725312-0j 0.000230624-0j -0.000362275-0j -0.000307576-0j -0.000725036-0j 1.64438e-05-0j 0.000110834-0j -8.36272e-05-0j 0.103556-0j -0.00044631-0j 0.000277347-0j 0.0497676-0j -0.000103026-0j -0.000395982-0j -0.000445355-0j -0.200405-0j -0.000548662-0j -0.0462614-0j -0.000190303-0j -0.000260526-0j 0.000766316-0j -0.246364-0j -0.000320959-0j 0.000176896-0j 0.000942055-0j -0.144119-0j 0.000551087-0j 
