-0.227621-0j 0.752921-0j -0.209942-0j -0.212117-0j -0.183699-0j -0.151544-0j -0.048419-0j -0.0299728-0j -0.0331738-0j 0.0767964-0j -0.0174842-0j 0.0775922-0j -0.0305973-0j -0.0108178-0j -0.0178484-0j -0.0189311-0j -0.0110431-0j -0.00288087-0j -0.0196095-0j -0.00283039-0j -0.0214002-0j -0.00308885-0j -0.0165765-0j -0.00239261-0j -0.0167483-0j 0.0443106-0j -0.00241741-0j 0.00639568-0j 0.0548315-0j -0.0124834-0j 0.00791425-0j 0.031985-0j -0.010811-0j -0.00180183-0j 0.00461664-0j -0.00156043-0j -0.0154475-0j -0.00772373-0j -0.00222965-0j -0.00637175-0j -0.00111482-0j -0.00780377-0j -0.000919683-0j -0.00112638-0j -0.00352612-0j -0.000508952-0j -0.000777436-0j -0.000112213-0j -0.0149676-0j -0.00264592-0j -0.000220494-0j -0.0161669-0j -0.00285792-0j -0.00023816-0j -0.0123476-0j -0.0124756-0j -0.00218277-0j -0.0110441-0j -0.000181898-0j -0.00220539-0j 0.0518441-0j -0.000183783-0j -0.00195233-0j -0.0136663-0j 0.00916482-0j -0.000162694-0j -0.00797203-0j 0.0365314-0j 0.000763735-0j -0.00241589-0j 0.0223708-0j -0.00140927-0j -0.000201324-0j -0.00720279-0j 0.0064579-0j 0.031965-0j -0.000117439-0j -0.00727743-0j 0.00395464-0j 0.000538158-0j 0.0131849-0j -0.008913-0j -0.00127329-0j 0.00565066-0j 0.000329553-0j -0.00222825-0j -0.000106107-0j -0.00128648-0j -0.00735285-0j 0.00233078-0j 0.000470888-0j -0.00450268-0j -0.00157561-0j -0.000107207-0j -0.00234927-0j 0.000194232-0j -0.000393902-0j -0.00129981-0j -0.00321687-0j -0.000131301-0j -3.28252e-05-0j -0.000795969-0j -0.000108318-0j -0.000415296-0j -0.00118681-0j -0.000568668-0j -6.63307e-05-0j -3.4608e-05-0j -0.00022661-0j -0.0002098-0j -4.7389e-05-0j -1.74833e-05-0j -4.00593e-05-0j -3.33828e-06-0j 
0.265558-0j 0.00593733-0j -0.476226-0j 0.462115-0j 0.00424183-0j -0.343105-0j -0.220365-0j 0.0349683-0j 0.000766025-0j 0.0305973-0j -0.0997194-0j -0.0296906-0j -0.00137372-0j 0.0126207-0j 0.0785697-0j -0.021212-0j -0.037631-0j -0.016406-0j 0.0228778-0j 0.00330212-0j 0.000494156-0j 7.13253e-05-0j 0.0193393-0j 0.00279138-0j -0.0187662-0j -0.0343255-0j -0.00270867-0j -0.00495446-0j 0.000432387-0j -0.00140919-0j 6.24096e-05-0j -0.0247303-0j -0.0245233-0j -0.000203399-0j -0.00356952-0j -0.00353964-0j 0.0336535-0j 0.00017835-0j 0.00485747-0j 0.0422163-0j 2.57427e-05-0j -0.0176682-0j 0.00609339-0j -0.00255019-0j -0.0160481-0j -0.00231635-0j -0.00531639-0j -0.000767355-0j 0.0174622-0j 0.00308691-0j 0.000257242-0j 0.000373312-0j 6.59929e-05-0j 5.49941e-06-0j 0.0144056-0j -0.0139787-0j 0.00254657-0j -0.0250521-0j 0.000212214-0j -0.00247111-0j 0.00882158-0j -0.000205926-0j -0.00442862-0j 0.000315572-0j 0.00155945-0j -0.000369052-0j -0.0180491-0j -0.000560113-0j 0.000129954-0j 5.57858e-05-0j 0.008913-0j -0.00319067-0j 4.64882e-06-0j -0.0410805-0j -9.9015e-05-0j -0.0122314-0j -0.000265889-0j 0.0398632-0j 0.00157561-0j -8.25125e-06-0j -0.0153435-0j -0.000400164-0j -0.00726207-0j -0.00216222-0j 0.000131301-0j 0.00259962-0j -0.000605173-0j 0.00704688-0j 0.0323676-0j -0.00271237-0j -0.000180185-0j -0.00504518-0j -7.07397e-05-0j 0.00058724-0j 0.0207887-0j -0.000226031-0j 0.000459553-0j 0.00572185-0j -0.0109619-0j -5.89498e-06-0j 3.82961e-05-0j -0.000891871-0j 0.00047682-0j 0.00367496-0j -0.00675862-0j -0.00193781-0j -7.43226e-05-0j 0.000306247-0j -0.00180879-0j -0.00119477-0j -0.000161484-0j -9.95638e-05-0j -0.000319751-0j -2.66459e-05-0j 
0.16262-0j 0.183699-0j -0.438464-0j 0.151544-0j 0.111493-0j -0.3165-0j 0.0345922-0j 0.0214136-0j 0.0237005-0j -0.0547735-0j 0.0124913-0j 0.0189311-0j -0.0639025-0j 0.0952044-0j 0.0127515-0j 0.0114899-0j -0.0230636-0j 0.0020582-0j 0.0140097-0j 0.00202213-0j 0.015289-0j 0.00220678-0j -0.0346201-0j -0.00499698-0j 0.0119656-0j 0.010811-0j 0.00172708-0j 0.00156043-0j -0.0391075-0j 0.0089186-0j -0.00564469-0j 0.00780377-0j 0.00656155-0j 0.00128729-0j 0.00112638-0j 0.000947078-0j -0.0322621-0j 0.0679746-0j -0.00465663-0j 0.0045522-0j 0.00981129-0j 0.00473638-0j 0.000657054-0j 0.000683637-0j -0.00736431-0j -0.00106295-0j 0.000555427-0j 8.0169e-05-0j 0.0106934-0j 0.00189034-0j 0.000157528-0j 0.0115502-0j 0.0020418-0j 0.00017015-0j -0.0257881-0j 0.008913-0j -0.00455873-0j 0.00789026-0j -0.000379894-0j 0.00157561-0j 0.00540209-0j 0.000131301-0j 0.00139481-0j -0.0285422-0j 0.000954964-0j 0.000116234-0j 0.00569549-0j 0.008913-0j 7.95803e-05-0j -0.00504559-0j 0.0046368-0j 0.00100683-0j -0.000420466-0j -0.015043-0j 0.00157561-0j -0.0227984-0j 8.39025e-05-0j 0.00519925-0j 0.000819678-0j 0.000131301-0j 0.00321687-0j 0.0054096-0j -0.00265926-0j -0.00403023-0j 6.83065e-05-0j 0.0501198-0j -0.000221605-0j 0.000919106-0j -0.0153564-0j 0.000568668-0j -0.000335852-0j 0.0396269-0j 0.000956291-0j 7.65921e-05-0j 0.0016784-0j 4.7389e-05-0j 0.00886002-0j -0.00271466-0j 0.00195243-0j 7.96909e-05-0j 0.000738335-0j 0.00700512-0j -0.000226222-0j 0.000296702-0j -0.00247865-0j 0.000345144-0j 0.00058376-0j 2.47252e-05-0j 0.000161898-0j -0.000438168-0j 2.8762e-05-0j -3.6514e-05-0j 2.86198e-05-0j 2.38498e-06-0j 
-0.232363-0j 0.252091-0j 0.206096-0j 0.216367-0j -0.526494-0j 0.131451-0j -0.514744-0j -0.0305973-0j 0.0325244-0j 0.0257458-0j -0.0178484-0j 0.0270289-0j -0.0288478-0j 0.0539451-0j -0.0160993-0j -0.0564498-0j 0.0508221-0j -0.0531176-0j -0.020018-0j -0.00288935-0j 0.0209812-0j 0.00302838-0j 0.0162728-0j 0.00234878-0j 0.0170838-0j -0.0154475-0j 0.00246584-0j -0.00222965-0j -0.0176545-0j 0.0122391-0j -0.0025482-0j -0.00985259-0j 0.0322621-0j 0.00176656-0j -0.0014221-0j 0.00465663-0j -0.0151526-0j -0.0369914-0j -0.00218709-0j -0.0304932-0j -0.00533924-0j 0.0205772-0j -0.00440132-0j 0.00297006-0j 0.0360485-0j 0.00520316-0j -0.0219289-0j -0.00316516-0j -0.0152794-0j -0.00270105-0j -0.000225087-0j 0.0158504-0j 0.00280197-0j 0.000233498-0j 0.0121214-0j 0.0127255-0j 0.00214279-0j -0.0112741-0j 0.000178566-0j 0.00224958-0j -0.00771888-0j 0.000187465-0j -0.00199301-0j -0.0128849-0j -0.00136452-0j -0.000166084-0j -0.0071908-0j 0.0122314-0j -0.00011371-0j -0.00227775-0j 0.0227984-0j -0.00127117-0j -0.000189813-0j 0.00707084-0j 0.00216222-0j -0.0107078-0j -0.00010593-0j 0.00742322-0j 0.00403023-0j 0.000180185-0j -0.0215484-0j -0.0255452-0j 0.00124996-0j -0.00189289-0j 0.000335852-0j 0.0155737-0j 0.000104163-0j 0.00131225-0j 0.00637793-0j -0.00380926-0j -0.000157741-0j -0.022436-0j -0.0045158-0j 0.000109354-0j -0.0249751-0j -0.000317438-0j 0.00275307-0j 0.00112747-0j 0.0450039-0j -0.000376317-0j 0.000229423-0j -0.00396616-0j 9.39558e-05-0j -0.00441502-0j 0.0210431-0j 0.00795565-0j -0.000330513-0j -0.000367918-0j -0.00905009-0j 0.00371993-0j 0.000662971-0j 0.000309994-0j -0.00159985-0j -0.00013332-0j 
0.0958448-0j -0.316233-0j 0.0884006-0j 0.418719-0j -0.225928-0j 0.0780786-0j -0.378379-0j 0.0126207-0j -0.0407999-0j 0.0110431-0j 0.00736209-0j 0.052307-0j -0.037631-0j 0.00455506-0j 0.00919588-0j 0.0373699-0j -0.0639903-0j 0.0372346-0j 0.00825702-0j 0.0011918-0j -0.0263197-0j -0.00379892-0j 0.00697991-0j 0.00100746-0j 0.033061-0j 0.00637175-0j 0.00477195-0j 0.000919683-0j -0.0230297-0j -0.0153531-0j -0.00332405-0j 0.00562776-0j 0.0045522-0j -0.00221603-0j 0.000812298-0j 0.000657054-0j 0.0304932-0j -0.00949927-0j 0.00440132-0j -0.0369216-0j -0.0013711-0j 0.00402067-0j -0.00532918-0j 0.000580333-0j -0.0275555-0j -0.00397729-0j 0.0654778-0j 0.0094509-0j 0.00630244-0j 0.00111412-0j 9.28437e-05-0j -0.0198833-0j -0.0035149-0j -0.000292909-0j 0.00519925-0j 0.0246268-0j 0.000919106-0j 0.00465035-0j 7.65921e-05-0j 0.00435344-0j 0.00318388-0j 0.000362787-0j 0.000822073-0j -0.016808-0j 0.000562835-0j 6.85061e-05-0j 0.00410736-0j -0.0153435-0j 4.69029e-05-0j -0.00297125-0j 0.00321687-0j 0.000726085-0j -0.000247605-0j 0.00303289-0j -0.00271237-0j 0.0215484-0j 6.05071e-05-0j 0.0143656-0j 0.000568668-0j -0.000226031-0j -0.0260911-0j -0.0109619-0j 0.000536145-0j 0.00380926-0j 4.7389e-05-0j 0.000938254-0j 4.46788e-05-0j 0.00253951-0j 0.00378834-0j -0.0046123-0j 0.000317438-0j 0.00888827-0j -0.00193781-0j 0.000211626-0j -0.0183588-0j -0.000384359-0j 0.000165861-0j 0.00066969-0j -0.0186404-0j -0.000161484-0j 1.38218e-05-0j 0.00157124-0j 5.58075e-05-0j -0.0032454-0j 0.0153392-0j -0.00329519-0j 0.000130937-0j -0.00027045-0j 0.0551131-0j 0.00271162-0j -0.000274599-0j 0.000225968-0j 0.00974272-0j 0.000811893-0j 
-0.114925-0j 0.0331738-0j 0.0270863-0j 0.027367-0j 0.0237005-0j 0.0195519-0j 0.00624694-0j -0.181868-0j 0.787725-0j -0.159134-0j -0.10609-0j -0.160783-0j -0.185657-0j -0.0656396-0j -0.1083-0j -0.114869-0j -0.0670071-0j -0.0174804-0j 0.00252999-0j -0.0347134-0j 0.00276102-0j -0.0378833-0j -0.00836942-0j 0.114835-0j -0.00845615-0j 0.00195233-0j 0.116025-0j -0.0267875-0j 0.00241589-0j 0.00161059-0j -0.0331479-0j 0.00140927-0j 0.00139481-0j -0.0220986-0j -0.0193363-0j -0.0191379-0j 0.00199301-0j 0.000996503-0j -0.0273456-0j 0.000822073-0j -0.0136728-0j 0.00100683-0j -0.0112795-0j -0.0138145-0j 0.000454934-0j -0.00624205-0j 0.000100304-0j -0.00137624-0j 0.00193109-0j -0.0160548-0j -0.0040706-0j 0.00208582-0j -0.0173412-0j -0.00439675-0j 0.00159307-0j 0.00160958-0j -0.0132445-0j -0.00557611-0j -0.00335807-0j -0.0133818-0j 0.000975553-0j -0.00339287-0j 0.0463589-0j -0.00690008-0j -0.00811059-0j 0.011754-0j -0.00402505-0j 0.00160958-0j -0.00205639-0j 0.0573662-0j 0.000985663-0j 0.0334636-0j 0.0145448-0j 0.000929292-0j -0.0133818-0j 0.00140838-0j 0.00848449-0j 0.000938922-0j -0.00819464-0j -0.00339287-0j 0.000580928-0j 0.00114994-0j -0.00772598-0j -0.0117091-0j -0.0020777-0j 0.000287485-0j -0.00195887-0j -0.00780605-0j 0.000948652-0j -0.00482974-0j -0.00296876-0j 0.000580928-0j -0.00956041-0j -0.00197917-0j 0.000303099-0j -0.00122455-0j -0.0023901-0j -0.00788694-0j 0.000415035-0j -0.00242398-0j -0.000605996-0j -0.00482974-0j -0.00199968-0j -0.00251992-0j 0.00015312-0j -0.00345054-0j -0.00122455-0j -0.000638909-0j 2.92368e-05-0j -0.00127301-0j -0.000874862-0j -0.000322765-0j -0.00024307-0j -6.1629e-05-0j 
-0.0331738-0j 0.00217187-0j -0.0305973-0j 0.0296906-0j -0.000529896-0j 0.0428611-0j 0.0275283-0j 0.205442-0j 0.00450045-0j -0.526382-0j 0.119841-0j 0.510784-0j 0.00415091-0j 0.0741478-0j -0.237411-0j -0.124622-0j -0.221085-0j -0.0963863-0j -0.00285792-0j 0.0392129-0j -6.17307e-05-0j 0.000846994-0j -0.00241589-0j 0.0331479-0j 0.0023443-0j 0.0064579-0j -0.0321656-0j -0.0886074-0j 0.000158166-0j -3.60096e-05-0j -0.00217017-0j -0.00904632-0j -0.00157561-0j 0.00049408-0j 0.124123-0j 0.0216186-0j 0.00216222-0j -2.22798e-05-0j -0.0296674-0j 0.00271237-0j 0.000305696-0j 0.00220714-0j -0.0372158-0j -0.0302837-0j 0.00200475-0j -0.0275068-0j 0.000664131-0j -0.0091124-0j -0.0021814-0j 0.0181358-0j 0.00459823-0j -4.66347e-05-0j 0.000387714-0j 9.83024e-05-0j -0.00179957-0j 0.00174624-0j 0.0149613-0j -0.00160958-0j 0.00379335-0j -0.014518-0j 0.00755585-0j -0.00368094-0j 0.0133818-0j -3.94217e-05-0j -0.0628181-0j 0.00339287-0j 0.00225473-0j 0.000105378-0j -0.0159271-0j 0.000327746-0j 0.00326036-0j -0.0187454-0j 8.3098e-05-0j -0.00104975-0j -0.000876096-0j -0.00447422-0j -0.00475279-0j 0.00101864-0j -0.0271061-0j -0.000222129-0j -0.00561263-0j -2.57103e-05-0j 0.00872742-0j 0.0371979-0j -0.00687259-0j -0.000324749-0j 0.00221278-0j -0.00846881-0j 0.0020796-0j 0.0466625-0j 0.0094313-0j 0.000630252-0j 0.000213752-0j -0.00214721-0j 0.00133566-0j 0.011831-0j 0.00269991-0j -0.0172895-0j 0.00136938-0j 5.41954e-05-0j 0.000684545-0j -0.00523981-0j -0.00438364-0j -0.0111045-0j 0.000844296-0j -0.0113848-0j -0.00132852-0j -0.00281547-0j 0.000225956-0j -0.00701934-0j -0.00288655-0j -0.00177971-0j -0.00187856-0j -0.000476298-0j 
-0.0270863-0j -0.0305973-0j -0.0467112-0j 0.0490775-0j 0.0639025-0j 0.0173417-0j -0.00576175-0j 0.167742-0j 0.185657-0j -0.141145-0j -0.478352-0j 0.148296-0j 0.32017-0j -0.295741-0j -0.194215-0j -0.309716-0j -0.0594324-0j 0.0161227-0j -0.00233348-0j 0.0320172-0j -0.00254657-0j 0.0349409-0j 0.00189691-0j -0.0260271-0j -0.00199301-0j 0.00350113-0j 0.0273456-0j -0.0480382-0j 0.00214279-0j 0.00726207-0j -0.0294007-0j -0.00129981-0j -0.00731212-0j -0.0996413-0j 0.0178344-0j 0.100328-0j -0.003437-0j 0.00448978-0j 0.0471583-0j 0.00147423-0j -0.0616032-0j 0.00271466-0j -0.0202276-0j -0.0372472-0j 0.000403507-0j -0.00553643-0j -9.25131e-05-0j 0.00126935-0j -0.00178111-0j 0.0148078-0j 0.00375444-0j -0.00192382-0j 0.0159943-0j 0.00405526-0j 0.00141299-0j -0.00148457-0j -0.0117473-0j 0.00255526-0j -0.00297846-0j 0.0123424-0j -0.000899783-0j 0.00312935-0j -0.021244-0j 0.00156389-0j 0.00748065-0j -0.00538629-0j -0.000948652-0j 0.00288647-0j 0.00189667-0j -0.0130019-0j 0.00265759-0j 0.00788694-0j -0.00329656-0j -0.00402942-0j -0.0239977-0j 0.00124918-0j 0.00199968-0j 0.00423355-0j -0.0220948-0j -0.00608446-0j -0.000535808-0j -0.0060284-0j 0.0335-0j -0.0103854-0j -0.00560199-0j 0.00181542-0j 0.00849371-0j -0.035197-0j -0.00163598-0j 0.00445462-0j -0.00263316-0j 0.00261739-0j 0.0501192-0j -0.00892399-0j 0.000543549-0j 0.00112944-0j -0.0150931-0j 0.0136013-0j 0.00111904-0j 0.0127074-0j -0.00382676-0j -0.0217606-0j 0.00344851-0j -0.00451898-0j 0.000135811-0j -0.00930349-0j -0.00551726-0j -0.00114576-0j -2.6966e-05-0j -0.00112911-0j -0.00235884-0j -0.000286279-0j 0.000224191-0j 5.68423e-05-0j 
0.027367-0j -0.0296906-0j -0.0490775-0j 0.0495472-0j -0.021212-0j 0.0160993-0j 0.060625-0j -0.169481-0j 0.180155-0j -0.148296-0j 0.483309-0j 0.149715-0j -0.323074-0j -0.0611688-0j 0.173386-0j 0.106962-0j -0.292735-0j -0.294222-0j 0.00235767-0j -0.032349-0j -0.00247111-0j 0.0339055-0j 0.00199301-0j -0.0273456-0j -0.00201208-0j -0.00353741-0j 0.0276073-0j 0.0485361-0j -0.00216222-0j 0.00704688-0j 0.0296674-0j 0.00116041-0j -0.00252725-0j -0.0966887-0j -0.0159217-0j 0.0346758-0j 0.00360828-0j -0.000891871-0j -0.0495084-0j -0.00698284-0j 0.0122372-0j 0.000829037-0j 0.09581-0j -0.011375-0j 0.00441502-0j -0.0605775-0j 0.00258272-0j -0.0354369-0j 0.00179957-0j -0.0149613-0j -0.00379335-0j -0.00186681-0j 0.0155204-0j 0.00393509-0j 0.00148457-0j -0.00149878-0j -0.0123424-0j -0.00258174-0j -0.00312935-0j 0.0124606-0j 0.000909107-0j 0.0031593-0j 0.0214642-0j -0.00157807-0j -0.00755817-0j 0.00544211-0j 0.000846911-0j 0.00280094-0j -0.00191633-0j 0.0131198-0j 0.000918528-0j -0.00704108-0j 0.00332645-0j -0.00423355-0j -0.0232866-0j -0.00131143-0j -0.00178522-0j 0.00427407-0j -0.0076365-0j -0.00590416-0j 0.00253791-0j 0.00200109-0j 0.035197-0j 0.010903-0j -0.00193619-0j 0.000267904-0j 0.00892399-0j -0.0355339-0j -0.00151877-0j -0.0210998-0j 0.00276439-0j -0.000540937-0j -0.0166367-0j -0.0090094-0j -0.00571922-0j -0.00534972-0j -0.00222731-0j 0.0126268-0j 0.00181317-0j -0.00421814-0j -0.000564721-0j 0.00449726-0j 0.00320145-0j 0.0475486-0j 0.00257724-0j -0.0150744-0j 0.00114025-0j 0.0120557-0j 0.00106589-0j -0.0214268-0j -0.00382202-0j -0.00543262-0j -0.00886167-0j -0.00224682-0j 
0.0237005-0j 0.000529896-0j -0.0639025-0j -0.021212-0j 0.000321612-0j 0.0895156-0j -0.0196672-0j -0.146775-0j -0.00321528-0j 0.375432-0j -0.0856185-0j 0.124622-0j 0.00866918-0j -0.652556-0j 0.169615-0j 0.0756374-0j -0.461737-0j 0.0688617-0j 0.0020418-0j -0.0280151-0j 4.41026e-05-0j -0.000605121-0j -0.00504559-0j 0.0692294-0j -0.00167485-0j 0.00157561-0j 0.0229802-0j -0.0216186-0j -0.000112809-0j 2.57265e-05-0j 0.00154783-0j -0.00220714-0j 0.000956291-0j -0.000352987-0j 0.0302837-0j -0.0131211-0j 0.0045158-0j 0.000196079-0j -0.0619603-0j -0.00193781-0j -0.00269035-0j -0.00133959-0j 0.0265883-0j 0.0183802-0j 0.00418693-0j -0.057448-0j -0.000474478-0j 0.00651021-0j 0.00155847-0j -0.0129569-0j -0.00328513-0j 3.33175e-05-0j -0.000276996-0j -7.02306e-05-0j -0.0037584-0j -0.00124757-0j 0.0312467-0j 0.00114994-0j 0.00792241-0j 0.0103721-0j 0.00078731-0j 0.00262979-0j -0.00956041-0j -8.23324e-05-0j -0.00654557-0j -0.00242398-0j -0.00161085-0j 2.57103e-05-0j -0.00165959-0j 0.000684498-0j 0.000675775-0j 0.0133924-0j 0.00017355-0j -0.0021924-0j -0.000213752-0j 0.00319115-0j 0.00339555-0j -0.000727752-0j -0.00561829-0j -5.41954e-05-0j -0.00136938-0j 1.56045e-05-0j 0.0182272-0j -0.0265307-0j -0.00142448-0j 0.00730455-0j 0.00462141-0j 0.00605041-0j 0.00434326-0j 0.0113848-0j -0.0067267-0j -0.00554668-0j -0.000129733-0j 0.00153404-0j -0.000954244-0j 0.00288655-0j -0.0607289-0j -0.0361091-0j -0.000831123-0j -3.2893e-05-0j -0.0153974-0j 0.0461142-0j -0.00915525-0j 0.00793343-0j 0.00176331-0j 0.00690982-0j 0.011692-0j 0.00201147-0j -0.000161431-0j -0.0146599-0j 0.00175194-0j -0.00371693-0j 0.00134211-0j 0.000340284-0j 
-0.0195519-0j 0.0428611-0j 0.0173417-0j -0.0160993-0j -0.0895156-0j 0.0478424-0j 0.0522464-0j 0.121083-0j -0.260071-0j -0.101884-0j 0.0706316-0j 0.0945848-0j 0.230672-0j -0.213477-0j 0.275572-0j -0.197541-0j -0.0524928-0j -0.502599-0j -0.0016844-0j 0.0231112-0j 0.00356727-0j -0.0489458-0j 0.00136926-0j -0.0187874-0j -0.00127117-0j -0.00129981-0j 0.0174414-0j 0.0178344-0j -0.00300165-0j 0.00208091-0j 0.041185-0j -0.00358593-0j 0.00271466-0j -0.0285517-0j 0.0492017-0j -0.0372472-0j 0.00112747-0j -0.00628935-0j -0.0154698-0j -0.00066969-0j 0.0862948-0j 0.00748921-0j 0.00918867-0j -0.102758-0j -0.00365892-0j 0.0502033-0j 0.00643077-0j -0.0882352-0j -0.00128567-0j 0.0106889-0j 0.0027101-0j 0.00269491-0j -0.0224051-0j -0.00568067-0j 0.00101995-0j -0.000946876-0j -0.00847968-0j -0.000948652-0j -0.00214997-0j 0.00787217-0j -0.000649498-0j 0.00199594-0j 0.00788694-0j -0.00219072-0j 0.00539982-0j 0.00199968-0j -0.00261714-0j 0.0020796-0j 0.00136909-0j 0.0182133-0j 0.00191835-0j 0.0217585-0j 0.00461787-0j 0.000594969-0j -0.0172895-0j 0.00079674-0j 0.00551674-0j -0.000552344-0j -0.0159488-0j -0.00438364-0j -0.000473245-0j -0.00434326-0j -0.00494648-0j -0.00662397-0j -0.00404373-0j 0.00131044-0j -0.00125415-0j 0.0045921-0j 0.00232129-0j 0.00393448-0j -0.00167947-0j 0.00166941-0j 0.0361091-0j 0.0011643-0j 0.00253497-0j 0.000997564-0j -0.0108948-0j -0.0192989-0j 0.000988374-0j 0.00915525-0j -0.0027623-0j -0.0138792-0j -0.00489311-0j -0.0210754-0j -0.00423367-0j -0.00821718-0j -0.00351898-0j -0.00534353-0j 0.00345605-0j 0.035198-0j -0.00208342-0j 0.00892424-0j -0.028733-0j -0.00728508-0j 
