-0.029318-0.0512345j 0.0742323-0.0590042j -0.165255+0.00874677j 0.107518-0.115898j 0.150409+0.0906391j 0.176252+0.478841j 0.112623-0.0932791j -0.161431+0.181489j 0.155059-0.055562j 0.275225+0.0669952j -0.0747374+0.0275794j -0.234871+0.00625423j 0.0322881+0.0106724j -0.0533791+0.00579517j -0.0720383+0.154535j -0.0559013+0.0586337j 0.0670912-0.0573147j -0.15563+0.0777645j -0.0580643-0.107848j 0.261764-0.110145j -0.191458+0.0876111j -0.0919517-0.20811j 
0.16501-0.0128864j -0.0349256+0.185034j 0.312945-0.0558516j 0.057326+0.200791j 0.238428-0.0424759j 0.0338862-0.0334806j 0.193334+0.153744j -0.0431508+0.141263j 0.12467-0.198778j 0.0299022+0.193287j -0.0540366+0.0395322j -0.0564832+0.00683933j -0.0240175-0.129842j -0.0300634-0.227299j -0.0821961+0.0143086j -0.208543+0.178614j -0.0504354-0.197352j 0.11563+0.0789048j -0.171485+0.146769j -0.227627-0.256832j -0.072916-0.186229j 0.173689-0.0482588j 
0.0413566-0.218819j 0.188054+0.0341346j 0.108108+0.214226j -0.150997+0.016821j 0.102658+0.125712j -0.0154294+0.00235171j -0.104443-0.13428j -0.0104547-0.17963j -0.177313-0.0670145j -0.0409208-0.00909647j -0.0579565-0.110677j -0.2139-0.05032j -0.311408+0.0813846j 0.114054+0.29035j 0.0443829-0.201522j 0.106039+0.171908j 0.397394-0.326001j -0.150671-0.142273j 0.0596063+0.126182j -0.118472-0.0240723j -0.0392649-0.00828752j -0.00311946-0.0322991j 
-0.0201623+0.0342626j -0.0337701-0.00716581j 0.00862673-0.0264539j -0.0394423+0.00195889j -0.0935695-0.0462596j -0.0616469-0.164801j -0.0417329+0.0237758j 0.034793-0.0463026j -0.0578786+0.0258377j -0.0819922-0.0907993j -0.0416581-0.0292676j 0.12697-0.00267408j 0.014193-0.00805107j 0.000308426-0.0593792j 0.0755796-0.0149045j 0.0335211-0.0564875j -0.0259621+0.0395523j 0.0384221-0.010847j 0.0307358+0.0275135j 0.00619802+0.0897669j 0.0568215-0.0258345j 0.02097+0.0664026j 
-0.0526972+0.00863823j 0.024367-0.0663174j -0.145934-0.00684971j 0.0193866-0.0467896j -0.0638344+0.0150787j -0.0244065+0.129859j -0.0448049-0.0352981j -0.011471-0.0227324j -0.00295375+0.0411247j 0.102041-0.0502072j 0.0226368+0.00739259j 0.0253925+0.0190817j 0.0378432+0.0694611j -0.0127938+0.0688382j 0.0199344+0.0526392j 0.0648369-0.0295556j 0.0231223+0.0579076j -0.0382603+0.0437963j 0.0436737-0.0597866j 0.13514-0.0148602j 0.00106917+0.0702909j -0.0548822-0.0124258j 
0.00648752+0.00823797j 0.000381167+0.0122949j 0.00962703-0.0462323j 0.00947343+0.0343878j -0.0207306-0.0724711j 0.0171403+0.00320729j 0.0274508-0.0245482j -0.00871378+0.013624j -0.0186281+0.019715j -0.00475912-0.00299125j 0.0027065+0.00586229j -0.0190797-0.0139088j 0.0616244-0.0190522j 0.026615+0.00779532j -0.0178486-0.0375369j -0.024947-0.044134j 0.0132861+0.0533175j -0.0421347+0.0321588j -0.0254216+0.0423466j -0.00429135-0.0222031j 0.00187077+0.000115263j 0.00763636+0.00088635j 
-0.00402064+0.00149769j -0.00591588-0.00974835j 0.00208708+0.0434308j -0.00185774+0.00399785j -0.0538029+0.00949842j 0.0073799+0.0358121j 0.0401904-0.0629257j 0.0223188-0.0372511j -0.0217462-0.0332417j 0.0200209+0.0274102j 0.00632822-0.0162329j 0.0279178-0.0223466j -0.0480218-0.00557419j 0.0114466+0.00655696j 0.0245407+0.0165388j -0.0152644-0.0561628j -0.0291294-0.0480537j -0.0602314+0.0287885j -0.000195365-0.000426165j 5.66809e-05-0.000867779j -0.00640115-0.00126164j -0.00515727-0.00720586j 
-0.0192533-0.0163409j 0.0174596-0.0164723j 0.0417155-0.00387185j -0.0169473+0.00327335j 0.0220698+0.0304888j 0.0124989+0.0243763j 0.00184724-0.00735582j 0.0584743-0.0637261j 0.022383+0.0486935j 0.0318314-0.0015452j -0.0774224+0.00358237j 0.0367081+0.000735085j -0.014408-0.0490291j -0.00433526+0.0585163j -0.0292423-0.00272203j 0.0255153+0.0124395j 0.0150837-0.0074007j 0.00858522+0.0016754j -0.00258828+0.0166035j -0.00409676-0.00726419j -0.000786113-0.000788935j 0.00399879+0.000975574j 
0.00367729+0.00343653j -0.00116253+0.0084839j 0.00666562-0.0181866j -0.00895419+0.0136415j -0.0136734-0.0184576j -0.025065-0.0296456j -0.00331802+0.0167803j -0.0148666+0.00626743j -0.0157472-0.0175188j -0.00323328-0.0346149j -0.0358133-0.0121317j 0.0285909+0.00498138j 0.000941322+0.00627958j 0.00401639-0.0370612j 0.0385657+0.00363471j 0.00233878+0.0099777j 0.0154079-0.00140744j 0.00275106+0.0133174j 0.00120752+0.0136644j 0.00864675-0.00520113j 0.00323262-0.0148598j 0.0207045+0.00798992j 
-0.0105107-0.0138803j 0.0104461-0.0094127j 0.00262742+0.00427931j -0.00853434-0.0334222j 0.0171512+0.0188591j 0.0426486+0.02147j 0.01935-0.0311273j -0.00826064+0.0163391j 0.00761483+0.00547507j -0.0096811-0.000853675j -0.0514814-0.00845857j -0.0271864-0.00507491j 0.00019544-0.0250747j 0.000436045-0.00486063j -0.00865438-0.0217728j -0.00146506-0.0105688j 0.0164027-0.00235812j -0.0251544-0.0203184j 0.00119734-0.0107671j 0.0128934+0.028917j -0.0251522+0.0105969j -0.00880931-0.0215856j 
-0.0110623+0.0121277j -0.0109096-0.00449477j 0.00746935+0.00538197j -0.0212743-0.00831827j -0.0305553-0.0182425j -0.0174702-0.0662827j -0.0192481+0.00236453j 0.0142482-0.0235738j 0.00200066+0.0151431j -0.0222475+0.00464976j 0.0158277-0.0166109j 0.0156056+0.00464383j -0.00886584-0.0306739j -0.00738276+0.0408656j -0.0307058+0.0116883j -0.0135299-0.0275008j -0.0485104+0.00436532j 0.00853622-0.0408589j 0.0533955+0.00776472j 0.00135633-0.0118498j 0.00676736+0.00476526j -0.00253293+0.0378762j 
