-0.229691-0.0617549j -0.0899623+0.24458j -0.119975-0.0743661j -0.0101516-0.039111j -0.0330154-0.0110258j 0.117414-0.0391803j -0.0962257-0.00495358j 0.208953+0.165709j 0.093095+0.278575j 0.184607-0.216981j 0.171314+0.0477325j -0.104265+0.391561j 0.112257+0.0257681j -0.295362+0.0537322j -0.239359-0.0715698j -0.267427-0.00533173j -0.0594315-0.214731j -0.0467912+0.101902j -0.0293653-0.0395955j -0.0564172-0.177385j 0.0338092-0.0481776j -0.0687649+0.0730289j 0.0578646-0.00244047j 0.0339919-0.0165987j -0.0369945+0.0297636j -0.0385071-0.058832j 0.00219074+0.0157358j -0.0924923+0.0188003j -0.0777002+0.0619339j -0.0592548-0.00639539j 0.0171568+0.0665733j -0.0589323+0.0113652j 0.0185364+0.131667j 0.134293-0.0058328j 
0.151526-0.0665754j -0.0524868-0.121035j -0.0266488+0.064975j 0.0193287+0.0566956j -0.0906191-0.139015j -0.047673+0.0634592j 0.129376-0.0525617j 0.0961747+0.0279857j -0.0697657+0.0937232j 0.0293837-0.170979j 0.103943-0.16091j -0.0170574+0.0955303j 0.138016+0.074196j -0.017096-0.100448j -0.249821+0.0185903j 0.00727932+0.126174j 0.0277639-0.0252325j -0.132493-0.0783545j -0.0777835+0.0136201j -0.114701-0.0354765j -0.0547266-0.0427961j 0.146282-0.122299j 0.0682575+0.0057977j 0.0194007+0.0642567j -0.0271401-0.128185j -0.00747629-0.149564j 0.0267482-0.141035j 0.109704-0.0409853j 0.159075+0.187926j -0.00473686-0.0442479j -0.0448366-0.120497j -0.146312+0.0807409j -0.116557-0.285741j -0.31123+0.106762j 
-0.183418-0.0620852j -0.0650741+0.165769j 0.0310256+0.0195695j -0.0518303-0.0297841j 0.036949+0.0635231j -0.0372144-0.0221795j -0.0693269+0.0843812j -0.0395474+0.00547259j 0.0271068-0.0542141j -0.00273166+0.0756974j 0.0418153+0.0444198j -0.0390176-0.019194j -0.110088+0.180411j 0.119287-0.157302j -0.215147+0.101133j 0.177007+0.163023j -0.151972-0.0352564j -0.122281-0.0316561j 0.029391-0.199553j 0.109857-0.00491905j -0.0822744-0.11193j 0.156197-0.0712534j -0.0465433-0.263j 0.0586765-0.0896787j -0.12598-0.152236j 0.195984+0.0389539j 0.0811929-0.073886j -0.0611134+0.106758j 0.104143-0.0450584j 0.343362+0.0210449j 0.0114256-0.334947j -0.0849221-0.0819629j -0.0365291+0.114898j 0.108785+0.0502569j 
0.0796526-0.0139672j 0.000133898-0.0695137j -0.00935667+0.046035j -0.00374259+0.0311493j -0.0304412-0.0596172j -0.0146092+0.00785506j 0.0677496-0.00302915j 0.0502239+0.0204958j -0.0511204+0.0325033j 0.0146538-0.0525005j 0.0727077-0.0499055j -0.0351385+0.0168907j 0.0529395+0.0100655j 0.0507667-0.0598533j -0.061077+0.000904946j 0.00396919+0.0687015j -0.0242813+0.0716029j -0.0198103-0.0879575j -0.00921775-0.0348447j -0.0589435-0.00580295j -0.0426133-0.02932j 0.116699-0.0244665j 0.0236556-0.00660007j 0.00918939+0.0296743j 0.00457749-0.0462261j 0.0104696-0.0725515j 0.030151-0.0581183j 0.103168-0.00152948j 0.078724+0.0588859j 0.0086577-0.00164467j -0.0529634-0.0499791j 0.0195496+0.0984209j -0.108785-0.100932j -0.0640979+0.0839719j 
0.0484905+0.030318j 0.0125927-0.027495j -0.0174504-0.0275737j 0.0216495+0.00182731j 0.00789824-0.0406008j -0.0178962+0.0404136j 0.0149022-0.0261306j -0.0141806+0.0461732j -0.0498116+0.00861184j 0.00726133-0.0375205j 0.0205522-0.0599869j 0.00397402-0.0181255j 0.0395598-0.0446829j -0.0370569+0.0119532j 0.0454337-0.0147522j -0.0200847+0.00613175j 0.014667+0.102918j 0.0391295-0.0147276j -0.0597029+0.0246551j -0.0845237-0.0253543j 0.00403208+0.0157692j 0.0258112+0.0161807j -0.0106804+0.0629023j -0.0390343+0.0231069j 0.031455+0.0166149j -0.0689643-0.00997563j 0.0461333+0.0282165j 0.0216871-0.0313448j -0.00574389+0.0565081j -0.0614924-0.00160343j 0.026015+0.0712218j 0.0583991+0.0126263j -0.0762974-0.0432806j -0.0530137+0.0563237j 
0.00012501-0.00480014j -0.0083393-0.00838254j 0.0280814+0.0076862j -0.0338085-0.0150899j -0.0266813+0.00984167j 0.00692731-0.0131913j 0.00272615-0.0259139j 0.0127123-0.0238936j -0.0190193+0.0293161j -0.0361982-0.0106591j -0.0310445-0.0502931j 0.00227278-0.046082j 0.0366834-0.0129429j 0.0138639-0.031399j -0.00584846+0.0293667j 0.0171676+0.000800491j -0.00994341-0.0145522j -0.00229391-0.0260838j 0.011503-0.0179836j 0.0114963-0.00196944j 0.0299217-0.0225498j 0.0566827+0.0088275j -0.0119831-0.00757935j 0.0198717+0.0154612j 0.0266042-0.0147016j -0.00488049+0.0213335j 0.0212345+0.0222572j -0.0172133+0.0235623j -0.0290296+0.0301639j 0.0282793-0.0683386j -0.0387168-0.00590905j -0.0289802-0.0627774j -0.0178353-0.025642j -0.0355679+0.00764219j 
-0.0145815-0.049332j -0.0286748+0.00911656j -0.0045877+0.00473963j 0.0384071+0.028376j -0.0246472+0.0154445j 0.0313086+0.0105035j -0.00370809-0.00433512j 0.00931507+0.0363174j -0.00708269-0.00805246j 0.00865869+0.00719963j -0.0480068-0.021072j 0.0170713+0.00215939j -0.000554113-0.0429702j 0.0118305+0.0109349j -0.00481675+0.0205826j 0.00739107+0.0287551j -0.026224+0.010587j 0.0326701-0.0145109j -0.068388+0.0171566j -0.0026614-0.0237351j 0.0137069-0.0220458j 0.0417376-0.00223726j 0.00832921+0.000180979j 0.000963104-0.017643j -0.0400566-0.000693138j 0.0099685-0.015591j 0.0458397+0.000974114j -0.024303+0.081234j -0.0742626-0.00743511j 0.00306942-0.0360108j -0.0138301+0.0192353j -0.000554104-0.0976187j -0.0243923-0.0194226j -0.0188272+0.0245798j 
0.0149383+0.00388226j 0.00879777+0.00544343j -0.0330742+0.0304302j 0.0503855-0.0230122j 0.00496093-0.0110203j -0.00649094+0.0278049j -0.00797201+0.016033j 0.010889-0.0581713j 0.0209592+0.0502871j -0.0129413-0.0069436j -0.00926787-0.00915265j -0.0172325-0.0111795j 0.0287166-0.0131325j 0.00317159-0.0167308j -7.75542e-05+0.00128359j -0.013467-0.0208134j -0.0058904-0.0311482j -0.0151116-0.0256554j 0.0482178-0.0313074j 0.0212137+0.00599096j 0.0118687-0.0138714j 0.0214192+0.0168281j -3.74105e-05+0.00234764j 0.0295577+0.0207548j 0.0384734-0.00588367j -0.00512627+0.0126999j -0.0182839+0.0125767j 0.0065032-0.00662388j -0.00686534+0.0108291j -0.00260142-0.0434863j -0.0476931+0.00390588j -0.01524+0.00790316j 0.0125996-0.000517252j 0.00387489-0.0111087j 
0.04526-0.00160661j -0.0339596-0.0224129j -0.00732698-0.0152266j -0.019272-0.0272194j -0.0314187-0.0118525j -0.00650976+0.0441755j -0.0148916-0.041655j 0.0435553-0.0230767j -0.00231199-0.020118j 0.0214391+0.00912782j -0.0272767+0.00753671j 0.0188652+0.0264632j -0.0112961-0.0369728j 0.0287423+0.0189664j 0.0166529-0.0153351j -0.00775212+0.0164344j -0.0121044-0.00418839j 0.0366515-0.033144j -0.0287703+0.0315545j 0.00706245-0.00201917j -0.00360204+0.00582237j 0.00507483-0.00833583j 0.0325845+0.0137514j 0.00500947-0.0123787j -0.0324915+0.015179j 0.00617824-0.0448206j -0.0104168-0.0233791j 0.0237904+0.0570781j -0.0513909-0.0308126j -0.0365873-0.0135224j -0.029738+0.0364678j 0.0144434-0.0219114j 0.00199725-0.0244137j -0.0168767+0.00161535j 
-0.0242651-0.00760182j -0.00884821+0.00943297j 0.00121723-0.00356285j -0.00583789-0.0117816j 0.00878749+0.0106291j -0.00228196+0.0174976j -0.00729791-0.0192028j -0.0140685-0.00845821j 0.0034994-0.0227868j -0.0204034-0.025795j -0.0425942+0.00188019j 0.00861723+0.00793126j 0.0345436+0.035526j -0.0119693-0.00329746j -0.0348377+0.000940545j 0.00742196-0.0115309j 0.0196997-0.00932007j -0.0225843+0.0418069j -0.0360957+0.015749j 0.00889584+0.00440746j 0.0340316+0.000252816j 0.0088625-0.0255379j -0.00810008-0.0091842j -0.0247447-0.00331946j 0.0257089-0.00599341j 0.0319723+0.0275866j 0.0101608+0.0219933j -0.00484868+0.0186321j -0.00807184+0.0160313j 0.0151774-0.00221729j 0.0234341-0.0176073j -0.00521791-0.0215708j 0.00251198-0.0166821j 0.00809658-0.0018711j 
0.0438646-0.0102804j -0.0122398-0.0370498j 0.00638087+0.017095j 0.018007+0.0144433j -0.0207057-0.0209496j -0.0102423+0.0059926j 0.0228435-0.00896628j 0.00661114-0.027717j 0.0136005-0.00582201j 0.00196303-0.0094952j 0.00311555-0.00569761j 0.00782119+0.00314687j 0.0120859+0.00618374j 0.0141369-0.00455576j -0.0181194-0.00179513j -0.00203879-0.0102426j 0.0205998-0.0614211j -0.000853823+0.000138196j 0.0038038+0.025976j -0.00218485+0.0413985j -0.0196161+0.0258663j -0.000420633-0.037239j 0.00596393+0.000646769j -0.00693697-0.00769571j 0.0151384+0.00246739j 0.0199296-0.00366623j -0.0604456-0.0518945j -0.00146507+0.0139293j 0.0236618+0.0415019j -0.0109001-0.0261446j -0.0159138+0.000701532j -0.0245323-0.00802859j 0.0034874-0.0577195j -0.059574-0.0128846j 
