0.258468+0.0133091j -0.0482756+0.250242j -0.0105747-0.100392j -0.138387+0.20052j -0.25442-0.120524j 0.0430427-0.0313619j 0.29696-0.0550078j 0.0392999+0.399207j 0.186459+0.0719938j -0.120308+0.162375j 0.308143-0.0282234j -0.0229621-0.0463899j 0.189441+0.279907j -0.215669+0.202206j 0.069097+0.141407j -0.0271945+0.115192j -0.0384104-0.164947j 0.0737714+0.00423356j 0.0559773+0.0271209j -0.0173417+0.0162758j -0.115353+0.0478131j -0.0206853+0.00696412j -0.0376904+0.0230334j 0.0323804+0.0105579j 0.0362793-0.0928406j -0.0960439-0.0459013j 
-0.13928+0.00794131j 0.0254477-0.12828j 0.208101-0.116599j -0.124234-0.175281j -0.0224874-0.054381j 0.0341435-0.0586619j -0.0462571-0.0892994j 0.0466594+0.154131j 0.0207579-0.0351363j 0.00635884+0.0314766j -0.00605667-0.0790979j 0.161917+0.0490871j 0.171034-0.0279361j -0.278181+0.0391608j 0.0238772+0.300777j 0.109916-0.0898908j -0.0655054+0.0179179j -0.048494+0.0555431j 0.0644422-0.000713742j 0.127328+0.262622j 0.0945379-0.0793162j -0.0738588+0.0808705j -0.107772-0.12474j -0.230266+0.131745j -0.167984+0.201125j 0.218002+0.180394j 
0.117441-0.188571j 0.179847+0.0976539j -0.0434817-0.133538j -0.0997409-0.0294427j 0.0473818-0.0798867j 0.0993256+0.0724421j -0.0789489+0.155651j -0.106116-0.110162j -0.0319786-0.119923j -0.0165348-0.0254162j -0.158021+0.0682634j -0.0263209+0.010175j 0.0204221-0.00406836j -0.0783649-0.0153295j 0.107539+0.121334j 0.194231+0.0170748j 0.162391-0.00106555j 0.0555007-0.296996j 0.0391197-0.00535918j -0.0647976+0.132159j 0.0399725-0.102944j -0.257174-0.163375j -0.275116+0.317272j 0.279763+0.216602j -0.136765-0.0990146j -0.101432+0.120326j 
-0.07307-0.00131832j 0.0223514-0.0628291j 0.0875139-0.0288404j -0.0359698-0.0757744j 0.0209221-0.0334142j 0.0156634-0.0102415j -0.0466058-0.0528455j 0.00523487+0.0374802j 0.00797294-0.0207197j -0.00712634-0.000740933j -0.0464003-0.0189351j 0.0616346+0.0287554j 0.0443181-0.0122421j -0.142005-0.0223631j -0.00499162+0.0757613j 0.0787721-0.0310918j -0.134841+0.0463224j -0.0360169-0.0116161j -0.0360304-0.0643922j 0.00901726+0.157763j 0.0611765+0.00719477j -0.0195955+0.0535072j -0.0414811-0.0582059j -0.0121246+0.0989645j -0.0190983+0.118552j 0.108637+0.0480942j 
-0.0521461+0.0235117j -0.0169874-0.0362087j 0.0450479+0.04327j 0.0463595-0.0341992j -0.0354712+0.00633745j -0.00661595-0.0259461j 0.00119629-0.0671031j 0.0117801+0.0306848j -0.0115558+0.0350834j -0.0021625+0.0170007j 0.042211-0.0520538j -0.00691+0.0419691j -0.0123217+0.00550854j -0.0198184-0.0294426j -0.0177462-0.0352951j -0.0105588-0.0752356j -0.0161482-0.0101544j -0.0620301+0.0811926j 0.0163852+0.0180619j 0.0734299-0.0182346j 0.0452808-0.0191058j 0.0858599+0.083807j 0.0299341-0.0606516j -0.104122+0.0634989j 0.0228247+0.035753j 0.0157012-0.00769811j 
-0.0188468-0.00115177j 0.00314407-0.0209785j -0.00688212-0.0225632j 0.00799464-0.042832j -0.0220709-0.0147701j 0.0309199-0.015291j -0.0451864-0.00342943j 0.0377433-0.0239226j -0.0448649-0.0492766j -0.0256563+0.00145208j -0.0177204-0.00362985j 0.0190743-0.026931j -0.0374712-0.00670265j -0.0340319+0.00093685j 0.00395727+0.0247416j -0.00555121+0.00565811j 0.0150858-0.0124619j 0.0191913-0.00233097j 0.0259773+9.35173e-05j -0.00828131-0.00411709j 0.00845782-0.00169713j -0.0325009-0.00969228j -0.0110275-0.0150557j -0.00574356-0.0278543j -0.0227203+0.0150478j 0.0148754+0.0312103j 
-0.0128061+0.00167757j -0.00451483-0.0112954j 0.0198287-0.060542j 0.0078892-0.00266033j -0.0286027+0.00362185j -0.0132602+0.0353494j -0.00496084+0.0112237j -0.00432088-0.00817484j 0.00993068+0.0247569j 0.0233476+0.017949j 0.0196405+0.024329j -0.014831+0.00863753j -0.0331355-0.0327833j -0.018079+0.0135658j 0.0432945+0.0204834j 0.00378934+0.0457751j 0.00389675+0.01874j 0.0398619+0.00481685j 0.009139-0.0135803j -0.0272279+0.0230244j -0.00147681+0.0321414j -0.0224551-0.0267377j 0.0199088-0.00528019j 0.0108501-0.0393834j -0.0149763+0.0198558j 0.00576138+0.0109518j 
0.018752+0.00746264j -0.00360052+0.0142311j -0.00613001-0.0210946j 0.00802268-0.0242008j 0.00688432-0.0168548j -0.0703548-0.00174027j -0.0156931-0.0443554j 0.0041828-0.0175201j 0.0130787+0.00736034j 0.00493394+0.0246474j 0.0193312-0.00166333j 0.0424294-0.00263963j 0.0052464+0.00253367j -0.00838334+0.00526934j -0.014082-0.020157j 0.00900175-0.00794768j 0.0089123-0.032067j -0.0297976-0.0317702j -0.0299283+0.0364097j 9.72093e-05-0.00076639j -0.0513594-0.0459796j -0.0333026+0.0168882j -0.00605798-0.0334305j -0.00354955-0.00134859j 0.00113104-0.0011411j 0.00467652+0.00181458j 
0.00209191+0.0314666j -0.0331866+0.0081697j 0.0554433+0.0179797j 0.0127579+0.009924j -0.00741511+0.0185799j 0.0237634-0.0133819j -0.0493361-0.010627j 0.0445347-0.00883627j 0.022946+0.0218303j 0.00953944-0.019761j 0.00167026-0.034158j -0.0230807+0.000352068j -0.011725-0.0156489j 0.00639553-0.00190786j -0.0255088-0.00209151j -0.0213398-0.0191494j -0.0269734-0.0330869j -0.0575524-0.0452115j -0.051204+0.0703461j -0.00197765-0.00382266j -0.0875402-0.0636888j -0.0340497+0.0439582j 0.00858566-0.0600714j -0.0240449-0.00779921j 0.006373+0.00843462j 0.00988965-0.00985323j 
0.00197676-0.0134988j 0.010161+0.00250686j -0.00814136-0.00868711j -0.00232206-0.0132062j -0.0181391+0.00512082j 0.00557614-0.00445603j 0.00598829+0.0124711j -0.00641119-0.00251204j -0.015156-0.0011197j 0.00354879+0.00815205j 0.012667-0.00933506j -0.00506239+0.00673684j 0.00183252-0.00312153j 0.0146668+0.00176461j 0.0146165+0.0290856j -0.0103044-0.0203167j 0.0771977-0.0268949j 0.0163978+0.006499j 0.0359413+0.0320627j 0.0428613-0.0381999j 0.020265+0.00198837j -0.0122872-0.00974478j -0.0132362+0.00641525j -0.0175359+0.00568567j -0.0273905-0.0142468j -0.02164+0.0223493j 
-0.0283449+0.0145919j -0.0168418-0.0353179j 0.0240985-0.0245683j -0.0164489-0.0160359j 0.0256702+0.0117269j -0.00693972-0.00675683j -0.0029653+0.0117865j 0.0179221+0.00919969j -0.00364786-0.0107531j 0.0293466-0.0252536j -0.00851598-0.0368833j 0.0372197+0.00470359j 0.0190448-0.0317852j -0.0205421+0.00654483j -1.54649e-05+0.0626702j -0.0323612+0.0125745j 0.0112433-0.000264841j -0.0262042-0.0101157j -0.0191285+0.021129j -0.0064723+0.000374244j 0.0325443+0.011562j -0.0197085+0.0222253j -0.00147923-0.0544593j -0.0186438-0.0311718j -0.0102684+0.0450495j 0.030008+0.0312676j 
