-0.00651604-0j -0.000940509-0j -0.00535859-0j -0.000947275-0j -7.89395e-05-0j -0.00327116-0j -0.00330506-0j -0.000545194-0j -0.000333862-0j -0.000550844-0j -6.81492e-05-0j -0.000337321-0j -6.88554e-05-0j -4.01573e-06-0j -4.05735e-06-0j 0.578209-0j 0.715498-0j 0.417374-0j -0.000384301-0j -0.00031378-0j -0.000475548-0j -4.52903e-05-0j -0.000277403-0j -3.92226e-05-0j -0.000388283-0j -5.60439e-05-0j -0.000226499-0j -4.62242e-06-0j -4.85354e-05-0j -3.26923e-05-0j -2.10984e-07-0j -2.83123e-05-0j -5.71996e-06-0j -3.33664e-06-0j -2.61079e-07-0j -1.52296e-07-0j -0.00187678-0j -0.00218957-0j -0.00134083-0j 0.0720495-0j -0.00191588-0j -0.000790259-0j -0.000234597-0j 0.0840577-0j -0.000156398-0j -3.38612e-05-0j 0.0514746-0j 0.0735505-0j -3.90995e-05-0j -0.000273697-0j 0.030338-0j -0.000182464-0j -1.38238e-05-0j -0.000167604-0j -3.25829e-06-0j -3.95047e-05-0j -0.000111736-0j -3.45594e-06-0j -2.41916e-05-0j -0.000239485-0j -0.000159656-0j -4.56161e-05-0j -3.45666e-05-0j -9.87824e-05-0j -2.87995e-07-0j -2.79341e-05-0j -1.61277e-05-0j -6.58549e-05-0j -3.80134e-06-0j -1.4258e-05-0j -1.07329e-08-0j -9.87618e-06-0j -3.99141e-05-0j -4.03193e-06-0j -2.32784e-06-0j -1.41118e-05-0j -2.46904e-06-0j -1.64637e-05-0j -3.35994e-07-0j -3.32618e-06-0j -3.52794e-06-0j -2.05754e-07-0j -5.82081e-06-0j -1.37198e-06-0j -1.25218e-08-0j -2.93995e-07-0j -7.66799e-09-0j -1.4552e-06-0j -1.09566e-08-0j -1.21267e-07-0j -4.51935e-09-0j 
0.00105152-0j -0.0144644-0j 0.000864739-0j -0.00720778-0j -0.00182742-0j -0.102107-0j -0.103165-0j -0.00414836-0j 5.38767e-05-0j -0.00419135-0j -0.00104809-0j 5.4435e-05-0j -0.00105895-0j -0.000124166-0j -0.000125453-0j 0.000384301-0j 0.000475548-0j 0.000277403-0j 0.565609-0j 5.06361e-05-0j 0.699906-0j -0.000696533-0j 0.408278-0j -0.000298443-0j 6.2659e-05-0j -0.000861916-0j 3.65511e-05-0j -0.000107007-0j -0.000369304-0j -0.000502784-0j -8.16303e-06-0j -0.000215428-0j -0.000132415-0j -7.72421e-05-0j -1.01012e-05-0j -5.89239e-06-0j 0.000302864-0j 0.000353341-0j 0.000216376-0j -0.00225792-0j 0.000309173-0j 0.000127527-0j -0.00732279-0j -0.00263424-0j 2.52386e-05-0j 0.10073-0j -0.00161314-0j -0.00230496-0j -0.000297507-0j -0.00854325-0j -0.000950747-0j 2.94451e-05-0j 2.2308e-06-0j -0.00523165-0j -7.54283e-05-0j 0.117518-0j 1.80314e-05-0j -5.315e-05-0j 0.0719649-0j -0.00747535-0j 2.57644e-05-0j -0.000347091-0j 0.102828-0j -0.00308342-0j -8.90481e-06-0j -0.000212549-0j 2.6026e-06-0j 1.06273e-05-0j -8.79997e-05-0j 0.0424145-0j -4.9866e-07-0j 1.59376e-06-0j -0.000303705-0j -6.20083e-05-0j -5.38886e-05-0j 2.27728e-06-0j -3.79722e-05-0j -0.000125272-0j -1.03889e-05-0j -7.69998e-05-0j -5.42573e-05-0j -6.3619e-06-0j 9.39329e-07-0j -3.17608e-05-0j -5.8177e-07-0j -9.09032e-06-0j -3.5626e-07-0j -2.238e-05-0j -5.09049e-07-0j -3.74957e-06-0j -2.09972e-07-0j 
-0.082083-0j 0.000123923-0j -0.101929-0j -0.0119329-0j 1.04012e-05-0j 0.000431014-0j 0.00043548-0j -0.0103704-0j -0.00845535-0j -0.0104779-0j -0.000858481-0j -0.00854297-0j -0.000867377-0j 5.29119e-07-0j 5.34602e-07-0j 0.00031378-0j 0.000388283-0j 0.000226499-0j 5.06361e-05-0j 0.570628-0j 6.2659e-05-0j -0.000861493-0j 3.65511e-05-0j -0.000993347-0j 0.706116-0j -0.00106604-0j 0.411901-0j -5.8229e-05-0j -0.0012292-0j -0.000621858-0j 2.77996e-08-0j -0.000717036-0j -7.20547e-05-0j -4.20319e-05-0j 3.44002e-08-0j 2.00668e-08-0j 0.000247287-0j 0.000288502-0j 0.00017667-0j 3.90995e-05-0j 0.000252439-0j 0.000104126-0j -0.00295524-0j 4.56161e-05-0j -0.00597048-0j 4.4616e-06-0j 2.79341e-05-0j 3.99141e-05-0j 0.0711048-0j -0.00344778-0j 1.64637e-05-0j -0.00696556-0j -0.00052606-0j -0.00211132-0j -6.19779e-05-0j 5.2052e-06-0j -0.00426552-0j -8.75249e-05-0j 3.18752e-06-0j -0.00301681-0j -0.00609487-0j 0.0829556-0j 4.55455e-06-0j -0.00124437-0j -3.6279e-06-0j 0.0507997-0j -0.000613737-0j -0.002514-0j -7.23075e-05-0j 1.87866e-06-0j 1.41419e-09-0j -0.000375836-0j 0.0725861-0j -0.000102112-0j -4.42791e-05-0j -0.00053702-0j -6.25308e-05-0j 0.0299403-0j -4.23255e-06-0j -6.32691e-05-0j -8.93483e-05-0j -2.5919e-06-0j -0.000221509-0j -2.60972e-05-0j 1.64989e-09-0j -3.70348e-06-0j 1.01035e-09-0j -3.68543e-05-0j 1.44365e-09-0j -1.52761e-06-0j 5.95476e-10-0j 
-0.000123923-0j -0.0795144-0j 0.0147122-0j 0.00171691-0j -0.0204523-0j -6.22114e-05-0j -6.28561e-05-0j -0.142652-0j -6.34943e-06-0j -0.144131-0j -0.00576161-0j -6.41523e-06-0j -0.00582132-0j -0.00209549-0j -0.00211721-0j -4.52903e-05-0j -5.60439e-05-0j -3.26923e-05-0j 0.000696533-0j 0.000861493-0j 0.000861916-0j 0.552772-0j 0.000502784-0j 7.10896e-05-0j 0.00106604-0j 0.68402-0j 0.000621858-0j -0.00119762-0j 8.79689e-05-0j 0.399012-0j -0.000184134-0j 5.13152e-05-0j -0.00148197-0j -0.000864485-0j -0.000227854-0j -0.000132915-0j -3.56928e-05-0j -4.16416e-05-0j -2.55002e-05-0j 0.00053784-0j -3.64364e-05-0j -1.50293e-05-0j -4.4616e-06-0j 0.00062748-0j 0.000861765-0j -0.00286276-0j 0.000384252-0j 0.000549045-0j -0.0102306-0j -5.2052e-06-0j 0.00022647-0j 0.00100539-0j -2.62902e-07-0j -3.18752e-06-0j 0.12187-0j -0.00333989-0j 0.000615675-0j -0.000292179-0j -0.00204525-0j -4.55455e-06-0j 0.000879718-0j -0.0119357-0j -0.0029224-0j -1.87866e-06-0j -0.000150282-0j -0.00730907-0j -3.0672e-07-0j 0.000362865-0j 0.142181-0j -0.00120543-0j -1.408e-05-0j -1.87827e-07-0j -0.0104437-0j -0.000340876-0j 0.087068-0j -2.6838e-07-0j -0.000208743-0j -0.00430781-0j -0.000175329-0j 0.124409-0j -0.000298266-0j -0.000107367-0j -1.10701e-07-0j 0.051316-0j -1.64267e-05-0j -0.000153413-0j -1.00592e-05-0j -0.000123029-0j -1.43733e-05-0j -6.32796e-05-0j -5.9287e-06-0j 
0.0206281-0j 0.00147626-0j -8.82571e-05-0j -0.141398-0j 0.000186511-0j -5.38767e-05-0j -5.4435e-05-0j 0.00042339-0j -0.100516-0j 0.000427778-0j -0.0205607-0j -0.101557-0j -0.0207738-0j 1.26727e-05-0j 1.2804e-05-0j -3.92226e-05-0j -4.85354e-05-0j -2.83123e-05-0j 0.000298443-0j 0.000993347-0j 0.000369304-0j 7.10896e-05-0j 0.000215428-0j 0.556793-0j 0.0012292-0j 8.79689e-05-0j 0.000717036-0j -0.0020992-0j 0.688997-0j 5.13152e-05-0j 8.33136e-07-0j 0.401915-0j -0.00259763-0j -0.00151529-0j 1.03095e-06-0j 6.01389e-07-0j -3.09109e-05-0j -3.60627e-05-0j -2.20838e-05-0j 0.000230448-0j -3.15549e-05-0j -1.30157e-05-0j 0.000742673-0j 0.000268856-0j -2.57591e-06-0j 5.315e-05-0j 0.00016464-0j 0.000235249-0j -0.0058363-0j 0.000866452-0j 9.70352e-05-0j -3.00523e-06-0j -0.0126173-0j 0.000530592-0j 7.69837e-06-0j 6.20083e-05-0j -1.84032e-06-0j 0.0991598-0j 3.79722e-05-0j 0.000758146-0j -2.62957e-06-0j -0.00680902-0j 5.42573e-05-0j 0.000312719-0j -0.000174689-0j -0.00416966-0j -0.0147201-0j -1.08464e-06-0j 8.98144e-06-0j 2.238e-05-0j 5.08943e-08-0j -0.00901421-0j -0.00595789-0j 0.115686-0j 5.49998e-06-0j -0.0128801-0j 0.0708432-0j -0.00245751-0j -0.000203804-0j 7.85876e-06-0j 0.101226-0j -0.000124804-0j -0.00531278-0j 3.24157e-06-0j 5.93766e-08-0j -0.000178328-0j 3.63606e-08-0j 0.0417535-0j 5.19546e-08-0j -7.35566e-05-0j 2.14302e-08-0j 
-0.0012092-0j 0.02487-0j 1.04012e-05-0j 0.0252173-0j -0.0963066-0j 6.34943e-06-0j 6.41523e-06-0j -0.000151808-0j -0.000124559-0j -0.000153381-0j -0.172288-0j -0.00012585-0j -0.174073-0j -0.0202385-0j -0.0204482-0j 4.62242e-06-0j 5.71996e-06-0j 3.33664e-06-0j -0.000107007-0j -5.8229e-05-0j -0.000132415-0j 0.00119762-0j -7.72421e-05-0j 0.0020992-0j -7.20547e-05-0j 0.00148197-0j -4.20319e-05-0j 0.539153-0j 0.00259763-0j 0.000864485-0j -0.00268648-0j 0.00151529-0j 0.667168-0j 0.389181-0j -0.00332434-0j -0.0019392-0j 3.64288e-06-0j 4.25003e-06-0j 2.6026e-06-0j -8.26276e-05-0j 3.71878e-06-0j 1.53392e-06-0j -4.35348e-05-0j -9.63989e-05-0j 3.03574e-07-0j 0.000895395-0j -5.9032e-05-0j -8.4349e-05-0j 0.00104087-0j -5.07906e-05-0j -3.47922e-05-0j 3.54169e-07-0j -7.7496e-06-0j -3.11027e-05-0j -0.00397513-0j 0.00104463-0j 2.16883e-07-0j -0.0175653-0j 0.000639701-0j -4.44417e-05-0j 3.09898e-07-0j 0.00121434-0j 0.000914049-0j -1.83313e-05-0j 0.138765-0j 0.000743631-0j -9.0412e-06-0j 1.27826e-07-0j -0.00463766-0j 0.000377026-0j -0.000274764-0j -5.53658e-06-0j 0.00106255-0j -0.0204928-0j -0.00283997-0j -7.91105e-06-0j -0.0125493-0j 0.00043828-0j 0.161892-0j -0.00405795-0j -0.0179312-0j 0.0991383-0j -3.26314e-06-0j -0.00167382-0j -0.000320558-0j 0.141656-0j -0.000196301-0j -0.00739626-0j -0.000280489-0j 0.05843-0j -0.000115696-0j 
-5.77292e-07-0j -0.00382377-0j -4.74748e-07-0j 2.01213e-05-0j 0.0458784-0j -2.8981e-07-0j -2.92814e-07-0j 1.15806e-05-0j -2.95787e-08-0j 1.17006e-05-0j -0.00027707-0j -2.98852e-08-0j -0.000279942-0j -0.220065-0j -0.222345-0j -2.10984e-07-0j -2.61079e-07-0j -1.52296e-07-0j 8.16303e-06-0j -2.77996e-08-0j 1.01012e-05-0j -0.000184134-0j 5.89239e-06-0j 8.33136e-07-0j -3.44002e-08-0j -0.000227854-0j -2.00668e-08-0j 0.00268648-0j 1.03095e-06-0j -0.000132915-0j 0.521546-0j 6.01389e-07-0j 0.00332434-0j 0.0019392-0j 0.64538-0j 0.376472-0j -1.66274e-07-0j -1.93986e-07-0j -1.18792e-07-0j 6.30322e-06-0j -1.69738e-07-0j -7.00134e-08-0j -2.07843e-08-0j 7.35376e-06-0j -1.38562e-08-0j -0.000137668-0j 4.50324e-06-0j 6.43454e-06-0j 8.30522e-07-0j -2.42483e-08-0j 2.65411e-06-0j -1.61655e-08-0j -1.22472e-09-0j -1.4849e-08-0j 0.00189367-0j -0.000160612-0j -9.89933e-09-0j -1.40506e-05-0j -9.83544e-05-0j -2.12173e-08-0j -1.41448e-08-0j 9.68943e-07-0j -0.000140536-0j -8.75168e-09-0j -0.0157823-0j 5.93354e-07-0j -1.42885e-09-0j -5.83445e-09-0j 0.00220928-0j -5.7968e-05-0j 0.168137-0j -8.74985e-10-0j 8.47825e-07-0j -1.63924e-05-0j 0.0013529-0j -1.25024e-09-0j -1.00383e-05-0j 3.4971e-07-0j -0.0184127-0j 0.00193312-0j -1.43434e-05-0j -0.0112754-0j -5.15698e-10-0j 0.000797371-0j 0.19616-0j -0.0161111-0j 0.120123-0j -5.91633e-06-0j 0.17164-0j -0.00664551-0j 0.0707979-0j 
0.00599109-0j 0.000864739-0j 8.53626e-05-0j 1.50901e-05-0j 1.25751e-06-0j 0.00300763-0j -0.0029335-0j 0.000501272-0j 0.000306965-0j -0.000488917-0j 6.2659e-05-0j -0.000299399-0j -6.11146e-05-0j 3.69222e-06-0j -3.60121e-06-0j 0.00218957-0j 4.69437e-05-0j -0.00307888-0j 0.000353341-0j 0.000288502-0j 7.5755e-06-0j 4.16416e-05-0j -0.000496853-0j 3.60627e-05-0j 6.18537e-06-0j 8.92781e-07-0j -0.000405679-0j 4.25003e-06-0j 7.73171e-07-0j -5.85547e-05-0j 1.93986e-07-0j -5.07098e-05-0j 9.11191e-08-0j -5.97621e-06-0j 4.159e-09-0j -2.72775e-07-0j -0.504698-0j -0.0102017-0j -0.360574-0j 0.000272838-0j 0.49736-0j 0.622815-0j 0.000215698-0j 5.51501e-06-0j 0.000143798-0j 3.11333e-05-0j 0.000194925-0j -0.000268871-0j 3.59496e-05-0j 4.36e-06-0j -0.000336692-0j 2.90667e-06-0j 1.27101e-05-0j 0.000154102-0j 2.9958e-06-0j 6.29312e-07-0j 0.000102735-0j 3.17752e-06-0j 2.22427e-05-0j -0.000212561-0j -0.000141707-0j 7.26667e-07-0j -3.06806e-05-0j -0.000266178-0j 2.64794e-07-0j 2.56836e-05-0j 2.56915e-07-0j -0.000177452-0j 6.05555e-08-0j -3.84195e-05-0j 9.86828e-09-0j 9.08053e-06-0j -3.54269e-05-0j 6.42289e-08-0j 2.1403e-06-0j -1.25253e-05-0j 2.27013e-06-0j -4.43631e-05-0j 5.3524e-09-0j -2.95224e-06-0j -3.13132e-06-0j 1.89178e-07-0j -1.56847e-05-0j -3.69692e-06-0j 1.99472e-10-0j -2.60944e-07-0j 7.05024e-09-0j -3.92118e-06-0j -9.72479e-09-0j -3.26765e-07-0j -1.21778e-08-0j 
-0.000947275-0j 0.0130304-0j -1.3497e-05-0j 0.0001125-0j 2.85228e-05-0j -0.000475548-0j 0.000463827-0j 0.0037371-0j -4.85354e-05-0j -0.00364499-0j 0.000944182-0j 4.73391e-05-0j -0.00092091-0j 0.000111857-0j -0.0001091-0j 0.0840577-0j 0.00180217-0j -0.118198-0j 0.00263424-0j -4.56161e-05-0j 5.64771e-05-0j 0.00062748-0j -0.00370415-0j 0.000268856-0j -9.77993e-07-0j 1.34529e-05-0j 6.41434e-05-0j 9.63989e-05-0j 5.76417e-06-0j -0.000882336-0j 7.35376e-06-0j -0.000378054-0j 2.06676e-06-0j -0.000135552-0j 1.57662e-07-0j -1.03405e-05-0j -0.000272838-0j -5.51501e-06-0j -0.000194925-0j -0.493872-0j 0.000268871-0j 0.000336692-0j -3.41048e-05-0j -0.00998288-0j -2.27365e-05-0j 0.000469134-0j -0.352839-0j 0.486691-0j 0.000268013-0j -6.89376e-07-0j 0.609455-0j -4.59584e-07-0j -2.00964e-06-0j -2.43656e-05-0j 6.79505e-05-0j 9.48283e-06-0j -1.62438e-05-0j 4.78808e-05-0j 0.000335165-0j 3.36089e-05-0j 2.24059e-05-0j 5.41747e-06-0j -0.000462313-0j 4.20865e-05-0j 8.022e-06-0j 0.000191477-0j -4.06219e-08-0j 2.80577e-05-0j 1.37352e-06-0j -0.000578928-0j 4.49224e-07-0j -1.43576e-06-0j -0.000264116-0j 9.67838e-07-0j 4.85462e-05-0j 1.98042e-06-0j 3.42077e-05-0j -0.000330737-0j 1.62153e-07-0j -6.69625e-05-0j -4.71846e-05-0j 5.73119e-06-0j 2.47997e-06-0j -8.38533e-05-0j 9.08037e-09-0j -7.90536e-06-0j 3.20941e-07-0j -5.90866e-05-0j -4.42692e-07-0j -9.89943e-06-0j -5.54358e-07-0j 
0.0715973-0j -0.000108092-0j -1.06703e-05-0j 0.000180337-0j -1.57189e-07-0j 0.07272-0j -0.0709276-0j -6.2659e-05-0j 0.00737523-0j 6.11146e-05-0j 0.000748815-0j -0.00719344-0j -0.000730358-0j -4.61527e-07-0j 4.50151e-07-0j -0.000273697-0j -5.86796e-06-0j 0.000384861-0j 0.00854325-0j 0.00344778-0j 0.000183164-0j -5.2052e-06-0j -0.0120132-0j 0.000866452-0j 7.39191e-05-0j -1.11598e-07-0j -0.00484812-0j 5.07906e-05-0j 1.85764e-05-0j 7.31933e-06-0j -2.42483e-08-0j -0.00121837-0j 1.08893e-06-0j -7.14195e-05-0j -5.19875e-10-0j 3.40969e-08-0j -0.000215698-0j -4.36e-06-0j -0.000154102-0j -3.41048e-05-0j 0.000212561-0j 0.000266178-0j -0.498604-0j -6.89376e-07-0j -1.79748e-05-0j 0.000752755-0j -2.43656e-05-0j 3.36089e-05-0j 0.00042962-0j -0.0100785-0j 4.20865e-05-0j -3.63333e-07-0j 0.000458859-0j -0.35622-0j -3.74475e-07-0j 1.52158e-05-0j -1.28418e-05-0j 7.63441e-05-0j 0.000537794-0j 0.491354-0j 1.77134e-05-0j 8.68413e-06-0j -0.00074181-0j 0.615294-0j 3.16445e-06-0j 0.000306936-0j 9.27514e-06-0j 2.21815e-05-0j -7.56944e-09-0j -0.000928926-0j -1.23353e-09-0j 0.000327825-0j -0.000423374-0j 1.54318e-06-0j -2.67538e-07-0j -0.000452187-0j 5.45428e-05-0j -0.000530167-0j 6.39646e-08-0j 3.6903e-07-0j -7.5234e-05-0j 2.26079e-06-0j -0.000566248-0j 4.62115e-07-0j -2.4934e-11-0j -3.11844e-06-0j -8.8128e-10-0j -9.42113e-05-0j 1.2156e-09-0j -3.90505e-06-0j 1.52223e-09-0j 
-0.000499258-0j -7.20616e-05-0j 0.00206099-0j -1.25751e-06-0j -1.04793e-07-0j -0.000250636-0j 0.000244458-0j 0.0121027-0j -2.55804e-05-0j -0.0118044-0j -5.22158e-06-0j 2.49499e-05-0j 5.09288e-06-0j -3.07685e-07-0j 3.00101e-07-0j -0.000182464-0j -3.91197e-06-0j 0.000256574-0j -2.94451e-05-0j 0.00696556-0j -6.31292e-07-0j 0.00100539-0j 4.14044e-05-0j -3.00523e-06-0j 0.000149339-0j 2.15553e-05-0j -0.00979468-0j -3.54169e-07-0j -6.4431e-08-0j -0.00141374-0j -1.61655e-08-0j 4.22582e-06-0j -7.59326e-09-0j 4.98018e-07-0j -3.46583e-10-0j 2.27313e-08-0j -0.000143798-0j -2.90667e-06-0j -0.000102735-0j -2.27365e-05-0j 0.000141707-0j 0.000177452-0j -1.79748e-05-0j -4.59584e-07-0j -0.499468-0j -2.59444e-06-0j -1.62438e-05-0j 2.24059e-05-0j 0.000867964-0j -3.63333e-07-0j 2.80577e-05-0j -0.010096-0j -1.05917e-06-0j -1.28418e-05-0j 7.23304e-05-0j -5.24426e-08-0j -0.356837-0j -2.64794e-07-0j -1.85356e-06-0j 1.77134e-05-0j 0.492205-0j 1.75446e-05-0j 2.55671e-06-0j 2.21815e-05-0j -2.20661e-08-0j 0.000620104-0j -2.14096e-08-0j 0.616361-0j 1.46205e-06-0j 3.20163e-06-0j -8.22357e-10-0j -7.56711e-07-0j -0.000855344-0j -5.3524e-09-0j 5.16753e-05-0j 1.04377e-06-0j -1.89178e-07-0j -0.0010711-0j -4.46034e-10-0j -7.12787e-05-0j 2.60944e-07-0j -1.57648e-08-0j 1.30706e-06-0j -8.92582e-05-0j -1.66227e-11-0j 2.17453e-08-0j -5.8752e-10-0j 3.26765e-07-0j 8.10399e-10-0j 2.72304e-08-0j 1.01482e-09-0j 
