0.184308-0.0635321j -0.00277909-0.187868j -0.375013-0.082336j 0.0119984-0.337504j -0.156825+0.122387j -0.0578948+0.074865j -0.0918325+0.0549649j 0.0260621+0.00154278j -0.0936072-0.253645j -0.134784+0.0434856j 0.0471112-0.0881351j 0.0862124+0.141897j 0.223313-0.0876369j 0.219713+0.189789j -0.183807+0.226414j 
-0.103278+0.270142j 0.246633+0.0771277j -0.0837906+0.167326j -0.175214-0.179219j -0.248482-0.0446722j 0.13815+0.11275j 0.111895-0.305519j 0.0481082+0.023383j 0.0609285-0.152969j -0.037035+0.074229j 0.237376+0.181781j 0.31571-0.302303j -0.290295-0.225575j -0.0854458+0.143728j -0.135876-0.082324j 
-0.0948097+0.0294599j -0.011237+0.0918782j 0.208943+0.0747738j -0.00436094+0.153696j 0.115933-0.0683523j 0.0984596-0.0475147j 0.0727487-0.00801945j 0.0201124+0.0341714j 0.0345065+0.168796j 0.0747204-0.0073013j -0.0144719+0.0620524j -0.0465508-0.0719134j -0.0788525+0.0920308j -0.127256-0.0877123j 0.057723-0.139241j 
0.0542221-0.0576522j -0.0399652-0.0416442j -0.0143383-0.0962536j 0.0554294+0.00176113j 0.0202022+0.0632737j -0.0209477-0.0311794j -0.0591535+0.0853487j 0.00651462+0.00494086j -0.064551+0.0109308j -0.0418274+0.00515991j -0.0712924-0.0728689j -0.0413455+0.0660941j 0.115318-0.0217243j 0.0279466-0.00291601j 0.0121376+0.0461869j 
0.0262458+0.0229898j 0.0213626-0.0251473j 0.0232357+0.0257102j -0.0333016-0.00491918j -0.0129954-0.0237345j -0.0218877+0.041758j 0.0447748+0.0332897j 0.0291586-0.0685162j 0.0148971-0.0147599j -0.0693728-0.0698021j -0.0257352+0.0391566j -0.00356816-0.0320431j -0.0227474+0.00878646j 0.00369049+0.0030316j 0.00357962+0.0114892j 
-0.00382893-0.0162857j -0.0106183-0.00113244j -0.0464158+0.0050724j -0.00334468+0.00145542j -0.0187023-0.0153513j -0.0631987+0.0157425j -0.0229632-0.0227568j -0.0385202-0.0178964j 0.0384955-0.0447497j 0.0310575+0.00502411j 0.0174233-0.00917653j -0.00693145+0.021712j -0.0171044+0.00789906j 0.0346217-0.00630287j 0.0112835+0.0232023j 
-0.0106322+0.0135061j 0.0248354+0.0178701j 0.0298293-0.0482374j -0.000376621+0.0487216j -0.025567+0.0190375j -0.0272851-0.010455j -0.0120326+0.00163619j -0.00333737-0.00982233j -0.0171944-0.00117333j -0.01127+0.00475243j -0.0267237-0.0118672j 0.0129668-0.030802j -0.0209718-0.0517143j -0.0149043-0.0180148j 0.0335786-0.0187788j 
0.000729448+0.013225j 0.0228113-0.0010169j 0.00781409-0.00370563j -0.0160176+0.0171769j -0.0214685+0.0138254j -0.0086953+0.015516j 0.0344281+0.00728096j 0.0325319-0.0039826j -0.0176762-0.000816881j 0.00680042+0.00226519j -0.00840786+0.0261135j 0.0113577-0.0308231j 0.0112487+0.00119587j 0.0120217-0.00292907j -0.01884-0.0316701j 
0.0254777-0.000822886j 0.00832421-0.023539j -0.0418333-0.0141862j -0.0210587-0.0589652j -0.00694472+0.0141013j -0.00813226-0.0112512j -0.0033242-0.0145764j 0.0103534+0.0237795j -0.0205656+0.0124743j -0.0559095-0.00583752j 0.0108218-0.0136521j 0.0430359+0.0374413j 0.000191043+0.0250346j 0.0286992+0.0435632j -0.00211461+0.0150648j 
0.0159381-0.0183532j -0.0168814-0.00761072j 0.0148228-0.00401155j -0.00598022-0.0217163j 0.00925368+0.00641744j 0.0116785-0.00212476j -0.022128+0.0200683j -0.00306341-0.00687765j 0.0145714-0.0153952j -0.00294251-0.0132667j -0.0145009+0.0137994j -0.0304998+0.0422842j -0.00293201-0.00485322j -0.000538937+0.00840114j 0.0106237+0.0242623j 
0.00221559+0.0105066j 0.00868941+0.00194873j 0.00349463+0.00768595j 0.00830335-0.0260406j -1.32251e-06-0.0541131j 0.000890153+0.0162842j 0.0243831+0.0158824j -0.00943213-0.000227084j -0.0142194+0.00663401j -0.0162204+0.0142632j 0.0143776-0.0477284j -0.00591429-0.0323555j -0.0156224-0.00906763j -0.00751162+0.00597688j -0.00410143+0.00249957j 
