-0.319286-0j -0.360672-0j 0.286104-0j -0.297539-0j 0.758358-0j 0.206521-0j -0.0679178-0j -0.0419376-0j -0.0464165-0j 0.0356508-0j -0.0244636-0j -0.0370757-0j 0.0415926-0j 0.0743878-0j -0.0249733-0j 0.0779564-0j 0.0150116-0j -0.00403088-0j -0.0273685-0j -0.0039503-0j -0.0298677-0j -0.00431103-0j 0.0224768-0j 0.00324425-0j -0.0233752-0j -0.0211197-0j -0.00337392-0j -0.00304836-0j 0.0253903-0j -0.0174228-0j 0.00366477-0j -0.015245-0j 0.0444068-0j -0.00251477-0j -0.00220042-0j 0.00640957-0j 0.0209459-0j 0.0529785-0j 0.00302328-0j -0.0088929-0j 0.0320545-0j 0.00764679-0j -0.00128358-0j 0.00462667-0j 0.00478122-0j 0.00069011-0j -0.00108505-0j -0.000156613-0j 
0.322594-0j -0.351782-0j 0.297539-0j -0.300442-0j -0.251325-0j 0.192835-0j 0.719582-0j 0.0423722-0j -0.0452724-0j 0.0370757-0j 0.0247171-0j -0.0374374-0j -0.0417561-0j 0.0152929-0j 0.0226545-0j -0.0267466-0j 0.0737863-0j 0.0740302-0j 0.0276521-0j 0.00399124-0j -0.0291315-0j -0.00420478-0j 0.0233752-0j 0.00337392-0j -0.0236032-0j 0.0213385-0j -0.00340683-0j 0.00307995-0j -0.0254901-0j -0.0169934-0j -0.00367918-0j 0.0138295-0j 0.015245-0j -0.00245279-0j 0.00199611-0j 0.00220042-0j -0.02177-0j -0.0105141-0j -0.00314223-0j 0.0424669-0j 0.00988026-0j -0.00151758-0j 0.00612957-0j 0.00142609-0j 0.0521409-0j 0.00752589-0j 0.0304767-0j 0.00439894-0j 
0.0375102-0j 0.0423722-0j -0.0680382-0j -0.0687432-0j 0.0302722-0j 0.0249733-0j 0.00797908-0j -0.232308-0j -0.257118-0j -0.20327-0j 0.668514-0j -0.205376-0j 0.466376-0j -0.0838445-0j 0.272053-0j -0.146728-0j -0.0855912-0j -0.0223286-0j 0.00321529-0j -0.0442285-0j 0.0035089-0j -0.0482673-0j 0.00271798-0j -0.0373877-0j 0.00274615-0j -0.00487948-0j -0.0377751-0j 0.0671205-0j 0.00307029-0j -0.0100976-0j -0.0422339-0j 0.001791-0j -0.00348607-0j 0.138899-0j -0.0246364-0j 0.0479532-0j -0.00498113-0j 0.00126643-0j 0.0685188-0j -0.00205461-0j 0.00127955-0j -0.0174206-0j 0.0282626-0j -0.0176011-0j 0.000578164-0j -0.00795303-0j 0.000127473-0j -0.00175348-0j 
-0.0464165-0j -0.000908445-0j 0.0415926-0j 0.0417561-0j 0.00191012-0j -0.0584857-0j 0.0386391-0j 0.287467-0j 0.00551252-0j -0.244373-0j 0.167689-0j -0.245334-0j -0.00493963-0j -0.5099-0j -0.333467-0j 0.515845-0j 0.301565-0j -0.135279-0j -0.00397872-0j 0.05473-0j -7.52296e-05-0j 0.00103483-0j 0.00326759-0j -0.0449479-0j 0.00328044-0j -0.00307029-0j -0.0451246-0j 0.0422339-0j 6.3952e-05-0j -4.38839e-05-0j -0.000879703-0j 0.00431731-0j 0.00645567-0j 0.000603653-0j -0.0593875-0j -0.0888021-0j -0.00293951-0j 0.00013344-0j 0.040435-0j 0.00378885-0j -0.00907769-0j -0.00183556-0j -0.0521181-0j 0.12487-0j -0.00272008-0j 0.0374166-0j 0.000927309-0j -0.0127558-0j 
0.0270763-0j -0.059582-0j 0.0249733-0j 0.0226545-0j -0.0425674-0j 0.0692963-0j -0.0733559-0j -0.167689-0j 0.361548-0j -0.146728-0j -0.0978185-0j -0.133104-0j 0.333467-0j -0.0605221-0j -0.383858-0j -0.0950942-0j -0.0739684-0j 0.703533-0j 0.00232092-0j -0.0319258-0j -0.00493407-0j 0.0678714-0j 0.00196194-0j -0.0269879-0j 0.00177978-0j 0.001791-0j -0.0244821-0j -0.0246364-0j -0.00431731-0j -0.00287821-0j 0.0593875-0j 0.0049697-0j 0.00127955-0j 0.0395917-0j -0.0683616-0j -0.0176011-0j 0.00164155-0j -0.0017808-0j -0.0225806-0j 0.00090288-0j 0.00355053-0j 0.0244961-0j -0.0124197-0j -0.0488399-0j -0.00531537-0j 0.0731164-0j -0.00894728-0j 0.123076-0j 
0.0228981-0j -0.0767687-0j 0.0211197-0j 0.0213385-0j 0.0184797-0j 0.015245-0j 0.00487084-0j 0.00300763-0j 0.00332884-0j -0.0078106-0j 0.00175445-0j -0.00789154-0j 0.00307029-0j 0.00108551-0j 0.001791-0j 0.00189964-0j 0.00110813-0j 0.000289082-0j -0.187652-0j 0.000283303-0j -0.204788-0j 0.000309173-0j -0.158628-0j 0.000239485-0j -0.160272-0j 0.429774-0j 0.000241966-0j -0.000648842-0j 0.531819-0j -0.119459-0j -0.000802901-0j 0.310227-0j -0.103455-0j 0.000180351-0j -0.000468359-0j 0.000156189-0j -0.147823-0j -0.0739117-0j 0.000223173-0j -0.0609741-0j -0.0746777-0j 0.000111587-0j 9.20542e-05-0j 0.000112743-0j -0.033743-0j 5.09427e-05-0j -0.00743962-0j 1.12318e-05-0j 
-0.00330506-0j 0.0110806-0j -0.00304836-0j -0.00307995-0j -0.00266732-0j -0.00220042-0j -0.000703046-0j 0.041372-0j 0.0457904-0j -0.10744-0j 0.0241337-0j -0.108553-0j 0.0422339-0j 0.0149319-0j 0.0246364-0j 0.0261309-0j 0.015243-0j 0.00397652-0j -0.000283303-0j -0.18178-0j -0.000309173-0j -0.198379-0j -0.000239485-0j -0.153664-0j -0.000241966-0j 0.000648842-0j -0.155256-0j 0.416325-0j 0.000802901-0j -0.000180351-0j 0.515176-0j 0.000468359-0j -0.000156189-0j -0.115721-0j 0.30052-0j -0.100217-0j -0.000223173-0j -0.000111587-0j -0.143198-0j -9.20542e-05-0j -0.000112743-0j -0.0715988-0j -0.059066-0j -0.0723408-0j -5.09427e-05-0j -0.0326871-0j -1.12318e-05-0j -0.00720682-0j 
-0.0267145-0j -0.000522846-0j 0.0484563-0j -0.047262-0j -0.000373539-0j 0.0346472-0j 0.0222383-0j -0.0035089-0j -6.72874e-05-0j -0.00307029-0j 0.0100976-0j 0.00299461-0j 0.00012205-0j -0.00126643-0j -0.00800486-0j 0.00213946-0j 0.00378885-0j 0.00165125-0j 0.218927-0j -0.00033052-0j 0.00413947-0j -6.24947e-06-0j 0.185066-0j -0.000279399-0j -0.180504-0j -0.33224-0j 0.000272512-0j 0.000501592-0j 0.00362204-0j -0.0119122-0j -5.46829e-06-0j -0.237558-0j -0.237364-0j 1.79841e-05-0j 0.000358647-0j 0.000358355-0j 0.327409-0j 0.00149401-0j -0.000494299-0j 0.409996-0j -0.169719-0j -2.25555e-06-0j -0.000618982-0j 0.00025623-0j -0.154057-0j 0.000232584-0j -0.0510247-0j 7.70334e-05-0j 
-0.0163592-0j -0.0184797-0j 0.0444068-0j -0.015245-0j -0.0117206-0j 0.0320545-0j -0.0034799-0j -0.00214876-0j -0.00237824-0j 0.00553344-0j -0.00125344-0j -0.00189964-0j 0.00645567-0j -0.00968823-0j -0.00127955-0j -0.00120483-0j 0.00232998-0j -0.00020653-0j 0.134065-0j -0.000202401-0j 0.146307-0j -0.000220884-0j -0.333535-0j 0.000503547-0j 0.114504-0j 0.103455-0j -0.000172869-0j -0.000156189-0j -0.376768-0j 0.0853459-0j 0.000568817-0j 0.0746777-0j 0.0656152-0j -0.000128849-0j -0.000112743-0j -9.9061e-05-0j -0.310818-0j 0.659665-0j 0.00046925-0j 0.043562-0j 0.0473635-0j -0.000995914-0j -6.57667e-05-0j -7.1506e-05-0j -0.0709489-0j 0.000107113-0j 0.00531512-0j -8.02439e-06-0j 
0.00385591-0j 7.54663e-05-0j -0.00699407-0j 0.00682168-0j 5.39157e-05-0j -0.00500089-0j -0.00320983-0j -0.0482673-0j -0.000925583-0j -0.0422339-0j 0.138899-0j 0.0411929-0j 0.00167888-0j -0.0174206-0j -0.110112-0j 0.0294296-0j 0.0521181-0j 0.0227141-0j 0.00033052-0j 0.212076-0j 6.24947e-06-0j 0.00400993-0j 0.000279399-0j 0.179274-0j -0.000272512-0j -0.000501592-0j -0.174856-0j -0.321844-0j 5.46829e-06-0j -1.79841e-05-0j 0.00350869-0j -0.000358647-0j -0.000358355-0j -0.0115394-0j -0.230124-0j -0.229936-0j 0.000494299-0j 2.25555e-06-0j 0.317164-0j 0.000618982-0j -0.00025623-0j 0.00144726-0j 0.397166-0j -0.164408-0j -0.000232584-0j -0.149236-0j -7.70334e-05-0j -0.049428-0j 
0.00236125-0j 0.00266732-0j -0.00640957-0j 0.00220042-0j 0.00169172-0j -0.00462667-0j 0.00050228-0j -0.0295576-0j -0.0327142-0j 0.0761161-0j -0.0172419-0j -0.0261309-0j 0.0888021-0j -0.133268-0j -0.0176011-0j -0.0165732-0j 0.0320504-0j -0.00284096-0j 0.000202401-0j 0.12987-0j 0.000220884-0j 0.141729-0j -0.000503547-0j -0.323098-0j 0.000172869-0j 0.000156189-0j 0.11092-0j 0.100217-0j -0.000568817-0j 0.000128849-0j -0.364978-0j 0.000112743-0j 9.9061e-05-0j 0.0826752-0j 0.0723408-0j 0.0635619-0j -0.00046925-0j 0.000995914-0j -0.301091-0j 6.57667e-05-0j 7.1506e-05-0j 0.639022-0j 0.0421988-0j 0.0458814-0j -0.000107113-0j -0.0687287-0j 8.02439e-06-0j 0.0051488-0j 
