-0.306635-0j -0.00643125-0j -0.242191-0j 0.235015-0j -0.209744-0j -0.00513704-0j 0.293813-0j -0.194185-0j -0.187601-0j -0.00448397-0j -0.138733-0j 0.190384-0j -0.00419437-0j 0.238825-0j -0.00290595-0j -0.17303-0j 0.167903-0j -0.164151-0j -0.0029966-0j -0.109434-0j 0.159286-0j 0.242383-0j -0.105959-0j 0.155675-0j -0.00379044-0j -0.00259513-0j -0.0677087-0j 0.216794-0j -0.00244672-0j 0.148429-0j 0.1138-0j -0.107057-0j 0.201886-0j -0.0582743-0j 0.146915-0j 0.088016-0j 0.0565475-0j -0.00151383-0j 0.184296-0j -0.00174802-0j 0.149967-0j -0.0312249-0j 0.14139-0j 0.136216-0j 0.0605993-0j 0.0908104-0j 0.0451252-0j -0.00034201-0j 0.131667-0j 0.0437403-0j 0.0811799-0j 0.056186-0j 0.0217259-0j 0.032239-0j 0.0102454-0j 0.00174564-0j 
0.0312761-0j 0.0331426-0j -0.0237556-0j 0.024959-0j 0.0213935-0j -0.0254577-0j 0.0154426-0j 0.0198065-0j 0.0191349-0j 0.0231076-0j -0.0413659-0j -0.0194437-0j 0.0216152-0j 0.00833996-0j 0.0149754-0j -0.0169718-0j 0.0178316-0j -0.0161009-0j -0.0451433-0j 0.011162-0j 0.0169165-0j -0.0122509-0j 0.0108076-0j 0.00407033-0j -0.0187844-0j -0.0128608-0j -0.0337361-0j 0.0113946-0j 0.0126088-0j 0.00780132-0j -0.0353302-0j -0.0319211-0j -0.00677964-0j -0.0057159-0j -0.0150042-0j 0.00183917-0j 0.00600546-0j -0.038109-0j 0.00643576-0j -0.0263336-0j -0.0230419-0j -0.0218055-0j -0.00714636-0j -0.00342495-0j -0.0314383-0j 0.00237436-0j 0.000785246-0j -0.0155246-0j -0.0134411-0j -0.0157401-0j -0.00163127-0j -0.00717628-0j 0.000323897-0j -0.00163999-0j -0.000128477-0j 1.82014e-05-0j 
-0.0316002-0j 0.0321605-0j -0.024959-0j 0.0251979-0j -0.0216152-0j 0.0256886-0j -0.0137864-0j -0.0200117-0j -0.0193332-0j 0.0224228-0j -0.0142971-0j 0.0204126-0j 0.0209746-0j -0.0395031-0j 0.0145317-0j -0.0178316-0j 0.0180023-0j -0.0169165-0j 0.014985-0j -0.0112777-0j 0.0170784-0j -0.0113732-0j -0.0109196-0j -0.042828-0j 0.0189547-0j 0.0129774-0j -0.00697771-0j -0.0101725-0j 0.0122352-0j -0.00696465-0j 0.0122014-0j -0.0110327-0j -0.0333932-0j -0.00600546-0j 0.015752-0j -0.0335628-0j 0.00606294-0j 0.00757015-0j -0.0304836-0j 0.00874126-0j -0.00703682-0j -0.00321788-0j -0.00663438-0j -0.0374745-0j 0.00649736-0j -0.024983-0j -0.021922-0j 0.00171028-0j -0.0217786-0j -0.00205241-0j -0.0309561-0j -0.0154574-0j -0.0128028-0j -0.0156618-0j -0.00709137-0j -0.00156544-0j 
0.0180459-0j 0.0191229-0j 0.0142533-0j 0.0144011-0j -0.0240002-0j 0.0152746-0j 0.0089102-0j 0.0114281-0j 0.0110406-0j -0.0259232-0j 0.00816463-0j 0.0116662-0j 0.0124717-0j 0.00481206-0j 0.00864063-0j -0.0197992-0j -0.0200043-0j 0.00966052-0j 0.0089102-0j -0.0314845-0j 0.00976063-0j 0.00735054-0j -0.0121245-0j 0.00234853-0j -0.0219137-0j 0.00771646-0j 0.00398476-0j -0.012783-0j -0.0355656-0j 0.00450127-0j 0.00697333-0j -0.0122501-0j 0.00406778-0j -0.0268634-0j -0.0175038-0j 0.00106118-0j -0.0271418-0j 0.00450127-0j -0.00721995-0j -0.0254093-0j 0.00454791-0j -0.00357295-0j -0.0209616-0j 0.00205497-0j -0.00721995-0j -0.00669732-0j 0.000453077-0j 0.00101694-0j -0.00515818-0j 0.00132647-0j -0.00190302-0j 0.00084763-0j -0.000363364-0j 0.000323694-0j 7.70861e-05-0j 1.0502e-05-0j 
-0.00260471-0j -0.00276015-0j -0.00205729-0j -0.00207861-0j 0.00346413-0j -0.0022047-0j -0.00128608-0j -0.0016495-0j -0.00159357-0j 0.00374169-0j -0.00117846-0j -0.00168387-0j -0.00180013-0j -0.00069456-0j -0.00124717-0j 0.00285776-0j 0.00288738-0j -0.00139438-0j -0.00128608-0j 0.0045444-0j -0.00140883-0j -0.00106096-0j 0.00175002-0j -0.000338981-0j 0.00316297-0j -0.00111377-0j -0.000575151-0j 0.00184506-0j 0.00513345-0j -0.000649702-0j -0.00100651-0j 0.00176815-0j -0.000587133-0j 0.0038774-0j 0.00252646-0j -0.000153168-0j 0.00391758-0j -0.000649702-0j 0.00104211-0j 0.00366751-0j -0.000656435-0j 0.000515711-0j 0.00302554-0j -0.000296609-0j 0.00104211-0j 0.000966676-0j -6.53961e-05-0j -0.000146783-0j 0.000744519-0j -0.00019146-0j 0.000274677-0j -0.000122345-0j 5.24471e-05-0j -4.67212e-05-0j -1.11264e-05-0j -1.51583e-06-0j 
-0.0223307-0j -0.000468356-0j 0.0169612-0j 0.017115-0j -0.0152746-0j 0.000359757-0j 0.0213969-0j -0.0141416-0j -0.013662-0j -0.000326546-0j 0.0295347-0j -0.013333-0j -0.000305456-0j 0.0173924-0j -0.000211626-0j 0.0121176-0j 0.0122275-0j 0.0114958-0j 0.000637945-0j -0.00796952-0j 0.0116001-0j -0.0169746-0j -0.00771646-0j 0.011337-0j 0.000265452-0j 0.000181743-0j 0.0240871-0j 0.015788-0j -0.000178182-0j 0.0108093-0j -0.0242267-0j 0.0227912-0j -0.0141385-0j 0.00408107-0j -0.0102887-0j 0.00640977-0j 0.00411808-0j 0.000538539-0j 0.0134213-0j 0.000372134-0j -0.0319263-0j 0.0155688-0j -0.00990184-0j -0.00953945-0j -0.021558-0j 0.00661327-0j 0.00328625-0j 0.000219386-0j -0.0280305-0j -0.0218091-0j -0.00568519-0j -0.019988-0j 0.00158219-0j -0.00686334-0j -0.000717505-0j 0.000127126-0j 
0.00322316-0j 6.76014e-05-0j -0.00244813-0j -0.00247033-0j 0.0022047-0j -5.19265e-05-0j -0.00308838-0j 0.00204116-0j 0.00197195-0j 4.71328e-05-0j -0.00426296-0j 0.00192445-0j 4.40887e-05-0j -0.00251038-0j 3.05456e-05-0j -0.00174903-0j -0.00176489-0j -0.00165928-0j -9.20794e-05-0j 0.0011503-0j -0.00167432-0j 0.00245007-0j 0.00111377-0j -0.00163636-0j -3.83147e-05-0j -2.62323e-05-0j -0.00347667-0j -0.00227881-0j 2.57184e-05-0j -0.00156019-0j 0.00349683-0j -0.00328963-0j 0.00204071-0j -0.000589052-0j 0.00148505-0j -0.000925171-0j -0.000594394-0j -7.77314e-05-0j -0.0019372-0j -5.3713e-05-0j 0.00460817-0j -0.00224717-0j 0.00142921-0j 0.0013769-0j 0.00311162-0j -0.000954544-0j -0.000474329-0j -3.16657e-05-0j 0.00404585-0j 0.00314787-0j 0.000820587-0j 0.00288502-0j -0.000228369-0j 0.000990638-0j 0.000103563-0j -1.83491e-05-0j 
0.0130262-0j -0.0267876-0j 0.0102886-0j 0.00918518-0j 0.0089102-0j -0.0213969-0j 0.0245815-0j 0.00824924-0j 0.00796952-0j -0.0186768-0j 0.00589354-0j 0.00744084-0j -0.0174705-0j 0.00425018-0j -0.0121039-0j 0.00735054-0j 0.00656221-0j 0.00697333-0j -0.0124815-0j 0.00464889-0j 0.00622546-0j 0.0202787-0j 0.00450127-0j -0.021296-0j -0.015788-0j -0.0108093-0j 0.00287635-0j 0.0181378-0j -0.0101911-0j 0.0124181-0j 0.00444768-0j 0.00454791-0j 0.00359281-0j 0.00247557-0j 0.00574193-0j -0.0330804-0j 0.00221007-0j -0.00630544-0j 0.00327977-0j -0.0072809-0j 0.0125468-0j 0.00132647-0j 0.0118292-0j -0.018634-0j 0.00236843-0j -0.0124227-0j -0.0314943-0j -0.00142455-0j 0.00234318-0j 0.00365948-0j -0.0305111-0j -0.00768615-0j -0.0239517-0j -0.0225006-0j -0.016281-0j -0.00490211-0j 
-0.00188018-0j 0.00386646-0j -0.00148503-0j -0.00132577-0j -0.00128608-0j 0.00308838-0j -0.00354803-0j -0.00119067-0j -0.0011503-0j 0.00269576-0j -0.000850659-0j -0.00107399-0j 0.00252165-0j -0.000613461-0j 0.00174705-0j -0.00106096-0j -0.000947173-0j -0.00100651-0j 0.00180156-0j -0.000671009-0j -0.000898567-0j -0.00292698-0j -0.000649702-0j 0.00307382-0j 0.00227881-0j 0.00156019-0j -0.000415166-0j -0.00261797-0j 0.00147096-0j -0.0017924-0j -0.000641968-0j -0.000656435-0j -0.000518577-0j -0.000357318-0j -0.000828777-0j 0.00477475-0j -0.000318996-0j 0.000910112-0j -0.000473394-0j 0.00105091-0j -0.00181097-0j -0.00019146-0j -0.0017074-0j 0.00268959-0j -0.000341853-0j 0.00179306-0j 0.00454581-0j 0.000205616-0j -0.000338209-0j -0.000528201-0j 0.0044039-0j 0.0011094-0j 0.00345713-0j 0.00324769-0j 0.00234996-0j 0.000707558-0j 
0.0127524-0j 0.0135134-0j 0.0100723-0j 0.0101767-0j 0.00872287-0j 0.010794-0j 0.0062965-0j -0.0236478-0j 0.00780197-0j 0.00942178-0j 0.00576964-0j 0.00824406-0j -0.0258073-0j 0.0034005-0j 0.00610601-0j 0.007196-0j 0.00727057-0j -0.0199902-0j 0.0062965-0j 0.00455115-0j -0.0201974-0j 0.00519435-0j -0.0302139-0j 0.00165962-0j 0.00796452-0j -0.0373878-0j 0.00281588-0j 0.00464597-0j -0.0150542-0j -0.0218095-0j 0.00492779-0j -0.0130373-0j 0.00287455-0j 0.00242352-0j -0.0186287-0j 0.000749896-0j 0.00244864-0j -0.00931433-0j -0.00768393-0j 0.00367296-0j -0.00941085-0j 0.00129859-0j 0.00303004-0j -0.00425228-0j 0.00262409-0j 0.000968111-0j -0.000937539-0j 0.000718636-0j 0.00187474-0j 0.00093737-0j 0.000691652-0j 0.000598988-0j 0.000132065-0j 0.000228742-0j 5.44738e-05-0j 7.42137e-06-0j 
-0.00225432-0j -0.00238886-0j -0.00178055-0j -0.001799-0j -0.001542-0j -0.00190813-0j -0.00111307-0j 0.00418038-0j -0.00137921-0j -0.00166555-0j -0.00101994-0j -0.00145736-0j 0.00456212-0j -0.000601129-0j -0.0010794-0j -0.00127209-0j -0.00128527-0j 0.0035338-0j -0.00111307-0j -0.000804538-0j 0.00357042-0j -0.00091824-0j 0.00534111-0j -0.000293382-0j -0.00140794-0j 0.00660929-0j -0.000497782-0j -0.000821299-0j 0.00266124-0j 0.00385542-0j -0.000871119-0j 0.0023047-0j -0.000508153-0j -0.000428423-0j 0.00329311-0j -0.000132564-0j -0.000432862-0j 0.00164656-0j 0.00135834-0j -0.000649294-0j 0.00166362-0j -0.00022956-0j -0.00053564-0j 0.000751703-0j -0.000463878-0j -0.00017114-0j 0.000165735-0j -0.000127038-0j -0.00033141-0j -0.000165705-0j -0.000122268-0j -0.000105887-0j -2.33459e-05-0j -4.04363e-05-0j -9.62971e-06-0j -1.31193e-06-0j 
