-0.00324118+0.00807303j 0.0212013-0.0198694j 0.00152732-0.00362592j 0.00744552-0.0325542j 0.000441295-0.0223543j -0.00101191+0.000627811j -7.42395e-05+0.00057129j -8.02322e-05-0.0166605j -0.00805406-0.0135804j -0.00299663-0.00761361j 0.00193954-0.0141051j -0.000726946+0.00557006j -0.0151765-0.0294461j 0.000514516+0.00249201j -0.00518932-0.00363177j -0.000198281-0.000657619j 0.000194064+0.000565665j -0.000845292-0.00498963j -0.00116244-0.00127588j 0.0046336+0.00398686j -0.000490492-0.0032571j -0.00405136+0.00996479j 0.00661778-0.00175278j 0.00647144-0.000199356j -0.00253798-0.0018297j 0.00323604+0.0167637j 0.00174722+0.00302835j -0.000579319+0.000386264j 0.0023491+0.000246211j -0.0218482-0.00341641j 0.00183854+0.000303675j -0.00073189+0.00600148j -0.000490682-0.000977972j 0.00666402+0.0028338j -0.000116288-0.000112597j -0.000697448-0.00109603j 
-0.0139747-0.0148772j 0.0417414+0.0320857j -0.000137206+0.00636379j 0.0287481+0.0130281j 0.0217761-0.00290978j 0.00108534-0.000332784j 0.00123668-0.00157693j -0.00404657-3.23285e-06j 0.00451783+0.00580211j 0.00303271+0.000162204j -0.00822288-0.00320485j -0.00109487+0.00385177j 0.00778055-0.00422981j 0.00207423+0.000113823j 0.000241171-0.00405157j -0.000163144+0.000208083j 0.00178772+0.000382365j -0.0049898-0.00126973j -0.00251454+0.00175718j 0.00699215-0.00501162j -0.00360463-0.000195348j 0.00974222+0.0106846j -0.000500871-0.00545518j -0.000208851-0.00479564j -0.000746398+0.00176272j 0.0169188-0.00682245j 0.00191673+0.0021362j -0.00136678+0.00164164j 0.00245538+0.00208049j -0.00202772+0.0143392j 0.00139735-0.00424555j 0.00569803-0.000586712j -0.00127878+0.000614286j 0.0030866-0.00202547j -0.000542404-0.000543311j -0.000333949-4.6064e-05j 
0.00142344-0.00206136j -0.00202093+0.00456755j 0.00436635-0.00277607j 0.0139732-0.0137899j 0.0049357-0.0088943j -0.000206966-0.00168239j 0.00328869+0.00113952j 0.0208773+0.00104364j -0.0195914+0.010869j -0.00823226+0.00527268j 0.0363193-0.0171115j -0.00506731+0.002803j -0.00118181+0.0119074j -0.00382864+0.00674731j 0.00161182-0.000382628j 0.0018883-5.78305e-05j -4.22251e-05-0.00106031j 0.00144785+0.00588501j -0.00100906+0.00161021j 0.00146608-0.000238115j 0.00140922+0.00194751j -0.0190656-0.0119093j -0.00427097-0.0116352j -0.00438894-0.0124692j 0.00183461+0.00286673j 0.00817818+0.00727156j -0.00134062-0.000903164j 0.000955531+0.000607259j -0.0140295-0.00938487j 0.00800888+0.0190745j -0.000801028-0.00213568j -0.000439971-0.000478311j 0.00109884-0.000147561j -0.00612595-0.00300783j 0.000394569-0.000294551j 9.26074e-05+0.00113975j 
-0.0212463+0.024313j 0.0153807-0.0516802j 0.00771757+0.0050977j 0.0171329+0.00428157j 0.00325395-0.000303113j 0.00157696-0.000391788j -0.000663094-0.00150646j -0.00398798+0.0120506j 0.00743706+0.00926997j 0.00272991+0.00566859j -0.00595713+0.0141657j 0.00276396-0.00289241j 0.00736695+0.0186903j -0.000488291-0.00431554j 0.00228033+0.00310915j -0.000317561+0.000886882j -0.000385137+0.00135488j 0.00176852-0.00125327j -0.000543609-0.000455739j 0.00197353+0.00130367j -0.000457162-0.000625243j -0.00542848+0.00536015j -0.00375489-0.00124797j -0.00303973-0.00308431j 0.000823914+0.000939485j 0.00956662+0.000237246j -0.000312045-0.000521763j 0.000117652-0.00189262j -0.00485805+0.00282559j 0.0055885+0.00823964j 0.000524635+0.000497865j 0.00245938+0.000406531j -0.000577516-0.000578215j -0.00168033-0.00174966j 0.000291721-7.53421e-05j 3.59145e-05+0.000615593j 
0.000167379+0.00206952j -0.0023198-0.0013971j -0.000372442-0.00538994j -0.0100352-0.0156398j -0.00835975-0.00517522j -0.00183096-0.00121918j -0.000885998-0.00449548j 0.00499652-0.00413981j 0.0251737+0.0180334j 0.0110081+0.00773937j -0.0129317-0.0128054j 0.00243407+0.00211346j 0.0331239+0.00521379j 0.00316033+0.000196789j 0.00428478-0.0038624j 0.0014886+0.000428202j 0.00181704-4.18283e-06j -0.00561607+0.00467598j -0.00223436-0.00165101j 0.00105467+0.000228549j -0.00185154+0.00219904j 0.00794557-0.0215912j 0.0117611-0.00598134j 0.0134183-0.00541229j -0.00380519+0.00161189j -0.00541033+0.00876685j -0.000468165-0.00252495j 0.000422902+0.00144952j 0.00558066-0.0168134j -0.0190313+0.0122181j 0.00246068-0.00135747j 0.00120588-0.00107242j 0.00107005+0.00118062j 0.00339023-0.0076019j -0.000211986+5.64796e-05j -0.000761611-0.000403133j 
-0.0273808-0.0173118j 0.0452731-0.0073601j -0.00638773-0.000868956j -0.032363+0.00312307j -0.0201962+0.00665128j -0.00225094+0.000610299j -0.000380249+0.00045124j 0.0075047-0.00170794j -0.0042917-0.00122724j -0.00336996+0.00150506j 0.0106957-0.00230166j 0.000451599-0.00101721j -0.00441816+0.00288341j -0.00156976+0.00103285j -0.000120809+0.00174714j 0.000774568-8.95533e-05j -0.000776086-0.000930412j 0.00189121+0.00350702j 0.00231778-0.000374312j -0.00696406+0.0011776j 0.00295119+0.00230519j -0.00218284-0.0155832j 0.000279707+0.00399752j -0.000710735+0.00349814j 0.000730145-0.00101904j -0.0181725-0.00136249j -0.00127171-0.0020568j 0.000846679-0.000159544j -0.000164506-0.00493509j 0.0061786-0.0111297j -0.00217151+0.00206525j -0.00541552-0.00278121j 0.00177933+0.000385972j -0.00422573+0.000621345j 0.000139269+0.000457071j 0.000328374+0.000180733j 
0.00657655-0.0167498j 0.0106958+0.0207196j 0.00754308-0.0047307j 0.00175638-0.0312957j -0.00995216-0.0182659j 0.00162165-0.00165092j -0.000742979-0.00166286j -0.00840086+0.0168223j 0.0068108+0.00390627j 0.000452183+0.00457103j -0.0114636+0.0283271j 0.00331534-0.00494446j 0.00174043+0.0195755j -0.000241285-0.00915132j 0.00239818+0.00698298j -0.0010729+0.00109842j -0.00320951+0.00183791j 0.00770767-0.00398751j 0.00134024-0.00342119j -0.00221999+0.00981363j 0.00331708-0.00429495j -0.0212145+0.00680488j -0.00159873+0.00243918j 0.000619099+0.00181114j -0.000734041-0.00115262j 0.000893691+0.0192484j -0.00188742-0.000316104j 0.00254784-0.0039609j -0.00927208+0.00582138j -0.00552493-0.00438888j 0.000628426+0.00515242j -0.000812538+0.00783775j -0.000125417-0.00311179j 0.00107768+0.00268422j 0.00124076+0.000932922j 0.000637391+0.000511587j 
-0.0270495+0.00819034j -0.0171315+0.0170772j 0.0245091-0.00994967j 0.0119156-0.00523049j -0.00792018+0.0197843j -0.00885216+0.00494892j -0.00553924+0.00778848j 0.0139432-0.0212348j 0.00664742-0.0197149j -0.00639224+0.000510186j -0.00338649-0.00787907j 0.00838516-0.0172884j -0.00683477+0.00947983j 0.0046408-0.00221482j -0.00112852+0.0136581j 0.000773166+0.000236579j -0.00135899+0.00360323j 0.00435907-0.00690268j -6.53191e-05-0.00663157j -0.00186545+0.0106056j -0.00393422+0.000625753j 0.00198246+0.00242383j 0.0011293+0.0132126j 0.0086622+0.00102671j -0.000776936-0.000611678j 0.00505867+0.00152209j -0.00411264-0.0104602j 0.00209206-0.0130004j 0.00310969+0.00136507j 0.000493109+0.00931532j 0.00549496+0.0113754j 0.0086772-0.00530631j -0.00135156+0.0019258j -0.00446194-0.0206328j 0.00116221-0.0010213j -0.00387593-0.000915616j 
-0.0207876-0.0611667j -0.0318467-0.0413548j 0.0110998+0.0324911j 0.00962179+0.00889465j -0.0228944-0.0194246j -0.00227742+0.00144647j -0.00221699-0.00518539j 0.00584618-0.000104712j 0.00750693+0.00658889j -0.00109536+0.00124888j 0.00126555-0.000111558j 0.0104943+0.00825292j -0.00841851-0.00624799j -0.000987608-0.000527567j -0.00932755-0.00183331j -3.71313e-05+0.00332917j 0.00223137+0.00465083j -0.00168476-0.0066821j -0.00224303-0.000313285j 0.0064062+0.00338541j -0.00270903+0.00304761j 0.00273847+0.00299088j 0.00258333+0.00101255j -0.00214871-0.00677819j 0.00162161-0.00255485j 0.00272388-0.0043976j 0.00275692+0.00320507j -0.0048-0.00247185j 0.00305708-0.00402j 0.000434314+0.00274744j 0.000161049-0.00160158j -0.00478422-0.00694928j 0.000415048+0.00273448j -0.00412525-0.00319625j -0.00231171-0.000902307j -0.00259165+0.000226142j 
0.00397484+0.00488539j 0.0043367+0.00205816j 0.0127489+0.00400722j 0.00254667-0.000674368j -0.0143626+0.00300658j -0.00267339-0.00813735j 0.00758128+0.0110102j 0.0203141+0.0146336j -0.00461844-0.00315142j -0.0276599-0.0122492j -0.017613-0.00718896j -0.00208812-0.00105942j 0.00417019-0.000171896j 0.0212437-0.000512426j -0.00541788-0.000235478j 0.00376069-5.76999e-05j -1.41309e-05-0.0010802j 0.00413819+0.0155881j -0.00486525-0.000182287j -0.000218589+0.00302148j -0.00479415-0.0122667j -0.00419434-0.00644196j 0.00613264-0.00263413j 0.0144406+0.000859637j 0.00638431+0.0148079j 0.00301979-0.000462561j -0.0134788+0.00602641j 0.000465865-0.000159493j 0.00825918+0.0134139j 0.00785178-0.000681267j 0.00631077-0.00581935j 0.0112196-0.000220795j -0.00451485-0.00322223j -0.00362457+0.00937426j 0.00198632-0.00180687j 0.00214703+0.00152652j 
0.0518256-0.0356415j 0.0363241-0.0380797j -0.00749336-0.00281086j -8.88011e-05+0.00258066j 0.0093464-0.00158198j -0.00881289+0.00154532j -0.000604324+0.00650406j 0.0109528-0.00584714j 0.00257555-0.00903818j -0.0069454-0.00141112j -0.00518288-0.00336071j 0.000491496-0.010241j 0.000347026+0.0103027j 0.00630824-0.00199803j 0.00240601+0.00820759j -0.000358829-7.03737e-05j -0.00356942-0.00255087j 0.0021493-0.00390075j -0.00155177+0.00100603j -0.0168974+0.00313065j 0.00457197+0.0013419j 0.00381694-2.95582e-05j -0.00474099-0.00058358j 0.0114631-0.0101378j -0.0115248+0.00590124j 9.60961e-05-0.00498456j -0.00644239+0.0110475j 0.00983868-0.00824149j -0.00750514+0.00654256j -0.000822895-0.000641066j -0.00235775-0.00323282j 0.00679775-0.0144618j -0.000558945-0.00211419j 0.00828029-0.00476234j -0.0018855-0.00162114j 8.66474e-05-0.00176731j 
0.0417956-0.0411865j 0.0276349-0.0410125j -0.0151891-0.00461241j -0.00182446+0.00309976j 0.0172528-0.00422062j -0.00750308+0.0025597j 0.00283561+0.000389235j 0.0069048-0.00693833j -0.00117305-0.00325481j -0.00670233+0.00636694j -0.00457693+0.00392018j -0.00142795-0.00131063j 0.00173523+0.000631109j 0.00348089-0.00774135j -0.000868487+0.00137694j 0.00147343-0.000668313j 0.000247905+0.0028562j 0.000430918+0.00312104j 0.00406417-0.00622087j 0.00707638-0.000289954j -0.00477411+0.000160056j -0.000482986-0.00268986j 0.000621563+0.0115131j -0.00367614+0.016718j 0.00724983-0.0070246j 0.00167751+0.00274914j -0.000439371-0.0224611j -0.00208201-0.000367047j 0.00424479-0.00523124j 0.00457901+0.00887202j 0.0055741+0.0126269j 0.00467504+0.0116277j 0.000647965+0.00116797j -0.00957662-0.0112998j 0.00369234+0.00130353j -0.00240544+0.00119232j 
0.0013018-0.00252021j -0.000273728-0.00235125j 0.00717698-0.0215056j -0.000282323-0.00345708j 0.00626059+0.0244378j -0.00572664-0.00521644j 0.00647947-0.0157849j 0.0130147-0.00667528j 0.00526548+0.0138707j -0.00736069+0.023834j 6.26631e-06+0.0158554j 0.0081294+0.0137304j -0.00887658-0.0157322j -0.00184449-0.0150184j -0.0118429-0.00284184j 0.00464154-0.00112778j 0.00192133-0.0020766j -0.00798914+0.00693076j 0.00028669+0.00203552j -0.00172067-0.00433571j 0.00425986-0.00335263j 0.00336699-0.00138482j -0.00199048-0.00659154j -0.00312062+0.000517005j -0.00466034+0.00644439j -0.000710854+0.000246889j 0.00402997+0.00511498j 0.0014915+0.00339791j -0.00452481+0.00625487j -0.00446797+0.000448374j -0.00473738-0.0038587j -0.00440912+0.00438414j -2.90986e-05-0.00434258j 0.00525388+0.00577734j -0.000860405+0.00325757j -2.77162e-06+0.000578036j 
