0.00496486-0.00347305j -0.00274713-0.00612142j 0.00251807-0.00434825j 0.00287558+0.00120672j -0.00082774-0.00981382j 0.00988558-0.00115224j 0.00503037-0.00536133j 0.00335095-0.000598283j -0.00229083-0.00979568j 0.00115126-0.00381973j 0.0100569+0.000858966j 0.000428312-0.0010774j 0.00149074+0.00348613j 0.00687071+0.00383512j -0.00531299+0.00625421j -0.000177936+0.00441334j 0.00762234-0.0017519j 0.000677429-0.00100245j 0.00418287+0.0070156j -0.00787976+0.00373529j 0.0027258+0.00670351j 0.0108203-0.0173564j 0.00694675+0.00503868j 0.00798609-0.000315061j 0.011903+0.00412702j 0.0107444+0.00734745j 0.00199887+0.0152973j -0.0120285+0.00334354j 0.000580308+0.00825311j 0.00249023-0.00154705j 0.00726346-0.0128327j -0.0158464+0.0050213j -0.000577127+0.00852424j 0.00136112+0.00339872j 0.00148697-0.00377538j -0.00200726-0.000926624j 0.00580199-0.000463215j -0.00496736-0.00067659j -0.00951307-0.00837059j -0.00628169-0.00639352j -0.000593857+0.00249169j -0.00185361+0.00113819j 0.00477734-0.00266819j 0.00683997+0.00467421j -0.000170879-0.00397242j -0.0062512-0.0033839j 0.00212303-0.00565548j 0.00247992+0.00104529j -0.00256547+0.00681149j 0.0029989+0.000244774j -0.00406392+0.00196198j -0.000668239+0.00186481j -0.00409231+0.00317176j 0.000776943+0.002795j 0.00360799+0.000797811j 0.0089219-0.00359382j 0.00747369+0.00418064j 0.00114286-0.00242205j 0.0012207+0.00343082j -0.00124119+0.00072925j 0.00523814-0.00141351j -0.00159833+8.04104e-05j 0.00201404+0.00459208j 0.002957-0.00306629j 0.00885517-0.00298732j -0.00562699-0.00291729j -0.00414777+0.0051478j 0.00650688+0.00267091j 0.00467204+0.00184044j -0.00756168-0.00461808j 0.00511491+0.00502005j 0.0140395-0.0073376j -0.00234441-0.016779j 0.000199555+0.00136247j -0.00698435-0.00465966j -4.98431e-05+0.00974511j -0.00108648-0.00400154j -0.00575443+0.00532741j -0.00309308+0.00384124j 0.00280143-0.00234693j 0.00084374+0.00250074j -0.000250123-0.00112834j -0.00617294+0.000702763j 0.00377474+0.00403932j 0.00302172+0.00260191j 0.00252041+0.00214366j -0.00216506-0.000406093j 0.00264562+0.00012851j -0.00104969-0.00096321j 0.000350304+0.00117181j 0.00457386-0.00258004j -0.00827764+0.000875372j -0.00058271+0.0084843j -0.0031378-0.00186033j -0.000543173+0.000538673j -0.0333176+0.00538969j -0.0079094-0.0319924j 
-0.00079321+0.00875828j 0.00861021-0.000620721j 0.00349095+0.00412225j -0.00400023+0.00398901j 0.00939881+0.001533j -0.00183814+0.0100009j 0.00365988+0.00591081j -0.00284971+0.0061234j 0.0133704+0.000207776j 0.00135066+0.000876263j -0.00172599+0.00929296j 0.000130344-0.00093507j -0.00290092+0.000294638j -0.0031024+0.00794132j -0.00541281-0.00541762j -0.00408534-0.000124352j 0.00312743+0.00743151j -0.00177321+0.00191229j -0.00762872+0.00490564j -0.00358813-0.00777173j -0.0068842+0.00301254j 0.0186241+0.0129247j -0.00625779+0.00722498j 0.00111558+0.00881557j -0.0055553+0.0132484j -0.00945351+0.0119811j -0.0160524+0.00254252j -0.00469084-0.0136003j -0.00895672-0.000884313j 0.00347004+0.0048922j 0.0149989+0.00788455j -0.00495103-0.0178012j -0.00975554-0.000473254j -0.00289235+0.00150465j 0.00284618+0.00182018j 0.000181361-0.00141106j -0.000278275+0.00754202j 0.000704907-0.00396072j 0.0118216-0.00866963j 0.00627677-0.00471622j -0.00209075-0.00213714j 0.0004978-0.00274429j 0.00272419+0.00697867j -0.00157301+0.0088831j 0.00108003-0.000908438j 0.00361601-0.0067276j 0.00787175+0.00205015j -0.000236712+0.00233966j -0.00830165-0.0038503j 0.000938549+0.00245974j -0.0008911-0.00240479j -0.00423203+0.000108779j -0.00191938-0.00331669j -0.00392005+0.00191871j -0.00181851+0.00351559j 0.00235021+0.00819836j -0.00554978+0.0113772j 0.00081682+0.00221786j -0.00357143-0.000203157j -0.00320683-0.00271808j 0.000632428+0.00749973j -0.00107275-0.000297286j -0.00485577+0.00284548j 0.00282497+0.00349706j 0.0028673+0.00721674j 0.00469271-0.00623694j -0.00381801-0.00328337j -0.00035155+0.00768724j -0.00230615+0.00377841j 0.00459686-0.0096431j -0.00406656+0.0032445j 0.00644951+0.0143735j 0.0137368-0.00293674j -0.000759515-0.00158101j 0.00367737-0.00604097j -0.00821958-0.00113097j 0.0010677+0.000526274j -0.00575533-0.0052361j -0.00201891-0.00407167j 0.00403349+0.00105242j -0.000370256+0.000740592j 0.00382237+0.000102552j -0.00172777-0.00468627j -0.00246911+0.0029005j -0.00225931+0.00264613j -0.00232858-0.000191263j -0.00203768-0.00120342j -0.000480464+0.00320056j -0.00294135+0.000802497j 0.000969544+0.00317429j 0.00523407+0.00198404j 0.0011766-0.0147935j -0.0143118-0.00329757j -0.000975055-0.00106539j 0.00221073+0.0019828j -0.0110057-0.0286528j 0.0280778-0.00814941j 
-0.0041934-0.00557389j -0.00699433+0.00470626j -0.00767358-0.00142141j 0.00152644-0.00847191j 0.00354588+0.00686784j -0.00300407+0.00160603j -0.00578146-0.00199775j -0.0065317-0.0045847j -0.000814401+0.0108355j 0.00237777+0.00330128j -0.0001968+0.00301359j 0.00151925+0.00269322j -0.000988559-0.00378813j -0.00225216-0.00620336j 0.00207155+0.00270587j 0.00323612-0.00454489j -0.00279654-0.00328257j 0.00589549-0.0124456j -0.00596271-0.00715766j -0.00299798-0.00306789j -0.00774638-0.00788851j -0.0152309+0.0126324j 0.00118733-0.00160234j -0.00870439-0.00205758j -0.00976383-0.0118896j -0.00238886-0.00712211j -0.00504407-0.0128555j -0.00467884+0.00249846j 7.65012e-06-0.00887886j 0.00329961+0.00834002j -0.00744258+0.0105682j 0.0138253-0.0040548j 0.00430318-0.00828221j -0.0036924-0.00229215j 0.000643635+0.00321572j 0.00237543-0.00371848j -0.00280441+0.00259802j 0.000632108-0.00732498j -0.00288393-0.00196496j 0.000171348+0.000805507j 0.00654051+0.00252915j 0.00777248+0.000907103j -0.00542688+0.000313184j -0.00303279-0.000807921j -0.000934406-0.00595969j -0.00398668-0.00105592j 0.00166502+0.00711881j -0.00131725+0.00662225j -0.000823258-0.00526697j -0.00601491+0.000884788j -0.00362471-0.00380643j -0.00233834-0.00182271j -0.00185927+0.000272999j 0.00406695+0.00111951j 0.00528633+0.00218197j 0.00115801+0.00683895j 0.00343728-0.000266185j 0.00480183+0.000593358j 0.000578488-0.000375406j 0.00730091-0.00619834j -0.00247532+0.00439354j 0.00233967+0.00274303j -0.000105983-0.00386263j -0.00320785-0.00401446j -0.00121722+0.00428033j -0.000809398+0.0071996j -0.00411299-0.00151612j 0.00100652-0.00350736j 0.00237143+0.00342409j 0.00288554+0.00385089j 0.000140044-0.000291256j -0.00212899-0.00083965j -0.0038548-0.00265067j 0.00430895+0.00500992j 0.00176749+0.000310596j 0.00248267+0.00201877j -0.00752692+0.000549065j 0.00102371+0.00232578j -0.0053156-0.000299914j -0.000629072+0.00511547j 0.00152881+0.000204534j 0.000723571+0.000183739j -0.00311804-0.00516707j 0.000749504-0.00762489j -0.00391215-0.000234616j 0.0017208-0.00440165j -0.00300192+0.0024834j 0.00256651+0.00229862j 0.00433049-0.00369683j -0.00563733-0.00047017j 0.000581798+0.000703927j 0.00949232-0.00198418j -0.00221314-0.0134186j -0.0177985-0.022215j -0.0145888+0.0175632j -0.000992737+0.00333077j -0.00238705-0.00134672j 
0.00302316-0.00642187j -0.00615248+0.000724827j 0.00170688-0.00381898j 0.00425865+0.00406802j -0.0106962+0.00552169j -0.00200437-0.00485002j 0.0052373-0.00766355j 0.000350905-0.0105537j -0.0122055+0.00105993j -0.0054618-0.00082817j -0.00480183+0.0010835j 0.00198746-0.00199419j 0.00510899+0.00195355j 0.00433758+0.00417435j -0.00592614+0.000515872j 0.00339333+0.00562133j 0.00561533+0.00410653j 0.0141781+0.00838843j 0.00420389-0.00569751j 0.00383056-0.00854701j 0.00774186-0.01017j -0.00996134-0.0108573j -0.00385503+0.00214638j 0.00354308-0.0061842j 0.0118967-0.00843966j 0.00339569-0.000123032j 0.0102787-0.0092877j -0.00149806-0.0197324j 0.010475-0.000761744j -0.0139121+0.0032595j -0.00366997-0.00208068j 0.00624537+0.00643247j 0.00220571+0.00649369j 0.000493644+0.00181638j -0.00374204-0.00115788j 0.00407065+0.00423081j -0.00486602-0.00223924j 0.00308821+0.00224685j 0.0021097-0.000365371j -0.00197893-0.00234905j -0.00107377+0.00732235j -0.00186656+0.0113389j 0.00137032-0.00354598j -0.00147477+0.00464519j 0.00816612-0.00598516j 2.48898e-05-0.00723436j -0.00435124+0.00194287j -0.0056556+1.84993e-05j 0.00706225-0.00244303j 0.00077515-0.00413661j 0.00150807-0.00281468j 0.000639708-0.00525571j -0.00305062-0.000471698j -0.00397428+0.00449958j -0.00508893+0.00647382j -0.00591807+0.000626611j -0.00206398+0.00916337j -0.00282783+0.00309872j 0.00264954+0.00226398j 0.00628598+0.00756959j -0.00663858+0.000171835j -0.00333299-0.00212478j 0.00386381+0.00216485j 0.00444239-0.000283211j -0.00148604-0.00295114j -0.00764919-0.0061008j -0.000244082-0.00507632j 0.00333399+0.00641091j -0.00451589+0.00240456j -0.00255741+0.000429842j 0.00306428+0.000466804j 0.00476991+0.0016311j 0.00729308-0.00390636j -0.00110365+0.00177457j -0.00468665+0.000705933j -0.0067091+0.00278491j 0.00056095-0.0102422j -0.00549331+0.0013448j 0.00196899+0.000126192j -0.000741086+0.00126499j -0.0017674-0.000555365j 0.000634872+0.00301537j 0.00405319-0.000295495j 0.00291642+0.000817649j -0.000174473-0.00145981j 0.00594278-0.00408608j 0.000476995-0.0118656j 0.00472229+0.00536638j 0.000156242+0.00522234j -0.00161971+0.00145625j 0.00103077+0.00384108j 0.00289969+0.00221091j 0.00751094-0.00429748j 0.0218814-0.0166959j -0.0164237-0.0187653j -0.00233234-0.00312326j 0.00425362-0.00882352j 
0.00446859-0.0016802j -0.00384809-0.00416034j -0.00152217-0.00118768j 0.00135759-0.00302167j 0.00514029-0.00157003j -0.000172303+0.0040716j 0.000494187-0.000665014j -0.00109251-0.00446516j -0.00457355+0.00225916j 0.0035144+1.71264e-05j -0.00394274-0.0042628j -0.00074477+0.00148444j 0.00115104+0.00107385j -0.00633912-0.00304485j 0.00701612-0.0053785j -0.00116685-0.00355462j -0.00465122+0.00135502j -0.00674981-0.000605641j -0.000298227-0.00267693j 0.00912273+0.00719677j 0.00298443+0.00400738j -0.00638749+0.00384015j -0.00239166-0.00969514j -0.00340805-0.00158389j -0.0070432-0.00174424j -0.00470707-0.00903917j 0.0103496+0.00228464j 0.0128347+0.0118374j -0.00324252+9.49111e-05j 0.0030524+0.00344789j -0.0120971+0.00372754j 0.00355939+0.00504051j -0.00295946-0.0107911j -0.00850508-0.0102893j -0.000530948+0.00540395j -0.00168847+0.000745291j -0.00304116-0.00294044j 0.00386131-0.00692194j 0.00106297+0.00543381j 0.000876606+0.00292395j -0.00562386+0.000882235j 0.000370469-0.00321537j -0.00868201-0.00187162j -0.0124056-0.00612373j 0.00163407+0.00112582j 0.00947255+0.00200862j 0.00185481+0.00642619j -0.00298433-0.00555935j -0.0020029+0.00345543j 0.00333459+0.00134739j -0.000626318+0.00307842j 0.00488608-0.00339164j 0.00458903-0.00805909j -0.00194127-0.00457558j -0.00168365-0.00398253j 0.00279722-0.0006484j -0.00393331+0.00224282j 0.00054934-0.00117065j -0.000543558-0.00292081j -0.00204368+0.00118507j 0.00063083-0.00846618j 0.00353453-0.000428453j -0.00422016+0.00355238j -0.0113508+0.0041613j 0.000284796+0.00641012j 0.0053695-0.000855343j 0.00255437+0.00353834j -0.00420935+8.5514e-05j 0.00278695+0.00326303j -0.00121114-0.00147691j 0.00037774-0.0025248j 0.00024163+0.0032043j 0.00281557+0.00609341j 0.000324839-0.00157264j 0.000542657+0.00195062j -0.00041017-0.00745413j 0.000799862+0.00586898j -0.00829387-0.00473886j -0.000355535-0.00205645j -0.00190337+0.0020839j 0.00334262-0.00350691j -0.00220673+0.00286577j 0.00236776+0.00678416j 0.000515577-0.0032286j 0.00704246+0.00389754j 0.00267987+0.00116267j 0.00738225+0.00726243j -0.0014675+0.00115588j -0.00543959+0.00383343j 0.00453864+0.00744305j 0.00633537+0.00127423j 0.0193286+0.0130755j 0.0121156-0.0141276j -0.00440153+0.0093094j 0.0157154+0.00494484j -0.00519998-0.00347062j 0.00621566-0.00709783j 
0.00122283+0.00398336j 0.00496266-9.65972e-05j 0.0044926-0.00467699j 0.00563086+0.00390856j 0.00202824+0.0100396j -0.00385452+0.00117272j 0.0010491-0.00724381j -0.00245599-0.00129113j -0.0026109-0.00213632j -0.00265878+0.00545894j 0.00420935+0.00138904j -0.00144486-0.0053351j 0.00139633-0.000816812j 0.00511714-0.00479495j 0.0016054+0.0102408j 0.0060006+0.00048849j 0.00410715-0.00687611j 0.00772332-0.0105454j -0.000308237+0.000719262j -0.00982313+0.00527091j -0.00635466-0.00159701j -0.00368923-0.00524966j 0.00709773+0.00102162j 0.00185765-0.00711418j 0.000352864-0.0139426j 0.0130442-0.00424462j -0.00267521+0.00604663j -0.0249532+0.00559392j 5.95888e-05-0.00785933j -0.00245101+0.00969636j -0.00466594-0.0161042j -0.00339174+0.00147018j 0.0151536-0.00560573j 0.0124691-0.00506753j -0.00686617-0.000313843j 0.00504215-0.00491228j 0.00355113-0.00329761j 0.0117061+0.000906606j -0.00682479-0.00178074j -0.00280066+0.0039271j -0.00106846+0.000444331j 0.00603979-0.00167055j 0.00169367-0.0114915j 0.00609406-0.0151199j 0.000268897-0.000556061j -0.00415306+0.00568296j -0.00362986+0.00340757j 0.000143541-0.00254958j 0.000790501-0.0032827j -0.00514117+0.000857196j 0.00134042+0.0015198j 0.00207466+0.00322886j 0.00582304+0.00639548j 0.00666803-0.000363768j 0.000798047+0.00317219j 0.000927532+0.00587127j 0.00958695+0.00188225j 0.00589806+0.00255479j 0.0050545-0.00117689j 0.00346953-0.00200658j 0.00759557+0.00250167j 0.00492424-0.00226513j 0.00275944-0.00744581j -0.00578265-0.00540183j -0.00534723+0.000344166j -0.00683324+0.00408409j -0.00478462-0.000928475j 0.00245842-0.00590793j -0.00333308+0.00577252j -0.00143134+7.66623e-05j 0.000173578-0.00364285j 0.000155074+0.000169724j -0.000273072+0.00486763j -0.00201167-0.000107638j -0.00176033+0.00607073j 0.00164645+0.00212442j -0.00359245+0.00374803j 0.00229962-0.00149299j 0.00315402+0.0021472j -0.00131693-0.00358673j -0.000719499-0.00297684j 0.000157073-0.00221909j -0.000382526+0.00381091j -0.00237971-0.00279193j -0.000143663+0.00788665j -0.00861831-0.00146206j -0.010342+0.00137016j 0.00951953-0.00825695j 0.00249172+0.00589152j 0.00202815+0.00183222j 0.0021466+0.00629256j -0.0148761+0.0184905j 0.0132853+0.0126127j -0.00833309-0.00839094j -0.00611478+0.0103705j 0.00278578-0.00471695j 0.00371933+7.12143e-06j 
0.00717758+0.00490187j 0.00701214-0.0054575j 0.00440425-0.00113143j -0.00212143+0.000597495j -0.00316913-0.00505749j 0.00114574-0.000366995j 0.00393018+0.00780023j 0.010594+0.00272118j -7.04437e-05+0.000552751j 0.00152664-0.00470559j -0.00485989-0.00297959j -0.00316443+0.00495886j 0.00248053-0.00147269j 0.00424929+0.00280015j -0.00207935-0.00688151j -0.00448371+0.00424631j 0.000721554-0.0010572j -0.00976529+0.0116404j 0.00563579+0.00357247j 0.00497253+0.00052668j 0.014111+0.00542493j 0.00529698-0.0110094j 0.00198186-0.00300523j 0.00592261+0.00312875j 0.012209+0.00853376j 0.00451418+0.00324634j 0.00720413+0.0143641j 0.000173504+0.0051083j 0.00384571+0.002004j -0.00200747+0.00373459j -0.00929073-0.00393238j -0.00546206+0.0120605j 0.00406724-0.00812456j 0.00284811-0.00821345j 0.000351033-0.00599907j 0.00360026-0.00320513j 0.000453974-0.00453757j 0.00540421+0.00164421j 0.00464513-0.00323941j 0.00419379+0.00439478j -0.00076762-0.00163615j 0.00192905+0.00143731j 0.0012127+0.00157444j 0.00234717-0.00286739j 0.000414911+0.00767698j 0.00305163-0.00266215j -0.0113638+0.00117819j -0.00125128-0.00205775j -0.0014287-0.00317636j 0.00233963+0.00283504j 0.00831863+0.00020002j 0.00107537+0.00296031j -0.00388245-0.00606015j 0.00164726+0.00184936j -0.000239136+0.00364186j 0.000198029+0.00219663j 0.00122202-0.00252563j 0.00192137+0.00129868j 0.00315836+0.00117394j -0.00211961+0.00111096j 0.00288511-0.000503823j -0.00187563+0.000240923j 0.00120529-0.00178685j 0.00412686+0.00127439j -0.00274086-0.00292341j 0.00402223-0.00114899j 0.00592957-0.000855153j -9.95856e-05+0.00370947j -0.00611605-0.00334343j 0.00528225-0.000318073j -0.00189634+0.00249622j -0.00917957+0.00211223j -0.00337575+0.00129988j -0.0026544-0.00303175j 0.00275198+0.000360711j 0.0019113+0.00152034j -3.42149e-05+0.00273649j 0.00920686+0.001105j 0.0014248-0.00523279j -0.00162311-8.54371e-05j 0.00591946+0.000676471j -0.00447185-0.00610865j -0.00164193+0.00319723j 0.00426181-0.00311549j -0.00715744-0.00270302j 0.00506797-0.00170262j 0.000873148+0.0104949j -0.00295295+0.0147871j 0.0032766-0.0014243j -0.000494955-0.000774906j -0.023922-0.00571888j -0.00504313+0.00688036j 0.00304261+0.00626164j -0.000856454+0.00175849j -0.00073829+0.00481559j 0.00690171-0.00504836j 0.00299262-0.00790006j 
0.000589348-0.00113163j 0.0034705-0.000923417j 0.000833648-0.00141384j -0.000661857+0.00351216j -0.00506958-0.000184141j 0.00244651-0.00509937j 0.00171826-0.000473707j 0.00401096-0.00161481j 0.0036779-0.00481405j -0.00462835-0.00364137j 0.00627841+0.00556209j -0.000746741+0.00359663j -0.00765908+0.00111791j 0.0024959-0.00410256j -0.00878115+0.011256j 0.00490659+0.00568502j -0.000698317+0.00362803j 0.0078161+0.00163813j 0.00404561-0.00302524j -0.00385448-0.00107775j -0.000931259-0.0105247j 0.00602765-0.00229536j 0.00380407-0.00564736j 0.00802316+0.00622459j 0.0101405-2.65873e-05j -0.00510916-0.00195586j 0.00212638+0.00512587j 0.00724888-0.00964017j 0.00474034-0.000670422j -0.0143271-0.00417398j 0.0118151-0.00158577j 0.00164526-0.00182613j -0.00621153+0.00743653j 0.00327204+0.000352334j -0.00471092-0.00503865j -0.0117302-0.00184666j -0.00787959-0.000410608j -0.00572543+0.00513292j 2.56223e-05+0.00168034j -0.00127402-0.000831059j 0.00345344-0.00619162j -0.00302782+0.000620211j 0.00318382+0.00294823j 0.0041906+0.00134098j 0.000550116+0.00257105j -0.00223818+0.00516067j 0.000452084+0.0052559j 0.0055524+0.000877339j 0.00169478-0.00556065j 0.00428297+0.00380882j -0.00675499-0.00930542j -0.000416622+0.00445921j -0.000189047+0.00363582j -0.000794488+0.00320495j 0.00254939-7.10858e-05j -0.00395845-0.00661401j -0.000694565-0.00235711j -0.00265823-0.00471821j 0.000467576-0.00294826j 0.000387065-0.00287168j -0.00267229-0.00302105j -0.00643129+0.00484078j -0.00251488+0.000546779j 0.00336885-0.00669084j 0.00193659+0.00290017j 0.0043967-0.00359569j 0.00149382-0.00287418j 0.000165678-0.000336395j -0.00177357+0.00224892j -0.00262918-0.00164434j 0.00331807+0.00046981j 0.00236743+0.0052892j -0.0066847+0.00227347j 0.00163247+0.00291295j -0.00363096-0.000650991j -0.00126329-0.00249149j -0.00112966+0.00492335j -0.00384569-0.00765461j -0.00330089-9.30355e-05j 0.00114603-0.000518918j -0.000573767-0.00775288j -0.000217255+0.00222546j -0.000579752+0.00423736j -0.00478974+0.00242039j -0.00235746+0.00767633j 0.00551594+0.000819268j 0.0115561+0.00279597j 0.00320743+0.00782651j -0.00974985-0.000682138j -0.00127548+0.0124072j 0.000941578+0.0241857j 0.00640278-0.000985004j -0.00309497-0.00256755j -0.0032641-0.000971636j 6.42535e-05+0.00367743j 0.0068751-0.00527883j -0.00321555-0.0021851j 
0.00234909-0.00199311j -0.0029491-0.00346755j 0.00240967+0.00038603j -0.00127048+0.00482672j -0.00435678+0.003903j -0.000402951+0.00134626j 0.00587763-0.00143819j -0.00112381-0.00579273j 0.00204894+0.00868965j -0.00132596-0.00256715j -0.00887425+0.00518665j 0.00429723+0.00127739j 0.00202003-0.0138006j 0.0108942-0.00593387j -0.0155055-0.0021566j -0.00445291+0.00565826j -0.00122109-0.00971945j 0.00380696+0.00911293j 0.00673818+0.00461814j 0.00036307-0.0049073j 0.0129878-0.0086782j -0.00436415-0.00358979j -0.00336633+0.00656009j 0.00256766-0.00169723j 0.00932241-0.00291525j 0.00507268-0.00413476j 0.00231545-0.00129038j 0.000344249+0.0135601j 0.00491162-0.00558638j 0.00745954+0.00468858j 0.00964536+0.0115161j 0.00115501+0.000439328j -0.00647104+0.00258333j -0.00735945+0.00263698j -0.00136013-0.00559815j 0.00265091-0.000361439j -0.00156369+0.00431083j -0.000730917+0.00583998j 0.0030519-0.00319643j -0.00116275-0.00285655j 0.000713297-0.00398803j 0.00127638-0.0021369j 0.00782799+0.00488597j 0.00338582+0.00256557j -0.000301355+0.00428092j -0.00510698-0.00116354j -0.00220007+0.00898479j 0.000200803-0.00237243j -0.00628571+0.00416035j 0.00789593-0.00841864j 0.00672348-0.00817423j -0.00048188+0.000760327j -0.00610724+0.00131161j -0.00194048+9.50794e-06j 0.00117422-0.000689045j -0.00184376-0.0109996j -0.00115855-0.00706551j -0.00173829-0.00349178j 0.00113403-0.0057911j 9.72346e-05+0.00151595j 0.000886525-0.00235429j 0.000935724+0.000391952j 0.00389104-0.000405833j 0.00182829-0.00132512j -0.00376574+0.0018406j 0.0024767-0.000141973j 0.00390271-0.00194666j 0.0051968-0.00364864j 0.000576452+0.00114366j 0.00264522-0.00350113j 0.00696023-0.00145476j -0.00224697+0.006928j -0.00480004+0.00634114j -0.00249456-0.00434165j 0.00220507+0.0044844j 0.00261295-0.00551254j -0.00572112-3.19811e-05j 0.00820372-0.00863636j -0.00106795-0.00272233j 0.00595005-0.00415495j 0.0011412-0.00365146j -0.00101813+0.00438475j 0.00666985+0.00545091j 0.00315491-0.00825596j 0.00201166-0.00196538j -0.00593476-0.00187305j 0.00385371+0.00901814j 0.00316927-0.000758932j 0.00297166-0.0028863j 0.00174196-0.00324119j -0.00157631+0.0134013j -0.0104756-0.00221071j -0.00471368+0.00727386j 0.00221954+0.00708466j -0.00169082+0.00199522j -0.00367887-0.000344436j -0.00716288+0.00448249j 
-0.00445156+0.000456449j 0.00131361+0.00317623j -0.000517907-0.000239008j 0.00482337-0.00596278j -0.00127702+0.000280585j -0.0024676-0.00667359j -0.00661261+0.00900022j 0.00485372+0.0048146j -0.00129925+0.000900854j -0.000387491-0.00365004j 0.00701841-0.000914243j -0.00283858+0.00849548j -0.00861818-0.00734171j -0.00176097-0.00435342j -0.00129844+0.000939379j -0.00232643-0.00412492j -0.00850349+0.00124693j -0.00119953-0.0050269j 0.00494872-0.00639833j 0.00394263+0.0126662j -0.00237158+0.0148938j 0.00397689+0.00160964j 0.0147564-0.000121771j 0.000575389+0.00378486j -0.0165575+0.0111249j 0.00599698-0.00732784j -0.00721235+0.00446665j 0.0132589+0.0031254j -0.00103744+0.000595044j -0.00286919-0.00184479j 0.00511203-0.00853561j -0.00142258+0.00147984j 0.00982042+0.00560799j 0.00189575+0.000927826j -0.000607495-0.00115854j -0.00133713+0.00627721j 0.00610737+0.00291573j 0.0010808+0.00375888j 0.00989941+0.00111307j -0.0046739+0.0015193j 0.00177909+0.000638008j -0.00782604+0.00928365j 0.000515304+0.00731973j 0.00259825+0.00406907j 0.00192086+0.00349105j 0.0085435+0.00251339j 0.000393846-0.0069962j 0.00272647+0.0022013j -0.00136736-0.00621641j -0.00383185-0.00189665j -0.00660194-0.00229408j -0.000590403+0.00181408j 0.00642194-0.00540289j 0.00333232+0.00174882j -0.000211259-0.00422282j -0.0108227-0.000399766j -0.00171825+0.00141126j -0.00190681-0.00028822j -0.00552464+0.00120008j 0.00421728-0.00276639j -0.00616902+0.00291163j -0.00176541+0.00113591j 0.00171773-0.00343987j 0.00230044+0.00274386j 0.00369841-0.00159647j 0.00173908+0.00468312j 0.000333457+0.00161021j -0.00474756-0.00157758j 0.00140569-0.000701046j -0.00226673+0.00423376j -0.00239929+0.00110079j -0.00234902-0.00260761j 0.00497617+0.00605502j 0.00352635-0.00191251j 0.00386428-3.02151e-05j -0.000774036-0.00387828j -0.000884068-0.00196733j -0.00288949+0.00766206j -0.00458596+0.00110279j -0.00294671+0.000361863j -0.00403514-0.000697171j 0.00025069-0.00474938j 0.00769998-0.00476569j -0.00126004+0.00460719j 0.0128776-0.000513405j 0.00027517+0.00923054j -0.00157448+0.00403255j -0.0157054+0.0003274j 0.00314667-0.00451523j 0.00256717+0.00477772j 0.0123566-0.00982402j -0.005698-0.00333124j -0.00112319+0.00882485j -7.72354e-06-0.0054141j -0.00832601+0.00268811j 0.00443742-0.00430455j -8.87789e-05-0.00330935j 
-0.000376115+0.000771047j -0.000951907-0.00157923j -0.00248598-0.00304695j 0.00483224-0.000711492j 0.00254677+0.00638648j -0.00610987+0.000720585j -0.00684905-0.00144135j -0.00433425-0.00141974j -0.00335888-0.00244256j -0.00253262+0.00316174j 0.00700671-0.00524841j 0.0043184-0.0144713j -0.00638356+0.0135988j -0.000741607+0.00111935j 0.000273755+0.014392j 0.000200647-0.000512894j -0.00375015+0.00819602j -0.00224913+0.000124753j 0.00427391-0.00214691j 0.00848015-0.00862523j 0.00369391-0.0110087j 0.00571475-0.00443668j -0.0118773-0.00489109j -0.00177651-0.00141259j -0.00369796+0.00559057j -0.014163-0.0114862j 0.0107435+0.00542011j 0.00205094-0.00218123j -0.00756128-0.0065767j -0.0114757+0.00369933j 0.0120416-0.00131786j 0.00296086-0.00312234j -0.00857629+0.0026357j 0.00517372-0.00328391j -0.00680547+0.000145177j -0.0148089+0.000996739j -0.0147329+0.00181141j -0.00678717+0.00323949j -0.0062454+0.00499693j 0.0118496-0.000658567j -0.00228431-0.00241311j -0.0139733+0.000759144j 0.00416426-0.00310041j -0.0091456-0.00116002j -0.00547699+0.00263803j -0.00369337+0.00310184j 0.000783132-0.00236386j -0.00424632-0.000903634j 0.00700517-0.00775531j -9.10687e-05+0.001122j 0.00645897+0.00271375j 0.000363658+0.00363237j 0.00212484+0.00487029j -0.00718659+0.00447717j -0.00622769+0.0051383j -0.00292744-0.00258348j -0.00257833-0.0131938j 0.000328412-0.00964537j -0.00642838-0.00277608j -0.00815332+0.00104764j -0.0033761+0.00333876j 0.00207865-0.00320871j -0.00361087+2.14774e-05j 0.00143977+0.00319371j 0.00287609-0.00237912j 0.000767915-0.00599882j -0.00274467-0.00604676j -0.000184457+0.00179985j 0.000135768-0.00229896j 0.00485298+0.000678887j 0.000176322-0.00298272j 0.00136051+0.00126188j -0.000988089+0.00129425j 0.00102434+0.00282324j 0.00387966+0.00242296j -0.00231315+0.00383308j 0.00819134+0.000759327j -0.00770434+0.0004427j 0.00564581-0.000878514j 0.000552695-0.00209863j -0.0079895+0.000795937j 0.00466791-0.000729581j -0.000261588+0.000652668j -0.00285756-0.00282164j -0.00539314+0.00317119j 0.00156066+0.0064248j 0.00655224-0.00764059j 0.00189677-0.0024423j 0.00644052+0.00904384j 0.00573415-0.00525653j 0.00752958-0.0019698j -0.00486568+0.00253868j 0.00246364+0.00878748j -0.00342191-0.00348159j 0.00493947+0.000508597j 0.000197344+0.00360409j 0.00136287+2.59719e-05j 
