0.00850616+0.0086448j -0.00416311-0.0348367j 0.0152924-0.0242335j -0.0189474+0.0297743j -0.0585301-0.00899125j -0.0256505-0.051767j 0.0213407-0.0118687j -0.051722-0.00563801j -0.010162+0.0242839j 0.0082176+0.0208734j -0.01233-0.0236244j -0.018743-0.0461608j -0.0126528-0.0328828j 0.0359503-0.00167122j -0.0618854-0.0157897j -0.0585658-0.000234305j 0.0153982+0.0466432j 0.0762567+0.0136383j -0.00721229+0.0022103j -0.0528089-0.04944j 0.0237332-0.00791154j 0.0338143+0.0425242j 0.0447561+0.0464518j -0.0480535+0.0041064j 0.00845984+0.00587862j -0.0266227-0.0177276j -0.0187666-0.0364554j 0.0388061+0.0115292j -0.00364068+0.0426907j 0.0592024-0.0051919j 0.0651711-0.054453j -0.0150604+0.0495879j -0.0240357-0.000217564j -0.024291+0.0512384j -0.0561768+0.0399076j 0.0225285-0.0741511j -0.0353254-0.0279486j -0.00140216+0.0295776j -0.0334867+0.0216902j 0.0556147-0.0435388j 0.0271216-0.0125778j -0.000173264+0.0171429j 0.0561294-0.0653779j 0.0149182+0.0100631j 0.0258629-0.0591701j -0.0591279-0.0395237j -0.00748646-0.0643167j 0.0134721+0.0500671j 0.0199001-0.0500192j -0.050135-0.0122733j -0.0351454+0.032969j 0.00920038+0.0518937j 0.0736283+0.0492448j -0.0855259+0.0380786j 0.0200935-0.0367985j 0.0129414-0.0199885j 0.019544-0.0548261j 0.0517613+0.00667453j 0.0266785+0.0253097j 0.00989115-0.0109244j 0.00985952+0.134592j 0.00755039+0.0350776j -0.0273844-0.0488204j -0.000681465+0.00586055j 0.00804295+0.00241887j -0.00386392-0.0306249j 0.00434863+0.0110739j 0.0262621-0.0624329j -0.0419867+0.0100636j 0.00665474+0.0139505j 
-0.0212026+0.00825862j 0.0151541-0.0168677j 0.0287039-0.032451j 0.0301581+0.0249353j -0.0125001-0.011051j -0.000196106+0.00872028j -0.00652561-0.00893732j -0.00766464+0.0101261j -0.0428919+0.00109319j -0.0150042+0.0379002j -0.0286977-0.0445972j -0.0216125+0.00977364j 0.0399944-0.00229486j 0.0749054-0.0501967j -0.0212311+0.0135461j -0.0298025-0.0425945j 0.00640504+0.0176384j -0.000932462+0.0603519j -0.024139-0.035438j -0.017387-0.027297j -0.0149511-0.00846069j 0.0501491-0.0497858j 0.0108649-0.00101683j 0.0351228+0.00756999j 0.0237347+0.0439155j -0.0189268+0.00400854j -0.0145489+0.00136461j 0.0347933-0.00217552j -0.0270183+0.025416j 0.03991-0.0371874j -0.0174519-0.112395j 0.010946+0.0387789j 0.019456+0.00309397j -0.0321555+0.0451264j 0.0498183+0.0368907j -0.0147156-0.00657112j 0.0373393-0.0180048j 0.0202074-0.0077645j -0.0192033+0.0266334j -0.0200764-0.0479961j 0.0345186+0.0270859j 0.0309865+0.00308108j 0.0382483+0.0646179j 0.00633913-0.0242075j 0.0914088-0.015304j -0.0170939-0.0128439j -0.00548907-0.0239628j 0.0248415+0.069194j 0.018296-0.0169467j -0.0752722-0.0133058j -0.0407192+0.0321346j -0.054561+0.00265294j 0.0870531+0.0185013j -0.0601019+0.0141409j 0.0254124-0.0151313j -0.0313638+0.00784475j -0.0395214+0.0512608j 0.0829153+0.0731848j -0.0478334+0.0453685j 0.0389109+0.0618009j -0.070823-0.0280181j 0.00315001+0.0277655j 0.0331329+0.0195701j -0.0200357-0.0234408j 0.0101501-0.00605607j 0.00584312-0.0236334j 0.021526-0.00153842j 0.0468134+0.0395102j 0.0219377+0.0281895j 0.0529352-0.00981729j 
-0.0423883-0.0492115j -0.0246629+0.0866598j -0.0184977+0.0563137j -0.0593237-0.0623364j 0.0421041-0.0352379j 0.0334275+0.0185826j -0.0119258-0.00951639j 0.0888958+0.0147657j 0.00309663-0.0136661j 0.0710741-0.0607271j 0.0368736+0.103767j -0.0539342+0.0920246j 0.0254038-0.0360949j -0.107136+0.0587919j 0.0566449+0.0491216j 0.138744-0.0398117j -0.0147924-0.0882337j -0.151992-0.101396j 0.00811127+0.0607869j 0.112907+0.119627j -0.0515582-0.0146114j -0.116229-0.0246806j -0.111452-0.0859311j 0.0454161+0.0531301j -0.0223845-0.031993j 0.0600715+0.0299348j -0.0353784+0.0852995j -0.066622+0.00338946j 0.0381284-0.111192j -0.0982258-0.0518281j -0.0443091+0.220091j 0.0414059-0.0771023j 0.0337005-0.0336359j 0.108502-0.0995198j 0.0127876+0.0654166j -0.0333632+0.157492j 0.0562604+0.0261188j 0.0969838-0.0713421j -0.00383962-0.0755405j -0.0311437+0.0662609j -0.119582+0.0452963j -0.113151-0.0606678j -0.0156843-0.0970333j 0.0635804+0.0338058j -0.0983905+0.176625j 0.0868416+0.0545519j -0.019086+0.11141j -0.0708603-0.0920496j -0.0120129+0.0658316j 0.151807+0.0216039j 0.0928364-0.0303958j -0.0763554+0.025897j -0.150328-0.0762385j 0.22499-0.0841038j -0.0697239+0.00353254j -0.0137638+0.0535976j -0.0851789+0.0274245j -0.0391679-0.0322002j -0.0134175-0.0165003j -0.0657611-0.129167j -0.0453766-0.00687167j -0.0225952-0.0180965j 0.00814425+0.0302545j -0.0378535+0.00663873j 0.026847+0.00493724j 0.0105563+0.0848992j -0.00523688-0.0184092j 0.0310542+0.0125069j -0.00891424+0.0228399j 0.0234261+0.0051384j 
0.00776649-0.00614787j -0.0238591-0.0315771j 0.00469318-0.028269j -0.0536901+0.0150987j -0.041262-0.0775434j -0.0118762-0.044762j 0.0439037-0.00756203j -0.0329109-0.00322095j 0.0145384-0.0113796j 0.0156201+0.0285868j -0.0127327+0.0495875j -0.00553131-0.00500977j -0.0438129-0.0593813j 0.0121415+0.0288179j -0.0100378-0.0334658j -0.0371445-0.0386895j 0.0174318+0.0660393j 0.0257658-0.031857j 0.00134825+0.0243237j 0.00444317-0.0351357j -0.00940146-0.0374111j 0.00166941+0.0532032j 0.0130909+0.0455298j -0.0851806+0.0121376j 0.0248728-0.0252917j 0.0135892+0.0436382j -0.0132747-0.0237183j 0.0399609+0.041486j 0.0146611+0.0342206j 0.0025808-0.00164771j 0.0867133+0.0523446j 0.0242716+0.0244386j -0.0491791-0.0154342j -0.000518014+0.00776094j -0.116294+0.080924j 0.00369351-0.060667j 0.00501727-0.0791482j 0.0510476+0.00138552j -0.0640877-0.028649j 0.0954158+0.0130853j 0.00226703-0.00275433j -0.0497019+0.0502871j -0.00167096-0.0996648j 0.0201352+0.0729863j -0.0909181-0.0217014j -0.0201495-0.00087531j 0.00734144-0.0406492j -0.0205176-0.00849245j -0.00933396-0.00880672j -0.0141304+0.00224224j -0.0564193+0.0178265j 0.0180863+0.0548845j -0.00773589+0.0265539j 0.0146499+0.0179837j 0.033717-0.0565866j -0.0186542-0.0545077j 0.0239585-0.0669498j 0.0113341-0.015178j -0.0107906-0.0161089j -0.0276373-0.0987222j 0.0214974+0.160791j -0.0315608+0.00588608j -0.0192835-0.0352951j 0.017593+0.036008j 0.00514291+0.0185554j -0.00778483-0.0115942j -0.00748147-0.000874649j 0.0354354-0.0782449j -0.0612363+0.0177534j 0.000583683+0.0371106j 
0.0130752-0.00687258j 0.00119787+0.00447884j 0.00582823+0.0652249j -0.0461927+0.0617598j -0.0966758-0.141892j -0.010029-0.0484827j -0.0384651+0.0296454j -0.0287631-0.0420486j -0.0711546-0.0279807j -0.0347295-0.151419j 0.00965701-0.0127616j -0.00440542+0.0130171j 0.0812124-0.019201j -0.0847334-0.0680388j -0.0191829+0.0810131j 0.181542-0.0414702j -0.0209394+0.0868785j -0.0164389+0.0586213j -0.0775661+0.108788j 0.0441733-0.012484j -0.0564716+0.0436636j 0.0519853-0.0217825j -0.066252-0.0475093j -0.0143501-0.0104476j -0.0298677+0.0549694j -0.0619395+0.0121849j -0.19874+0.0307811j 0.122752+0.0149946j -0.00111697+0.0384951j 0.131664-0.0868009j -0.0178554-0.021891j 0.0155336+0.0753688j -0.0167569-0.0219762j 0.00977555+0.105537j 0.0569033+0.160135j 0.0118909+0.122505j -0.0669342+0.0317944j 0.101875-0.0366122j -0.0288809+0.111259j 0.0310526-0.0456814j 0.100971-0.0938341j -0.129048-0.0106917j 0.0398409-0.148918j 0.0373402-0.169044j 0.0546265+0.0504686j 0.0632274+0.0114329j -0.000699429-0.056914j 0.0640271+0.0275647j 0.0579272-0.123598j -0.0184798-0.0871634j -0.00562247-0.0811206j 0.00520943-0.0980515j 0.16057+0.0639524j -0.0197489+0.0871418j -0.0969093+0.0338319j -0.00830025+0.119586j -0.155472-0.00598641j -0.0497709+0.0295601j 0.0467101+0.118418j 0.0309905-0.0950016j -0.166436+0.0730098j -0.135386-0.140655j 0.157097-0.0892445j -0.0131583+0.0779347j 0.107821-0.0156878j 0.0285268-0.00523798j -0.0340916+0.00808102j 0.0159591-0.0126456j -0.0207961+0.0591873j 0.092845+0.0373934j 
0.0256554+0.00349906j -0.0177273-0.0452709j -0.0294599-0.0106358j -0.000327683+0.0706809j -0.021689+0.0657897j 0.0286764+0.00771004j -0.0625246+0.0675761j 0.052185+0.0371236j -0.04437-0.121414j -0.124581-0.0854101j 0.00922034+0.0443724j 0.174866-0.0973172j 0.034488+0.0114851j 0.0508481-0.0946298j 0.0750274+0.000671519j 0.0134265+0.04001j -0.125598+0.0618747j 0.00945515-0.0253353j -0.0628808+0.00220694j 0.0108019-0.0394878j 0.121686+0.0764444j -0.0326411-0.0163351j 0.0934535-0.0190151j -0.0961868-0.0859699j -0.0135191-0.145277j 0.0409032+0.0653901j 0.100913+0.0278178j -0.0391725+0.026859j 0.0304899-0.018026j -0.0886294+0.16726j -0.061279-0.00826148j -0.014473-0.0273253j -0.109673-0.0814587j -0.0460268+0.0176114j -0.00357417-0.0496658j -0.00338453-0.0530499j -0.0567974+0.0160521j 0.00424915-0.102918j 0.00548278-0.140704j 0.0321747+0.0236387j 0.141-0.0517707j 0.0205538+0.149419j -0.045953+0.112394j -0.0417172-0.108839j -0.133418-0.0460853j 0.00343401+0.0124508j 0.0399999-0.00243048j 0.0861122-0.12659j -0.120503+0.114851j -0.0560584-0.0158182j 0.0409925-0.0696754j 0.139451-0.131252j -0.0295532-0.000994293j 0.0760357+0.0286455j 0.0763837+0.0972048j -0.155685-0.135492j 0.00393353-0.0379007j -0.0634699-0.158776j 0.134822-0.166177j -0.0456292-0.0365423j 0.010653-0.162771j -0.11122-0.0444099j 0.10002-0.0200197j 0.114056+0.146281j -0.0885665-0.0153927j 0.017989-0.00870133j -0.0746716+0.00935442j 0.0589935-0.00869824j 0.0249563+0.00287566j 0.00211506+0.00890615j 
0.00515707-0.00188032j -0.000196404+0.037147j -0.0515928+0.0860763j -0.0466261-0.0543422j -0.0580918+0.0968319j -0.0633768-0.0266103j -0.016526+0.00435443j -0.00177757-0.0391719j 0.0780314+0.0423404j 0.0032199-0.120389j 0.0183196-0.0245754j -0.00684521-0.0853041j -0.0633051-0.00179384j -0.14472+0.12879j -0.0360086-0.0589828j 0.0280538+0.154539j -0.0431112-0.0465218j 0.163009-0.0285985j 0.0366966+0.0520155j -0.0624546-0.0658054j 0.0590728-0.00275089j -0.098799+0.0976957j -0.0214397+0.123058j -0.0433862-0.00963893j -0.0612948+0.0449668j -0.0123196-0.141272j -0.016293-0.104518j -0.0504729-0.0495942j 0.0505486-0.0579159j 0.0502347+0.0250511j 0.0454328+0.163037j -0.0436276+0.00774973j -0.125435-0.0198707j 0.0780965-0.0268173j -0.127867-0.0359026j 0.061682-0.0896064j -0.161617+0.0478704j -0.094312+0.0800569j 0.0901827+0.000874541j 0.0404506+0.0325458j -0.00502281-0.0721936j -0.0872804-0.0189065j 0.0608802-0.149239j 0.0345412+0.000969297j -0.0825431-0.0391926j -0.0490744-0.0107323j 0.0404416-0.07211j -0.0170505-0.0324092j 0.0920104-0.147091j 0.122728-0.00949253j 0.1114-0.0600731j 0.00631174+0.0105013j 0.0417942+0.0549675j -0.116485-0.00558243j -0.0994225+0.0118083j 0.163058+0.111732j 0.0464014-0.146147j -0.181899-0.165505j 0.107023-0.0115443j -0.0807883-0.0490708j 0.117044+0.0680955j 0.0445702+0.0153746j -0.087977-0.0517076j 0.0749969+0.0408455j -0.0357378-0.0492585j -0.0106139+0.00897718j -0.0312138+0.0249099j -0.0233-0.096152j -0.0643186-0.0395983j -0.0632686+0.0266434j 
-0.0407351+0.00453319j 0.0334369+0.0232694j 0.0450437+0.0569002j -0.0325647+0.044126j -0.0679444+0.21299j 0.0400601-0.052881j -0.129634-0.180003j 0.0803655+0.0502561j -0.0499117+0.0815127j 0.00894447-0.0401857j 0.0318247+0.0541912j -0.0364366-0.00504104j 0.178724-0.102966j 0.0131513+0.0240375j -0.109546+0.0475343j 0.0467256+0.085j 0.0817663+0.0238768j 0.000182975+0.00225785j -0.0196178+0.00367034j 0.0109425+0.0102467j 0.221181+0.159974j 0.00523804-0.0481523j -0.0237964-0.0849763j 0.0973545+0.0222946j 0.0326346-0.123886j -0.0566136-0.193252j -0.0204589+0.0310836j -0.01376-0.00276014j 0.0466292-0.137714j 0.00613625-0.0292278j 0.0331734-0.103904j -0.110193+0.0810942j 0.00864764+0.0277542j -0.103861+0.0886057j 0.144022-0.0474477j -0.0881035-0.00228384j -0.0181206+0.100121j 0.0677173+0.0660424j 0.0505514-0.0373635j -0.0781851-0.00894168j -0.113148+0.0164977j 0.0132986+0.0196504j 0.185911-0.0817927j 0.0240261-0.0254695j 0.0971888+0.0250885j 0.0634447-0.0720309j -0.00621303-0.0517257j -0.0310168+0.017157j -0.0756901+0.0718402j 0.0433096+0.00813561j 0.299969-0.0521465j -0.168155+0.0683497j 0.0226016+0.0215905j -0.189561-0.0705201j 0.19309+0.0640433j -0.111634-0.0777935j -0.00635026+0.0401727j -0.0249274-0.0184964j 0.0323943+0.0250133j -0.0105195-0.0275359j -0.0145423-0.0263892j 0.0142231+0.0205831j -0.0197932+0.0117708j -0.016783-0.0309204j -0.00399911-0.178043j 0.00599783+0.0137418j 0.0414043+0.0198818j 0.0136818+0.0126328j 0.00342572+0.0112932j 0.00231273-0.00375212j 
0.00995481+0.0153065j -0.0109068-0.0325776j -0.00903912-0.0401912j -0.07583-0.00126915j -0.00998546-0.0312051j 0.0128255-0.0846741j 0.0648274-0.0885354j -0.0293313+0.0132418j 0.0239289+0.0277435j 0.0432266+0.113107j 0.0250956+0.0737745j -0.02578+0.00411779j -0.0152104-0.102206j 0.0280967+0.0390903j -0.0490257-0.00651199j -0.0493114-0.040926j 0.103673+0.0511378j -0.0126142-0.0673766j 0.0550707+0.021069j -0.00177349+0.0334112j 0.0126283-0.00395304j -0.000769732+0.0928559j 0.0104882-0.0128865j -0.0896864-0.000840664j 0.0576782-0.136901j 0.00974524+0.0180648j 0.0116419+0.0380305j 0.0444275+0.0729526j -0.0086451-0.00145917j -0.0206124+0.0260163j 0.101464+0.0145365j -0.0245975-0.00233489j 0.0623288-0.00936863j -0.0253655+0.0157979j -0.0743863+0.0243075j -0.0200239-0.0514258j 0.0370865-0.0568164j 0.0588763+0.0624525j -0.0438241-0.0177196j 0.053971+0.0072222j -0.0989645+0.0202156j 0.00313367-0.00860073j 0.00904073-0.12819j -0.000343563+0.101097j -0.0671405-0.00482363j 0.0102182-0.0380259j -0.0386561-0.0011966j -0.0282412+0.0331196j -0.0765906+0.076505j 0.00392877+0.0524546j -0.0607082+0.0407178j 0.0181629+0.0805253j -0.109207-0.0111366j 0.0486899+0.00102326j 0.070427-0.0581473j -0.0325319-0.113517j 0.0990549-0.00667181j 0.0804982+0.0539636j -0.0295121+0.0110207j -0.044679-0.0672286j 0.0573562+0.166735j 0.0471393+0.0308755j -0.0689751-0.00417242j 0.00187532-0.023559j 0.0317568+0.039888j -0.0233452-0.000518774j 0.010977-0.000633495j 0.00939385-0.054866j -0.0570275-0.000467388j -0.0300607+0.0231843j 
-0.0965829-0.0835215j -0.0626061+0.0184401j 0.146164-0.0414764j -0.014298+0.044789j -0.0658097-0.0157658j 0.0197768-0.0108527j -0.0605515+0.126201j 0.0716187+0.0610219j -0.104857-0.0338705j 0.051487-0.0648272j -0.171198+0.0369536j -0.0775547+0.0538658j 0.0403757+0.0310036j 0.0850976+0.0885267j 0.0339853+0.0376641j -0.065771+0.00421949j -0.130247+0.0665215j -0.00418021-0.0660262j -0.0471916-0.0211835j 0.00359483-0.121248j 0.140993-0.0611701j -0.0579822-0.106141j 0.0980331-0.00128427j 0.0345973+0.160339j 0.000807123+0.0722247j 0.0396223-0.00533557j 0.0868764-0.021287j -0.153181-0.0610354j 0.0934954+0.0699586j 0.0138152-0.0907076j 0.00391332+0.014908j 0.0841335+0.091494j -0.0990057+0.0106168j 0.0240487-0.089483j -0.0893702+0.0301591j -0.021737-0.0318876j 0.0790126-0.0224159j 0.0300485-0.137686j -0.135507-0.113248j 0.0604165-0.123251j -0.0142658+0.172993j -0.042568+0.10381j 0.149678+0.0107215j 0.1578+0.034688j 0.0307743-0.0619571j 0.0274289-0.0355511j -0.0205351+0.0297153j -0.0811255-0.138183j 0.124067-0.0341784j -0.0529059-0.0348455j -0.00844074+0.11903j -0.112779+0.147421j 0.118355+0.0468621j -0.000264281-0.0322741j -0.0152531-0.0707335j -0.0202014+0.00693507j -0.134732-0.117066j 0.153863-0.0989594j 0.03935-0.162369j -0.013394-0.047077j -0.0123945+0.0618103j -0.169909+0.0293888j -0.0324203-0.0302681j -0.0793604-0.0205104j -0.0958874-0.00905171j 0.0372088-0.00820419j 0.0340359+0.00258483j -0.0274009-0.0115027j 0.00494095+0.0197676j -0.00891893+0.0372188j 
-0.0482159-0.014412j 0.0397586+0.0510097j 0.0223711+0.00612663j 0.0860456-0.0653561j 0.0688035+0.0943675j -0.0169182+0.112138j -0.0293508+0.046054j 0.0718985-0.00762012j 0.0131136+0.0073466j -0.0348038-0.0127557j -0.0228029-0.10894j -0.0416782+0.0318845j -0.00284513+0.0930996j 0.00737324+0.0358345j 0.0440482-0.00166423j 0.00371114+0.0552921j -0.0410739-0.108814j 0.00849708+0.0797759j 0.0301487-0.0808849j -0.0319781-0.0363237j -0.0590975-0.0346254j -0.0109239-0.0729884j -0.038662+0.0668604j 0.107396+0.00405608j -0.0314207+0.126085j 0.0169888-0.0569669j 0.0424812-0.0354305j -0.0842276-0.101848j -0.0342223-0.0710459j 0.0268497-0.0217262j -0.120906-0.0111452j 0.0225945-0.0297885j -0.0216009+0.0109655j 0.0697978-0.0852223j 0.030567-0.0263619j -0.00112707-0.0347969j -0.0265436+0.0070982j -0.0893388+0.0178739j 0.0911893+0.0114233j -0.0720096-0.0131102j -0.0100682+0.0247608j 0.00626952-0.0355346j 0.0136569+0.111941j -0.0111334+0.0252646j 0.0837449+0.0221745j -0.0806798+0.0763939j 0.0212193+0.0314104j -0.000101555-0.00936465j 0.109391-0.076094j 0.00147786+0.00852386j 0.00198227+0.0155373j -0.0604309-0.0296333j 0.0714815-0.025132j -0.0690567-0.0281518j -0.0900052+0.0244925j 0.115396+0.122876j -0.033451+0.0211557j -0.000811484-0.0101526j -0.0380537-0.0456626j 0.0202597+0.108722j 0.0175683-0.163454j 0.0809522+0.0717041j -0.0496696+0.0695336j -0.00413552-0.0294543j -0.0550798-0.00268467j 0.00416103-0.00506689j 0.0197793-0.00334758j 0.0486666+0.0471683j 0.0323929+0.0148317j 0.0335255-0.0375843j 
