-0.000853656-0.00059531j -2.78164e-05+0.00396601j -0.0013007-0.00335317j -0.000229412+0.00311984j 0.00427486+0.000304893j 0.00664934-0.000829008j 0.000790189+0.00796467j 0.0072156+0.0046584j 0.00799736-0.00480901j -0.00631527+0.000772675j 0.00955428-0.00444443j -0.00472487-0.00603602j -0.00963802-0.00125685j -0.00475195+0.01423j 0.0112118+0.00946546j -0.00378284+0.00515874j 0.00976444+0.0027734j 0.00371148-0.00892158j 0.00045063-1.93462e-05j -0.00158692-0.000646949j -0.0160818+0.00172761j 0.00848755-0.00163262j -0.00388123-0.00790867j -0.000244978+0.000853504j -0.00040122+0.000778131j 0.00342573-0.00111193j -0.00746442+0.0036824j 0.00659725-0.0123004j -0.0192357-0.000965369j -0.00533143+0.00696101j 0.00320307-0.00217497j 0.00159954+0.000216004j -0.0181007+0.00629886j -0.00667165+0.0246054j -0.000751681+0.0256795j -0.0047927-0.0014953j 0.000574505+0.0143628j -0.0223113-0.0320389j -0.029399-0.0130488j -0.028862+0.0229765j 
-0.00261216+0.00210855j 0.00792517-0.0017823j -0.0107313-0.000546083j 0.0118183+0.00323516j 0.00449353-0.00914609j -0.00451629-0.0204718j 0.00490036+0.00410115j 0.00609248+0.00553287j -0.00367916-0.00685288j 0.00128988+0.00947294j 0.0133242-0.0035496j -0.0112243-0.00404702j -0.00787753+0.0155149j -0.00325255+0.0284635j 0.0303848+0.0026869j -0.000711796+0.000535608j -0.00701665-0.00351466j -0.00563606-0.00369932j 0.000515958-0.000114826j -0.00170815+0.00260652j 0.00562776-0.00283673j -0.00308584-0.0115892j -0.00581873-0.00162299j 0.0010954-0.00143392j 0.00258401-0.00249938j -0.000345079-0.0021452j 0.00767068+0.0132792j -0.00221377+0.0144179j -0.021333-0.00380546j -0.00208771-0.00974996j -0.000195034+0.00149816j 0.000459915-0.0002084j -0.00551689+0.0369089j 0.00152047+0.0205037j -0.0183785+0.0061824j 0.00617009+0.00134294j -0.0065059+0.00395699j -0.0444356+0.00225815j -0.00850188-0.0118908j 0.00298894+0.023208j 
0.0154993+0.00913666j 0.0100888-0.0315186j 0.00106019+0.000247288j 0.0145416-0.0148478j 0.0143692+0.00241997j -0.0144873-0.0210433j -0.00326155-0.00535381j -0.00730719+0.000915674j -0.00641098+0.0109767j 0.0138878-0.00892831j 0.00548534+0.0191598j -0.0151145+0.00328993j 0.0201193+0.0186069j -0.0139797+0.016468j 0.0122453-0.00216643j -0.00164037-0.000388588j 0.00397924+0.00394876j 0.00478311+0.00442899j 0.00160973+0.00284711j 0.00123811-0.00218446j 0.00404408+0.00541806j -0.00215153+0.0145086j 0.0116864+0.0072624j 0.00390761-0.00302221j -0.00195045+0.00178433j -0.00179834+0.00636165j 0.00889421-0.0223231j -0.0187187+0.0101399j -0.00853624-0.012681j 0.00185111-0.00982084j 0.00336898+0.00434267j 0.000524477-0.00222728j 0.0239747+0.0120232j -0.0169762+0.0133054j -0.0176424-0.00874005j 0.00126957+0.00389613j -0.0116717-0.000910765j -0.000785245+0.0090874j 0.00222543-0.0154963j -0.00116888-0.00602835j 
-0.00114689-0.000497904j -0.00457053+0.0147388j 0.0225472-0.00341625j -0.00216574-0.00726003j 0.00239872+0.0213279j 0.00791657+0.00796144j -0.0100145-0.0140201j -0.0129235+0.00804899j -0.0155321+0.0139696j 0.00957851-0.0010577j 0.00371788+0.0224382j -0.00277545+0.00444783j 0.0121368+0.00638367j -0.0138917-0.00502499j -0.00607804-0.00029695j 0.0050377-0.00890232j -0.010899-0.000857378j -0.00941654+0.00375387j -0.00851198-0.0237065j 0.001533+0.00176691j 0.0132679-0.00324629j -0.00537868-0.00144785j -0.00893893+0.000928123j -0.0337315+0.0197298j 0.0176616-0.0108175j -0.000406445-0.00144035j 0.013577+0.0065271j -0.00261662+0.0274311j -0.0349991-0.00108781j -0.0100158-0.0098138j -0.0168693-0.0228436j 0.0242372+0.0247806j 0.0160788+0.0379373j 0.00492426+0.0337868j -0.0269119+0.02548j 0.00310704-0.00116905j 0.0112833-0.00871325j -0.0345631+0.017781j -0.0192566-0.00576676j 0.00543587+0.0163848j 
0.00210976+0.000470022j 0.00283983-0.00530725j -0.00415869+0.0036881j 0.0124974-0.017296j 0.0102354-0.0111275j -0.021436-0.0180634j 0.00332728+0.00137668j 0.0118211+0.00991664j -0.00524092-0.00692121j -0.0128931+0.0256894j -0.00565671-0.0230306j 0.0376554-0.0125931j -0.0337038-0.0261586j 0.00181036-0.0319196j -0.0228023+0.0127562j 0.000942571-0.000950468j -0.00330055+0.00174187j -0.000134057-0.0058864j -0.0116438-0.0252293j 0.00177058+0.00312682j -0.00790874+0.00282963j 0.00484065-0.00633761j 0.0134054+0.0120386j -0.0369418+0.025765j 0.0179696-0.0112719j -0.00141256+0.00422592j 0.00465068-0.0199423j -0.00395114+0.00676933j -0.0140715-0.00567985j 0.0117714-0.00518341j -0.0219605-0.0256166j 0.0273424+0.0266135j 0.0125272+0.00372145j -0.000616837+0.0108975j -0.0107864+0.0139073j -0.00162284+0.00128849j 0.0162769-0.0198456j -0.00133675+0.00355514j -0.00286447+0.00141065j -0.000619215+0.00107587j 
-0.00312709-0.000293406j 7.75812e-05+0.0402843j 0.0166819-0.00691636j 0.00668609-0.0270604j 0.018522+0.00633164j -0.0169975-0.0106155j 0.00873947+0.00657137j 0.00299161-0.0116262j 0.0108637-0.00996555j -0.00278405-0.0123382j -0.007113-0.00225947j -0.0164688+0.000919949j 0.00860047+0.00921839j 0.00514201+0.0140258j 0.0119373-0.00614676j -0.00481581+0.00969091j 0.0161042+0.00365467j 0.0105142-0.00314884j -0.00274487-0.00190606j 0.00177505-0.000363513j -0.00544987+0.0167374j 0.00489055+0.0136944j 0.0263765+0.0089676j -0.00237402+0.00512494j 0.00164983-0.00130442j -0.000666721+0.00993534j -0.00344347-0.0383509j -0.0249704+0.00148767j 0.000584023-0.0142062j 0.0157572-0.0106069j -0.00504761-0.000444087j 0.00795813+0.00161266j 0.02221-0.00930991j -0.015498+0.00556774j -0.00803823-0.0130593j 0.000376429+0.00747301j -0.00546932-0.0116797j 0.0129539+0.00229251j 0.00815688-0.00691721j -0.00090797-0.00840342j 
-0.0541069+0.00173583j -0.0037747-0.00322636j -0.00635586+0.00287982j 0.00189271-0.000213776j -0.00174852-0.00754518j -0.00568985-0.00450863j -0.0029545-0.00516372j -2.26791e-05+0.00428599j -0.00797067+0.00786925j 0.0060717+0.00533683j 0.00674212-0.000406897j 0.00378597+0.00373997j 0.0021783+0.00240254j -6.97639e-06+0.00443784j 0.00463368+0.000205783j -0.000710448-0.00154661j -0.000508904+0.000222441j 0.00242776+0.00694828j 0.00121236+0.00112572j 0.000982161-0.000861338j 0.00947954-0.0018345j -0.00436415+0.00924816j -0.000208105+0.00108863j 0.00134974-0.00248782j -0.00138556+9.52926e-05j -0.000802656+0.000313496j 0.00514616+0.00041097j -0.00168313+0.0100331j 0.00129461+0.000338553j -0.0080959-0.00308777j 0.00150942+0.00176797j -0.000844169-0.00202516j 0.00851568+0.00467541j -0.00113948-0.000953248j -0.00867462-0.00146456j 0.000726732+0.00103024j -0.00551213+0.000760277j -6.96474e-05+0.0051529j 0.00314887-0.00871898j -0.00176366-0.00325534j 
-0.000810859+0.000220422j 0.00218086+0.00414535j -0.020556+0.015954j 0.00689192+0.0113126j -0.0154058-0.0177629j -0.00432836-0.00370539j 0.00901837+0.0118268j -0.0251486-0.0161022j 0.030628-0.0197887j -0.0137264-0.043051j -0.0108366+0.0267369j -0.0233772+0.00670131j 0.0276011+0.000509051j -0.0117579+0.00490643j -0.00103876-0.00152508j -0.00536196-0.0042058j -0.000213553+0.000356636j -0.00153825+0.00862876j -0.0183924-0.0228558j 0.00286495+0.00174181j 0.00473695-0.0037527j -0.00523284+0.00340925j -0.0159246-0.00133158j -0.0302002+0.0325121j 0.0130657-0.0132673j -0.000388895-0.0048798j 0.0051662+0.0178668j 0.0100426-0.00219388j 0.00361949+0.00088547j -0.00519142+0.0078554j -0.0258698-0.018342j 0.0291304+0.020631j -0.01189+0.000991845j 0.000615921-0.00517825j 0.00189733+0.0127475j -0.00418218-0.00189835j 0.0167104-0.0233765j 0.00344216-0.00518897j 0.00133765+0.00588098j -0.000905212-0.00258904j 
-1.77278e-05+9.35077e-05j 0.00440651+0.0160847j -0.00243398+0.00621682j 0.00539689-0.0159357j 0.00204072-0.0135486j -0.0205227-0.00737268j -0.00706247-0.00535333j -0.0153821+0.00609703j -0.000139488+0.00631492j 0.00106839-0.00800899j 0.00210097+0.0210208j 0.00470573+0.000338296j 0.00926289-0.00420578j -0.0169499-0.00801142j -0.00819249+0.00498514j 0.00737922-0.0188465j -0.0299361+0.0039443j -0.0259635-0.0172193j 0.0173161+0.0235419j -0.00641206+0.000381308j -0.0323501-0.00796448j 0.00442127-0.0530524j 0.00525223+0.00535693j 0.0310472-0.0334443j -0.0127454+0.0174609j 6.34866e-05+0.000523515j -0.0079655-0.00807999j 0.0106783-0.0269189j -0.00466615+0.0116347j 0.0299128+0.000281146j 0.029785+0.0156029j -0.0364175-0.0162275j -0.00680711+0.000383056j 0.0100358+0.00259956j 0.0163271-0.0103832j -0.00221793-0.00118021j -0.00261239+0.0276989j -0.00936034-0.00239438j -0.00406773+0.00817313j -0.00141733+0.00735653j 
0.0133957-0.00344479j 0.00516526+0.0152709j -0.00405637+0.00810707j 0.00183923+0.00724365j -0.00985141-0.00643612j 0.00593397-0.00213303j -0.00355325-0.0118586j 0.00361454-0.00476604j -0.0101206+0.00837491j 0.00787749+0.0117876j 0.00241176-0.0150167j 0.00568206+0.00644478j -0.00800829+0.00476326j 0.0103767+0.00704224j 0.0149894+0.0047493j 0.000456417-0.00647099j -0.00618517-0.00848438j 0.00186745+0.0174847j 0.000461158-0.000602256j 0.0022989+0.000137862j 0.0250267-0.00308943j -0.00938484+0.00969636j -0.00606875+0.0088277j -0.000195512-0.00128901j -0.00128245-7.18371e-05j -0.00281602-0.00268305j 0.0124962+0.0107575j 0.000119519+0.0177384j 0.0117701+0.0141983j -0.00889127-0.001925j -0.000688464-0.00207479j 0.000718502-0.00426512j 0.00870326+0.0107119j 0.0152473-0.0105313j -0.00851739-0.00222756j -0.00303521+0.00646164j -0.00309164-0.00203829j -0.00909331+0.00362997j 0.00862216-0.0119849j -0.0110008+0.0035362j 
-0.00925162+0.00733325j -0.00861847-0.0254591j 0.0172599-0.0147622j -0.00856439-0.0121104j 0.018056+0.0121546j 0.00380871+0.000134458j 0.00731136-0.00240273j -0.0085989-0.0165751j 0.0102169-0.0177257j -0.0146788-0.0140559j -0.0147673+0.00430775j -0.0124985+0.00488814j 0.00400951-0.000799242j 0.00175119-3.90325e-06j 0.0030062+0.00289443j 0.00021801-0.00518321j -0.00470236-0.00208667j -0.0105767-0.00460878j -0.00249665-0.00242906j -0.000565856+0.00145332j -0.0111027+0.0137781j 0.00149283-0.0215822j 0.0124428+0.00849456j -0.00277271+0.00502347j 0.0026442+0.00108085j 0.000552206+0.00300499j -0.0101835-0.0168914j -0.0108581-0.0105132j -0.000111637+0.00922254j 0.0266775-0.006102j -0.00373701-0.00615581j 0.00467612+0.00286515j 0.00347683-0.00485786j 0.011247+0.00500937j 0.00873882-0.00476417j -0.00546505+0.00813246j 0.00867189-0.00682571j -0.00604789-0.00635565j 0.00106081+0.00690282j -0.00791228+0.00914813j 
