0.00271273-0.0077069j 0.00829514+0.000161351j 0.00611448-0.00686313j -0.00149233-0.0112172j -0.00869094-0.00387476j -0.00362913+0.0136878j -0.00791907+0.00552061j -0.00558755+0.00321554j -0.00944073-0.015562j 0.00351323-0.0102878j 0.00715452+0.0151691j -0.000171913+0.00150396j 0.00108004-0.000604311j -0.00272161+0.0101806j -0.00442098-0.00239722j -0.00134205+0.00240887j 0.0107862+0.000197983j 0.00219159+0.0117755j 0.0155432+0.0203988j -0.00757151+0.00839229j 0.00548148-0.00532934j 0.00974263+0.00658118j -0.00892429+0.00120528j -0.0078366+0.00564376j 0.00427017+0.00587512j 0.00490833-0.00547895j -0.0106551-0.00601317j -0.000668996-0.0106035j -0.000638992-0.00633652j -0.000928543-0.0127428j 0.00235836+0.00713049j -0.0010572+0.00867717j -0.00989397-0.00542877j 0.00298526+0.00330378j 0.00883735+0.0151806j 0.00213673+0.0038976j -0.0060257-0.00254596j 0.00968126-0.00515693j -0.000406753-0.0064772j -0.00636897-0.0104707j -0.0210389-0.00949011j 0.00821436-0.00106383j -0.00353815-0.000973505j -0.00517131+0.0131672j -0.00127697-0.00938591j -0.0203961-0.0131818j 0.00446731+0.0039956j 0.00422511-0.00470185j 0.000438629+0.00027721j 0.00655116-0.00724347j 0.00636583-0.00816657j -0.00616559+0.00152836j -0.00493272+0.0119378j -0.00835715+0.00686157j -0.0015732-0.0023361j 0.00532603+0.0039045j -0.00473818-0.00818574j -0.0138306-0.00845679j 0.00301112+0.00148255j 0.00259537+0.0145864j -0.000834177-0.00300643j -0.00554174-0.00360494j 0.0151514-0.00836631j 0.00863563+0.00133469j 0.00173728+0.00122842j 0.00395261-0.00637496j 0.0108408-0.000252423j -0.00828809+0.00306132j 0.00162239-0.00956032j 0.00805373+0.00669658j 0.00424537+0.00705483j 0.0044373-0.00355526j 0.00579891+0.00653966j -0.008558-0.0071939j 0.0160183+0.00265948j -0.00316782-0.0112527j 0.0125498-0.0211745j 0.000703475-0.00956733j -0.0132508-0.00693782j -0.00475792-0.0111625j -0.0126871-0.0166733j 0.00511088-0.00513127j 0.00532512+0.0108591j -0.0188184+0.00270748j 0.00490615+0.0128591j 0.00865422-0.00217928j -0.00562049+0.00215178j 0.00981501+0.00264983j -0.00360532-0.00465674j -0.000453556+0.00155207j -0.00215028-0.000167347j 0.00671005-0.0143133j 0.0168825+0.0112974j -0.00582904-0.00703059j -0.0125929-0.000641761j 0.0393071-0.0154793j -0.0198155-0.0426281j 
0.00181855+0.00796281j -0.0089472+0.00211118j -0.00894761+0.011021j 0.00498637+0.0156739j 0.00533754+0.00294259j 0.00200731-0.0116603j 0.0116608-0.00334199j 0.00296346-0.00262408j 0.0095066+0.0148861j -0.00146781+0.00753345j -0.0055078-0.0117525j 0.00376921+0.00101476j -0.00289-0.000700593j 0.00207472-0.0136765j 0.00411504+0.00195632j -0.00338742-0.00197397j -0.0109685+0.000459073j -5.03572e-05-0.00988206j -0.0172106-0.0224375j 0.011275-0.0115355j -0.00104261+0.0078355j -0.0107634-0.00627327j 0.00730907-0.000941334j 0.00841803-0.00674264j -0.00531997-0.00267334j -0.00459666+0.00556123j 0.0112588+0.00858247j -0.00171715+0.0101249j 0.00325191+0.00477702j -0.00182821+0.0138992j 0.00177331-0.00555881j 0.00297799-0.00822302j 0.00716575+0.00654721j -0.001369-0.00326553j -0.00918964-0.0160476j -0.00633166-0.00382053j 0.00730285+0.003825j -0.0123931+0.00527436j -0.00220408+0.00720428j 0.00416411+0.0120497j 0.0251924+0.00924832j -0.00851352+0.00330482j 0.00659614+0.00114613j 0.00546943-0.0124991j 0.00410442+0.0107467j 0.0223451+0.0147681j -0.00592854-0.00524077j -0.00400549+0.00631155j -0.00221911-0.00193617j -0.0055539+0.00780271j -0.0100615+0.0119988j 0.0035516-0.0003682j 0.00415924-0.0124302j 0.00349179-0.00677734j 0.00242101-0.000604776j -0.0087197-0.00185378j 0.00504233+0.009945j 0.0164452+0.00839121j -0.00310479-0.00226032j 0.00249555-0.0165046j 0.00437026+0.00249502j 0.00439863+0.00223573j -0.0199549+0.00945871j -0.0049694-0.00202987j -0.00310821-0.0058414j -0.00351995+0.00700205j -0.012467+0.000417477j 0.0151986-0.00898707j -0.00181738+0.010427j -0.00873627-0.00413138j -0.000970727-0.00665601j -0.00589721+0.00423224j -0.00734248-0.00208308j 0.0107762+0.0102351j -0.014916-0.00286162j -0.00105892+0.00923716j -0.00926391+0.0144221j -0.00426955+0.0112187j 0.0117745+0.00951626j 0.00611658+0.0141758j 0.0140806+0.0191474j -0.00146103+0.00136712j -0.00676165-0.0122771j 0.0153605-0.00367228j -0.00273253-0.0121946j -0.00177891+0.0033398j 0.00272043-0.0128902j -0.0109748-0.00321563j 0.0027954+0.00584535j 0.00599516+0.00193354j 0.00706089+0.00745001j -0.00877042+0.020025j -0.0216781-0.0122292j 0.0104398-0.00269077j 0.00305821-0.00673492j -0.0401513+0.0147267j 0.0145124+0.0396361j 
-0.000354799+0.00685841j -0.0112052+0.00166327j -0.012093+0.00695029j -0.00205844+0.00361574j 0.00310343+0.00477868j 0.0107093-0.0030145j 0.00468693-0.00940112j 0.0078677-0.00191472j -0.00114957+0.00641379j -0.0125966-0.00216505j 0.00918736-0.00975654j 0.00552336-0.000276781j 0.00410748+0.00048895j 0.00484965-0.00816347j -0.00404724-0.00272903j 0.000804038+0.000781095j -0.0114504-0.00356798j 0.0168666-0.00678948j 0.0126185-0.00969449j 0.0067484-0.00841803j 0.0036535+0.00257507j 0.00100027-0.00314888j 0.00214625+0.00176341j 0.0162361+0.00167033j 0.00557172-0.00522625j -0.00915958+0.000191666j -0.00818459+0.0038288j -0.0130758+0.0076362j -0.00773144-0.00170314j -0.0125287+0.00740384j 0.00262297-0.00793383j 0.0147108-0.00385903j 0.0012301+0.00678723j 0.00276072-0.00330217j 0.0129796-0.0106582j 0.00022408-0.000841792j -0.00337363+0.00256625j -0.0113+0.00346423j -0.00519402+0.00798654j -0.0104182+0.00845427j -0.00278604+0.00930737j -0.0093078+0.000396551j 0.00606829-0.00215354j 0.0174241-0.00795605j -0.00223789+0.00358146j -0.00838179+0.0113309j -0.00750849+0.00034169j 0.00269119+0.00422133j 0.00270321+0.00116284j 0.00223266+0.00631056j -0.0112658+0.00811337j -0.00297868+0.00343309j 0.0146333-0.00963758j -0.0011713+0.00111653j 0.00711614-0.00585094j -0.00443126-0.00393102j -0.00307531+0.00894227j -0.000159343+0.0111717j 0.00963981-0.00908697j 0.00205857-0.0134793j -0.00728177+0.0060513j -0.0141886+0.00429003j 0.00341013+0.00552405j 0.0083852-0.000878934j 3.18583e-05-0.00604085j 0.00158462-0.000989847j -0.00412906-0.0102516j -0.00315456-0.00326223j -0.00828704+0.00308106j 0.0101699-0.00468503j -0.0054628-0.00569902j -0.0117218+0.000808687j 0.0073468-0.000294625j -0.00138721+0.00853336j 0.00747682-0.00282416j -0.0160662+0.0113153j -0.0101288+0.00616423j -0.0141581+0.0106075j 0.00495661+0.00406979j -0.00686387+0.00263398j -0.00903023+0.0078154j -0.0132211+0.00313633j -0.00488887-0.0098544j -0.00376867+0.00482029j 0.00888688-0.00902412j 0.00337204-0.00112694j -0.00266686-0.00211133j 0.0149783-0.0063275j 0.00616416+0.000729646j 0.000209885+0.00542855j 0.00530249-0.00388027j -0.0192732+0.00556754j 0.0114068-0.0201108j 0.0134049-0.0192651j -0.0438437-0.00481184j -0.00337385+0.00171481j -0.000335821+0.00465827j 
0.00389253-0.00184126j 0.00113979-0.000358691j 0.00042184-0.00164941j 0.0120997-0.0050154j -0.000724694+0.0086208j 0.00487403+0.00924872j 0.00961375-0.00151023j -0.00451242+0.00437234j 0.0111675-0.00838374j -0.00209269-0.00946481j -0.000128219+0.00445715j 0.000805625-0.00314132j -0.00229146+0.00448686j 0.00488089-1.89854e-05j 0.00344259-0.0089975j -0.00315616+0.00115913j -0.00275392-0.00208347j -0.00521694+0.0152696j -0.00982612+0.0127047j 0.00248289-0.0038544j -0.00461163+0.00626895j -0.00512933+0.00718899j 0.00286684-0.00571997j 9.56101e-05+0.0138252j -0.00929323+0.00684124j -0.00646769-0.00490929j 0.00482387-0.01128j -0.00648361-0.00835287j 0.00439504-0.0142532j -0.00279553-0.00328451j -0.00795852+0.00422808j 0.00538283+0.00995552j 0.0019871+6.487e-05j 0.00169047+0.00183214j -0.00403082+0.0116842j -0.00792707+0.0036526j 0.00161829-0.0049646j -0.00880621+0.00497993j 0.00412977-0.000691856j 0.00214525-0.0052911j 0.00808339-0.00606361j -0.0148267+0.00638722j 0.0104649-0.00437441j 0.0106476+0.00630173j 0.00210068-0.00944583j 0.0156839-0.0151536j -0.00740265+0.00133464j -0.00121005+0.0112466j 8.86685e-05-0.000371448j -0.0100113+0.0251194j -0.00536611-0.0023047j 0.00684058-0.0100478j 0.00178246+0.000532803j 0.00654471-0.00817586j 0.00594035-0.00136696j -0.0135631+0.00324578j 0.00113117+0.00191736j 0.0121847-0.00805551j 0.00467967+0.000886534j 0.00262298-0.0165202j 0.000126937-0.00852414j 0.00477985-0.0104509j -0.00729825+0.0165539j 0.00545151+0.0073882j -0.00415313+0.000579008j 0.00197223+0.00221389j -0.0102133-0.00850911j 0.00844125-0.0110047j -0.00680168-0.00391196j -0.0129985+0.0223957j -0.00227775-0.00114049j -0.00219213+0.000633391j -0.00046308-0.00512828j 0.00388689-0.00721919j -0.00716705+0.0119882j -0.00676886-0.00840506j -0.00842202+0.00354368j -0.00150188-0.00778611j 0.00156581+0.00236138j -0.00309983-0.00282923j 0.00619453-0.000933597j 0.00261136-0.00248712j 0.00257288-0.00587799j 0.0135914-0.0204762j 3.31824e-05+0.000325636j -0.00494319+0.00466373j 0.000333165-0.00193338j -0.00543988+0.0303334j 0.00113486+0.000335202j -0.00933816+0.00441914j -0.00805278+0.00405877j -0.0146603+0.0213021j -0.0312638+0.00706725j 0.0155129+0.00115544j 0.0117749-0.0399505j -0.00418594-0.000495862j 0.00221175-0.00349815j 
-0.00605722-0.000651371j 0.00917543-0.00838406j 0.00580948-0.0132779j -0.000691929-0.00387783j -0.00854922-0.00365959j -0.0080112+0.00897364j 0.00224573+0.00605674j -0.000611033+0.00463648j 0.00208714-0.00430923j 0.0108319-0.00998283j -0.00207246+0.00897116j -0.00223225+0.00633078j -0.000546635+0.00266701j -0.000329349+0.00746436j 0.00715981-0.00157211j 0.00352145+7.02492e-05j 0.0074081-0.00948941j -0.0115359+0.013973j -0.00116782+0.0194729j 0.00405194+0.0122689j -0.0086089-0.000467031j 0.00285879+0.0038211j 0.00420223+0.00140973j -0.0143769+0.0109838j 0.00409295+0.00562884j 0.00811645-0.00865742j 0.00307697-0.0102688j 0.0109243-0.0150338j 0.00786163-0.00309698j 0.002301-0.0199094j 0.00359011+0.00758526j -0.0139203+0.012161j -0.00420036-0.00839244j 0.000395896+0.00453025j -0.00467039+0.0196427j 0.00681652+6.65658e-05j -0.000441312-0.00471782j 0.00298378-0.0105821j -0.00478009-0.0102494j 0.000347308-0.0174402j -0.00549688-0.00783864j 0.00673869-0.0114417j -0.00667152+0.00447214j -0.0106369+0.0172855j -0.00246888-0.00461993j -0.000800419-0.0179518j 0.0067184-0.00374507j -0.00572312-0.00168441j -0.0023134+0.00296481j -0.0070164+0.00079748j 0.00627909-0.0129593j -0.00191208-0.0070094j -0.00327239+0.018515j -0.000134162-0.00542302j 0.00311372+0.0142016j 0.00981641-0.000697256j -0.00379619-0.00969058j -0.00780159-0.00728042j 0.00274321+0.0121505j 0.00382829+0.00665525j -0.00369196-0.00848036j 0.00665036-0.0136251j -0.00761888+0.00127858j -0.0114532+0.00817037j 0.00674137+0.00727803j 0.000607531-0.00203787j 0.0162909-0.00177085j 0.00134083+0.00485221j 0.00430033-0.00746917j -0.00815063+0.00783927j 0.00526732-0.00393804j 0.00569065-0.0109375j -0.00436794+0.00440095j -0.00421234-0.0105534j -0.00550467+0.00322365j -0.00126799-0.0148082j 0.00239232-0.00954199j 0.00539222-0.0212167j -0.00767026+0.00159582j 0.00330417-0.0102571j 0.00208877-0.0196339j -0.00508916-0.0103435j 0.00199171+0.000211796j -0.0112146-0.00304988j -0.00686302-8.10322e-05j 0.00296195-0.00493858j -0.00841641+8.80987e-05j -0.00652453+0.0130998j -0.00162482-0.0003778j 0.00572969+0.00448731j 0.0225988-0.0082693j 0.00849062-0.0136916j 0.0147697+0.0162163j 0.0111776+0.0232978j 0.0184754-0.0217075j -0.0108645-0.00406559j -0.00101238-0.00695333j 
-0.00163611+0.00145078j -0.00791518+0.00230568j -0.00832257+0.00386035j -0.010987+0.00333488j 0.00462464-0.00661715j 0.000726248-0.00739946j -0.00606404-0.00194881j 0.00639954-0.00366291j -0.0126724+0.0117743j -0.00263063+0.00644362j 0.00726526-0.00178503j 0.00340958-0.000288397j 0.00407364-0.000631588j 0.00103802-0.00533457j -0.00535547+0.0109517j -0.000230444-0.000283808j 0.00124171-0.00416553j 0.01511-0.0176703j 0.0148741-0.0128953j -0.00242518+8.62271e-05j 0.0123963-0.00294124j 0.00416026-0.00633419j -0.00602862+0.00868421j 0.0100552-0.0123475j 0.0124018-0.00559885j 0.0023751+0.00669969j -0.00979993+0.0102311j 0.00260905+0.0110773j -0.00660228+0.0145666j 0.00109976+0.001802j 0.00736027-0.001701j 0.00498603-0.0153771j 0.001164+0.0053523j 0.00228977-0.00184833j 0.0103674-0.0169434j 0.00689519-0.00360969j -0.00605523+0.00568945j 0.00709852-0.00526824j -0.00559432-0.00312938j -0.0067431+0.00517234j -0.011688+0.00849969j 0.0134305-0.00493776j -0.0062997+0.00199486j -0.00325391-0.0138709j -0.00516474+0.00834112j -0.0178654+0.0137609j 0.00692809-8.44939e-05j 0.00325413-0.0156441j -0.0011814+0.00416931j 0.0187037-0.0298814j -0.00112377-0.00282067j -0.00865333+0.00551751j 0.00252183-0.00149691j -0.00465962+0.00958208j -0.00514544+0.00304158j 0.0133293-0.00471155j -0.000743032-0.00252607j -0.0105793+0.00912638j 0.00120689-0.00450672j -0.00578479+0.014654j -0.00411354+0.0100257j -0.00936866+0.00602304j 0.00914841-0.0125019j -0.000153621-0.0110842j 0.00787703+0.000180458j -0.00597301+0.00395076j 0.0101188+0.0150653j -0.00930757+0.00529063j 0.00260077-0.00032888j 0.0168143-0.0238041j -0.000538226-0.00543596j 0.000465809-0.00630307j -0.00215283+0.00445223j -0.00423513+0.00756984j 0.0123448-0.0119865j -0.000964792+0.00616078j 0.0118509+0.00759936j -0.0036449+0.0135762j -0.00266594-0.00519739j -0.00412681-0.00521675j -0.0130721+0.00863449j 0.00177594+0.00347758j 0.00611021+0.00712501j -0.00810951+0.00758992j 0.00892772+0.00781565j 0.00634564+0.00721335j 0.0139742-0.00489309j 0.00995994-0.0305757j 0.00116654+0.00650838j -0.00466415-0.00796035j -0.0157582+0.0150068j 0.0149497-0.0230551j 0.026955+0.00284132j -0.0164877-0.0042906j -0.0160058+0.0169144j 0.00114373-0.000228459j -0.00408241+0.0134313j 
-0.000883312-0.00745464j 0.0083911+0.00536853j 0.00917866+0.00583452j 0.00154044+0.00717782j -0.00386898+0.00061444j -0.00505132-0.00528286j -1.47163e-06+0.00679256j -0.00659788+0.00186639j -6.89086e-05-0.000319431j 0.0114008+0.00637351j -0.0092446-0.0063744j -0.00450594-0.00197129j -0.00531496-0.000875069j -0.00289051-0.000176618j -0.00150808-0.00770409j 0.00155633+0.00119844j 0.0135231+0.00195802j -0.0202871-0.00415973j -0.0130984-0.00222786j -0.00678601-0.00196728j -0.00779829-0.00462852j -0.00031178-0.00172266j -0.00167979-0.00430874j -0.0138482-0.00823344j -0.0120453-0.00265774j 0.00610647+0.00634326j 0.00641061+0.000149461j 0.0110778+0.00640177j 0.00694927+0.00317818j 0.0113996+0.00781842j -0.00625456+0.00262939j -0.0128281-0.0102016j -0.00714103-0.00900157j -0.00334111-0.00734657j -0.0121043+0.000312243j 0.00282937+0.0045019j 0.000135874-0.00147499j 0.00795561+0.00363221j 0.00745295-0.000681114j 0.0106595+0.00100297j 0.00329465+0.00364144j 0.00325891+0.00219955j -0.00259194-0.00544735j -0.022369-0.00952373j 0.000735042-0.00688468j 0.0109676+0.00313035j 0.000556855-0.0018363j 0.00458606+0.0058999j 0.000220851+0.000930193j -0.0116094+0.00846032j 0.0120241+0.00724494j 0.00405606-0.000715153j -0.0247287-0.00950868j -0.0017246-0.00545376j -0.00367887+0.00226247j 0.00102862+0.00516599j 0.0023444+2.53806e-05j 0.00813665-0.00295547j -0.00679606+0.00385774j -0.0136437-0.0166183j 0.00404151-0.0066181j 0.0053504+0.0018323j -0.000494999+0.00621737j 0.00159867-0.00243419j -0.00159185+0.00196034j 0.00244558-0.00128448j 0.00055146-0.00821734j -0.0009844+0.00265057j 0.00858844+0.00847033j -0.0138302-0.00463438j -0.000398688+0.00144272j 0.0112312+0.00877324j -0.00378852-0.00877615j -0.00172073-0.00245728j -0.0041686-0.0148475j 0.00309353+0.00174175j 0.0083675+0.0047473j 0.00546489-0.000680056j -0.00859572-0.0010048j 0.0137843+0.00942452j 0.00154593+0.000757257j 0.00443204+0.00462078j -0.00104197+0.0112153j -0.00500759+0.0063065j -0.0212486-0.0158976j -0.00340216+0.00357018j 0.00258012-0.0104626j -0.00572901-0.00503446j -0.0100928-0.00801199j -0.00499778+0.000278048j 0.0200301-0.0102873j 0.0171578+0.017887j -0.00795426-0.0014839j 0.0189739+0.00790692j 0.00532446+0.00468222j 0.0127069-0.00932077j 0.00319052+0.00708582j 
-0.000745955-0.00770149j -0.00259692-0.000194458j -0.00385333-0.00097925j -0.0110599-0.00894662j 0.000959537-0.0102651j 0.00200415-0.00358505j -0.00549875-0.00712851j 0.00277699-0.000780252j -0.00634627-0.00637664j -0.00100015+0.004849j 0.0107769+0.000695063j 0.00121543-0.00225507j 0.00234706+0.00217093j -0.00256984-0.00348042j 0.00790727+5.367e-05j 0.00297135+0.00108091j 0.00175581-0.00100958j 0.00669948-0.00801997j 0.00765308+0.0102771j 0.000821066-0.00285155j 0.00736885-0.00436791j 0.00827588+0.00820241j 0.000190846-0.00267356j 0.00308605-0.0162293j 0.0118287+0.00358062j 0.00233216+0.00704262j -0.00151332-0.00255883j 0.0015642+0.0103562j -0.00578125+0.00921985j -0.00178696-0.00300757j 0.00742499+0.0138919j -0.00174816-0.0143819j 0.00614263-0.014031j 0.00260776-0.00401715j 0.000773563+0.00508236j 0.0023101+0.0101745j -0.000170604+0.000212852j 0.00647836+0.00615662j -0.00973483-0.0064844j -0.00179394-0.00146034j -0.00673265-0.00847355j 0.0138747+0.0120407j -0.00718238-0.00592485j -0.00393772-0.0177592j -0.00226033-0.000762327j -0.00833772-0.0119853j 0.0106391+0.00521262j -0.00697876-0.000368768j -0.00219086+0.00220792j 0.000711596-0.0112454j -0.00422515+0.0057152j -0.00284866-0.00368941j 0.0058326-0.0076743j 0.00216534-0.00678787j -0.00714306+0.00450594j 0.00539515+0.0112317j -0.00278949-0.00804694j -0.00860527-0.01688j -0.00783803+0.00732589j 0.00932551+0.000371202j 0.00279821-0.00619425j -0.00570684-0.00361895j 0.0016606+0.0130525j -0.00470586+0.00476101j 0.00152129+0.0089004j -0.00069993+0.00280287j 0.0192384+0.0199453j -0.00845169-0.0041478j -0.000655847+0.00971336j 0.0142422+0.00420337j 0.00368816-0.00169326j -0.00563619+0.00672099j 0.00136238+0.00196565j -0.00873166-0.0079789j 0.0110306+0.00429398j 0.000336631-0.00631606j -0.00173117+0.0149703j -0.00309453-0.0046453j -0.00775017-0.00232005j -0.00700747+0.00467599j -0.00217286-0.0017687j -0.0113746-0.00241054j -0.00554219+0.000244655j -0.00771861-0.0112744j 0.00772335-0.0112583j 0.00479012-0.00253417j 0.00980579-0.0164983j -0.00433888+0.00792399j 7.6811e-05+0.00191691j -0.00147087+0.0118208j 0.0106819+0.0274603j -0.00410008+0.00388562j 0.0189028+0.028859j -0.0141197+0.012718j -0.00168168-0.0182734j 0.00271113+0.00796925j -0.0099527+0.00433643j 
-0.00165314+0.000524456j -0.000183408-0.00194036j -0.00202544-0.00266279j -0.00357062-0.001228j 0.000445553+0.00111899j 0.00428285-0.00137346j -0.0021563+0.00424582j 0.00130737-0.00178255j 0.00306384-0.00488645j -0.00143413+0.00419183j -0.000706514+0.00105507j -0.00480343+0.000992372j 0.00218384-0.00653775j 0.00483064+0.00938144j 0.000852394-0.016632j 0.00156196-0.00191349j -0.0048081+0.00520989j -0.00187544+0.00215868j 0.00733089+0.0113456j 0.00827236+0.0083742j -0.00631585+0.000259329j -0.0030301-0.000705099j 0.00612794-0.0049165j 0.00498383+0.00347484j -0.00504307-0.0121138j 0.00330235+0.00499911j -0.00466621-0.00951956j 0.0010831+0.00245696j -0.00231253-0.00356625j -0.0040264+0.00651437j 0.000247056-0.0113854j 0.00428008+0.00498169j -0.00751698-0.00999026j -0.00380924-0.00540257j 0.00940257+0.00969437j 0.0104668+0.00637637j -0.00275744-0.0103319j -0.00386456-0.00279504j 0.00548458+0.00650576j -0.00460701-0.00797094j -0.011845-0.00987306j -0.00440832-0.00463532j 0.00169321-0.00736908j 0.00282277+0.000219542j -0.00146314-0.00246603j -0.0212736-0.0146383j -0.00023582-0.00646057j 0.00569161+0.00568738j 0.00523421+0.0075717j -0.00124741+0.0118191j 0.00378511+0.00777179j -0.00375551-0.00734784j 0.00577026-0.00636965j 0.0013431-0.00864023j 0.00703597-0.00476841j 0.0101882+0.0114377j -0.00589431-0.00122608j -0.00676114-0.00472602j -0.00034365+0.00501103j -0.00452395-0.00862479j 0.00124247-0.00564924j -0.00251389-0.00497041j -0.00148491-0.00100836j -0.00228391-0.00019491j 0.00607786+0.000639375j -0.0128054+0.00208452j -0.00374514-0.0129884j 0.00715429-0.00240168j -0.00389386+0.00345716j 0.00429126+0.002881j 0.00344072+0.0057654j 0.000990205+0.00734331j -0.00255974-0.000760704j 0.00441368-0.0030024j -0.00382913+0.00100468j -0.000720502-0.00229569j -5.29344e-05+0.00711035j -0.00623112-0.00896423j 0.00997664+0.00748701j -0.00655175+0.0134896j -0.00888783-0.00305475j 0.0115337+0.00785278j 0.00597193-0.00142357j -0.00295481-0.0143889j 0.0139546-0.00196536j -0.0083317-0.00298432j -0.00398427-0.00111349j 0.0078257+0.0204349j 0.018749-0.0169043j -0.0195147-0.0116182j 0.00328689-0.014511j 0.00458128+0.0095452j 0.0121212+0.0128178j -0.00823372+0.00783063j -0.00504892-0.0019912j -0.00628207+0.00525658j -0.00316943-0.00658292j 
0.000462264+0.00289188j -0.00444637+0.00422755j -0.00418584+0.00458629j -0.00477089-0.000873228j -0.00538681-0.0021635j -0.000756428-0.00278435j 0.000780979-0.00891637j -0.001125+0.000104084j -0.0114828+0.00033515j -0.00349613+0.0020764j 0.00160845-0.00631755j 0.000455214-0.00189768j -0.00547392+0.00701547j 0.00360525-0.0132658j -0.00821534+0.00744514j -0.00207201+0.000524873j -0.00440976+0.0086859j 0.00199194+0.00153402j 0.0114262-0.0106927j -0.00144917-0.00864284j 0.00106662+0.0095827j 0.00401167+0.00378488j -0.0056625-0.00928284j -0.00397655-0.0054941j 0.00275119+0.0150213j -0.00203437-0.00431867j -0.0023713-0.0037771j 0.0032372-0.00766691j -0.000353616-0.00432792j -0.00375765+0.00241394j 0.00658223+0.00547883j -0.0041313-0.00525195j -0.00908541+0.00258662j 0.00118813+0.00902721j 0.00631553-0.00792371j 0.00417443-0.00985493j -0.000373731+0.00535761j 0.00308712+0.00966986j -0.0019871-0.00370768j -0.000477612+0.0133197j -0.00553719+0.0104346j 0.00263762+0.0129165j -0.0113099-0.00127745j -0.00153639+0.0015889j -0.00829186-0.00551306j -0.0155052+0.0102322j 0.00278721+0.0092668j 0.0014477+0.00445954j -0.00150192-0.00841147j 0.00735692+0.0282686j 0.00796996-0.00200571j -0.00646678-0.00414964j 0.00229022-0.00556659j -0.00524542-0.00793588j -0.00348564-0.00220517j 0.0121716-0.00666897j -0.000272152+0.00564906j -0.0111543-0.000184576j 0.00454086+0.000503301j 0.000161226-0.0064403j -0.00668129-0.00304301j -1.55037e-05+0.00877962j 0.00566165+0.0165588j 0.00695776+0.00686906j 0.000802372-0.00214096j -0.00218475+0.00986759j -0.00378016-0.00392814j -0.000422554-0.00906257j 0.00532758+0.00654664j 0.0121001+0.00986892j 0.00992039+0.00121244j 0.00723701+0.00718981j -0.00493311-0.0094133j -0.0106865-0.000516497j 0.0114501-0.000792657j -0.00563329+0.00193352j 0.00613149-0.00777738j -0.000766753-0.00183478j -0.00988834-0.00309503j -0.000344981+0.00527383j -0.00508259+0.0229182j 0.00595483-0.0119772j 0.0150196-0.00674982j -0.0110127+0.0093756j 0.00586403-0.00710968j -0.00281835+0.000880125j -0.0128393+0.00441924j 0.0199237+0.0261438j -0.00252617+0.000366315j -0.00100449+0.0209986j -0.00334508+0.00326214j 0.00357847+0.0265155j 0.00446484-0.00137711j -0.0105312+0.0102694j -0.0052566+0.000647908j 0.00236155+0.00179194j -0.00876928+0.00697047j 
-0.00415639-0.000694274j 0.00532325+0.00259673j 0.00606313+0.00252897j -0.00468895+0.00273505j -0.00811538-0.000224311j -0.00390612-0.000436362j -0.0144512+0.00261912j -0.000580098+0.00134443j -0.000434455-0.00536811j 0.00412499+0.00159334j -0.0028861-0.000404415j -0.00579387-0.00268417j 0.0130513-0.0041088j -0.0154223+0.00512473j 0.00365832-0.0113627j 0.000643553+0.00312241j 0.0049503+0.00859168j 0.000849685+0.00221148j -0.00129473+0.00477487j -0.0140945-0.000643461j 0.00224893+0.00239706j 0.00706448-0.000398166j -0.00281092+0.00285905j -0.0120171+0.00591022j 0.0139036-0.00973359j 0.00459358+0.000323061j -0.00717244-0.0040934j -0.00257445-0.00361628j 0.00113379-0.00578862j -0.000934268-0.00252553j 0.0128313-0.0122163j -0.00777932+0.0108036j -0.00255039-0.0121501j 0.00604427+0.00317601j -0.0053197+0.00450226j 0.000657644+0.00331978j 0.00349998-0.00903003j 0.00743293-0.00178892j -0.00179416+0.00819311j 0.0116673-0.00122664j 0.000791794-0.00869307j 0.0138335-0.00353123j -0.000868385-0.00281876j -0.00291846+0.00190587j -0.0027043+0.000776933j 0.0042015-0.00746337j 0.00508151+0.000257354j 0.013041+0.0120561j -0.00751651+0.00167507j 0.0141802+0.0128435j 0.00620655+0.00623419j -0.00725037-0.0055343j -0.00428503-0.0125121j -0.00656445-0.00521017j 0.0105956+0.00387192j -0.0104187+0.00597191j 0.00489442+0.000895969j -0.00754667+0.00108296j 0.00319504-0.00906492j -0.00663497-0.0236085j -0.00273969+0.00250735j 0.0136599+0.00658363j 0.0246909-0.000308168j 0.012911+0.00299227j -0.0034314+0.000826862j 0.0105076-0.00863111j 0.00137646-0.0222382j -0.0108161+0.00184117j -0.000396572+0.00113511j 0.0120146+0.00457595j -0.00677639+0.00203596j 0.0107219+0.0113627j 0.00289842-0.00896483j 0.00339646+0.00362587j 0.00689305+0.00629332j -0.000102493+0.00530433j 0.00955489+0.00710457j 0.00370775+8.51134e-05j 0.00411929+0.0108494j 0.000167755+0.00727515j 0.0117932+0.00189716j -0.005487+0.00466022j -0.0104012-0.00552675j 0.00657928-0.0162087j -0.0131795-0.00564995j -0.000584527-0.00619547j -0.0136867+0.00209601j 0.0142594+0.0123897j 0.0114185+0.00631463j 0.0257471+0.00297655j 0.00784148+0.00542558j 0.00558237+0.00816331j 0.00972993-0.00708697j 0.000906551+0.0108415j -0.0106429-0.00116141j 0.00765437-0.000482079j 0.000859097-0.00163184j 
