-0.00440402+0.00545895j -0.00575605-0.00496718j -0.00646752-0.00304363j 0.00309148-0.00604037j 0.00255875+0.00161326j -0.00344811-0.00287992j 0.00268652-0.00522046j 0.00548527+0.00135885j 0.00084318-0.00274815j -0.00084343+0.00109742j -0.000438741-0.00492668j 0.00388746+0.00165236j -0.00240048+0.00179822j -0.00406846-0.00117104j 0.00240584-0.00303581j -0.00241042+0.00207447j -0.00277407-0.000644671j 0.00136144+0.00333344j -0.00267749-0.000474905j -0.00144734-0.00469003j -0.000827846+0.00213078j 0.000686617-0.000750758j 0.00499457+0.00126169j 0.000543543-0.00245946j -0.000583708-0.000802635j 0.00350138-0.00259281j -0.000885383-0.00191226j -0.000306303-0.0014419j -0.00458999+0.000975381j -0.000126314-0.00108955j -0.0010218+0.00347194j 0.00225344+0.00126057j 0.00119508-0.00172393j -0.000544357+0.00150093j 0.000252368+0.00239704j 0.000181825+0.00233732j -0.000942022+0.00151276j 0.000691985+0.0020121j 0.00100311+0.000186402j 0.0033383-0.00116302j -5.14254e-05+2.86135e-05j 0.00152958-0.00224245j 0.00109832+0.000694142j -0.00252372+0.000656008j 0.00324162-0.000507134j -0.00106847-0.00264313j -0.000546885+0.00235203j -0.00291762-0.00310565j -0.00406703-0.000332354j 0.00317523-0.00874175j 0.0113265+0.00315653j 0.00200007+0.0053768j -0.00471367+0.00991144j 0.00978663+0.0019567j 0.018621+0.0154513j 0.014988-0.0179281j 
0.0042797+0.00471609j -0.00455242+0.00389641j -0.000805123+0.00399375j -0.004853-0.000297677j -0.00133168-0.00523485j -0.00510233+0.00462006j -0.00527138-0.00258218j -0.00289153-0.00546416j -0.00236579+0.000616429j -0.000540174+0.00107829j -0.00300695-0.00281645j 0.00480047-0.00347165j 0.00511893+0.000819272j 0.000127313+0.00183722j -0.000281786-0.00229132j 0.00191181+0.00131427j -0.000472578+0.00424135j 0.00124734-0.000991882j -0.0013388+0.000851798j -0.00182013-5.24783e-05j 0.000916422+0.00152769j -0.00296811+0.00242827j 0.00114921-0.0037496j -0.00116817-0.000372094j -0.000122563-6.84201e-05j -0.00273372-0.00058371j -0.00143185-0.000636475j -0.0010216+0.000913049j 0.00326431+0.00476525j -0.00154029-0.00192604j 0.00151018+0.00164737j -0.00030084-0.00108393j -0.00204698-7.43859e-07j 0.00106222+0.000618483j 0.00293086-0.00544526j 0.00230472+0.000249437j 0.00206444-0.00223405j -0.00107701-0.000219141j -0.00182319+0.000718548j 0.00216921-0.00119635j -0.000405642-0.00145065j -0.00156858+0.00205774j 0.00270259+0.000473083j 0.00251865-0.00282096j 0.00182688-6.26338e-05j -0.00208937-0.00200968j 0.00303454+0.00125174j 0.000972404+0.00364123j -0.00454015-0.0031269j -0.00820446-0.00340182j 0.00326791-0.0124137j 0.0124725+0.00263411j 0.00904961-0.00171008j -0.00478521-0.0105587j 0.0172285-0.0163339j -0.0161943-0.0173829j 
-0.0047995-0.00313751j 0.00327594-0.00444528j 0.00203695-0.00068981j 0.000907534-0.000448118j 0.00286801+0.000495175j 0.00186745-0.00546002j 0.00278495+0.0015231j -0.00396238+0.000620979j 0.000871335+0.00456402j 0.00137651-0.00204994j 0.00450942-0.000644485j 0.00360207+0.000713575j 0.00169311+0.00256832j 0.00168408-0.000986424j -0.00270271-0.00104455j -0.00315898-0.000553634j 0.00325975+0.000639253j -0.00239089-0.00196547j -0.000577545-0.00318716j 0.000298569-0.0034118j -0.00412396+0.00186289j -0.00111344+0.000460882j 0.0031503+0.00236034j -0.00278459+0.00108615j 0.000715645-0.00138317j 0.000932488+0.000270106j -0.00299786-0.000895334j -0.00160153-0.00180442j 0.0024087+0.00178502j -0.000941564-0.000577772j -5.19891e-05+0.00138753j 0.00104185-0.00129578j 0.000797119-0.00164098j -0.0026285+0.00361439j -0.000158408-0.000775961j -0.00234448+0.00210443j -0.00104918+0.00172311j 0.00398529-0.000857588j -0.00275403+0.000408646j 0.00804245+5.871e-05j -0.000789024-0.00220517j 0.00314772+0.00108699j -0.000452181+0.00200478j 0.000361402-0.00215053j 0.00147581-0.00307108j -0.00226598-0.00278136j -0.00774883+0.00266878j 0.00155548-0.0105183j 0.00822178-0.00458242j 0.00708457-0.00248932j 0.000304417+0.00621234j 0.00880541+0.00305876j 0.0148688+0.0144663j 0.0096457-0.0115252j -0.00873408+0.0117251j 0.00957373+0.0059474j 
-0.00497342+0.00634266j -0.0052909-0.00537842j -0.00203778-0.0024687j 0.00156012-0.00390295j 0.0018801-0.00278567j -0.0052276-0.00204223j 0.00165206-0.00500886j 0.000625461-0.000523533j 0.00137419-0.00156498j -0.000733822+0.000490664j 0.00105951-0.00540359j 0.00607794-0.000319078j 0.00121543+0.00157656j -0.00294957-0.000936705j 0.00219251-0.00175294j -0.00104708+0.00259473j -0.00238579+0.00036021j 2.09479e-05+0.00192764j -0.00203083+0.000921578j 0.00154403-0.00152547j 0.000530565+0.00281707j -0.00245049+0.000547103j 0.00431601-0.00131897j 0.000852039-0.00116626j -0.0021-0.00141465j 0.000595843-0.00199673j 0.00027495-0.00106743j -0.000229314+0.00261215j -0.000826663+0.00406874j -0.000168165-0.00300201j -0.00235879+0.00322601j 0.000251284+0.00204847j -0.000182906-0.000291252j -0.000500433+0.000681284j 0.000561326-0.000127483j -1.34969e-05+0.00185859j 0.000513639+0.00352833j -0.00455165-0.00206134j 0.0028419-0.000208232j -0.000146229-0.000754547j 0.00439755-0.00128765j 0.00519661-0.000870902j 0.00184011+0.00428021j 0.00317321-0.00100067j -0.000793555-0.00524865j 0.00516678-0.0014991j -0.00503992+0.00159275j -0.00922994+0.0072989j 0.000253132-0.00512555j 0.000653131-0.00898765j 0.00452521-0.0101636j -0.00829492-0.000177898j 0.0107857+0.00173938j 0.00846231-0.012309j 0.0132684+0.00638537j 0.00802035-0.0178792j 
-0.00129986+0.000476642j -0.000311366-0.00348793j -0.00222747-0.00706801j 0.00535147-0.000355127j -0.00286665+0.00415796j 0.00239875-0.000321651j 0.00373896+6.39994e-05j 0.00274014+0.00658658j 0.00260302-0.00405216j -0.000914933-0.000438903j -0.000369402-0.00251665j -0.00397259+0.0011097j -0.00406346-0.00288876j -0.000369503-0.000849702j 0.00249833+0.000936172j -0.000365209-0.000752311j -0.00265602-0.00401949j -0.000149584+0.00432199j -7.45356e-05-0.000380567j 0.000328901-0.00356432j 0.0005536-0.000941056j 0.00357619+1.3345e-05j -0.000843992+0.0017165j 0.00288824-0.00106354j 0.000580063+0.00186648j 0.0024872+0.000224747j 0.00255291-0.000651165j 0.00254108-0.000888066j -0.00273255-0.00410049j 0.00145772+0.000616j -0.00106268+0.000944635j 0.000623876+0.00258626j 0.000975837-0.000444256j 0.000942488-0.00110607j -0.00232566+0.00354251j -0.00047156+0.000846585j 0.00331151-0.000826816j -0.00373976+0.00360458j 0.00195807-0.000415065j -0.000825335+0.00273844j 0.00134492-0.000765588j -0.000640801-0.00317469j 0.00164149+0.000272434j -0.00304338+0.00118672j -0.00590308+0.00621698j 0.00405824-0.00607996j -0.0053163+0.00668311j 0.00602279+0.00590393j -0.00283228-0.00528503j 0.00231291-0.00410254j -0.00739797+0.0100364j -0.00955352+0.0145876j -0.0135656-0.00836594j -0.00440726+0.00565747j -0.00668125+0.0193738j 0.0130107+0.00472956j 
-0.000955729+0.00312966j -0.00361707-0.00128642j 0.00143303-0.000560131j -0.00134161+0.00113181j -0.000636244-0.00308832j -0.00423251-0.000816159j 0.00120959-9.30606e-05j -0.00363393+0.00491829j 0.00344686+0.00179098j -0.00213058-0.000265338j -0.000495426-0.00230221j 0.000319995-0.00456358j 0.00238693-0.0054356j 0.00226654-0.00321215j -0.00146896+0.00247654j 0.000121624+0.00240259j 0.00216399-0.00200123j -0.00177723+0.00214055j -0.00333981+0.00112894j -0.00216121+0.00202371j 0.000952202+0.0028954j 0.00240282+0.00594639j 0.000802978-0.00036596j 0.002046+0.00364641j -0.000315709-0.00178321j -0.00320348+0.000562471j 0.00199876+0.00264963j -0.00297927+0.00456735j 0.000847835-0.00360667j -0.000136653-0.00147971j 0.000230084-0.000556911j -0.00561965+0.000968333j -0.00366435+0.00211471j -0.000683593+0.00073344j -0.00406621-0.000271065j -0.00256482-0.00132579j -0.00401271-0.00120268j -0.00445125-0.00610259j 0.00185469+0.00252929j -0.00287034-0.00505881j -0.00282538-0.000380202j 0.00622119+0.00266048j 0.00336712-0.00129235j 0.00221241-0.00533071j -0.00336715+0.000950077j -0.00198981+0.00372731j 0.00448038+0.00620046j -0.00631207-0.00149097j -0.0108819-0.00777673j -0.000873035-0.00237991j -0.00469693+0.00329361j 0.00159315-0.0216653j 0.0166172-0.0217476j -0.0176445-0.00807319j -0.0074393+0.00157219j -0.0019908+0.00945817j 
0.00101192+0.00757038j -0.00603499-0.0014722j -0.000805882-0.0065694j 0.00211283-0.000799216j -0.00448345-0.000665669j -0.00448341+0.00512509j -0.0022042-0.00371336j 0.00146802+0.00426796j 0.00243293-0.00508223j -0.00176884+0.00145604j -0.00188821-0.00337809j -2.45788e-05-0.00242663j 0.00327273-0.00475706j -0.00134904-0.00210324j 0.00392408+0.00257278j 0.00414938+0.000180962j -6.26324e-05-7.65075e-05j 0.00015221+0.00203402j -0.00222297+0.00400323j 0.00249715+0.000968175j 0.000655985+0.00349386j -0.00217206+0.00307816j 6.71257e-05-0.00542641j 0.00283145-0.00137333j -0.000168123+0.0013261j 0.000141266+0.000345281j 0.00156007-0.000933243j 6.31756e-06+0.000922286j 0.00157835-0.0017969j 0.00100814-0.00122195j -0.00270631+0.00431117j -0.00186332+0.000877583j 0.00288425-0.00217457j -0.000411751+0.00238996j -0.000949606-0.000266998j 0.00225615+0.00438043j -0.00281316-0.00169192j 0.00032322+0.00251113j 0.00293663-0.00234951j -0.00353198-0.00324431j 0.00083541-0.00136439j -0.00233014-0.00812134j -0.0034631+0.00122637j -0.00704773-0.000765083j 0.00322092+0.00915701j -0.00727344+0.00531813j 0.00345799+0.000140839j -0.00429582+0.00564448j 0.00689087+0.00122456j -0.00806165+0.00205149j 0.00177642-0.00105703j 0.00119345+0.0151265j 0.00256448-0.0177364j -0.0132561-0.00207174j 0.0032509+0.000117181j -0.0052174-0.010378j 
0.00433968+0.00242141j -0.000683707+0.00436631j 0.00318004+0.00219128j -0.00309187+0.00223182j -0.00253123-0.0048499j -0.00534931-8.64516e-05j 0.00140341+0.000455002j -0.00382341-0.00196975j -0.00225662-3.45817e-05j -0.0056722+0.00247195j 0.00284203+0.00324163j -0.00104855-0.00152569j 0.00343259-0.000497514j 0.00226003-0.000475088j -0.00159808-0.00106285j -0.0020158+0.00466767j -0.00342939+0.00225907j 0.000883433+0.00130177j 0.002676-0.00229548j 0.00241371+0.00359159j -0.00232429+0.000457389j 0.00118719+0.00128937j 0.000918526+0.00269801j -0.000348336+0.00171842j -0.00031965-0.00122641j -0.000413462+0.000886854j 0.00358021-0.0020718j 0.00229406-0.00201518j -0.00174402-0.000227289j 0.00322222-0.000291537j -0.00384113-0.00288166j -0.000683215-0.001452j 0.00258155-0.000406947j -0.00245212-0.00167725j -0.00158099+0.000503709j -0.00604686+0.000926719j 7.74069e-05-0.00478421j -0.00597205+0.000178993j 0.000546882-0.00404724j -0.00452327+0.00810976j -0.00804528+0.00126748j 0.00118468-0.00820263j 0.000934664-0.00470333j -0.00255938-0.00582074j -0.00336799+0.00599428j 0.00238474-0.0115617j 0.00327063-0.0057493j -0.000619743+0.00224754j 0.000214555+0.00498976j 0.0181481+0.000932358j -0.00393619+0.0160956j -0.0254332+0.00870408j -0.00490065-0.000825674j 0.00225274+0.000520298j -0.0027671-0.00384594j 0.00151459-5.0645e-05j 
-0.00200073+0.000780935j -0.000128109-0.000131123j 0.00510012+0.00137936j 0.00142634+0.000496871j -0.00234005-0.000339456j 0.00145563+0.00252206j -0.00262464-0.0015943j -0.000431919+0.000988953j 0.00520455-0.000329027j 0.00291984-0.00269479j -0.00527499+0.00045964j -0.00200964+0.000289212j -0.000427229+0.00107004j 0.00130092+0.00292879j 0.000673873+0.0042391j 0.00434564-0.00155722j 0.00141018+0.00169433j 0.000539377-0.000532854j -0.0070039+0.00441772j -0.000671809+0.00487814j 0.00093484-0.00241769j -0.00346919-0.00152154j -0.00118452-0.0019775j 0.00207402-0.0014153j 0.000392957+0.0043165j 9.61013e-05-0.0024286j 0.00319929-0.000362357j -0.000467079+0.00392369j -0.00065573+0.00363592j 0.00193582-0.000744967j -0.00241478+0.00293639j -0.000526441+0.00167366j 0.00204168+0.00178687j -0.00156445-0.00525686j 0.00279385+0.00239338j -0.00179673-0.00208297j 0.00290036-0.00296806j -0.00144875+0.00402051j 0.00485624+0.00221267j 0.00332859-0.00196257j 0.00728126+0.00123395j 0.00269418+0.00108868j -0.00327243-0.00149268j 0.0026826-0.00139615j -0.00912084+0.00639947j -0.00873684-0.00628197j -0.000523627-0.000122546j 0.0078096+0.00335833j -0.00638951+0.0204033j -0.0189223-0.00141071j -0.0120075-0.00927639j -0.0152977+0.00672433j -0.00573539+0.00385664j 4.69507e-05-0.00017468j -0.00494832-0.0112832j -0.00270397-0.00202329j 
0.00101785+0.00228729j -0.00290401-0.00057945j -0.00151473+0.00227854j -0.00301296-0.00328059j 0.0033338-0.00138841j 0.000341465-0.00408684j 5.36826e-05+0.000133969j -0.00254463-0.0031988j -0.00373462-0.000743717j -0.00316724-0.00152891j -0.00254923+0.00139087j 0.00237229-0.00109856j 0.000549364+0.00112936j 0.00227468-0.00251302j 0.0026671-0.00458937j -0.00222173-0.00308603j 0.00234417+0.00230867j -0.00042807-0.0021639j 0.00404616+0.00411297j -0.00134412-5.57299e-05j 2.16871e-05-0.00146861j -0.000933733+0.00191271j -0.00306637-0.000770815j -0.00443413-0.00284015j 0.00115023-0.004478j -0.00193302+0.00174633j -0.00259613-0.000829515j 0.00331222+0.00112107j 0.00195855+0.0015257j -0.00332577-0.000877049j 0.00378979-0.00178155j 0.000803717-0.00120078j 0.00667933+0.00262692j -0.000120192-0.00223637j -0.0015438-0.00696461j 0.000973201-0.00334434j -0.00052833-0.00399528j 0.00571619-0.00127396j 0.00472671+0.000229544j -0.0034415-0.00432837j 0.00143225-0.010279j 0.0104191+0.000440324j 0.00363397-0.00113757j 0.00534841+0.0020076j -0.000358393+0.00677964j 0.00439166-0.00428798j 0.0126193+0.00890229j 0.00947045+0.00161714j -0.00341886-0.00411849j -0.00672906+0.0127022j -0.0278376-0.0083308j 0.00423896+0.00259744j -0.00563122+0.000805163j -0.00227553-0.00442834j -8.24873e-05-0.00479455j -0.00600994-0.00629481j 
-0.00138827-0.00120914j -0.00177129-0.00129335j -0.00138432-0.000145651j -3.77583e-05-0.000148228j 0.0015317+0.000869706j -0.000818834-0.00437647j 0.00224538-0.00151967j 0.00082791+0.00215723j 0.00103248-0.00227195j -0.00331201+0.0021941j -0.00446039+0.000310275j -0.000209998+0.0024626j -0.000685086+0.00173338j -0.00259917-0.00154683j -0.0018162-0.00173528j -0.00502+0.00410375j -0.00326465-0.00320325j 0.00199535+0.00339627j 0.000283753-0.000455372j -0.0047149+0.00284923j 0.00422195+0.000958067j 0.00158599-0.00589839j 0.00132809+0.000640434j -0.0017665-0.000283766j -0.00118967-0.00320909j 0.00267312-0.00137377j -0.00153004-0.00102922j 0.00145601+0.000626838j -0.00112662+0.00274241j -0.00109332+4.69923e-05j 0.0018392-0.00215886j 0.00560227+0.00200061j 0.000640218-0.00143692j 0.00462945-0.00185159j -0.00077986+0.00421499j 0.00124744+0.00285695j 0.00162862+0.000609783j -0.00167695-0.00426275j 0.00254131+0.000734199j -0.00444215-0.00107795j 0.0016445+0.00134071j 0.00233474-0.00606109j -0.00201186+0.000747566j -6.07092e-05-0.000914048j 0.000657411+0.00517386j -0.00958546-0.00501865j 0.00439962-0.000102468j -0.00374492-0.00977079j -0.010624+0.00824641j -0.00968954-0.00605151j -0.00312852+0.0266007j 0.00945938+0.00526062j 0.00371728+0.0190738j 0.000446634-0.00365182j 0.012035+0.00999082j -0.00190125-0.0115057j 
