8.9339e-14-1.32874j -3.69268e-14+0.488651j -2.27469e-14+0.579764j -2.35887e-14+0.0114767j 5.59046e-16+0.0608219j 9.61566e-15-0.149945j -3.85549e-15-0.0739345j -6.8733e-15+0.0989739j 2.30139e-15-0.0735307j 2.66674e-15+0.0040947j 5.95824e-15-0.0846501j 6.93687e-17+0.0360477j 5.29802e-15-0.0386807j 1.88164e-15-0.0428527j -4.50785e-17-0.00477583j -9.693e-15+0.023766j 9.17155e-16-0.00487226j -5.06682e-15+0.0509985j -4.36391e-12-0.0393424j -3.56999e-15+0.000464565j -1.37796e-15-0.0297555j -9.8408e-15-0.0427032j -7.1128e-15+0.00360666j -7.2299e-15-0.0116434j -1.95338e-15+0.0191989j -3.6351e-16+0.0611673j 9.0904e-15-0.0115333j -4.25016e-15+0.0285096j -6.08844e-15-0.00263277j 1.09928e-14-0.0317267j 3.8186e-15-0.0448829j 2.42073e-17-0.0240058j -9.12318e-15+0.0438813j 1.83993e-15+0.0448215j -1.83959e-15-0.049102j 1.85573e-15-0.0157746j -5.19041e-15+0.0190321j -2.84484e-15+0.0286039j -8.98387e-17-0.03404j 8.02168e-15+0.0184065j 9.67773e-15-0.00191009j 1.00174e-14+0.0328375j 1.692e-15-0.042982j -1.79331e-15+0.0805206j 5.82807e-15-0.0205688j 2.17112e-15-0.0535647j 7.32722e-16-0.0138225j -2.33519e-15+0.0246706j -3.8907e-16-0.083213j -8.13748e-15+0.0579283j -7.86282e-16+0.0693668j 9.39404e-16-0.0251214j 8.37332e-15-0.0476043j 3.20779e-15-0.123804j 9.32669e-14+0.162999j 2.98525e-14-0.042065j 
-5.84849e-14+0.48865j -1.69149e-13+1.32629j 2.27642e-14+0.0164975j 3.77931e-14-0.57141j -6.29188e-16+0.0674838j -9.52904e-15+0.0629557j 5.79675e-15-0.164508j 7.5955e-15-0.0714186j -3.91114e-15-0.0254809j -2.52008e-16+0.0792022j -3.71951e-15+0.0216841j -4.71068e-15+0.0701354j -2.40842e-15+0.0587544j -2.93287e-15-0.0235973j 1.24196e-15+0.039355j 1.3639e-14-0.0488489j 1.02845e-16-0.00477781j -1.23113e-15-0.0163182j -2.04018e-12-0.0183209j 1.85769e-15-0.00301756j -3.6641e-15+0.0295164j -1.14544e-14-0.0596647j -3.27149e-14+0.0245934j 3.86729e-15-0.0135376j 1.60849e-15+0.0171184j 2.08379e-15-0.0349212j -3.73231e-16+0.0232214j 5.50456e-17+0.0172127j 8.61249e-14+0.0310976j -9.24966e-15+0.0268394j -2.74216e-15+0.0106397j -2.41892e-15-0.0143317j -2.44366e-15+0.00371007j 8.81383e-15+0.0442039j 7.40594e-16+0.0398433j 3.85001e-15+0.00878879j 3.48113e-16-0.0141614j 1.41509e-14-0.0257677j 9.12843e-15-0.0603872j -7.85166e-15-0.00824901j 3.16211e-15-0.0268498j 2.0664e-15+0.0279261j -3.57895e-15+0.0126529j -8.86241e-16+0.0545994j -5.24442e-15+0.0999746j -2.4373e-15+0.000521309j -6.5607e-16+0.00459213j 2.42827e-15-0.0240778j -2.27601e-15-0.0548152j 8.50012e-15-0.116244j 8.89611e-16+0.0409591j -1.01357e-15-0.0033563j -9.96837e-15+0.126681j -3.49677e-15-0.0408708j 5.42302e-14+0.0424375j 6.7322e-16+0.16322j 
-8.22926e-16+0.0844571j 1.36072e-14-0.111683j 7.86826e-15+1.48674j 2.32657e-14-0.386398j -3.93295e-15-0.657188j 1.58409e-15-0.0720792j -6.1382e-16-0.682198j 2.58231e-15+0.0886603j -3.27617e-15-0.325841j -3.64634e-15-0.160487j -1.00952e-15-0.101798j -6.65524e-15+0.200346j -8.03925e-16+0.108041j -2.42513e-15+0.111037j -3.48583e-15+0.0794428j -1.97837e-14+0.0542593j -4.00924e-15-0.0644942j -1.0428e-14-0.0142148j -1.0288e-11-0.0925435j -1.0849e-14-0.090166j -3.36198e-15-0.0490538j -8.75284e-15-0.041277j -1.40562e-13+0.0977026j 2.27441e-16-0.0154067j -8.63926e-17+0.0454812j 3.01984e-15+0.0663853j 1.99247e-14-0.038967j -1.47011e-14-0.00188337j 1.23524e-13+0.0449772j 2.55627e-14-0.101856j 4.58458e-15-0.0210747j 2.06668e-15-0.100508j -2.02919e-15+0.0414456j 4.47707e-16+0.0342032j -5.44879e-15+0.00808354j -2.17814e-16-0.111729j -6.5825e-16-0.0062255j 4.11986e-15-0.0208596j 7.07229e-15-0.0509328j -3.18349e-14-0.0405404j 2.55415e-14+0.00190361j 2.82919e-14+0.0588201j -1.6316e-15-0.0183053j -2.05659e-15+0.139756j 1.40756e-15+0.0563681j -1.87691e-15+0.0529004j 1.28497e-15+0.0629189j 1.02012e-15+0.0457551j -1.55608e-15-0.123428j 9.63031e-16-0.0609984j 1.04534e-15-0.00934561j 1.35139e-15+0.0471247j -1.03939e-15+0.0270967j -1.5569e-16-0.11482j 3.5619e-14+0.0161041j 8.49351e-15+0.171189j 
-4.60631e-15-0.11732j 6.33804e-15-0.0967337j -2.55739e-14-0.379168j -1.29081e-15-1.39014j 1.85683e-15-0.0732047j -4.91164e-16-0.102783j 2.25339e-15-0.122474j -2.27451e-14-0.861637j -8.93456e-16-0.0517486j 9.48027e-15+0.134364j -4.66983e-16-0.105282j -2.80172e-15-0.0263379j 8.24754e-15+0.241399j -4.5125e-15+0.0726757j 7.3456e-15-0.0288211j 2.87414e-14-0.0997195j -5.80571e-15+0.00403312j -1.10703e-14-0.0575491j -2.35083e-12-0.021047j 8.79771e-15+0.0145653j 8.05797e-15+0.0739916j 2.18927e-15+0.0116381j -6.70831e-14+0.0507546j 2.17572e-14+0.0154221j 1.0011e-14+0.0779462j -9.6766e-15-0.0651699j 2.97327e-14-0.084412j -1.5587e-14+0.0316786j 1.47458e-13+0.0599516j 1.68529e-14-0.0557887j 2.63743e-15+0.0504355j 1.62802e-15-0.0380685j 1.06662e-14-0.0486383j 8.02553e-15+0.0216906j 5.58646e-15+0.0308006j 3.82807e-15+0.00778914j 2.43375e-15-0.0394286j 1.1588e-14-0.0777031j 8.69759e-15-4.08268e-05j 1.78816e-16+0.00411192j -1.03214e-14-0.0330835j -1.36772e-14-0.00445772j -2.47011e-15-0.0359488j -2.71579e-15+0.0810277j 1.80769e-16+0.0332883j 2.8944e-15+0.159498j -2.18921e-15-0.0150811j -1.33023e-15-0.066649j -2.77413e-15-0.0784715j -1.39672e-15-0.111895j -1.37646e-15-0.114694j -2.56075e-15-0.100139j 8.33088e-17+0.142584j 7.95327e-16+0.0225949j -1.14812e-13-0.182215j -2.57244e-14+0.0284455j 
4.20884e-15-0.0298688j -1.55131e-14+0.153266j -1.3417e-15+0.0295258j -8.9243e-16-9.12518e-06j -2.73887e-15-1.70937j -9.14997e-15-0.0702044j 8.06934e-15-0.0477551j -3.35813e-15-0.0761079j 3.18932e-15+0.62983j -1.6817e-14-0.174402j -4.66004e-15-0.469936j -9.26695e-15+0.125232j -3.80606e-15+0.154312j -3.76977e-15+0.312422j -2.64107e-15-0.0734613j -1.33888e-14+0.0805694j 7.63842e-15+0.0773775j 1.89264e-14-0.0298048j 6.24455e-12+0.0561949j -1.56631e-14-0.148499j 2.37045e-15+0.195355j 1.47518e-14+0.0259571j 1.05025e-13-0.0704369j 1.04108e-15-0.0242611j 4.2873e-15+0.0845594j -3.89973e-15-0.0265959j 4.37283e-14-0.146933j -2.1928e-14-0.0127445j 1.96444e-13+0.0818129j 2.95047e-14-0.118459j 8.67628e-16+0.00175451j 5.82846e-15-0.0209626j 1.65666e-14-0.0481408j -7.77149e-15-0.0467026j -2.48418e-15+0.00667461j -3.70897e-15-0.0888232j 7.50284e-15-0.129042j -6.50769e-15+0.029018j -7.40946e-15+0.0265786j 2.96854e-14+0.0339239j -3.8311e-15+0.0383902j -1.0547e-14-0.0496413j -1.37892e-15-0.0695215j -1.39096e-15+0.0631553j -1.01539e-16-0.0568214j -1.00123e-15+0.138442j -3.19035e-16-0.016882j -7.81426e-16+0.0280862j -2.06579e-15-0.101769j 4.96854e-16+0.0138922j -1.0587e-16-0.119243j -6.59871e-16-0.161064j -1.04362e-15+0.0779738j 2.97136e-16-0.0347232j -2.47622e-14-0.0201494j -5.73006e-15-0.0881531j 
3.19724e-15+0.251616j 1.21742e-14-0.0598748j -1.34055e-15-0.181247j -2.01637e-15-0.0250982j -8.12977e-15+0.00218666j -1.30512e-14-1.54592j 2.56044e-14-0.174285j 5.42735e-15+0.232962j 3.35601e-15+0.0242386j -1.57921e-14-0.238969j -6.86038e-15-0.255696j -1.27107e-14+0.480396j -4.73739e-15-0.0506735j -6.9769e-15-0.290197j -7.1134e-15-0.153396j -3.84464e-14+0.210294j 3.13409e-14+0.1264j -5.922e-14-0.0320757j -3.04631e-11-0.273995j 1.87896e-14+0.0347712j -7.16346e-18-0.0483728j -5.6899e-15+0.00375222j -7.30668e-14+0.0504461j -2.00181e-15+0.00850419j -3.51667e-16+0.0741131j 7.96827e-15+0.111153j 1.82258e-14+0.00716228j -2.2805e-15+0.0806446j 6.34101e-14+0.0210766j 7.74094e-16+0.0106851j 1.66064e-16-0.0855422j -1.52498e-15-0.0169889j 5.37189e-16-0.0267767j 1.31102e-14+0.0863012j 8.60321e-15+0.00130365j 5.2059e-15+0.0290596j -2.96136e-15-0.060389j 2.19642e-15+0.0391321j -4.96924e-15+0.00531194j 7.03643e-14+0.116427j 1.25554e-14-0.0402696j 3.4217e-15+0.0623766j -2.69137e-16-0.0324436j -1.83806e-15+0.0329047j -2.39164e-16-0.0196062j -1.52481e-15-0.0587544j 3.34005e-15+0.0474404j 1.20045e-16-0.0322516j -1.7485e-15-0.0675565j 2.30107e-15+0.0547639j -1.93977e-15+0.0959994j -3.63043e-15-0.118704j 7.49037e-16+0.106696j -1.28406e-15-0.0559517j 7.91458e-14+0.101664j 1.69554e-14+0.0885166j 
1.23742e-14+0.0870998j -9.93029e-15+0.231801j -1.00446e-15+0.0673617j -9.02061e-15-0.259235j -9.6031e-15-0.048114j -3.00198e-14-0.110872j 6.30945e-14+1.43085j 8.66023e-15+0.0705965j 2.18714e-15-0.0118268j 5.0154e-15+0.0840659j 7.31662e-15+0.174805j -4.34255e-15-0.423613j -5.35296e-14-0.767046j 5.47845e-15-0.122434j -1.02055e-14-0.269866j 3.68425e-14-0.0535113j 3.23102e-14+0.189858j 2.74282e-14+0.0186029j 1.78904e-11+0.160902j 4.60501e-15+0.0549602j -1.52361e-14-0.07075j 6.93829e-16+0.00571387j 2.26439e-13-0.181796j -6.08822e-14-0.12024j -3.02081e-14-0.150496j 2.1133e-14-0.0111716j -3.03198e-14+0.086876j 1.10633e-14-0.117831j -5.82385e-15-0.00901407j -3.41913e-14+0.107684j -1.21266e-14-0.0767378j 1.10402e-14+0.166022j 4.80647e-15-0.035254j -2.94123e-14-0.14568j -4.54851e-15-0.0380613j -6.39627e-15+0.0196831j 1.85158e-15+0.0101918j -2.47627e-14+0.130213j -1.69423e-14+0.0806078j -3.13366e-15-0.0205324j 3.10556e-14+0.0954514j 3.96692e-14+0.00452078j 8.83439e-16-0.0177559j 1.15493e-15-0.144057j -9.4716e-15-0.0964382j -7.62934e-15-0.0972912j -3.68081e-16+0.0189966j 1.78906e-15+0.114417j 1.76566e-15+0.0504975j 5.78695e-15+0.133948j 2.35699e-15-0.0514327j 1.29647e-15+0.0127566j -5.98921e-15-0.17122j -1.68773e-15-0.0533099j 9.31347e-14+0.154139j 1.37821e-14-0.100112j 
4.2508e-16-0.111304j -1.22671e-15-0.00743007j 2.86249e-15+0.16529j -2.12865e-15+0.0905726j -4.52113e-15+0.0819003j -1.66494e-16-0.181503j -1.83561e-15+0.0333955j -1.49243e-14-1.18428j -4.60093e-15+0.186722j 1.23912e-14+0.317443j -2.47077e-15-0.0103195j 1.03654e-14-0.510663j 1.8595e-14+0.601482j -5.12952e-15-0.322262j 6.59697e-15-0.337337j 4.82894e-14-0.109531j -1.02628e-14+0.0934653j 4.41568e-14-0.0753292j 2.48003e-11+0.223185j -6.4086e-15-0.108625j 2.0706e-14+0.368482j 2.7009e-14+0.0581917j 9.80095e-14-0.0505178j 3.28201e-14+0.0417524j 1.95538e-14+0.12938j -1.82561e-14-0.119851j 2.12237e-14-0.114569j -9.91889e-15+0.00953558j 2.92403e-14+0.0217704j 1.67585e-14-0.0573232j 1.02964e-15+0.0753169j -8.91516e-16-0.00430691j 8.00245e-15-0.0139889j -9.08606e-15-0.0490409j -3.38054e-15+0.0590569j -1.08887e-15-0.0623396j 4.28008e-15-0.171898j 1.15094e-14+0.00236988j 2.42314e-16-0.0283404j 4.5433e-14+0.0511396j -6.84791e-14-0.0277484j -8.26834e-14-0.158752j -1.4939e-15-0.0241821j 7.15998e-16-1.7243e-05j -1.84307e-15-0.0223233j -2.12541e-15+0.13723j -3.73801e-15-0.0629966j 3.66772e-16+0.00447275j -3.58717e-15-0.0236515j -1.83662e-15-0.0458679j 1.55763e-16-0.0307379j -4.61035e-17-0.135784j -1.18205e-15+0.117683j -4.61102e-16+0.156057j -5.29005e-14-0.0634612j -1.21893e-14-0.103627j 
2.82211e-15-0.211649j -1.39057e-14+0.0726928j -5.15607e-16+0.177138j 2.25377e-15-0.0950356j 1.61385e-15-0.0513513j 7.3954e-15-0.114925j 1.53153e-15-0.206389j 1.90116e-15-0.0312381j -1.66383e-15+1.11753j -1.90554e-15-0.0190917j -1.04106e-14+0.711905j 4.46922e-15-0.125327j -2.32741e-15-0.273982j -3.37974e-15-0.365179j 1.09555e-14-0.102903j 1.45473e-14+0.00513413j 5.43045e-14+0.323251j 4.90492e-14+0.0166453j 3.76519e-11+0.338761j 2.9885e-14+0.255338j 1.65166e-14+0.112218j 2.87565e-14+0.122697j 1.72667e-13-0.118588j -2.68619e-14-0.108677j 3.68592e-15-0.0801505j 5.55999e-15-0.17221j -6.79362e-14+0.240228j 2.90047e-14+0.073001j -6.00727e-14-0.0254807j -3.59792e-14+0.183732j -1.02763e-15-0.0554803j 9.66537e-16+0.1346j 7.14026e-15-0.056191j -1.23517e-14-0.114597j -1.57536e-15+0.0770784j -6.36549e-15+0.0277671j 1.03618e-14-0.128334j -6.5815e-15+0.0849398j -1.07995e-14+0.0189624j 5.01274e-14+0.0628977j -2.60119e-14+0.0277188j -3.49566e-14-0.0871899j 2.88676e-15+0.0961433j 1.13418e-14-0.218131j -3.33962e-15-0.043391j -1.99686e-15-0.029235j 1.54685e-15+0.154147j -1.36277e-15+0.084078j 1.06345e-15+0.077723j -5.11069e-16+0.121125j -1.16138e-16+0.025756j 1.35044e-15+0.0220345j -3.7658e-17-0.0985616j 9.08928e-16+0.0831254j 1.3783e-14+0.0229682j 2.04036e-15-0.00864196j 
6.1794e-15+0.0612798j -2.36092e-14+0.30619j -4.00356e-15-0.0396569j 8.78901e-16-0.138924j 5.5941e-15+0.122035j 1.43974e-15+0.0384583j 2.34981e-15-0.05017j 1.2884e-15-0.0644392j 2.21314e-14+0.144954j -9.48465e-14-1.29326j -3.20498e-14-0.132392j 4.16542e-14+0.186845j 7.70783e-15+0.196002j 2.5947e-14+0.471714j -2.12403e-14+0.147135j -1.23026e-13+0.609797j 9.1197e-14+0.254j -1.35357e-14+0.106101j -1.71494e-11-0.154318j -3.37827e-14-0.0993547j 8.2477e-15-0.119344j 9.74541e-14+0.376076j -2.49634e-13+0.186447j 9.89722e-15-0.0149699j 4.76365e-14+0.208038j 9.06538e-16+0.133075j 5.66251e-16-0.0793941j 1.80986e-15-0.0967977j -2.43072e-13-0.0856598j 6.34028e-15-0.115204j 1.6606e-14+0.0622681j -6.65662e-16-0.119663j 1.31484e-14-0.0058798j 1.03515e-14+0.033647j -7.33017e-15-0.0402204j 4.13341e-16-0.00594878j -2.26432e-16+0.0566278j 5.81919e-15-0.081948j 5.28508e-15+0.021518j 4.0212e-15+0.0161856j -5.73404e-14-0.126211j -5.72206e-14-0.0230141j -5.26872e-15-0.0708164j 3.84378e-15+0.0606024j -1.33246e-15-0.093503j 5.97728e-15+0.124494j -7.46901e-16-0.0109669j -5.00537e-15-0.0912978j -6.87385e-15-0.0537968j -5.5213e-16+0.0320504j 1.79863e-15+0.0368335j -2.30482e-15-0.0143584j 4.39335e-15-0.0150222j 3.48206e-15-0.00933696j -3.40764e-14-0.0359053j -6.99114e-15-0.0550733j 
-1.25894e-14-0.0169737j 2.47038e-14-0.290696j -1.44901e-15-0.0719825j 3.96541e-15+0.195271j 3.55374e-15-0.0382168j -5.5754e-15+0.00692691j 6.2328e-15+0.203806j 1.00135e-14+0.0793594j 1.31963e-14+0.26973j -3.40515e-14+0.189872j 1.26403e-14-0.346635j 3.61176e-14+1.21335j 3.53442e-14+0.158384j 8.22394e-15-0.0908846j 4.25522e-14-0.254752j 6.99762e-14-0.155638j 6.16719e-14+0.374465j -8.10234e-14-0.0378367j -5.45112e-11-0.4902j -5.74003e-14-0.396435j 1.14098e-14+0.0548146j 6.46201e-15+0.0292234j -4.82007e-13+0.367847j 5.55589e-14+0.0133844j 4.27063e-14+0.162j -3.6667e-14-0.170098j 6.59033e-14-0.0928106j -2.31751e-14+0.253478j 2.60122e-13+0.11087j 8.43576e-15-0.0244652j 3.31952e-15-0.060741j -1.2993e-14-0.0272226j -1.50589e-15+0.105311j 2.645e-14+0.149544j 1.97483e-14+0.0438848j 1.65644e-14+0.0226696j -5.20867e-15-0.0840318j 2.26912e-14-0.0539318j 1.30524e-14-0.140644j 3.55663e-14+0.066264j -1.59258e-14-0.0505633j -1.43151e-14+0.0141j -1.92132e-15-0.0281279j 5.68627e-15+0.107745j 1.12752e-14+0.103891j 2.52998e-15+0.00411103j 7.82418e-15-0.0023855j -5.22269e-15-0.00962655j -5.16335e-15-0.105352j -8.39317e-15-0.127j 3.51115e-15+0.056347j -1.38292e-15-0.0780919j 6.60982e-15+0.152928j 1.2381e-15+0.0579762j -2.29243e-14-0.0418164j 1.88293e-15+0.08667j 
