7.65443e-12+2.22109j 4.47455e-13+0.226717j 2.77412e-15-0.651811j 1.50969e-14-0.25973j 3.42504e-15+0.0755905j -1.72967e-15+0.15762j 1.96706e-15+0.012852j 6.89322e-16-0.0473221j 8.01535e-16-0.0475349j -4.42208e-15-0.0289113j 6.92922e-15+0.0686067j -1.35605e-15-0.0167539j 1.42739e-17-0.0247508j 1.46721e-16+0.0165511j -5.4912e-16-0.0189997j 2.13919e-16-0.0171791j -4.47781e-15+0.0326807j -1.12765e-15-0.0284984j -3.19267e-15+0.0056348j -3.1839e-16-0.0255962j 1.22545e-15+0.0111611j -2.82426e-16+0.0183473j 2.01941e-15+0.00919084j 2.0836e-15+0.036882j -4.64378e-16-0.00820215j -4.0784e-15-0.0162344j -2.10443e-15-0.00167349j 2.11885e-15-0.00908934j 4.67953e-17+0.0169179j -3.08529e-15+0.00281053j 8.46124e-16+0.0129203j 8.78844e-15-0.00522947j -1.84867e-13+0.0186142j 1.48347e-15-0.0174145j 5.10274e-16+0.00726465j 8.01617e-14+0.00997903j 5.67764e-15+0.00317258j -8.24258e-15-0.0237115j 2.9064e-14-0.0288299j 7.90957e-16-0.000816655j 3.62792e-16-0.00662787j -1.8397e-14+0.0202206j -1.73272e-15-0.00769922j -1.44764e-15+0.0160538j 3.33957e-15-0.0174464j -4.66509e-15+0.0262521j 7.49769e-15-0.0145682j 1.34645e-15-0.00642323j -8.27744e-17+0.00156621j -6.01915e-15+0.00571403j -4.11966e-15-0.0372495j -1.7359e-15+0.0120186j 1.07408e-15-0.00382653j 9.6522e-15-0.0130153j 2.57264e-15-0.0250546j 2.64791e-15+0.011816j -3.97492e-13-0.0426269j -2.9795e-15-0.0257536j -2.97368e-15+0.00227628j 9.45438e-16+0.00910115j 1.90007e-16+0.00458016j -3.80766e-16+0.00392484j -5.51269e-16+0.0109021j -7.88719e-17-0.00703806j 1.7865e-15+0.0496502j 1.22562e-15-0.039059j -4.65535e-16+0.000677556j -1.60133e-14-0.0255114j -4.18256e-16-0.00086685j -8.10016e-16-0.0420286j 8.58635e-16+0.0413838j 1.10045e-15+0.0200639j 2.13702e-18+0.0330564j 1.72865e-15-0.0322548j -4.14156e-15-0.0521552j 7.41814e-15+0.0434863j -9.04161e-14-0.0514597j 
-3.567e-13-0.227307j 1.98496e-13+2.21948j 3.74875e-14+0.257031j -5.91931e-14-0.649147j -1.48142e-14-0.131626j 2.81967e-15+0.0570697j -9.75406e-15-0.104634j -1.47005e-16-0.00877237j 3.91426e-16-0.00699281j 1.63118e-14+0.0763075j 5.43064e-15+0.0351073j 5.63321e-15+0.0375097j 1.10603e-15-0.00594693j -4.52223e-17-0.00913506j 2.60661e-15+0.0324743j 2.10748e-16-0.0227172j 2.40393e-15+0.00683628j -1.05354e-16-0.0211257j 2.04794e-15+0.0138568j 4.80776e-15+0.0405448j 4.48093e-15+0.0065434j -4.31595e-16-0.00484754j -8.27765e-16-0.0184967j -3.57752e-16+0.0120932j -1.94598e-15-0.017349j 5.15144e-15+0.0157699j 2.62899e-15+0.0161242j 3.29459e-15+0.00402532j -2.96922e-15-0.0273409j 1.10878e-14+0.0205879j -1.9743e-15+0.000193911j -2.1568e-15-0.0316091j -1.06616e-14-0.000735998j -2.59926e-15+0.00575601j -5.95244e-15+0.0202543j 1.73793e-13+0.0214632j -1.63057e-15-0.0154517j -4.28699e-16-0.0217594j -1.71265e-15-0.00933145j 1.56397e-14-0.0133622j 4.73888e-15-0.0311517j 2.78821e-15-0.0053726j -1.05253e-15+0.000166037j -2.84017e-15-0.00426345j 5.26754e-16+0.02088j -6.90809e-16+0.0109277j -2.75378e-15+0.00307418j -1.0677e-15-0.00664979j 1.2283e-15+0.00617694j -3.4092e-14-0.0248451j -3.76107e-15+0.00693937j 1.16683e-15+0.00418118j -2.24524e-15-0.0120985j 3.03278e-15+0.00362275j -5.01051e-16-0.0179094j -5.22466e-15-0.0424488j 2.63063e-14+0.00268993j 4.94322e-16-0.00832396j 6.31464e-15+0.0276519j -1.72715e-15-0.0114647j -1.22346e-16+0.00811341j 2.00631e-15+0.0133876j 1.33188e-15+0.0200219j 2.286e-16+0.00529888j -3.2015e-15-0.0342768j -9.55374e-16-0.0380003j -2.88192e-15+0.0439322j 7.38985e-15+0.010363j -7.15654e-16-0.00995678j 3.7794e-15+0.025748j 5.8675e-15+0.0465821j -5.5406e-15-0.0456383j -1.73025e-15-0.0027152j -5.34724e-15-0.0531253j 7.88365e-15+0.0309242j -1.51443e-15-0.0515659j -7.03038e-14-0.0435162j 
-4.16923e-13-0.125999j -2.65353e-14+0.0601585j -2.79885e-14+2.07842j -1.7233e-14+0.162997j -3.63684e-15+0.56479j -3.77992e-17-0.0439229j 1.25687e-14-0.723982j -5.39385e-15+0.363417j 1.27502e-15+0.322726j -1.54756e-14-0.119098j 2.34391e-15-0.00337413j 5.77812e-15+0.118847j -1.38886e-15-0.0388615j 2.92329e-15+0.0399196j 9.18981e-17+0.0175174j 9.2658e-16+0.0343438j 5.18635e-15-0.0142426j 2.0281e-15-0.0336538j 1.95579e-15+0.000245605j -1.37802e-15+0.0510893j -4.74603e-15-0.0252455j -1.2946e-15+0.0312435j 1.67268e-16-0.0194247j -1.62909e-15-0.0368694j 2.04083e-15+0.0130179j 3.55214e-15+0.0364756j 5.34065e-15-0.0529144j -7.02711e-15+0.00473451j -3.11991e-17+0.00273795j 1.48784e-14+0.0344026j -1.00097e-14+0.00474512j -1.11911e-14+0.0380909j 3.33522e-13-0.0317917j 1.3207e-14-0.00185494j 2.91773e-14-0.0596808j 3.53499e-16+0.000633682j -4.15408e-15-0.016715j 8.64585e-15-0.0309355j -7.36799e-15-0.00641447j -6.66171e-15-0.000930776j -7.47551e-15+0.0226763j 6.7858e-15-0.01035j 6.47047e-15+0.0209495j -2.26605e-15+0.00805315j 9.27413e-16+0.0126662j 8.63797e-15-0.0342129j 8.81451e-15-0.0170034j 3.35988e-15-0.0115323j 1.04595e-15-0.00552211j -4.2769e-14-0.0344923j -1.20743e-14+0.00508901j -1.86603e-15-0.0168018j -3.86237e-15-0.0025069j -3.75418e-15+0.0020704j -2.00176e-15+0.0297577j 3.82402e-16-0.00649263j 4.8984e-13+0.0527396j -1.7543e-16-0.0490706j 3.5252e-15+0.0290327j 2.57809e-15-0.0208881j -4.54059e-15+0.0270108j -4.17369e-15-0.0377031j -3.93119e-16-0.0342756j 3.79131e-16-0.0200434j -6.96939e-16-0.0459393j 6.23194e-16-0.0168038j -3.38719e-15+0.0193772j -1.29905e-14-0.0205081j 7.21951e-16+0.0508405j 8.92281e-16+0.0490148j 6.75698e-16+0.00571812j -7.72783e-17-0.0214797j 2.76191e-16+0.0386087j -7.09652e-16+0.012859j 2.20733e-15+0.0264029j 4.32784e-15-0.0374237j -6.25439e-14-0.0398689j 
-2.29481e-13-0.058919j -1.61228e-14-0.125989j -1.70369e-14-0.188359j 2.30237e-14+2.01132j -3.52776e-15-0.108235j 2.42962e-15+0.135816j -3.94102e-16+0.303767j 5.87445e-15+0.863678j -5.97029e-15-0.211214j -1.1392e-14-0.122254j -6.95824e-16+0.00385718j 8.55755e-16+0.0194069j 2.2195e-16+0.12405j -3.57627e-16+0.0459613j 5.52453e-16+0.0132929j -7.42373e-17+0.0220483j -1.14427e-14+0.0324793j -8.05625e-15+0.0195282j 8.67534e-15-0.0776023j -4.85064e-15+0.00491637j -1.67924e-14-0.0501423j -5.2399e-16-0.00267087j 1.49455e-15-0.00154209j 4.95493e-17-0.00803669j -6.16627e-16-0.00306043j -2.33027e-15-0.0135364j -2.70736e-15-0.00442828j 1.34771e-14-0.0382192j 5.07598e-15+0.0452069j -2.03621e-14-0.0370722j 6.4493e-15+0.0112986j -4.36952e-15-0.0174694j 6.70417e-14-0.00760667j 1.15332e-15-0.00928613j 8.75283e-15-0.00899551j -2.11022e-13-0.0259848j -6.44518e-16+0.000386705j 2.41169e-14-0.0229522j -4.24029e-14+0.0197002j -3.72815e-14+0.02583j -8.32014e-15+0.0326999j 9.90243e-15-0.0123372j 2.4993e-15+0.0106988j 4.23348e-15-0.0122188j -2.83553e-16+0.00355871j 8.87087e-15-0.0405745j 1.86591e-15-0.0133361j -1.1151e-15+0.0391181j -1.61831e-15-0.00271195j -9.24175e-15-0.00360676j -5.77766e-15-0.0232669j -5.26217e-15-0.00965649j 6.89029e-17+0.00567197j -2.50479e-15+0.00754775j -8.53229e-16-0.0187881j -1.27774e-15-0.00682421j 1.27706e-13+0.0135112j 4.08195e-15+0.0515637j 2.22356e-15-0.00539773j -3.75088e-15-0.00939998j -6.60255e-16+0.00896027j 3.06066e-15+0.0137792j 1.91059e-16-0.00880363j 6.34814e-16-0.013792j 9.80509e-16+0.0363638j -1.04512e-15+0.0449275j -5.01373e-15+0.0398991j 2.69333e-14+0.0423315j 8.3151e-16+0.011287j -9.8324e-16-0.0463003j -3.43524e-15-0.0549793j -8.45036e-16-0.0476904j -6.95729e-16+0.00646284j 1.1803e-15+0.0274978j -2.25512e-15-0.0157301j -5.22947e-15-0.0398619j 7.24607e-14+0.03991j 
-1.53796e-14-0.00730234j -1.09743e-15+0.0439307j 2.31491e-15-0.0791443j -1.09089e-15+0.0999308j 1.09633e-14-2.04848j -1.09364e-15+0.024701j -1.20342e-14+0.32591j -5.05117e-15+0.0224217j 5.33291e-15+0.667731j 4.8489e-15+0.12006j 4.36639e-14+0.426411j -1.09196e-14-0.1493j 7.92811e-16+0.20453j -5.80341e-15-0.28609j -2.54638e-15+0.223862j 6.61973e-15+0.115615j 1.33178e-14-0.0699244j 5.61025e-15+0.00160032j -4.33599e-15+0.00196965j 2.18257e-15-0.0903605j 2.80859e-15+0.0127089j 3.46596e-15+0.0257991j 5.57825e-15-0.0657564j -8.81454e-16-0.00368263j -1.50063e-15-0.0166215j -1.58935e-15-0.0264117j -4.42984e-15+0.00492465j 2.42676e-14-0.0410569j 7.1712e-15-0.00663701j -3.19653e-14-0.0524737j 1.30778e-14+0.0313034j 1.68463e-14-0.0577344j -4.06181e-13+0.0382702j -2.05121e-14-0.0117013j -3.21303e-14+0.0706501j 8.0136e-14+0.01039j -1.41432e-14-0.0420161j 1.99154e-14-0.00131634j -5.78027e-14+0.0398887j -9.28426e-15+0.0101084j 8.07355e-15-0.0395821j 2.47872e-14-0.0254931j -3.3571e-15-0.0598932j 2.41445e-15-0.0239882j -1.98452e-15-0.0473182j 7.98543e-15-0.0288685j 3.73351e-15-0.000748706j -5.96915e-15+0.04425j -1.58207e-15-0.0442625j -4.90176e-14-0.039066j -1.43087e-14+0.00529518j 5.14853e-15-0.00246366j 3.78415e-15+0.0250377j 8.29588e-15-0.0163918j 6.52672e-16-0.0134915j -3.13157e-15-0.00962745j 8.95638e-14+0.00972742j -3.1644e-16+0.0109474j 5.96958e-16-0.00300471j -2.18333e-15+0.01892j -5.44737e-15+0.0281216j 3.97982e-15+0.0370826j -1.6205e-15+0.0618399j -4.32136e-16+0.00199141j 1.70872e-16+0.020258j 1.91222e-16+0.00797384j -5.54016e-15+0.0479231j 8.09544e-15+0.0125466j -5.81493e-16-0.0160341j -6.6192e-16-0.0460795j -8.45884e-16-0.0108359j -9.90076e-17-0.0649044j -9.19121e-16+0.0398517j -2.92976e-17+0.0123596j -3.17416e-15-0.0435503j 1.65417e-15-0.00871308j -2.66135e-14-0.0164522j 
2.51822e-13+0.0740257j 1.59719e-14-0.00552041j 4.44855e-16+0.0321664j 5.18186e-16+0.0143309j 3.83596e-15-0.044149j -3.1367e-15+1.86694j 8.02511e-15+0.0639801j -1.41841e-15-0.0743268j -1.93533e-15-0.0199439j 2.17258e-14+0.217214j 1.13982e-14+0.126904j -1.37043e-14-0.494979j 1.10333e-15-0.257284j -8.07089e-15+0.204997j -7.61102e-15+0.101712j 3.36679e-15-0.140946j 3.27396e-14-0.0832166j 2.0636e-14-0.165282j -9.00084e-15-0.0783907j -4.37433e-15-0.00283034j 5.22232e-16-0.00920545j 6.18242e-15-0.0906946j 8.29782e-15-0.00364851j 2.60974e-15+0.0274287j 1.47398e-15-0.0363302j 3.05474e-15-0.0129464j 3.47871e-15-0.00946087j -3.4155e-14+0.0639733j -1.07114e-14+0.0101121j -7.13169e-15+0.0122249j 9.24121e-15+0.0582349j 2.02746e-14-0.0157459j -4.3277e-13+0.0435475j 1.12177e-15-0.00396257j 5.8167e-15-0.00389434j 2.97118e-13+0.036211j 1.68333e-14+0.0276886j 4.09295e-15-0.0436061j -4.57879e-15-0.0124247j 1.77697e-14-0.0134835j -7.3801e-15+0.0226285j -3.15619e-14+0.0350306j -2.30184e-15-0.0300264j -1.36074e-15+0.0042766j 3.86091e-15-0.000966943j 5.92401e-15-0.00255727j 1.68158e-14-0.0476177j 1.44833e-15+0.0399541j -2.96266e-16+0.00236139j -1.27449e-14-0.00199781j -9.59356e-15-0.0552649j -3.98881e-15-0.0100627j -6.84343e-16+0.0275996j 9.69505e-15-0.0269118j 3.84268e-15+0.0132919j 3.86369e-16+0.0164153j 1.03558e-13+0.0105247j -2.28587e-15-0.0074319j 7.28701e-16+0.0115902j 8.46879e-15+0.0753219j -7.54723e-15+0.0419854j -1.45771e-15-0.0110245j -2.06764e-15-0.0142112j -2.00194e-15-0.0230369j 1.10464e-15+0.0150303j 1.50685e-15-0.0208259j 4.44918e-15-0.0296724j 7.59494e-15+0.0148613j -5.07979e-16+0.0172023j -8.53358e-18-0.00582684j -1.35588e-16+0.0168592j 1.00659e-15+0.0140121j 1.87804e-18+0.0619763j 6.06591e-16+0.0471343j -1.73457e-15-0.0175455j -1.40304e-15+0.0343749j 1.72615e-14+0.0124732j 
-3.63245e-14-0.00606479j -3.21199e-15-0.071637j 1.92997e-15-0.129962j -4.26697e-16+0.0549203j 3.66972e-15+0.160038j 1.068e-14+0.0243756j -2.64919e-14+1.85319j -7.4599e-15-0.0199847j 5.47018e-15+0.152226j 1.21058e-14+0.0550454j 1.18759e-14+0.174716j -1.8707e-14-0.488459j -1.94472e-15+0.720937j -1.98859e-14+0.0874404j 5.6799e-16-0.129474j 5.77957e-15-0.113433j 1.0039e-14-0.0611411j 1.26356e-14+0.0838175j -1.74516e-14+0.136789j 5.55263e-15-0.159945j -5.00989e-14-0.129282j -1.33331e-15+0.0135262j 6.19886e-15-0.0331312j 7.15091e-15+0.0296197j 9.22024e-18+0.00473419j 8.93673e-16+0.00630558j -3.61412e-15+0.0555106j -7.36634e-15-0.00290757j -2.92499e-15+0.0723883j -1.08286e-14-0.0132783j 3.52811e-15+0.00697382j -4.3724e-15-0.0479029j -1.13221e-14-0.00196309j -9.50138e-15+0.0297206j -3.00092e-14+0.0402503j -9.70071e-14-0.0131474j 8.91105e-15+0.0470477j -2.24761e-14+0.0186916j 2.15344e-14-0.0142421j 4.36264e-14-0.0316376j -1.0724e-15-0.00646413j -3.59869e-14+0.0451752j -5.92674e-15-0.0602439j 4.37467e-15-0.0328365j -9.89112e-16-0.0292624j 1.62279e-15+0.00662687j -7.69189e-15+0.0265266j -1.7316e-15+0.00670567j -6.55111e-16-0.0123811j 4.31971e-14+0.0332874j -6.83178e-16-0.0105367j -2.05031e-14-0.0565547j -7.0363e-16+0.00328386j -7.16154e-15+0.0118657j -1.56291e-15-0.00548241j 2.84955e-15+0.0436811j -3.63624e-13-0.0392089j 5.59024e-15+0.0784059j 6.91151e-15+0.0288148j -1.58118e-15+0.0164457j -9.53278e-16+0.0115127j 2.07797e-15-0.00423994j -1.93883e-15-0.016304j 6.54378e-16+0.0378083j 9.62108e-16+0.0455181j -2.2228e-15+0.0497886j 3.2581e-16+0.0143041j 2.17057e-14+0.0354652j 2.02955e-16+0.0289608j -4.37759e-16-0.0134713j -1.99797e-15-0.021903j -3.33423e-17+0.0217578j 1.0538e-15+0.00132987j 8.20279e-16+0.0407082j -1.27178e-16+0.00479885j -5.09316e-15-0.0301264j 7.94057e-14+0.0450257j 
-1.34496e-13-0.0392271j -9.39501e-15-0.00454605j -1.66917e-15+0.0824193j -3.48829e-15+0.166485j 5.97711e-15-0.0766395j -1.7741e-15-0.0534052j -1.1394e-14+0.117303j -1.56167e-14+1.65973j -3.09955e-15-0.0057636j 7.30087e-16-0.0744345j -2.05428e-15-0.0362367j 2.74233e-14+0.224606j -1.39445e-14+0.122502j -2.50923e-15+0.903137j -2.04245e-15+0.436629j 7.87385e-15+0.199357j -4.07353e-14+0.0719476j -2.87166e-14+0.183467j 3.11638e-14-0.062858j -9.07923e-15-0.0233715j -3.84823e-14-0.127903j -2.74283e-15+0.0709199j 4.13032e-15+0.0209179j 3.37535e-16-0.0195553j -5.92039e-15-0.0229362j -6.48588e-15-0.0364994j 2.99882e-16-0.0475194j 3.36037e-15-0.0202145j -3.69215e-16+0.0314922j -4.00569e-15-0.0113505j -1.95313e-15+0.0350934j -1.99852e-14+0.0322691j 3.50602e-13-0.0339167j -8.18352e-15-0.00289669j -1.72903e-14+0.0272943j -2.4759e-13-0.0294502j -3.63804e-14-0.0743939j -1.75823e-15+0.0299731j -1.92988e-14+0.0281309j 1.9952e-14-0.0127478j 1.30489e-15-0.00829813j 2.3726e-14-0.0218724j 3.55589e-16-0.0284562j 7.06112e-15-0.0238477j -3.06607e-15-0.0486018j 1.54655e-14-0.0687415j 4.55747e-15+0.0176298j -1.95654e-15-0.0165704j -8.73805e-16-0.0466451j -2.68868e-14-0.0251961j -1.31641e-14+0.0115106j -9.49701e-15-0.0458337j -5.42608e-15+0.00393573j -1.03557e-14+0.00947187j -1.10593e-15+0.0166593j 2.2489e-15+0.0105193j 2.84382e-13+0.0304117j 3.62078e-15+0.0255928j 7.11966e-15+0.0251196j 2.16811e-15+0.0211317j -6.54812e-15+0.00700526j -5.35359e-15-0.0381118j -3.8967e-16+0.0564084j 1.71258e-15+0.0232693j 8.56674e-16-0.0164356j -2.65326e-16+0.0375231j -1.03634e-14+0.0679576j -8.07024e-15-0.014925j -1.08802e-15-0.00151476j -7.40173e-16-0.0058364j -8.20463e-16-0.00991629j -2.7749e-16-0.0221735j 9.00336e-16+0.0355052j -1.53426e-15+0.0410841j 1.09062e-15+0.0231957j 3.62694e-15-0.0339272j -3.5882e-14-0.0236409j 
7.94742e-14+0.0238871j 5.86215e-15-0.0122637j 5.23582e-16-0.0752238j -7.58079e-16+0.0660702j 3.32228e-15+0.0584895j 1.94801e-15-0.0955238j -5.09476e-15+0.0361784j 6.99099e-16-0.20791j 7.2738e-15-1.56026j 2.33768e-14-0.0250223j 1.00196e-14+0.171708j -1.09588e-14-0.122156j -1.56605e-14+0.308873j -1.17979e-14-0.046537j -1.50222e-14+0.0664653j 7.9085e-15-0.493702j -4.89875e-14+0.0452124j -1.12783e-14+0.265703j 1.54501e-14-0.236884j 2.25383e-15-0.264173j 1.87287e-14+0.0893285j -6.11379e-15+0.11187j -9.22461e-15-0.104245j 1.16585e-14+0.169611j 4.36376e-15-0.00367163j 1.37224e-14+0.113836j -7.66582e-15+0.192954j 2.60347e-14-0.0068537j 5.01342e-15-0.0294211j 7.83911e-15-0.0206834j 2.81357e-15-0.0806245j -1.45714e-14-0.0341705j 2.18066e-13-0.0244568j 2.76491e-15-0.00946662j 1.91139e-14-0.0369167j -8.89347e-14-0.0122693j 1.68078e-14+0.0546779j -9.91099e-15+0.0333295j 1.72166e-14-0.002564j -2.87264e-14+0.0283882j -4.80485e-15+0.0125848j -5.45759e-15+0.0131678j -3.1002e-15-0.0245848j -5.45521e-17+0.0360043j 2.50385e-15-0.0070561j -6.50116e-15+0.0386935j 1.79172e-15-0.000664968j -9.76585e-16+0.0132775j 1.90695e-15+0.0360143j 1.03949e-15+0.004536j 2.36966e-15-0.00593481j -5.37573e-15+0.0111931j -1.30269e-15-0.0242798j 4.32272e-16+0.022038j -3.20471e-15-0.0283592j 1.11009e-15-0.00613489j -3.95541e-13-0.0420711j 2.90544e-16+0.00185477j -1.43203e-15-0.009301j -6.83847e-15-0.0866594j 5.05258e-15-0.0013014j 9.81545e-15+0.0550419j 7.42115e-16-0.0541895j 8.33243e-16-0.00950143j 1.50454e-15+0.0662992j -1.78774e-15+0.00429866j -4.4487e-16-0.00321896j -1.76475e-14-0.0317028j 3.9139e-16+0.0540476j 7.78741e-17+5.69066e-05j -2.05416e-15-0.0436026j 5.61553e-16-0.000771043j 1.06359e-15-0.0233512j 7.42577e-17+0.000499861j -3.24077e-15-0.0366733j -1.25262e-15-0.00557134j 2.01828e-14+0.0121061j 
2.58672e-14+0.00534892j -1.89478e-16+0.039104j 1.70089e-15-0.0648483j 1.86639e-15-0.00336614j 5.13396e-15+0.0136319j -4.04767e-15+0.0183278j 8.65271e-16+0.0509967j 3.08487e-15-0.0520726j -2.49424e-14+0.029117j 1.43377e-13+1.59802j 2.17066e-15+0.208422j 1.04211e-14-0.0709092j 2.08776e-14+0.128955j 2.219e-14-0.38952j 3.98829e-15-0.00572371j 1.10377e-14+0.103846j 1.19703e-13-0.293064j 7.68157e-14-0.263911j -6.80765e-14+0.375508j 2.07184e-14+0.0376502j 2.34705e-14+0.0722667j 1.73584e-14-0.200416j 2.04083e-14-0.161566j -8.04251e-15+0.0659928j 5.50511e-15-0.239813j -3.16505e-15-0.00237907j 2.18225e-15+0.122612j -1.79464e-14+0.0698501j 1.02664e-15-0.177879j -6.91703e-15-0.0449038j 5.21609e-15-0.0446862j -2.53226e-15+0.030315j -9.38716e-15+0.00166934j -9.11832e-15+0.0218246j -3.17728e-14+0.0444114j -2.8335e-15-0.000101039j 1.03821e-14+0.0383042j 1.54365e-14-0.0518789j -5.71671e-14+0.0103787j 8.4711e-14-0.0726407j -4.32709e-15+0.0241002j -3.78909e-14+0.0470505j -4.88169e-16+0.0208851j 1.70792e-15-0.0452463j 1.63321e-15+0.0280369j -7.79337e-15+0.0569595j -1.12345e-15-0.013662j -2.98672e-15+0.028004j -3.23241e-15+0.053529j -9.21585e-15+0.0076402j -3.83324e-15-0.0553224j -1.05406e-14-0.00082823j -2.55239e-15-0.0652993j 4.26073e-15+0.0159803j 2.97674e-15-0.067334j 2.32245e-15-0.0164542j -4.36263e-13-0.0476423j -6.43404e-16+0.0518604j 5.78093e-15+0.0276017j 2.05853e-16+0.00595861j 4.61876e-15-0.0313102j -1.34839e-15-0.0210682j -5.47875e-16-0.0208065j 1.97467e-15-0.0105929j 2.22952e-16+0.030285j -5.87786e-16-0.00735541j -1.13427e-14+0.0597501j 3.16781e-14+0.0518531j -8.32201e-16+0.0378735j 1.42948e-15-0.0359247j -2.64471e-16+0.0214151j -7.27212e-16+0.018392j -4.06159e-16+0.00791171j 3.90108e-16-0.0231095j -1.24682e-15-0.0217088j 1.1367e-15-0.0041423j -1.73804e-14-0.0107753j 
1.5124e-13+0.0441084j 8.76786e-15-0.00367642j 2.51343e-16-0.00564092j 3.87304e-16+0.0288275j 6.44179e-16-0.141785j -3.95714e-15+0.0512976j -5.74916e-15+0.0446033j 2.24897e-16+0.114174j 1.74817e-15-0.125657j -3.73062e-14-0.154919j 1.50456e-13+1.49852j -2.12056e-14-0.364736j -1.61403e-14-0.14919j -1.51387e-15-0.0935457j -1.74267e-16+0.404311j 1.22238e-14+0.139694j -3.89922e-14+0.233703j -5.49412e-15+0.066631j -3.79204e-14+0.374312j 1.62638e-14-0.335794j 1.23893e-14+0.123764j -3.14118e-15-0.289849j 1.40197e-14-0.056297j 5.95726e-15+0.129473j -3.78727e-15-0.0251245j -9.31254e-15-0.0238295j 5.41978e-15-0.122901j -3.55263e-14+0.0143191j -7.59531e-15+0.13791j -1.89217e-14+0.0282238j 2.77804e-16+0.0793867j -9.40221e-15-0.144445j -7.12173e-14+0.000112118j -1.6792e-14-0.135438j -1.80998e-14+0.0925034j 3.65738e-13+0.0467842j -3.894e-14-0.0973414j 1.63994e-14-0.0042025j -3.52841e-14+0.0261377j 4.08667e-14-0.0203604j -2.43679e-15+0.00744026j -2.67652e-14+0.0348924j -4.18206e-15-0.0229999j 2.7402e-16+0.0247635j 7.75855e-16-0.040804j 7.35709e-16+0.0125681j 5.75848e-15-0.00237238j -2.97457e-15+0.0161565j 3.70931e-16-0.0278607j -4.55053e-14-0.0242806j -1.55721e-14-0.035568j -1.83709e-14-0.0386392j -8.49984e-16-0.00108146j 1.03439e-15-0.00753804j 7.8813e-16+0.00603326j 2.40083e-15+0.000267304j -3.91119e-13-0.0418172j -3.37809e-15+0.0123891j 3.01699e-16+0.00420251j -1.42254e-15+0.026908j 5.06539e-16-0.0292018j -6.5773e-16+0.00167876j -2.82086e-16+0.0352898j 1.95971e-15-0.00318909j 4.84244e-16+0.0465246j -3.10868e-16-0.000680731j -1.29768e-14+0.0684628j -3.28004e-14-0.0556604j -3.23919e-16+0.00483903j 3.74699e-16-0.0559863j -1.67817e-15-0.0196178j -1.16602e-15+0.014037j -3.986e-16+0.0447774j 9.41717e-16+0.051629j -2.2924e-15-0.0196098j 3.53918e-16+0.022506j 4.46052e-16+0.00123029j 
