-0.158004-0j -0.124635-0j -0.136531-0j -0.0910205-0j 0.853296-0j -0.105101-0j -0.157652-0j -0.066472-0j -0.141008-0j -0.132944-0j -0.0940056-0j -0.068652-0j -0.0560541-0j -0.031709-0j -0.0071464-0j 
0.0942152-0j -0.351675-0j 0.0814112-0j -0.256827-0j 0.105101-0j 0.373769-0j 0.0940056-0j 0.0396362-0j 0.0840812-0j -0.37512-0j 0.0560541-0j 0.0409361-0j -0.158165-0j 0.0189076-0j 0.00426129-0j 
0.141323-0j -0.317201-0j -0.109748-0j -0.227741-0j 0.157652-0j 0.0940056-0j 0.360591-0j -0.279205-0j 0.126122-0j -0.106865-0j -0.239248-0j -0.171773-0j 0.0501363-0j -0.0254887-0j 0.00639193-0j 
-0.0595869-0j -0.0470028-0j 0.241799-0j -0.385767-0j -0.066472-0j -0.0396362-0j 0.279205-0j -0.193856-0j -0.0531776-0j 0.235447-0j -0.0354517-0j -0.290964-0j -0.0211393-0j 0.0561573-0j -0.00269507-0j 
0.178761-0j 0.141008-0j -0.592705-0j 0.102978-0j 0.0112851-0j 0.00672916-0j 0.0100937-0j 0.00425589-0j 0.54286-0j -0.133385-0j -0.194654-0j -0.142155-0j -0.175898-0j -0.133348-0j -0.0453085-0j 
-0.168537-0j 0.248076-0j 0.130882-0j -0.506806-0j -0.0106397-0j 0.0300215-0j 0.00855255-0j 0.0188432-0j 0.133385-0j 0.210896-0j 0.183522-0j -0.374925-0j -0.309458-0j -0.112987-0j 0.0427173-0j 
-0.145958-0j 0.327604-0j -0.126122-0j -0.0840812-0j 0.144394-0j 0.0860999-0j -0.367488-0j 0.0544543-0j 0.129424-0j 0.122022-0j 0.167942-0j -0.0431033-0j -0.214008-0j -0.274354-0j -0.166182-0j 
0.106592-0j 0.0840812-0j -0.25766-0j 0.0377858-0j -0.10545-0j -0.0628785-0j 0.263846-0j -0.446925-0j -0.0945177-0j 0.249284-0j 0.0431033-0j 0.0193705-0j 0.156289-0j -0.56049-0j 0.121362-0j 
0.100496-0j -0.147924-0j 0.0868386-0j -0.108028-0j -0.205183-0j 0.578954-0j -0.183522-0j -0.0773795-0j 0.0609572-0j -0.107242-0j 0.208776-0j 0.152469-0j -0.104326-0j -0.204285-0j -0.377249-0j 
-0.0635594-0j -0.0501363-0j 0.0493586-0j 0.102426-0j 0.19666-0j 0.117266-0j -0.158082-0j -0.34829-0j -0.234434-0j 0.198639-0j -0.0592999-0j 0.121147-0j 0.261756-0j -0.20091-0j -0.456957-0j 
0.0169492-0j 0.0133697-0j 0.0146458-0j 0.00976384-0j -0.0881179-0j -0.0525434-0j -0.0788151-0j -0.0332314-0j 0.247761-0j 0.233591-0j -0.369459-0j -0.269814-0j 0.124453-0j 0.407845-0j -0.589938-0j 
-0.219855-0j 0.0296068-0j 0.0324327-0j 0.0216218-0j 0.0418704-0j 0.0249667-0j 0.03745-0j 0.0157903-0j 0.0334963-0j 0.0315806-0j 0.0223309-0j 0.0163082-0j 0.0133156-0j 0.00753242-0j 0.00169762-0j 
-0.0296068-0j -0.124002-0j -0.0255832-0j 0.0318258-0j -0.0330278-0j 0.0931926-0j 0.0840572-0j -0.0124556-0j -0.0264223-0j 0.0464846-0j 0.050122-0j -0.0128641-0j 0.0195996-0j -0.00594165-0j -0.0013391-0j 
-0.0324327-0j -0.0255832-0j -0.0966427-0j 0.0522652-0j -0.0361802-0j -0.0215737-0j 0.0290827-0j 0.0640759-0j 0.111062-0j 0.0245247-0j -0.0192961-0j 0.0394209-0j -0.011506-0j 0.00584949-0j -0.00146691-0j 
