-0.50178-0j 0.710619-0j 0.385059-0j 0.397687-0j -0.00386255-0j 0.0258681-0j -0.0660685-0j -0.0682352-0j -2.4003e-06-0j 4.73699e-05-0j -0.000359617-0j -0.000371411-0j -1.82468e-07-0j -1.88452e-07-0j 0.000291909-0j -0.00323679-0j 0.0148414-0j 0.0153281-0j -2.8446e-06-0j 3.84351e-05-0j 3.96956e-05-0j -1.15403e-06-0j -1.19187e-06-0j -1.3147e-05-0j 0.000259456-0j -0.0019697-0j -0.0020343-0j -1.73104e-06-0j -1.78781e-06-0j -1.20686e-05-0j 0.000163066-0j 0.000168414-0j -7.74145e-06-0j -7.99534e-06-0j 
-0.170699-0j 0.0318276-0j -0.474055-0j 0.434188-0j -0.000631047-0j 0.000322206-0j -0.0224757-0j 0.0205855-0j -2.59675e-07-0j 3.48792e-07-0j -5.87528e-05-0j 5.38117e-05-0j -1.97402e-08-0j 1.808e-08-0j 3.79808e-05-0j -2.9926e-05-0j 0.00326661-0j -0.00299189-0j -1.74153e-08-0j 5.00086e-06-0j -4.5803e-06-0j -1.24848e-07-0j 1.14348e-07-0j -1.4223e-06-0j 1.91041e-06-0j -0.000321802-0j 0.000294739-0j -1.87272e-07-0j 1.71522e-07-0j -7.3887e-08-0j 2.12169e-05-0j -1.94326e-05-0j -8.37504e-07-0j 7.67071e-07-0j 
-0.0843192-0j -0.0258681-0j -0.00389814-0j -0.00402598-0j -0.402889-0j 0.804287-0j 0.326175-0j 0.336872-0j -0.00175676-0j 0.0206156-0j -0.0762976-0j -0.0787998-0j -0.000201437-0j -0.000208044-0j -0.00212588-0j 0.0114917-0j -0.0157065-0j -0.0162216-0j -0.00102355-0j 0.00822361-0j 0.00849331-0j 1.41339e-05-0j 1.45974e-05-0j 0.000161017-0j -0.00188954-0j 0.0069931-0j 0.00722244-0j -0.000622867-0j -0.000643295-0j 0.00014781-0j -0.00118756-0j -0.00122651-0j 9.4813e-05-0j 9.79225e-05-0j 
0.139717-0j 0.00546098-0j 0.0224757-0j -0.0205855-0j -0.109245-0j 0.0269604-0j -0.540471-0j 0.495019-0j -0.000232768-0j 0.00020727-0j -0.0206885-0j 0.0189486-0j -2.66901e-05-0j 2.44455e-05-0j -0.000377687-0j 0.000176339-0j -0.00930353-0j 0.00852112-0j -7.67478e-06-0j 0.00146102-0j -0.00133815-0j 1.87272e-06-0j -1.71522e-06-0j 2.13345e-05-0j -1.89975e-05-0j 0.00189621-0j -0.00173675-0j -8.25288e-05-0j 7.55883e-05-0j 1.10831e-06-0j -0.000210984-0j 0.000193241-0j 1.25626e-05-0j -1.15061e-05-0j 
0.000318697-0j 4.73699e-05-0j 4.21978e-06-0j 4.35817e-06-0j -0.0888165-0j -0.0206156-0j -0.00250761-0j -0.00258985-0j -0.240583-0j 0.89858-0j 0.238738-0j 0.246568-0j -0.0567776-0j -0.0586396-0j 0.0032095-0j 0.00124547-0j 0.000197927-0j 0.000204418-0j 0.0098755-0j -0.0252534-0j -0.0260816-0j -6.70429e-05-0j -6.92417e-05-0j -0.000763771-0j 0.00285269-0j 0.000757913-0j 0.000782769-0j 0.0060096-0j 0.00620669-0j -0.000701122-0j 0.0017929-0j 0.0018517-0j -0.000449738-0j -0.000464487-0j 
-0.00262933-0j -2.97247e-05-0j -5.87528e-05-0j 5.38117e-05-0j 0.225962-0j 0.00630648-0j 0.0206885-0j -0.0189486-0j -0.0450807-0j 0.0197332-0j -0.607385-0j 0.556305-0j -0.010639-0j 0.0097443-0j 0.00124547-0j -0.000179317-0j -0.00106991-0j 0.000979937-0j 0.00010472-0j -0.00979975-0j 0.00897561-0j -1.25626e-05-0j 1.15061e-05-0j -0.000143116-0j 6.26463e-05-0j -0.00192824-0j 0.00176608-0j 0.00112608-0j -0.00103138-0j -7.43474e-06-0j 0.000695745-0j -0.000637234-0j -8.42722e-05-0j 7.71851e-05-0j 
2.24885e-06-0j 1.50821e-08-0j 1.97402e-08-0j -1.808e-08-0j -0.00192305-0j -1.66501e-05-0j -2.66901e-05-0j 2.44455e-05-0j 0.312944-0j 0.00469303-0j 0.010639-0j -0.0097443-0j -0.674598-0j 0.617865-0j 9.54106e-05-0j 1.01174e-06-0j 1.87272e-06-0j -1.71522e-06-0j -0.000353202-0j -0.00113237-0j 0.00103714-0j 2.80907e-05-0j -2.57284e-05-0j 0.000320017-0j 4.7991e-06-0j 1.08795e-05-0j -9.96455e-06-0j -0.00379807-0j 0.00347866-0j 1.66246e-05-0j 5.32984e-05-0j -4.88161e-05-0j 0.000188438-0j -0.000172591-0j 
-0.0162028-0j -0.00323679-0j -0.000362053-0j -0.000373927-0j -0.0233012-0j -0.0114917-0j -0.00213339-0j -0.00220336-0j -0.000161017-0j 0.00124547-0j -0.00216943-0j -0.00224057-0j -1.22403e-05-0j -1.26417e-05-0j -0.344271-0j 0.875875-0j 0.295745-0j 0.305444-0j 0.00855953-0j -0.0453295-0j -0.0468161-0j 0.00702247-0j 0.00725277-0j -0.000881927-0j 0.00682171-0j -0.0118824-0j -0.0122721-0j -0.000116122-0j -0.00011993-0j -0.000809586-0j 0.0042874-0j 0.00442801-0j -0.000519312-0j -0.000536344-0j 
0.0706588-0j 0.00122674-0j 0.00326661-0j -0.00299189-0j -0.0114917-0j 0.00129824-0j 0.00930353-0j -0.00852112-0j -2.46349e-05-0j 1.63599e-05-0j -0.00106991-0j 0.000979937-0j -1.87272e-06-0j 1.71522e-06-0j -0.0799102-0j 0.0244452-0j -0.590394-0j 0.540743-0j 7.41099e-05-0j -0.0105216-0j 0.00963678-0j 0.00107441-0j -0.000984052-0j -0.000134931-0j 8.96071e-05-0j -0.00586016-0j 0.00536734-0j -1.77661e-05-0j 1.6272e-05-0j -7.00954e-06-0j 0.000995168-0j -0.000911476-0j -7.94526e-05-0j 7.27708e-05-0j 
2.4003e-05-0j 2.8446e-06-0j 2.10696e-07-0j 2.17606e-07-0j -0.00669005-0j -0.00102355-0j -9.28516e-05-0j -9.58967e-05-0j -0.0372665-0j -0.0098755-0j -0.00126694-0j -0.00130849-0j -0.00427313-0j -0.00441327-0j -0.0456799-0j -0.00855953-0j -0.000896603-0j -0.000926007-0j 0.973953-0j 0.176705-0j 0.1825-0j -0.0271979-0j -0.0280899-0j 0.00341569-0j 0.000905145-0j 0.000116122-0j 0.00011993-0j -0.013213-0j -0.0136463-0j 0.00313551-0j 0.000568878-0j 0.000587535-0j 0.00201129-0j 0.00207725-0j 
-0.000377687-0j -3.17691e-06-0j -5.00086e-06-0j 4.5803e-06-0j 0.0517476-0j 0.000679734-0j 0.00146102-0j -0.00133815-0j -0.0098755-0j 0.00208736-0j 0.00979975-0j -0.00897561-0j -0.00113237-0j 0.00103714-0j 0.170615-0j 0.00374678-0j 0.0105216-0j -0.00963678-0j 0.0146058-0j -0.659994-0j 0.604489-0j -0.00720735-0j 0.00660122-0j 0.000905145-0j -0.000191318-0j -0.000898202-0j 0.000822665-0j -0.0035014-0j 0.00320694-0j 4.70214e-05-0j -0.00212476-0j 0.00194607-0j 0.000532984-0j -0.000488161-0j 
