-0.530587-0j 0.653218-0j -0.00537139-0j 0.0309701-0j -5.81459e-06-0j 8.09576e-05-0j 2.72007e-08-0j 0.000498887-0j -0.00450118-0j 2.90325e-07-0j -6.89087e-06-0j 1.72032e-07-0j -3.18478e-05-0j 0.000443423-0j 2.58048e-07-0j 1.23175e-06-0j -2.92355e-05-0j 1.15403e-06-0j 
-0.197411-0j 0.0331691-0j -0.000951111-0j 0.000419107-0j -6.80533e-07-0j 6.45313e-07-0j 1.54176e-10-0j 7.02697e-05-0j -4.51044e-05-0j 2.90788e-08-0j -4.56406e-08-0j 9.75097e-10-0j -3.72743e-06-0j 3.53453e-06-0j 1.46265e-09-0j 1.23371e-07-0j -1.93637e-07-0j 6.54115e-09-0j 
-0.0910382-0j -0.0309701-0j -0.449448-0j 0.744736-0j -0.00345533-0j 0.0285074-0j 3.67773e-05-0j -0.00293968-0j 0.0128197-0j 0.000127944-0j -0.00201319-0j -2.58048e-06-0j 0.0003167-0j -0.00261286-0j 0.000113719-0j -1.84762e-05-0j 0.000290723-0j -1.73104e-05-0j 
0.128928-0j 0.0057745-0j -0.137885-0j 0.0291088-0j -0.000513588-0j 0.000322277-0j 2.4665e-07-0j -0.000587252-0j 0.000222568-0j 1.51626e-05-0j -1.69339e-05-0j -1.73063e-08-0j 4.70732e-05-0j -2.95385e-05-0j 7.62671e-07-0j -2.18961e-06-0j 2.44541e-06-0j -1.16094e-07-0j 
0.00049553-0j 8.09576e-05-0j -0.105133-0j -0.0285074-0j -0.328966-0j 0.836938-0j 0.0146599-0j 0.00298933-0j 0.00147428-0j -0.00174576-0j 0.0135034-0j 1.73104e-05-0j -0.00104436-0j 0.00265699-0j -0.00155167-0j 0.000123942-0j -0.000958692-0j 0.000116122-0j 
-0.00331864-0j -4.13361e-05-0j 0.209877-0j 0.00703528-0j -0.0763578-0j 0.0233585-0j 0.000126928-0j 0.00147428-0j -0.000166553-0j -0.000267093-0j 0.000177375-0j 1.49877e-07-0j -0.00024241-0j 7.41553e-05-0j -1.34347e-05-0j 1.89626e-05-0j -1.2593e-05-0j 1.0054e-06-0j 
-2.51429e-07-0j -2.72007e-08-0j 0.000277568-0j 3.67773e-05-0j -0.0782359-0j -0.0146599-0j 0.929553-0j -1.68664e-05-0j -2.58048e-06-0j 0.00588811-0j 0.00156033-0j -3.87073e-05-0j -8.00043e-05-0j -1.49913e-05-0j 0.0052335-0j -0.000277143-0j -7.34419e-05-0j -0.000259656-0j 
4.96195e-06-0j 3.65356e-08-0j -0.00325726-0j -3.27487e-05-0j 0.292211-0j 0.0064171-0j 0.01394-0j 0.000130461-0j 1.71369e-06-0j 0.00156033-0j -0.000329803-0j -5.8047e-07-0j 0.000298816-0j 6.56214e-06-0j 7.84837e-05-0j -7.34419e-05-0j 1.55232e-05-0j -3.89391e-06-0j 
-0.0204505-0j -0.00450118-0j -0.0216426-0j -0.0128197-0j -0.000272731-0j 0.00147428-0j 2.58048e-06-0j -0.407517-0j 0.813526-0j -0.00123546-0j 0.0144982-0j -0.00148047-0j -0.00149381-0j 0.00807494-0j 2.44806e-05-0j 0.000116854-0j -0.00137128-0j 0.000109481-0j 
0.0762893-0j 0.00146869-0j -0.0128197-0j 0.00120212-0j -4.84538e-05-0j 2.26226e-05-0j 1.9349e-08-0j -0.1105-0j 0.0272701-0j -0.000163696-0j 0.000145765-0j -1.11008e-05-0j -0.000265393-0j 0.000123909-0j 1.83561e-07-0j 1.54829e-05-0j -1.37869e-05-0j 8.20908e-07-0j 
5.29612e-05-0j 6.89087e-06-0j -0.0113316-0j -0.00201319-0j -0.0347977-0j -0.0135034-0j 0.00156033-0j -0.0624612-0j -0.0144982-0j -0.243488-0j 0.90943-0j 0.00993127-0j 0.0031894-0j 0.00123767-0j 0.00482471-0j -0.000783878-0j 0.00292779-0j -0.000734419-0j 
-0.000587252-0j -5.4295e-06-0j 0.0612542-0j 0.000939941-0j -0.0135034-0j 0.00194417-0j 1.65458e-05-0j 0.158911-0j 0.0044351-0j -0.045625-0j 0.0199715-0j 0.000105312-0j 0.00123767-0j -0.000178194-0j 5.11615e-05-0j -0.000146884-0j 6.42956e-05-0j -7.78782e-06-0j 
