0.038166+5.06672e-14j 0.0694875+2.59678e-14j -0.0705848+4.60061e-16j 0.213623-1.70816e-16j 0.0899743+8.1799e-16j -0.175608-4.28801e-15j 0.165095+2.71862e-15j 0.406243-9.63494e-14j 0.265296+2.87379e-14j 0.0332557-2.21865e-14j 0.186415-7.26776e-15j -0.0989029+5.90277e-16j 0.0403127-7.50534e-15j -0.184143+1.54196e-14j 0.382717-8.44327e-15j -0.14771-1.31485e-14j 0.00362404-2.72248e-15j -0.106107+2.29698e-16j 0.0818664+1.55216e-14j 0.171023+6.92099e-17j 0.0267717-3.59258e-15j -0.259744-8.45186e-14j -0.276446-1.45171e-14j 0.0648002-2.6955e-14j 0.269649-3.98842e-15j 0.212461+8.90821e-15j 0.151662+4.68019e-15j -0.0700434+2.4656e-15j 0.140833-2.5444e-14j -0.0505858+3.70916e-13j 0.0233468+1.81514e-13j 0.137035+5.99406e-15j -0.0417959+2.47974e-14j 0.0197943+1.84217e-15j -0.0270895-5.99879e-17j 0.0257354-3.61324e-16j -0.016425+2.51963e-16j 0.024588-2.24897e-16j -0.0107269+1.70936e-16j -0.00460907-4.34152e-17j -0.00473969+1.10516e-16j 0.00644385-2.59169e-16j -0.00232031-8.77444e-15j 0.00169366-9.28649e-17j 0.000139396-3.24933e-17j -0.000352926-2.30696e-16j 0.000981582-2.3182e-16j 0.00106524-5.15287e-17j -0.00132594-5.44112e-17j -0.000644912-1.50493e-16j 0.000638555+8.48977e-16j -0.00564697-2.75023e-16j 0.000872553+1.44634e-17j -0.000321634-5.48869e-17j -0.00307756+3.42631e-16j 0.00134288-5.65179e-16j 0.00128316-6.50117e-16j -0.000989403-3.43724e-16j -0.0024372-1.1799e-16j -0.00130387-3.3118e-17j -0.0013934-2.18966e-16j -0.00737259-1.00137e-16j -0.00125042+9.28353e-17j 0.0143213+4.96343e-17j -0.0265258-5.81224e-16j -0.0184368-1.72836e-16j -0.0192882-3.965e-18j -0.00613935-1.78388e-16j 0.0302373+5.39945e-16j 0.0148905+5.48075e-16j -0.0183304+1.04003e-14j 0.0134049-3.09215e-14j 
-0.0601186-9.1178e-14j -0.141756-4.66603e-14j 0.0330918-1.25111e-16j -0.100134-1.48055e-16j -0.00782761+8.88568e-17j 0.0364787+7.72739e-16j -0.0222826-5.21245e-16j -0.000650106+9.19503e-17j -0.00786725-2.51656e-15j 0.0243816+1.46981e-15j 0.00994735-6.40392e-16j -0.0166266+4.71614e-16j -0.0111659+1.21748e-16j -0.00198837+2.92736e-16j -0.002579+4.44209e-16j -0.0114713+3.71509e-16j 0.00731266-1.64552e-15j -0.0283204+2.53891e-16j -0.00776957+1.34426e-15j 0.0166195-6.48703e-16j 0.012801-6.08909e-16j -0.0160648-4.94409e-15j -0.0215022-1.30995e-15j 0.0410785-7.72245e-15j 0.0400898-3.11264e-15j 0.0134725+3.49535e-16j -0.0192143-2.32156e-15j -0.060489-2.26905e-15j -0.0445085-1.41485e-14j -0.0373673+2.11378e-13j -0.0035156+3.95466e-14j 0.203459-1.99793e-15j -0.199741+1.19607e-13j 0.0142244+8.56001e-15j -0.123149-3.28993e-16j 0.233349-6.63628e-15j -0.0795425+2.42905e-15j -0.0292219-7.733e-16j -0.175473-2.4356e-15j 0.106251-5.77528e-16j -0.0225387-5.35525e-15j -0.290884+6.66348e-15j -0.00561882-2.08808e-14j -0.252799+1.08846e-14j 0.0361666-6.37531e-15j 0.0668827+6.26348e-15j 0.00834529+8.68123e-15j 0.0525874-4.43611e-15j 0.0858157+1.47858e-14j -0.0894778+1.37262e-14j -0.129194-5.72097e-14j 0.389439+3.08132e-14j -0.120733+4.42499e-15j 0.0990462-1.59449e-14j 0.0768112-1.45354e-14j -0.0571024+2.25179e-15j -0.0631739+8.53946e-15j 0.00989303+5.26595e-15j 0.262584-2.92697e-16j 0.0611557-1.30952e-14j -0.203275-3.33939e-15j 0.0811555+1.35871e-15j -0.135441+5.63497e-16j -0.154533+1.0332e-15j 0.0588808+1.80699e-15j 0.1644+5.7888e-16j 0.217605-2.91785e-17j 0.0352456+1.18771e-15j -0.231467-4.40324e-15j -0.116725-4.481e-15j 0.179374-8.94287e-14j -0.107891+2.65923e-13j 
-0.00653276-9.84641e-15j -0.0152269-5.04088e-15j 0.00402384-1.63863e-17j -0.0121763-1.52987e-17j -0.00158434+1.9834e-18j 0.00527987+1.17303e-16j -0.0037243-7.75962e-17j -0.00357373+8.41114e-16j -0.00310178-5.07876e-16j 0.00222874+3.43529e-16j -0.000582696-3.21681e-18j -0.000861892+4.33335e-17j -0.00150012+7.71792e-17j 0.00138433-1.02904e-16j -0.00356968+1.1864e-16j 9.13555e-05+1.51676e-16j 0.000723272-1.46185e-16j -0.00200633+2.38088e-17j -0.00150836+4.60305e-18j 0.000238623-6.73064e-17j 0.00108978-3.16337e-17j 0.000584441+2.19191e-16j 0.000167549-1.01446e-17j 0.00367932-5.63568e-16j 0.00180908-2.86186e-16j -0.000443779-4.06513e-17j -0.00329175-2.80247e-16j -0.00563693-2.56297e-16j -0.00580824-1.24095e-15j -0.00341908+1.86087e-14j -0.000564283+2.51375e-15j 0.019811-2.54914e-16j -0.0202494+1.21247e-14j 0.00129688+8.67568e-16j -0.0124732-3.52396e-17j 0.0238559-6.7821e-16j -0.00806578+2.47297e-16j -0.00322749-7.82841e-17j -0.0180135-2.55375e-16j 0.0110033-5.76525e-17j -0.00228473-5.53865e-16j -0.0300704+6.85522e-16j -0.000559747-2.07892e-15j -0.0260996+1.1202e-15j 0.00373064-6.57021e-16j 0.00690432+6.49271e-16j 0.000852633+8.97894e-16j 0.00541702-4.56519e-16j 0.00886631+1.5274e-15j -0.00922716+1.41631e-15j -0.0133363-5.91239e-15j 0.0402329+3.18756e-15j -0.0124654+4.54688e-16j 0.0102228-1.64334e-15j 0.0079523-1.50165e-15j -0.00590368+2.36387e-16j -0.00652965+8.85823e-16j 0.00102935+5.46478e-16j 0.0271157-2.53172e-17j 0.00632159-1.35004e-15j -0.0209628-3.45676e-16j 0.00843764+1.42258e-16j -0.0139647+5.53489e-17j -0.0160691+1.03906e-16j 0.00630456+1.92341e-16j 0.0171227+6.36458e-17j 0.02262+2.29209e-19j 0.0036898+1.24613e-16j -0.0241448-4.62418e-16j -0.0121728-4.68822e-16j 0.0186668-9.3148e-15j -0.0112484+2.77045e-14j 
-1.28449e-17+2.5518e-17j -2.92865e-17+6.01098e-17j 9.49059e-18-1.41919e-17j -2.87199e-17+4.29442e-17j -5.82222e-18+3.57237e-18j 1.52363e-17-1.59319e-17j -1.21299e-17+9.90176e-18j -1.99508e-17+1.46879e-18j -1.43883e-17+4.10443e-18j 2.83023e-18-1.02058e-17j -7.28335e-18-3.65578e-18j 1.79111e-18+6.73561e-18j -4.00763e-18+4.83713e-18j 8.62631e-18+2.99029e-19j -1.91546e-17+2.21478e-18j 5.11548e-18+4.41354e-18j 1.15886e-18-3.07964e-18j 6.73023e-21+1.16562e-17j -5.4158e-18+3.52401e-18j -5.31318e-18-6.52062e-18j 1.03139e-18-5.33096e-18j 9.74568e-18+6.02543e-18j 9.56781e-18+8.27419e-18j 4.34028e-18-1.71691e-17j -5.84064e-18-1.61492e-17j -7.91094e-18-5.06894e-18j -1.09137e-17+8.56563e-18j -7.62997e-18+2.53565e-17j -1.50054e-17+1.9223e-17j -4.35628e-18+1.56425e-17j -1.78193e-18+1.5543e-18j 3.04755e-17-8.55779e-17j -3.44457e-17+8.42865e-17j 1.63201e-18-5.95298e-18j -2.11728e-17+5.19624e-17j 4.13688e-17-9.85364e-17j -1.3728e-17+3.3566e-17j -6.53821e-18+1.24213e-17j -3.15294e-17+7.41224e-17j 1.96337e-17-4.49149e-17j -3.8857e-18+9.5108e-18j -5.34495e-17+1.22945e-16j -9.131e-19+2.36766e-18j -4.62608e-17+1.06837e-16j 6.59965e-18-1.52834e-17j 1.22345e-17-2.82653e-17j 1.47649e-18-3.52379e-18j 9.55399e-18-2.222e-17j 1.57404e-17-3.62692e-17j -1.63132e-17+3.78109e-17j -2.36306e-17+5.45985e-17j 7.14134e-17-1.64592e-16j -2.20966e-17+5.10239e-17j 1.81082e-17-4.18574e-17j 1.41811e-17-3.24691e-17j -1.04963e-17+2.41351e-17j -1.16024e-17+2.67007e-17j 1.85543e-18-4.18365e-18j 4.80845e-17-1.10974e-16j 1.12348e-17-2.58479e-17j -3.70637e-17+8.58989e-17j 1.51844e-17-3.43176e-17j -2.46796e-17+5.72331e-17j -2.89273e-17+6.5347e-17j 1.20505e-17-2.49607e-17j 3.09305e-17-6.95287e-17j 4.06909e-17-9.20155e-17j 6.73793e-18-1.49127e-17j -4.37575e-17+9.79054e-17j -2.20488e-17+4.93712e-17j 3.36605e-17-7.58563e-17j -2.03625e-17+4.56336e-17j 
0.000688204+1.0469e-15j 0.00156458+5.794e-16j -0.000519445-1.0621e-17j 0.00157192+4.06835e-17j 0.00033073+4.76893e-18j -0.000850025-3.43607e-17j 0.000683257+2.19028e-17j 0.00115862-2.72831e-16j 0.000828427+1.09592e-16j -0.000140868-8.6557e-17j 0.000432823-1.7821e-17j -0.000120156+3.35789e-18j 0.000222064-1.79878e-17j -0.000503158+4.11917e-17j 0.00111049-2.61857e-17j -0.000308333-3.67963e-17j -6.02627e-05+5.30134e-18j -2.7785e-05+8.98879e-18j 0.000307171+3.43219e-17j 0.0003248+4.20061e-19j -4.75468e-05-9.24991e-18j -0.000581815-1.86475e-16j -0.000576739-2.08858e-17j -0.000212458-1.78524e-17j 0.000378151+3.76887e-18j 0.000472699+1.72064e-17j 0.000615557+4.35975e-17j 0.000384832+5.2347e-17j 0.000828842+8.20998e-17j 0.000216978-9.72478e-16j 0.000100139+1.34826e-16j -0.00157398-4.29162e-17j 0.00180827-1.00547e-15j -8.10695e-05-8.28587e-17j 0.00111113+5.10886e-17j -0.00217803-2.8191e-17j 0.000720727+8.34383e-18j 0.000351639+1.83162e-17j 0.0016623+9.25718e-17j -0.00103804-3.61153e-17j 0.000203978+6.07748e-17j 0.00282433+4.87556e-17j 4.7621e-05+1.78731e-16j 0.00244347-6.39854e-18j -0.000348491+4.72652e-17j -0.000646195-8.72322e-17j -7.77197e-05-8.76632e-17j -0.00050427+2.20854e-17j -0.000831595-1.7635e-16j 0.000861331-9.78491e-17j 0.0012481+6.04814e-16j -0.0037728-4.50334e-16j 0.00116715+4.57134e-18j -0.000956376+1.14925e-16j -0.0007497+1.11143e-16j 0.000554656-9.91151e-19j 0.000613056-5.95129e-17j -9.82411e-05-5.56452e-17j -0.00253997-1.00204e-16j -0.000593646+1.02312e-16j 0.00195697+1.11082e-16j -0.000803791-4.51479e-17j 0.00130301+4.77899e-17j 0.00153135+5.06448e-17j -0.000643245-4.21783e-17j -0.0016382-7.04151e-17j -0.00215387-8.48792e-17j -0.000357417-2.57633e-17j 0.00231865+1.34608e-16j 0.00116824+9.04685e-17j -0.00178235+8.21992e-16j 0.00107881-2.61074e-15j 
-1.05917e-05-2.52613e-17j -3.16374e-05-2.55501e-17j -1.02782e-05+3.91277e-18j 3.11131e-05-1.16445e-17j 2.62405e-05-6.59573e-19j -4.31068e-05+3.18068e-18j 4.51201e-05-1.97508e-18j 0.000131747-3.16649e-17j 8.31904e-05+7.27278e-18j 2.01301e-05-3.90596e-18j 6.43738e-05-1.62461e-18j -3.84942e-05-1.43664e-18j 8.82789e-06-3.69103e-18j -6.05919e-05+5.04174e-18j 0.000123365-3.16824e-18j -5.23807e-05-5.3153e-18j 3.97426e-06-6.86899e-19j -4.53073e-05-2.95846e-18j 2.36283e-05+4.61101e-18j 6.19246e-05+1.52546e-18j 1.35944e-05+3.14237e-20j -9.05394e-05-3.09705e-17j -9.80458e-05-7.43985e-18j 3.67653e-05-7.10097e-18j 0.000102946+1.85041e-18j 7.41849e-05+4.38935e-18j 4.19292e-05-1.66746e-18j -4.58925e-05-6.87599e-18j 2.87367e-05-1.88405e-17j -3.07274e-05+1.97159e-16j 6.24124e-06+7.36844e-17j 0.000122339+2.41648e-17j -8.99716e-05+3.11667e-17j 1.18717e-05+5.47099e-18j -5.59005e-05-1.40995e-17j 9.76069e-05+2.38058e-17j -3.5758e-05-8.00305e-18j -3.18691e-06-3.70448e-18j -7.05954e-05-2.0781e-17j 3.91386e-05+1.18266e-17j -1.016e-05-4.56629e-18j -0.000109156-3.05518e-17j -2.90284e-06-1.14727e-17j -9.61336e-05-2.45576e-17j 1.38773e-05+1.65545e-18j 2.54648e-05+9.911e-18j 3.51061e-06+4.19113e-18j 2.04583e-05+4.2537e-18j 3.23896e-05+1.5377e-17j -3.44306e-05-4.95315e-18j -4.92031e-05-3.62662e-17j 0.000147107+5.58952e-17j -4.58914e-05-1.20051e-17j 3.7776e-05+5.1245e-18j 2.83767e-05+3.27159e-18j -2.14027e-05-5.80376e-18j -2.37441e-05-4.1156e-18j 3.46215e-06+3.02579e-18j 9.96342e-05+2.9651e-17j 2.29655e-05+1.92223e-18j -7.81959e-05-2.44159e-17j 2.86427e-05+9.70286e-18j -5.22062e-05-1.51239e-17j -5.44484e-05-1.71372e-17j 1.39004e-05+7.20527e-18j 5.68847e-05+1.88367e-17j 7.69567e-05+2.46977e-17j 1.1485e-05+4.40098e-18j -7.87004e-05-2.78005e-17j -3.98037e-05-1.4794e-17j 6.26461e-05-1.04523e-17j -3.69077e-05+7.94014e-17j 
0.00273008+4.11088e-15j 0.00636221+2.09799e-15j -0.00168447+8.8556e-18j 0.00509727+3.69776e-19j 0.000667044-1.27785e-18j -0.00221535-4.70134e-17j 0.00156518+3.11813e-17j 0.00151707-3.57308e-16j 0.00131138+2.13247e-16j -0.000928571-1.4337e-16j 0.000254713+1.40975e-18j 0.000353828-1.9e-17j 0.00062884-3.33621e-17j -0.000589297+4.38695e-17j 0.00151394-5.03644e-17j -4.71864e-05-6.47543e-17j -0.000301779+6.13033e-17j 0.000831244-1.15579e-17j 0.000634824-1.46493e-18j -8.91685e-05+2.90201e-17j -0.000453397+1.37344e-17j -0.00025993-9.75387e-17j -8.68807e-05+2.18976e-18j -0.00153233+2.36068e-16j -0.000738871+1.21512e-16j 0.000198303+1.82283e-17j 0.00138375+1.16105e-16j 0.0023494+1.0362e-16j 0.00243384+5.13908e-16j 0.00142453-7.74952e-15j 0.000237044-1.03872e-15j -0.00826364+1.18778e-16j 0.00845253-5.07289e-15j -0.000540297-3.61305e-16j 0.00520651+7.44125e-18j -0.0099594+2.96948e-16j 0.00336684-1.07938e-16j 0.00134914+3.09359e-17j 0.00752084+9.62722e-17j -0.00459469+3.03534e-17j 0.000953696+2.29941e-16j 0.0125562-3.03454e-16j 0.000233579+8.6718e-16j 0.0108979-4.8269e-16j -0.00155771+2.76474e-16j -0.0028829-2.67162e-16j -0.000355955-3.74435e-16j -0.0022618+1.93724e-16j -0.00370219-6.32691e-16j 0.00385274-5.96678e-16j 0.00556859+2.46112e-15j -0.0167995-1.30795e-15j 0.00520494-1.96991e-16j -0.00426854+6.92025e-16j -0.00332065+6.31575e-16j 0.00246515-1.02114e-16j 0.00272652-3.73649e-16j -0.000429863-2.27616e-16j -0.0113222+2.60886e-17j -0.00263965+5.67319e-16j 0.00875291+1.32306e-16j -0.00352357-5.46047e-17j 0.00583084-3.11118e-17j 0.00671048-5.25243e-17j -0.00263408-7.68551e-17j -0.00715066-1.6859e-17j -0.00944611+1.27766e-17j -0.00154104-4.99565e-17j 0.0100835+1.79418e-16j 0.00508362+1.88882e-16j -0.00779542+3.90062e-15j 0.00469757-1.15762e-14j 
2.64997e-18-5.49725e-18j 6.84332e-18-1.29492e-17j -2.05595e-20+3.05731e-18j 6.11624e-20-9.25132e-18j -2.12076e-18-7.69582e-19j 2.81426e-18+3.43214e-18j -3.39646e-18-2.1331e-18j -1.17435e-17-3.16416e-19j -7.20393e-18-8.84204e-19j -2.48838e-18+2.19859e-18j -6.0291e-18+7.87551e-19j 3.908e-18-1.45103e-18j -4.7157e-19-1.04205e-18j 5.46582e-18-6.44187e-20j -1.09405e-17-4.77122e-19j 5.0016e-18-9.50793e-19j -5.62125e-19+6.63436e-19j 4.84778e-18-2.51105e-18j -1.88919e-18-7.59164e-19j -5.99959e-18+1.40471e-18j -1.57658e-18+1.14843e-18j 8.5385e-18-1.29804e-18j 9.36281e-18-1.78248e-18j -4.44688e-18+3.69868e-18j -1.03273e-17+3.47896e-18j -7.00494e-18+1.09198e-18j -3.19857e-18-1.84526e-18j 5.81202e-18-5.46245e-18j -1.30369e-18-4.14114e-18j 3.80262e-18-3.36982e-18j -4.5753e-19-3.34837e-19j -1.66901e-17+1.84357e-17j 1.36951e-17-1.81575e-17j -1.46313e-18+1.28243e-18j 8.48192e-18-1.11941e-17j -1.53295e-17+2.12274e-17j 5.44741e-18-7.231e-18j 1.11297e-18-2.67587e-18j 1.12772e-17-1.59679e-17j -6.50643e-18+9.67585e-18j 1.54603e-18-2.04888e-18j 1.79917e-17-2.64856e-17j 4.18452e-19-5.10057e-19j 1.57494e-17-2.30154e-17j -2.26426e-18+3.29245e-18j -4.16956e-18+6.0891e-18j -5.50008e-19+7.59118e-19j -3.31732e-18+4.78678e-18j -5.32454e-18+7.81334e-18j 5.61057e-18-8.14548e-18j 8.05538e-18-1.1762e-17j -2.4174e-17+3.54574e-17j 7.51987e-18-1.09919e-17j -6.18051e-18+9.01719e-18j -4.711e-18+6.9947e-18j 3.52963e-18-5.19935e-18j 3.9108e-18-5.75204e-18j -5.8956e-19+9.01269e-19j -1.63394e-17+2.39067e-17j -3.78407e-18+5.56833e-18j 1.2744e-17-1.85049e-17j -4.85791e-18+7.39291e-18j 8.5006e-18-1.23295e-17j 9.24204e-18-1.40775e-17j -2.91028e-18+5.37719e-18j -9.73927e-18+1.49783e-17j -1.30396e-17+1.98226e-17j -2.02457e-18+3.21258e-18j 1.35883e-17-2.10914e-17j 6.86273e-18-1.06359e-17j -1.06781e-17+1.63414e-17j 6.35374e-18-9.83068e-18j 
0.00018201+2.7794e-16j 0.000412818+1.56375e-16j -0.000139717-3.57326e-18j 0.000422806+1.31142e-17j 9.14788e-05+1.49941e-18j -0.000231999-1.01447e-17j 0.000187823+6.45108e-18j 0.000325566-7.66178e-17j 0.000231375+3.04906e-17j -3.49561e-05-2.4457e-17j 0.000123562-5.2767e-18j -3.69417e-05+1.30131e-18j 6.02968e-05-4.84107e-18j -0.000141818+1.16467e-17j 0.00031167-7.1883e-18j -8.88572e-05-1.00975e-17j -1.55477e-05+1.05457e-18j -1.32025e-05+3.03821e-18j 8.48674e-05+1.00439e-17j 9.44664e-05-2.64494e-19j -1.09283e-05-2.92791e-18j -0.000166608-5.31205e-17j -0.000166217-5.79172e-18j -5.19015e-05-7.1708e-18j 0.000113932-1.74797e-19j 0.000135442+4.70192e-18j 0.000169376+1.21537e-17j 9.66604e-05+1.52903e-17j 0.000224515+2.11484e-17j 5.38786e-05-2.32499e-16j 2.748e-05+4.54911e-17j -0.000403713-1.58443e-17j 0.00047028-2.5652e-16j -2.00806e-05-2.18985e-17j 0.000288895+1.6363e-17j -0.000567823-1.31029e-17j 0.000187454+4.14153e-18j 9.32829e-05+5.49501e-18j 0.000433867+2.85033e-17j -0.000271567-1.20465e-17j 5.30476e-05+1.64422e-17j 0.000738544+1.98586e-17j 1.23166e-05+4.63603e-17j 0.000638734+4.51835e-18j -9.10759e-05+1.14653e-17j -0.000168913-2.44517e-17j -2.02583e-05-2.31295e-17j -0.000131739+4.48084e-18j -0.000217425-4.81983e-17j 0.000225086-2.339e-17j 0.000326246+1.61292e-16j -0.000986397-1.27263e-16j 0.000305101+4.15469e-18j -0.000249982+2.7607e-17j -0.000196118+2.71852e-17j 0.000145043+1.109e-18j 0.000160304-1.40426e-17j -2.57323e-05-1.48056e-17j -0.000663998-3.26324e-17j -0.000155232+2.52399e-17j 0.000511407+3.40024e-17j -0.000210496-1.37959e-17j 0.000340491+1.5815e-17j 0.000401044+1.70293e-17j -0.000169607-1.25041e-17j -0.000429203-2.2446e-17j -0.000564028-2.75211e-17j -9.37602e-05-7.60848e-18j 0.000607708+4.08901e-17j 0.000306172+2.65393e-17j -0.000466872+2.11024e-16j 0.000282715-6.81444e-16j 
0.00157292+2.34146e-15j 0.00358694+1.19629e-15j -0.00116059+6.19532e-18j 0.00351211+3.05946e-19j 0.000710245+2.70863e-18j -0.00186089-4.20581e-17j 0.00148054+2.73756e-17j 0.00243011-5.75027e-16j 0.00175361+2.2703e-16j -0.000348134-1.64356e-16j 0.000885726-2.87073e-17j -0.000215833-7.36168e-18j 0.000489693-4.75776e-17j -0.00105041+8.51179e-17j 0.0023334-6.02524e-17j -0.000621465-8.67041e-17j -0.000142173+2.07961e-17j 3.14102e-06-4.85951e-18j 0.000660735+6.20327e-17j 0.000644825+1.52379e-17j -0.000127414-7.48154e-18j -0.00118478-3.92141e-16j -0.00116236-5.73758e-17j -0.000534394+1.34173e-17j 0.000705788+4.67225e-17j 0.000961673+4.53784e-17j 0.00133198+7.94082e-17j 0.000937795+6.42851e-17j 0.00183389+1.64584e-16j 0.000535824-2.52774e-15j 0.000217532+1.93819e-16j -0.00374039+8.43443e-17j 0.00422344-2.53433e-15j -0.000200769-1.80419e-16j 0.00259608+4.59739e-18j -0.00507139+1.51003e-16j 0.0016832-5.44433e-17j 0.000800445+1.53995e-17j 0.00386485+5.21065e-17j -0.00240625+1.47566e-17j 0.000476433+1.20113e-16j 0.00655086-1.56435e-16j 0.000112002+4.15213e-16j 0.00566995-2.49204e-16j -0.0008089+1.43252e-16j -0.00149952-1.40292e-16j -0.000181005-1.95578e-16j -0.00117104+1.00044e-16j -0.0019292-3.29676e-16j 0.00199947-3.09963e-16j 0.0028963+1.28337e-15j -0.00875267-6.83868e-16j 0.00270827-1.01352e-16j -0.00221944+3.58605e-16j -0.00173801+3.28974e-16j 0.00128644-5.48956e-17j 0.00142202-1.96294e-16j -0.000227377-1.19748e-16j -0.00589345+1.10021e-17j -0.00137696+2.94189e-16j 0.00454281+6.94763e-17j -0.00186082-2.94225e-17j 0.00302494-1.47204e-17j 0.00354497-2.587e-17j -0.001476-4.2754e-17j -0.00379035-1.07612e-17j -0.00498662+4.90035e-18j -0.000825613-2.696e-17j 0.00536206+9.72499e-17j 0.00270188+1.01292e-16j -0.00412496+2.06757e-15j 0.00249526-6.13968e-15j 
-3.89367e-18+8.89943e-19j -5.56905e-18+2.09634e-18j 1.08759e-17-4.94944e-19j -3.29163e-17+1.49768e-18j -1.54801e-17+1.24587e-19j 2.92158e-17-5.55626e-19j -2.80319e-17+3.45325e-19j -7.15269e-17+5.12242e-20j -4.63601e-17+1.43143e-19j -7.00515e-18-3.55928e-19j -3.3304e-17-1.27496e-19j 1.82036e-17+2.34905e-19j -6.57541e-18+1.68696e-19j 3.25294e-17+1.04287e-20j -6.7292e-17+7.72407e-20j 2.65581e-17+1.53923e-19j -9.82474e-19-1.07403e-19j 2.00229e-17+4.06511e-19j -1.40547e-17+1.229e-19j -3.09068e-17-2.27408e-19j -5.31807e-18-1.85918e-19j 4.65084e-17+2.10138e-19j 4.97063e-17+2.88563e-19j -1.33473e-17-5.98775e-19j -4.93837e-17-5.63205e-19j -3.80578e-17-1.7678e-19j -2.58103e-17+2.98727e-19j 1.51842e-17+8.8431e-19j -2.27124e-17+6.70404e-19j 1.06688e-17+5.45536e-19j -3.94698e-18+5.42063e-20j -3.37124e-17-2.98454e-18j 1.67615e-17+2.9395e-18j -4.15603e-18-2.07611e-19j 1.05668e-17+1.8122e-18j -1.55141e-17-3.43647e-18j 6.63628e-18+1.17062e-18j -2.95591e-18+4.33194e-19j 1.01469e-17+2.58503e-18j -4.18813e-18-1.56641e-18j 1.8955e-18+3.31691e-19j 1.25534e-17+4.28772e-18j 6.73121e-19+8.25726e-20j 1.15979e-17+3.72594e-18j -1.72649e-18-5.33012e-19j -3.08521e-18-9.85757e-19j -5.65614e-19-1.22893e-19j -2.6623e-18-7.74927e-19j -3.80477e-18-1.26489e-18j 4.32425e-18+1.31866e-18j 5.96714e-18+1.90413e-18j -1.73316e-17-5.74015e-18j 5.52779e-18+1.77947e-18j -4.60427e-18-1.45978e-18j -3.0725e-18-1.13236e-18j 2.45059e-18+8.41716e-19j 2.74682e-18+9.31192e-19j -2.9127e-19-1.45905e-19j -1.19274e-17-3.87023e-18j -2.6482e-18-9.0145e-19j 9.81118e-18+2.99574e-18j -2.52038e-18-1.19683e-18j 6.59386e-18+1.99601e-18j 4.74942e-18+2.27899e-18j 1.90155e-18-8.70507e-19j -4.48879e-18-2.42482e-18j -6.84258e-18-3.20905e-18j -5.7718e-19-5.20081e-19j 5.56624e-18+3.41447e-18j 2.86998e-18+1.72183e-18j -5.21219e-18-2.6455e-18j 2.71594e-18+1.59148e-18j 
