-0.157256-1.1906e-13j -0.205106-2.5615e-14j 0.0665602-5.24315e-17j -0.182613-4.07021e-17j 0.0836601-1.44934e-15j -0.220712-6.28852e-15j -0.0713585-3.16011e-16j 0.0749904+1.82303e-16j 0.190652+1.16244e-15j -0.0226511+2.38291e-15j 0.0878392-4.51443e-15j -0.212734-7.82055e-16j -0.0725448+3.17994e-15j -0.135854-1.11747e-15j -0.205725+1.26215e-14j -0.129948+5.32478e-15j -0.0519708+1.76111e-14j 0.124848-7.72792e-14j -0.116131-1.64801e-14j 0.116987-7.09508e-15j 0.0445731-6.29826e-15j 0.0643649+5.11546e-15j 0.168745-6.55713e-15j 0.0490827-7.60558e-15j -0.229662-3.14161e-15j 0.0212594+1.57966e-16j -0.224216+1.01476e-14j -0.0699204+4.25973e-15j 0.0667619-6.31816e-14j 0.217238-3.68919e-15j 0.0511039+7.05457e-15j -0.108734+4.98026e-15j -0.199724+5.41313e-15j 0.00960863+1.73832e-16j 0.0447678-1.43357e-14j 0.0593331+1.30452e-14j -0.217743-3.15495e-14j -0.00781307-5.65676e-14j -0.0420896-4.26781e-14j -0.122533-6.37834e-14j 0.117277+3.48241e-14j -0.0827441-2.84594e-13j 0.137081+5.20304e-15j 0.112145-1.06052e-15j 0.217382-5.85483e-16j 0.0982757+2.11425e-15j -0.0206176+2.75962e-15j -0.0391818+3.03908e-15j 0.117945+1.99636e-15j -0.177483+2.43908e-16j -0.159172+6.2763e-15j 4.61254e-05+1.75596e-15j 0.123969+1.34058e-16j 0.147876+2.25421e-16j -0.171919+5.23273e-15j 0.17691-2.36644e-14j 
-0.0954417-5.92748e-14j -0.0224222-1.27619e-14j 0.168258+5.01753e-16j 0.0338441-6.24388e-16j -0.0994706-1.34385e-15j 0.0134254-1.90041e-17j -0.211358+1.35864e-15j 0.126382-1.33617e-15j -0.16992+9.15951e-16j -0.00544036+4.35318e-15j 0.155707-1.80969e-15j -0.0173097-5.01227e-15j 0.25708+5.42518e-15j -0.139619-5.48699e-15j 0.0219415+1.51899e-14j 0.154271-1.14516e-14j -0.13945+8.91132e-15j -0.0276876+1.39963e-14j 0.0801011-2.1462e-14j 0.189411-2.91046e-14j 0.152242-1.51262e-14j -0.184244+2.83373e-14j -0.211508-1.62082e-14j 0.268284+6.61813e-14j 0.0947035+1.73727e-14j -0.0745227-1.96735e-15j -0.0405282-4.8755e-17j -0.014497+2.03262e-14j 0.0283579-2.76476e-14j 0.109717-4.04868e-16j -0.0300339+2.23565e-14j -0.229139+1.12999e-14j 0.188081+6.45991e-15j 0.255262+1.50367e-14j -0.151151+2.27378e-14j -0.0469759-5.88956e-15j 0.099262+8.78119e-15j 0.038675-4.16193e-14j -0.120182-4.32531e-14j -0.00244366+7.69008e-15j 0.229556-9.11989e-15j 0.0675079+9.66267e-14j -0.00856188-2.8367e-15j -0.199456-2.51747e-15j 0.0808424-2.95817e-15j -0.107853-3.98782e-15j -0.00192701+8.64021e-18j -0.240421-2.22632e-15j -0.053894+2.23964e-16j 0.0991964+1.83568e-15j -0.134713+5.28563e-15j 0.123241-1.26112e-16j 0.129882+5.76793e-16j -0.0874011+5.5187e-16j -0.10191+9.92311e-16j 0.0181454-4.50002e-15j 
0.0134861+1.00173e-14j 0.0160766+2.1561e-15j -0.00760356-1.29358e-18j 0.0135159+1.37591e-17j -0.00494727+1.29324e-16j 0.0167431+4.84264e-16j 0.00861082+1.39406e-18j -0.0076299+7.28483e-18j -0.0121157-1.06202e-16j 0.00181938-2.47418e-16j -0.0090509+3.75195e-16j 0.0165864+1.35117e-16j 0.0017576-3.20436e-16j 0.0124981+1.65752e-16j 0.0154665-1.1927e-15j 0.00768798-2.36104e-16j 0.00605661-1.48573e-15j -0.00917302+5.72356e-15j 0.00772694+1.58492e-15j -0.011788+9.78266e-16j -0.00567838+7.09692e-16j -0.00220944-8.1574e-16j -0.0098176+7.39719e-16j -0.00774478-3.93623e-16j 0.0162253-1.38947e-17j -0.00052715+1.58535e-17j 0.0178119-7.77724e-16j 0.00558209-6.28175e-16j -0.00554512+5.25985e-15j -0.018302+2.89727e-16j -0.00347757-8.73623e-16j 0.0117434-5.52604e-16j 0.0125429-5.07582e-16j -0.00452166-2.32592e-16j -0.00119572+7.6094e-16j -0.00385811-9.1503e-16j 0.0152427+2.2941e-15j 2.64107e-05+4.95978e-15j 0.00501248+3.91569e-15j 0.00944206+4.78266e-15j -0.0124053-2.53518e-15j 0.00535079+2.04148e-14j -0.0103956-3.58131e-16j -0.00565156+1.15286e-16j -0.017885+8.89133e-17j -0.00594493-1.05219e-16j 0.0016112-2.11888e-16j 0.00657173-2.03581e-16j -0.00825471-1.57919e-16j 0.0121533-4.36328e-17j 0.0142153-5.61316e-16j -0.0018305-1.31131e-16j -0.0114415-1.75574e-17j -0.0100555-2.74723e-17j 0.0147075-4.17027e-16j -0.0138489+1.88262e-15j 
0.00153375+8.77128e-16j -0.00022543+1.90073e-16j -0.00343774-8.06702e-18j -0.00137421+1.54648e-17j 0.0024608+2.15897e-17j -0.0010616-1.96619e-17j 0.00436103-3.46598e-17j -0.00249511+3.18981e-17j 0.00436994-2.08235e-17j 3.97505e-05-8.65951e-17j -0.0030899+2.63895e-17j -0.000363499+1.07719e-16j -0.00585945-1.01349e-16j 0.00257178+1.13803e-16j -0.00119513-2.85417e-16j -0.00381721+2.72442e-16j 0.0028603-1.35563e-16j 0.00103873-5.75892e-16j -0.00215147+4.13159e-16j -0.00372344+6.13186e-16j -0.00316505+3.10831e-16j 0.00424245-6.04512e-16j 0.00520063+3.25037e-16j -0.00568013-1.46459e-15j -0.0028654-3.86238e-16j 0.00169935+4.17466e-17j 0.000102887+3.7133e-17j 7.26177e-05-4.28277e-16j -0.000385918+3.83024e-16j -0.00163616-3.24463e-18j 0.000833031-4.63996e-16j 0.00461863-2.33135e-16j -0.00479763-1.16691e-16j -0.00553363-3.22054e-16j 0.00345245-5.49313e-16j 0.00123119+1.72488e-16j -0.0029233-2.97802e-16j -0.000870693+7.11514e-16j 0.00247449+7.92439e-16j -0.000373525-3.89084e-16j -0.00459797+3.24189e-16j -0.00176053-3.0967e-15j 0.000664222+7.88502e-17j 0.00474065+4.62456e-17j -0.00100592+6.26465e-17j 0.00269452+9.13879e-17j -2.97901e-05+9.52826e-18j 0.00510695+5.43783e-17j 0.00158623+1.13571e-19j -0.00278164-3.58632e-17j 0.00238357-9.51208e-17j -0.00268764+1.14486e-17j -0.00240081-1.02604e-17j 0.00242126-1.41183e-17j 0.00162376-4.3446e-18j 0.00022049+1.48528e-17j 
0.000994944+6.74258e-16j 0.000676272+1.45069e-16j -0.00119962-3.04904e-18j 0.000274492+3.82296e-18j 0.000385487+1.21116e-17j 0.000499077+1.65855e-17j 0.00147468-7.27121e-18j -0.000966844+7.56415e-18j 0.000532873-8.42464e-18j 9.27326e-05-3.27779e-17j -0.0011792+2.27844e-17j 0.000665218+3.25274e-17j -0.00137437-4.16548e-17j 0.0012076+3.64344e-17j 0.000407785-1.25783e-16j -0.000597343+5.55335e-17j 0.000985833-1.00492e-16j -0.000159964+1.18209e-16j -0.000182102+1.73936e-16j -0.00146112+1.95744e-16j -0.00104425+1.08549e-16j 0.000952421-1.85812e-16j 0.000843738+1.16185e-16j -0.00176266-3.8317e-16j 2.77528e-05-9.76648e-17j 0.000397799+1.16367e-17j 0.000836802-2.64386e-17j 0.000272268-1.34977e-16j -0.000348351+3.34599e-16j -0.00123971+1.214e-17j 4.83834e-05-1.54644e-16j 0.0016813-8.17332e-17j -0.000619579-5.38078e-17j -0.00157949-9.22387e-17j 0.000802499-1.00568e-16j 0.000129882+1.59064e-18j -3.13693e-05+2.94031e-17j -0.000214919+4.0223e-16j 0.000842511+3.7576e-16j 0.000337334+1.20993e-16j -0.00170631-3.6286e-17j -0.000193287+1.60514e-16j -0.000308607+3.62882e-18j 0.000919308+1.83332e-17j -0.00106428+1.95448e-17j 0.00039806+1.8844e-17j 6.59896e-05-7.31923e-18j 0.00156696+5.76333e-18j 1.77618e-05-6.53279e-18j -0.000136916-1.19621e-17j 0.0012391-4.86254e-17j -0.000750494-3.9645e-18j -0.00111704-3.94463e-18j 0.000143011-3.8296e-18j 0.00107292-1.9772e-17j -0.000576033+8.97107e-17j 
0.00464804+3.51867e-15j 0.00602442+7.51295e-16j -0.00201483-1.37362e-17j 0.00534374-8.38607e-18j -0.00241693+5.61836e-17j 0.00646885+1.7544e-16j 0.00217158+2.81405e-17j -0.00224654-1.53193e-17j -0.00552899-1.02834e-17j 0.000666415-7.1733e-17j -0.00263431+1.20033e-16j 0.00624626+1.92344e-17j 0.00203234-1.24366e-16j 0.00403668+4.45478e-17j 0.00602609-3.85233e-16j 0.00375425-1.72367e-16j 0.0015762-5.07257e-16j -0.00365169+2.2687e-15j 0.00337655+4.79066e-16j -0.00350179+2.03393e-16j -0.00136396+1.76165e-16j -0.00181947-1.39306e-16j -0.00487096+2.26047e-16j -0.00153935+1.72465e-16j 0.00670117+6.79652e-17j -0.000595884+4.53441e-18j 0.00659166-3.01193e-16j 0.00205626-1.33416e-16j -0.00196877+1.86287e-15j -0.0064127+1.04532e-16j -0.0014878-2.10357e-16j 0.00327448-1.30356e-16j 0.00578834-1.8752e-16j -0.000376675-3.67341e-17j -0.00125695+4.29209e-16j -0.00172288-3.73542e-16j 0.00634986+9.04346e-16j 0.000214801+1.67041e-15j 0.00127921+1.27885e-15j 0.00359501+1.86403e-15j -0.0035252-1.03773e-15j 0.00240193+8.30186e-15j -0.00401762-1.45935e-16j -0.00321527+5.65332e-17j -0.00640619+1.74337e-17j -0.00284251-4.59882e-17j 0.000605463-8.1461e-17j 0.00123859-6.48215e-17j -0.0034395-4.89916e-17j 0.00516901-2.42248e-17j 0.00471881-1.77639e-16j -4.71412e-05-6.41935e-17j -0.00368448-1.3283e-17j -0.00430496+7.32887e-18j 0.00508052-1.49265e-16j -0.00519581+7.00028e-16j 
0.00457602+3.22851e-15j 0.00413121+6.97725e-16j -0.00423848-2.69747e-19j 0.00270956+1.70581e-17j 0.000270144+4.37126e-17j 0.00376954+1.19298e-16j 0.00510154-2.8743e-17j -0.00363789+2.61578e-17j -0.000406157-5.01159e-17j 0.000509593-1.21555e-16j -0.00439927+1.21378e-16j 0.00417781+1.07321e-16j -0.00330929-1.40401e-16j 0.00498228+1.14043e-16j 0.00334386-4.97961e-16j -0.000415392+1.19946e-16j 0.00345477-4.87005e-16j -0.00177057+1.1488e-15j 0.000668656+6.92209e-16j -0.00553572+6.60897e-16j -0.00355059+3.94098e-16j 0.00214682-6.14078e-16j 0.000740609+3.966e-16j -0.00572142-1.03964e-15j 0.0024691-2.46456e-16j 0.000955121+2.81765e-17j 0.00480443-1.817e-16j 0.00153169-4.42833e-16j -0.0017238+1.64627e-15j -0.0059231+7.63163e-17j -0.000388116-5.33172e-16j 0.00610088-3.04233e-16j 0.000244107-2.01028e-16j -0.00476961-2.60352e-16j 0.00190727-1.57656e-16j -0.000232701-1.34639e-16j 0.00217042+4.24514e-16j -0.000554197+1.77946e-15j 0.00292834+1.54855e-15j 0.0022709+1.02283e-15j -0.00626363-4.58542e-16j 0.000288571+3.4379e-15j -0.00233718-4.64074e-17j 0.00155232+5.19143e-17j -0.00540593+6.43248e-17j 0.000155404+2.58325e-17j 0.000409391-5.00428e-17j 0.00503992-2.73156e-17j -0.00117338-4.53072e-17j 0.00143993-2.89942e-17j 0.00531775-2.1357e-16j -0.0022193-2.30509e-17j -0.00459102-8.09014e-18j -0.00111417-2.1353e-17j 0.00495894-1.15337e-16j -0.0035418+5.08885e-16j 
-0.000973574-7.37762e-16j -0.00126751-1.5749e-16j 0.000414949+2.94031e-18j -0.0011273+1.84998e-18j 0.00051456-1.18234e-17j -0.00136311-3.69023e-17j -0.000445559-6.09906e-18j 0.000466084+3.3531e-18j 0.0011739+1.99398e-18j -0.000140046+1.48656e-17j 0.000546115-2.51133e-17j -0.00131452-3.74355e-18j -0.000442353+2.60346e-17j -0.000842355-9.12463e-18j -0.00127034+8.03314e-17j -0.000799261+3.70417e-17j -0.000324178+1.0627e-16j 0.000770604-4.78613e-16j -0.000715581-9.96351e-17j 0.000726929-4.1135e-17j 0.000278767-3.61867e-17j 0.000393461+2.76521e-17j 0.00103764-4.68409e-17j 0.000309234-3.98819e-17j -0.00141657-1.51938e-17j 0.000129651-8.87424e-19j -0.00138597+6.34528e-17j -0.000432248+2.69691e-17j 0.000413049-3.90782e-16j 0.00134442-2.19732e-17j 0.000315011+4.30311e-17j -0.000676842+2.67238e-17j -0.00122953+3.92638e-17j 6.50965e-05+7.02808e-18j 0.000273147-9.17466e-17j 0.000365465+7.89633e-17j -0.00134284-1.90859e-16j -4.73943e-05-3.49453e-16j -0.000262705-2.66974e-16j -0.000756986-3.9298e-16j 0.00072962+2.19156e-16j -0.00050962-1.75374e-15j 0.000846604+3.08645e-17j 0.00068827-1.18881e-17j 0.00134466-3.50247e-18j 0.000604657+9.83497e-18j -0.000127405+1.71581e-17j -0.000247446+1.36584e-17j 0.000727377+1.02571e-17j -0.00109414+5.08137e-18j -0.000986287+3.70747e-17j 3.05654e-06+1.35901e-17j 0.000768723+2.81094e-18j 0.000911515-1.64494e-18j -0.00106429+3.13576e-17j 0.00109324-1.47199e-16j 
-0.00276724-2.06776e-15j -0.00339458-4.44917e-16j 0.0014402+1.17574e-19j -0.00290913-2.03097e-18j 0.00115615-2.64088e-17j -0.00357388-1.02721e-16j -0.00160916-2.19431e-18j 0.0014897+1.07867e-19j 0.00275412+2.10295e-17j -0.00038112+4.80453e-17j 0.00176108-7.75549e-17j -0.00350832-2.33364e-17j -0.000643232+6.31509e-17j -0.00251086-2.97258e-17j -0.00331137+2.37887e-16j -0.00179631+6.27049e-17j -0.0011415+3.06233e-16j 0.00197933-1.23175e-15j -0.00172683-3.14171e-16j 0.00230768-1.77097e-16j 0.00104767-1.34683e-16j 0.000662933+1.43206e-16j 0.00230911-1.40956e-16j 0.00136535+1.49351e-17j -0.00354899-1.48277e-17j 0.000190215-1.51406e-18j -0.00374455+1.65492e-16j -0.00117162+1.12269e-16j 0.00114923-1.08931e-15j 0.0037762-6.10816e-17j 0.000770866+1.62184e-16j -0.00225655+1.05156e-16j -0.00286398+1.01789e-16j 0.000693725+3.43228e-17j 0.000412705-1.86045e-16j 0.000869536+2.00553e-16j -0.00334487-4.96528e-16j -4.61654e-05-1.01077e-15j -0.000939708-7.87443e-16j -0.00200494-1.02482e-15j 0.00239684+5.49055e-16j -0.00120843-4.44152e-15j 0.00221921+7.898e-17j 0.00141072-2.24701e-17j 0.00371781-1.5782e-17j 0.00137705+2.61968e-17j -0.000340542+4.50536e-17j -0.00114516+4.50442e-17j 0.00181156+3.31051e-17j -0.00268796+7.75262e-18j -0.0028811+1.13595e-16j 0.000259972+2.83236e-17j 0.00229643+3.35139e-18j 0.00222956+4.91671e-18j -0.00302015+8.75127e-17j 0.00292542-3.95655e-16j 
-0.000379263-3.43453e-16j -0.00099625-8.35559e-17j -0.000467859-2.83305e-17j -0.00115143-1.37874e-17j 0.000940163+2.1121e-17j -0.00125661-4.91222e-17j 0.000653797+2.44711e-17j -0.000216582-1.01995e-17j 0.00186356+4.27216e-17j -9.54545e-05-8.91414e-18j -0.000291387-3.75942e-17j -0.00106252+1.09759e-17j -0.00165479-5.88098e-17j -4.6695e-05+3.7439e-17j -0.00121762-2.24713e-17j -0.00145918+5.0353e-17j 0.000404986+7.25967e-17j 0.000809565-4.73499e-16j -0.00102013-4.26942e-18j -0.000299793+7.84306e-17j -0.000507759+1.62988e-17j 0.0012527-7.56125e-17j 0.00194977+9.124e-17j -0.00105373-4.10417e-16j -0.00170434-1.32387e-16j 0.000480933+2.48259e-17j -0.00101035+4.8938e-17j -0.000305939-7.84748e-17j 0.00022078-2.06012e-16j 0.000632676-2.44015e-17j 0.000423285-6.35585e-17j 0.000539559+5.10899e-18j -0.00200176-4.72134e-17j -0.00120268-1.17128e-16j 0.000984346-1.5997e-16j 0.000550941+1.11027e-16j -0.00166245-2.43509e-16j -0.00023222-1.07847e-16j 0.000363594+9.36235e-19j -0.000648998-3.88629e-16j -0.000495527+1.9933e-16j -0.000778138-2.02681e-15j 0.000781562+5.1546e-17j 0.00158521+4.81769e-17j 0.00077536+9.95806e-18j 0.0010602+5.56645e-17j -0.000101751+1.39733e-17j 0.000970206+6.71679e-17j 0.000901125+2.60273e-17j -0.00144494-3.54933e-17j -0.000196591+2.2155e-17j -0.00060543-1.15005e-17j 3.04389e-05-1.76029e-17j 0.00122726+2.24886e-17j -0.000426569+3.11301e-17j 0.000865167-9.835e-17j 
0.000176089-5.08106e-17j -0.000241312+1.49816e-16j -0.000664577+4.20976e-16j -0.000463155+2.78147e-16j 0.000599664-3.65881e-16j -0.000432973+2.42602e-16j 0.000855409-5.5052e-16j -0.000457162+3.00231e-16j 0.00110462-6.80038e-16j -1.29708e-05-9.88289e-18j -0.000570888+3.67097e-16j -0.000277727+1.78026e-16j -0.00130831+7.96252e-16j 0.000415932-2.49648e-16j -0.000447079+2.1436e-16j -0.000930365+6.35281e-16j 0.000556164-3.65511e-16j 0.000337641-3.95929e-16j -0.000564863+4.16317e-16j -0.000677428+5.58182e-16j -0.00062763+4.57483e-16j 0.000958436-7.18944e-16j 0.00125971-7.13343e-16j -0.00115555+4.12227e-16j -0.000823095+4.12031e-16j 0.00037964-2.27405e-16j -0.000189881+1.17298e-16j -5.06368e-05-6.08402e-17j -1.86372e-05+3.88411e-17j -0.000141137+1.03076e-16j 0.000224505-2.27996e-16j 0.000874634-6.02795e-16j -0.00120368+7.18526e-16j -0.00116181+6.6186e-16j 0.000772777-6.10814e-16j 0.000316521-1.44695e-16j -0.000824095+4.05579e-16j -0.000191609+2.16713e-16j 0.000483856-1.7984e-16j -0.000194703-3.09043e-17j -0.000862199+6.52567e-16j -0.000450625-6.48249e-16j 0.000269945-1.35999e-16j 0.00110895-6.77416e-16j -7.6463e-06+3.61975e-17j 0.000662913-3.86179e-16j -2.57657e-05+1.90152e-17j 0.00104362-6.43841e-16j 0.000446974-2.68414e-16j -0.000756116+4.51823e-16j 0.000354098-2.50081e-16j -0.000568646+3.60897e-16j -0.000390976+2.53947e-16j 0.000651914-3.99118e-16j 0.000181294-1.24524e-16j 0.000213651-1.38041e-16j 
