0.448996-0.00552081j -0.0968782-0.526927j 0.190498-0.29275j 0.275684-0.152276j 0.106693-0.160891j 0.181675+0.140055j 0.103708-0.0300259j -0.334339-0.00718302j -0.0998658-0.0347575j 0.190937-0.129533j 0.101376+0.16681j 0.269061+0.164743j 0.173001+0.304598j 0.12853-0.517392j 0.445134+0.0347082j 
-0.0117098+0.00637511j -0.000596098-0.017977j -0.000956528+0.0068377j -0.0342721+0.000680613j 0.00929363+0.0356921j -0.00327516-0.0300348j 0.0350475-0.0227437j -0.00491786-0.00689336j -0.0467407+0.0150958j 0.0430232-0.0308493j -0.0182336-0.0176294j -0.0201555-0.00424916j -0.0164457+0.00555133j -0.0283536-0.00169052j 0.0237183+0.0141186j 
-0.0128426-0.00461777j 0.00734547-0.0288102j 0.0303151+0.00897688j 0.0111995-0.0085198j 0.0101244+0.00673819j 0.0418226-0.0157557j 0.00151765-0.0311278j 0.0285713+0.00380276j 0.012966+0.0460996j -0.020029+0.0290002j -0.0144271+0.00246311j 0.0469284+0.0225031j 0.00156158-0.0471034j -0.0140629-0.00739167j -0.0295138+0.0159628j 
-0.0100938+0.0102889j -0.0186583-0.0245415j -0.000332052+0.00190142j -0.0326438+0.0194559j 0.0334608+0.0388521j -0.0225528-0.0466758j 0.0124869-0.0467487j -0.00425017-0.0132474j -0.0253782+0.0337903j 0.0470839-0.0487181j -0.027594-0.0157164j -0.0219455-0.00155199j -0.0299072+0.0188527j -0.0346171+0.016219j 0.0374328+0.0106062j 
-0.0158429-0.0216146j -0.00361219-0.0197456j 0.00864107+0.00810014j 0.031818-0.0264586j 0.0222742+0.014416j 0.0332516-0.0155452j -0.0261607+0.00225901j 0.0284903-0.0135985j 0.0279593-0.0194038j 0.0119214+0.0294827j -0.0198722-0.0332887j 0.0417793+0.0179565j -0.00340712-0.0198427j -0.00382428-0.0106826j -0.0262475+0.019843j 
0.00505913+0.01909j -0.00413715-0.0154033j 0.0223563-0.0256676j -0.0202238+0.0137557j -0.0314881-0.0235008j 0.0042398-0.0393807j 0.0085157-0.0248254j 0.00646969-0.00208693j 0.0283042+0.0457704j 0.000473987+0.047738j 0.0267005+0.0532548j 0.0154516-0.0419686j -0.036788-0.0334066j -0.0120608+0.0060867j 0.00218167+0.0230707j 
0.0120455+0.0176639j -0.000763322+0.0224256j -0.0139688-0.0133856j -0.0299243-0.0116522j 0.0339605+0.0302135j -0.00824565+0.0407046j -0.0174199+0.011642j -0.0107116-0.000731224j -0.00722202-0.0278654j -0.0278581-0.048074j -0.00581553-0.0386519j -0.00687334-0.00994297j 0.00455613+0.0229969j 0.00915948+0.00307789j 0.0232742-0.0131492j 
-0.0107128-0.0243006j 0.00667103+0.00273203j -0.0183666+0.0460335j 0.0235962+0.0290254j -0.0178492-0.0131896j -0.0324936+0.00101359j 0.0476573+0.00204492j -0.0250251+0.0147047j -0.0699926+0.00739449j 0.0372817-0.0433243j -0.0178024+0.0112711j -0.0600847+0.0519021j 0.0395689+0.0369344j -0.00342291+0.00202175j 0.0020144-0.0300557j 
-0.015307+0.00518946j -0.0175162-0.011236j 0.00466915+0.00394518j -0.0184071-0.01567j 0.0737688+0.0172544j 0.00709003-0.0194327j -0.0238449-0.00523049j 0.00602184-0.022947j -0.00868842-0.00736934j 5.12472e-05-0.035922j -0.0631352-0.031779j 0.0265897+0.000867064j -0.00809723+0.00669514j -0.0169554+0.00736632j 0.0145257+0.00959594j 
0.0184813+0.00263662j 0.00384747+0.00162499j -0.00459272-0.0122197j 0.0118684+0.0349144j -0.0675774+0.00125553j -0.0299991-0.000254656j 0.0145275-0.025567j -0.00501662+0.0193571j 0.0248469+0.0303413j 0.0184371+0.0185299j 0.0723404+0.0303216j -0.0388921-0.00501742j -0.0132099+0.00443643j 0.00577297+0.00710455j 0.00481312-0.00805387j 
-0.0196165+0.0258925j 0.00929447+0.00856465j 0.0563762+0.0277756j 9.30622e-05-0.0477554j -0.0143515-0.00648777j -0.0357483+0.084912j 0.0719114+0.0206546j -0.0212514-0.000272847j -0.0705531+0.0215483j -0.0365018-0.0828014j -0.0134125+0.00860621j 0.00317384+0.0463712j 0.0549312-0.0299169j -0.00887087+0.00745348j -0.019283-0.0247907j 
