0.465522-0.0853809j -0.116551-0.441625j 0.00826159-0.130025j 0.2778-0.0530448j -0.0993421-0.264043j -0.17297+0.0753799j 0.11101+0.0143391j 0.192652+0.0325205j -0.105403-0.35954j -0.0376897+0.0457755j -0.203655-0.00263185j 0.0906407+0.00151735j 0.0352299+0.0452412j -0.115546+0.354752j -0.196511+0.0291442j -0.113686+0.0086784j -0.169863-0.0805209j 0.110134-0.259241j 0.270421+0.0654548j 0.00198272+0.122833j -0.142539+0.436242j -0.45913-0.111967j 
-0.0576993+0.0386872j 0.0165376+0.0909399j 0.22725-0.0869191j 0.150412+0.193253j 0.0917417-0.153336j 0.00986164+0.0119923j 0.0592558+0.0323907j 0.0339817+0.0135041j 0.0515148-0.020925j -0.107989-0.114842j -0.0462432+0.0751086j 0.121629+0.0250561j -0.00872012+0.015816j 0.011579+0.0531544j 0.034195-0.10576j 0.102316-0.139588j -0.0683958-0.0538134j 0.0552066+0.0288436j -0.0870704-0.0736559j 0.0845908-0.0482394j 0.162269+0.0661144j -0.0674119+0.192657j 
-0.057838-0.196287j -0.164675+0.0560285j -0.0853198-0.0486131j 0.0876858-0.0712192j 0.0574825-0.0257607j 0.0699246-0.0539559j 0.0982543+0.141677j 0.0312571+0.108166j -0.0141121+0.052046j -0.00606397-0.0156642j 0.0446947+0.0742194j -0.123909+0.0221868j -0.109413+0.111849j -0.0524489-0.0230373j 0.0338658-0.0122158j 0.0602031-0.0289726j -0.00780763+0.00996338j 0.0856795+0.157118j -0.160051+0.186376j -0.221919-0.0965099j -0.0248809+0.0885971j -0.0568982-0.0454047j 
0.00207627-0.0016764j -0.00600319+0.0133062j 0.018577-0.0148524j -0.0361144-0.00822643j 0.0368503-0.0331646j 0.00891109+0.136662j 0.0361866+0.00872548j 0.033494-0.0309128j -0.0802433+0.0406971j -0.0608952-0.0761685j -0.0360797+0.00487903j 0.0619599+0.0292999j -0.00886186+0.00121503j 0.0104662+0.0342656j -0.0398866+0.0145239j 0.0481681-0.00653173j 0.0294687-0.00487946j -0.0319402-0.0176119j 0.0241824+0.0299308j -0.0567934-0.0179422j -0.0317939-0.0475206j 0.0689349-0.0327242j 
0.00065082+0.00353854j -0.00201853-0.0173542j -0.00984591+0.00768703j 0.0566875-0.0332437j 0.0110802+0.0803496j -0.147502-0.0952797j -0.0477153+0.0461537j 0.00257011+0.0642369j 0.00587661-0.12583j 0.14356-0.0111943j 0.0251614-0.0460727j -0.0710015+0.0480966j -0.00106418-0.0106919j -0.0585084-0.0135392j 0.0215207-0.0586138j -0.0200212+0.0706326j 0.000612903+0.0327835j 0.0461501-0.0119442j -0.0367624+0.000161847j 0.0565079-0.0252301j 0.0889985-0.000801825j -0.0167547+0.106254j 
-0.0117221+0.010087j -0.0166083+0.0433617j 0.137258+0.020035j -0.0429547+0.0691094j -0.0640381-0.012468j -0.0685041+0.0324026j -0.0466648-0.0596245j 0.0120234-0.0249897j 0.0425065-0.073004j 0.0140434+0.0497503j 0.00245223+0.0110242j -0.0457121+0.0407137j 0.0108481-0.0501967j -0.00306621-0.0524878j -0.0117263+0.0259184j -0.0862761+0.0383971j -0.0484596+0.0846561j -0.0492252-0.02125j -0.0349248+0.0889634j -0.0758521-0.1076j -0.00255614+0.0525562j -0.0176636+0.0148552j 
-0.0177143-0.019313j -0.0011782+0.0533889j 0.0759834-0.104017j 0.0321682+0.0906995j -0.0484385+0.0199991j 0.0515767+0.0861846j -0.0849148-0.0409406j -0.0107317-0.0264734j 0.00515333-0.0498477j 0.00784898+0.0510312j -0.00270121+0.0104205j 0.0482509+0.0405352j 0.0174547-0.049009j -0.0408679-0.0758741j 0.0112281+0.0233754j -0.0479727+0.0567756j 0.0715161+0.0290288j -0.0635778+0.0106494j 0.0393928+0.0688612j -0.138215+0.0174483j 0.0128763+0.0434106j -0.0130614-0.0130407j 
0.0121563+0.106366j 0.0885811+0.00656202j 0.0583997+0.0243849j -0.037158+0.0013439j -0.0479337-0.0118761j 0.000954133-0.0309251j 0.0176588+0.0702254j -0.0220574-0.0589472j -0.0574706+0.0112304j 0.00224534-0.00868604j 0.0237478+0.0470431j -0.0702742-0.0488234j -0.143028-0.0147919j 0.0013188+0.123024j -0.00451002+0.0670093j 0.0444028+0.0495079j -0.149922+0.0923915j -0.014145+0.081344j 0.0548873+0.0368756j -0.0141026-0.00941833j -0.0018812+0.0185457j -0.00145563+0.00324542j 
0.0673696+0.0353806j 0.0345397-0.0450733j 0.0570772-0.0182774j -0.0246112+0.0307391j -0.0326381+0.0183762j -0.0285124-0.00371094j 0.0472862+0.00689457j -0.04017-0.0145555j -0.0109666+0.0331404j -0.00777309-0.00111794j 0.0358376+0.00594996j -0.0618555+0.0287292j -0.061985+0.0744329j 0.0776414+0.0417785j 0.0341875+0.0330832j 0.0363657-0.00603499j -0.011405+0.136855j 0.0359775+0.0345913j 0.0369394-0.00659048j -0.0202177-0.0139222j 0.00636849+0.0131012j 0.00196809+0.00176228j 
-0.0040171+0.00260423j -0.00194926+0.000549163j 0.00998959+0.0044657j 0.0190072+0.00195802j -0.00232573+0.0103681j -0.0131399-0.0188193j -0.000136535-0.00291318j 0.0115687-0.00338764j 0.0157896+0.0109001j 0.0304256+0.0226816j -0.0426539+0.0226909j 0.00684701-0.000205933j 0.00115068+0.00899139j 0.0279935+0.0356419j 0.0371201-0.00562931j -0.00670207+0.00652395j 0.00486854-0.0308669j -0.00218824-0.00141169j 0.0144729-0.000709703j -0.0235101-0.0207787j -0.0029102-0.0137362j 0.0180725+0.0100183j 
-0.00442346+0.0113047j 5.61455e-06-0.00938616j 0.000452743+0.00143207j 0.0466626-0.0127769j 0.0187238+0.0286036j -0.0231836-0.0351123j -0.00225957-0.0231807j 0.00108309-0.0394677j 0.0339167+0.000370302j 0.0756096-0.0349545j -0.00965151+0.0689685j 0.0333223-0.0146751j 0.0298972+0.0213989j 0.0740524+0.0121373j 0.0241594-0.0546528j 0.0300207+0.0283647j -0.0350226-0.0265358j -0.0210268-0.0193944j 0.018076+0.0072731j -0.0460432-0.0266295j -0.0322337-0.0100877j 0.0270899-0.00571891j 
