-0.0273335+0.0702607j -0.0671312-0.0345806j -0.0172704-0.0886373j -0.112756+0.0434144j 0.0466554+0.0775121j 0.0273556+0.0437693j -0.0128827-0.0730587j -0.0520284-0.0175591j 0.0798677-0.0796954j 0.0302022-0.0343371j -0.00945531+0.0343765j -0.00251533-0.00391907j -0.103091-0.0485129j 0.0654113+0.00118513j 0.00277477-0.0876535j 0.00742679+0.0131741j -0.0091403-0.014393j -0.0430025-0.0292896j 0.0164811-0.0377136j 0.0140701+0.0453586j -0.0865104-0.0307415j 0.0199133-0.0250676j -0.0135717+0.0152476j 0.0368019-0.133442j -0.00302828+0.0058768j 0.0179908+0.0264723j -0.0232059-0.0362058j 0.00825354-0.00879979j 0.0582475-0.00443328j -0.0928712+0.0259149j -0.0396288-0.0127713j -0.102981+0.0203357j 0.00706638+0.000314694j 0.0398026+0.111762j 0.0741449+0.0295025j 0.0303287-0.0644027j 
0.0396595+0.100137j -0.104129+0.0293048j -0.0408601-0.014187j -0.00911787+0.0572697j 0.0434691-0.000615616j -0.0411408-0.0474757j -0.058897+0.056715j 0.000272193-0.0618805j -0.0443619-0.0372174j 0.00919677-0.00649134j -0.020936+0.01125j -0.0852067+0.0253093j -0.00959004+0.0109784j -0.047767-0.0690415j -0.0231454+0.0388638j -0.0774483-0.0231157j 0.0310525+0.0830623j 0.0553314+0.000610433j -0.0262606+0.123864j -0.0111917-0.0659102j -0.0219977+0.0171633j -0.0159342+0.0182986j 0.0750575-0.0152295j -0.0598933+0.0116789j -0.000342687-0.0037675j -0.0848879+0.0562726j -0.0156409+0.0268344j 0.0237904-0.0430649j -0.0555422+0.0199656j 0.0415335+0.0398608j -0.0376207-0.0172444j 0.0323008+0.0187626j 0.111921+0.0188448j 0.0071456-0.031626j -0.0797182-0.110566j -0.0588053+0.0933972j 
-0.0334486-0.0257215j 0.0291223-0.0308445j -0.0685821-0.0350427j -0.0302463+0.0985726j 0.0765813+0.0095342j 0.0936426-0.00359555j 0.0122703-0.0692604j 0.0649548+0.118696j 0.0016022+0.0270453j -0.0417635+0.0206348j 0.0423464-0.0452358j 0.0967242-0.0901161j 0.0412095+0.0554954j 0.0756248+0.0278087j -0.0390558-0.0198248j -0.037626-0.0163129j 0.0211709+0.0523693j 0.028269+0.0302308j -0.0437338+0.0619187j -0.00248188-0.00795137j 0.102252-0.0473197j -0.0255067-0.00184976j 0.00860907-0.0118326j 0.0674621+0.124994j 0.0171684-0.0117041j -0.0701562-0.0319565j 0.0346681+0.012107j -0.00564943+0.0647976j -0.0673693+0.0428135j 0.0443549-0.0614967j 0.0776894-0.0269783j 0.0491752-0.0804733j 0.0195263+0.0442456j -0.0945978-0.0569543j -0.0647876-0.0198526j -0.0178553+0.0752124j 
-0.0727561-0.0651907j 0.0725368-0.0660925j -0.00401838+0.0225658j 0.0307743+5.0022e-05j -0.00395977-0.0227675j -0.0165811-0.0174109j -0.0267513-0.0261728j 0.0200607-0.0713584j 0.0620597-0.0276331j 0.037713+0.00466026j -0.0397889+0.00395326j -0.0613116-0.0270159j -0.0206112-0.0706841j 0.0254672-0.0273401j 0.0166861-0.016454j -0.10042-0.020977j 0.0070942+0.154024j -0.106051+0.01502j -0.103298+0.0503997j 0.0382702+0.0624197j -0.0257256+0.0751646j -0.0116593-0.115589j 0.0610478-0.0178779j -0.105983-0.0429376j 0.046499+0.0205568j -0.0458741+0.00196385j -0.0490008+0.0196073j -0.104871+0.0367193j -0.0578832-0.0269398j -0.01893+0.116078j 0.0207668+0.0733156j -0.041173+0.0643172j 0.104527+0.0511139j 0.107323+0.0205355j 0.0106295-0.15435j -0.100426+0.0185733j 
-0.0293941-0.0304073j 0.0334022-0.0263091j 0.0755166-0.00949574j -0.0300723-0.0972912j -0.0678629+0.0347919j 0.0395529-0.0194819j -0.0763643+0.026681j -0.0431942+0.0558623j -0.0984234-0.0939707j -0.0385531-0.0423986j 0.0413647+0.0213844j -0.00360635+0.0269236j -0.0666203+0.119801j -0.0125955-0.0689672j -0.0943912-0.00445625j -0.0147988-0.0744949j -0.0629574+0.0154344j 0.0982544-0.0536446j -0.0182511+0.0449319j -0.0454256-0.0822753j -0.0770098-0.032234j 0.0451725+0.0667506j 0.0615863+0.0400893j -0.00120967-0.0634751j -0.0356238+0.00990693j -0.0716799+0.0308525j -0.0156623-0.012621j 0.0727135-0.121925j -0.00698846-0.0101698j -0.0257614-0.00162415j -0.100166-0.0516982j 0.00209309-0.0095588j 0.0425431+0.0614447j -0.0298166+0.0292858j 0.0207559-0.0509024j -0.0370021+0.0158358j 
0.103583+0.0275139j -0.0378505+0.100756j 0.045342-0.000312404j -0.0110737-0.059748j -0.0427193+0.0158604j 0.0242841+0.0375279j 0.0466912-0.0695732j 0.0119092+0.010623j 0.0858951+0.0257237j 0.017288+0.0111912j -0.00715274-0.0084039j 0.0438447-0.0386494j 0.000530687-0.0624343j 0.0591812+0.0551451j 0.0405744-0.0461545j -0.057096-0.0940142j -0.0799492+0.109407j -0.00664687-0.0301961j -0.113209+0.0182117j -0.0309985+0.0189599j 0.0377008-0.0156479j 0.0437954-0.039462j 0.0515325+0.0227116j 0.0224037+0.0432778j 0.0156612+0.0265007j -0.0849032-0.0578257j -0.000844226-0.00365519j -0.0605538-0.00992489j -0.074428-0.0152311j -0.0203455-0.0179141j 0.0234989+0.0184414j 0.0121853-0.0646263j 0.0257728+0.124736j -0.0539139+0.000169072j 0.0327553-0.0846062j -0.0790639+0.0209736j 
0.0644687-0.0350483j 0.028633+0.0676882j 0.0458712-0.0772791j -0.112518-0.0425346j -0.0168211+0.0884435j -0.0026202-0.0887683j -0.0675686+0.00268023j 0.103522-0.0480106j 0.00117569-0.00273472j 0.00958919+0.0352642j -0.0330927-0.0382152j -0.0786843-0.0793666j 0.0529775-0.0152421j 0.0137743-0.0739677j -0.028689+0.0445138j 0.0296546+0.066644j 0.075823-0.0288257j -0.043508+0.111533j -0.00555187-0.000409278j 0.102727+0.0229275j 0.0414647-0.0100158j -0.0964348-0.0282726j -0.0525504-0.00459055j 0.00560855+0.00879853j 0.0241397-0.0362269j 0.0214095-0.0251717j 0.00299135+0.00700353j 0.0342685+0.135053j 0.0130605+0.0126277j 0.021742+0.027918j 0.087478-0.0289348j -0.0141695+0.0470713j -0.0163004-0.0407944j 0.0457939-0.0286965j -0.00996358+0.0153972j 0.00908059-0.0131359j 
-0.0288374+0.0420239j 0.0293796+0.0410447j -0.0350164-0.0871792j -0.00707572-0.0288308j -0.00636344-0.0934428j 0.0484935+0.0393183j -0.0333428-0.0520901j -0.0464285-0.0205844j 0.0247408-0.0198118j 0.02667-0.0105914j -0.0707076+0.0158245j 0.0330778-0.00975293j 0.0392133+0.0206233j -0.0417803+0.00787925j -0.0450095+0.0866782j 0.0114488+0.010014j -0.0212194-0.00823091j -0.0459095-0.0210437j 0.0042091-0.0276132j 0.0209161+0.0162344j -0.0734778-0.0223241j -0.00127358-0.00905986j 0.0090666-0.00339432j 0.0215518-0.0468537j -0.0126557+0.00188809j -0.000851011+0.00436989j 0.0558041-0.0760771j -0.000111343+0.0073411j -0.0232382-0.0263169j 0.0261194+0.0247037j -0.0069685-0.00217765j -0.0265576-0.0301778j -0.0507053-0.0152758j -0.00143599-0.0810021j -0.0632552-0.0198111j -0.0551179+0.0482711j 
-0.0227573-0.0755914j -0.0782239-0.00433599j 0.0615619+0.0154461j 0.0183783+0.00752125j 0.0535175+0.0336809j 0.0329723+0.0377238j 0.0528743-0.0200038j 0.00682764+0.0100435j -0.0142441+0.0229878j 0.0417896-0.00917127j -0.0127523-0.0276418j -0.0207677+0.0166916j -0.00221947-0.0156532j -0.00155905-0.0594716j -0.0369696+0.00445766j 0.0714947+0.0184918j -0.0163065-0.0496654j -0.0439474-0.00386802j 0.0147413-0.0431488j -0.0221402+0.0472821j 0.0182584-0.0135592j -0.0168482+0.0335506j 0.0211362-0.0496593j 0.0260584-0.00578944j -0.00376598+0.0171332j -0.018812-0.0344943j 0.032693+0.00938785j -0.0111362-0.0110949j 0.0637725+0.00252188j 0.0331027+0.0251095j -0.0167986-0.0360486j -0.0198705-0.0294928j 0.0342255-0.0038641j -0.00368038+0.0129936j -0.01115-0.0782114j -0.0759774+0.0369005j 
0.0355389+0.0435671j 0.0527209-0.0184464j 0.0465966+0.0155528j 0.01397+0.00709911j 0.0395827+0.0291521j -0.102299+0.0177323j -0.0329522+0.0310411j -0.0137501-0.0551972j 0.0280792-0.0320091j -0.0430205+0.0669839j 0.00987949-0.0215773j 0.0370582-0.0173621j 0.00849437+0.0615204j 0.0315482+0.0600823j -0.0298184-0.0514567j -0.00300833+0.0310221j 0.0191778-0.0282558j 0.0142033-0.0370491j 0.0297001+0.0243843j 0.00288742-0.0051844j -0.0545078+0.00437401j -0.00936638-0.0160221j 0.0418965+0.0388289j 0.0137773-0.0170682j 0.0154521-0.023657j 0.0308586+0.00190689j 0.0225525-0.0366483j -0.00966864+0.00706053j -0.0391708+0.0189119j -0.0105976+0.0317582j 0.0282116+0.0313026j -6.00694e-05-0.0363141j -0.0373728+0.014117j -0.00531657-0.0496401j 0.00539588-0.00503277j -0.038875-0.0199587j 
0.0505258+0.0504265j 0.064184-0.0300652j -0.0157976-0.0333672j -0.00313009-0.0111022j -0.00452865-0.0368271j 0.0371548+0.0324703j 0.0209342+0.0163221j -0.0195485+0.0299667j -0.0281958-0.00486559j 0.0394313-0.00136873j -0.00357089+0.00876669j -0.0234808-0.0152176j 0.0247931-0.0286031j 0.0240175-0.0276449j 0.000105028+0.0255045j 0.0877163-0.0047893j 0.0216602-0.0768523j 0.0586544+0.0434125j 0.00243341+0.0440471j -0.0106407+0.0314444j 0.0303446+0.0509128j -0.0104587+0.0472677j 0.0355287+0.00904263j -0.0108426+0.0171979j 0.0837542-0.00892235j 0.00937793-0.0229691j -0.0532709+0.0290682j -0.0455662-0.0106692j 0.0315471+0.0388573j 0.000757158-0.00304246j -0.00058177+0.0533937j -0.0094887-0.0196415j 0.0546596+0.0471282j -0.0432045+0.0837276j 0.0383407-0.0227711j 0.000383279+0.010736j 
-0.00532556-0.00036549j -0.00215435+0.00479391j -0.0398888+0.00676056j -0.0128219+0.00017655j -0.0400903-0.00590817j -0.00356914+0.00483395j 0.0662224-0.0354852j 0.0483207-0.0118894j 0.00272448+0.047995j 0.0100925-0.0129145j 0.00559938-0.055807j -0.0157331+0.047629j -0.0454821+0.00152569j -0.0207258-0.0630938j -0.0411199-0.0465777j -0.0443358+0.045087j 0.0440938+0.0254202j 0.000818795-0.00095761j -0.00640833+0.0341298j 0.0103032-0.0430287j -0.0879711+0.0404385j -0.0182171-0.0407935j 0.017622+0.0648954j -0.0215379-0.0273945j 0.00573381+0.00523685j 0.044182+0.0247243j -0.0253524-0.0815323j 0.0101885-0.00190641j -0.0929371+0.0288082j -0.0142998+0.00725847j 0.0144904+0.038523j 0.00547967-0.00892028j -0.0799974+0.0445035j -0.0554253-0.0780576j 0.00348274+0.072487j 0.015119-0.0150646j 
0.00695309-0.0108694j -0.00782284-0.0102359j 0.0877359-0.0142066j 0.0280656-0.000311177j 0.0877312+0.0137032j -0.00721156-0.0114113j -7.68116e-05+0.0028481j 0.00812947+0.000201949j 0.000524848+0.00334345j -0.00836136-0.00172186j 0.00852828-0.000570302j -0.00125316+0.00360428j -0.00859631-0.000524792j -0.000427316+0.00272323j 0.00813716-0.0111865j 0.0378746-0.0676481j -0.0463139-0.0529658j 0.0621882-0.0071976j 0.0259443+0.0538608j 0.0684597-0.0125389j -0.0718789+0.0955693j 0.0221127+0.00572205j 0.0613752+0.0280407j -0.0365867-0.0484202j 0.0657555-0.0917921j 0.0304971+0.000626922j -0.0651803-0.0914743j -0.0372281+0.0485692j -0.0633256+0.02638j 0.0168607-0.00320353j 0.0716321+0.0969777j -0.0667453-0.0122501j -0.026594+0.0534593j -0.0613529-0.00770787j -0.0476929+0.0522409j 0.0371185+0.0678605j 
-0.00174459-0.00462931j -0.00486659+7.88312e-05j 0.0402389-0.00685504j 0.0128745-0.000174368j 0.0404354+0.00602775j -0.0406477+0.0454822j -0.0204837+0.0628293j -0.0449669-0.000453677j -0.0153285-0.0457223j 0.00612826+0.0570381j 0.0108168+0.0112725j 0.00246174-0.0480903j 0.0472054+0.0108512j 0.0670132+0.0358415j -0.0027901-0.00530034j -0.0151119-0.0154102j -0.0051634+0.0730188j -0.0563457+0.0758218j -0.0788649-0.0458721j 0.00404604+0.00858841j 0.0140479-0.0375227j 0.0072578+0.00491104j -0.0927683-0.030199j -0.0105713-0.00305569j -0.0270051+0.0807181j -0.0433555+0.0239148j 0.00517688-0.00627254j 0.0224361-0.0270816j 0.016002-0.0597375j 0.0194615-0.0448789j -0.0866622-0.0416777j 0.00837108+0.042767j -0.00613457-0.0333329j 0.000657461+0.00013413j -0.0447021+0.0248729j 0.0430181+0.0455551j 
0.0653473+0.0286037j 0.0489088-0.0512253j 0.0045511-0.0365841j 0.00334486-0.0113546j 0.0156105-0.0336028j 0.000559274-0.0259725j 0.0245229+0.0254429j 0.0261455+0.0287224j -0.0232601+0.0162958j -0.00310139-0.0105334j 0.0380852+0.00091376j -0.0288559+0.00613706j -0.0206898-0.0298119j 0.0188092-0.0168256j 0.0372309-0.0324085j -0.000624006+0.0106249j -0.0387362-0.0238636j -0.0416755-0.0839444j 0.0550631-0.0467637j -0.0090078+0.0192875j -0.000382295-0.0536926j 0.00168426-0.00628071j 0.0311266-0.0382851j 0.0463012-0.00985855j -0.0524516-0.0298384j -0.00961294-0.0223502j 0.0845734+0.00917585j 0.0103203+0.0174009j 0.0343057-0.013164j 0.013172+0.0458889j 0.0307903-0.0503603j -0.00985149-0.0316558j 0.00217955-0.0440272j 0.059319-0.0428728j -0.0196695-0.0773261j -0.0874985-0.00636701j 
-0.0537435-0.0170421j -0.0342248+0.0443365j 0.037652-0.0289173j 0.0130116-0.00718224j 0.044841-0.0156921j 0.0301621-0.0517273j -0.0317684+0.0595701j -0.00876699+0.0630803j -0.0381801-0.019069j -0.00832079-0.0212417j 0.0425333+0.0660693j -0.0299626-0.0345312j 0.0134294-0.0555861j 0.0333388+0.0300947j 0.102536+0.0177378j -0.0381252+0.0202999j 0.00539375+0.002995j 0.00575651-0.0509218j 0.0381944+0.0147886j 0.000337145-0.0360548j -0.0288982+0.0303429j -0.00808969-0.0300198j 0.0419723+0.0220148j -0.00824545-0.00691684j -0.0216056-0.037435j 0.0313995-0.00201715j -0.0134878-0.023364j 0.0130215+0.0173232j -0.0410624+0.0376821j -0.0125226+0.0202944j 0.0551862+0.00495307j -0.0015436-0.00656481j -0.0293333+0.0249939j -0.0138674-0.0375503j 0.0201469+0.0267195j -0.00455761-0.0314741j 
0.0779213-0.0070574j 0.0199488-0.0750348j 0.0542997-0.0361555j 0.0187158-0.00892033j 0.0626061-0.0174857j 0.0369948+0.00223511j 0.000651371-0.0596051j 0.00287228-0.0155015j 0.0221874+0.0161081j 0.010365-0.0290609j -0.0403168-0.00727945j 0.0162047+0.0229425j -0.00725095+0.0098666j -0.0531755-0.0185013j -0.0310694+0.0367861j -0.0749404-0.0369534j -0.0104911+0.0779634j 0.00357782+0.0137392j -0.0358699-0.00368577j 0.0181337-0.0287146j 0.0167457-0.0354529j 0.0278834-0.0250666j -0.0660016+0.00541089j -0.0116193+0.0114538j -0.0321201+0.0118342j -0.0185507+0.034247j 0.00282928+0.0173297j 0.025527+0.00428414j -0.0203624-0.0459526j -0.0184536-0.0375317j -0.019625-0.0136876j 0.0223111+0.0472795j -0.0148257-0.0416292j 0.0422962-0.00382077j -0.0161692+0.0501873j 0.0712414-0.0173895j 
-0.0268099+0.0417854j 0.0297791+0.0391215j -0.00453067+0.0928788j -0.00556755+0.028756j -0.0331519+0.0865669j 0.0456762+0.0871392j 0.0430376+0.00663373j -0.0396186+0.0205112j -0.0303508-0.00876154j 0.0722162+0.0156356j -0.0283261-0.0115983j -0.0226961-0.0186925j 0.045797-0.0194571j 0.033299-0.05252j -0.0491277+0.0395581j -0.0556214-0.0493844j -0.0638462+0.0198385j 0.00275143-0.0811422j 0.0502323-0.0153094j 0.0272735-0.031112j 0.00720961-0.00351689j 0.0290731-0.0271507j 0.0200744-0.0235129j 0.000269477-0.00668135j -0.0556986-0.0764162j -0.000967029-0.00264848j 0.0136795+0.00315505j 0.021155+0.047062j -0.00948381-0.00563683j -0.00183086+0.0079699j 0.0734407-0.0217048j -0.0198751+0.0170225j -0.00438129-0.0291011j 0.0475208-0.0207648j -0.0217031+0.00862693j 0.0126479-0.00973397j 
