-0.0122166+0.0812254j 0.085733+0.0150075j -0.0223654+0.0405073j 0.0322247+0.0304653j -0.00981371+0.00142165j 0.000609594+0.0124354j -0.017356+0.00615598j -0.0134462+0.0228753j 0.00416465+0.0152126j -0.0225637+0.00211352j -0.0117083-0.0019657j 0.00304832+0.00800878j -0.00965835-0.00706878j 0.000356331-0.00269704j 0.000733019-0.00351956j -0.00734536+0.016434j -0.000828631-0.000260196j 0.0109159+0.00238065j -0.00628646+0.0134634j 0.0160252+0.00502309j -0.00144829+0.00923205j 0.00701768+0.01724j -0.0107057+0.0264701j -0.00552344-0.00484304j -0.0178409-0.0212844j -0.00142861+0.00242045j -0.0251579-0.00353094j 0.00830119+0.0212541j 0.00595144+0.00980381j 0.00319361-0.0117619j 0.0111196-0.0111972j -0.0141048-0.000196625j -0.00907963+0.0138199j 0.00464082+0.0040742j -0.00656836+0.0100355j -0.0351113-0.000766357j 0.00219662+0.0166769j -0.00607815+0.019932j 0.0211561+0.00396574j -0.027974-0.0206744j 0.0223485-0.0101122j -0.00592235-0.0115526j 0.0128448-0.0265873j 0.000418343+0.0141201j 0.00728796-0.00682623j 0.0250479+0.0011426j 0.00480284-0.0064874j 0.0104894+0.00146957j -0.0267498+0.00875553j -0.0127717-0.0179121j 0.016821+0.00309166j 0.0114903-0.00878678j 0.0212844-0.00881278j -0.00951123-0.00103369j -0.0105436+0.0156908j 0.00366724+0.0378157j -0.00571817-0.00509895j 0.000703965+0.0027219j -0.00329543-0.00167937j 0.0143646-0.0212616j -0.00313037+0.00952736j -0.00804824-0.00364574j -0.011128-0.0181976j -0.0103997-0.0250117j -2.59735e-05-0.000295288j -0.00121649-0.000679404j 0.00209865+0.00255937j -0.0165249-0.0319267j 0.00667454+0.0166585j 0.000918661+0.00974288j 0.00172413-0.0181376j -0.00557256-0.00936669j 0.00032203+0.0153505j -0.00149626-0.0123016j 0.00509905+0.0129903j -0.0124474+0.00991776j 0.0107698-0.0401507j -0.0144593-0.000985168j 0.0175538-0.00433663j -0.00196049+0.0125986j 0.0187246-0.00415653j 0.0256671+0.0114314j 0.0334649-0.0153106j -0.00627021-0.000939671j 0.00470027-0.0107251j -0.00049231+0.00364902j -0.00229448-0.00829148j -0.0195193+0.00620586j -0.00981761+0.0256176j 0.000948431+0.00450069j 0.00971727-0.00229099j -0.037921+0.0300137j 0.0227018+0.04447j 0.0895634+0.0159411j -0.0162086+0.0866667j 
-0.0176693+0.0196729j 0.0217904+0.0149695j 0.0132478+0.0137842j 0.0132791-0.0113281j 0.0156112+0.00348041j 0.00828786-0.0098645j -0.000639746-0.00579908j 0.00388542+0.0135371j 0.00595593-0.0044364j 0.0102275+0.00313372j 0.00222382+0.00212822j 0.000576017-0.00617451j 0.00109484+0.00452968j -0.00305143-0.00311893j 0.00309053-0.000641753j 0.00763155-0.00242802j 0.00594818-0.000317322j 0.00237244-0.00193788j 0.0130443-0.00343203j 0.000810284-0.0145865j 0.00509747+0.000782465j -0.00926485-0.0080995j 0.00513116-0.0112502j 0.00111435-0.0175512j 0.00437863+0.0171665j -0.00798289+0.00244369j 0.00719825-0.00587699j -0.00404896-0.0105913j 0.0111972+0.000546454j 0.00369291+0.0105081j 0.000306102-0.0099962j -0.00433946+0.000771825j 0.0143616-0.00892053j -0.00203645-0.000953636j -0.000842239+0.00735242j 0.0002741+0.00206334j 0.0178918+0.00147789j -0.00303518+0.00813525j -0.019643-0.00947336j -0.00304821-0.00089367j 0.0015845-0.0117244j -0.00354453-0.000612756j -0.0138882+0.0105933j -0.00187758+0.0200429j 0.00580388+0.00543919j 0.00197384+0.00670112j -0.00189072+0.0064184j -0.00280117-0.0105068j 0.0141028-0.00295547j -0.0100353+0.00675634j -0.00794174+0.00784861j -0.0100741-0.00314585j 0.00324031-0.000259235j -0.0137151-0.00433619j 0.00414972+0.00449234j -0.00730135-0.00955705j -0.00268844+0.0102209j -0.00577557+0.00718043j -0.00947675-0.00341517j -0.000414362+0.0017543j 0.00684627+0.00159473j 0.00473576-0.0069746j -0.00594359+0.0117133j -0.00226791-0.0141666j 0.0089408+0.0129407j -0.0010642+0.0114512j -0.00911284+0.000548801j 0.0144544+0.014051j -0.00238859-0.00281599j 0.0047486-0.00592806j 3.41627e-05+0.00132448j 0.00384997+0.0061356j -0.00300633+0.0183513j -0.00988231-0.00123756j 0.00714587+0.00182871j 0.00794399-0.00210189j 0.00606653-0.00935078j -0.0104038-0.000518617j 0.0155097-0.0165109j 0.00336033+0.00561378j -0.0111216-0.0122673j 0.00911241-0.00798749j -0.000818218+0.00552412j -0.00446386+0.00646909j -0.00463782+0.00232165j 0.0145047+0.0111781j -0.0242338+0.00726117j 0.0142955+0.031568j 0.00343786-0.00424191j 0.0112775-0.00846397j -0.00806669-0.0167393j 0.0357571-0.00359807j 0.00832446-0.021499j 0.00119612+0.0301579j -0.0296511-0.00247133j 
-0.0801341+0.190741j 0.197684+0.0840646j 0.0279536-0.0288517j -0.0370184-0.0032984j -0.069692+0.0485105j 0.0526573+0.096714j 0.0864503+0.0649272j -0.0074691-0.00608901j 0.0465895-0.0476903j -0.125583+0.0328523j 0.00107003+0.01517j -0.00792396+0.0978369j -0.0785816-0.0528961j 0.0032456+0.0476445j -0.0211715-0.0869885j -0.0287618+0.0838945j -0.016115+0.0452511j -0.030772+0.029592j -0.0550785+0.0251531j 0.0357+0.0137441j -0.0058658+0.0312147j -0.0311728-0.00666339j -0.0973871+0.170187j 0.00465416-0.053863j -0.122893-0.0979646j -0.0424607-0.0119899j -0.1469+0.0707826j 0.0279388+0.0245845j 0.120191-0.106875j -0.0962375-0.0953247j -0.0385224-0.0673891j -0.152583+0.0222426j -0.0591363+0.0122847j 0.0760702+0.0683402j 0.181422+0.173568j -0.0527969-0.0496751j 0.0221215+0.0973165j -0.0446885+0.140737j 0.0169868+0.0911029j -0.181902-0.0287927j 0.0879637-0.0114561j 0.0345601+0.00849502j 0.112922-0.0983341j -0.0565691-0.0162974j -0.0737893+0.0941571j 0.00125713+0.0342957j -0.0696099-0.0193672j -0.0118308-0.0359666j -0.0481489+0.0211381j -0.100638-0.138262j 0.0657711+0.0989137j 0.0137327-0.0673007j 0.134727-0.0381215j -0.0747836-0.0217398j -0.0803612+0.197666j -0.0424887+0.123383j -0.0442953-0.0282113j -0.0144021+0.0775516j 0.0318746-0.00271647j 0.0618901-0.000360794j -0.00533865-0.0648722j -0.0206454-0.00433029j -0.0339009+0.00868517j 0.0264768-0.0142177j -0.0457496+0.0432393j -0.038959-0.0324698j -0.00634781+0.000222079j -0.0260175-0.0236692j 0.0284103+0.0206464j -0.0108571+0.0254279j -0.0218791-0.0208669j -0.0077052-0.0254744j 0.0132112+0.0081653j 0.0501792-0.0116969j 0.0257887+0.0497743j 0.00831876+0.0266482j -0.00532812-0.0380142j 0.00139969-0.0174537j -0.0151927+0.022546j -0.0256862+0.0168042j 0.00616309-0.0108618j 0.0253443+0.0365847j 0.00697353-0.0408694j -0.00637651+0.00611955j -0.0219006+0.000207221j -0.0176154-0.0354118j 0.0297437-0.0562767j -0.0415124-0.0181879j -0.00493221+0.0215144j -0.0242567-0.0244462j -0.026746+0.00122898j 0.0593397-0.031381j -0.00463792-0.0386619j 0.133768-0.000399496j -0.00490907+0.1201j 
-0.0174776+0.00859407j 0.00710035+0.016509j 0.137058-0.0674765j -0.0722795-0.148274j -0.218151+0.178268j 0.259951+0.211609j 0.0552981+0.0647324j -0.0133173-0.0296294j -0.018715-0.0379546j -0.0203541-0.0836658j -0.138055-0.301514j 0.119434+0.035177j 0.0828206-0.0489591j 0.0464603-0.0240163j 0.0696953-0.230598j -0.129072+0.229297j 0.00278713-0.0491137j -0.149479+0.295238j -0.000747263-0.0512893j 0.0482862-0.168773j 0.246792+0.0163484j -0.154837+0.116268j -0.0283934+0.0422351j 0.113801+0.00496734j 0.0805764+0.122875j 0.170982+0.0103646j -0.0606458-0.0566352j -0.0626732+0.0266971j -0.18905-0.000862681j 0.0544709+0.079493j -0.0622692+0.085442j -0.30414-0.124212j 0.0203273-0.0384328j -0.0194693+0.00200603j -0.0716926+0.00191805j 0.0196148+0.0806235j 0.0205637-0.0328147j 0.00704786-0.0771978j 0.0081163-0.0690376j 0.0703734+0.0549486j -0.023318+0.019692j -0.00882451-0.0143509j -0.0169137+0.0505j 0.0233581-0.00574483j 0.00835302+0.000438131j -0.0211246+0.0126689j -0.0146473-0.0101401j -0.0168762+0.000226403j -0.0225072-0.00073137j 0.0155673+0.0304157j 0.00153704-0.0300548j -0.0161508-0.00673403j -0.0343504+0.00767161j 0.0395094-0.00606933j 0.0660374-0.0362083j 0.0323523-0.00153318j -0.00665582+0.0231866j 0.0048447+0.00949479j -0.00259668-0.0148204j -0.0113542+0.00529989j 0.0099422-0.00300338j 0.00757287-0.00448649j 0.00499065+0.0147428j 0.0041953+0.000546096j 0.0010284+0.0189348j 0.0219966-0.0254655j -0.00172541-0.00840228j -0.0127609-0.0243587j 0.00308158+0.00015474j -0.00339331-0.000165966j 0.00818939+0.0125153j -0.00233439+0.0124039j -0.0180175+0.00890508j -0.00765333-0.000114715j 0.00905297-0.011822j -0.0148903-0.00509935j -0.0103416+0.021743j -0.0178554+0.00968516j 0.00151828+0.00400405j -0.012472+0.00836964j 0.0304553-0.00548509j -0.0127548+0.0133964j -0.00117861-0.0212507j -0.00143437-0.00676004j 0.0199391-0.0173669j -0.0222517+0.0134381j 0.00105316+0.00506181j -0.00039843+0.00734824j -0.0233704-0.0228405j 0.0123367-0.0160691j -0.0194854-0.00593822j 0.0237421-0.00954114j -0.00933159-0.0127372j -0.00752541-0.00328144j 0.00563914-0.00638251j 
0.0419547-0.0216211j -0.0175992-0.0421496j -0.057965+0.0192874j 0.00954825+0.0493787j -0.0257131-0.0136503j -0.0182568+0.00301698j -0.0450154+0.00312008j 0.00297174+0.0210831j -0.00877803+0.0217511j 0.0484235-0.027993j -0.0167201-0.0461925j 0.0148403-0.0553981j 0.0418071+0.0278429j -0.003145-0.028502j 0.020447+0.0314551j -0.00227184-0.0236087j -0.0101292-0.0301589j 0.013117+0.00561552j 0.00977055+0.000490079j -0.022467+0.00111804j 0.0109838-0.0299829j 0.0184158+0.0333196j 0.0287614-0.0967706j 0.0256097+0.0143584j 0.0635281+0.00602366j 0.018046-0.00444679j 0.0757708-0.0381924j -0.000207499-0.0198278j -0.0839154+0.0551969j 0.0609507+0.0569939j 0.0187974+0.0419067j 0.0528344-0.0223514j 0.0350363+0.00293932j -0.0286395-0.025048j -0.102058-0.0818136j 0.0312024+0.0376672j 0.00201984-0.0219454j 0.0398341-0.0492829j -0.000218014-0.0544312j 0.0664635+0.0258792j -0.0148619+0.000354048j -0.0221753-0.0153956j -0.0679139+0.0532722j 0.0225296+0.00556101j 0.0423378-0.0428702j 0.0184284+0.00088706j 0.0505982+0.0145663j 0.0372082+0.0197373j -0.0271058-0.0238048j 0.0381409+0.0769584j -0.0331727-0.0430827j -0.0156061+0.0122639j -0.0433962+0.0196933j 0.0277473+0.000256034j 0.0370467-0.080563j 0.0217419-0.0509125j -0.000287878+0.0330978j 0.00692591-0.049655j -0.0279441+0.00931734j -0.0237625-0.0161378j 0.00390004+0.0554501j 0.0230782-0.011913j 0.0116955-0.0468842j -0.0326492-0.0144005j 0.0231457-0.00841921j 0.0277455+0.00252835j 0.00401449-0.0110793j 0.0121649+0.0134804j -0.0135114+0.0114633j -0.00580366+0.0116069j 0.00988566-0.0172067j 0.00892216-0.00226631j -0.0115093+0.0317604j -0.0317776-0.0145852j -0.0201905-0.00687874j 0.0152343-0.0155657j 0.0217766-0.0107908j 0.0105284+0.00445808j 0.0185984+0.00236582j 0.012006-0.00100976j 0.0111666-0.0199664j 0.0324671-0.0172675j 0.0142916+0.00199217j -0.00469025+0.00471698j 0.000705636-0.0128854j 0.0116219+0.0157573j 0.0331834+0.0282908j 0.0109377-0.0231498j 0.0222335+0.0344517j 0.075673+0.0518773j 0.0597381-0.0694271j -0.0265698+0.00858642j -0.0258611+0.0288188j 0.0143227-0.010977j 0.00982929+0.0102195j 
0.0152348-0.012498j -0.00988617-0.0167361j -0.0223098+0.034424j 0.0315307+0.014371j 0.0348544-0.018103j -0.00418386-0.043277j -0.0478844-0.0517963j -0.00496574+0.0199309j -0.0457442+0.0219371j 0.0500694-0.0147548j -0.00882385-0.022982j 0.021246-0.0204666j 0.01275+0.0125102j 0.00155014-0.0207914j 0.0106837+0.0346034j -0.00183819-0.0128126j 0.0183637-0.0119784j 0.0120911-0.0073734j 0.0204545+0.00810103j 0.00588328-0.0104711j 0.00912559+0.00811992j 0.0128358+0.0325704j 0.0284275-0.0409668j -0.0260624+0.0234389j 0.0441773+0.033225j 0.000814349+0.0266572j 0.0653276-0.0575488j -0.019048-0.0148678j -0.0493921+0.0651475j 0.0445569+0.0401404j 0.027282+0.0180056j 0.0513378-0.00709715j 0.0165487+0.0134679j -0.0432492-0.0396534j -0.0755255-0.0824317j -0.0329535-0.00734244j -0.0306969-0.0473567j -0.00666318-0.0458614j 0.0455451-0.0219519j 0.0820817-0.0160499j -0.0362371+0.00793551j -0.0718525-0.0337801j -0.0127344-0.0198792j 0.029368+0.0135705j 0.041751-0.0919638j 0.0261014-0.00211061j 0.0441498+0.00371971j 0.00799822+0.0339835j -0.0230732+0.00036005j 0.0550489+0.041442j -0.0135837-0.0464272j 0.017433+0.04435j -0.0325342-0.0121751j 0.0357714-0.0187914j 0.0325427-0.104493j 0.037697-0.0263921j 0.0156484-0.00242546j -0.0052175-0.018613j -0.0247069-0.01819j -0.0276411-0.00630935j -0.0364781+0.0436497j 0.00475854-0.0179809j 0.0153466-0.0142231j -0.00621801-0.018927j 0.0112886-0.0357575j 0.0130848+0.00545386j -0.0172776+0.0269034j -0.00471936-0.0592112j -0.013326+0.0291392j 0.014972+0.00294639j 0.00462613-0.020002j -0.0281245-0.00164516j 0.0125126-0.0176289j -0.0256281-0.0166587j -0.0300369-0.0124889j -0.055921-0.00487536j -0.00919308-0.0538064j -0.00780456+0.00178301j 0.0460273+0.00259887j 0.0348723-0.0167014j 0.0280664-0.0132984j 0.0314274+0.0300884j 0.0446141-0.0237773j 0.00590204-0.00774368j 0.0303618-0.0196456j -0.010757+0.00845897j -0.0193811+0.0115522j 0.0110034+0.0493176j -0.0234178+0.0114341j -0.00790567-0.0267565j -0.0191173+0.00569573j -0.0131176+0.065173j 0.0709415+0.0103448j 0.0205391+0.0102877j -0.0113183+0.0143297j 
0.0742835+0.0600278j 0.0535343-0.0679467j 0.0141891-0.0457692j -0.0539664-0.0269503j 0.0151091-0.052153j -0.0427949-0.0319837j -0.0347308-0.0179538j 0.0243149-0.0112029j -0.0205998-0.0291315j 0.0403187-0.0611159j 0.00493079-0.0272782j -0.0260811-0.0159759j 0.0136093-0.000526723j -0.00306764+0.00827705j -0.0170322-0.0184921j -0.000665905-0.0279264j 0.00451413-0.0271544j -0.00805821-0.00392197j -0.000610592-0.0546406j -0.0384292-0.00110623j -0.000374403-0.0364502j -0.0483163+0.0172093j -0.064303-0.0353761j -0.0643463-0.00274215j 0.0503237-0.033172j 0.019508+0.0601554j -0.0179774-0.02927j -0.0559225+0.0350491j -0.0128401-0.0499336j 0.0565792-0.0227184j -0.0497286+0.0145396j 0.00545776+0.0235999j -0.0338732-0.0375165j -0.00782702+0.0116533j 0.00904739+0.00850578j 0.0199933+0.0288928j 0.0115453-0.0796258j 0.0536788+0.0206954j -0.0421218+0.0949238j -0.0220841+0.0178404j -0.0485786-0.0392183j -0.000153711+0.0170509j 0.0564359+0.0526479j 0.0815261+5.92805e-05j 0.0201986-0.0241549j 0.0624066-0.0272874j 0.000768396+0.00766792j -0.0316577-0.00800701j 0.0136087-0.0195208j 0.0259792+0.0484206j 0.0646474+0.037939j 0.0188044+0.0405054j 0.0185064-0.0174504j -0.0227864+0.052117j 0.0147991-0.0279782j -0.0354137+0.029582j 0.0276598-0.0108886j 0.0323677+0.0286821j -0.0333449+0.0542708j 0.0177022-0.0113341j 0.0145379-0.0617425j -0.0363759-0.00991179j 0.0366697+0.027308j -0.0791871+0.0274086j 0.0251016-0.040609j 0.0344348-0.0122582j 0.0172059+0.0441591j 0.0586666-0.08932j -0.0108657+0.00551614j -0.0351448-0.0331711j 0.00147068+0.00285812j 0.0404312-0.0117523j 0.0920842-0.0262745j 0.0113241-0.004578j -0.00631692-0.0453196j -0.0332704-0.00537129j -0.0232282-0.0602862j -0.0107494+0.0506831j -0.0761139-0.0717471j -0.00898365-0.0264487j -0.00938557+0.0641177j -0.0159676-0.000645007j 0.0723255-0.00381123j 0.0173809+0.00277363j -0.0587666-0.000611881j 0.023824-0.05513j 0.0864248+0.0887735j 0.0646346-0.117201j -0.0491948+0.0290137j -0.0672899-0.0574699j -0.0669306+0.0481697j -0.00839042-0.101741j -0.100387-0.0236586j 0.0770861-0.0454615j 0.0587681+0.0828559j 
-0.0511688+0.09439j 0.106674+0.0460624j -0.0428542+0.1571j 0.14659+0.0683528j 0.0645985-0.00553721j 0.0101586-0.0345414j -0.0895046-0.0856159j -0.094271+0.0378757j -0.0501436+0.0968502j -0.0169416+0.025338j -0.0311369-0.0203906j 0.0441685+0.0184558j -0.00262032-0.00813279j 0.0313326-0.0281307j -0.0047176-0.00223042j -0.00373184+0.0435644j 0.0457041-0.0211331j 0.00375737+0.0435821j 0.0223628+0.00966842j 0.0770203-0.0112973j 0.0321072+0.0469099j 0.0183935+0.0352512j 0.0696608+0.0556502j -0.0579077+0.0673098j -0.0366058+0.070913j 0.050952+0.035336j -0.0717736-0.0520974j -0.0466771+0.12769j -0.0491566+0.0621741j 0.0522981-0.0318843j 0.0414378-0.0256658j 0.0119601-0.00269318j -0.0432399-0.0103261j -0.0352305-0.0296748j -0.085605-0.0633547j -0.0988857-0.0387233j -0.0093003-0.0655358j -0.0650457-0.0478983j 0.00673848-0.0247896j 0.0317103-0.0715261j -0.0103561-0.0477398j -0.00857695-0.0231601j 0.048841-0.0388289j 0.0852865+0.105911j 0.048508-0.0512484j 0.0875064+0.0263089j 0.0447024-0.0146413j -0.0398981+0.0525756j -0.0511357+0.00164648j 0.0721407-0.0212925j 0.0666864-0.00300322j 0.050703+0.0504597j -0.0211399+0.0410838j -0.00658017+0.029665j 0.000630018-0.0526799j 0.0781976+0.0738057j 0.0512688-0.0390123j 0.00780387+0.0181078j 0.000233414-0.0590982j 0.0182392-0.0106271j 0.0056609+0.022873j -0.0555244+0.002249j 0.00203211-0.0318264j 0.05332-0.0754562j 0.0128191-0.0577808j 0.00165014+0.0178051j -0.014137+0.0421479j -0.0286599-0.202159j -0.0208843+0.0578813j 0.077313-0.0212234j -0.00908969-0.0342133j -0.0264209-0.0563536j -0.0424193+0.0114881j 0.0176899-0.00155074j 0.0157553+0.0447086j -0.0751285+0.0781502j 0.0448099-0.10683j -0.130457+0.00132178j 0.0493369-0.052108j 0.00556128+0.0954021j 0.0475386+0.0403958j 0.0374736-0.0023316j 0.0933797+0.0383904j 0.00424473-0.0167323j 0.0454263-0.00517349j 0.0635259+0.00095127j -0.0660423-0.0521134j 0.0116398+0.100265j 0.0646567+0.066486j -0.164061-0.0331917j -0.0219198+0.142668j -0.092352+0.181626j 0.184404+0.0745777j 0.166457-0.00239023j -0.0173912+0.15261j 
0.00509811+0.0762789j 0.0824283-0.000595349j -0.135085+0.00408596j -0.0128683+0.149349j -0.099101-0.0354732j -0.0751898+0.0713889j -0.0338388+0.0885589j -0.0188445+0.0215465j 0.0605254+0.0506988j -0.0623852-0.00170453j 0.0155137-0.0237734j -0.0154137-0.0184766j 0.0497695+0.0197657j 0.00251627-0.0214511j 0.00336854-0.0124204j 0.00559036-0.0157866j -0.0589393-0.0554467j 0.00768391+0.0143395j -0.0381866-0.0227119j -0.0421051+0.0456801j 0.0032659-0.0492969j 0.0132577+0.0493332j 0.0236146-0.0543027j 0.0591276-0.00823929j 0.0133112-0.0524932j 0.0653072-0.0531221j -0.0214902+0.0380221j 0.0072658+0.0496127j -0.0891906-0.0181255j 0.0370223+0.0221547j 0.00431498+0.0536461j 0.0112646-0.0294199j 0.0148399-0.0134639j 0.031085+0.00408622j -0.0445281-0.0259169j 0.0608923+0.0552467j 0.0939724+0.0239814j 0.0474674+0.0172933j -0.116556-0.117518j 0.0153419+0.0270214j 0.0620493-0.0301699j 0.139734+0.078064j -0.0898603+0.145051j 0.0271917+0.0230914j -0.012432+0.158558j 0.012871-0.0164198j 0.0410644+0.0227263j 0.13623-0.00155376j -0.057369-0.00534188j -0.0491617+0.0190513j -0.00269665-0.0128259j -0.0296062-0.104887j 0.0240209+0.082025j -0.0885677+0.0963252j -0.0283226+0.0552876j 0.0391437-0.0365623j -0.0270834+0.0290261j 0.0832905-0.0522095j 0.00323752+0.0137997j 0.0680486-0.0189919j 0.114168+0.0763589j 0.0138835+0.0846298j 0.00104473-0.130644j -0.0349796-0.0994945j 0.0846325+0.0340648j 0.0442088-0.0244812j 0.119382-0.104314j -0.0169099+0.101437j 0.0541974+0.00819232j 0.0264257+0.0261544j -0.0650242-0.0341754j 0.121126+0.00772696j -0.096883+0.144408j -0.0597316-0.0393375j 0.0556051+0.0806567j 0.146776+0.0761602j 0.105731-0.0120185j -0.0449595+0.0605633j -0.0892289-0.0763938j 0.04213+0.109255j -0.0810683+0.00916652j -0.0185787-0.135578j 0.0346194+0.0409014j -0.041144+0.0754762j -0.105129+0.0628558j 0.109183-0.045686j 0.0750612-0.0315336j -0.0525348-0.143919j 0.0456029+0.089958j 0.156916+0.112623j 0.156211-0.136867j -0.124015-0.00352728j -0.0299471+0.105947j 0.0971752-0.0355289j 0.0380992+0.0875161j 
0.0654232+0.0474698j 0.0444634-0.059224j -0.00546681-0.0418636j -0.0534255-0.00999717j 0.00687211-0.0497301j -0.0470642-0.0299504j -0.035434-0.0145179j 0.0216447-0.0176388j -0.0351303-0.0199328j 0.0376609-0.0643076j -0.00324463-0.0326691j -0.0264725-0.0228612j 0.0148322+0.00835888j 0.00614439+0.00652662j -0.0283464-0.0151628j -0.00057879-0.0266349j -0.000607619-0.0288744j -0.01485+0.00156088j -0.00575325-0.0583442j -0.0373181-0.00295028j -0.013423-0.036867j -0.0464808+0.00965699j -0.0627631-0.0224554j -0.0516648+0.0186964j 0.0286671-0.0366612j 0.0350231+0.0597352j -0.0186506-0.0249747j -0.0497668+0.0320141j -0.0156273-0.0379964j 0.0500678-0.0243552j -0.0508047+0.0275571j 0.0099444+0.0219131j -0.0283593-0.0275725j 0.00234181+0.015762j 0.0138605+0.0226165j 0.0357913+0.0335367j -0.000755787-0.0800476j 0.0661043+0.0101212j -0.0348587+0.101975j -0.0136712+0.0235482j -0.0516616-0.0451483j 0.000310526+0.016255j 0.064424+0.0406601j 0.0699467-0.0127393j 0.0126648-0.0229085j 0.0721934-0.0303673j -0.0189851+0.00525378j -0.0294185-0.0152702j 0.0184079-0.0150133j 0.0359452+0.04837j 0.0753797+0.0197211j 0.0349973+0.031668j 0.0223979-0.0321221j -0.0112624+0.0515841j 0.00225318-0.0291515j -0.0245464+0.0257916j 0.0158693-0.00512087j 0.0350728+0.0263032j -0.0164523+0.0634496j 0.0144627-0.0309962j -0.0018432-0.0694963j -0.0393779-0.00294712j 0.0348375+0.0212149j -0.0900537+0.0511555j 0.0151904-0.0398161j 0.0261941-0.0224007j 0.0332159+0.0361669j 0.0370562-0.109478j -0.0030644+0.01407j -0.0433976-0.035848j -0.00926337-0.00533024j 0.0357607-0.0179489j 0.0811699-0.0526727j -0.0138455-0.0178286j -0.0237691-0.0473977j -0.0399575+0.0177394j -0.0444154-0.0675148j -0.00904457+0.0567334j -0.0777627-0.0577123j -0.0127022-0.0207589j 0.0161315+0.0496039j -0.0239289-0.00087121j 0.0743565-0.0317856j 0.0128629-0.000902093j -0.0568867+0.0187733j 0.019628-0.0562725j 0.133191+0.0511321j 0.0288276-0.141298j -0.062159+0.0255927j -0.0860503-0.0437764j -0.0502745+0.0698045j -0.024205-0.0842694j -0.0800224+0.00988399j 0.0529344-0.0554373j 0.0732472+0.0499229j 
0.00287537+0.106591j 0.12427+0.00309876j -0.0599411-0.031612j -0.0603173+0.0606895j -0.0658178-0.00647089j 0.00874762+0.0470017j -0.00383009+0.0296136j 0.00272075+0.0670169j 0.0259569-0.0400921j 0.0547003-0.0375653j -0.0390401-0.0575829j -0.00685802-0.0609863j -0.00248639-0.00466699j -0.0132848-0.00544112j 0.0250639+0.0370991j -0.0531731+0.00363647j -0.0175184-0.00639315j 0.050042-0.0192884j -0.004936+0.0507638j -0.0270573+0.0113667j -0.0297201-0.012031j -0.0195955+0.0582915j -0.0306643-0.0970546j 0.0507805-0.024686j 0.0578832-0.0677107j -0.087377+0.00967683j 0.0892443-0.0242622j 0.0761445-0.0815337j -0.0111779+0.0715632j 0.0663983+0.0322804j 0.00907138-0.0458228j 0.0260748-0.00484262j 0.0296536+0.045846j 0.0120126-0.00861917j -0.0233506-0.0488615j -0.0218398+0.0128727j -0.098467+0.0434538j 0.0418459+0.0544213j 0.155623+0.0391615j -0.0276081+0.0288511j 0.0369831+0.0621427j -0.161648-0.114182j -0.0410151-0.0970928j -0.0140472-0.0573176j 0.018842-0.0979893j 0.0427304-0.00656739j 0.0517894+0.0222767j 0.060984-0.0319954j -0.0759382-0.0475986j -0.0191597+0.0704689j -0.0142709+0.00822536j -0.0610686+0.0105071j 0.0843046-0.127977j 0.0581317-0.116857j 0.0338352-0.0108813j -0.0529807+0.00081682j -0.0893879+0.0281432j -0.0401414+0.00283981j -0.0667141+0.0369229j -0.0255936-0.04685j -0.0627709+0.063832j 0.0429498-0.14622j -0.0113472-0.0511726j -0.106454+0.0288996j -0.0436427+0.0273997j -0.00391286+0.015915j -0.12451+0.0305458j 0.0413247+0.0143351j 0.00603378+0.0333555j -0.130668+0.0486043j 0.0433027-0.0410869j -0.0896834-0.0324989j 0.0698382+0.0951995j -0.0558013-0.0556106j -0.0644601+0.0026215j -0.0164714-0.115468j -0.0893182-0.127205j 0.148968-0.0945527j 0.157287+0.0443336j -0.0413638-0.135601j 0.089354-0.163585j 0.130641+0.0827302j 0.0436246-0.149033j -0.0309136-0.0252405j 0.023756-0.0884813j -0.0708361+0.0262619j 0.100025+0.0453874j 0.0156325-0.0492855j -0.0519116+0.0498795j 0.16001+0.0143182j 0.00481645-0.149141j 0.0316253-0.038694j -0.0201631+0.0327886j 0.133853-0.0101826j 0.00782036+0.11401j 
