-0.00355142-0.0106392j 0.00618949+0.00517875j -0.0068018-0.0140311j -0.00263949-0.00855708j -0.00149951-0.00398777j -0.00274695-0.00174812j -0.00585335-0.0108134j -0.00621266-0.018653j -0.00718844-0.00852247j 0.00530489+0.0127593j 0.00775076+0.0114787j 0.00553916+0.00437862j 0.00386837+0.00422293j 0.00364125+0.00701497j 0.000123494+0.0143604j -0.00274263+0.00702685j 0.00660359+0.0276789j 0.00251701+0.00507566j -0.00447606-0.00528174j -0.00362038-0.023501j -0.00275184+0.00911531j -0.000109285+0.0106663j -0.00387919+0.004693j -0.0036993-0.00797871j 0.00992286-0.00172326j 0.0154498-0.00523632j 0.0127344-0.0168073j -0.012648+0.02917j 0.0195179+0.000190342j 0.00883371+0.00268126j 0.00775-0.0131211j -0.0129002+0.0109809j -0.00826873+0.000832821j 0.0119346-0.00533185j 0.00674448-0.0034503j 0.000130539-0.00362204j -0.0186658+0.00714916j -0.0025989+0.00209077j -0.00754262+0.00263178j -0.00758242+0.00201266j -0.00091266+0.00352166j -0.00438146+0.00424468j 0.00263102-0.00161939j -0.00383488-0.00176376j 0.00396061-0.00331654j 0.00563943-0.000407696j 0.000902212-0.00162456j 0.00648594+0.000157087j 0.00876168-0.00284647j -0.000589647+0.00648486j 0.0200626-0.00428157j -0.00324348-0.00224214j 0.0148551-0.00155125j 0.00886557-0.0040084j 0.0221767-0.00388094j -0.00795459+0.00114212j -0.00412869+0.00120773j 0.0155235+0.00293871j 0.00300534-0.00298603j 0.00334028-0.00352179j 0.00438406+0.00154905j -0.0136251-0.00370277j 0.00184963+0.00190362j 0.00363245+0.00361796j 0.00480283-0.0104127j -0.0136681-0.00849856j 0.0150301+0.00442541j 0.0177797+0.00387831j 0.00685082+0.00262482j 
0.00654517+0.000191189j 0.00816179+0.0152651j -0.00759009-0.0135444j 0.00113461+0.00179716j -0.00115828-0.00132744j 0.000674427+0.00512218j -0.00236504+0.000932097j 0.0026197+0.00592892j 0.00567574+0.00990503j -0.00363624-0.00420789j -0.00170999-0.014719j 0.00152082+0.00254147j 0.0020932+0.00883513j 0.0037945+0.00573656j 0.00657119+0.0101731j 0.00385339+0.00313036j 0.00285499+0.00330951j 0.00278433-0.0305638j -0.00632751-0.0237133j 0.00683137+0.00108652j -0.0124719-0.00350155j 0.00431194-0.032537j -0.00932186+0.0214318j -0.000240652-0.00749042j -0.00806176+0.0285777j -0.00580095+0.0134799j -0.00253879+0.00481633j 0.0160434+0.00564739j 0.0155166-0.029875j 0.0140364-0.014986j -0.00917762-0.00587489j -0.00261585+0.00695116j -0.0094434+0.00438161j 0.000137984+8.71323e-05j -0.0013337-0.0020712j -0.00310194+0.000780671j -0.00111901-0.00196466j 0.00573504-0.00359882j 0.00424824-0.00109657j 0.016159-0.00471515j -0.00173332-0.00190636j -0.00406472+0.00226861j 0.00860488-0.00546714j -0.00486984-0.00208665j 0.00557586-0.00554981j 0.00511662-0.00405402j 0.00518321-0.00208681j -0.00435854+0.00186879j -0.00565208+0.00422728j -0.0267078+0.00474249j 0.00266676+9.84203e-05j -0.0102504+0.00647812j 0.0132753+0.00204143j -0.0135957+0.00227297j -0.0170687-0.00109442j 0.0050062+0.00503629j 0.0151385+0.00279141j 0.0175057+0.000142657j -0.0117077-0.00392661j -0.0121912-0.00261505j 0.0107579+0.00354811j 0.00172525-0.000815468j 0.0107234+0.0118738j -0.00507654-0.00437407j 0.0148251+0.00516276j 0.00201069+0.000617083j 0.00152263-0.000632898j 0.000645482-0.00160853j 0.020974+0.00415746j 
-0.00951847-0.00609429j -0.00455839-0.0122939j 0.00571066+0.00718128j 0.00370868+0.00802266j -0.00398904-0.0137502j 0.00235142+0.00389458j 0.000548535-0.00010443j 0.000874183+0.00736461j -0.00872723-0.00912271j 0.00232621-0.00475282j 0.00426944+0.0100082j 0.00196446-0.00458584j -0.00536649-0.014928j 0.000600143+0.000154246j -0.00396226-0.000899061j 0.000406778+0.0347416j -0.00715916+0.0147948j -0.00467518-0.0264819j -0.00346455-0.00801042j -0.00063797+0.00888402j -5.28708e-05+0.00653902j -0.00744513+0.00324323j -0.000654934+0.0134489j 0.00127794-0.00409422j 0.00475204-0.00322899j -0.00324554-0.0185666j -0.0182292+0.02644j -0.00650699+0.00326719j -0.00219715+0.00993262j -0.00738748+0.0144128j 0.0107491-0.00157676j 0.00905382-0.00599883j 0.00135332+0.00326993j 0.00177877-0.00377368j 0.0105449-0.00487111j -0.00441075+0.0021718j 0.0100577-0.000390547j 0.00276681+0.00102603j 0.00222419-4.74707e-05j -0.00912715+0.00190029j -0.00145478+0.00179048j 0.00611463-0.00157312j -0.00497274+0.00417399j -0.00276361+0.00103657j -0.0086953+0.00603343j 0.00207234-0.00141028j -0.0149175+0.00477824j 0.0292507-0.00426643j -0.00674261+0.00339851j -0.0151278+0.00546805j 0.0128883+0.00475576j -0.0159168-0.00321966j 0.00333468-0.0029545j -0.0265406-0.0035439j 0.00952003+0.000338633j -0.00745687-0.00526455j 0.0157298+0.00152542j 0.0222672+0.00702352j -0.00522976+0.00156963j 0.0044441+0.00210767j 0.00957981+0.00366214j 0.00471344+0.00527994j 0.00938467+0.00116277j 0.00931704+0.00427543j 0.00410976+0.00415078j -0.00942109+0.000172108j -0.0163718-0.00572048j 0.00292599+0.000514154j -0.0132886-0.00208627j 
-0.00441479-0.00305075j -0.00204794-0.00543172j 0.000665504-0.000523021j -0.00324306-0.00616026j 0.00544308+0.00759228j -0.00181483-0.00627998j 0.00984328+0.0232986j -0.00878728-0.0202707j 0.00311108+0.0255712j -0.00179593+0.00714896j 0.00169688+0.00294898j 0.000195545-0.00411054j -0.00367368-0.0177694j 0.00190633+0.00486113j 0.00652865+0.00274154j 0.00139784-0.0157363j -0.00290317+0.0190076j 0.00419419-0.0161885j 0.00142331-0.0111394j -0.000818984+0.0130922j 0.000238242+0.0195451j -0.00253609-0.00469465j 0.0114888-0.00590716j -0.00636976+0.0289182j -0.0126891+0.0203298j 0.00205475-0.00139524j -0.00162362-0.00268067j -0.00235554+0.000549196j -0.00115752+0.00416082j -0.00331755+0.00656795j 0.00472121-0.000549085j -0.00403583+0.00142346j 0.00110841-0.00376119j 0.00358758+0.00237311j -0.0235392+0.0108009j -0.00261464+0.00498356j -0.00392943+0.00647137j -0.00420938+0.000860946j 0.00504841-0.00467563j -0.0018806+0.00204111j 0.0112499-0.00551647j 0.00212308-0.00109477j -0.00571706+0.000311622j 0.0241215-0.00127905j -0.0149142+0.00477561j 0.011752-0.00322556j -0.0109093+0.000976861j -0.00321466+0.00383828j 0.0227823-0.00010215j -0.011519+8.65474e-05j 0.00583749-0.000709125j -0.0171364-0.00104554j 0.0149151+0.00296458j -0.0207666-0.00333493j 0.0057051-0.00290653j -0.00757817+0.0018564j -0.00502095-0.00385978j 0.00750286+0.00293359j -0.0153722-0.00554735j -0.0010339+0.00351321j -0.00275858-0.00145634j -0.000517249+0.0010619j -0.00135989-0.0054823j -0.0265541-0.00784333j -0.00084615+0.00244199j -0.00189598-0.000714501j 0.00196938+0.000736707j 0.00128704-4.23426e-05j -0.00542571-0.000851468j 
-0.00856452-0.0077963j -0.00144955-0.00778976j 0.00569936+0.00780768j 0.00515961+0.00887347j -0.00339129-0.0107741j 0.00459229+0.0128305j -0.00848057-0.0160395j -0.00770002-0.0243196j -0.000780067+0.0146808j -0.00249448+0.00412824j -0.00359751-0.0272517j 0.00616553+0.00133613j -0.00326253+0.00561662j 0.00301884-0.0278931j -0.00369537+0.0174699j -0.00413702-0.0178619j -0.00193636+0.00683216j 0.00470953-0.00533359j 0.000973325-0.0181308j -0.00717003-0.00720072j 0.00341119-0.0113528j 0.00833457-0.0411425j 0.00594016-0.00417916j -0.00123523+0.00498589j 0.00542765-0.00811879j -0.0038267-0.00470608j -0.00514215+0.0135459j -0.00368967+0.00407638j -0.000578759+0.00423427j -0.00312838+0.0109828j 0.00934786-0.00383711j 0.0103682-0.00711245j 0.00333901+0.00311609j -0.000693734-0.00191639j 0.0130839-0.00843896j 0.000609429-0.004147j -0.0128801+0.00790784j -0.00998769+0.00011632j 0.00121622-0.00526028j 0.0163847-0.00799178j 0.00884215-0.00414196j -0.0118415+0.00348076j -0.00178135+0.00325525j 0.0139957-0.00393829j -0.00262735-0.000827015j -0.0107713+0.0015267j 0.00409583+0.00276569j -0.0116306-0.000746108j -0.0116861-0.00295045j 0.000457525+0.000564619j 0.0229251+0.00625756j -0.00935828-0.000296079j -0.00421281+4.62019e-05j 0.0034128-0.000793535j -0.0183358-0.00316098j -0.00355498-0.00462177j -0.0116153-0.00545106j -0.00929074-0.00247393j -0.017137-0.00351017j -0.00649739+0.000672851j -6.06122e-05+0.00483909j -0.0183156-0.00351469j 0.0018613-0.00251062j 0.00785129+0.00293165j 0.00262323+0.000852738j -0.00204877+0.00104863j -0.0110056-0.00245067j 0.0042206+0.000267856j -0.00733828-0.00125389j 
-0.0106166-0.0145123j 0.00470048-0.00221971j -0.00148616-0.00625513j 0.00714639+0.0122346j -0.000586482-0.00590295j 0.00289486+0.00269696j 0.00554227+0.023278j -0.00288075-0.00300021j -0.00584626-0.00935307j -0.000786521+0.00750607j 0.00725093-0.0227394j -0.000675615+0.0179909j -0.000250606+0.0217772j 0.00155031+0.0230403j -0.000814953+0.0182506j -0.00608924+0.00772568j -0.00354041-0.0168791j 0.00751455+0.00181254j -0.00675896+0.0201378j 0.00419356-0.000352786j -0.00358961+0.00953234j -0.00176426-0.0066067j 0.00820589-0.0111856j 0.000199917+0.0117272j -0.00099485+0.0069002j -0.00151265-0.00615107j -0.00360962+0.0140041j -0.00308938+0.00742411j 0.00271221-0.00142449j 0.00544891+0.00962683j 0.0132276-0.0131693j 0.00732138+0.000868931j -0.0116395+0.00935366j 0.00825311-0.0014459j -0.0101123+0.00111255j -0.0107472+0.00800665j -0.00528987+0.00365423j 0.00560623+0.00230832j 0.0124987-0.00689853j 0.00847218-0.00548258j -0.0301565+0.00533074j 0.00945707-0.00289752j 0.00478225+0.000430782j -0.0177806-0.00202908j 0.00367288-0.0027929j -0.0214214-0.00398266j 0.0137485-0.00183841j -0.0258936-0.0020931j -0.00176147+0.000230935j 0.021754+0.00698657j -0.0212286+0.00198304j 0.00706311+0.00174763j -0.0121188+0.000551844j -0.00233757-0.00060248j 0.00342372-0.000665516j -0.00273323-0.000517119j -0.00359027-0.0051031j -0.00314071+0.00559123j 0.0060204+0.0016805j 0.00237516+0.0016925j -0.00713387-0.00262305j -0.00814596+0.000507634j 0.000574293-0.0024941j -0.0119839-0.00169319j 0.00927517+0.00234847j -0.00674243-0.00136576j -0.0117946-0.00229617j 0.00836471+0.00110119j -0.00266526-0.000678837j 
9.69596e-05-0.00350041j 0.00706928+0.00698471j 0.00300024+0.00483329j 0.0133712+0.0206476j 0.0105708+0.0280358j -0.00147191-0.0134837j -0.00270346-0.00595526j 0.00247283+0.0187694j 0.00693513-0.0122369j -0.0030583+0.0257466j 0.00376726+0.0297464j -0.00500361-0.0333157j -0.0060626+0.00255801j 0.00601362-0.0129541j 0.00463062+0.000291105j 0.000853587+0.00346977j -0.00412871-0.00232619j -0.000775642-0.00362057j -0.00396581+0.0243424j 0.00469416-0.0122287j -0.00451324+0.0179334j -0.000297818-0.00337728j 0.00332144-0.0153562j 0.00173416-0.0010138j 0.00255662-0.00744279j -0.0023363+0.0042636j 0.000437935+0.00344549j 0.0012878-0.000207985j 0.000922914-0.00325021j 0.00944944-0.0057685j 0.00078815-0.0086457j 0.0143099-0.00742471j -0.00434355+0.0111438j -0.00883099+0.0130159j -0.00831241+0.00298901j 0.0123232-0.00595187j -0.00921481+0.000840189j 0.00197401+0.00476107j -0.0106844+0.00474171j -0.0150694+0.00262783j 0.0143623+0.000740598j -0.014752+0.00106488j 0.00790611-0.000213631j -0.0144079+0.000996322j -0.0310775-0.00119853j 0.00569383-0.0025553j -0.0143104-0.00397572j -0.00186183-0.00576265j -0.00866696-0.00748153j -0.0249158-0.00179581j -0.000650939-0.00141915j -0.00272313-0.0006273j 0.000718541+0.0040161j -0.00258173-0.00142788j 0.00312387+4.98877e-05j 0.00153862+0.000773509j -0.00173808-0.000904305j 0.00110501+0.00429311j 0.014283+0.00277356j -0.0015381-0.00189701j -0.0115784-0.00376445j -0.0130005-0.00118222j -0.00508836-0.00151159j -0.00212215+0.000385814j 0.00624764+0.000736747j 0.00133418+0.000475055j -0.00758447-0.00127433j 0.00290762+0.000501589j 0.00336088+0.000327108j 
0.0142571-0.00272995j 0.00766183-0.00274749j -0.000227801+0.00093418j 0.0174707-0.00479093j -0.0119552+0.00880118j 0.00448377-0.00538624j 0.0162864-0.00146595j 0.00164292+0.00224974j 0.0175086-0.00549069j 0.00327822+0.00143014j -0.00954847-0.00605406j -0.00888535+0.0106417j 0.00072238+0.00762613j -0.00970208+0.00273219j -0.001917-0.00282873j 0.00803397-0.00525899j -0.00425466+0.00866597j 0.000965416-0.013283j 0.0187483-0.0135441j -0.00118265-0.00823155j 0.011914+0.00719966j 0.0171893-0.000876978j 0.0215343+0.0112922j 0.0221302-0.00672536j -0.00569198-0.0218775j 0.00318374-0.0150303j -0.000840005-0.00851244j 0.0193337-0.0328774j -0.0506602-0.039179j -0.014444+0.00164267j 0.00438293+0.00858783j -0.0029216-0.00300949j 0.00484796-0.00277969j 0.000449293+0.00410409j 0.00286899+0.00260517j 0.0026156-0.000726303j -0.00277628-0.00206999j -0.00071057-0.000464772j -0.000638094-0.000493669j -0.0018363-0.0030025j -0.000197994+0.00233023j -0.000314606+0.00171865j 0.00160159-0.000168369j -0.0014151+0.00162222j 0.000946446-0.00121746j 0.00152254-0.000245509j 0.000502561+0.000720013j 0.000105319-0.00014819j -0.000351986-0.0015712j 0.000424442+0.000102527j 0.000487902-0.0011061j -0.000749165-0.000759805j 0.000589355-0.00197049j 0.000265209+0.00207319j 0.00132505+0.00217476j 0.00123295-0.00110215j 0.000835269+0.000451428j -7.24887e-05+0.00172311j -0.00448638+0.00455338j 0.000189733-0.00147032j 0.00619992-0.00227699j -0.00222349-0.00301812j -0.00204979-0.00667442j 0.00901304-0.00429942j -0.00323474+0.0126393j -0.00428742-0.0107644j 0.000464696+0.00946463j 0.00506801+0.0259483j -0.0199082-0.00473709j 
0.0114677-0.00313965j -0.0150258+0.0039803j 0.0138048-0.00279116j 0.00318332-0.00541843j 0.00281262+0.00455489j -0.00912283-0.00607317j 0.000861329-0.00577116j -0.00669215+0.00408529j -0.0126047-0.000746933j 0.00829381-0.00223511j -0.00256577+0.00479784j 0.00909748+0.00243807j 0.0012807+0.00164309j 0.00421112+0.00348814j -0.00203544+0.000859093j -0.00464092-0.00481435j -0.0035297-0.00898173j -0.00331733+0.00539553j 0.00221116-0.00938908j -0.0331065+0.0100032j 0.0318559-0.00596884j -0.00745021-0.0115873j -0.000179987+0.0242574j -0.00152739+0.0103239j 0.0346647+0.0143563j 0.0235492+0.0160574j -0.00396566+0.0102206j -0.049191-0.036783j -0.0182689+0.0305813j 0.00109905+0.00848754j 0.0162374-0.00291232j -0.00722583+0.00187365j -0.000101348-0.00356881j -0.00117452+0.00027507j 0.00261564+0.00248785j -0.00253411-0.00323595j -0.000112873+0.000894408j 0.00236379-0.000143265j 0.000348229+0.00118924j 0.00124018+0.000559507j 0.00289887+0.00113735j 0.000720057+0.00126358j 0.000134389+0.000140802j -0.000292787+0.00204889j 0.00165349+0.00129946j 0.00011709-0.00145026j -0.00017386-0.000291014j -7.23034e-05+0.000793472j -0.000343051+0.000902677j -0.00328492-0.0026765j -0.00160785+0.000120766j 0.000258328-5.5591e-05j 0.000187665-0.00161819j -0.000840195+0.000877795j -0.00332097+0.00146987j 0.00106302-5.32989e-05j 0.00107426-0.00102614j -0.00352415+0.00104043j 0.00288479-0.00183597j 0.00580918-0.000409177j 0.00281827-0.00259404j 0.00568224+0.000723907j 0.00831431-0.00554134j -0.00285248+0.013594j -0.0081173-0.00317004j -0.000558304-0.00687752j -0.00725544-0.0128777j 0.0196843+0.0054321j 0.00489575+0.0236116j 
0.00796653-0.00172232j -0.0104508+0.00339813j 0.000793522+0.00017065j 0.00908861-0.00492378j -0.0139675+0.0055577j -0.0029391-0.00526176j 0.00823524-0.00518211j -0.0104798+0.00730039j -0.00828117+0.0018463j 0.0219541-0.00693792j 0.0136039-0.00103876j -0.0134937+0.00618767j -0.00240185+0.00416576j -0.00230603+0.00517186j -0.00561676-0.00345756j 0.00335943-0.0119353j -0.00999517-0.00306258j 0.0140538-0.000387516j -0.0153466-0.000666548j 0.0224908-0.0035044j -0.0047901+0.00340591j -0.0435696-0.00293505j -0.0191593-0.0036841j -0.0165631+0.00518144j -0.00308097+0.004407j -0.00666392-0.0312326j -0.0533853-0.0294273j -0.00487574-0.00487518j -9.11346e-05-0.00256271j 0.00145647+0.0041225j 0.00945483-0.00342646j -0.00274797-7.27968e-05j 0.0026629-0.00191887j -0.00343852+7.08704e-05j 0.00157734+0.00117164j -0.000250351-0.00196702j 0.000572893-0.000841247j 0.0011899-4.73052e-05j 0.00138684+0.000197733j 0.00111397-0.000102765j 0.00124701+0.0010704j -0.000196345+0.00052128j -0.000920891-0.000466134j -0.000993707+0.00166534j 0.000226872+0.00151486j 0.00254136-0.000852076j 0.000741347-0.000700627j 0.00169272-0.000270979j 0.000786801+0.00011211j 0.0033023+0.000133758j 0.000322409-0.000677855j 0.00254651-0.000715813j 0.000352704-0.00212356j 1.95331e-05+0.000861844j -0.000137545+0.00248908j 0.00232892-0.00109709j 0.00021267-0.00331304j -9.91113e-05+0.00416552j -0.00081841+0.000403523j -0.00166063+8.85292e-05j -0.00465384-0.00172125j 0.000540466-0.00364166j 0.00298765+0.00292119j -0.0027149+0.000969146j -0.00123861+0.00358543j 0.00592125+0.00849291j -0.00674075+0.00260768j 0.00460094+0.00628606j -0.000817978+0.00328213j 
-0.00404051+0.000747083j -0.00914369+0.00297304j -0.00713976+0.0023143j 0.0112646-0.00572169j -0.0192347+0.00222366j -0.0083027+0.00426525j -0.00461839-0.00130893j 0.000624816+0.0025943j -0.0190464+0.00662726j 0.0107012-0.0109516j 0.0142029+0.007356j 0.00788096-0.00670546j 0.000707055-0.00313404j 0.0185065+0.00580124j -0.00916638-0.0028057j -0.0188234-0.00855799j -0.00950413-0.00538802j -0.0379381-0.0002072j 0.0269407+0.00064502j 0.0072414-0.00783j -0.0326723-0.00323142j 0.0118468-0.00733459j 0.0138616-0.00644987j -0.0109084-0.00633763j 0.0444592+0.0151008j -0.0215616-0.015251j -0.00675839+0.00753886j -0.00389335-0.00217511j 0.00172937+0.0022191j 0.00699398-0.000400775j 0.00283079-0.00473173j 0.000212067-0.00171397j 0.00308089-0.000792756j -0.00399999-0.000991652j -0.000415528-0.00278854j -0.00133858-0.000215993j -0.000583544+0.000283938j -0.000241011-0.000237752j 0.000481127-0.00037593j 0.00169415+0.000609563j 0.00121002+0.00124396j 9.65653e-05+0.000131719j -0.00194808-0.00225249j 7.68943e-05+0.00174884j 0.000625602+0.00147371j 0.00147989-0.000728669j -0.000324723-0.000269656j 0.000989094-0.0013976j 0.000539505-0.000114443j -0.000795559+0.00222178j 0.00114149-0.000938591j 0.000412818-0.000152739j 4.34232e-05-8.26583e-05j -0.000827062-0.000964598j 0.00014616+0.00222402j -0.00112417-0.00301845j -0.000132962-0.000238619j -0.00248561+0.00247301j -0.000209741-0.00223018j -0.00262224+0.000876036j -0.00227616-0.000757645j -0.00149061-0.000627624j -0.00128789+0.000366712j -0.00248007-0.00138553j -0.00495514-0.0050612j 0.00625854+0.00402453j -0.000603497+0.00289566j 0.00221799-0.000692494j 0.00264732+0.00360148j 
