-0.016694+0.0345289j -0.0339862-0.0878547j -0.0172731-0.066473j 0.0110255-0.0289949j -0.00055948-0.0171903j 0.00147932-0.0621643j -0.000888143+0.0205832j 0.00559471-0.0336339j -0.00448678-0.0223009j 0.0165202+0.0079251j 0.00480637-0.0194758j 0.011053+0.0407226j -0.0394622+0.0486203j 0.10458-0.172876j -0.108606+0.0657477j 0.00630847-0.0504372j -0.0156437+0.00508862j -0.0197433-0.0251879j 0.0260181-0.0290491j 0.0131615+0.0205986j -0.0121175-0.0167564j -0.0259559+0.0250613j -0.0238254+0.0167897j -0.00984025-0.00454054j -0.0123405+0.00985563j -0.0131032+0.0467089j -0.00184848+0.00958523j -0.00117076+0.0113718j 0.0286257-0.0125657j -0.00794333+0.0203142j -0.000968571-0.0103875j 0.00376418-0.0140015j -0.00999187+0.0304629j 0.0156579-0.0285369j -0.025755+0.0512817j 0.185862-0.116249j -0.0969219+0.146486j 0.017751-0.0351883j 0.0128702-0.0457889j 0.0123973-0.027365j 0.00189497-0.0188296j -0.00778605+0.00607174j -0.00962186+0.023306j -0.0119224+0.0188318j -0.00258088+0.00765503j -0.0183572+0.0285635j 0.00343636+0.00347888j -0.00768411+0.000340989j -0.00346217+0.00278654j 0.000748461-0.00207891j -0.0121682+0.0126684j -0.00280578+0.00591628j -0.00562447+0.00275027j 0.00834311-0.00105325j 0.0135857-0.0153462j -0.00838468+0.0064313j 0.00300692-0.000259038j 0.000671001-0.00151995j 0.00902418-0.00410176j -0.00133917+0.00239277j 0.00414997+0.00115102j 0.00735198-0.00718424j 0.00614294-0.00512961j 0.00228043-0.000569594j -0.00394648+0.00111783j 0.00288582-0.00521088j 0.00251687-0.00334531j 0.00201003+0.00169613j 0.00354288+0.00182061j -0.00170246+0.00210592j -0.0121291+0.00655999j -0.00171789-0.00240298j 0.00659107-0.00804685j 0.00431025+0.00086338j -0.00653353+0.000934553j -0.00571486+0.00942065j -0.000727146-0.00238817j 0.00271792-0.0103061j -0.00249105+0.000523557j 0.0082051-0.00229389j 0.00277785+0.00302522j 0.012089-0.0115439j 0.0171003+0.000577631j 0.00297493-0.0050521j -0.0240803+0.00477516j 0.011731+0.0284941j -0.00499196-0.000699998j 0.00996401-0.0237257j 0.000985662-0.0146767j 0.00523327+0.0115195j -0.0101442+0.0081711j -0.0126625+0.0234417j 0.0280795-0.031367j 0.0626994-0.111949j 0.0921338-0.0485474j 
-0.0336625-0.109229j 0.000755185-0.0306421j 0.0161225-0.00611362j 0.00675155+0.0782114j -0.00825758-0.00793334j 0.00844167+0.0171275j -0.0277174+0.0672136j 0.0300833-0.0100228j -0.000512857-0.00104304j 0.0119735-0.0743749j 0.00818708-0.0345283j 0.00189605-0.0121331j 0.00193804+0.0829009j -0.141151+0.0669938j -0.114102+0.178701j 0.0202359-0.00496867j 0.00834936-0.0494677j 0.0279714-0.0399779j 0.010778+0.024394j -0.00816695+0.0278302j 0.0125128-0.0296215j -0.00791554-0.0238589j -0.0028996-0.0343113j 0.00399004-0.0160246j 0.00126862-0.0332172j -0.0287215+0.00336016j -0.0307715+0.0122982j -0.0148983+0.021591j 0.0188067+0.0170364j -0.0108272-0.0181186j 0.00190629+0.0289325j 0.019408-0.0404788j -0.00196901-0.0103826j -0.011734+0.0513095j 0.0228219+0.026555j 0.11546-0.15207j 0.196694-0.10632j 0.00547105-0.0489994j -0.0298058+0.0524266j -0.000374565+0.0101026j 0.0165273-0.0290772j -0.00458588+0.00811894j 0.0149758-0.0172633j 0.00189449-0.00374038j -0.011975+0.0199801j 0.00389392-0.00138729j 0.00116117+0.00454068j -0.00296217+0.012636j -0.0104402+0.0175702j 0.000714246-0.00162871j -0.00425965+0.00189566j 0.00136949+0.00304081j 0.00890831-0.0124297j 0.00322311-0.00673462j -0.00253362-9.67054e-05j -0.00421441+0.00808805j -0.00502747+0.00715213j 0.000404215-0.00139456j 0.00506239-0.00884339j -0.00180525-0.00361105j -0.00139117-0.000887634j 0.00774603-0.00913306j 0.00600686-0.00355032j 0.00605596-0.00493551j -0.00769659+0.00403912j 0.000334616-0.00433354j 0.00441068-0.00577971j 0.00255806-0.00426519j 0.002845+0.00264905j 0.00291892-0.00158803j 0.00734061-0.00659162j -0.0044504+4.07764e-05j 0.0023021+0.00379089j -0.000667512-8.23534e-05j 0.00369078+0.00474416j 0.00365026+0.00591426j -0.00367491+0.000864689j -3.42978e-05+0.00767666j 0.00186634+6.03684e-05j -0.0168935+0.00812963j -0.00293401-4.64536e-05j 0.00475074-0.000704371j 0.00458344-0.012142j -0.00276318+0.00100667j 0.0131769+0.0271458j 0.0310998-0.00470051j -0.00374714-0.0247971j 0.00204787-0.00172522j 0.0143553-0.0024788j -0.0109979+0.0134745j -0.00889805-0.00902262j 0.0249935-0.0335221j 0.00983098-0.0225979j -0.0919953+0.0460471j 0.0691594-0.117532j 
0.00988839-0.0208363j 0.101163-0.0780215j 0.0543596+0.00111018j 0.0128389-0.0299344j 0.0472195-0.0173457j 0.01933+0.0118682j 0.019533-0.0101831j -0.00301078+0.0565932j 0.0243328-0.00139555j 0.0229824+0.0262012j 0.0206252+0.0414553j -0.0556885-0.0176628j -0.165962+0.0395757j 0.0897987-0.22315j -0.194832-0.0808424j 0.0736567-0.0015485j -0.0180239+0.0260373j 0.0113479+0.0105562j 0.03309-0.00265127j 0.00545462-0.0141288j 0.0045291-0.00167106j -0.0408086-0.00135575j 3.74713e-05+0.00820975j 0.0256765+0.00911324j 0.0044969-0.00379029j -0.00118474+0.00741455j 0.0106598+0.011906j 7.23615e-05+0.000914645j -0.0401517+0.026789j -0.0105483-0.00285773j 0.00952849-0.00662752j 0.0271737+0.0135072j 0.0268792-0.01229j -0.0280075+0.0481878j -0.0901146+0.0305649j 0.105689-0.00401028j -0.014934+0.100665j 0.0304669-0.0131567j 0.0205148-0.0101618j 0.0300585-0.0164648j 0.019194-0.000248241j 0.0137158-0.00279599j -0.0113631+0.00589478j 0.00262223+0.00451349j -0.00596389-0.001152j -0.0167288+0.00491743j 0.00798869-0.00551449j 0.00202505+0.00291243j 0.00198302-0.000202971j 0.000348221+0.0043003j -0.0161756-0.00248688j 0.0050288+0.000124668j 0.000940326+0.009124j 0.00166391-0.00226567j 0.0135343-0.00756705j -0.00484205+0.00098295j 0.00175222+0.00104445j 0.00359059-0.00709815j 0.001703-0.00801472j -0.00490407-0.00284028j 0.00808977-0.00587927j 0.00644351+0.00210499j 0.00823566-0.00626787j -0.00284428+0.000888536j -0.0114034+0.00295129j 0.00721339-0.00302529j 0.00253563-0.00484371j -0.00311149-0.003732j -0.00216628+0.00268073j -0.0122077+0.0140943j 0.00292007+0.00781798j 0.0156046-0.0047516j -0.0108201-0.00305084j 0.0024872-7.26885e-05j -0.0126509+0.00283855j 0.00396738+0.00595676j -0.0134555+0.000912119j 0.01333+0.00904514j -0.00221826+0.00170798j -0.00130543-0.0225335j 0.00865949-0.00993336j 0.0120686-0.00623205j 0.00646984-0.0254474j 0.00489525+0.000520909j 0.00973413+0.000766355j -0.0275674-0.00057611j -9.13658e-05-0.00337679j 0.0158862-0.00867057j -0.0134547+0.00706866j -0.0050975-0.00245054j -0.00878338+0.0385936j 0.0222952+0.00346385j 0.0189273+0.0172079j 0.0268546-0.0415044j 0.0359295-0.0186068j 
0.127641-0.0643157j 0.0192297+0.00388691j 0.0042716-0.0244324j -0.0213608+0.0102843j 0.0516822+0.0181816j -0.0598792-0.0379393j -0.0262551+0.0319057j -0.0912057-0.0138723j -0.0117571-0.0113318j 0.0675527-0.00792101j -0.0386002-0.00856625j 0.100071-0.0182753j -0.0730733+0.0519467j -0.221394-0.094846j -0.0525189+0.219558j 0.0306629-0.0236267j 0.0621216+0.00334099j 0.0299004+0.000159586j 0.0100585-0.0220247j 0.00803655-0.00113964j 0.0270937+0.0108651j 0.00157658-0.00978899j 0.00147139+0.0348979j -0.00019484+0.0315359j 0.0329483+0.0188085j -0.00714684+0.0166629j -0.00630672+0.0011205j -0.0189119-0.00170371j -0.00463676-0.0429453j 0.00255134+0.0171065j 0.00142976-0.00865762j 0.0273936-0.0018743j 0.0207788+0.0402303j -0.0834956-0.0137389j 0.0082687-0.0238882j 0.00569202-0.114931j 0.115923-0.00527847j 0.0267748-0.0127637j -0.0329986+0.00828677j -0.0172512-0.00191279j 0.0230564-0.018067j 0.00498838-0.00306688j -0.000389786-0.000963138j 0.00441077+0.00746165j -0.0203265+0.00317018j 0.0046119+0.00746202j 0.000957712+0.00117257j -0.00108735+0.00362326j -0.00451808+0.0187297j -0.00856596-0.00897861j -0.00127444+0.00391961j -0.000864904+0.00456432j 0.0120041+0.00483114j -0.00225873-0.00483926j 0.00278883-0.00685884j 0.00539023+0.00434225j -0.00589765+0.0019171j 0.00214827-0.00318119j 0.00274011-0.00671477j 0.00773159-0.000571007j -0.0003491-0.00398243j 0.000964267-0.00356445j 0.00294658-0.0100624j 0.00107702+0.00108702j -0.00102374+0.00355427j 0.00619955-0.000221126j 0.00652414-0.00479545j -0.00263431+0.000799434j 0.000319875-0.000925996j 0.0106651+0.00336977j 0.0107386-0.0018576j -0.00142929-0.00149154j 0.00696706+0.0055013j -0.0073866-0.00758087j 0.00387434+0.00472214j 0.00144709-0.00282795j 0.00221117+0.00603629j 0.00534566-0.000694552j 0.00613448+0.00849561j -0.0295094+0.00758043j 0.00432596-0.00139987j -0.00309883-0.00583786j -0.0176638-0.0258386j -0.0189777-0.0162428j -0.0221795-0.0248515j -0.00316165-0.00413218j 0.0228512-0.00531944j 0.0123282-0.00510453j -0.0111321-0.00326793j -0.00529628+0.0350546j 0.0135766+0.00371963j 0.0168917+0.0158854j -0.0225158-0.00647912j -0.0346433+0.0146373j 0.0198748-0.0381005j 
0.00162084-0.0165392j 0.01719-0.0672595j -0.0222291-0.000709102j -0.12596-0.0119685j -0.0208808-0.0453041j 0.0466888+0.034948j -0.0478581-0.0316082j 0.0866888+0.0374311j -0.0346731+0.00744257j -0.0096359-0.0313219j 0.0389871+0.00252772j 0.0434168-0.0850071j 0.0500074+0.0392446j 0.0964991-0.136201j -0.22799-0.121267j 0.0188249-0.00202868j -0.00386259+0.0126427j 0.0201571+0.00917222j 0.00818381+0.0027029j -0.0206556-0.0163616j -0.00487499-0.0158261j 0.00179387+0.0158595j 0.00331249-0.014803j 0.00436105-0.0110485j -0.00988529-0.00983967j -0.00604164-0.0204462j 0.0028012-0.00434357j 0.000809243+0.00344007j -0.00050312+0.00988798j 0.011912+0.00789689j -0.0265018+0.00227985j -0.00570396-0.0408651j -0.00309371-0.0381187j 0.00657867+0.0219648j 0.036194-0.0150382j 0.0606394+0.00566552j -0.0228304+0.0324628j 0.00263976-0.010092j 0.00318205-0.00353902j 0.00528166-0.0120323j 0.014714+0.00192995j -0.00111501-0.00356587j 0.00610606+0.00307821j -0.00700402-0.00610198j -0.00165461+0.00265473j -0.00882006+0.00184839j -0.00525771-0.00541205j -0.00782468-0.00263802j -0.0156066-0.0137843j 0.0104393+0.0102364j -0.00744423+0.00168034j -0.000433851-0.00267821j -0.00142005-0.00147583j 0.00366324+0.00289202j 0.00119075+0.00233135j -0.00916719+0.00706707j -0.00435984+0.00087679j 0.000221036+0.00421866j 0.00358854+0.00310237j -0.00172739+0.00401493j 0.0025407+0.00162431j 0.00521301+0.000220039j 0.0113424+0.00456727j 0.000655233-0.00221861j -0.00201176-0.00179098j -0.00173529-0.00293748j 0.000483156+0.00496512j 0.00380331-0.00222629j 0.00298487+0.00161374j -0.0156594-0.00554478j -0.00634491+0.00526582j 0.000332054+0.0031308j 0.000833847-0.00862908j 0.00986767+0.00669069j -0.0104085-0.00270063j 0.00804575+0.0111532j 0.00604862-0.000749439j 0.0131287+0.00762811j 0.00697837-0.00978421j -0.0153862-0.0147431j -0.00367762-0.00522244j -0.00322206-0.0133511j -0.00702642-0.0027201j -0.0119424+0.00557492j -0.0151424-0.0252482j 0.0199661-0.0135054j -0.00657845+0.00621326j -0.00803081+0.00895083j 0.00658695+0.0207048j -0.0206431+0.011359j -0.01214+0.0147318j -0.0135383+0.00971021j 0.00241875-0.008005j 0.00667221-0.0211413j 0.030282-0.0138436j 
-0.0325681+0.109073j -0.0406354+0.120648j -0.122415+0.0900573j -0.0878062+0.0419838j 0.050359+0.0219227j 0.0267858+0.0512256j 0.0568985+0.105709j 0.0392555-0.087566j -0.0200588+0.0239819j -0.119153+0.0436885j 0.0396206+0.0300743j -0.137216-0.228687j 0.153419-0.191029j -0.118804-0.156198j -0.145592+0.0883986j -0.0263958+0.0596397j -0.00482884-0.0203849j -0.00210236-0.00105521j -0.0218662-0.0279876j -0.0121424-0.0565438j -0.00105316+0.0108162j 0.0147422-0.00402096j 0.0274854+0.00128908j 0.00322008+0.00457689j -0.0172478-0.0154668j -0.0172224-0.01676j -0.0133364+0.0199844j -0.00857725+0.0116764j 0.0293189-0.0401369j -0.00271196+0.0140092j 0.00040224-0.0360436j -0.0503926+0.0349128j -0.0106806-0.0159116j 0.074774+0.0189228j -0.00303073-0.106342j 0.00530603-0.0202602j 0.054774+0.0227604j -0.0160356+0.0265846j -0.00534887+0.00461301j -0.017788+0.0142964j -0.00939085+0.0117555j -0.00711079+0.00736865j 0.0184793+0.00236171j 0.00395049+0.00517767j 0.00640587+0.00393925j 0.00647334-0.00783802j -0.00368318+0.00299471j -0.0104889+0.00174649j -0.00764798+0.00539705j 0.0109747+0.00143017j -0.00440091-0.00709897j -0.00341141+0.00226778j 0.00702433+0.0046253j -0.00214839-0.00372137j -0.00829775-0.00271666j 0.00436658-0.00574242j -0.00418201+0.00335821j 0.00470777-0.0110425j 0.00307982-0.0110492j -0.00114158-0.00033033j -0.00156115+0.00441056j -0.00318489+0.00420461j 0.00357494-0.000589179j 0.00323403-0.00780443j 0.00154966+0.00406132j -0.00475721-0.000993682j -0.000482241-0.00276967j -0.00434087+0.00312438j 0.0128343+0.00198074j 0.00461095-0.00068549j 0.00223236+0.000101064j -0.00252507-0.00743222j 0.00513316+0.0120716j 0.00941317+0.00115008j -0.00427535-0.00467339j 0.00268493-0.0113095j -0.00185986-0.00781603j -0.00221158-0.00654692j 0.00791181-0.00240803j -0.00511412+0.013308j -0.00646433-0.00352425j 0.00674161-0.00711573j -0.00859127-0.00389286j 0.0117864-0.0125747j 0.0156549+0.00116508j -0.0111235-0.0213771j -0.0189091+0.0100929j 8.25636e-05-0.00904049j 0.0163828+0.01086j -0.0154195+0.0162991j 0.00752156-0.0226605j 0.00421068+0.0125661j 0.0135927+0.0117031j -0.0255031+0.0366222j 0.000789186+0.00414403j 
-0.0430354+0.155667j 0.0462465-0.101004j 0.0525492+0.041666j 0.0903978+0.00489183j 0.0434049+0.00151262j 0.0447393-0.079864j 0.0374018+0.040412j -0.0272183-0.0541614j 0.0404348-0.00289579j -0.0175366+0.139007j 0.0595688-0.0193994j -0.304091+0.0717189j -0.109163-0.200623j -0.033704-0.0451512j 0.0794089+0.115603j 0.017593+0.0299983j -0.064268+0.0557682j -0.0329182-0.000524463j -0.0228881-0.00725291j -0.0193649+0.0022051j -0.00605697+0.0153023j -0.00142113-0.0152156j -0.00125332-0.00408203j 0.0128304-0.0138628j -0.0257516+0.00927582j -0.0268267+0.0247552j -0.0117-0.00554859j -0.00251356+0.000896471j -0.0429343-0.000175961j -0.00215324-0.000426459j 0.0144422-0.0201982j -0.0111759+0.0246461j -0.0108709+0.0339636j 0.0407324-0.0583822j -0.0739283+0.00697586j -0.0313868+0.00793896j -0.00225617+0.0138375j -0.0132535+0.0129299j 0.0168365-0.0290581j 0.0167721-0.0176671j -0.01157+0.0158091j 0.00539029+0.00831042j 0.00463569-0.00178257j 0.0039694+0.0109883j 0.0146211-0.00935944j 0.00108008+0.00586589j 0.00676657+0.00379973j 0.00371464+0.00435073j 0.0123483-0.00212796j 0.00514651-0.00359723j 0.00329678-0.00461421j 0.00125718-0.00318237j 0.00181686+0.00613209j -0.00500556+0.00034329j -0.00178894-0.00103016j -0.00421135-0.00328925j 0.00191101-0.00148341j 9.65102e-06+0.000314798j -0.00439866+0.00414218j -0.0119274-0.00454436j -0.00375747+0.000729971j 0.000854347+0.00393793j 6.79286e-06-0.000181155j 0.00567878+0.00372621j 0.0060557-0.00510766j -0.00755688+0.00723178j -0.00801313+0.00788785j 0.00907482+0.00750407j -0.0091915+0.00605321j -0.00629504-0.00640872j -0.0151037+0.0112725j -0.00563802+0.00842346j 0.000131809-0.00742671j 0.00240698+0.00290726j 0.00620104-0.00961997j 0.00154928+0.00334071j 0.00380528-0.00395905j -0.00210075-0.00451528j 0.00504572+0.011428j 0.00166055+0.002534j 0.0162225+0.00778096j 0.00277718+0.00685769j -0.00418339+0.00281636j -0.00699479-0.00742856j 0.00467747-0.0162997j -0.0110358-0.00647695j -0.0048732+0.00645598j 0.00870094-0.00444973j 0.0104562-0.0223299j -0.00550164-0.0248895j 0.00461134-0.00973275j 0.00746212+0.0137509j 0.007482-0.0153387j 0.013948-0.0129261j -0.0112926+0.0319175j 
0.0652796-0.0452677j 0.0097836-0.139123j -0.0181478+0.0445577j -0.00237512+0.018988j 0.117755-0.0650556j -0.031476-0.0211035j 0.0418838-0.0121341j -0.125522+0.0259539j -0.0671796-0.0157714j 0.071576+0.0464979j -0.00670822-0.0943825j -0.0594358+0.0983628j -0.119959-0.0533823j -0.0676744+0.0126495j 0.0114839+0.0946001j 0.0558409-0.0287993j 0.00908477+0.0397639j -0.00140998+0.00105975j -0.00961451-0.0170973j -0.0237848-0.0111482j 0.0082693-0.000954905j -0.0252991-0.0109953j -0.00280818+0.00503456j 0.0145301+0.0100488j -0.0224229+0.00566512j -0.0124226+0.00746249j 0.00380148-0.0175359j 0.000282808-0.00131668j -0.0366916-0.0245379j -0.00243806+0.016334j -0.0227545-0.0258731j 0.0387235-0.00713133j 0.0181045+0.0316083j 0.00973465-0.029432j -0.0434741+0.038445j 0.00136778-0.0192039j 0.0252038+0.015536j 0.0091678-0.0156454j 0.00652919-0.0126757j 0.00117959-0.018454j 0.00647719-0.0104795j 0.0127122-0.0103817j 0.00206308-0.000274496j 0.0147095-0.00296857j 0.00906562-0.00158278j -0.00118161+0.00233246j 0.0121237-0.000489635j -0.00323223+0.00211629j -0.00534298-0.00105702j 0.00510729-0.00470378j -0.0107123-0.000618054j -0.00217932-0.00100725j 0.0087887-0.00437872j -0.00478798-0.00156212j 0.00238964+0.00507521j -0.0066435+0.0123183j -0.00227934+0.00166736j 0.00365084+0.00550339j -0.00521647+0.00146325j -0.000567318+0.00782495j 0.00748877+0.00598434j 0.000239336-0.00509793j 0.0154913-0.00576525j 0.00230899+0.00487852j 0.00194819+0.000637541j -0.00332281-0.00320368j -0.0109994+0.0021211j -0.000391505+0.00199521j -0.00349981+0.00412843j -0.00418212+0.00256704j 0.00227546+0.00486479j 0.00388947-0.00331463j -0.00980916+0.000905584j 0.00850763+0.00725009j 0.00141573-0.00350549j -0.00641945+0.00814514j -0.00370108-0.00545109j -0.00129243-0.00334645j -0.00411326+0.00233108j -0.00283297-0.0011819j -0.00529341+0.00456925j 0.00135114+0.00275844j -0.0097604+0.00354571j -0.00551537-0.000848404j -0.00652522-0.0084141j -0.0198594-0.00396315j 0.0121123+0.00313626j -0.00207858-0.00462125j -0.00859792-0.00823339j -0.00736193+0.00090468j 0.0189498+0.00113809j 0.0214023-0.00912514j 0.00900056-0.0063068j -0.00326639-0.018194j 0.0029062-0.00723247j 
0.00528352-0.0833218j -0.00427298+0.0246077j 0.0685786-0.121315j 0.0286525-0.0320954j -0.00888631+0.0373698j 0.0247416-0.117645j -0.0557351-0.0657847j 0.116238+0.0474048j -0.180273-0.122546j 0.102323+0.0838485j 0.196741-0.242182j 0.0692939-0.143513j 0.0898276-0.160904j 0.0167578+0.165632j 0.0042727+0.0854438j -0.00845207-0.0326856j 0.0304435-0.0244439j 0.012563+0.00092545j 0.0311409+0.00225703j 0.0131729+0.0104688j 0.00191899-0.00513562j -0.00848209-0.0135063j -0.0291609-0.00550633j -0.032834-0.0106643j 0.00614053-0.00458252j 0.00392502+0.00786248j 0.0170448-0.0158805j -0.0204293+0.0186548j 0.0317031-0.0136584j 0.00618316+0.0325157j -0.0282877-0.0296412j 0.00276392-0.0538235j -0.0107426+0.045779j -0.00676783+0.0159343j 0.00835738+0.00069296j -0.0383945+0.0132146j 0.012443+0.0267668j 0.00597045-0.0125335j -0.00400823-0.00304535j -0.000791961+0.00120727j -4.23681e-05-0.00623184j -0.001766-0.00135952j -0.00871448+0.0102364j -0.00452967+0.00236408j -0.00874785-0.00419204j -0.00466294+0.000534662j -0.00569909-0.00102057j 0.00433366-0.00335964j -0.00183608+0.00948947j -0.00560278-0.00720184j -0.00423805-0.00447979j -0.00150178+0.00429511j -0.00370052+0.00368394j -0.000909345-0.00414235j 0.00352563-0.00614589j 0.00387807-0.000440629j 0.00739198+0.000744171j -1.66953e-06-0.00121689j 0.00227218-0.00289886j 0.0139288-0.00409953j 0.0115614+0.00544582j -0.0112849+0.00446585j -0.00484018+0.000683266j -0.00753947+0.0053612j -0.00177512+0.00286668j 0.00234057-0.0135881j -0.0152819-0.0118548j 0.0034799+0.0045472j -0.0149351+0.00528697j -0.00331745-0.0179129j -0.00166313+0.0182957j -0.00610515+0.00301729j -0.000752582+0.00789988j 0.0209952-0.00323412j 0.00519437+0.0133453j -0.00594011-0.013178j 0.00512554+0.00984858j -0.0137698-0.00233592j 0.00863373+0.00222634j 0.00860065+0.0131119j -0.0132844-0.0110533j -0.00723635+0.00559657j 0.00738758-0.00738747j 0.00781011-0.0107277j 0.000284035+0.00359179j 0.000716249-0.00272799j 0.00193645-0.00988902j -0.00996159-0.0108407j -0.00796177-0.00511573j -0.0143245+0.00976627j -0.0160515-0.0267825j 0.00719102-0.00478397j -0.00235161+0.0078651j 0.00555238-0.00514065j -0.00264079-0.0054989j 
0.0266329+0.0462878j 0.0416847-0.00246718j -0.0264749-0.0367264j -0.0293628-0.0644955j 0.012998+0.0495901j 0.101364-0.0299471j 0.0416931+0.0294943j -0.0818973+0.0600144j 0.0605065-0.103118j -0.0283396+0.0333922j 0.0677924+0.188709j 0.0922659-0.0542633j 0.192884+0.0668444j -0.0311846-0.0427854j 0.00606141+0.0290251j 0.00260442+0.00621885j -0.00199646+0.0206649j 0.00979318+0.0149847j 0.0188831-0.00668544j 0.0223479-0.0104065j -0.02168-0.00140504j 0.00151639+0.0214544j -0.00464151-0.00118047j 0.00207247+0.0187327j 0.0302265+0.0293761j -0.00430018-0.0134654j 0.0091703+0.035487j -0.00554834-0.0111836j 0.01575-0.00162829j -0.0153379+0.0279099j 0.024399-0.00831487j 0.0312417+0.017768j -0.0385555-0.0178103j -0.00930808+0.0449822j -0.00259882-0.00882056j -0.00704489+0.0243153j 0.0427343+0.0209081j 0.00754519+0.014323j -0.00136093-0.00423136j 0.00221558+0.00049365j -0.00124358+0.0051175j 0.00256392-0.00260417j -0.00392612+0.00620462j 0.00568535+0.00299633j 0.00220452+0.00292682j 0.00181009-0.00100432j -0.00297326+0.000568879j -0.00129856-0.00611636j -0.0052171-0.00611329j 0.00484221+0.00429655j 0.00372905-0.00357955j 0.0064187+0.00338348j -0.00624551+0.004109j 0.00243531+0.00274371j -0.00109218+0.00289729j 0.00681609+0.00305488j -0.00421474+0.000962348j 0.00177189-0.00461718j 0.0039436-0.00240717j 0.0130819+0.011764j 0.0013716+0.00481537j 0.00653406+0.00735283j -0.000358427-0.00152088j -0.00378409-0.0104422j 0.00703162-0.00798023j -0.000221647-0.00324142j 0.0047819-0.0108936j -0.00320234-0.00470603j -0.00951816-0.00751924j 0.0132264+0.00223768j 0.00588792-0.0106807j -0.00539723-0.00989534j 0.00812797+0.00164848j 0.00530675+0.00263866j -0.0108485-0.00174956j 0.0176016+0.00645076j -0.0110858-0.0128987j 0.0125155-0.00126753j -0.00156508-0.00250925j -0.0152922+0.00200025j 0.00396758-0.0022295j -0.00693672-0.0140162j 0.00121551+0.00672687j 0.000594694+0.0121669j 0.0335236+0.0140022j -0.00520709+0.01333j 0.00401199-0.00300838j 0.00218076-0.00635289j 0.00999769+0.00544878j 0.00875407+0.0155868j -0.00474688+0.0110713j -3.27334e-05-0.0120463j 0.0163258+0.0135943j -0.00511224-0.00418831j -0.00933766+0.00880252j 
-0.00105164-0.12854j 0.0322147+0.0425403j -0.130066-0.00570412j -0.150007+0.130025j 0.0210744-0.0165664j -0.127287-0.0400085j 0.0922352-0.0154934j 0.0541989-0.0434941j -0.10572+0.0252736j 0.0583753-0.102947j -0.0223521-0.22701j -0.0119439-0.0274066j -0.143742-0.0799367j 0.11046-0.0206649j -0.0471963-0.146305j -0.00412267-0.0223693j 0.0159914-0.0298265j 0.0576372-0.00894821j 0.0170886-0.00226894j -0.0209776+0.010401j -0.0139077-0.00754225j -0.00129799+0.000654385j -0.0123146+0.0308588j 0.00351188+0.0141174j 0.00755845-0.00649122j 0.0188291+0.00323189j -0.00322997+0.00342273j 0.00821002+0.00955238j -0.0162636-0.00559836j 0.0259101-0.0111133j -0.0268153+0.0266838j -0.0537681-0.0366828j 0.0104455+0.00989258j -9.21401e-05+0.0179433j -0.0298757-0.0130916j -0.00326241-0.0245095j -0.0139562+0.0188217j 0.00838818-0.0145412j 0.0033946+0.0178296j 0.00270817+0.00685991j 0.00832063-0.0185878j -0.00276472-0.00133966j -0.00439372-0.000550293j -0.00134831+0.00630409j -0.00265648+0.0104479j -0.00448401+0.0074719j -0.0050628+0.00924452j -0.0055349+0.000429771j -0.00216276-0.000340723j 0.00155019+0.00163684j -0.00727284+0.00546533j 0.00586947-0.00484872j -0.000190043+0.00266407j -0.000680145+0.00213335j 0.00208699+0.000618258j -0.00612001+0.00815054j 0.0017886+0.00222312j -0.0075479+0.00658219j -0.00232628+0.00785138j -0.00769585-0.0117242j 0.00325522-0.00471207j 0.00361355-0.00574438j 0.0113513-0.00163871j -0.00534906-0.00682398j -0.00174923+0.00661706j 0.00163413+0.00122646j -0.00671464+0.0104375j 0.00374221-0.00596416j 0.00249168+0.024953j -0.00368214+0.0113901j 0.00654878+0.0161612j 0.00278863+0.0115964j -0.0168775-0.00397689j 0.0100273-0.0103583j 0.00201839+0.00123062j 0.00565486-0.0133803j -0.00461044-0.00133534j -0.00206886-0.00238541j 0.00684734-0.0018187j 0.00806587+0.00264354j -0.00491668-0.00625099j -0.00309614+0.012468j -0.000120151-0.00126415j 0.000770349+0.0026692j 0.0193198-0.00426235j -0.00679517+0.0148189j -0.0149661-0.00987753j -0.00115034+0.0049053j 0.0068192-0.000138607j -0.0249013-0.00247506j 0.0132578-0.0117434j 0.000282149-0.0046669j -0.0021428+0.000635702j 0.000363947+0.00218408j 0.014439-0.0199074j 
