0.00225003-0.00466602j 0.00473304+0.00906536j 0.00106779-0.00740683j -0.00289407-0.00207899j 0.00157165+0.00144029j 0.00296326+0.00432777j 0.00186097-0.00630265j -0.00288607-0.00465223j -0.0027799-0.00262791j 0.00220512+0.00351907j -0.00163346-0.00301576j 0.00162121-0.00630365j -0.00272698-0.00400701j 0.00340105+0.0042708j -0.000573564+0.00104163j -0.000433802-0.00308134j -0.00254985-0.00256893j 0.00066922-0.00240895j -0.00201607-0.00430577j -0.00120942-0.00141197j 0.00174343-0.000694234j -0.00118662-0.00537775j -0.00186969-0.00361671j -0.00204689+0.00206624j 0.000176795-0.00268191j 0.00219457-0.000416405j 0.000116579+0.00208149j 0.000646123-5.2898e-05j 0.001128+0.000774355j 0.000396188+0.00213138j 0.000893813+0.000480019j 0.00181565+0.00268109j 0.00123725+0.00127304j 0.000439689-0.00283561j -0.000533563+0.0023146j 0.00044246-0.00133696j 0.000307797-0.00109275j 0.000789773-0.00215353j 7.30409e-05+0.000909254j -0.00194268-2.01471e-05j -0.000884169-0.00334829j 0.00050405-0.000659246j -0.002358+0.00261615j -0.000536262-0.00388238j 0.00226127-0.00253602j -0.00181366-0.00299449j -0.00347959-0.00130726j -0.000346281-0.00507616j -0.00122878-0.0049158j 0.000690918-0.00360253j 0.00171353+0.00244275j -0.00219837-0.00250378j -0.00246424-0.00102001j 0.00059116+0.00791345j 0.00239707+0.000722808j 0.00420243-0.00317061j -0.00230419+0.00447921j -0.00103392-0.000351524j 0.0173324+0.0120351j -0.00419724-0.0158451j -0.0153778+0.00569404j -0.00846453-0.0239063j 0.00509206+0.00393039j -0.0246052+0.00633482j 0.0101704-0.0284381j 0.0200288+0.0246748j 0.0189238-0.00299692j 0.0404845-0.00821236j -0.0573134+0.0148486j 0.00360341+0.0474112j 
0.00357802+0.00985359j -0.00141829+0.00647183j 0.00226512+0.00287048j 0.00137403-0.0078119j -0.00063882+0.00376767j -0.00143349+0.00457482j 0.00257175+0.00313265j 0.00382672-0.00444893j 0.00236302+0.000412945j 0.000974354+0.00508457j 0.0014117-0.00206853j 0.00345049+0.00433944j 0.00238559-0.00538896j -0.00248595+0.00464936j -0.00175905-0.00073008j 0.00235503-0.000828087j 0.00070458-0.000822091j 0.000215466-0.00116457j 0.00252079-9.75854e-05j 0.00122449-0.0015311j 0.00108164+0.00587788j 0.00281149-0.0024203j 0.00187182-0.00289371j -0.00166685-0.00322203j 0.00291139+0.00180526j 0.000517777+0.00308232j -0.000598116-0.000765098j 0.000848636+0.000400742j -0.000963501+0.00188579j -0.00118719-0.000987704j -0.00014946+0.00224227j -0.00120874+0.00581258j -0.00106845-0.00213663j 0.00192735+0.00166642j -0.00183903-0.00276009j 0.00122585-0.000267171j -0.000248826+0.00213187j 0.00100532-0.00213512j -0.00171774-0.00263728j 0.00120961-0.00248783j 0.00158504-0.000763566j 0.00231034-0.000719894j -0.000997841-0.00307203j 0.00127553+0.00123117j 0.0028927+0.00257433j 0.000147073-0.00332445j -0.000836246-0.00280768j 0.00338623+0.00118877j 0.00197586+0.000980328j 0.0032549+0.00327917j -0.00191587+0.00171678j -0.00076124-0.00393848j -0.000304031+0.00227047j -0.00308009-0.000274492j -0.00453184+0.00299027j 0.000359906+0.0047877j -0.00581913+0.00144454j -0.00544106-0.00596177j -0.00409469+0.00704322j 0.016855+0.00418055j -0.0141676-0.0247375j 0.0119768-0.00103233j 0.00469955-0.00144469j 0.0031787+0.0237537j -0.0334062-0.0210814j 0.0233222-0.0309063j 0.0401555-0.011619j -0.018355+0.00284866j -0.00330375-0.0475181j -0.0530077+0.0152522j 
0.0021793+0.00784465j -0.000507747+0.000767098j -0.000843254+0.000925034j 0.00273311+0.00554485j -0.000637441-0.00176859j -0.000514059+0.00654656j -0.00105646+0.0018329j 0.00383267+0.0138178j 0.00380147+0.00435995j 0.0028899+0.00787746j 0.00161508-0.00675835j -0.00184165-0.000802499j 0.00263559+0.00739133j -0.00336132-0.0125484j -0.00124612-0.00476281j 0.000415577+0.00378523j 0.00269328-0.000742778j -0.00292505-0.00111884j 0.00403375+0.00574602j 0.00237476-0.000268705j 0.00135191+0.00643493j 0.00016554+0.00434364j 0.000784358+0.00466469j 0.00304804+0.0109811j 0.00253913+0.00489013j -0.00198079-0.00192814j -0.000943855+0.00451151j 0.00126854+0.00363693j -0.000508757-0.00416881j -0.0013889-7.13837e-05j -0.00249207+0.000852305j 0.000860963-0.00330377j -0.00481265-9.88439e-05j 0.00130762+0.00256792j -0.00338039-0.00400574j -0.00198605+0.00491817j 0.00383846+0.00480761j -0.00646007-0.00360588j -0.00458751-0.000909274j 0.00560795+0.00279772j 0.000731118+0.00655369j 7.44962e-05-0.00268689j 0.00546797+0.000888479j -0.00168134+0.0116364j -0.00195347+0.00665296j -0.00154463+0.00700845j 0.00442231+0.00448656j 0.00174373+0.00580976j 0.00196094+0.00394237j 0.0103276+0.0169916j -0.00378138-0.00826876j 0.00452184+0.0031576j 0.0156798+0.00374232j 0.000759883-0.0168815j 0.00111987+0.00345792j -0.0208826-0.00141278j 0.00235608+0.0113908j -0.00988374+0.00192762j -0.0139367-0.013198j 0.0108539-0.0199265j 0.00282796-0.00422857j -0.00810578-0.0316938j -0.0160563+0.00153129j -0.0150607+0.0126766j -0.00528203-0.00669058j -0.0128399+0.0132141j 0.00398314-0.0405254j 0.0377866-0.0153843j 0.0113165-0.00893776j -0.00181206-0.00544686j 
-0.000569212-0.000993971j -0.00223301-0.0069584j -0.0024162-0.00466495j -0.00235818-0.00166308j 0.000960276+0.00422383j -0.0022877-0.00773808j -0.000297249-0.00235336j -0.00297067-0.00159029j 0.000126857+0.00740913j -0.00383183-0.0011484j 0.00231732+0.00535457j -0.00126208+0.000551746j -0.00224736+0.00192551j 0.000571113-0.00380467j 0.00174691+0.00112406j 0.00144317+0.00366049j 0.000619884+0.00384402j 0.00121683+0.00129456j -0.00406218+0.0019978j -0.000987785+0.00181983j 1.82718e-05+0.00294647j -0.00230888+0.00113904j -0.000521286+0.00220071j 0.00226822+0.0101897j -0.00301001+0.000805453j -0.00233941-0.00567603j -0.00143284-0.00524829j -0.000616935+0.00442312j -0.00065413-0.000897479j -0.000412787-0.00231641j -0.000457182-0.0069168j 0.00141295-0.00184653j -0.000540402+0.00166614j -0.000224822-0.00227652j 0.00130877+0.000565633j -0.00290537-0.00472807j -0.00109117+0.00214031j 0.000925588+0.000654271j 0.00107986-0.00166929j -0.00390662+0.0012789j -0.00109659-0.00147517j -0.002792-0.00610502j -0.00251829+0.000631616j -0.00131831-0.00596546j -0.00550233-0.00739793j 0.00341505+0.00681022j 0.00897224+0.0149973j -0.00161064-0.00414385j 0.0031118-0.00508351j -0.00422568+0.00276618j 0.00336772+0.00125828j 0.00454918+0.0357268j -0.00412212-0.00599035j 0.0073537+0.0056718j 0.0131482+0.0188681j 0.000570219-0.0126276j 0.00973881+0.015672j 0.00969662+0.00166549j -0.0179895+0.0262593j -0.010544-0.0187124j -0.00134722-0.0168891j -0.0110775+0.0273119j 0.0151397-0.0190861j -0.0312057+0.0300785j -0.0145471+0.00374953j -0.0282715+0.0147052j 0.0234261-0.00430445j -0.00301415+0.0341363j 0.00138889+0.00414822j 0.0087431-0.00628941j 
0.000282777+0.000690341j -0.000960587-0.00137567j -0.00258909-0.00718123j -0.00224884-0.00527577j 0.000742056+0.00566958j -0.00301657-0.0101664j 0.00191267+0.00262144j -0.00171313-0.00458359j -0.000625797+0.000347801j -0.00381647-0.00449235j 0.00379312+0.00756628j -0.00019529+0.00388559j -7.87389e-05+0.000451156j -0.000756405+0.00265364j 4.02098e-05-0.00116615j 0.00472646+0.00541742j -0.00113247+0.00199095j 0.00230417+0.0113681j -0.00712998-0.00821667j 8.90189e-05+0.0021501j 0.000276081-0.00155451j -0.000461355-0.000129224j 0.000596848-0.000545942j 0.0022549+0.000756119j -0.00269271-0.000406631j -0.00209684-0.00340979j -0.00163674-0.013143j 0.000651988+0.00533827j -0.0026592+0.00532654j -0.000399562-0.00529472j -0.00192831-0.00934188j -0.00146405-0.000625296j 0.000691418+0.00511194j 0.0036879-0.00103325j 0.00040209+0.000375565j -0.00137284-0.00596268j -0.00238284-0.00327232j 0.0066507+0.0104606j 0.00349493+0.000727454j -0.00507594-0.00887688j 0.000189541-0.00526439j 0.00385419+0.00329719j -0.00481702-0.00899j -0.00294413-0.0201439j -0.00192101-0.00818973j 0.00539897-0.00267464j 0.0140827-0.00912523j -0.00203246+0.00756248j 0.00481994+0.00796054j 0.00125925+0.000311484j -0.00927454-0.0162921j -0.00959753-0.00866771j -0.0216601+0.0171912j 0.00797978-0.0296966j -0.0054974-0.021068j 0.00858669+0.01114j -0.00208378+0.0511393j 0.000120075-0.00546892j -0.00276931-0.00445875j -0.0119516+0.0179209j 0.00538014-0.00846213j 0.00307026-0.0117237j -0.0218758+0.0226128j 0.00900715-0.00754215j -0.0257878+0.0285416j 0.00716833+0.0232971j 0.00602728+0.00190222j -0.00934128+0.0154214j 0.0019861-0.00105413j -0.00126989-0.00161989j 
0.00141634+0.0057445j -0.000331609-0.00141162j 0.00043799+0.00503735j 0.000516067-0.0035223j -0.00255699-0.0052647j -0.000756647-0.0050985j -0.00229808-0.00337725j 0.00155804-0.00166334j 0.000966692-0.00204476j -0.000476287+0.00270209j 0.00122387+0.00468207j -0.00155369+0.00313981j 0.00298496+0.00687811j -0.00321139-0.00285022j -0.00210495-0.00480566j 0.0015469+0.00533944j -0.00056252-0.00480971j -0.00536414-0.0103929j -0.000963662-0.00538207j 0.00264476+0.0106326j -0.00415169-0.000392162j -0.000806683+0.011977j 0.00157659+0.005074j 0.00292199+0.00260903j -0.00178507+0.00267554j -0.00276253+0.00500629j 0.00531414+0.00429842j 0.000677772+0.00142398j -0.00688148-0.00767267j 1.71244e-05+0.00124059j 7.92673e-06-0.00403009j 0.00197655+0.00252796j -0.00286058+0.00590518j -0.00429164-0.0056712j 0.00519952+0.0131101j -0.00142708-0.000127487j -0.00478176-0.00030186j -0.00360885+0.00526097j -0.00696595-0.00673375j 0.00898213+0.0196328j -0.00234989-0.00171198j -0.00690169+0.00759197j -0.000355917-0.00268618j 0.00679284-0.00045832j -0.00916168+0.00175223j 0.00338994+0.000738923j 0.00610151+0.00526118j -0.00527478-0.0211608j 0.00228403-0.00716924j -0.00760688-0.0289877j -0.0049084-0.0069876j 0.00239896-0.00644851j 0.00379592+0.0470434j 0.00238092-0.00400191j -0.0170213+0.0256971j 0.0121141+0.0140769j 0.0187944-0.00702849j 0.00210992-0.00634751j 0.012296-0.0186205j 0.006548-0.0120726j 0.00448162-0.00821311j 0.00930865-0.00597926j 0.0132475+0.00116273j 0.023016-0.0182243j -0.0019136-0.0266925j -0.0165055+0.0223975j -0.00154775-0.00102032j -0.00276897+0.00198028j 0.00728846-0.00399271j 0.00107272-0.00296552j 
0.000653834+0.00189377j 0.00218177+0.006669j 0.00283774+0.00297741j 0.000999252+0.00044499j -0.00133525-0.00169948j -0.00139582-0.0010236j 7.1977e-05+0.00090567j 0.00319695+0.00524781j 0.00055326-0.00134671j 0.00416024+0.00431464j -0.00165676-0.010988j 0.000896098+0.00225483j 0.00278075+0.00490171j -0.000206963+0.000832153j -0.000964663+0.00346218j 0.000473434-0.00185965j -0.00151628-0.00362335j -0.00303593-0.000982457j 0.0058865+0.00644701j 0.00260335+0.00157478j 0.00218087+0.00832184j 0.00102589+0.00242608j -0.00157709-0.00427128j -0.00220627+0.00228021j 0.00365705+0.00373879j 0.00122302+0.00415887j -0.00111527-0.00123157j 0.00293509+0.000207813j 4.42547e-05+0.00535603j 0.000151184+0.00393432j -0.0023065-5.64116e-05j -0.0012085-0.001014j -0.00260051-0.00365766j 0.0042285+0.0123446j -0.00592282-0.00956863j 0.000709804+0.00196292j 0.00487803+0.0128158j -0.00122829-0.00522536j -0.00334965-0.00207024j 0.011097+0.00121061j -0.000626189+0.0011732j 0.0082255+0.00373305j -0.00426227-0.0304j -0.00811071-0.0089127j -0.00233557-0.00562879j -0.00681346-0.00567918j -0.000162639+0.00665311j 0.0041716+0.0160784j -0.00148732+0.0218441j 0.00623351-0.016494j -0.00820078-0.00258263j -0.00118497+0.0155185j -0.00899985+0.0113607j 0.00113487+0.0373973j -0.00682701-0.0214916j -0.0115155+0.0116072j -0.00548732+0.0168385j 0.0150284-0.0310404j -0.0127439+0.0208685j -0.0130969+0.00716103j -0.0130795+0.0202733j 0.00601368+0.00183556j 0.0162352-0.02474j -0.00593163-0.022662j -0.012337+0.00800987j 0.00539758+0.000443323j 0.00062573-0.00284535j 0.00497957-0.00909014j 0.00106991-0.00454382j -0.00572176+0.0038996j 
-0.000905814-0.0038886j -0.000618537-0.0017108j 0.000235288-0.000743003j -0.0017232-0.00251735j 0.00112417+0.00127093j 0.00211979+0.00309354j -0.00250453-0.00879185j -0.00267147-0.00488876j 0.000234188+0.00649906j 0.000737646+0.00582277j -0.0030867-0.0049683j 0.00505475+0.00468693j -0.00572956-0.0117021j 0.00312574+0.00463331j 0.00266484+0.0114299j -0.00188446+0.00254865j -0.000868594-0.001867j 0.00125866-0.00883735j -0.00027312+0.00278448j -0.000790111-0.00499061j -0.0021641-0.00166327j 0.00215917-0.00378192j 8.09767e-05+0.00123276j -0.00613128-0.0100014j -0.000345466-0.00261948j 0.00400573+0.00432692j -0.000364659+0.00539243j -0.000597933-0.00241678j 0.00259589+0.000648427j 0.000685182+0.00705193j 0.00699611+0.0169154j 0.000427324-0.00212969j 0.00687345+0.0114746j -0.00534958-0.00145445j 0.00261235+0.00802247j 0.00458032+0.00159323j -0.00280798-0.00672567j 0.00362536-0.0148232j 0.00528267-0.000485792j 0.00207219+0.00731789j -0.00301752-0.00788101j 0.00216253+0.0296665j -0.00993667-0.0159312j 0.00367306-0.00367905j -0.00182075+0.027945j -0.00723495+0.0355321j -0.00905975+0.0144529j 0.00345256-0.00968544j 0.00380835-0.0222236j 4.97267e-05-0.00495364j -0.004947-0.0321303j 0.00785555+0.00537383j 0.00429038-0.00349587j 0.00187642-0.0385416j -0.00248562+0.0204831j -0.00356972+0.00694685j 0.00788467-0.00247678j 0.00139077-0.0128426j -0.00168564-0.00469483j -0.0102239-0.00214757j -0.0132077+0.00250611j 0.0187761-0.0322832j -0.00328398-0.00745456j -0.00431481+0.0104672j 0.00483048-0.00885055j -0.00091369-0.00507692j -0.00101034+0.00584229j -0.00420911+0.00304294j -0.00419938+0.00283453j 0.000469104+0.000875536j 
9.42245e-05-0.000550479j -0.00134802-0.00308074j -0.00228094-0.00453503j -0.00108695-0.00331555j 0.00159277+0.00494385j 0.00221771+0.00451308j 0.000361472-0.00315886j -0.00403319-0.00889727j 0.000678533+0.0084952j -0.00412385-0.000515148j 0.00285861+0.0107048j 0.00224137+0.00324106j -0.0027937-0.0068991j 0.00171747+0.00270309j 0.00170008-0.00058105j -0.000657039-0.00134979j 0.00206937+0.00364186j 0.00379431-0.00371407j -0.00322478+0.00258737j -0.00199909-0.00624448j -0.00143056+0.000456026j 0.00128156-0.00320676j 0.00125096+0.00127688j -0.00431444-0.0162017j -0.00165823+0.00374438j 0.00265892+0.00285996j 0.00206359+0.00384019j -0.007692-0.0148319j 0.00119175-0.00194931j 0.000191392+0.00299111j -0.000613731+0.000668822j -0.00338293-0.0122357j -0.00309677-0.0188892j 0.00210835+0.00877929j 7.24005e-05-0.0251616j 0.00110315+0.00173818j -0.00658614-0.0137022j 0.012585+0.0312541j 0.0036545+0.0175638j 0.0033787+0.013253j 0.00421389+0.00113334j -0.0024229-0.00946635j -0.00229238-0.0127554j 0.00171371+0.0374538j 0.000933631+0.0028283j 0.00629348+0.00203298j -0.00188772+0.0115264j -0.0109038+0.00712735j 0.00337711-0.0244684j -0.00168029+0.017107j -0.000366676+0.00995518j -0.0123747+0.0280059j 0.00485952+0.016721j -0.0016765+0.019834j -0.00616857+0.010964j 0.00572852+0.00417019j -0.00807124-0.0017494j 0.0135867-0.0209281j -0.0100635+0.00437167j 0.00678818-0.0119787j 0.00215921-0.0160595j 0.00533011-0.00294348j -0.00591021+0.00864545j -0.00239207+0.0108889j 0.00430126-0.00227312j 0.00180538-0.00353012j 0.00109613+0.00218935j -0.00692897+0.0070402j -0.000830836+0.000788782j -4.21276e-05-0.00115279j 
-0.000297317-0.00147503j -0.00109318-0.00320996j -0.00316479-0.00636205j 0.000137424+0.0033391j 0.000998394+0.00212924j 0.000140652-0.00113413j 0.00187706+0.00428602j -0.0032234-0.00163819j -0.00237233-0.00568009j -0.0018714-0.00453565j 0.00174031+0.00422954j -0.00320967-0.00525339j -0.000701007+0.00216771j 0.00102138+0.00122143j 0.000186548-0.00491729j 0.00282505+0.00280058j 0.00148674+0.00901485j 0.00273753+0.0116484j -0.00509859-0.0036213j -0.00362677-0.00163801j 0.00307492-0.00491801j -0.00201628-0.00434394j 0.00243741+0.00735879j 0.0065574+0.015584j -0.0029781-0.0111882j -0.00192737-0.00652213j -0.00136525-0.00487455j -0.00526066-0.0050394j 0.000581492+0.00298645j 0.000753131-0.00917182j 0.00103822-0.013981j -0.00304309-0.00908765j 0.0075579+0.0232536j 0.00354999-0.0130824j -0.0032132-0.00407437j -0.00600766-0.0124008j 0.00905353+0.0309569j -0.00448498-0.0240182j 0.00255163+0.00099716j -0.00751834+0.00280536j 0.00279772+1.56253e-06j 0.0069662+0.0221951j -0.00395257-0.0148627j 0.00333822+0.0021717j 0.00274957+0.0166228j 0.00435866-0.0210606j -0.00240916+0.026799j 0.000707833+0.0244322j 0.00186671-0.0283427j 0.00980395-0.0205574j 0.00612604+0.000214905j 0.011768-0.0320406j -0.00158412+0.00903318j 0.0127053-0.0176513j 0.000471267-0.0105395j -0.0154835+0.0225851j 0.00611555-0.0139622j 0.00966487-0.0107515j 0.00662068-0.0131045j -0.00229792-0.0113579j -0.00680416+0.0123291j -0.0112379+0.00695172j -0.00459647+0.012696j -0.000455589+0.00416366j -0.00281168+0.00984049j 0.00207345-0.000419694j 0.00152672-0.00229922j 6.83171e-05+0.00438574j -0.00124783+0.00266197j 0.00293944-0.00184807j 
-9.26098e-05-1.3955e-05j -0.00131186-0.00430034j 0.000170656+0.00436141j 0.000334903+0.00131397j 0.000485685-0.000890365j 0.00182038+0.00519006j -0.00285854-0.0017428j 0.000355126+0.0036845j 0.00178047+0.00636961j -0.00264798-0.0086637j -0.00441711-0.00909281j -0.00137414-0.00483601j -0.00193499-0.00121296j 0.00179308+0.00021458j 0.00378699+0.00773643j -0.00498097+0.00199318j 0.00397651+0.00958399j 0.00214667+0.00399715j 0.00612936+0.0169771j 0.00247003+0.00305338j -0.0024794-0.00397246j 0.00100779-0.00973934j -0.000724512-0.00246915j 0.00263467+0.00472557j -0.00109797-0.00614545j 0.00315316+0.00125591j 0.00325394+0.0185994j -0.0104641-0.0188994j 0.0079771+0.0031623j 0.00226189+0.00184691j 0.000135984-0.00999942j 0.00359643-0.0157453j 0.00207594-0.00224629j -0.0114399-0.000247439j 0.012047+0.0168283j 0.00285723+0.019036j 0.0152776+0.00909522j -0.000144403+0.0256986j -0.00145057+0.01217j -0.00143757-0.0163227j -0.00369969+0.00770277j -0.00503817-0.0172986j 0.00676568-0.0079738j 0.0107099-0.03139j 0.00188959+0.0137612j -0.00195306-0.0186004j -0.00522134-0.00423268j 0.00358367+0.0107446j -0.00301943+0.0120082j 0.0053814-0.00465128j -0.00379913+0.0270997j 0.00267397+0.00894015j 0.00208317+0.0025185j -0.00274581+0.0018161j -0.00521666+0.00981054j -0.0050965+0.00427675j 0.00431976-0.00618676j 0.0077385-0.0166061j -0.00319272-0.0141754j -0.015232+0.0226883j 0.00677823-0.00210429j -0.000214451+0.000993672j 0.000250286-0.00561867j -0.00452889+0.00885647j 0.0056407-0.00768294j -0.000279064-0.00533591j -0.00313555+0.00112656j -1.29905e-05-0.000182402j 0.000717734+0.00150066j 0.00307786-0.00261489j 
