-0.14295-0j -0.177298-0j 0.220772-0j -0.358338-0j -0.290388-0j 0.300773-0j 0.115283-0j -0.102347-0j 0.357708-0j -0.139435-0j 0.152731-0j 0.156606-0j 0.199676-0j -0.200321-0j -0.182563-0j 
0.335377-0j -0.00124289-0j -0.162528-0j -0.000507406-0j 0.409047-0j -0.234195-0j 0.00423755-0j -0.229849-0j -0.145142-0j -0.331202-0j -0.178596-0j 0.176373-0j -0.00143516-0j -0.0474842-0j 0.210806-0j 
0.290388-0j -0.21091-0j 0.0262684-0j -0.0861036-0j -0.358028-0j 0.0402514-0j -0.140607-0j 0.0371491-0j -0.243386-0j 0.056924-0j 0.318104-0j 0.0623571-0j -0.243538-0j 0.648309-0j 0.074531-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.300773-0j -0.36837-0j 0.0543479-0j 0.663501-0j 0.0402514-0j 0.0768596-0j 0.0805027-0j 0.0697174-0j -0.0672549-0j 0.0985953-0j 0.108006-0j -0.32948-0j 0.139435-0j 0.00481096-0j 0.129092-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.139435-0j 0.529702-0j -0.0697174-0j -0.0697174-0j -0.056924-0j -0.0985953-0j -0.113848-0j 0.305823-0j -0.0311786-0j 0.4325-0j -0.152743-0j -0.152743-0j -0.197191-0j -0.00680372-0j -0.182563-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
