-0.192107-0j 0.348391-0j -0.0737362-0j -0.16151-0j 0.1814-0j -0.211454-0j 0.361339-0j 0.0479449-0j -0.0473553-0j 0.0261039-0j -0.0563083-0j -0.149445-0j -0.149028-0j 0.205252-0j 0.0715528-0j 0.0830429-0j -0.0820218-0j -0.211466-0j -0.269701-0j -0.100424-0j 0.0489889-0j 0.0979778-0j 
-0.348391-0j 0.000481409-0j -0.262109-0j 0.00061755-0j -0.0020637-0j 0.0721166-0j -0.137455-0j 0.0572806-0j 0.172564-0j 0.104794-0j 0.0816921-0j -0.0661454-0j 0.472105-0j 0.125105-0j -0.087634-0j 0.0992129-0j 0.298889-0j 0.000808563-0j 0.0119172-0j -0.589221-0j -0.0599989-0j -0.119998-0j 
0.139479-0j -0.166638-0j 0.09797-0j -0.235662-0j 0.125495-0j 0.47546-0j -0.199364-0j -0.334023-0j 0.33405-0j -0.204049-0j -0.144285-0j -0.0692807-0j 0.0399961-0j -0.0742759-0j 0.208158-0j 0.113126-0j -0.113135-0j 0.149996-0j -0.0812076-0j -0.0199996-0j -0.0692807-0j -0.138561-0j 
0.137764-0j 0.502015-0j -0.100456-0j -0.232728-0j -0.127068-0j -0.0424902-0j -0.010589-0j -0.33405-0j 0.342498-0j 0.0399993-0j -0.0862819-0j -0.211347-0j -0.203031-0j 0.0715528-0j -0.208158-0j 0.113135-0j -0.115996-0j 0.148128-0j 0.00195176-0j -0.142021-0j 0.0692807-0j 0.138561-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.16151-0j -0.00061755-0j 0.376902-0j 0.00270896-0j -0.000956705-0j -0.101988-0j -0.0637227-0j -0.081007-0j 0.0799985-0j 0.459693-0j -0.104794-0j -0.263192-0j -0.0496064-0j -0.176925-0j 0.123933-0j -0.140308-0j 0.138561-0j -0.00114348-0j -0.0168534-0j 0.0244944-0j -0.611235-0j 0.169702-0j 
0.211454-0j 0.0721166-0j -0.245153-0j 0.101988-0j 0.111723-0j -0.269712-0j -0.357037-0j -0.163436-0j -0.0146057-0j 0.171022-0j 0.120931-0j -0.0154916-0j -0.100083-0j 0.231636-0j -0.022627-0j -0.283079-0j -0.0252977-0j 0.133534-0j 0.531037-0j -0.00447205-0j -0.0154916-0j -0.0309833-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.0715528-0j -0.087634-0j -0.107329-0j -0.123933-0j 0.564712-0j -0.022627-0j -0.0113135-0j -0.0715528-0j -0.0715528-0j -0.043817-0j -0.0309833-0j -0.0758932-0j -0.043817-0j 0.326037-0j 0.461085-0j -0.123933-0j -0.123933-0j -0.162267-0j -0.00213805-0j -0.0219085-0j -0.0758932-0j -0.151786-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
