-0.00382496-0.0206169j -0.0361295+0.0297113j -0.0126278+0.0745293j -0.0568508+0.0690908j -0.0644181-0.0118562j 0.127469+0.010468j -0.0237355-0.050502j -0.155684-0.0434449j -0.00134163-0.133848j -0.0232673+0.020449j -0.0863361+0.000173772j 0.0817807+0.212384j -0.0434556-0.259762j -0.218477-0.0364189j 0.120956-0.12474j 0.278404-0.141068j -0.0256191-0.1837j -0.0977779+0.195063j -0.00687729+0.0503295j 0.251851+0.0891993j -0.243402+0.105611j 0.120461-0.0840857j 0.042952+0.122704j 0.0170399+0.0132499j -0.0604426+0.165049j -0.263644+0.116325j -0.234912-0.0448192j 0.0226125-0.0326917j -0.034156+0.032542j -0.000667913-0.0102171j -0.0241248+0.0227579j 0.00249686-0.0152202j -0.0229536+0.0233923j -0.0131862-0.0328341j 0.0210918+0.010372j 0.00764649+0.00833902j -9.99495e-05+0.0489437j 0.0253526+0.00554356j -0.0100326+0.00403108j -0.00542509-0.0304895j -0.072507+0.0130429j 0.0376581-0.00764533j -0.0188872-0.0209095j -0.00302871+0.00342519j 0.00311741+0.0479534j 0.0407404-0.0121569j -0.0107534+0.00987302j 0.028148+0.0221395j 0.0193046+0.0392679j -0.0306342+0.0150376j -0.028908-0.0252216j -0.0290844-0.0333712j 0.0245623-0.0561027j 0.0231876-0.0307594j 0.0301671-0.00322174j -0.0035667-0.0121409j 0.00858706-0.018651j -0.000125393-0.00228849j 0.00775874+0.0110019j -0.0155586-0.0109415j -0.00777235+0.022534j 0.00831343+0.0161476j 0.0173942+0.00327203j 0.00567322+0.00828874j 0.0148481+0.0226948j 0.0403885+0.045974j 0.0406117-0.0383248j -0.00513894-0.0078114j 0.00805773-0.0110435j 
-0.0237013+0.0392786j 0.0146275+0.0256979j -0.0863577+0.0973296j -0.0639029-0.039538j 0.040833-0.0916419j 0.174976+0.0763105j 0.0736341+0.00354554j -0.064215-0.0304585j 0.128529-0.0146202j 0.0243157-0.0544178j 0.0739839+0.0455942j -0.147436+0.16598j -0.123256-0.0305051j -0.0933067+0.205108j -0.116499-0.0487547j -0.0905814-0.165313j -0.218763+0.14134j -0.112025-0.176198j -0.0836759+0.0899353j -0.0720188+0.188462j 0.104147-0.00897255j -0.0101405+0.184017j -0.0495446-0.166129j 0.0409788-0.0881601j -0.276037-0.0435274j -0.200306-0.242563j 0.112048-0.14542j -0.0536669+0.0391133j 0.000589916+0.0774346j -0.020337+0.0210767j -0.00316412+0.00909122j 0.0469624-0.0211164j -0.0267073+0.000925971j 0.0350699-0.0238673j 0.0332104+0.022917j 0.0010671-0.0332615j -0.0182624+0.0311279j -0.00329775+0.0193899j -0.0310948-0.0133936j -0.00506836+0.0221643j -0.0229235-0.0021252j 0.0280157-0.00479579j -0.0157714+0.001945j -0.0178761-0.0116221j 0.0124757+0.00572648j -0.00841671-0.0336643j 0.0214837+0.00499546j 0.0546112-0.0108685j -0.0152511-0.0225308j 0.000713921-0.0469877j 0.0422528+0.0350698j -0.035538+0.0483127j 0.00491687-0.0164653j -0.0386328-0.0144614j -0.0302928-0.0235057j -0.0085785+0.00347471j -0.0493895-0.00576031j -0.00543402-0.00661536j -0.0138297+0.00504825j 0.00738164-0.00900504j -0.0066657+0.0390904j -0.0121027+0.00189329j -0.0159676+0.00172427j -0.00285194-0.0274917j -0.0105112+0.0249041j -0.0427748+0.041785j 0.04401+0.0310029j -0.00318019+0.0155769j -0.00854576+0.00201588j 
-0.011393-0.0192008j -0.000923622+0.00155088j 0.177928-0.0511075j 0.0455822+0.0388912j -0.134128+0.147027j -0.149287-0.0976984j 0.0333529-0.0269471j 0.198844+0.0555176j -0.0781418-0.0281434j 0.0451735+0.243216j -0.214608-0.122394j 0.039915+0.0715168j 0.066747-0.00861534j -0.121935-0.164306j -0.0878052+0.126932j -0.18417-0.0910573j 0.0110284+0.0742069j -0.0581981-0.19646j -0.09191+0.0217642j -0.194138+0.081856j 0.253296+0.0565387j 0.146111+0.209064j -0.260737-0.0340377j -0.0653169+0.00424188j 0.112308+0.277472j 0.135818+0.0596406j -0.0869844-0.156869j -0.00665332+0.000209299j 0.0213726-0.00944346j 0.00548941-0.00250595j 0.000245209+0.00223416j -0.0709978-0.00121856j 0.0239587+0.00221204j -0.0565947+0.0066147j -0.0174274-0.00368343j -0.0272238+0.017782j 0.0107841-0.0380638j 0.00514784-0.0234886j 0.0507849+0.000365431j 0.000760246-0.0519008j -0.00271943+0.00359807j 0.000245068+0.0064595j 0.0120316-0.0190158j 0.0118217+0.00465147j 0.00986233-0.000568681j 0.00678589-0.0273904j -0.00707948+0.012242j 0.027377-0.0271883j -0.0339596-0.0285412j 0.0125087-0.01794j 0.0121867-0.00604663j -0.0195815-0.0106431j 0.0390996-0.00471741j -0.0172794-0.00384518j 0.0127356+0.0282374j 0.00417627+0.00163462j -0.00385083-0.0369509j -0.00858918-0.0400476j 0.0236701+0.0135672j -0.00521671-0.000591513j 0.00237053+0.000235536j -0.00558435-0.0107017j -0.00532043+0.0377569j -0.0224857+0.00977711j -0.00488662-0.0135308j 0.0209785-0.0178543j -0.00144166-0.0180911j -0.00231662+0.000916933j 0.00133233-0.00774843j 
0.00302054-0.0177696j -0.0153044-0.00230438j 0.0409116-0.0361283j -3.98806e-05+0.0816377j 0.0214188-0.0999094j -0.145669-0.125299j -0.0353101-0.13584j -0.0622734+0.0140915j -0.190123-0.221361j -0.0849279-0.407776j 0.0929106+0.017544j -0.113473-0.115656j 0.0528456-0.103012j -0.0826729+0.163009j -0.344058-0.0883546j -0.075282-0.0246727j 0.0968772+0.0401423j -0.0400753+0.0856839j 0.0107127-0.00320335j 0.0379789-0.159028j 0.205217-0.362071j -0.0998307+0.0226497j -0.175661+0.176174j -0.100699-0.0673654j -0.101305-0.193904j -0.0716856+0.0416925j 0.0206706+0.0438384j 0.00475813+0.0341715j 0.0532848-0.00233418j 0.0135234-0.0123102j -0.0158861-0.00699149j -0.0156092+0.0248826j -0.00788867+0.0152437j 0.00803061-0.0230102j -0.0333059-0.0480777j -0.0138159+0.0502655j 0.0059238+0.0199378j -0.00649013-0.0230288j -0.0293698+0.0325449j 0.0161339+0.0338685j 0.0189117+0.0257924j -0.00209123+0.00657394j -0.0327235+0.0219393j 0.0526241-0.000477817j -0.0172685+0.0086057j 0.0105069-0.0261526j -0.00328313+0.0199823j -0.0025358+0.0285031j -0.00716004+0.0140936j -0.00241096+0.00737463j 0.0165011-0.0108599j 0.000939144-0.0112415j 0.0250277+0.0261152j -0.0301059-0.000662862j 0.039704-0.000335643j -0.0194563-0.00193298j -0.0104163-0.00455197j 0.00586168+0.000428152j -0.00653272+0.00934419j 0.0174613+0.0232366j 0.0124077+0.0151378j -0.00076626+0.000262464j 0.0175382+0.0138038j 0.00766353-0.00774108j -0.00910649-0.00398702j 0.00926701+0.000717391j -0.0116289-0.00344198j -0.000638857-0.00314097j 0.00161008-0.00391914j 
0.0367603-0.00412359j 0.0134192-0.0359655j 0.21612-0.0652396j -0.055846-0.0209359j -0.215464+0.145693j 0.0173138+0.015362j -0.0920363+0.13986j -0.182757+0.0395528j -0.211352+0.138602j 0.131764-0.146256j 0.163466-0.0492834j -0.0420817+0.225546j 0.0527361+0.0573277j -0.0630009+0.0302781j 0.0671795-0.234953j -0.039393+0.346403j 0.0298414+0.0393248j 0.189561+0.0988534j 0.189931-0.0965168j -0.113304+0.405609j 0.0599673+0.0978334j -0.374623+0.00788786j -0.0249225-0.00755826j -0.0983438+0.0698845j 0.0076719+0.0542845j -0.0305352+0.0300485j -0.0210336+0.0123665j -0.00869728+0.01858j 0.0395752-0.0107622j 0.0303639+0.00820778j 0.0042162-0.0200409j -0.0888481-0.00451674j 0.000656683-0.0287118j -0.0644865+0.00673542j 0.00913991+0.0190125j 0.0153874-0.00426278j 0.0285668+0.0212831j -0.0345544+0.0336396j -0.0315872+0.00656197j 0.0220196+0.0126092j 0.00948523+0.0218257j -0.00289016+0.0274078j 0.00706977-0.00202066j -0.00332708-0.000357416j 0.00575741-0.0189543j 0.0186007-0.0196593j 0.0037409-0.00746305j -0.0185055+0.0122852j -0.0107648+0.0338029j 0.0153698+0.0142448j 0.00973047+0.0104375j -0.0199998+0.00284058j 4.72103e-05-0.0158546j 0.00310701+0.00524601j -0.0234881+0.00184108j 0.0213098+0.0131435j -0.0161795+0.00864988j 0.00400673+0.0063521j 0.00449842+0.0369275j -0.000984479+0.0154306j -0.0370996-0.0102811j -3.32735e-05-0.0293237j 0.00198662+0.0100028j -0.00742538+0.0035065j 0.00253403-0.00707589j 0.0117896+0.00205169j -0.00399425-0.0136971j -0.00240581-0.00263564j 0.0015889-0.00473912j 
0.0222196-0.020693j -0.0188339-0.00815917j 0.141579+0.125202j -0.206047+0.147221j -0.155896-0.204887j -0.000484839-0.0298393j 0.112987-0.0450007j 0.259429-0.120372j -0.0306163-0.00442048j 0.0449208-0.163477j -0.0883579-0.161332j 0.0724407-0.134961j 0.176257+0.00567268j -0.00678426-0.254638j 0.0451345-0.021335j 0.214291+0.0597048j 0.154327-0.232925j -0.0452668+0.188156j -0.0560486-0.1167j -0.0719448-0.200789j 0.00976044+0.0361175j -0.105696+0.00303146j -0.112589-0.0794233j -0.0318608+0.0057337j -0.0220045-0.09817j 0.0378007+0.0386948j -0.00433289-0.0644779j 0.0185318-0.0325393j -0.0277617-0.0245484j 0.0156651-0.0163815j -0.0323503-0.0068987j -0.0586431-0.029583j -0.0484026+0.0325385j -0.0278383-0.0848191j 0.00211102-0.00888155j -0.0456749+0.00974931j -0.0223739+0.0341267j 0.0259358-0.00783111j 0.0190513-0.00157141j -0.0223604+0.00510902j 0.0137527-0.0413091j 0.00276581-0.00642211j 0.00863228-0.0191327j -0.0130485+0.00930875j -0.0134351-0.0130069j -0.00618034-0.0313396j 0.034364-0.0107314j -0.00696943+0.0202556j 0.00214813+0.00116206j 0.00395487-0.00703897j -0.0437632+0.00347234j 0.000970036+0.0132466j -0.01005-0.0102128j -0.00717024+0.0233229j -0.00480794-0.00213362j -0.00460116-0.00895312j -0.0222658-0.0086398j 0.0354458+0.00945817j 0.00211163-0.0141583j 0.00131047+0.00625019j 0.00534113+0.00530789j -0.00236215-0.000706566j -0.00293042+0.0140704j -0.00891845-0.0101928j -0.00431777-0.00779481j 0.0100768+0.0071294j 0.00681383-0.0142915j 0.000414877+0.00613008j -0.00322631-0.00391448j 
-0.0218771+0.000959445j -0.0183003+0.0186051j -0.0469492+0.102524j -0.195461-0.182226j 0.0998839-0.141683j -0.1576+0.173203j -0.0394716+0.104189j 0.194939+0.27021j -0.349523-0.0398131j 0.17094+0.0705535j -0.0582792-0.108002j -0.0221462+0.279757j -0.140613-0.253615j -0.318713+0.0385923j -0.166235-0.0312463j -0.00967655-0.0971197j 0.0628478-0.119887j -0.197791-0.0600362j -0.0300864-0.0707171j -0.0267255-0.036531j 0.0265538+0.0232375j -0.0999426+0.0244956j 0.0674875+0.0253329j -0.0653111+0.0135715j 0.0331754-0.00357972j 0.0337228-0.0098731j -0.0401216-0.0335224j -0.0303556-0.031345j -0.0130142+0.0244491j -0.0236396-0.00966602j -0.0267117+0.0136945j -0.00562001-0.0467572j -0.0382966-0.0504908j 0.046803-0.0414041j -0.0192291+0.0309376j 0.00497654-0.0252145j -0.0404033-0.0171338j -0.0293857+0.0137079j 0.011256+0.0314378j -0.0165103-0.0466264j 0.011585+0.0245843j -0.0340478-0.00503937j -0.00977704+0.000166114j -0.000635472+0.00540191j -0.0292277+0.0139623j 0.0100993-0.022115j -0.0108923-0.0242006j 0.0392259-0.0149981j -0.0286331+0.0299781j 0.014578+0.0270324j 0.0160884+0.0155122j -0.000451662-0.00211505j -0.0165371+0.0196915j 0.00773662+0.015521j 5.34155e-05-0.00117218j -0.0096311-0.00872851j -0.00207087-0.00514711j 0.0141948-0.00400898j 0.00266118-0.0156215j -0.00606038+0.00881189j 0.00193824-0.00314929j -0.012474-0.00656654j 0.00155595-0.00875648j -0.00452557-0.00695952j 0.00788462+0.00104105j -0.00807943+0.0089168j 0.000469609-0.000303642j 0.00491048+0.00110804j 0.00183138+0.00326183j 
0.0164635-0.00413602j 0.00039345-0.0247583j -0.0269499-0.00247007j -0.0276621-0.0229122j 0.00403547-0.0170808j 0.0225827+0.0393981j 0.00487601-0.022423j -0.0184165-0.0370488j 0.0160307-0.00505867j -0.00344966+0.000558946j -0.00893274-0.0141294j -0.0231596+0.0556323j 0.00301828-0.0591539j -0.0446793-0.00253769j 0.023957-0.0485907j 0.0452214-0.0411603j -0.000872496-0.0130956j -0.0330822+0.0249873j -0.0239968-0.00909389j 0.0378869+0.031176j -0.0161962+0.0178406j -0.0214198+0.00789128j 0.00420213-0.00572097j -0.00150587+0.000347405j -0.0462344-5.53477e-05j -0.0303238+0.00851215j -0.0500076+0.0122615j 0.0135569-0.00501831j -0.00104536+0.0511296j -0.0332532+0.00621853j 0.000534927+0.0311172j -0.0242857-0.0855116j -0.0445314+0.0966015j -0.0238963-0.0153529j 0.0926972-0.0446558j 0.0264493+0.0189765j 0.0986109-0.0369105j -0.0017441-0.0509261j -0.0449038+0.0360243j -0.034636-0.0107344j 0.106206+0.095311j -0.123932-0.0115074j -0.0233984+0.064509j 0.0641796+0.0515321j 0.106315-0.0224593j -0.0590551-0.0120625j -0.0707846-0.0399783j -0.0552149-0.0493606j -0.0190631-0.0703999j -0.00635043+0.137494j -0.0313964+0.0925988j 0.236382-0.00427692j -0.118572+0.105552j 0.139039+0.124024j 0.00226597+0.132561j 0.13832-0.0308523j 0.011175+0.181997j -0.0571263-0.00485383j 0.0563882-0.047962j 0.0982896+0.0210518j 0.144543-0.175212j -0.108895-0.160274j -0.0939147-0.0640882j -0.00376391+0.0350531j -0.164847+0.0219923j -0.1339-0.222179j -0.239145+0.111659j 0.011122-0.0108158j -0.0178355+0.0329903j 
0.00458848-0.0335533j -0.0256149+0.000225379j -0.0442877-0.0312526j 0.0138192+0.00726059j 0.0182284-0.016008j 0.0134277+0.0434709j 0.00725854+0.0325992j 0.00720031-0.00124416j 0.0104051+0.00663755j 0.0108165-0.0101356j 0.0166174+0.0357844j -0.0216154+0.0128459j -0.0207422+0.0114718j -0.00231459+0.0520626j -0.0375371-0.000127465j -0.0302382-0.0258944j -0.0408012+0.028169j 0.0120921-0.0535029j -0.0389654+0.00753221j -0.0111537-0.0245977j 0.0191326-0.00870531j -0.0124569+0.0359423j 0.0345343-0.0315737j 0.018883-0.01095j -0.0287283-0.0300061j -0.0430806-0.0229352j 0.0141166-0.0254306j -0.00846373+0.0357638j -0.0205455+0.0137179j -0.00220086+0.0413442j 0.0553638-0.000139468j 0.0104338-0.10498j -0.0579758-0.0772115j 0.0414064-0.052269j 0.0443778-0.00298361j -0.0877622+0.0982972j -0.0116404+0.00806923j 0.0813485+0.0201089j -0.0391467+0.0189162j 0.0618595-0.0668497j -0.0399528+0.00863183j -0.0303023-0.0091029j 0.0804842-0.013069j 0.00614593-0.0447176j 0.0360888+0.0120043j 0.131597+0.0332497j -0.0053676+0.0308696j -0.0411069-0.0529685j 0.0418642+0.15086j -0.121743-0.0298775j 0.0296272-0.118968j 0.0159386-0.183009j 0.110895+0.085954j 0.190806-0.0888884j 0.137271+0.103283j -0.0912892-0.0143156j 0.163676+0.0451064j 0.0488819-0.128576j -0.014502+0.147245j -0.0976133+0.0440634j 0.0700592-0.00148204j 0.210428-0.0569963j 0.039548-0.110234j -0.00825041+0.150215j -0.0414622-0.174868j 0.259439-0.110472j -0.147558-0.217983j 0.00138046-0.0590417j 0.0289799-0.0410514j 
-0.0177339-0.0224929j -0.00127141+0.0187766j -0.00881113-0.0199059j 0.0221691-0.000363702j 0.0151784+0.0151634j 0.00707343+0.0214375j 0.0147685+0.00373979j -0.000211764-0.00288564j -0.026666+0.0137836j -0.0133925-0.00109132j 0.0263419+0.0374334j 0.0143804-0.0251511j 0.0187379-0.0134886j -0.00183268+0.0126848j 0.0125344-0.00726804j 0.0203698+0.0133868j 0.0276463-0.00333229j 0.0210273+0.00512145j -0.0136612+0.0256233j 0.00873244-0.0186743j -0.0118587-0.00542649j 0.00833561-0.0349087j 0.011571-0.0368028j -0.027592+0.00264551j 0.00325766+0.0127654j -0.010795-0.0257235j 0.0230375+0.0121716j 0.0166566-0.00363777j 0.00609409+0.00305588j 0.0331311+0.0179405j 0.00868465-0.015463j 0.0616968-0.0607734j -0.0711027-0.0234981j 0.0459699-0.106329j 0.0876459+0.0275099j 1.02018e-05+0.0349765j 0.0417325-0.00746545j 0.0257221-0.0231495j -0.118429+0.00928936j 0.122836-0.0840692j -0.10901+0.0472137j 0.016065-0.0113757j 0.111751+0.132142j 0.0669122+0.150343j 0.211085-0.0161052j -0.0244787-0.180825j -0.00991113+0.113727j 0.0399484-0.103436j 0.0152188-0.0401555j 0.124609-0.000318406j -0.0225606+0.0410672j -0.0336271-0.14275j 0.234344-0.0428864j -0.00473236+0.00109461j 0.0634038+0.198541j 0.266381+0.0111022j 0.00441466-0.339784j -0.143479-0.00155987j -0.0140358-0.0595756j 0.324089-0.0509243j -0.161418-0.0158971j -0.0178889+0.133177j 0.125294+0.236883j -0.219115+0.00375178j -0.132542-0.128716j -0.0170089+0.0645098j -0.0244954-0.0983259j -0.00361589+0.0132213j 0.00113805-0.0333905j 
-0.0124769+0.0157529j 0.0115128+0.0266842j 0.0287198-0.017154j 0.00897588+0.00735802j 0.01594+0.0179086j -0.00755459-0.00355574j 0.0205951-0.0261413j -0.00641563-0.0161563j -0.015331-0.0121415j -0.00931859-0.0092552j -0.0235004-0.00458051j 0.0154691-0.0119907j 0.0165495-0.0182973j -0.0334827+0.0236604j -0.0271797+0.024441j 0.0271128+0.00352022j -0.0266385-0.0112442j -0.0141409-0.00371035j 0.0357754-0.00419937j 0.0312771+0.00503274j 0.0224834+0.0129474j 0.00742333+0.00267193j 0.0284916+0.00753413j -0.009176-0.0534809j -0.031543-0.00712078j 0.00225977-0.00326025j 0.00615704+0.0186799j -0.00160149-0.00555967j -0.0165841+0.0119626j 0.0270005-0.0185734j -0.0149799-0.0210562j 0.0917184+0.00453982j 0.00212746-0.00800626j 0.0670602-0.124079j 0.0654085+0.0486535j 0.0684161-0.0364607j 0.0435594-0.0159852j 0.0170458-0.00500868j -0.0158568+0.0364239j 0.130041+0.15707j 0.00263428+0.00154728j -0.0791149+0.0372006j 0.328004+0.156923j -0.119642+0.0690312j 0.0149494-0.197513j 0.0680678+0.00589865j 0.131484+0.0377177j 0.0998234-0.056148j -0.0416538+0.0297542j -0.045015-0.0802091j -0.0510295+0.0719875j -0.206257+0.0202165j -0.170948-0.274066j 0.00674209+0.0981555j -0.0879004-0.255979j -0.10599-0.108694j -0.162744+0.0132863j -0.0848923-0.150286j 0.177567-0.129409j -0.044485+0.226065j 0.0265664-0.0159281j -0.140078+0.0601272j -0.179216+0.0851836j -0.0492411-0.114129j -0.0239146-0.118625j 0.0218376+0.0243891j -0.00980336-0.0398635j -0.0100399+0.0559292j -0.0311241-0.00556976j 
