-0.493004+0.137115j 0.363274+0.607j 0.158316+0.00154036j -0.379001+0.596746j -0.487709-0.149765j 0.140923+0.163683j -0.16242+0.252176j -0.127837-0.0358185j -0.239259-0.0013403j -0.126145+0.0345599j 0.158221+0.253583j -0.141983+0.160432j 0.0455041-0.0449432j -0.0553249-0.040178j 0.132622+0.0908186j -0.0542498+0.0589901j 0.0627923-0.180203j -0.0693292-0.027433j -0.0676523+0.0849253j -0.0499768-0.011135j -0.0941094+0.0161535j 0.0452252+0.00794698j 0.0751424+0.04197j 0.07922-0.0387515j -0.0451787+0.00663301j 0.0911385+0.0197751j -0.0515518+0.00871055j 0.065602+0.0876907j 0.0682272-0.0255717j -0.0576083-0.183102j 0.0513043+0.0546313j 0.134455-0.0860053j -0.055288+0.0395925j 0.0447187+0.0447179j 
-0.19102-0.252315j -0.152936+0.065149j -0.261599-0.000982276j 0.150809+0.0681184j -0.194946+0.250115j 0.236879-0.375614j 0.283801+0.169349j -0.247719-0.266222j 0.196937+0.00136605j -0.250732+0.26445j -0.28832+0.165834j -0.232339-0.38094j -0.304644-0.0629054j -0.0193386+0.280553j 0.0222839+0.0284503j -0.0291288-0.0701298j 0.0505037-0.145772j 0.151836-0.00268666j -0.0239904-0.158269j -0.0889597+0.0195362j 0.0212964+0.0589176j -0.0439154-0.0757461j 0.160492-0.0801883j 0.159581+0.0794116j 0.0445348-0.0750857j -0.0239208+0.0568957j -0.0879525-0.0189269j 0.0221887-0.157287j -0.151213-0.00220431j -0.0503884-0.144175j 0.0262547-0.0687504j 0.0240658-0.0261472j -0.0150338-0.279127j -0.302394+0.0587518j 
0.0887345+0.0400714j -0.0693015+0.0893866j 0.151151+0.0314789j 0.0417235-0.071088j -0.142489+0.0391899j -0.117047+0.035816j 0.0247472+0.131836j -0.296315+0.229431j -0.112771-0.193088j -0.0496853+0.00567738j -0.113409-0.0749884j 0.265658-0.0322542j -0.0337524-0.0455653j 0.0411349-0.0265255j 0.0782286+0.0869661j 0.159438-0.0624717j 0.0304608+0.0693607j 0.423708+0.124242j 0.213386-0.0126026j 0.125924+0.0301273j -0.161476+0.244705j 0.0498145-0.224974j 0.02691-0.0840852j -0.0174657-0.0403085j 0.0239605-0.0897689j 0.0294513-0.0437546j 0.0453296-0.219013j 0.0663895-0.0292998j 0.103282-0.1276j -0.0128595+0.0131j -0.177307+0.162246j 0.0981434+0.197086j -0.16759+0.130496j 0.0466818+0.266124j 
0.0129811-0.150445j 0.024826+0.0300362j 0.251142-0.000420787j -0.0258707+0.0320126j 0.014699+0.149212j 0.124437+0.0446689j -0.116266-0.0503065j 0.0634026-0.161362j 0.203988+0.00332193j 0.0596242+0.16076j 0.117604-0.0486752j -0.126244+0.044362j 0.043803+0.0936779j -0.00733653-0.00876012j 0.0616717-0.260587j -0.0113888-0.0389913j -0.384735-0.0485079j 0.181303-0.0758786j -0.0682566+0.191231j 0.0952943+0.133678j -0.19808+0.0351562j -0.0224414-0.333043j 0.0439508-0.0414286j 0.0452947+0.0450088j 0.0258785-0.336276j 0.19709+0.0384772j 0.100456-0.131672j 0.0596068+0.187052j -0.185703-0.0817436j 0.385457-0.0388161j 0.0229902-0.0420507j 0.0540616+0.261382j -0.00485999+0.00800422j 0.0438386-0.0935701j 
0.0777592-0.0640202j 0.125723+0.0240648j -0.17002-0.0387704j -0.124481-0.0299654j 0.0440034+0.0916377j -0.177598+0.058084j -0.0795248-0.0600599j -0.229836-0.143608j 0.173777+0.0395113j -0.271354+0.0300031j 0.0977376-0.0185564j 0.135956+0.128143j -0.0798196-0.0300458j 0.0754192+0.127487j 0.238872+0.0353284j -0.21695+0.227028j -0.0327349+0.137886j 0.0402354-0.302608j 0.20611+0.0877949j 0.159327-0.106278j 0.122277+0.0278096j 0.122018-0.0648405j -0.0581417-0.0236121j -0.0671348-0.00627469j -0.0830779-0.109975j -0.121055-0.026728j 0.100204+0.168338j -0.221887-0.0121223j 0.0985499-0.287366j -0.0325577+0.130415j 0.0944821+0.304501j 0.231235+0.0688337j 0.124866-0.0800743j -0.0842563-0.0101613j 
0.14366+0.0387419j 0.0439398+0.0705672j -0.148821+0.0310071j -0.071033-0.0899253j -0.0886858+0.0414645j 0.26375+0.0366524j -0.11744+0.0741842j 0.0521672+0.00302819j 0.115993-0.190468j 0.294958+0.23246j 0.0265484-0.133545j -0.117285-0.0342381j -0.0502255+0.265177j 0.162562+0.133449j -0.0996392+0.196198j -0.175472-0.161994j -0.0213883-0.0135605j 0.105454+0.126164j 0.0647423+0.0282518j -0.0452059-0.22017j 0.025731+0.0472412j 0.0231642+0.0860819j 0.0160449-0.0389888j -0.0264871-0.0897674j 0.0457069+0.223774j -0.158527-0.24305j -0.132961+0.0279037j 0.219969+0.0159758j 0.421281-0.121043j 0.0326926-0.0708833j 0.158728+0.0643288j -0.0782634+0.0893977j -0.0391351-0.0257593j 0.0338304-0.0451253j 
0.023486-0.00851556j -0.013108+0.0712893j 0.027435-0.0303049j 0.0558739-0.0173288j 0.00746453+0.0193353j -0.0280972+0.0314693j 0.0459822+0.0987233j -0.0072904+0.0845209j 0.0844329-0.0684144j -0.0613495-0.121463j 0.0582197-0.0544717j -0.0893648-0.0795259j -0.000503181-0.0313616j 0.0739788+0.0215929j 0.00463634+0.0321637j 0.0930155+0.0393302j -0.0372013+0.0390006j 0.0946318+0.0545458j 0.0587199+0.107549j -0.0170477-0.023176j -0.0565737-0.115274j -0.056237+0.0342129j 0.0614773+0.0578551j 0.330625+0.00110599j 0.0275589-0.0147542j -0.107411-0.0226168j 0.13023+0.00755999j -0.0736141-0.189438j 0.0152302+0.0918017j 0.0460427-0.0384237j 0.137297+0.00310882j 0.0399817+0.00790478j 0.104779+0.0706142j 0.15919+0.103007j 
-0.0393215-0.0102315j -0.0378864-0.0857933j 0.0421824+0.0757871j 0.0345446+0.0513228j -0.0402767-0.045252j 0.0744896+0.021711j -0.0213261-0.0375213j -0.0531887+0.0332413j 0.0530736+0.00717637j 0.01367-0.0503373j -0.0474119-0.0269825j -0.0114109+0.0341138j -0.0797284+0.0234098j 0.0466938-0.0645517j 0.0475815-0.0548598j 0.0609194-0.0163582j 0.125502+0.0356675j 0.0982614-0.101385j 0.103011+0.0592952j 0.00306438-0.0675724j 0.110699-0.0895797j 0.073295-0.0750615j 0.196265-0.0455933j 0.102053-0.0438277j -0.0680862-0.0302291j 0.00025139+0.0930509j 0.194223+0.109209j -0.0149349-0.0954066j 0.126279+0.103135j 0.0600061-0.131003j -0.00235549-0.164527j -0.0551507-0.0431591j -0.0081384-0.00629493j 0.179044-0.0624295j 
-0.0497171-0.0613892j 0.0222717+0.0292049j 0.0944979-0.0162542j 0.140865-0.0905419j -0.0352423-0.0311423j 0.0920343+0.0137591j 0.0240797-0.0722646j 0.0129816+0.0221692j -0.0147619-0.0432873j -0.0582831+0.0164121j -0.0927065-0.0376887j -0.0313457+0.100314j -0.0235421+0.0177938j -0.0615478-0.00944494j 0.0700095-0.0490356j -0.0636976-0.0136525j -0.00968313-0.00155301j 0.0417348+0.00272516j -0.0641601-0.108168j 0.130108+0.0205752j 0.0491341-0.0351654j 0.0854636-0.0722735j -0.187029+0.0646673j -0.118112+0.0466323j 0.168456+0.096784j 0.081514-0.100143j 0.010949+0.119223j 0.101811+0.0841061j -0.0537142+0.101759j 0.0085268-0.0492031j -0.00880969-0.00837975j 0.104611-0.0146403j -0.0842229-0.0329673j -0.0930123-0.0352369j 
0.103918-0.0010279j 0.0363488+0.109196j -0.111134-0.000188328j -0.0332836+0.106301j 0.104048-0.00195105j 0.0474396+0.0480991j 0.0498463-0.0462353j -0.0154313-0.00746837j -0.0255253+0.000135248j -0.0161459+0.00985893j -0.0509878-0.046098j -0.047031+0.0489637j -0.0445288+0.106026j -0.10436-0.0222136j 0.0621462-0.0311118j 0.0228625-0.101445j 0.0669309-0.0997958j -0.0155606+0.0163277j -0.0756603-0.0417593j 0.205165-0.153554j 0.0309129-0.0923311j 0.00152463-0.103636j -0.0597532+0.00683028j -0.0592218-0.00572613j 0.00213855-0.0999005j -0.0281067-0.094056j 0.202283+0.155045j 0.0796069-0.037638j 0.017011+0.0182909j -0.0663477-0.098293j -0.0250052-0.104279j 0.0642978+0.032497j -0.10536+0.0209477j -0.0453833-0.105679j 
-0.00356783+0.0180579j -0.0732055+0.0471942j 0.0411965+0.000245499j 0.0754447+0.0454584j -0.00480387-0.0196483j 0.00690934+0.0173677j 0.0500186-0.00774025j -7.2047e-05-0.0542081j -0.103272+0.000153365j 0.000219062+0.0536547j -0.0522903-0.00707378j -0.00558659+0.0183127j 0.000768468-0.109571j 0.0508099+0.0342623j 0.0652354+0.0370724j -0.0816388+0.0964231j -0.081421+0.0803891j 0.0729417+0.0802919j -0.0230979-0.00265278j -0.0584791+0.0884453j -0.0497164-0.0431817j -0.143139+0.0624317j -0.0448236+0.109063j -0.0437464-0.109447j 0.144735+0.0635549j 0.0523297-0.0413947j -0.0585505-0.0874815j 0.0228101-0.000940317j -0.0735337+0.0822253j 0.0804614+0.0781183j 0.0826315+0.0981149j 0.0646459-0.0389851j 0.0517156-0.0346043j 0.00123947+0.108568j 
