0.00302366-0.0308546j 0.0469581+0.0874486j 0.024516+0.179902j 0.179028-0.0287597j 0.0862891-0.306982j 0.375657+0.509518j 0.0923221-0.0336j 0.312212-0.400275j 0.370079+0.330768j 0.321376-0.0159845j -0.066039+0.0144343j -0.0384639-0.164419j -0.138565+0.175938j -0.251107+0.0170203j 0.116819-0.36628j 
-0.114944+0.00800444j 0.0395934-0.182936j 0.526378-0.0464526j -0.298265+0.202805j 0.377416+0.179334j 0.132343-0.0994259j -0.0681695+0.28579j 0.0583633+0.012747j 0.0523718+0.278742j 0.138052+0.0888387j 0.374938-0.17228j -0.290608-0.196983j 0.535785+0.0482444j -0.0293491-0.182836j -0.112994+0.00430862j 
0.109284+0.367568j 0.251964+0.0305678j -0.149831-0.171314j -0.0330715+0.15906j -0.0748337-0.0184207j 0.313805+0.0215539j -0.374559+0.321014j 0.299485+0.40726j -0.0979165-0.0499583j 0.379348-0.507012j 0.0778335+0.31647j 0.185779+0.03275j 0.0124002-0.178832j -0.0446457+0.0884987j 0.00588578+0.0300179j 
-0.0132598+0.00581473j -0.0383791+0.000515421j -0.0708186-0.0576333j -0.0866075-0.0527965j -0.0510098+0.0575513j -0.0631962-0.120983j 0.0400548+0.082129j -0.0400418-0.0874409j -0.0466868-0.187099j 0.253889+0.0145981j 0.0297391-0.0630193j -0.0967114-0.168405j -0.138169+0.081837j -0.038846-0.0152633j 0.10532+0.0908892j 
0.0582982-0.0336739j -0.0597811+0.0739244j -0.0747637+0.00332838j 0.127351+0.0862266j 0.0629278-0.0560111j -0.156536+0.0900014j -0.163833+0.0607951j -0.0302914-0.00902726j 0.138535-0.102216j -0.0345187-0.0798147j 0.0279473-0.0306149j -0.090168+0.0526925j 0.042833+0.155764j 0.077575+0.0709952j 0.0273777-0.120482j 
0.0251422+0.0389471j -0.00513729+0.0396221j 0.00848756-0.00202486j -0.0650858+0.115455j -0.0570744-0.307851j -0.0606064-0.0855391j 0.0859365+0.0793651j -0.0934636+0.00140778j -0.0835377+0.0779533j -0.062474+0.0870536j -0.058738+0.306339j -0.0643912-0.119392j 0.0100535+0.00414001j 0.00632099+0.0389674j 0.0246149-0.0403959j 
-0.0320567-0.116354j 0.0762576-0.0718283j -0.0389759+0.15968j 0.0895858+0.0439201j -0.0307226-0.0299891j 0.0298505-0.0827175j 0.139868+0.103913j 0.0340447-0.0100613j -0.165581-0.0588308j 0.157401+0.0883498j -0.0673221-0.0538012j -0.121368+0.0863766j 0.0766935-0.00140893j -0.0623313-0.075894j -0.0570046-0.0300586j 
-0.105192+0.0912918j -0.0411613+0.0215866j 0.139699+0.0766467j 0.089536-0.171566j -0.0328978-0.0589894j -0.256702+0.0175822j -0.0478976+0.185718j 0.0374987-0.0884094j 0.0429098-0.0804677j 0.05823-0.120275j 0.0533867+0.0591889j 0.0892118-0.0563237j 0.0682347-0.0562121j -0.0355254-0.000183361j 0.0157192+0.00680618j 
0.00298801+0.0117879j -0.00368455+0.00669413j -0.0116322+0.0139087j -0.0282854+0.0239228j 0.00224274+0.0118407j -0.0492279+0.012882j 0.0045626+0.0455244j 0.0204615-0.0266785j -0.0137008-0.0363349j 0.0472518+0.0249605j 0.0853106+0.000396543j 0.0266666-0.0475579j -0.00243329-0.0539236j 0.030586-0.0728543j 0.00358718-0.0399823j 
0.000532473-0.0101084j 0.0166771+0.0347032j 0.00159729+0.0269732j 0.0181944-0.0159522j 0.0141871-0.00250499j -0.023174-0.047578j -0.0926348+0.00707087j -0.0167871+0.088381j 0.0443714-0.00248811j -0.0674846+0.00406666j 0.0202236+0.118134j 0.0541262-0.0220989j 0.0388103+0.0335148j 0.0340135-0.0334188j -0.0174638+0.0662121j 
0.0243434-0.000985464j 0.0225172+0.0256442j 0.0270111+0.0496995j 0.0395103+0.0636745j 0.0354304-0.0013598j -0.0238804+0.0846653j 0.0427593+0.037122j -0.0369285-0.0083987j -0.0581875+0.00213686j 0.0414284-0.068753j 0.0831349-0.112595j -0.0525192-0.107329j -0.0855755-0.0176806j -0.113381-0.131733j -0.0792724+0.00397724j 
0.00897577-0.00152416j 0.0530664+0.0025688j 0.0737963+0.0185447j 0.0298378-0.0286036j 0.00878931-0.0543844j -0.0449719+0.00343693j -0.06388+0.116335j 0.0844418+0.0847237j 0.0127184+0.00570754j -0.0839066+0.0561659j 0.116157-0.0087494j -0.0522933-0.0760201j 0.0490978+0.00578551j -0.0764119-0.0428499j 0.0471532+0.0879214j 
0.0560921+0.00406475j -0.053+0.0290516j 0.00170359-0.0203716j 0.00777149+0.0470807j -0.0346803-0.0493658j -0.0255923-0.0230014j -0.0293111+0.0145956j -0.066131-0.0978131j 0.0230321+0.064752j 0.0114778+0.0140101j -0.0540412-0.0172404j 0.0117629+0.0405276j -0.0274403-0.04588j 0.0675965-0.0309189j -0.0727038-0.0692657j 
-0.00165551+0.044133j -0.0310867-0.014678j -0.020925+0.0222885j -0.0374278-0.0001648j 0.116686+0.0537554j 0.0632296-0.017438j 0.046046-0.117509j 0.0663443-0.02895j -0.0387411-0.0261417j 0.00519537-0.0521077j -0.0467761+0.0138173j -0.00462299+0.00876908j 0.02524+0.0178662j 0.0324483+0.0455674j 0.015735-0.0618845j 
0.0640052-0.0155534j -0.0305646+0.0240842j 0.0138448-0.0197329j 0.0372079+0.011289j 0.0253604+0.0645428j -0.0217293+0.0245348j 0.10446+0.0915683j -0.00487649-0.0330483j 0.12885+0.0543196j -0.00507913+0.0337228j -0.100151-0.0134509j -0.0251809-0.00446348j -0.0141314-0.0172394j -0.0177157-0.0499767j -0.0450688-0.0322016j 
-0.0451706+0.0357884j 0.0120406-0.0468386j -0.0155651+0.0174293j -0.0260514+0.00144069j -0.104101+0.0157024j -0.00233718-0.0343594j -0.126646+0.0542796j -0.0106923+0.0356438j -0.1027+0.0912316j -0.019396-0.0244936j 0.0204036-0.0619531j 0.038149-0.00912622j 0.0119244+0.0201964j 0.0362506+0.0249578j 0.062932+0.0125939j 
0.0194011+0.0592976j -0.0312435+0.0492126j 0.0271967-0.0188389j -0.00630671-0.0087567j -0.0473194-0.0153803j 0.00297831+0.0510647j 0.0368301-0.0254896j 0.0660334+0.0256432j -0.0468836-0.115971j 0.06472+0.0182355j 0.115217-0.0556377j -0.0387301+0.00197326j -0.0217261-0.0227615j 0.0302217-0.0188947j -0.00450541-0.0437933j 
-0.0683886+0.0734294j -0.0756608-0.0235131j -0.0258306+0.0449128j 0.0141136-0.0464047j -0.0564792+0.0186509j 0.0155814-0.0144003j -0.0187801+0.0606891j -0.0666564+0.0997343j 0.0302124+0.00776693j -0.0222739+0.0244332j -0.0366155+0.0481615j 0.00580995-0.0452394j -0.00195337+0.0214069j 0.0580467+0.0281073j 0.0521473-0.00715373j 
0.0386597-0.0841236j 0.0804763-0.0491916j 0.041489-0.00145403j -0.0546757+0.077334j 0.115069+0.0115914j -0.0819171-0.0548611j -0.0162135+0.00779154j 0.082038-0.0784005j 0.0597275+0.11764j -0.0466455-0.00622847j 0.0117779+0.0571146j 0.034221+0.0227133j 0.0749266-0.0187864j -0.0504566+0.00408202j 0.0144858+0.00256635j 
-0.0861353+0.00485211j 0.106033-0.130462j -0.0897838+0.0251065j -0.0481132+0.10703j 0.0809422+0.112353j 0.0452099+0.0688108j 0.0576092+0.00136798j -0.0390069+0.0162632j -0.0469692+0.0334888j -0.0225648-0.0844803j 0.0365185-0.000722228j 0.0379938-0.0662486j 0.0250678-0.0470594j -0.0184096+0.0248465j 0.0269451-0.000286546j 
-0.017331-0.0638419j -0.0321697-0.0405248j 0.0382738-0.0300414j 0.0537963+0.0248968j 0.0212689-0.116562j -0.0660941-0.00386861j -0.043295+0.000605966j -0.0144957-0.0878032j 0.0918908+0.0111778j -0.0251556+0.0467288j 0.015259+0.00174901j 0.01744+0.0137435j 0.00278394-0.0296271j -0.0170399+0.035461j 0.00234467+0.00801576j 
0.00497262+0.044145j -0.0301577-0.068778j -0.000421787+0.057073j 0.0278498+0.0443053j 0.0840554+6.21145e-05j 0.0466581-0.0261515j 0.0129471-0.0355727j 0.023118+0.0283921j -0.00739354+0.045454j -0.0483316-0.0143842j 0.00170357-0.012109j -0.0282572-0.0238051j -0.010576-0.0127618j 0.00372024+0.00486663j 0.00304305-0.012417j 
