0.147546+0.12424j 0.213851-0.00972627j -0.0117792+0.213845j 0.0738563-0.043202j 0.131927-0.190975j 0.0453726-0.104706j 0.307084+0.165444j 0.0381835-0.0391331j 0.0778463-0.230975j -0.0062322-0.0108895j -0.0290493+0.0244669j 0.0379114-0.0165469j -0.0657276+0.0328806j -0.159797+0.0364002j -0.360159+0.00552571j -0.00152834-0.0479534j -0.0430277-0.0187898j -0.120699-0.48291j 0.110228-0.0606203j 0.065788+0.232515j 0.125951+0.0138402j 0.402655-0.162316j 0.0581303-0.293435j -0.228411-0.101672j 
0.227168-0.00156836j -0.0731727-0.063996j 0.070978-0.0662485j -0.0481233+0.281036j -0.0920559+0.161065j 0.299304+0.041588j -0.305994+0.0341092j -0.0902603-0.157157j 0.0424298+0.285047j -0.0619626+0.00888889j 0.136318-0.0667645j -0.2172+0.041655j 0.139706+0.23345j -0.00627439+0.198431j -0.261394-0.133361j -0.0127523-0.215071j -0.101232-0.00012181j 0.0225221-0.206374j 0.268595-0.116984j -0.00395043+0.197508j 0.142515-0.232381j 0.207848+0.0503029j -0.134989-0.0619709j 0.0653426+0.0129828j 
-0.144303+0.124777j -0.0106688-0.215389j 0.215453+0.0113492j 0.0733588+0.236118j -0.0363459-0.0383868j 0.314739-0.159488j 0.0407693+0.108146j -0.129677-0.194898j 0.0747611+0.0474551j -0.233828+0.0957734j 0.0498315+0.292374j 0.396927+0.175483j -0.121434+0.0178149j 0.0729165-0.226294j 0.0984209+0.0706449j -0.130895+0.476323j 0.0419086-0.0206475j -0.00539121+0.0394825j -0.359447-0.0167389j -0.149366-0.0318397j 0.0668966+0.0279767j 0.0445675+0.0172131j -0.0318331-0.0271478j -0.00608659+0.0112102j 
-0.022686+0.0163215j -0.139462-0.00995317j -0.0565861+0.126847j -0.0670551+0.027958j -0.113644+0.134193j -0.0276822+0.019156j 0.0384271-0.0329451j 0.0337696-0.0528835j 0.175111-0.0858649j 0.0290853-0.00976273j -0.0206425+0.0549936j 0.0260874-0.0673026j 0.00915782+0.0141928j 0.0309321+0.0918524j 0.0670364+0.226556j 0.00754846+0.00376974j -0.0532441+0.0443486j -0.0753276+0.00449111j -0.0240071+0.023771j 0.144444+0.0619234j 0.180895+0.0143395j 0.0155483+0.1808j 0.160612-0.00220769j 0.216075-0.0698137j 
0.00855959-0.0352697j 0.00726932-0.0412026j -0.0355305-0.0209262j -0.116104+0.147978j -0.0845694-0.0486268j -0.0516065+0.0325756j 0.0538701-0.0189557j -0.0736404+0.118566j 0.151835+0.00422964j -0.026136-0.153605j 0.071231+0.139845j -0.114828-0.170808j -0.0997867+0.0601902j -0.000557716+0.0159996j 0.136929+0.0842727j -0.00341965+0.0084722j 0.178787+0.0607279j -0.0496625+0.0231728j -0.0441072-0.0703599j 0.177144-0.0180658j 0.0475923-0.0857146j 0.185409+0.0502925j 0.0380575+0.0502155j 0.230861-0.224061j 
0.00300694-2.89715e-05j 0.0737641-0.105971j -0.0742979-0.105482j -0.0326493-0.141972j 0.0320538+0.257482j 0.0104892-0.0195398j -0.0110514-0.0189902j 0.0331497-0.258473j 0.0327678-0.14203j -0.10176-0.05122j 0.0647605+0.165828j -0.041136-0.0947553j -0.127768-0.011023j -0.0692453+0.027531j -0.0443516-0.0755636j -0.00785046-0.021357j 0.204003+7.34998e-05j 0.00960808-0.0212531j 0.0474237-0.0757455j 0.0696251+0.0299075j -0.126438+0.00919081j 0.0423117-0.0949782j -0.0643205+0.163566j 0.103426-0.051215j 
0.00914292+0.0350093j 0.0361919-0.0229226j -0.00939306-0.0411929j -0.151135+0.00529177j -0.0749407-0.120432j -0.0540964-0.0171191j 0.0535734+0.0315556j -0.0832004+0.0513391j 0.116808+0.148223j -0.224802-0.226021j -0.0341122+0.0501863j -0.186374+0.0448675j 0.0429386+0.0858781j -0.172945-0.0214291j 0.0512403-0.0702634j 0.048457+0.024157j 0.183229-0.0597749j 0.0026178+0.008803j -0.136408+0.079929j 0.00711914+0.0113481j -0.10018-0.0609071j 0.120185-0.171003j -0.0710754+0.139044j 0.0299782-0.154972j 
-0.0223478-0.015987j 0.0583714+0.127434j 0.138794-0.0111039j -0.17791-0.0868692j 0.0330884+0.0520846j -0.0412737-0.0321717j 0.0287238+0.020138j -0.114437-0.134628j 0.0684853+0.0298178j -0.216053-0.0741023j -0.160964-0.00421586j -0.0221003+0.181351j 0.181537-0.0125895j -0.147285+0.0623131j 0.0272549+0.0201029j 0.0742874+0.0038789j -0.0493508-0.0464318j -0.00899507+0.0052127j -0.070866+0.229735j -0.0299854+0.0859563j 0.00659289-0.0139603j -0.0242008-0.0718135j 0.0186985+0.0572809j -0.028636-0.0110995j 
-0.000635732+0.0567156j 0.0567043-0.0757292j -0.0859849-0.0577937j 0.0192378-0.0306568j 0.0196376-0.0793694j 0.00630024-0.00301563j -0.0578725-0.0445078j -0.00360399-0.0160537j 0.0672036+0.010894j -0.0149213+0.00331642j 0.0102491-0.0410449j 0.00433922+0.0300428j -0.0283318-0.0288277j -0.0371379-0.0430832j -0.0368311-0.0801554j -0.006445-0.00194387j -0.00179435-0.00743651j -0.104886+0.0631509j 0.0213836-0.00974115j -0.0685315+0.00631875j -0.0179042-0.0335266j -0.00482667-0.0666757j 0.108164-0.0498706j 0.113155+0.0531632j 
0.0709646+0.0544273j -0.0300229-0.0697047j -0.0615242+0.0420212j -0.012626+0.056104j -0.00286974+0.00130336j -0.0494427-0.028047j 0.0186325+0.0105678j 0.0536155-0.00584438j -0.0075314+0.000285831j -0.00773627-0.0699176j 0.0591102+0.0561542j -0.0110703-0.0513622j 0.0787442-0.0349876j 0.0298422-0.0206398j -0.0304345+0.0332865j -0.00930451-0.0100658j 0.0697539+0.0378072j 0.0793562+0.0506085j -0.0255627-0.0395743j 0.0261728+0.127292j 0.0817596+0.00814725j -0.0721272+0.0112038j 0.0125584+0.0275481j -0.13253-0.0669934j 
0.062918-0.0444411j -0.0472271-0.0470371j -0.00889327+0.0604392j 0.018276-0.00674716j 0.056564+0.019704j 0.0154985+0.009191j 0.0860107-0.0750012j 0.0152102-0.00435247j 0.035049+0.0579193j -0.0018473+0.0189759j 0.00129278-0.0281636j -0.0217819+0.0358103j -0.0321938-0.0129062j 0.0181837-0.0111127j 0.059024-0.0927367j 0.0046257+0.00650317j -0.0847422-0.0139511j 0.00328647+0.0546861j -0.0203474-0.0417274j 0.0744802+0.100726j 0.0173173+0.0755668j 0.0876274-0.042098j 0.0241649+0.011643j 0.0184065+0.0703409j 
-0.0779321+0.0592244j 0.0291093-0.02982j -0.0445381-0.0156126j 0.00556836-0.0217802j 0.00498579+0.022985j -0.0153034+0.0517738j 0.05512+0.020429j -0.0449968-0.00203576j 0.000877333+0.0250293j -0.0463265+0.0245523j 0.0286448-0.0474951j -0.0240727+0.0165982j 0.0371368+0.0512175j 0.0511856-0.00489515j 0.0712731-0.0072455j 0.0129964+0.0197977j 0.0859032+0.174811j -0.00369431+0.0107187j 0.0198657-0.0148903j 0.0269517+0.0879004j -0.00318387+0.126788j 0.0439788+0.0284873j 0.0231941+0.0324225j -0.0893183+0.0387784j 
0.00432423-0.0668274j -0.00984881-0.055241j -0.063578+0.0131387j -0.063164-0.0749144j -0.0147781+0.0309546j 0.10765-0.0547646j -0.00827479-0.0124789j -0.0307529+0.0662964j 0.00469679-0.032961j 0.0112172-0.0419739j -0.010828+0.0553566j 0.0126934-0.0633652j 0.0784725+0.0100946j 0.0223848+0.0191073j 0.0358877-0.0201613j -0.0112801+0.0224832j -0.0488046+0.0227923j 0.0614129-0.0918529j 0.000267715-0.0227666j 0.0728373-0.0704251j 0.0827161+0.00862744j 0.00460433-0.0161565j -0.035984+0.110487j -0.087673-0.0177461j 
0.0196134+0.00652232j 0.0881018+0.0238186j -0.00642648-0.0751271j -0.0271099+0.0172933j 0.00204823+0.0317243j 0.025812-0.0942369j 0.0157768-0.000458129j 0.065138+0.020561j -0.022072+0.00504766j 0.0102715+0.0482756j 0.0389909-0.00625895j -0.0744632+0.0707331j -0.055908-0.055613j -0.0051762-0.0289601j -0.015568-0.100946j 0.0116391-0.0246127j -0.0664889+0.0616975j 0.042972+0.0273101j -0.124052-0.011056j 0.134311+0.0482078j 0.0624912+0.0149262j 0.0507578-0.0574465j 0.0543986-0.0164654j 0.026297+0.103188j 
