-0.0302952+0.0111677j -0.0044894+0.0514552j 0.0389252+0.122719j 0.0654868-0.0825446j 0.0515781+0.0190857j -0.124739+0.0491021j -0.00615852-0.0556128j -0.0672394+0.00179187j -0.056149+0.043794j -0.00767645+0.0776326j 0.00828894-0.000669916j 0.0856071+0.114374j 0.0915177-0.00419077j 0.0293969+0.102467j -0.114027-0.0386741j -0.1054+0.0397781j 0.0300812-0.0291318j -0.0912798-0.0157029j 0.038979+0.0593227j 0.0350246-0.128256j 0.00689873-0.0394533j 0.0340427-0.101028j -0.275853+0.0359403j 0.107206-0.0932143j 0.20818+0.144996j -0.0607342+0.172313j 0.0933264-0.0447605j -0.0353427-0.0874656j -0.0109899-0.117675j 0.0615903+0.0426634j 0.1546-0.14627j -0.0244102-0.078641j 0.0428136+0.117272j -0.022465-0.0720313j 0.0288796-0.0795978j -0.191272-0.0460693j 0.106609+0.21425j -0.184521-0.00349343j -0.0362604+0.0902465j 0.0780019+0.0119009j 0.0389011-0.0276439j -0.0227417+0.0152082j -0.0359691-0.00469611j -0.0285895+0.0534062j 0.0107826+0.0502346j -0.0451854+0.010221j -0.00989588-0.0248292j -0.00917875+0.0463405j -0.00454946+0.00228095j 0.029357+0.00330329j 0.00127891+0.0226756j 0.0491267-0.0215733j -0.0489489+0.00980046j -0.0324829+0.0094325j -0.0305484+0.0181841j 0.0107459-0.0503497j -0.0243131+0.0164834j 0.0513443+0.0350287j -0.0156572-0.00591299j -0.00478145+0.0223408j -0.0188591-0.00542495j -0.00198717-0.0135213j 0.0402091-0.00443732j 0.0525199+0.00333557j -0.00133563-0.00819051j 0.0387489+0.054736j -0.0130059+0.0422674j 0.00724496-0.0111305j 0.00858466+0.0359316j -0.081079+0.00639427j 0.0135259+0.0151361j -0.0112487-0.0348915j 0.0246218+0.0461582j 0.0175775-0.0562639j -0.0128598-0.0286731j 0.0304626-0.0342511j 0.00585686+0.000708366j -0.0112076-0.000490799j -0.0472406-0.0111082j 0.0171039+0.0339164j 0.0226869+0.0150617j 0.0114725+0.00434202j 0.0307291-0.0111713j -0.0351442+0.0626653j 0.0119156-0.0357031j -0.00706996-0.020964j 0.000676783-0.0327883j 0.00703012-0.0331632j -0.0567574+0.112374j 0.123784+0.0376968j 0.0237285-0.0352425j -0.00185789+0.0331295j 
-0.0122376+0.0575612j 0.0458764+0.00148537j -0.0437174+0.0874061j 0.0846795+0.108783j -0.0513666+0.0853247j -0.052536-0.0278041j 0.0599095-0.0778978j 0.0480197-0.0293067j -0.0664601+0.0111863j -0.128054-0.0179734j 0.0396567-0.0451338j -0.0835067+0.0327399j 0.0294638+0.0287879j 0.0846017-0.0373423j 0.0743398+0.057966j -0.00782992-0.0296759j 0.1366+0.0156959j 0.0207982+0.0670274j 0.0233677+0.0876177j 0.0745505+0.0766585j 0.0385955+0.169282j -0.0920602+0.115218j 0.0466678+0.179844j -0.107869-0.0971402j 0.17232-0.0302133j 0.128092+0.113239j -0.135832+0.0391929j -0.0178282-0.0710463j -0.180648+0.157007j -0.0177218+0.1396j -0.000259411+0.0633083j 0.0840071+0.0129877j -0.157319-0.0426802j 0.0747919-0.0542028j 0.105319-0.0741158j -0.0183729-0.20001j -0.259842+0.0649938j -0.0660267-0.198767j -0.0844936-0.0566845j -0.00714648+0.0868883j 0.0491326-0.0223413j 0.0414644-0.00317819j 0.0119424-0.0557297j -0.0538772-0.00193935j -0.051893+0.0140293j -0.0344221-0.0298902j 0.00452583+0.0214146j -0.02127+0.0122302j 0.0210805-0.0158361j 0.0264605+0.0302745j -0.00111731-0.00824169j 0.0124573-0.0190945j 0.00816281-0.00563264j 0.0126952-0.031425j -0.00374369+0.00992541j 0.00579216+0.0207317j 0.0150786-0.00228416j -0.0153645+0.000811448j -0.0220326-0.0150163j 0.00988643+0.0424402j -0.0629858+0.0206281j 0.00932944+0.00421458j -0.0470608-0.0320125j -0.0176958-0.0354039j -0.0334288-0.00189913j 0.0397442-0.0347081j 0.0182462-0.0322377j 0.0114458+0.0352855j 0.051099+0.0167192j 0.00988199+0.0549798j 0.00198594-0.0323393j -0.0528043-0.0396419j 0.0135051-0.0389389j 0.0176277-0.0351832j -0.0534902+0.0164122j -0.0381675-0.00852434j 0.0257615-0.0408124j 0.0428787-0.0127396j -0.00474392+0.00191073j 0.00414401+0.0243996j -0.01111+0.00615048j 0.0248501+0.0436486j -0.0144648+0.0177796j -0.0148838-0.00744098j 0.0407639+0.00983132j 0.0330818+0.0271962j 0.00851348-0.0363368j 0.00775738-0.0139304j -0.117479-0.0443762j -0.0490655+0.117549j 0.00432251-0.045961j 0.0307275-0.0363188j 
0.0205736+0.0278965j 0.00494563-0.0174486j -0.0884686+0.0544547j 0.0789007+0.00774709j -0.0171859+0.110429j -0.0912013-0.0256907j -0.0284465-0.0111529j -0.0402005+0.00286423j -0.136276+0.00883089j -0.0706134+0.0393821j 0.0818935-0.0231794j -0.126724+0.0672649j 0.0114888+0.0026338j 0.17608+0.184076j -0.0579311-0.0869131j -0.109427+0.137678j 0.000893149-0.118692j -0.0338274+0.116631j -0.0287077+0.0388484j -0.121908+0.0380148j -0.00856004-0.0660354j 0.030642-0.0101693j -0.00580529+0.104895j -0.242914+0.0864982j 0.0472562+0.0250709j 0.0774846+0.0881955j 0.293161+0.0771357j -0.0449278+0.329555j 0.129815+0.182497j 0.00596533-0.0918788j -0.0830596-0.0231499j -0.350625+0.0502084j 0.142102-0.107835j 0.129439+0.258356j 0.206873+0.0957313j -0.0932258-0.132191j 0.0602875-0.115009j 0.0431908-0.0863536j 0.0376349-0.0353441j 0.0249601+0.0199366j 0.00368374-0.0155034j 0.0102158-0.0270223j 0.0112695-0.0233965j -0.0705608+0.00291494j -0.0323891+0.0216026j -0.0215981-0.00839119j -0.0244922+0.00243766j -0.0134364+0.021135j 0.0237544+0.00437527j 0.0354976+0.021229j -0.0119284-0.0167321j 0.0114162+0.00161967j -0.0260979+0.0295301j -0.0202065+0.01014j -0.0156339+0.0268589j 0.00689946-0.00335179j 0.00976043+0.00761734j 0.0303363+0.00481051j 0.00228433-0.0122746j 0.00149565-0.0173231j -0.0132346-0.0013954j 0.0180292+0.000792567j 0.0118486+0.00855354j 0.00541586-0.0174397j 0.0108785-0.00251397j 0.00696814+0.0199877j -0.0370539-0.0180351j -0.0327793-0.0198725j 0.00845161-0.0394205j 0.00736433-0.0212929j -0.00862544+0.0194169j 0.0369763-0.0160234j 0.00251366+0.0239617j -0.0141526+0.0283174j 0.00460009-0.00468809j 0.00107601-0.0264684j 0.030625+0.00221234j 0.012296+0.00200781j 0.0267108+0.0240557j -0.0199734+0.0139073j -0.00120265+0.00796206j 0.0128368+0.0249316j 0.00953393+0.0125602j -0.00122581+0.00491691j -0.00662753-0.037645j -0.0313563+0.0400206j 0.0447133+0.0102118j -0.00298752-0.036084j -0.0209704+0.00591091j -0.0092556+0.00377973j -0.0098234+0.00607563j -2.55239e-05-0.0139209j 
0.0170221-0.0121223j -0.0102699-0.0303365j -0.116984+0.0143064j -0.00154354-0.00121426j -0.0485632+0.0964536j -0.0581683-0.0157086j -0.0530117+0.0389311j -0.0572766+0.0542558j -0.0156758+0.00386597j -0.0549674-0.0163422j 0.145542+0.185784j 0.0116832-0.0545809j 0.121019-0.0398344j 0.227978+0.0920794j 0.222425+0.0889565j 0.00387319+0.191122j 0.0708571+0.0210324j 0.0690462+0.0292579j -0.118501-0.0338794j -0.0161856+0.0638103j -0.0373878+0.0219439j 0.109704-0.0876438j 0.210716-0.0258923j 0.149474+0.219543j -0.00734068+0.0314554j -0.0864148-0.328518j -0.0540281-0.157869j 0.0960819-0.146549j 0.223875+0.130728j 0.16468-0.0840977j 0.0527747+0.0486872j 0.0916265-0.211657j 0.147368+0.00595935j -0.22694+0.10156j -0.0212131+0.116089j -0.0504632-0.0877947j 0.0227664+0.0079426j 0.0313582-0.0192172j -0.0438536+0.00277051j 0.0097014-0.0303808j -0.0308045+0.00554643j 0.0187042-0.0504476j 0.0449674+0.0130547j -0.0504925-0.0247324j -0.0343199+0.00359417j 0.00164837+0.00937071j -0.0331938+0.0105813j -0.00975648+0.00685995j 0.0043734+0.0121538j 0.0237772+0.0138971j 0.00854662-0.0478515j -0.032404-0.0349286j -0.0142535+0.0202251j -0.0103877-0.0126142j 0.0165105+0.0315061j 0.000216283+0.0475927j 0.0181694-0.0208782j -0.00723275-0.00166607j 0.000562987-0.00824789j 0.00454314-0.0154413j 0.00746088-0.0138234j 0.0132919+0.00247009j 0.0220867-0.00111667j -0.00637496+0.0191658j -0.0103248+0.0101435j 0.00345816+0.0269323j 0.00379996+0.00506571j -0.00736399+0.00952752j -0.01557+0.0141903j -0.00755828+0.0179765j 0.000449805-0.0432278j -0.0275023-0.00542988j 0.0244231+0.000913756j -0.0201858-0.0164047j -0.0150319-0.00798986j -0.00177715+0.00368015j 0.0103811-0.00352268j -0.00621732+8.54415e-05j -0.0258771+0.0161322j -0.00209639-0.00611574j -0.0243718-0.00882503j 0.00621145+0.0181146j -0.00470013-0.0141887j 0.00750824+0.00799516j 0.0196507-0.0219811j -0.0199361-0.00155483j 0.0132207+0.0232463j 0.0119532-0.00774242j -0.00400364-0.00673176j -0.0170087+0.013548j -0.00393623+0.00662581j -0.00342059-0.00357412j 
0.00537482+0.00735706j -0.00190505-0.000834721j -0.0522345+0.0426921j 0.042601+0.0603847j -0.0200654+0.0116656j -0.115293-0.0392535j 0.00669432+0.00791888j -0.026947-0.0171411j -0.110365-0.0336139j -0.106904+0.0236992j -0.129607+0.0549964j 0.0553637+0.0392126j 0.0332025+0.0243583j 0.0959349-0.0396097j 0.0396315-0.00113352j 0.116865-0.325875j 0.183272+0.0101964j -0.0969494-0.188427j 0.06741-0.248284j -0.279153+0.0106408j -0.0761417-0.213041j -0.00977583+0.152137j -0.200505-0.0788652j -0.0915096-0.078675j 0.0681794-0.089137j -0.00477325+0.028858j 0.106612-0.00233661j 0.307426-0.0307788j 0.298478-0.0916118j -0.00372946+0.119577j 0.107686-0.105029j 0.0849599+0.0126889j 0.256333-0.045094j 0.0464783-0.0886567j -0.0340567+0.127247j 0.0535799+0.0450776j -0.028756+0.002346j 0.0734329+0.0665196j 0.0169012-0.0288572j 0.0250638+0.00514069j 0.0293943+0.0110713j 0.0163344+0.0220376j 0.0155079-0.0312856j -0.0303069+0.0032304j -0.0101157-0.00212868j -0.0289294-0.0296917j -0.0203318+0.0119147j 0.0025032+0.00462708j -0.00894596-0.010207j 0.0123668+0.0194193j 0.0301108+0.0153244j 0.0407333-0.0191682j -0.00207318+0.00855818j 0.0061482-0.0192601j 0.0180167-0.00138769j 0.0401855-0.0108646j -0.00793018-0.0238236j -0.00780579+0.0438019j 0.0265385+0.0399485j 0.011635-0.00886038j 0.00681274-0.0217601j -0.0321076-0.00730261j -0.0231422-0.0229917j -0.00847266+0.0101954j 0.0129634-0.0231019j 0.00729286-0.0193914j 0.0303267-0.00963015j -0.00774392+0.00596198j -0.0329748-0.00226647j -0.0156975+0.00573255j -0.0247942-0.00070495j -0.00909887+0.0120854j 0.0161121+0.019781j 0.00444057+0.00760629j 0.0101415+0.00501761j -0.0306602-0.0215305j 0.00149931-0.000663348j 0.00717702-0.0186655j -0.00383562+0.0147846j -0.000660834-0.0187224j -0.00354604-0.0128923j -0.0285032+0.00102171j 0.01814+0.0271326j 0.0028937+0.00207939j 0.00568281-0.0124867j 0.00208817+0.0104634j -0.0004858-0.00208849j 0.00238549-0.00119824j -0.00863647-0.00232994j 0.00744306+0.0105992j -0.00076356-0.00438219j 0.00243894-0.00469503j 
0.00397938-3.15533e-05j -0.00798424-0.00872997j -0.0868852+0.0302342j 0.00834124+0.0177167j -0.00451957+0.0236857j -0.0859998-0.0467428j 0.0157837+0.0571545j -0.0589289+0.0459924j -0.0598442-0.035854j -0.189394+0.0127143j -0.0571984-0.145203j -0.0524977-0.0145469j 0.110385-0.0477684j -0.358489-0.16992j -0.155877+0.159798j -0.150271+0.0130765j 0.0485377+0.0622079j 0.160468+0.246754j 0.17392+0.022436j -0.24304-0.034852j -0.252018+0.102169j 0.182481-0.0932065j 0.124585-0.0638641j -0.11636-0.040719j 0.0368794-0.0379788j -0.0448707-0.115584j -0.0451086-0.0334563j -0.00418858-0.129692j 0.0155715-0.0746522j -0.0512533-0.00900744j 0.263027+0.197061j -0.34221+0.0611541j 0.075122+0.105134j -0.0556085+0.00837462j 0.000684184-0.148476j 0.0860883+0.105091j 0.0134603+0.0432727j 0.0646295+0.00485173j 0.00150822-0.00302j 0.0111201-0.00307709j 0.0120106-0.00135096j 0.0162298-0.00171674j 0.0329345-0.00605525j -0.0388565-0.000196219j -0.00882452+0.00188012j -0.0174876-0.031675j -0.0285439+0.0252572j 0.0128376+0.016579j -0.0118086-0.0207851j 0.0188894+0.000226141j -0.0138775+0.0227593j 0.0193906+0.0237165j -0.0080622-0.0274096j -0.0250991-0.0311507j -0.0116582-0.0463587j -0.0512139+0.00612795j 0.0108681+0.0141861j -0.000567378-0.0281721j 0.0269033-0.010784j 0.0121798-0.0428201j -0.01673+0.00852677j -0.0370043-0.0277674j 0.0225433-0.0212568j 0.0057761-0.00444151j 0.0119053+0.0195804j -0.0171113-0.000531069j 0.00650206-0.000976889j 0.00980302+0.00894341j 0.00468983+0.00596705j -0.0121+0.0152654j -0.0112762-0.0036738j -0.00447468-0.0104408j 0.0113054+0.00768613j 0.0149527-0.0228368j 0.0103858-0.000256514j -0.00320181+0.0107156j -0.0056196+0.0171175j -0.0068825+0.0185157j 0.0201383+0.0270197j 5.38886e-05+0.00576035j -0.002005-0.00643557j 0.00186171-0.00811138j -0.0188099+0.0205246j -0.00797741+0.0164914j 0.000944805-0.00687254j -0.000604924+0.00614668j 0.00747818+0.006682j -0.00420217-0.00139496j -0.00982442-0.00369016j -0.000465888+0.0101148j -0.00148121-0.00221279j 0.000357474-0.00416989j 
-0.0170354-0.00500465j -0.00309944+0.0385203j 0.0200127+0.0468082j 0.0336589-0.053769j -0.0444671+0.138314j -0.0095313+0.0930738j -0.104252-0.122706j -0.0128823-0.134668j 0.155922+0.0396388j -0.017403+0.172026j 0.0831464+0.161254j -0.115688+0.0309334j -0.00419749-0.150925j -0.233542+0.0570293j 0.0194397-0.028634j 0.0166126+0.0212582j -0.134356+0.393088j -0.247391+0.0832223j 0.0748236-0.00116504j 0.103271-0.0998993j -0.0239209-0.0717436j -0.172974-0.157211j -0.102998+0.0266564j -0.0633726-0.0807606j -0.0554055+0.159708j -0.145863-0.196645j 0.278217-0.174627j -0.00739993+0.0854001j 0.00446967-0.0405387j 0.118627-0.0740514j -0.0463635+0.120062j 0.0476989+0.0776226j -0.0228437-0.0366795j -0.046874-0.0287873j 0.0172215-0.0883501j 0.0496362-0.110136j -0.040364-0.0293296j 0.0189781+0.0235456j 0.0148321-0.027923j -0.00377546-0.00642336j 0.0486468+0.0295718j -0.0242283+0.0536204j -0.0107042+0.0186461j -0.0105425+0.0312147j -0.0257189+0.0368331j -0.00440502+0.0623467j -0.00319922-0.0374752j -0.0246232+0.0137352j -0.0322349+0.0400797j 0.0011464-0.03613j -0.0188737-0.0112459j 0.015772-0.0194448j -0.0123733+0.0071029j -0.0198766-0.0128543j -0.0025085-0.0115124j -0.0427227+0.00665543j -0.0236159-0.00913097j -0.0364972+0.0155947j 0.00234054+0.0185025j 0.0195968-0.0373251j -0.000852535-0.00628888j 0.0141389+0.013386j -0.00752884-0.0160439j -0.000237204-0.0113475j 0.00223764+0.0269881j 0.00278531+0.00257967j -0.0124482-0.00546743j 0.019182+0.0197959j -0.0330533-0.00477351j 0.0192083-0.0166774j 0.0264703-0.00401907j -0.00228365+0.00462903j -0.0174421-0.0106568j 0.00220031+0.0120007j -0.00661761+0.00740411j -0.0151771-0.0130906j 0.00840059+0.00991023j -0.0110779-0.0229706j 0.00356962-0.00715593j 0.00933751+0.0117174j 0.00649838-0.0056212j 0.0126804+0.0294951j -0.00652979-0.00468104j 0.0020282+0.0039543j 0.0033932-0.00905177j 0.00205276-0.00728504j -0.00218633-0.000958439j 0.00393683+0.000851747j 0.00210578+0.0013433j 0.00769415-0.00135105j 0.000621523-0.00767287j 0.00377993+0.00377082j 
-0.00376357+0.002993j -0.00198124-0.00137773j -0.0720275+0.0159088j 0.00391917+0.00375244j -0.0800162+0.0593315j -0.00734999+0.0812013j 0.0826297+0.00905032j -0.0303522-0.0585876j 0.0465737-0.313759j 0.205033+0.0647946j 0.0166659-0.0817408j -0.168917+0.023651j 0.205292-0.0738244j 0.16711-0.116245j -0.0978265+0.177715j -0.0952751-0.0786075j 0.0243292-0.0250879j 0.155481+0.0324432j -0.186052-0.0740437j 0.0453508-0.0105153j 0.171276+0.159881j -0.0583255+0.124083j 0.0346428-0.2474j 0.0265745-0.201467j -0.00980593-0.213049j 0.0656683-0.00884413j 0.506972-0.159651j -0.0581086-0.12981j -0.131751-0.0406169j -0.0504343-0.12712j 0.0212837-0.0225587j 0.0929625-0.0222634j -0.0137449+0.069323j 0.02168+0.0600819j -0.0253382+0.0186895j -0.000303419+0.0596625j 0.0143042+0.0366291j 0.0475714-0.00701139j -0.00563097+0.00397193j -0.000645049-0.00378593j 0.00232472-0.0119828j 0.0216709-0.00378612j 0.0229647+0.00116885j -0.0319148-0.00199843j -0.0394888-0.00550687j -0.0202383+0.0294839j 0.0111211+0.0243815j 0.017489+0.0155577j 0.023812+0.0510864j -0.0553236+0.0154395j -0.0169457+0.0305635j 0.0114463+0.0091052j 0.0264869-0.0401514j -0.0167469-0.0163328j 0.0192205+0.0171078j -0.00376385-0.00840814j 0.0110915-0.00735446j 0.0161222+0.000396178j -0.0184634-0.00731068j 0.00219665-0.00709064j -0.0101376-0.00256314j 0.00514114-0.00908574j 0.003659-0.0022861j -0.00031919+0.00922747j 0.0188199-0.00794322j 0.0164326+0.00251437j 0.00329433-0.0187037j -0.0203848-0.0234883j -0.00361818+0.00884216j -0.0222502-0.00158109j 0.0177645+0.00068263j -0.00224935+0.0112207j -0.00209546-0.0343979j -0.00803239-0.0115198j 0.0048139-0.0250401j -0.000354446-0.0228568j -0.044668-0.00223514j 0.00377778-0.0267049j 0.00557373+0.00718141j -0.00302584+0.0139171j -0.00237545-0.0130798j 0.0107435+0.00400225j 0.00180685+0.0117302j 0.0039624-0.00694j 0.00262822+0.00264457j -0.00804553-0.00301462j 0.0082581+0.000255799j 0.000961002-0.0037208j -0.00612376-0.00300074j -0.00540425+0.00448224j -0.00221708-0.000878769j -0.000177781-0.00495875j 
0.0177604-0.00353345j 0.0105236-0.00739788j 0.154427-0.00612708j 0.0548355-0.0932155j 0.180227-0.0285894j 0.0643488+0.0888111j 0.0142371+0.118475j -0.0708577-0.0762361j -0.0519034+0.068276j 0.179894-0.0167774j 0.12154-0.0784153j -0.0116809-0.0583965j 0.325763+0.0925727j -0.215956+0.059954j 0.0731721-0.263879j 0.0573112-0.00344907j -0.0137024+0.183421j -0.0717633-0.19017j -0.0382555-0.0767956j -0.120351-0.0371688j -0.0954568+0.135624j -0.0262843+0.306585j 0.0637141-0.055399j -0.245083+0.134432j -0.18324-0.109016j -0.0226226+0.068607j 0.0273941+0.0930242j -0.0579207-0.0417609j 0.0605801+0.0989456j -0.110712-0.149891j -0.00996327+0.0287119j -0.0432977+0.00416029j -0.0523944-0.189836j -0.020808-0.023195j 0.0237293-0.0133877j 0.0192458-0.0328849j -0.0496872+0.00666275j 0.00830452+0.0145393j 0.0190612+0.00101019j -0.00199307+0.0272444j 0.0151816+0.0163856j -0.0237531-0.00275442j -0.0873163+0.0148137j 0.0458133+0.0139467j 0.0575796+0.0215376j 0.0205242+0.0183606j 0.00865489+0.00795825j 0.02036+0.0448228j 0.0367372+0.0010054j -0.00206724-0.00848068j -0.00402404-0.00262995j -0.0137519+0.0140821j 0.00529662+0.0112904j -0.0496996-0.0172468j 0.0127048+0.00469684j 0.00325771-0.0112592j 0.0259138-0.018971j -0.0226123+0.00445945j 0.0188405+0.0247315j -0.0100602+0.0102189j -0.0301249-0.0034496j -0.0107738+0.0347342j 0.0119234+0.00680396j -0.034869+0.0112457j -0.00210348+0.0123979j -0.0195988+0.0211972j 0.00509248+0.00444188j -0.00692519-0.0147269j -0.0067744-0.0201143j -0.0189419+0.00243039j -0.0171601+0.00394532j 0.0154188+0.0121499j 0.00639894+0.00717793j 0.0199606-0.0189184j -0.0245393-0.000519875j 0.00256292-0.0147906j -0.00110529+0.0173269j 0.0229809+0.00786319j -0.00564906+0.00332043j -0.00779207+0.00306591j -0.00148812+0.00487294j 0.0145332-0.00372696j 0.00187945-0.0129895j -0.00326728+0.000818407j -0.00872458+0.00597254j 0.00993336-0.00245667j -0.00172927-0.0076321j -0.00498216+0.010417j 0.0101078+0.0162343j 0.00994797-0.0103451j 0.00450633-0.00364134j 0.002268+0.00885702j 
-0.0281357-0.0288307j 0.00333553+0.0190117j -0.0676233-0.175963j -0.206738+0.109891j -0.0386207-0.128251j -0.00337992+0.124944j -0.131024-0.00471398j -0.315095+0.082122j -0.193291-0.0915865j -0.0759969+0.0892415j 0.0743417+0.115634j -0.0397508+0.00133909j 0.222963+0.240651j 0.0157261+0.0179858j 0.047819-0.11514j -0.0185272+0.175871j -0.259325-0.0129004j 0.0862906-0.201759j 0.0305376+0.206358j -0.0824987+0.0540414j -0.0720582+0.173964j 0.0482595+0.0146013j -0.108221-0.0260636j 0.0949572-0.0115606j 0.075706+0.111188j -0.000698307+0.123786j 0.0361999-0.0369135j 0.169251-0.00384692j -0.130157+0.0144385j -0.105318-0.0679172j 0.0770352-0.0563935j 0.00569377-0.0336332j 0.0514316+0.0745314j -0.0675674-0.142377j 0.0742077-0.0507841j -0.0681651-0.0212024j -0.00395667-0.0348619j -0.0809336-0.0394784j -0.00981871+0.0107463j -0.00115071-0.0117874j -0.0259376+0.0380541j -0.0112378+0.0167651j 0.101075+0.0233159j 0.0318414-0.0819301j -0.00739716-0.080297j 0.0280952+0.0282318j -0.0742364+0.0118133j 0.0424955-0.026503j 0.0400061+0.0164994j 0.0383041+0.000321471j -0.016409-0.000903254j -0.00241858-0.0322495j -0.00981291+0.0205356j -0.0208762-0.026662j -0.00958972+0.0131302j -0.0102456+0.00706056j 0.0191087-0.0078403j 0.0121969-0.00227756j 0.00021086+0.00745743j 0.0230094-0.0123572j -0.000354396+0.0209489j 0.00502265-0.00633652j -0.0228015+0.0156501j -0.0194088-0.011283j -0.00884069-0.000339327j 0.000737897-0.0269388j 4.28047e-05-0.00612139j -0.0205697-0.00541398j -0.0073114-0.0182846j 0.0236016+0.00712791j -0.000715527+0.0154447j -0.000734794+0.00839432j -0.00944407+0.00767544j -0.00294673-0.00637784j 0.0123743-0.0040872j 0.00602715+0.0112626j -0.0145227-0.0145776j 0.00254282+0.000122335j 6.36165e-05-0.00044731j 0.00479627-0.0139495j -0.00446155-0.00804446j 0.0126337-0.0188294j 0.00571128+0.00495721j -0.00653202+0.00614358j -0.000706067-0.00317066j -0.00559887-0.00287066j 0.00356603+0.0179277j 0.00635366+0.00298662j 0.0140527-0.0162157j -0.00896459-0.00391118j 0.00454202+0.00662281j -0.0022928+0.00345j 
0.000223948+0.000619059j -0.0144432-0.0248145j -0.138236+0.0683234j 0.127364+0.153094j -0.0107084+0.0407132j 0.156593-0.120443j -0.0896592+0.204248j 0.108381+0.213421j -0.0715092-0.0266112j 0.325207+0.136261j 0.0533127-0.0331932j 0.0955321+0.141337j -0.182824+0.289827j -0.134133+0.0552054j -0.19127-0.0661132j -0.206318-0.00562679j -0.133733-0.0783659j 0.0949664+0.0358372j 0.0289742-0.102107j 0.247569-0.0101748j 0.0160275-0.158756j 0.095535-0.018232j -0.0273021-0.0686114j -0.0264851+0.159649j -0.111873+0.0689636j -0.0419378+0.058409j 0.0494069+0.0196457j 0.119896-0.00445097j -0.048839-0.0495935j -0.00479125-0.012532j -0.0531609+0.0097405j -0.0174677+0.00528592j 0.0208213+0.070784j 0.0302281+0.0424702j -0.053563+0.0315974j 0.00990344+0.0656467j 0.0545502+0.0314157j 0.0335907-0.0116678j -0.0407111-0.00382514j -0.0123034-0.0110238j -0.00558391-3.12629e-05j 0.0220308-0.0243554j -0.0109494-0.0823195j -0.0705988-0.018209j -0.0390118+0.0259539j 0.0449882-0.0627109j 0.0027084+0.0585158j -0.0392031-0.0160233j 0.042047-0.00422796j -0.0414148-0.0302457j 0.0188483+0.0390252j -0.0277952-0.00910581j 0.0131203+0.0256875j -0.0109345+0.0123469j -0.0253939+0.0195767j -0.0220067-0.0190101j -0.00706629+0.0325123j -0.00287285+0.00889437j 0.00421352+0.0247722j 0.0100087+0.00826776j -0.0277297+0.0145633j 0.0123359+0.0203273j -0.0219496-0.0052681j 0.0100014-0.0302752j -0.0111379+0.00776789j -0.00160179-0.00206894j 0.00970123+0.000126127j 0.0136521-0.00130849j 0.0138441-0.00129132j -0.00422576-0.000546493j -0.00483713-0.00567066j -0.00210621-0.00935763j 0.00252071-0.0156686j -0.00819058+0.00728435j -0.00031353+0.0102496j -0.00780325+0.0014959j 0.0070591+0.0135773j 0.00745063-0.00373995j 0.00275514+0.00694051j -0.0195099-0.00643452j 0.00815338-0.0155504j -0.000650009-0.00374722j 0.00308859-0.00103937j 0.00726826+0.00214383j 0.00964604+0.000572659j -0.00285638+0.0136326j 0.00608447+0.00226917j -0.00404002-0.00809428j -0.00745103-0.00319353j -0.0121131+0.0097294j -0.00478513+0.0041525j -0.00434044-0.00459396j 
