0.0270515-0.00467855j 0.0130764+0.0420309j -0.00344671+0.0223507j -0.0368393+0.0101005j 0.0409312-0.0586849j -0.00251827-0.0629864j -0.0259699+0.0206935j -0.0712678+0.00962063j -0.000513745+0.0208647j -0.048113-0.0239509j 0.057527-0.0280541j 0.0650597+0.0138312j -0.0691249-0.0616678j 0.019926-0.0115764j 0.0109945-0.0123631j -0.01961-0.0208509j -0.00298689-0.00278122j -0.0531787+0.047153j -0.00670282+0.0510381j 0.0065024-0.0141667j -0.0019091+0.0279007j 0.0254231+0.0924781j -0.024026+0.0265409j 0.0374832-0.00700668j -0.0542386+0.0264529j 0.0287971+0.011931j 0.0349799-0.0679909j 0.0178887-0.0001267j -0.0388771+0.0030722j 0.0355076+0.0308045j 0.0210634-0.014131j -0.0532071-0.012671j 0.00193632-0.0147255j 0.0031908+0.0216151j -0.0323967+0.0115179j -0.014503+0.0755146j 0.00957976-0.0204851j -0.150874-0.0695905j -0.0385039+0.0339866j 0.0487923+0.0155389j 0.0132799-0.0696278j 0.0950211+0.0286309j 0.0439607+0.05106j 0.0503779+0.00714245j 0.00353767+0.0276637j -0.0261573+0.0646179j -0.0319906+0.0334025j 0.0808006-0.0842804j -0.0349369-0.0765855j 0.150427-0.059762j -0.0121491-0.0864126j -0.0229403+0.0839843j -0.0631148-0.043607j -0.032828-0.0562401j 0.087742+0.115072j -0.00429724+0.0282582j -0.0532305-0.0144986j -0.00678264-0.145284j 0.000330774-0.00592315j -0.0482195-0.0264016j -0.00669608+0.0467919j 0.0205671-0.0228579j -0.157603+0.054786j -0.0270923+0.100202j 0.096953-0.0196426j -0.0379349+0.00459718j -0.0118392-0.0768011j -0.00139661-0.113818j 0.0377632+0.0127399j 0.130599-0.084794j -0.023283+0.136732j 0.0852437-0.134205j -0.181198-0.15279j -0.0349546+0.0289809j -0.0176811-0.0948236j 0.0280789+0.00149352j 0.0165397+0.00542431j 
-0.0148168-0.0432802j 0.0284964-0.00200471j 0.0410021-0.000535276j -0.00514733+0.0205048j 0.0302624+0.0699476j 0.0259237-0.0400831j -0.0608013+0.0246928j 0.0246831-0.041766j -0.0196947+0.00826808j 0.0383931-0.0602556j 0.0256723-0.000815258j 0.0611525+0.0349679j 0.0533642-0.0288214j 0.00328916+0.0483943j 0.0149484-0.00820895j -0.0169953-0.024278j -0.00686078+0.0245328j -0.0088741+0.00864985j -0.0177807-0.021189j 0.052553+0.0264015j -0.0255148-0.0307342j -0.0308634+0.0253694j -0.0368866-0.0387577j -0.0275568+0.0120525j -0.0341149-0.00538238j -0.0336151+0.0241503j 0.0396781+0.04739j 0.0287397-0.0155864j -0.0678957+0.0262775j -0.00471675+0.00876351j -0.0406174-0.0416161j -0.0126296+0.0292042j -0.0301059-0.0217799j 0.0828687-0.00715483j 0.0482584-0.0656299j 0.037156+0.0152918j 0.0111796+0.0558332j 0.0273826-0.0485804j 0.0667852-0.00310116j 0.0118377-0.0439443j -0.0259023+0.0446099j 0.0359762-0.120821j 0.0283284+0.0683038j 0.00385939-0.0760388j 0.0591068+0.0970172j 0.084013+0.0299372j -0.0143094+0.0388026j -0.0211305-0.0864002j -0.0493331+0.0601149j -0.0554774-0.128628j -0.13312+0.00941514j 0.144351+0.0216889j -0.0336086+0.0574352j -0.061624+0.044032j 0.0580124-0.0753391j -0.0586757-0.00956902j 0.0023451+0.0318039j 0.019506-0.0278491j 0.0583963+0.12398j 0.108424-0.0566358j -0.0224809+0.0256689j 0.0453248-0.0457699j 0.0170177-0.12504j -0.112613-0.0370246j 0.0619986+0.0389776j -0.0575189-0.0747467j 0.078317+0.083614j 0.0717207-0.028147j -0.00808249+0.0447826j 0.0470429+0.161958j -0.104564+0.0198986j 0.163751+0.0458488j 0.157433-0.168457j -0.00699778-0.0675432j 0.0533073-0.0423597j 0.0176164+0.000698371j -0.0289956+0.000160332j 
-0.0281584-0.0162254j 0.00490287-0.0108013j -0.0128161+0.0132849j 0.00483836-0.0266713j 0.0574475+0.0647206j 0.0136594+0.00513487j -0.0246787-0.0174304j -0.0628011-0.0297141j -0.0727666+0.0431919j 0.0373816-0.0854345j -0.0293358-0.00913154j 0.0231443+0.040544j -0.0576481-0.113097j -0.0410929+0.0134557j -0.106964-0.0655406j -0.0878979-0.0779821j -0.0162834+0.0583387j -0.0677155+0.026043j 0.0475348-0.0246151j 0.0835659+0.103488j -0.00376446+0.0993974j -0.0797237+0.0536691j 0.0403394+0.145637j 0.0189553+0.0114362j -0.0300914-0.0220434j -0.0331163-0.0261312j 0.0507123-0.137002j 0.0816043+0.0379493j -0.0588661-0.0806825j 0.0552877+0.119687j -0.00353654-0.0173484j -0.133664+0.130373j 0.115259-0.00231775j 0.0827998+0.0638028j -0.0287577-0.0199266j -0.0196222+0.097278j 0.0440949-0.00257411j 0.0120604+0.0826191j 0.00369159-0.153021j 0.0736295-0.0405558j 0.0129249-0.0439721j 0.05166+0.075999j -0.015673+0.156494j 0.0130796-0.0499301j -0.00202655-0.0237025j -0.0899196-0.0336477j 0.0725119+0.0144478j -0.0269727-0.0439989j 0.042714-0.0766792j -0.234127+0.0351437j -0.197076+0.0752838j -0.193143+0.00442259j -0.089327+0.0784706j 0.116629+0.286171j -0.0228377+0.0156233j 0.021503-0.0653928j -0.0525529+0.0565098j -0.109783-0.0310331j -0.087223-0.168143j -0.160088+0.0378961j 0.0654534+0.0700259j -0.0527142-0.0390873j 0.119668+0.0771538j 0.0652365+0.0543471j -0.145196-0.0164727j 0.0478421-0.149843j -0.084194+0.0727029j 0.0781481+0.230286j 0.00639465+0.156329j -0.127047-0.00179519j -0.00776949+0.0478242j -0.049413+0.0298382j 0.0552176-0.119656j 0.0473937+0.0143775j 0.0144565-0.0433799j -0.0142513-0.00999688j -0.0125329+0.0313581j 
-0.0183524+0.0143804j -0.0321331-0.0153618j -0.0160978+0.0538612j -0.0237667-0.0273603j 0.0279101+0.0626719j 0.0456844+0.0561867j -0.0537239-0.0577563j -0.0151486+0.0259497j -0.0273704-0.0307832j 0.0264934-0.0413839j -0.0154783-0.0173904j 0.0426417+0.0599721j -0.0741871-0.00676641j -0.0148009+0.00994063j 0.0220484-0.0749086j -0.0169008-0.0112333j -0.0887749+0.121386j 0.0319237-0.0315389j 0.114258-0.0295328j -0.0606143+0.134492j 0.0103559-0.0674755j 0.0895523+0.0584656j -0.0176087-0.0140039j 0.0230519+0.0107575j -0.0102723-0.0797742j 0.00735132+0.0355127j -0.0237832+0.0430537j -0.031395-0.0108481j -0.0527277-0.0114131j 0.0645996+0.117857j -0.0344784+0.0115707j -0.0761137+0.0231771j 0.0724319-0.120875j 0.0645841+0.0556893j 0.0611997+0.0144506j 0.129255-0.00488046j 0.0457582+0.00836871j 0.109363+0.16232j -0.0243361+0.0457661j -0.0236427-0.0980079j -0.000627366+0.0644528j -0.0471283-0.0978205j 0.140872+0.0221439j -0.159073+0.0534448j 0.130561+0.0377328j -0.0460788+0.0553332j 0.0766926-0.167862j 0.0939048+0.015137j -0.0256014+0.0359472j 0.109332+0.260369j 0.0243328+0.0174006j -0.0118524-0.137269j 0.149949+0.0576663j 0.121092-0.220246j -0.147444-0.0623938j -0.0482333+0.0132072j 0.00507678-0.0529961j 0.0385035-0.00186139j 0.20858-0.0208186j 0.0170651+0.0534856j 0.0854028+0.0750741j 0.167087-0.185493j -0.149103+0.0167012j 0.0438076+0.0464871j -0.0161075-0.257583j 0.172558+0.00638332j -0.0076823-0.13336j -0.128013+0.0653475j -0.160519-0.0203791j -0.0743815-0.0433654j -0.0623562+0.0345627j -0.054793-0.00360562j 0.0450347-0.00784938j 0.0368263-0.0027317j -0.0198205-0.0443632j -0.0158112+0.021963j 0.0121429+0.0218519j 
0.00937187+0.00674314j -0.00324748+0.00263524j -0.0100766+0.00297815j -0.0035492-0.00649807j -0.0258672+0.00664337j -0.031793+0.00813322j -0.00848963+0.0215021j 0.011102+0.0370981j 0.00973897+0.0225242j 0.00235923+0.0368763j -0.0369585-0.0150325j 0.0080918-0.0831156j 0.0386002+0.0437032j 0.00509402-0.0109088j -0.00637631+0.00776766j 0.0610884-0.0553779j 0.126866-0.0239985j 0.0813382+0.0376225j 0.0993642-0.023593j 0.028986+0.0127174j -0.0928394-0.0751258j 0.0624959-0.0707047j 0.0351502+0.00228226j 0.00475392-0.052822j 0.0443162+0.0860425j 0.069986-0.0744745j 0.00298769-0.0130889j 0.0681223-0.118879j -0.133695-0.113878j -0.123973-0.08147j -0.0231427-0.0628178j 0.0627013+0.0856798j 0.233428+0.0199705j -0.0203665-0.107548j -0.103657+0.218319j 0.0693044+0.107504j 0.0554462-0.06516j 0.0928488-0.205843j -0.0497895+0.0330215j 0.236402-0.0530709j -0.051888+0.0732292j -0.0530371+0.0377937j -0.00831654+0.0855956j -0.175587-0.0737238j 0.141444-0.0916628j 0.116146+0.0282053j 0.0325208-0.00632508j 0.0916688-0.138175j 0.107969+0.135686j 0.0300847+0.0548577j -0.0936697-0.027039j -0.0325146-0.00956716j -0.00699078+0.23272j -0.258405-0.0414201j 0.132983-0.0485409j 0.041944+0.0438089j -0.0368727+0.103083j 0.11456+0.0345107j 0.0321254-0.0262038j -0.058413-0.00601166j 0.0343328-0.115383j 0.050961-0.121244j 0.137892+0.0752696j -0.217848+0.0103128j 0.0267624+0.0644677j 0.0939014-0.00200474j 0.0106944-0.0453399j -0.0420145-0.0283896j 0.0914896+0.0709966j 0.0286213+0.0645825j 0.0831858+0.0634549j 0.0530837-0.046828j -0.0183111+0.00562344j -0.00959685-0.00248525j 0.00035632-0.00769299j -0.0165648+0.000401235j 0.000672462+0.0109573j 
-0.0239637-0.00140115j -0.00284112-0.0175315j -0.017035-0.00392357j 0.00130894-0.0259039j 0.0238406-0.00886384j 0.0593165-0.031751j -0.0146989-0.0229855j 0.00797958+0.00884364j 0.0494462+0.0112483j 0.0169736-0.0669216j 0.0213012+0.0946799j -0.0958881+0.0956424j -0.0241988-0.0237571j -0.0325668+0.0267735j 0.0595908+0.0379029j 0.0546061-0.0556964j 0.0910428-0.0932191j -0.155429+0.0286753j -0.148639-0.0135113j 0.102205+0.0229039j 0.0142138+0.08675j -0.0578553+0.0015187j -0.0795757+0.0598853j -0.0212156-0.0587916j -0.0563717+0.124213j 0.015705-0.0257125j -0.0718249+0.0507327j 0.0473549-0.145344j 0.0705342-0.0184916j -0.137475-0.173301j 0.109668-0.141143j -0.142734-0.0984511j -0.0769389+0.133322j -0.0125662-0.128997j 0.0479176+0.0811523j -0.0196872+0.184876j -0.185078-0.0596963j 0.0231707+0.197217j -0.0442295+0.0313659j -0.0449267+0.0315756j -0.0500412+0.184688j 0.0266473-0.0280062j 0.10535-0.123471j -0.114156-0.0653693j 0.121507+0.106324j -0.145179-0.113312j 0.0561346+0.00203113j -0.0106015+0.00399211j -0.207814-0.0410666j -0.0951349+0.0379917j -0.085298-0.0988779j 0.098498-0.109281j 0.0814582-0.0351025j -0.0628881-0.086462j -0.144998-0.0315251j -0.0146003-0.099743j -0.00940005+0.0814918j 0.08109+0.0163306j 0.0329253-0.0605239j -0.0359792-0.099766j 0.0551851-0.132459j -0.218537-0.061013j -0.0164038-0.0789669j 0.0812751+0.105482j -0.0566151-0.0247679j -0.0245052-0.10393j -0.0540193-0.0539365j 0.096996+0.139434j 0.0903534-0.0575652j 0.0424447-0.0329316j 0.00289591+0.00557556j 0.0936454+0.0726619j -0.0671256+0.114256j -0.0266551+0.0187802j -0.000635345+0.0403977j 0.00258648-0.0120318j -0.0128788+0.0025381j 
0.0178451+0.00961231j -0.0276514+0.020056j 0.000921411+0.0436833j -0.00758773-0.00322451j -0.0182642+0.0914301j 0.0209183+0.00533885j -0.0513186-0.0813145j -0.0370738+0.0112425j -0.0360464-0.0296856j 0.10259-0.0306033j -0.00704076-0.0983409j 0.0639219+0.0693448j -0.0620926-0.0452779j -0.0491577+0.0552925j 0.0520715-0.0984736j -0.0936989+0.0639879j -0.242008+0.0072866j 0.0253168-0.0114038j 0.0348791-0.124416j 0.0437248-0.00470551j 0.0265805+0.0220647j -0.0387249+0.0896579j -0.10657+0.0323383j -0.120913-0.0184035j -0.0104238-0.055729j 0.194736-0.0632245j -0.0329243-0.0319709j 0.166632-0.135046j 0.128818+0.0735174j -0.134556-0.111727j 0.0909202+0.00591306j 0.153131-0.0214461j 0.0177933+0.00805012j -0.0606129-0.104034j -0.0433771+0.0255852j 0.113976+0.0860975j -0.00440807+0.0183595j -0.0210347+0.00135994j -0.0211973+0.0233074j 0.0338511+0.0696966j -0.00231776+0.0251898j -0.0296603+0.0644248j -0.0139824-0.0981351j 0.0457786-0.0173422j -0.0197483-0.0736306j 0.0319349-0.0722977j -0.0858242-0.132157j 0.0495717-0.132299j -0.0150999-0.0574839j 0.0764693+0.0156671j 0.0461844-0.013138j -0.246801+0.207983j 0.0335711-0.102833j -0.0282534-0.0791583j 0.214158+0.144116j -0.137995-0.0368628j 0.0480808+0.00858586j 0.100564-0.00128527j -0.00824752+0.0632802j -0.118142+0.0322874j 0.0285462+0.0750551j 0.0166628+0.0810216j 0.110396-0.125604j 0.0390221+0.205641j 0.177519-0.104617j 0.0958168-0.0516964j 0.0089144-0.0196066j -0.0198291+0.0290635j -0.0387016-0.102811j -0.107635-0.0290212j -0.0174041+0.0471619j 0.0116743+0.00693382j -0.0109112+0.0102323j 0.00163864+0.000463079j -0.0189956-0.0126955j 0.00630329+0.00894939j 0.000622644+0.000766253j 
0.0157813+0.000295934j -0.0036055+0.01647j 0.0032939+0.0323209j -0.0250137+0.00427417j 0.0206478+0.0112221j 0.0032339+0.0235402j -0.0131151-0.0499717j -0.0645707+0.0124417j -0.00416018+0.0123631j -0.0137251-0.0911435j -0.118549+0.00918896j -0.00854681-0.0194555j -0.0422177-0.165481j -0.00609527+0.0475561j -0.0268014-0.0786691j -0.0206553-0.0951185j 0.0816484+0.0234122j 0.105304+0.12164j 0.0274711+0.132198j 0.0587018+0.0264876j 0.0161573-0.0552263j -0.00255392+0.0587103j -0.0340254+0.0597301j -0.0737167-0.0329357j 0.0952761+0.188931j 0.126021+0.118216j 0.00370217+0.201946j -0.134398-0.00889644j -0.0809695+0.124029j 0.0672134+0.0265809j 0.0160314-0.181677j 0.083368-0.103549j -0.00592143+0.150093j -0.0786388-0.016178j -0.171089+0.091683j 0.0280567-0.223895j 0.00167945-0.14248j 0.0450794-0.0441556j -0.0389157+0.0393549j -0.0203559-0.0347659j -0.107674-0.0792904j 0.122494+0.109277j -0.237869-0.0545311j -0.0870946+0.045094j -0.0873784-0.0896378j 0.0235888-0.0849527j -0.0395638+0.0162529j -0.0651629+0.0797291j 0.0392564-0.0483959j -0.0248338+0.076793j 0.0937136-0.189827j 0.0230737-0.0710569j -0.0595952+0.106641j 0.109101+0.0143787j -0.0535532+0.0093541j 0.092463-0.185811j -0.081546+0.00790044j 0.0732173-0.120439j -0.139783+0.00061958j -0.0179207+0.0409768j 0.154376-0.0390632j 0.138614-0.0166049j -0.00508462-0.0700313j -0.0308555-0.0583544j 0.036605-0.0846665j 0.034463-0.00798237j 0.0863925-0.103354j 0.1054+0.137299j 0.0358773-0.00648512j -0.00542634+0.0242389j 0.0167476+0.0185764j 0.0309739-0.0145546j 0.0193849+0.0217128j 0.00117267+0.00512951j 0.010179-0.00359285j 0.0204035+0.0159072j 0.0139363-0.0182416j 
0.00304268-0.00569143j -0.00241022+0.00653799j 0.00484979+0.0260909j -0.014426-0.00591633j -0.0112107+0.0369674j 0.0412173-0.0565979j -0.0723404-0.0489749j -0.0308096+0.0317321j -0.0397646-0.0161871j -0.00240573+0.0155331j 0.000319518+0.0629683j -0.0247155+0.0466916j 0.0264185-0.0235726j -0.0772475+0.14125j 0.00127218-0.148305j 0.197477-0.0422514j 0.0830288+0.0532277j 0.165392-0.0362584j -0.110497+0.0584079j -0.0619313-0.149334j -0.0897399-0.0140782j -0.130465-0.102775j 0.069061-0.0390902j 0.0368478+0.0189317j -0.00752656-0.0807051j 0.0843725+0.0568288j -0.124127-0.0742937j 0.185982+0.0639012j -0.112913+0.0199619j 0.0730026+0.13329j -0.0353906-0.0622048j -0.0662733+0.138998j -0.128632+0.0566984j -0.086011-0.124051j 0.127126+0.143294j -0.0702108-0.0099712j 0.0135742+0.0998495j -0.100294+0.0863971j -0.14039-0.0176004j 0.0966889+0.0538848j 0.0807264+0.0813572j 0.0484944-0.189471j 0.0928476+0.0960117j -0.0640186+0.0452396j 0.0302024-0.137649j 0.00480491+0.123922j -0.084983+0.0257987j -0.128183+0.134977j 0.122248-0.0405478j -0.102547-0.130606j 0.105934+0.0187429j 0.000170966-0.0599965j 0.113212-0.122414j 0.0428145-0.0372037j 0.160715+0.0971605j -0.0205766-0.0886953j -0.0408245+0.0804589j 0.103149-0.101746j 0.0233538-0.142065j 0.164289-0.00832769j 0.203285-0.0316118j 0.121693+0.160185j -0.0504317+0.0973836j 0.0257351-0.0346022j 0.0566555+0.0261617j 0.061511-0.0559024j -0.106558-0.0500623j 0.0206216+0.00289225j 0.00435994-0.0486601j 0.00126645-0.00225999j 0.0287247-0.0271429j -0.0184727-0.00950512j -0.0137984+0.01931j -0.0244132-0.00184675j -0.0202846+0.0273686j 0.00152118-0.0188187j -0.0219679+0.00219712j 
-0.00524055+0.00329434j 0.00853271-0.00433905j -0.0292318-0.0175245j -0.00852634-0.0314739j 0.0653481-0.00124345j -0.0830743+0.0182271j -0.00087839+0.01594j -0.0985869-0.0298915j -0.119422+0.0588853j -0.121616+0.090568j -0.00907986+0.0197289j 0.142287-0.0307563j -0.0556355+0.00674862j 0.0147289+0.0453403j -0.122933+0.00273426j -0.144558+0.0970395j -0.0554019+0.065072j 0.0573603+0.0460243j -0.053999-0.00748214j 0.054954-0.0695851j -0.13819-0.0636136j -0.0496696-0.160554j -0.21931-0.029788j 0.0982959-0.10758j -0.0558781-0.069914j 0.188366+0.117263j -0.0596287-0.038583j -0.151969+0.0782425j 0.132171-0.058364j -0.00193099+0.0160087j 0.04798-0.136288j 0.0625141-0.136765j 0.154854-0.106182j 0.000528935-0.0313125j 0.0756196+0.0109666j -0.114679+0.0682949j -0.0357371+0.0445614j 0.0532729-0.0438805j 0.0284403+0.00919731j -0.0840365+0.00810278j -0.14698+0.171626j 0.0442604-0.0292185j 0.0134772-0.0798779j -0.0326632-0.0958535j -0.180369+0.0515327j 0.122164+0.119959j 0.00257605+0.068529j -0.0901887-0.0297039j 0.0380102+0.0462246j -0.130921-0.0163599j -0.1197+0.0745384j -0.0733259-0.119291j 0.0456493-0.150938j -0.0176541-0.0640467j -0.00359743-0.146867j -0.0015205+0.0717545j 0.0959657-0.0609196j -0.0535826+0.0953126j -0.0237891-0.103631j -0.171689-0.124858j 0.156669+0.0199321j 0.0650594+0.130925j 0.105657-0.138968j 0.0182094-0.010637j -0.0349055+0.109057j 0.121544+0.0198475j 0.0349981-0.0752175j 0.0558739-0.0597632j -0.0889019+0.00363838j -0.0184784+0.0343884j -0.0342023+0.000658384j -0.0198727+0.00718746j 0.0298842-0.0250341j -0.000759116-0.0243839j -0.00193072+0.0116921j 0.0212097+0.00502263j 0.00979981-0.0239208j 
-0.0048932+0.00301672j 0.00454271-0.00318654j -0.00231349-0.0331971j 0.0148671-0.00457701j -0.000656126-0.100682j 0.0776568-0.022432j 0.0524018-0.0339405j 0.00638542-0.0537637j 0.0686871+0.0104238j 0.0434981-0.0975862j -0.0100539-0.0872346j 0.0985123+0.0445781j 0.0144454+0.00978168j 0.0980613+0.0556283j -0.146547-0.06006j 0.0396572-0.103194j -0.13075-0.160058j 0.0930464-0.0655234j -0.028965-0.0511586j 0.140348-0.0572531j -0.0127567+0.0910871j 0.0545317+0.0372472j 0.0676583-0.128098j 0.183929-0.127489j -0.0432489+0.110921j -0.0267337-0.112962j -0.0826362+0.161431j 0.055636+0.122768j 0.01261+0.00931112j 0.0317525+0.0757022j -0.0789673-0.0218568j -0.11416-0.0838064j 0.057599+0.0108834j 0.254606-0.0688293j -0.0463986+0.074464j 0.0192139-0.0064751j 0.126059+0.224741j -0.103878-0.00283551j 0.0654634+0.0645593j -0.0982834-0.0585912j 0.0238543-0.068977j 0.0802354-0.145817j -0.0625858-0.202302j 0.00840702-0.153768j -0.0252162+0.0263495j 0.152933-0.110808j -0.0422785-0.230118j -0.223048+0.142758j 0.0310482+0.00210605j 0.0334557-0.127134j -0.0653148-0.14451j -0.115128-0.084832j -0.0259688+0.173526j 0.0610001-0.0673651j 0.0445064+0.0479086j -0.0188427+0.0804824j 0.0796829-0.0339016j 0.0983103+0.0231089j -0.00886937-0.0518059j -0.0284402+0.0842404j -0.112594-0.0287789j -0.0335164-0.0846204j 0.00984193-0.00121005j 0.0193409+0.00956023j -0.0189723+0.00579174j -0.0166721+0.00349833j 0.057371+0.0487149j -0.0026425+0.0381438j -0.00361806-0.0229422j -0.0237224-0.0143414j -0.0204762+0.00530389j -0.0122323-0.0033613j 0.0331634-0.00622146j 0.0109144-0.0321583j -0.021921+0.00110484j 0.00832195-0.0104935j -0.00724847-0.010108j 
