0.105127-0.00353432j -0.024329-0.00255429j -0.0131372-0.00339778j 0.0716762+0.0696086j -0.0356517+0.0241086j -0.0261369+0.074887j 0.0561496+0.132026j -0.0345652-0.0420256j -0.0346119+0.0296854j 0.105437+0.0556862j -0.0342559-0.0133496j -0.0964947-0.025934j -0.0121732-0.0568244j 0.14507+0.0426511j 0.0672536-0.040959j 0.0885476+0.0378307j -0.0338351+0.0253178j 0.0928363-0.0452985j 0.0744115-0.0467042j -0.117676-0.105194j 0.139596+0.0270606j 0.121321-0.0382655j 0.0492406-0.0165625j 0.0455706-0.195504j -0.0143744-0.0648398j -0.059014+0.124463j -0.00980237+0.033992j -0.12072-0.149885j -0.0673778-0.0981055j 0.0452575-0.0223385j -0.145718-0.00751021j 0.14837+0.126597j 0.124829+0.106289j 0.107637+0.0888908j -0.0142567-0.0099294j 0.0574614+0.103644j -0.0180078+0.0647905j 0.0257655-0.033194j 0.0571063+0.0782337j -0.0623752-0.0578727j -0.000582155-0.0972769j -0.0226492+0.115353j 0.0746348-0.218287j -0.0374444-0.125003j -0.087795+0.01693j 0.134976-0.011099j 0.0861496-0.00597103j 0.0558391-0.0234051j 0.0767628+0.0311779j -0.0384827-0.030672j 0.043047-0.0243352j -0.0138812-0.191208j -0.112896-0.00730743j 0.139916+0.155622j 0.101045-0.0268184j 0.0562587+0.0959158j -0.0344217+0.145003j -0.0110287+0.0605938j -0.0338762+0.00655283j -0.0422029+0.0188699j 0.0208668+0.00206477j 0.00128599+0.0307852j 0.0129049-0.0363283j -0.00564532+0.00468794j -0.0127033+0.00909933j -0.0114235+0.050005j -0.00284471-0.0137084j 0.0305156-0.0135921j 0.00119715-0.00267835j 
-0.071685-0.0104748j -0.00783664-0.0073604j 0.0939274-0.0250196j -0.0612974+0.0182791j -0.0266493+0.0320411j 0.0504095-0.105789j -0.00387347-0.00816275j -0.0666406-0.0219352j 0.0241617-0.0841269j -0.0262873+0.0583152j 0.0204113-0.075682j 0.117807-0.161682j -0.0491457+0.0752045j 0.194277-0.0161765j -0.0464491+0.0710964j 0.143162-0.0108855j -0.0582067+0.108806j 0.0342995-0.0629835j 0.074482+0.121646j -0.0759612+0.0215574j -0.00694353+0.0608044j 0.175991+0.136068j 0.0943172-0.133459j 0.0343069-0.0864681j -0.166617+0.073697j -0.0649221+0.0212433j -0.106938+0.0664451j -0.0484589-0.0406919j 0.209452-0.0197121j 0.104651-0.182536j -0.197358-0.0230553j -0.000913228+0.0803159j 0.0920938-0.0830181j 0.00353614+0.148828j -0.0457257+0.013729j -0.0887073-0.0363793j -0.0364025-0.047079j -0.0335755+0.00966045j -0.00950155-0.0667198j 0.0439271-0.00033581j -0.0367237+0.0120305j 0.0795914-0.024101j -0.0379547+0.152576j -0.137866+0.135931j 0.112805+0.0300095j 0.21438-0.0265335j 0.0223833+0.0602146j -0.0143076+0.0522378j -0.0413108-0.0604645j -0.0889558-0.00678671j -0.0313667-0.00691271j -0.00103589+0.115943j 0.0552243+0.0286805j 0.00170061-0.0944052j -0.0757206-0.00826762j 0.0254724-0.0463386j -0.00530632-0.0929831j -0.0272714-0.0855745j -0.00377997+0.000132386j 0.03003-0.0253961j -0.0187275+0.00578104j -0.00862097-0.0216239j -0.0126965+0.0181943j 0.00409854+0.00933372j -0.000235141-0.0101207j 0.0190723-0.0167132j 0.00106112-7.67366e-05j -0.00543175+0.00682355j -0.00936572+0.000398762j 
-0.026597+0.0208367j 0.0537391+0.0116369j 0.0224511-0.0169222j 0.0145265-0.0388058j 0.00957926-0.0234499j 0.0484149+0.00587383j -0.0339378-0.0194983j -0.0223417-0.0111936j -0.0270686-0.0284865j -0.00461488+0.00970981j 0.0180953-0.041032j -0.0899193-0.0258175j -0.0680402+0.0219612j -0.0223058-0.02134j 0.0476075-0.0045886j 0.0731616-0.00202006j -0.0778858+0.00139564j -0.0461891-0.0655486j -0.0574192-0.047379j 0.0455371+0.0726083j -0.0302875-0.0514448j 0.0339869-0.0485613j 0.0363871-0.133798j -0.0201339+0.0600061j -0.0121461-0.0318542j 0.00755084-0.0521272j -0.0162173+0.0900282j -0.0291101-0.0968219j 0.0416318+0.0738641j 0.00871705+0.0546207j 0.06468-0.0209426j -0.055272+0.102049j 0.0239443+0.0120451j -0.0608359-0.086974j -0.00840313-0.0778599j 0.00364401+0.0918012j 0.0755117+0.000463665j 0.0621343-0.0659578j 0.0962577-0.0859037j -0.0557497+0.0651002j 0.0275077-0.0452577j -0.0639784-0.000242842j -0.00915634-0.0606086j 0.00051473+0.0274755j 0.110139+0.0463817j -0.112713+0.0243683j 0.0761507+0.0372j 0.123942+0.0227762j 0.0521539+0.117594j -0.109496+0.0331079j -0.111566+0.00125313j 0.0783862+0.0605781j 0.0194062+0.0297308j -0.0824642+0.0278158j 0.0709117-0.00723251j 0.00962797-0.106125j 0.0610805-0.00641434j 0.0200829-0.0774305j -0.146443-0.0969926j 0.117493-0.0732366j 0.0102854+0.109632j -0.0520642+0.0396818j 0.0954526+0.229277j 0.0540789+0.166326j -0.0626817+0.0539715j 0.0549893+0.275424j -0.042275-0.158107j 0.161255-0.112335j -0.00323384-0.0432443j 
-0.0105393+0.0387982j 0.0136438-0.0506997j 0.0287887-0.0257125j 0.050559-0.00671299j -0.0555509+0.0488511j 0.00360128-0.0321932j 0.0174004+0.0193482j -0.108181-0.0578607j 0.0706313+0.0106827j 0.0139855-0.0218142j 0.0719239-0.0419254j 0.0178098+0.0265653j 0.000657332-0.0390928j -0.0108254-0.00332254j 0.0415104-0.0145325j 0.00609384+0.00853013j -0.0404158+0.00600723j -0.0807519+0.0632599j -0.0660288-0.0172704j -0.000693786-0.0799357j 0.00599233-0.0623901j -0.0213166+0.00419006j -0.0584548-0.00494759j -0.0102441+0.0268821j 0.00770107+0.0736946j 0.037374+0.0943237j -0.0265048-0.00609508j -0.085452+0.0802719j 0.0360021+0.016801j 0.0437244-0.00181599j 0.0610575-0.0770386j -0.021103+0.0945064j 0.0270108-0.0796891j 0.0873748+0.151312j 0.00660128+0.0409021j 0.0237023-0.0527083j -0.0586728+0.0448158j -0.0715637-0.0130352j 0.059+0.0382732j 0.219287+0.177205j 0.0306416+0.145986j 0.0647498-0.0523891j 0.00397214-0.0951298j 0.0172338+0.0290513j -0.0453765+0.0911551j 0.0191442+0.0266489j -0.00474352+0.0131999j 0.173692-0.0335831j -0.12198-0.00804583j 0.0138193+0.122565j 0.137637-0.0482508j -0.023044-0.0281468j -0.0158132-0.0336428j -0.129015-0.0377415j 0.117919-0.117224j -0.0827885+0.0737778j -0.131023+0.10071j 0.110023-0.110909j 0.0133921+0.0393947j 0.0626191+0.0124353j -0.0810483+0.102903j 0.135588-0.0647984j -0.0259074+0.172482j -0.0165216-0.0346571j 0.134154+0.12813j -0.188509-0.0446952j -0.0832585+0.0416051j -0.0241699-0.0381653j 0.0817342-0.00224809j 
-0.00721905-0.102232j 0.0135461-0.00745104j 0.0184055+0.047341j -0.0312084+0.00790378j 0.123694-0.100002j -0.0638511-0.0110284j -0.0161327+0.0398853j 0.0440014+0.0870894j 0.0947465-0.0329363j 0.0297494-0.113053j -0.0479694+0.0184797j -0.0438849+0.0551372j -0.0203237+0.0849087j 0.0651766-0.0548798j 0.0949087+0.0867208j -0.0272878-0.0125477j 0.0376876+0.121624j -0.114693-0.0855152j -0.00168825+0.0170216j 0.00273221-0.0471905j -0.121742-0.0297223j 0.0793192+0.0723439j 0.065612+0.0895832j -0.00900993+0.0542111j 0.0539246+0.0289033j -0.000416155+0.0868168j 0.0311986-0.0308031j 0.0203145-0.105352j -0.00239612+0.0260453j 0.108606+0.101245j -0.0004724-0.0607874j -0.0223967+0.0669666j -0.082419-0.0237168j 0.0624745-0.106471j -0.0372399+0.150413j -0.0393065+0.0137722j 0.00903409-0.0112874j 0.132992+0.0614276j 0.110293+0.12516j 0.00976243-0.0413439j -0.0630008-0.0898564j 0.008684-0.0988603j 0.0176268-0.0130002j -0.046838+0.106544j 0.0999916-0.0749043j -0.0249975-0.0133204j -0.159486+0.100483j 0.125521+0.0850467j -0.00361347-0.114326j -0.0317688+0.0178905j 0.0120164+0.049194j 0.0310205-0.169725j -0.100847-0.0135181j -0.0627002-0.0172043j 0.086914-0.183278j 0.147106+0.0401891j 0.0709257-0.120236j -0.050895+0.105847j -0.0266858-0.118738j -0.0608801-0.0336958j 0.129152+0.069425j 0.113952-0.0564416j -0.0756134+0.0385103j 0.0491884-0.0670175j 0.123803+0.0632417j 0.115232-0.0648508j 0.105628+0.0502431j 0.00858506+0.0567125j -0.0360527-0.0152801j 
-0.0241444-0.0371924j 0.000419678-0.00919325j -0.0678337-0.0245065j -0.0539625-0.00648252j -0.0111476-0.0184463j 0.00914294-0.0545008j -0.0488565+0.00101761j 0.0209174+0.0113542j -0.107881+0.0539638j 6.79039e-05-0.0306784j -0.0148376+0.0472185j 0.0146764+0.118952j 0.045774+0.049735j 0.0633437+0.0845799j -0.136537-0.0224753j -0.0593867-0.0726805j -0.0295481+0.0706566j -0.155497-0.0990904j -0.0638521-0.0600333j -0.015624-0.0430552j 0.0394012+0.0610022j 0.134162+0.0475469j 0.042115-0.0134927j -0.0122894-0.012362j 0.084283-0.0357898j 0.0872703+0.0437244j -0.123896+0.0350463j -0.0389678-0.0660629j -0.0623276+0.0128258j -0.030848+0.124899j -0.0281311-0.022982j -0.105737+0.0922737j 0.000388425-0.0776452j 0.0732394-0.0800468j -0.0196649-0.00514949j -0.0217337+0.0249519j -0.0297042+0.0244803j -0.132653+0.112852j 0.0444127+0.0496526j 0.0819459+0.0128884j 0.0371665+0.0826985j -0.0255099-0.0492124j -0.0478754+0.118461j 0.0366122+0.0201418j 0.0484301+0.0505225j 0.0562786+0.0172195j -0.132632-0.0710975j 0.217675-0.0544224j 0.032562+0.00468124j 0.0375607+0.0936112j 0.0416159-0.0496683j -0.126863-0.0531994j 0.00269096-0.101387j 0.00908401+0.0467904j 0.0128829+0.0332098j -0.0388365+0.0205589j -0.0834819-0.0551128j 0.0719099-0.0621778j 0.0959428+0.171578j 0.048297+0.0121715j 0.123953-0.182209j -0.155926+0.165852j -0.0375105-0.0708115j -0.0734585+0.00261319j -0.24394-0.134881j 0.0274031+0.108142j 0.0224374-0.0695574j -0.0268484-0.0165686j 0.00379327+0.0185858j 
-0.0675124-0.0185395j 0.0388764+0.0340303j -0.0337719+0.0319333j 0.0671483+0.0235989j -0.0738126+0.0482329j 0.132228-0.0791996j 0.0776619+0.1223j -0.0656814-0.0160147j 0.129156-0.0616093j 0.00539881-0.150844j -0.0303981+0.00051279j 0.0433495-0.105642j -0.0543257-0.0130992j -0.00656817+0.0169144j -0.0401982-0.0165442j 0.00641594+0.12662j 0.0375941+0.102693j -0.0925838+0.0143968j 0.0931238-0.167869j 0.16148-0.128459j -0.00994949+0.160415j 0.0292805+0.0370561j -0.0451279-0.0205425j -0.210434+0.0128675j 0.0235775-0.0680034j 0.0878798+0.123337j 0.00903455-0.0318116j -0.0191435+0.153351j 0.0399843-0.0339948j -0.079838+0.123762j 0.0699265-0.08519j -0.0131183+0.107002j -0.0496557+0.0334874j 0.0242116+0.0173269j 0.0699122-0.0818535j -0.0337757+0.0189043j -0.0755141+0.00153629j 0.131913-0.0603527j -0.0658756-0.0230082j 0.0462218-0.0460659j -0.134697-0.115143j 0.0474522+0.111555j 0.0533401-0.0113663j 0.0626475-0.0284768j 0.1186+0.154704j 0.0295482-0.0693826j 0.0281581+0.0304362j -0.0655884+0.0105065j 0.0992685-0.152998j 0.0551611-0.0593612j 0.107074-0.0548134j 0.177454-0.00862617j -0.041763+0.158825j -0.0997108-0.077514j -0.0758126-0.0403951j 0.0982882-0.0136317j 0.0044242-0.0201273j 0.0239183-0.0274992j -0.0207204+0.0555521j 0.0161294+0.0214727j -0.0621231-0.0457232j -0.0688374+0.0130336j 0.0901132-0.061474j -0.0435372+0.0189059j -0.069028-0.0326826j -0.0127707+0.0269303j -0.0471442-0.0213272j 0.00173758-0.0131938j -0.00295805+0.00680488j 
-0.0847554+0.0391001j 0.00925468+0.00968896j 0.0174359-0.0712725j -0.0101806+0.0517244j 0.00353111-0.010334j -0.0614951+0.0174847j -0.145899-0.134198j -0.00145788-0.0171022j -0.00322631+0.112426j 0.093335-0.00257869j -0.00999946-0.0962484j 0.0388602+0.0144011j 0.0112216-0.0613153j 0.0693243+0.0489047j 0.0087828-0.089746j 0.137946+0.0397342j 0.06521+0.186676j -0.0446489-0.0335746j 0.0681817-0.124703j 0.00247256-0.0533151j -0.0976352+0.165783j 0.114484-0.00580215j -0.0836166-0.0438922j -0.134779+0.00287716j -0.111333-0.127469j 0.151285+0.159926j -0.119012-0.0880719j -0.0854641+0.0786903j 0.0571253-0.0047086j -0.115717+0.192754j 0.0100161-0.169256j -0.0336108+0.0391371j -0.0615685-0.0144443j -0.014194-0.0848807j -0.00832061+0.0739896j 5.88949e-05-0.0342343j 0.06601-0.0562257j -0.0402794-0.00200703j -0.0534439-0.0336967j -0.0980862-0.0197412j 0.135047+0.0594206j 0.0244658+0.0663705j -0.0170195-0.031399j -0.0373671-0.0388059j -0.0858321-0.140688j -0.0278546-0.00367026j -0.0824491-0.0441398j 0.0218927+0.00402994j -0.0566667+0.154067j -0.0844415-0.0410033j -0.0952066-0.00689499j -0.104673+0.110829j 0.102503-0.0493785j 0.0954029+0.0674572j -0.0623251+0.107168j -0.0889928-0.0364978j 0.0285476+0.0526596j -0.0234086+0.0427176j -0.0104966-0.0983271j -0.0395622-0.0065466j -0.0359139+0.0752531j 0.0589498-0.0649711j -0.0351326+0.0152732j 0.0673391+0.00647152j 0.127054+0.0488025j -0.0015107-0.0795819j 0.000415653+0.0558337j -0.00581078+0.0200626j -0.000836067-0.00955472j 
-0.0124276-0.120272j -0.012287+0.00493674j -0.0187501+0.120292j 0.0878364+0.0281081j 0.0783977-0.0142124j 0.0301081-0.0668149j -0.0299742+0.0536914j 0.116429+0.0951811j -0.011995-0.0208583j -0.00975256-0.0916226j -0.00862246+0.0852061j -0.0228356+0.0183559j 0.0618519-0.06566j 0.0677225+0.114114j -0.0268728-0.01132j 0.124875+0.0252257j 0.0883212+0.00882129j -0.0317459+0.0840172j 0.0592125+0.0556777j 0.079471+0.0417182j -0.0291312+0.0373494j -0.0093806-0.0563991j 0.0208527-0.0831339j 0.00188647+0.00695939j -0.00391914+0.032124j -0.064892-0.000391462j 0.0539727+0.0165328j 0.0669168-0.0359759j -0.0423707-0.0924377j -0.0415456+0.00370116j -0.033722+0.012202j -0.0164032-0.118644j 0.050497+0.0169205j -0.0926906-0.0237786j -0.119011+0.0785174j 0.0317972+0.040413j 0.115287+0.101694j 0.0793622-0.0357582j -0.0977116-0.0347256j 0.12089-0.023691j -0.0113425+0.0961577j 0.163829+0.239234j -0.0342871+0.0287216j 0.0131218+0.0469096j -0.0359769+0.169433j -0.00392965-0.0415889j 0.10754+0.083185j -0.0374529-0.00479249j 0.100084+0.139504j 0.00884264+0.0174727j 0.183193-0.169329j -0.0022455-0.0196536j 0.0793109-0.266315j 0.000104357+0.0151967j -0.0413312+0.00724153j 0.0318239-0.0648463j -0.107752-0.0824433j 0.0613402-0.0379741j 0.092692-0.0414937j 0.0312756-0.064514j 0.173328+0.0109585j 0.0531137-0.0428622j -0.127157+0.0542825j -0.0134531+0.0356182j 0.0633972+0.0605916j 0.093605+0.0159097j 0.0918688-0.00439665j 0.0140913+0.000131401j 0.00351758-0.013854j 
0.0391607+0.0319108j -0.0192649-0.019857j 0.0343582+0.0674435j 0.0838669+0.0132863j -0.0681833+0.0407679j -0.0141575-0.0388991j 0.0624567+0.0145949j -0.0616711+0.00516388j 0.0715069+0.0099011j -0.0275863+0.0299893j 0.0289501+0.0193759j 0.0765994-0.0370097j 0.0894525+0.149203j -0.048566-0.0918184j 0.0728268-0.000760814j 0.0289235-0.264507j -0.0359562+0.0403571j 0.0231395-0.0964787j -0.0659198-0.0103839j -0.0543126+0.0202086j -0.0202443+0.0111261j 0.0109659-0.0408665j 0.14686+0.0242202j 0.0727691-0.0268952j 0.150561-0.0196311j 0.034806-0.127509j -0.0221264+0.0677591j 0.0132455-0.0964864j 0.0134145+0.0889756j -0.0612643-0.0499971j 0.0720267-0.103662j 0.0397965+0.0738528j 0.0200556+0.0668199j -0.0134865+0.0147497j -0.0272311+0.0512591j 0.057276-0.139255j 0.141828+0.0169015j 0.0876732-0.0162149j -0.167046-0.109435j 0.00214269+0.148405j 0.100611+0.0715525j 0.0486544+0.0835073j 0.135763-0.0705775j 0.0141499-0.00874453j 0.0115437+0.0375665j -0.0571772-0.0566379j -0.104894+0.0695154j 0.196562+0.0893415j 0.162144+0.0226051j -0.0557497-0.0754272j 0.0446362-0.149754j 0.0383181+0.0576585j 0.128375+0.00427958j 0.00750934+6.84759e-05j -0.0732476-0.0583675j 0.0898648+0.014469j 0.0314316+0.0938213j 0.0361874+0.042359j 0.0487713-0.0431319j -0.131631+0.0701946j -0.0918749-0.0323618j -0.0664813+0.00406176j 0.107437-0.0997401j 0.0275204-0.0289016j 0.00971931-0.029306j -0.0437747-0.0746723j -0.0722711+0.0784707j -0.047488+0.0374693j 0.0116075-0.00849382j 
-0.029735+0.0314427j -0.0933169+0.0775232j -0.0453769-0.0776983j -0.0459132+0.0324467j 0.0143722+0.0179044j 0.0118122+0.00562873j 0.0166313-0.0440592j 0.0106527-0.0282323j -0.0198982+0.0302504j -0.00390521+0.0371415j -0.0723105+0.109648j 0.00222437-0.137806j -0.135339-0.0191325j 0.0670485+0.0257828j 0.0194714+0.0180974j -0.0395248+0.19231j 0.0280483-0.025496j -0.00836216-0.0234589j 0.0495718-0.146627j 0.00958122+0.0254195j -0.00678948+0.0465778j 0.0162964+0.0646027j -0.0344099+0.0527982j -0.0514664-0.0150167j -0.119975+0.0037679j -0.037745+0.0355906j 0.0927103-0.0819541j -0.0704572+0.0158328j 0.0601029-0.0249216j 0.0582759-0.00941712j 0.0299971+0.0162439j 0.0967997-0.053935j -0.0681101+0.0726203j -0.0835938-0.0183545j -0.0293997-0.04571j 0.00534883-0.103222j 0.180987+0.0348301j 0.015172+0.0314054j 0.121401+0.000182574j 0.0460756+0.158581j 0.215195+0.107082j 0.0295692-0.189103j 0.0256245-0.0230603j -0.0158728+0.111024j 0.0204869-0.0623578j -0.0710772-0.00894426j 0.182158+0.115308j -0.140778+0.0298238j 0.06793-0.0129752j -0.0568527+0.119007j 0.0286911-0.0816244j -0.0478575+0.00453156j 0.153272-0.0692655j -0.0864167+0.084508j 0.141426-0.169279j 0.0315439+0.0621634j 0.0488359+0.00815261j 0.0381902+0.0600114j 0.0583791+0.0113904j -0.110218+0.0567244j 0.0214988-0.0769171j -0.0668784+0.129511j 0.0758909-0.0440535j -0.00945918-0.0816489j -0.0986091-0.0510187j -0.0115238+0.0222822j -0.00553243+0.0163099j -0.0311274+0.0252989j 0.0126836-0.00773134j 
