-0.0780899+0.0088247j -0.0790775-0.1415j 0.00588856-0.166876j -0.16295-0.163037j 0.137974-0.0453388j -0.128934-0.148134j -0.0456747-0.243891j -0.184305-0.0568466j 0.0366579-0.0458426j -0.445311-0.380099j 0.152311+0.164527j 0.324711-0.13524j 0.0810661-0.0547503j 0.0387696-0.578618j -0.0397356+0.18807j 0.745758-0.344916j -0.203554-0.175539j 0.735226+0.14217j -0.0817036+0.246011j -0.075539-0.230871j -0.127942+0.124556j -0.35863+0.0699286j 0.260913-0.0601378j -0.168234-0.0915445j 0.190193-0.193474j -0.529853-0.385754j -0.0151465+0.646918j 0.270179-0.0449362j -0.197871+0.00549802j 0.213797+0.406636j -0.214905-0.135132j 0.455364+0.712555j -0.703225-0.00585996j -0.337528-0.0250934j 0.335793-0.798339j 0.45787+0.191439j -0.0586132-0.158455j 1.13039-0.307277j -0.698691-0.117698j -0.263618-0.370506j -0.413352+0.119586j 0.0742489+0.689954j 0.408932+0.495336j -0.415843-0.194306j -0.51356+0.702771j 1.13806+0.0872545j 0.215351+0.429785j 0.528631-0.280938j -0.429819+0.0426694j 0.0801379-0.695168j -0.729756+0.753535j -0.014495-0.479376j -0.3353-0.22731j -0.675002-0.633633j -0.459506-0.167004j 0.668277-0.531395j -0.136723+0.660198j 0.85203-0.279986j -0.133134-0.997259j 0.722052+0.150459j 0.616752-0.335096j -0.0667379+0.00950523j 0.410527+0.0351896j -0.941195-0.951684j -0.550207-0.063223j -0.322371-0.435723j 0.164307+0.983277j 1.44984-0.944255j -0.437289+2.60683j -2.27893-0.286503j 
-0.064047-0.030471j -0.286072+0.242951j -0.27319+0.213474j -0.511681-0.0258396j 0.2338-0.16435j -0.634732-0.18835j -0.316668-0.193373j -0.512827-0.0854073j -0.312543-0.413j -1.03931+0.151477j 0.30542-0.115266j 0.700014+0.455706j 0.381298+0.0172878j -0.540607+0.194117j 0.390237+0.231931j 0.988403+0.0597613j -1.62162-0.00755247j 1.20825+0.211124j -0.996764+0.0466676j -0.0311931+0.51202j 0.650212-0.35329j -1.58896-0.00797764j 0.953317+0.123317j 1.43962+0.205778j 1.37715+0.431323j -2.04176-0.127227j 1.54772-0.673218j 0.114411+0.217353j -0.0436962-0.0957739j 0.981852-0.0396257j -0.453085-0.350318j 1.59438+0.0318805j -1.93252-0.0494553j -0.392456-0.688969j 0.18335-0.595542j 1.35631+0.586582j -1.17949-0.112556j 1.65591+1.49942j -1.66329-0.103649j -0.694626-0.00293503j -1.77287+0.099302j 0.0991534-0.036395j 0.617359-0.165095j 0.135472+0.479149j -2.97999-0.0635242j 0.469592+0.80513j -1.62824+0.0756637j 0.905476-0.0987725j -2.26476-0.094131j -0.649621-0.0183954j -0.106383-0.461355j -0.559737-0.248586j 0.887691-0.549424j -1.04488+0.532989j 2.05615-0.15495j -0.184579+0.835473j -0.373636-0.139904j 1.02315+0.105726j -0.0124008-0.711257j 0.148811+0.999557j 0.721314-0.672834j -0.248926-0.0188464j 1.03831+0.132066j -0.412569-1.13842j -0.24116+0.652105j -0.752596-0.188341j 1.9299-0.890008j 0.828441+1.26013j -0.0562541+0.921249j 0.936692+0.069624j 
-0.00649862+0.24544j 0.334202+0.601583j -1.31461+0.100382j 0.433302+0.227998j -0.0240569-0.321565j 2.98412+0.644548j -0.490796-0.214902j 1.7268+0.433041j 3.18094+0.245012j 4.11044+0.447432j -0.862139-0.157395j -4.81329-0.912508j -1.91019+0.293944j -0.0203881-0.0604229j -2.08718-0.965421j -6.41986-1.24585j 6.68774+0.956975j -7.66592-1.98842j 5.66407+0.289146j 0.956074+0.027992j -2.52328-0.0917763j 9.94225+1.10755j -6.92916-1.25312j -5.28613-0.383129j -7.27512-0.645964j 14.0411+1.95392j -2.65286-0.607564j -2.8564-0.287991j -0.337528+0.134484j -7.84239-0.879852j 4.5483+0.660094j -8.87587-1.66291j 9.16218+0.551671j 4.29098+0.962215j -3.02662+6.08519j -6.15106-0.865418j 3.97736+0.662956j -9.00795-1.44445j 9.03088+1.69402j 4.02929+0.319515j 7.83964+0.870708j 0.764796-0.147265j -3.39686-1.11221j -1.276-0.737121j 13.6936+2.29193j -6.17022-1.59333j 3.64998-0.200301j -7.54483-1.36041j 9.16649+0.833482j 3.85745+0.617253j -0.929437-0.236398j 6.0084+1.5161j -7.02298-1.66632j 5.74291+0.880943j -6.97795-1.28425j -2.66692-0.130924j 0.852951+0.800863j -1.55789-0.395802j 5.8405+0.289109j -2.00702+0.239126j -4.56257-2.43044j -2.98037-1.08624j -1.01861+0.2363j 0.607972+0.112709j -2.69987-1.02884j 0.289493+1.01123j 1.49911-0.634492j 1.20278+0.323705j -0.0183585+0.172537j -0.889403-0.693992j 
0.23371+0.129384j 0.150852+0.481253j -0.974724+0.252568j 0.0114345+0.319133j -0.367408-0.228783j 1.09456+0.434836j -0.309148+0.0711783j 1.00251+0.291319j 0.926768+0.382224j 2.6784+0.294719j -0.595796-0.252852j -2.56552-0.416085j -0.699842+0.662238j 0.399342+0.999359j -0.585131-0.501667j -2.98837+0.058409j 2.69871+0.195343j -3.44594-0.544578j 2.17826+0.615592j -0.84768-0.111901j -0.830928-0.155388j 3.86397+0.613962j -2.91032-0.388378j -2.06525-0.419302j -2.45412-0.369614j 6.77319+1.30304j -1.72234+0.512829j -0.763602+0.28021j -0.589885-0.739905j -2.81344-0.359348j 2.24857+0.450137j -4.36768-0.759654j 3.88763+0.684699j 1.71233+0.549101j -0.144161+2.10982j -3.23705+0.390486j 1.67249+0.529356j -4.46796-0.8725j 4.32049+0.768857j 2.26972+0.313143j 3.46058+0.293372j -0.16359+0.751745j -1.09035-0.324737j -1.20596+0.774972j 6.07346+0.553138j -2.13902-1.62106j 1.24855-0.718182j -2.32642-0.944833j 4.06074+0.431397j 0.863212-0.578217j -0.166461-0.991713j 3.63971-0.253219j -4.25169-1.67551j 2.37813+0.832764j -1.79324-0.00766356j -0.579209+0.326326j -0.628382-0.429017j -1.43146-0.577242j 2.29314+0.065604j -0.360714-0.861571j -1.1612-0.745191j -1.81009+0.19442j -0.535273-0.166852j 1.28977-0.826401j -0.569088+0.0314685j -0.814817-1.17356j -0.775344+0.227076j 0.969178-1.00062j 0.165175-0.316276j -0.628636-0.492548j 
-0.133593-0.0617593j 0.21843+0.0203722j -1.38422-0.134646j 0.484926+0.438747j 0.332694+0.517192j 2.88193+0.725662j -0.786378-0.127899j 1.78916+0.344602j 4.10828+0.211911j 4.15053+0.795783j -0.689708-0.184428j -5.90541-0.974514j -2.48648+0.225571j -0.420856-0.153014j -2.23496-1.08341j -7.95953-1.80402j 7.57681+0.989687j -8.13933-0.523559j 5.68446+1.21598j 0.51295+0.662822j -3.02252+0.944502j 10.0711+1.62463j -7.23669-0.808877j -4.22966-0.402365j -7.20295-1.46806j 15.3797+2.80441j -2.54576-0.323747j -3.26274-0.335988j -0.583388-0.288641j -8.56372-1.69632j 5.37829+0.461862j -10.0221-2.93602j 8.50157+1.74641j 4.39874+0.715444j -2.2209+6.06379j -6.6221-1.49472j 4.99348+0.322661j -9.88677-1.58417j 9.83165+2.26355j 4.33516+0.820345j 9.0748+1.44065j 0.818623+0.52391j -3.21992-0.929287j -2.21483+0.192007j 15.3719+3.16808j -7.08364-1.37863j 5.4256+1.86591j -8.24968-1.24814j 9.48106+2.52687j 2.51366+0.341146j -0.27928-1.03815j 6.64416+0.767444j -8.64581-1.63846j 7.13111+2.22121j -8.51846-1.06919j -2.30818-0.0767637j 0.214073+0.250322j -2.60656-0.432482j 7.7062+2.53434j 0.464388-0.19941j -5.64548-0.804249j -3.15231+0.158997j -2.79642-0.265455j 1.88233+0.165183j -4.76636+0.809753j -0.0940511+0.725681j -0.314577+0.556873j 1.28571+0.112593j -0.015495+0.0168595j -0.256897-0.453477j 
-0.301112-0.17679j 0.214592+0.144159j -2.60019-0.063477j 0.617531+0.631319j -0.253718-0.0714055j 4.64792+0.789943j -1.27195-0.0523114j 3.1139+0.876322j 6.62625+1.31889j 8.25058+1.03409j -1.50472-0.203876j -10.8568-1.92734j -3.99011-0.0472089j -0.452403-0.0363745j -3.77508-0.657025j -12.0678-1.11293j 11.9872+1.71621j -13.5838-2.86417j 10.1956+1.61723j 1.68238-0.0307778j -4.52835-1.40171j 17.4766+3.28081j -13.7763-2.75463j -8.37093-0.732388j -11.4363-1.90961j 26.3293+5.05644j -3.66866-1.44144j -5.46767-1.18705j -0.568073-0.634716j -14.0807-2.10698j 8.56311+1.21776j -17.5106-3.33849j 16.0237+3.1768j 8.27846+1.20815j -4.30409+11.522j -10.4772-1.48739j 8.20007+2.36953j -16.0368-3.4876j 18.1779+3.4035j 7.6176+1.56711j 13.243+1.35503j 1.13108-0.580853j -6.31219+0.0131776j -4.72583-0.988828j 27.3155+4.49989j -13.5084-2.33168j 7.93656+1.41672j -13.724-2.80188j 17.6488+3.313j 3.68462+0.741174j -0.469777-0.190648j 11.1088+0.582123j -13.7159-1.77676j 12.1839+1.33483j -13.4051-2.43366j -3.68429-0.692246j 1.23832-0.254065j -2.49941-1.38221j 10.6479+1.60973j -1.45049+0.826017j -7.58294-0.281065j -6.41158-0.0375995j -4.10057-0.166815j 1.27073+0.264257j -4.79471-1.47122j 0.924583+0.368695j -0.0938553+1.03477j 2.36762-0.243287j -0.256271-0.389096j -0.0456002-0.664734j 
-0.0773846-0.172031j 0.271107+0.186221j -1.60153-0.319403j -0.0747903+0.519711j -0.283316+0.915979j 3.37642+0.253244j -0.980144-0.125883j 1.95832+0.173626j 4.11962+0.204096j 5.27307+1.3632j -1.05093-0.238497j -6.91193-1.21285j -3.20334-0.210192j -0.199897+0.856882j -1.33665-1.10466j -8.24469-2.32031j 8.2475+1.74407j -9.44629-0.554073j 7.5346+2.51563j -0.094698+0.601713j -2.87658-0.636782j 12.2433+1.63389j -9.65544-3.11491j -5.61936-0.745613j -8.0977-0.725831j 17.9829+3.92706j -1.95962-0.544686j -3.57671-1.02631j 0.257152+0.166672j -9.28514-1.61221j 6.00404+1.24373j -13.4214-2.52047j 11.8597+1.84888j 5.03216+2.39122j -3.96861+7.88022j -6.9636-1.88838j 5.08484+0.804371j -10.786-2.7682j 12.1648+1.96211j 6.17761+1.93362j 9.62188+1.8872j 1.35983+0.33671j -3.71692-0.259559j -2.67267-0.594771j 18.0191+2.7874j -7.86863-0.52697j 5.04715+1.08987j -10.4102-1.87118j 13.6129+1.40229j 2.88742-0.0886039j -0.62723+0.0656834j 7.91481+1.40016j -10.2395-1.81155j 9.61167+1.16084j -8.48803-1.5732j -3.19812-0.476786j 0.983888+0.497847j -3.11936-0.370894j 7.26341+0.248599j -1.0685-0.306083j -5.33699-0.524073j -3.41351-0.771055j -1.6484-1.66816j 1.54864+0.605621j -4.51435-1.06382j -0.16218+0.220303j -0.260817+0.540193j 1.56231+0.478772j -0.0960895+0.0830736j 0.31968-0.246596j 
-0.432887-0.142644j -0.221259-0.497925j -0.527998+0.00722125j -0.496109-0.104287j 0.194938-1.31476j -0.0667631+0.123234j -0.960768-0.139166j 0.511194+0.354289j 0.28207-0.418753j 1.00883-0.232278j -0.550898-0.00916967j -0.684241-0.314173j -0.0736871-0.00532947j 0.123258+0.942869j 0.593111-0.861789j -1.62124+0.0291418j 1.37456+0.213035j -1.60901-1.33772j 1.43792+0.16871j -0.764417-0.0181648j -0.677044-0.249108j 1.08657-0.544857j -1.13479-0.233602j -0.978915+0.0152634j -1.51636+0.124764j 2.27356-0.0692926j -0.132723+0.481568j -0.396763+0.040281j -0.254134+0.423044j -0.877074+0.0878006j 1.32953-0.841166j -1.7264-1.32462j 1.04242+0.354363j 2.24933+0.290611j -0.419431+0.978714j 0.263492-0.388518j 2.23984-0.110232j -1.10131-0.0935217j 1.58043-0.899623j 1.57141+1.19518j 0.871333+0.70117j 0.357396+0.463764j -0.297379-0.359248j 0.178508-0.418025j 2.17756+0.820969j -1.27238-0.536042j 1.11548+0.407184j -1.19796-0.236059j 1.06015+1.10456j 0.740429-0.288565j 0.638588+0.0730156j 1.3192+0.237612j -1.57666+1.04095j 1.32335+0.123287j -1.7264-0.427516j 0.46692+0.757322j -0.103972+1.02816j -0.0638264-0.110728j 0.724658+0.137216j -0.60177-0.0928721j -0.978485-0.486975j -0.0756878-0.638654j -0.564559+0.270527j 0.852741+0.227828j -0.0477301+0.151832j -0.0339187-1.23822j 0.4391-0.115943j 0.344478+0.0488213j 0.460693-0.567721j 0.521089+0.0327492j 
-0.129-0.347229j -0.0317523+0.151752j -1.58644-0.158014j 0.317502+0.654628j 0.119454+0.0534055j 4.52507+0.376356j -1.52674+0.335557j 1.78885-0.573379j 3.17074+0.625143j 5.00976+1.22993j -0.926011-0.0132724j -7.23691-2.11743j -2.93901-0.463666j -1.10996+0.337529j -3.22471-0.475131j -8.33814-1.48891j 9.57596+1.91733j -10.0743-1.73183j 8.05833+1.386j 0.663933-0.319135j -2.58878-1.27579j 13.3905+3.00067j -10.2506-1.31365j -5.06537-0.687182j -8.01187-2.40037j 18.4119+3.59976j -2.73242-0.274953j -3.57665-1.03978j -1.70991+0.0751517j -9.627-2.08933j 6.00288+0.206598j -12.2505-2.16494j 11.1651+1.02111j 5.28755+0.736568j -3.42903+8.2469j -7.22059-1.07339j 5.64853-0.622829j -12.245-2.11607j 13.7072+1.5201j 6.20208+0.727043j 9.74674+1.97349j -0.567022+0.407922j -3.7787-0.684058j -2.06163-0.328996j 18.888+2.60819j -8.22282-2.18856j 5.64342+1.03119j -9.99272-0.0419202j 12.666+2.56312j 3.44562+0.333916j 0.0649439+0.530359j 7.64118+0.124089j -9.63181-2.7793j 8.57393+1.20498j -8.87686-0.77882j -1.47842+0.500666j 0.0546135+0.780469j -3.39344-0.989867j 7.36854+1.23829j -1.2724-0.0773755j -5.83639-0.553057j -4.69721-1.08423j -1.94044-0.605737j 1.0881+0.164751j -3.4679-0.894171j 0.251074+0.899035j 0.0788457+0.321548j 1.81711+0.271841j -0.369211+0.0495456j 0.158089-0.113182j 
0.317514-0.543247j 0.0474077-0.224977j -2.33928-1.056j -0.0822753+1.16891j -0.853853+0.315569j 4.79822+0.461256j -1.36637+0.00751903j 4.2531+1.5102j 6.25023+1.97221j 7.33046+1.82567j -1.05517-1.16662j -10.9875-2.19213j -2.90486+0.229088j -0.967922-0.714074j -3.69256-0.844949j -13.5303-2.24305j 12.0885+2.61825j -13.9381-2.91359j 11.3664+3.30469j 0.82619-0.6712j -4.1442-0.587023j 17.6328+3.04406j -13.7585-2.18351j -7.95908-1.57957j -13.7457-1.69864j 27.9008+4.94846j -5.04771-0.818221j -6.62407-1.73276j -1.26179-0.700822j -13.8727-3.84131j 7.49295+1.64295j -18.646-2.58497j 16.8201+2.65563j 8.50133+0.411631j -5.85455+11.0616j -11.373-2.75685j 8.4505+1.73766j -16.8868-2.77934j 17.9278+2.78233j 8.87401+1.62349j 15.0508+2.85496j 0.34103-0.499619j -5.90209-0.976375j -4.14634+0.151765j 27.7675+4.07912j -12.0305-2.07916j 8.57541+1.70887j -14.4464-2.25738j 18.2863+2.65849j 4.89779+0.505844j -1.72269-0.381832j 10.5527+2.16456j -14.2614-1.91823j 12.5382+2.71718j -12.9219-3.36149j -4.31323-0.672243j 0.480043+0.0283803j -4.18948-1.39817j 11.7003+1.90865j -1.62988-0.210652j -9.06507-1.77728j -7.32266-0.622888j -3.25169-0.293622j 1.47635+0.215577j -5.00931-0.835814j 0.135153+0.0902523j -0.483877+0.497313j 2.71723+0.819222j -0.252153+0.0446324j 0.300852-0.00758028j 
0.400935-0.383444j -0.041652+0.124121j -1.1689-0.0681066j 0.306965+0.421438j 0.0746213+1.08043j 3.68124+2.04915j -1.69092-0.0230694j 2.39585+0.644401j 1.97586+1.17304j 5.15647+0.514027j 0.404348-0.0634721j -6.84491+0.0401798j -2.39204-0.585892j -0.536719+0.340811j -2.17184-0.616318j -7.38974-1.81455j 5.91519-0.0236183j -7.45796-1.33191j 5.62217+0.919688j 0.555599-0.743323j -2.67449-0.555777j 8.15817+0.963934j -7.02694-1.43147j -4.93716+0.214592j -6.08445-0.949989j 13.2092+1.92925j -1.67104-0.679716j -2.65316+0.0909748j -0.849404+0.135675j -8.348-0.959714j 3.82452+0.768268j -8.28795-1.14214j 8.59911+1.86992j 4.33856+1.24246j -2.52946+5.17792j -5.76983-0.504133j 3.9952+0.737555j -7.4745-1.25623j 8.51434+0.38273j 4.76593+1.09608j 7.56821+0.685281j 0.503117-0.0190509j -2.91114-0.839586j -2.3371-0.444751j 13.3902+2.43151j -6.76996-0.659954j 3.75463+0.981171j -6.20158-2.04184j 9.01813+1.8161j 2.8425+2.0799j -0.41347+0.70313j 5.07408+0.931174j -7.34995-1.92971j 6.96669+1.20351j -7.33216-0.399632j -2.10205+0.486748j 0.407137-0.227609j -2.10822-1.00554j 5.16098+1.05379j -0.613929-0.000357029j -3.65938-0.637295j -3.81237-0.88711j -1.61571-0.306517j 0.732639+0.00694143j -2.68351-0.157457j -0.502628+0.476663j -0.409343+0.291258j 1.13824+0.231384j -0.216614-0.116746j 0.140501+0.022635j 
