-0.0093715+0.104743j 0.0951873+0.00064451j 0.154344+0.133652j 0.156849-0.105557j 0.0774071+0.00121971j -0.0446477+0.0242516j -0.176588-0.143851j 0.0858174-0.164255j 0.0409004-0.00971117j -0.145286-0.0300566j -0.0548869+0.0792541j 0.136076-0.0881742j 0.103179-0.0663049j -0.0234824+0.0797193j 0.0456042-0.0189432j -0.0519324+0.13384j -0.103401-0.164759j 0.131847-0.167258j -0.0575355+0.0181498j -0.0568678-0.0105418j 0.0789444+0.0953915j 0.0121735-0.0789439j -0.121691-0.0611552j -0.0065771+0.0511397j -0.0683317+0.0247258j -0.0821715+0.052849j -0.0992382-0.0313115j 0.035386-0.0839286j 0.0322645+0.0721191j 0.0230903-0.0135328j -0.058646+0.063701j 0.0830038+0.0361187j 0.0162572-0.0991727j 0.0969745-0.0857441j -0.0351637+0.00250741j 0.112203+0.0382967j -0.105579-0.0019484j -0.0163598+0.0659929j 0.0565831-0.0448979j 0.0876008+0.197644j -0.119355-0.0653397j 0.00482671-0.14214j -0.178708+0.151194j 0.13634+0.143557j 0.0749018+0.00774107j -0.00503604-0.10014j -0.0562744-0.0140489j 0.0233478+0.0247947j -0.0192235-0.111642j -0.109927+0.0231156j -0.00392474+0.0230912j -0.0011199+0.0526117j 0.0176172-0.00281632j -0.0152912-0.0395713j 0.00965712-0.00358604j 0.0141697-0.0162081j 0.00546026+0.0251891j 0.048556+0.0103665j -0.0321596+0.00973125j -0.00802489-0.0331853j 0.0447172-0.00267743j -0.0224947+0.0132473j -0.0614842+0.011531j 0.0356486+0.0688609j -0.00415185-0.0103765j -0.0152651+0.0409413j 0.0160466+0.0376068j 0.0234574+0.0187146j 0.00616282+0.00714505j -0.0295155+0.0318812j 0.0306834+0.0259559j -0.033969-0.00328829j 0.0306025-0.0156509j 0.0196668+0.0172919j -0.00922083-0.0314042j -0.01404+0.0284319j 0.0372581-0.00800474j 0.0165888-0.0276387j 0.00198303-0.00646144j 0.00465527-0.0282059j 0.0197842-0.0200864j 0.0297618+0.0325692j -0.0230225+0.00634288j 0.0337764-0.0117791j -0.000607601-0.00252515j 0.0130041+0.0255753j 0.0226901+0.0130615j 0.0607027-0.0234671j -0.0324798+0.0161105j -0.0128264+0.0829769j -0.00701346-0.0362419j 0.0508784-0.0338812j 0.0277254+0.0213018j 0.0393533-0.0833656j 0.0346978+0.039983j -0.0633078+0.0520302j -0.0373804-0.0558497j -0.0476504+0.0399351j 
0.0734944+0.0392633j 0.0394483-0.0813154j 0.0438792+0.0326206j -0.0132885-0.0305947j -0.0631017+0.188165j 0.17757-0.0234594j 0.064207+0.0372328j 0.0595757+0.0464662j 0.0507505+0.0695305j -0.11438-0.12927j 0.109869+0.0453273j 0.0437052+0.341093j -0.0815036+0.123024j 0.0505129+0.0055248j -0.0435402-0.077792j 0.0360861+0.0340917j -0.163435+0.144126j 0.175295-0.0191549j 0.0947174+0.0469363j 0.114278+0.0262652j 0.0404595-0.171471j -0.0762648-0.045059j 0.0109083+0.0898932j 0.0333965-0.0339594j 0.108416+0.119772j 0.137011+0.0994432j 0.100909-0.00894757j -0.210069-0.133124j 0.00149164-0.0591869j 0.0190846-0.095749j -0.089501-0.0551805j 0.133374-0.110143j 0.0425723-0.015727j 0.055864-0.0529565j 0.0742272+0.0740198j -0.00928677+0.0208797j -0.159773-0.0599856j -0.0290107+0.0790253j 0.0692639-0.0956099j -0.273848+0.146373j 0.0287106+0.00726157j 0.00421935-0.0235676j 0.00484191-0.0103819j -0.0200525-0.0359882j 0.127141-0.110564j -0.106032-0.119943j 0.0352153-0.0266573j -0.0588433-0.0882706j -0.0486942+0.0357026j 0.0140688+0.00264432j -0.0133189-0.0167263j 0.00509624+0.0459384j 0.0246998-0.0622069j 0.0772727-0.022749j -0.0186325+0.0180494j -0.0248991-0.0397661j -0.0233839+0.021555j 0.0141798+0.00852974j 0.017042+0.0166193j -0.0236408-0.0120561j -0.0161916+0.0252897j -0.00469571-0.00726717j 0.0657852+0.0100341j 0.0191587+0.00278503j 0.0227968-0.0506712j 0.0139077-0.0118349j 0.00302554+0.00135995j 0.0117537-0.0345256j -0.0270332+0.0472296j -0.023374-0.0414749j 0.032362-0.0446957j 0.0343035-0.00410384j 0.0252433-0.00821451j -0.0193534-0.0410058j -0.0117358+0.00864761j 0.0108753-0.0240858j -0.0315788-0.030726j -0.0275525-0.0246296j 0.00274938-0.0150718j -0.0383823-0.00572172j 0.0206031-0.0336715j 0.0339528+0.00853584j -0.0068735+0.0169877j 0.00339533-0.00303549j -0.0273919+0.0133903j -0.00478955+0.0218567j 0.00744291+0.0379465j 0.0143592+0.0259144j -0.0344571-0.0296582j -0.061869-0.0311018j 0.0148873-0.0133278j 0.0461494+0.0120115j -0.0258555-0.00844983j 0.054595+0.0436187j 0.014787+0.012003j -0.0283743-0.00707855j -0.0427963+0.0228007j 0.0232656+0.0458525j 
-0.0560755-0.0222581j -0.0211845+0.061851j -0.00776021-0.0941384j -0.0715807+0.000111133j -0.0488248-0.106787j -0.09177+0.144404j -0.115346+0.0382294j -0.0837679+0.0106673j 0.202052-0.0780002j -0.0692568-0.0482511j 0.208494-0.0969874j 0.109222+0.149386j -0.0880488+0.111196j -0.189024-0.143582j 0.0235715+0.0937807j -0.0665701+0.261559j -0.0613037+0.0415172j 0.171856-0.00555393j 0.054895+0.152751j -0.00536057-0.0569367j 0.0752309+0.0640258j 0.0480981-0.0620762j 0.161964-0.00249726j 0.0444714+0.0240123j -0.0609792-0.0600173j 0.0271618+0.208522j 0.102005+0.114064j 0.0389844+0.0282108j -0.115416+0.120661j 0.0753556+0.0244535j 0.100928-0.00114462j 0.0419164+0.0226392j -0.135756-0.0512483j 0.205281-0.069986j -0.0895579-0.29381j -0.197958+0.0533503j -0.0344246+0.162268j -0.0288535+0.0451652j -0.0665324+0.0939243j 0.128371+0.103862j 0.053037-0.126185j 0.136682+0.0674733j 0.161283-0.0588007j -0.0557884-0.144159j 0.0206084+0.074105j 0.0635338-0.0144746j -0.0145744+0.0757196j 0.101937+0.0151322j -0.0121367-0.0602617j -0.0239513+0.0229548j -0.0467359+0.00919295j 0.0343487+0.0270952j -0.00296848-0.0461637j 0.036083-0.00453944j -0.000204494+0.0576107j -0.0503932+0.0320578j 0.038354-0.036485j 0.0409967-0.000948596j 0.0189351-0.0213526j -0.0168147-0.0273536j 0.000671477+0.0085573j -0.00168866+0.0127831j -0.0265298+0.0190183j 0.0135287-0.00105934j 0.0119244-0.0134741j -0.000143991-0.0181086j -0.00750375-0.0095219j 0.00252179-0.0122663j -0.0171345+0.00220913j -0.0174389-0.0257935j -0.000303926+0.00283106j -0.0163256+0.00968754j 0.0137805+0.025142j -0.00919561-0.00757447j -0.00494259+0.0102639j -0.0125786-0.0137249j 0.0122651+0.0165325j 0.0150509-0.0183029j -0.00202032-0.00138662j -0.0211193-0.00861406j -0.0296497+0.0219735j 0.00232963+0.00777892j 7.43621e-05-0.00786213j 0.0209541-0.00324299j 0.0140955+0.00341933j 0.00767934-0.0205779j 0.0115774-0.0124539j -0.016289-0.00929953j -0.00590127+0.0247294j -0.00581272+0.00447192j -0.00982598+0.00519334j -0.013157-0.00845454j -0.00193643+0.00164375j -0.00450358-0.0102013j -0.030351-0.0240204j 0.0260234-0.0233642j 0.00530286-0.00861077j -0.0103615-0.00699212j 
0.0366831-0.00565313j -0.0060588-0.0395999j -0.0411993-0.0184789j -0.0429929+0.0414794j -0.143979+0.0765586j -0.0922787+0.22325j -0.154097-0.224373j 0.224648+0.036112j -0.0487079+0.120331j 0.223028-0.0117356j 0.0529412-0.169638j 0.148722-0.0336933j -0.0496816-0.108814j 0.0526658-0.111529j 0.0349855+0.0405298j 0.0440099-0.0818075j -0.0827333+0.0121051j -0.0966983-0.0606427j 0.0542421+0.0790616j -0.0224795+0.0310408j -0.158053-0.0265852j -0.0852305-0.107656j 0.0399696-0.0343133j 0.0278869+0.0991926j -0.0781636+0.191188j -0.0791362-0.0743123j -0.0736501-0.0396018j -0.0859985+0.117652j 0.119194-0.101261j 0.0417142-0.0495582j -0.0408531-0.119041j -0.0459284+0.109056j 0.102983+0.0489254j 0.112393+0.060105j 0.0200855+0.0293673j -0.152225-0.0360167j -0.0717277+0.188736j 0.243494+0.284535j 0.268993-0.172194j 0.037296-0.0842312j 0.0179832-0.0435619j 0.0241489+0.0237311j 0.0622239+0.0450255j 0.0574935-0.06439j -0.0786185+0.0274202j 0.0231085+0.104166j 0.128061+0.00304014j 0.0490654-0.102091j -0.00166062-0.0991066j -0.0726405-0.056814j -0.0261878-0.0162229j -0.0668276-0.0205541j -0.0599697+0.037344j 0.00620033-0.0147082j 0.00677771+0.0524175j 0.00615054-0.00460792j -0.00972394+0.00865764j -0.00268411+0.00840828j 0.0190474+0.0102458j -0.00644651+0.0124913j 0.0078066+0.00381711j 0.00250423+0.00265002j 0.00219631-0.00437907j -0.011613-0.00788646j 0.00122851-0.0121034j -0.0068727+0.0111866j -0.0105233-0.00455469j 0.0256743-0.0199873j 0.00893098-0.0106344j 0.0132322-0.00424217j 0.00175083+0.00722537j 0.000130033-0.00940734j 0.0195425-0.0139666j -0.00953257+0.0191504j -0.0159781+0.000927509j 0.00950154+0.0233059j -0.00143654+0.00457218j -0.0164867+0.000227808j 0.0166477+0.00733561j -0.00180496-0.00861564j 0.00161453-0.0101267j -0.0248272+0.015449j 0.0197963+0.0188003j 0.00321186+0.00496055j 0.00426062+0.00781332j -0.00273379-0.00500813j 0.00497975+0.00618012j 0.0027456+0.01339j 0.000386145-0.00636227j 0.00200195-0.00492189j -0.00353692-0.0131693j 0.0298778-0.000720628j 0.000464404-0.0279387j -0.0115606-0.00293517j 0.0021863+0.00224714j -0.00347516+2.49677e-05j 0.000648046+0.00106527j 0.00173936+0.00020064j 
-0.0234656+0.0508079j 0.0498632+0.0274402j -0.0225993-0.118437j -0.108781+0.0510497j 0.202637+0.0403344j -0.0186099-0.111823j -0.0189342-0.0236346j -0.00210186-0.077335j 0.141+0.162781j 0.106388-0.0708957j -0.0253453-0.0555726j 0.0522586+0.0337617j -0.0229102-0.0916959j 0.125523+0.137611j 0.13787+0.0267289j 0.0396566+0.000415417j -0.0081229-0.0350318j -0.0175286+0.0166798j 0.006982-0.0256118j 0.159723+0.0767055j 0.248321-0.172725j 0.116653-0.0996614j 0.132056-0.0848403j -0.0682658-0.192458j 0.100564+0.116752j 0.0402344-0.00534721j -0.237531-0.0339725j -0.0701455+0.144861j 0.0268458-0.0598646j -0.0384724+0.256298j -0.00569467+0.0262754j 0.0261992+0.087815j 0.310928-0.147321j -0.0149626-0.272123j -0.148362-0.200345j -0.105244-0.11102j 0.085438-0.147584j -0.154787+0.0642846j 0.083566+0.105463j -0.0152188-0.0825041j -0.105278+0.0168514j -0.0090821-0.0820663j 0.0736347-0.0522287j -0.0741468-0.0738562j -0.0336012-0.0356891j -0.0226206+0.0369344j -0.0378257-0.0189753j -0.0238194+0.0395582j 0.0079931-0.0106765j -0.0277816+0.00275968j -0.0452947-0.0160137j -0.0140706+0.0253686j 0.0180083+0.0210261j -0.0179245-0.0127187j -0.00997943-0.00199577j -0.0436136-0.0344614j -0.0112223-0.00026257j -0.00270677-0.0159722j -0.0126605+0.011983j -0.0157397+0.0257517j -0.0273496+0.0206818j -0.00160376-0.000661411j -0.00921371-0.0136091j 0.0091653+0.0118612j -0.00202866-0.00448622j -0.00915911+0.00796316j 0.0129647+0.0104988j -0.0138697-0.0113058j 0.0126579+0.007019j 0.0137666+0.00625149j 0.00699134+0.0168846j 0.00327804+0.00616427j -0.000114191+0.0164753j 0.0031335-0.00750895j 0.00629245+0.0114496j 0.00298058-0.0089806j 0.0153222+0.00738663j 0.00474092-0.0187379j -0.00745691-0.00277167j -0.00320296+0.0120544j -0.00740707-0.017301j -0.00515423-0.00650007j -0.0061144-0.00775891j -0.0140318+0.0113418j 0.0223648+0.000539949j 0.014906-0.0234208j 0.0279115-0.0123667j 0.0218672+0.0040914j -0.0112346-0.0126176j -0.00343612-0.00630442j -0.00735355+0.0102696j -0.0168159-0.000201016j 0.0105508+0.00870806j -0.0012774-0.014645j -0.0142361-0.00647762j 0.00579112-0.00936756j 0.00202111-0.00354705j -0.00387206-0.00316065j 
0.00864336-0.00675593j -0.0059119-0.00509179j -0.0239495-0.0322896j -0.029504+0.0208133j -0.0269514-0.00914002j 0.0383995+0.026366j 0.0380688+0.0684533j -0.0152957+0.0527342j -0.0370119-0.0160522j 0.0700628+0.0202774j 0.0659627-0.00980456j -0.103175+0.064802j -0.0343034+0.0257315j 0.0367637-0.042076j -0.0225573-0.00496043j 0.0387367-0.0845841j 0.039341+0.134401j -0.0544668+0.0711565j 0.051826+0.00231748j 0.0406045+0.002668j -0.0694472-0.0792665j -0.0291955+0.0348053j 0.0624482+0.0579488j 0.0142112-0.0359823j 0.0480421-0.0121204j 0.070147-0.00905718j 0.085883+0.0165378j -0.0602493+0.0423857j -0.0055581-0.0610617j -0.0134115-0.0142821j 0.0101411-0.0428344j -0.0342256-0.0380916j -0.012429+0.0682773j -0.0389773+0.051211j 0.0362329+0.0178757j -0.0522625-0.0072158j 0.0196426+0.0109775j 0.00717449-0.0201199j -0.0191003+0.0329724j -0.109451-0.0722213j 0.0509332+0.0562909j -0.0245014+0.0572164j 0.112232-0.122037j -0.0991835-0.102338j 0.0503593-0.00273073j 0.000820873-0.0107015j 0.0907892-0.00514653j -0.031768-0.0115703j 0.124967+0.0763267j 0.136081-0.0979368j -0.00306855-0.0838206j -0.0417498+0.0697671j 0.0141035-0.0368991j -0.0197673-0.139312j 0.074143+0.00855682j -0.0293522+0.034947j 0.0284091+0.0529414j 0.0362411+0.0628612j -0.0540466-0.00851508j 0.0112365-0.036788j 0.0116774-0.000833349j 0.0260852-0.0397613j -0.0869386+0.0493975j -0.0067385+0.11649j 0.0195112-0.00708471j -0.0404422+0.0551103j 0.00928304+0.0125735j 0.00774342+0.00120154j 0.0141034-0.0455257j -0.0342517+0.0803478j 0.0202373+0.0700453j -0.0482883+0.0370499j 0.0314363+0.0145223j 0.0239089-0.0150817j -0.0188849-0.018877j -0.0231933-0.00345379j 0.0828786+0.027061j 0.0347819-0.00695639j 0.0207594+0.012826j 0.00823686-0.0121023j 0.00247864-0.00394274j 0.0237354+0.031686j -0.0412543-0.00774236j 0.0427648-0.0386043j -0.0265499-0.00863007j 0.0090162-0.0184951j 0.0298268-0.00789129j 0.0443906-0.0699458j -0.0365606-0.00573452j 0.0501633+0.0956835j -0.0159184-0.0361963j 0.0279803-0.0498475j 0.0391651+0.00903819j -0.000913743-0.127549j -0.00109027+0.0455842j -0.053237+0.0348908j 0.00715002-0.0458068j -0.0430691-0.00599552j 
0.00974765-0.0135943j -0.0158054-0.00844j 0.0135657-0.0353235j -0.0368616-0.00555918j 0.0374575-0.0392451j -0.0351798+0.013487j -0.0228898+0.0401954j -0.0628495-0.00199693j -0.00582446-0.0329925j 0.0381596+0.0727668j 0.0150381-0.0397372j -0.0176659-0.0724603j -0.0135233-0.0231053j -0.0306621-0.0444925j 0.0102548+0.0455345j -0.020466-0.0237302j 0.0933394-0.0200885j -0.0891591+0.033715j -0.0164664-0.0250493j -0.0048007-0.0142839j -0.0310575+0.054932j 0.0589002+0.0568069j 0.0416044-0.0263566j -0.00154783+0.0193084j -0.029051-0.0649198j -0.0271899-0.0445215j -0.00672926+0.0359781j 0.0818052+0.0664526j -0.0332136+0.020091j -0.00867538+0.0500361j 0.0416748+0.0120936j -0.0652743+0.0367223j -0.0126241+0.0310786j -0.0255025+0.0231222j -0.037606-0.0652734j -0.0401201-0.0113626j 0.0738893+0.0191094j 0.00202766-0.0390582j -0.0536016+0.0740188j 0.0936119-0.110089j 0.0305966+0.041976j -0.0289627+0.0459991j 0.0498588-0.0891705j -0.0746468-0.0109723j -0.0482181+0.0610748j 0.0260103+0.054925j 0.0217002+0.113756j 0.0744451+0.0144094j 0.0916884+0.0220442j 0.0328308-0.0102336j 0.0353994+0.0547791j -0.0854053-0.00603639j 0.120004+0.0737851j -0.00655532+0.0357957j 0.0331927-0.0421393j 0.0696393+0.0172522j -0.077556-0.0297826j -0.021733-0.0445033j -0.000174936+0.0465967j -0.0136939-0.0361984j -0.0284182+0.0726088j 0.0483531+0.0220248j 0.0369729-0.00931513j 0.0552057+0.0505576j 0.00575535-0.102959j 0.0340623+0.0182365j -0.013154+0.00326371j 0.0613386-0.0280305j -0.0557052+0.0526812j -0.0530918-0.0381898j 0.0445181-0.0444093j 0.0613621-0.00909614j 0.0743131-0.031145j -0.0181018-0.0322796j -0.000163746+0.000132187j -0.00256508-0.000885811j -0.0281652-0.0951167j -0.084117-0.0595644j -0.0348877-0.0451949j -0.00780607-0.0112859j 0.0341331-0.0754553j 0.0525901+0.00504248j -0.0048865+0.0153345j 0.0120449+0.0259596j -0.0394487+0.0300966j 0.0559065+0.03474j -0.000762489+0.0516317j 0.0644755-0.00388784j -0.0556317-0.0287535j -0.100802-0.00840048j -0.00614807-0.0399237j 0.116244-0.00710111j -0.0256832-0.0327775j 0.101861+0.0254546j 0.0401875+0.0108004j -0.0471562+0.0238748j -0.0478895-0.00663755j -0.00641289+0.0490362j 
0.0271392+0.00654363j 0.00262341-0.0327592j 0.0579512+0.0542057j 0.0328913-0.0452468j 0.0540996+0.0417171j 0.00968932-0.0289808j -0.0221936-0.027014j 0.0104818-0.0432405j -0.0162287-0.00472281j -0.00415876+0.0247628j 0.027356-0.0179332j 0.037435+0.000599881j 0.022235+0.0142013j -0.0140137-0.0177601j -0.00327755+0.0123446j -0.0095243+0.0157566j -0.00853213+0.0056531j -0.013329+0.0498598j -0.0249904+0.0171604j -0.049892-0.0259452j 0.0198409-0.0117083j -0.00542276-0.0241711j 0.0413824+0.0193392j -0.0202708-0.0156145j 0.018851+0.0214913j -0.00777013+0.0353702j 0.0417955-0.0345792j -0.000135679+0.02073j -0.0154663-0.02297j 0.0111441+0.00172328j 0.0194743+0.00403715j 0.0137775+0.0313759j -0.0311191+0.0118737j 0.00621917-0.0137329j -0.0380821-0.0406503j -0.0251537-0.0187928j -0.00421695-0.00524772j -0.00859316+0.0110949j -0.0041092+0.0288176j 0.00802803+0.0336988j -0.00710841+0.0481059j -0.0283791-0.00383838j 0.0194665-0.0583519j -0.0536371-0.00542809j -0.00576157+0.103342j 0.0690852+0.00623647j 0.037483+0.0995709j 0.0691485-0.0566978j 0.0353898+0.0633907j 0.0771604-0.0324666j -0.0948332+0.0563239j -0.0235248+0.0304311j 0.109752+0.025765j 0.00616938-0.0311044j -0.00942024-0.0140554j -0.0376263-0.072743j -0.0459522-0.0299386j 0.0746413+0.0515747j -0.0393123-0.0583884j -0.0950331+0.053201j 0.204837-0.00978604j -0.0869057-0.0720144j 0.0295285+0.133702j -0.0659053-0.215518j -0.137935+0.210789j -0.130465+0.121036j 0.0374011-0.0158225j -0.0908183+0.168084j 0.167525-0.0700039j 0.149802-0.0751799j -0.0420009-0.0796811j -0.0893567+0.0487815j -0.154142-0.0333039j 0.0425807+0.0605324j -0.0958484-0.139471j 0.117315+0.114305j -0.0363767-0.0890476j 0.0238272+0.139496j 0.0247816+0.0366286j -0.038974+0.188333j -0.00155829-0.0413713j 0.0568743-0.0374326j -0.0680249-0.00779064j -0.118817+0.0230964j -0.0729591-0.187383j -0.00199591+0.0533289j -0.0353071+0.237476j -0.0196452+0.0302605j -0.0273703-0.0897992j 0.0949146-0.199962j -0.0875689-0.0837084j 0.013654-0.0138216j 0.0426227+0.0227395j -0.00147634+0.0182421j 0.0954407+0.141584j -0.126881+0.077039j -0.000136897+0.0360486j 0.0438181+0.00293451j 
-0.00720367-0.00430502j -0.00345025+0.00664472j 0.0253207+0.049175j 0.059278-0.0296184j 0.0619044-0.0392544j 0.00265271-0.088701j 0.0340527+0.00764597j -0.0117726-0.0470109j -0.0497021-0.0125449j 0.0147233-0.0195616j 0.0374286-0.0506208j -0.0224345+0.0105281j -0.0293425-0.0305676j 0.00122056-0.0121163j -0.0372333+0.0266339j 0.0754863+0.0110393j -0.0166915+0.00431994j 0.00428289-0.0347399j -0.0031678-0.00634405j -0.0204058+0.0253571j -0.0153941-0.0203569j 0.00289486-0.0160798j -0.000589265+0.00549806j 0.0210347+0.022085j -0.0262297-0.000926299j -0.00241382+0.00968163j -0.0115512+0.0137341j 0.0239604+0.0179308j 0.0268656+0.0187725j -0.0123367-0.0102003j -0.00707371-0.0272125j -0.0136472+0.00285542j 0.019028-0.00763454j 0.0151572+0.0133206j -0.00647766-0.00930799j -0.00603748-0.0149809j -0.0153546-0.00623344j 0.0045679+0.00626511j -0.00766138+0.00565752j -0.00875111+0.015656j -0.000396754+0.0291711j -0.0279868+0.00114502j 0.0593142-0.00984704j -0.00830232-0.0656776j -0.0147887+0.0528858j 0.0454974+0.0432051j 0.14191+0.00330584j 0.0632636-0.195778j -0.112183-0.0492332j 0.00776864-0.00238727j -0.114104-0.0936156j 0.0197813+0.0445927j 0.0276061-0.0104921j -0.21778-0.010376j -0.148588-0.207964j -0.0127174+0.121006j -0.0931537-0.0460861j 0.202328+0.141259j -0.0174041+0.0270672j 0.218679-0.0507312j -0.0413275+0.0673886j -0.062262+0.121154j -0.00809073-0.101479j -0.0137402+0.119694j -0.0443453+0.103284j 0.00622133+0.00853021j -0.0656521+0.054796j -0.139613-0.0674223j -0.0944025+0.0605774j -0.104081-0.0203964j 0.0541626-0.0342241j 0.00695611+0.0208942j -0.0840588+0.0432356j -0.0250151+0.00580114j 0.0355111+0.0266661j -0.113196-0.285581j 0.0157858-0.0390478j -0.0803407-0.00532339j 0.0976653+0.0162994j 0.0713613-0.0132144j -0.0865829-0.0460817j 0.128732-0.0421256j -0.180385+0.148855j -0.0693892+0.0744268j 0.107506-0.0514083j -0.0917819+0.143127j -0.1024-0.0118258j -0.0302861+0.0403185j 0.11127+0.0736346j 0.0257532+0.0784145j 0.0430396-0.0136674j -0.131914+0.0142925j 0.00191047+0.262148j 0.207641+0.0325867j 0.0940547+0.0267453j -0.0378486+0.0904418j -0.023409-0.0257243j -0.0264233+0.0235669j 
0.0407695-0.0228396j -0.0247896-0.0455306j 0.0180674+0.0238451j -0.00416382-0.0291035j -0.0201069+0.0528635j -0.00802666-0.0181136j 0.0267079-0.0473835j -0.00134695+0.0137827j 0.0107578+0.067045j 0.0521361-0.0201947j -0.0310316+0.0715067j -0.0487869-0.0165977j 0.00520955+0.0114925j 0.0134391-0.0200032j 0.00449736+0.00289372j -0.0259004+0.00605938j 0.00974252+0.0235762j -0.00221894+0.0341885j 0.0298384-0.0246891j -0.0411784+0.00335333j -0.0164162+0.0033553j 0.0148998-0.00796212j 0.000589811-0.0388686j 0.0509567+0.0158603j 0.00449501-0.0166562j 0.0236739+0.0198816j 0.0139151-0.00190169j -0.0109862+0.00623325j 0.0100981+0.00505529j -0.00770666-0.00038592j 0.0188031-0.00406095j -0.00162702-0.013781j 0.00636021-0.00413888j 0.0097517-0.0417859j -0.0136553-0.0335604j 0.0144698+0.00443854j -0.00334905-0.0127675j -0.0154299+0.0250833j 0.0182688+0.0147093j -0.0123632+0.00338498j -0.0111028+0.0116609j -0.00220827-0.00632523j -0.00626455-0.0567997j -0.0539867+0.0104803j 0.0176877+0.0714824j 0.054331-0.0391444j -0.0603464+0.0605127j 0.0387228-0.00761124j -0.0652082+0.0319675j -0.00598759+0.0604424j -0.0625792+0.177958j 0.194951-0.113034j -0.186224-0.09807j 0.0988773-0.182189j 0.0781147+0.102994j -0.0548049-0.0287971j -0.0456666+0.0270711j -0.0404199-0.0359775j -0.0970152+0.0457366j 0.136978+0.020904j -0.0345808-0.11191j -0.0523594-0.0309054j -0.0550265-0.0794836j 0.178763+0.141408j 0.00429006+0.082913j 0.0595756-0.0542717j 0.0401627-0.0913032j 0.0562484-0.0871804j 0.219676-0.0660097j -0.146577+0.0376411j 0.00333728+0.0562414j -0.150285-0.126204j -0.0859075-0.0340428j 0.0506252-0.0916813j -0.0933405-0.0649395j -0.0845859-0.0402752j 0.0431471-0.0439129j -0.0727721-0.0329304j 0.0698951+0.116801j 0.275329-0.0356682j -0.0101558+0.0861778j 0.024833+0.0159392j -0.013083-0.0709826j -0.046975+0.18634j 0.174838+0.171017j 0.02781+0.0322796j -0.136742-0.00904479j -0.030361-0.0235795j -0.0486402-0.0907115j 0.276116-0.0451439j -0.0495712-0.158461j 0.132089-0.0849745j -0.0429557-0.0733043j -0.0369807+0.000625257j 0.0476146-0.0625305j 0.0731923+0.0545127j 0.0475539-0.00236351j 0.00128019-0.044403j 
0.00290027+0.055842j 0.0574566+0.00171525j 0.0644766-0.0150527j 0.00758766-0.0466474j 0.0686046-0.03816j -0.00950996-0.0674573j 0.0625537+0.0164606j 0.00262799+0.0486943j 0.0848662+0.0009693j 0.0151781-0.0304944j 0.00534617+0.00557114j 0.0249246-0.030176j -0.0169108+0.00873062j 0.0198017-0.0296306j -0.0150666-0.0421014j -0.0227167-0.0157919j -0.00841602-0.0148315j -0.00638905-0.0352285j 0.0122074-0.00635335j 0.0343293-0.0226996j -0.00241624+0.0116577j -0.0302508+0.00510865j 0.00804315-0.0226175j -0.0269363-0.00202665j 0.0113811+0.0374365j -0.0135281+0.00795548j 0.0170432+0.0137738j 0.0149436+0.0182574j 0.018867+0.00535177j 0.000906725-0.0118406j -0.00241265+0.00598191j -0.00629122-0.010974j -0.00340928+0.0400988j 0.0273403+0.0104938j 0.0206882+0.000177143j 0.00562362-0.0145657j 0.0112978+0.0349707j 0.0125089-0.0164558j -0.015317+0.00413718j 0.0369156+0.0158752j 0.0333064+0.00358933j -0.0101033+0.0264352j 0.0105871-0.023583j -0.0248351-0.0170511j -0.0117079+0.0507155j 0.0740615+0.0483857j 0.136288-0.0744398j 0.0141429-0.0796635j -0.0341817-0.11285j -0.0788514+0.08389j 0.251201+0.0509215j 0.0811331-0.107612j -0.0227746-0.0695451j 0.13079-0.0804017j 0.00885958-0.0965815j 0.112858-0.125346j -0.0635742-0.173383j 0.0324646-0.0255857j -0.0623812-0.0330807j -0.189761-0.065242j -0.100312+0.0632516j 0.0296233-0.122716j -0.0337551+0.00972198j -0.0613804-0.0206658j 0.0535263+0.101543j 0.0656733-0.0644959j -0.00924589-0.0944397j -0.00766126+0.00926808j -0.0427113+0.124995j 0.106517+0.112036j -0.0166888+0.115541j 0.244833+0.0615647j -0.0993711-0.0784995j -0.0693263-0.120286j -0.023955-0.0567044j -0.0251729+0.046099j -0.150703+0.100253j 0.162696+0.0133155j -0.00620372+0.0905112j -0.00773591-0.0374441j 0.0558826-0.0670545j -0.0601658-0.0745839j -0.117935+0.0767471j -0.0846098+0.0245979j 0.0652829-0.0337737j -0.179256+0.0956343j -0.0752275-0.270351j 0.200585-0.08376j -0.222313-0.104539j 0.044572-0.189048j 0.0385364-0.0647769j 0.0013896+0.113462j 0.057447+0.0520433j 0.060417+0.044576j 0.0148617-0.0084142j 0.00482553+0.00154819j -0.00398281+0.0396387j 0.0373325+0.00143888j 
