-0.0512626+0.0566317j -0.04116-0.0495374j -0.0475771-0.0902398j 0.137388-0.0334623j 0.0834082-0.0558641j -0.0839821+0.0544982j 0.223108+0.0876233j 0.0649703-0.137573j 0.0206065+0.13141j -0.0599457+0.108277j -0.0193207-0.090315j -0.0509294-0.276779j -0.11995+0.0334194j -0.0148078+0.0279846j -0.0677306-0.159511j 0.0454138+0.0650415j 0.108765+0.0180431j 0.0265082-0.0435264j -0.117236+0.044798j 0.0143328+0.011785j -0.211624+0.00464575j -0.0168094+0.265704j -0.0285571+0.0149852j -0.0766066+0.0947003j -0.00911828-0.0451623j -0.000892918+0.0378046j 0.0621548-0.0697952j -0.0961447+0.181529j 0.0590849+0.142946j 0.152418-0.00254726j 0.0761732+0.0156766j 0.0435719+0.0118941j -0.0368085-0.0412644j 0.071143+0.0227644j -0.153823-0.0395005j -0.113054+0.0147964j -0.0408408-0.0201503j -0.0803991+0.0486811j -0.0261608+0.0021083j -0.0524029-0.0795786j -0.126317+0.00277989j 0.0540581-0.0406754j -0.00888139-0.000864013j -0.0351264+0.031458j 0.071447-0.0275255j -0.0709253+0.100007j -0.0248595+0.043828j 0.117096+0.229872j 0.0553204+0.0651999j 0.035123-0.127721j 0.102819+0.0514458j -0.026113-0.255608j -0.0456532-0.0681597j -0.0922668+0.101833j 0.0366525+0.130874j 0.113372-0.044114j 
-0.0282537-0.0672464j 0.060434-0.0392852j 0.103807+0.0361303j -0.0279498+0.0660724j -0.0107199-0.103142j -0.0895566-0.00681518j -0.0987805+0.0108861j 0.0288242+0.0685643j 0.0762+0.0415108j 0.175775-0.0112358j -0.144605-0.129247j 0.0203156-0.0454305j -0.029808-0.105625j -0.140295-0.0212774j -0.0946189-0.0522463j -0.0513217+0.0369144j -0.0110744+0.114695j -0.0669873+0.151758j -0.101101+0.0742509j -0.0717248-0.0900752j -0.115301+0.0875152j -0.087059-0.185982j 0.074073-0.229369j -0.0837053+0.0290483j -0.0715693+0.0786961j -0.14502+0.0708687j 0.216277-0.13234j 0.0919924+0.093344j -0.145217+0.0626812j 0.0833112+0.00872067j -0.155098+0.057719j 0.00490227+0.0655775j -0.0348929-0.0533272j -0.0577397-0.0574766j -0.0278974-0.100595j -0.139987-0.181878j -0.0331756-0.0721136j -0.0928363-0.0890888j 0.0721784-0.1663j 0.106246+0.0207005j 0.0290355-0.0397554j -0.0539388-0.0283637j 0.0501509-0.0735643j 0.0806444+0.0393586j -0.0663189-0.0349578j 0.129756-0.012323j 0.0931112+0.0131307j 0.223102-0.0816952j 0.0298802-0.0547782j -0.202117+0.0269136j 0.0594383-0.00218165j -0.204589-0.000168725j 0.0617013+0.000834028j 0.0574434-0.029791j -0.123136+0.01633j 0.0166613+0.134583j 
-0.0107313-0.0547589j 0.0451595-0.0205924j 0.083164+0.102405j -0.0972203+0.05647j -0.094753-0.0931907j -0.0681436+0.0587443j -0.100411-0.0504406j -0.0630727+0.107596j -0.022658-0.0222233j 0.178957-0.0817691j -0.204112-0.0939565j -0.00957877-0.0184065j -0.0231265-0.00900417j -0.0233842+0.105956j -0.0146866-0.00940317j -0.10691-0.0677384j -0.0156844-0.0719881j 0.254341+0.0308904j 0.0879025+0.0302685j 0.0557458+0.0957936j -0.045982-0.18712j 0.106013+0.196584j -0.0894498+0.0730125j 0.168551-0.172355j 0.0452447+0.020992j 0.0880526-0.19012j -0.0641145+0.028447j -0.179829+0.0600499j 0.0325818+0.0794624j 0.00805834+0.0790452j 0.0720863+0.0630627j -0.0109336-0.0812068j 0.0736989+0.134467j 0.134761+0.142808j -0.0506605-0.101402j 0.0299836+0.058076j 0.00591322-0.0769353j -0.164628+0.195053j 0.00918545-0.0413557j 0.0629525-0.0395404j 0.0416506-0.0502955j 0.091132+0.0308606j 0.161458+0.22378j 0.0201626+0.0587747j -0.0554533-0.243317j 0.0556896-0.010181j 0.0695382+0.0789137j 0.0506171+0.14739j -0.0632099-0.0342208j -0.0346589-0.0187583j -0.0626503-0.0332842j -0.0360507+0.010588j 0.133604+0.159833j 0.162473-0.111874j -0.0312809+0.0360378j 0.0438153+0.0403082j 
-0.0159757-0.0244395j 0.0209371-0.0190618j 0.038159-0.0695919j 0.076744+0.029596j 0.155579-0.0671893j 0.0236004-0.200751j -0.0939606-0.073236j -0.0323722-0.058244j 0.138691+0.110163j -0.0273158+0.0281342j -0.00751983+0.0287194j -0.22224+0.110106j 0.178871+0.234029j -0.150439+0.0177612j 0.0109138-0.0368807j 0.213321+0.184383j -0.00162119+0.00496764j 0.186319-0.0192498j -0.0783004-0.0646521j -0.0871049+0.141431j 0.00263301-0.0659796j -0.0483075+0.032j 0.100222-0.14856j 0.00260353-0.00237635j 0.0661296-0.069646j -0.16535-0.033706j -0.115921+0.0313238j -0.0691841-0.0611305j 0.0436042-0.0479296j -0.0014668-0.0613736j -0.0896988+0.0702632j -0.0485511+0.0298287j 0.0653444+0.0641438j 0.0676778+0.261424j -0.0352938+0.0481706j 0.0535853-0.0583592j -0.0716233-0.0112555j -0.0689907-0.0175845j 0.114697+0.0490507j -0.10787+0.0244651j -0.114773+0.125354j -0.136157+0.0868768j 0.0586705-0.0582975j 0.11106-0.150142j -0.0893507+0.0276568j 0.0671844-0.049908j 0.15885+0.105317j -0.0178674+0.0731438j -0.0581634-0.0500399j -0.198021+0.0596669j 0.0235164+0.270756j 0.187053+0.0403935j -0.0722931-0.0131274j -0.0155126+0.0700684j 0.0194747+0.00739883j 0.0102656-0.0160175j 
-0.0551532-0.0584502j 0.0535921-0.0638282j 0.11391+0.102111j -0.0831085+0.097374j -0.104711-0.0963589j -0.0594541+0.180388j 0.109018-0.0507255j -0.0097661-0.0500607j 0.0448758+0.212579j -0.191272+0.120201j 0.0532599+0.103277j -0.0918463+0.161529j 0.0446483-0.0228917j -0.0674962+0.104888j -0.0972736-0.103901j -0.08463-0.0313578j -0.135363+0.0292152j -0.0237862+0.0375329j -0.0397486-0.0286538j 0.0443337+0.0868743j 0.0559905+0.026335j -0.101268-0.0730238j -0.0200193+0.163257j -0.0599747+0.0120267j 0.0374162-0.11739j -0.0412739+0.0500614j -0.139465-0.0642068j 0.0668908-0.0424748j -0.0493437-0.0475273j 0.054461-0.0316094j 0.138129+0.0579815j 0.0331293+0.154811j 0.0987951+0.115037j -0.066288-0.00517747j -0.0638478-0.0834293j -0.0316037+0.00166481j 0.0309162+0.13498j 0.192757+0.0344951j 0.0800076-0.0562852j 0.0508937-0.0298893j 0.0343542+0.0536251j 0.187395-0.169906j -0.118901-0.0978104j -0.0960626+0.146342j 0.183132+0.0615147j 0.154872-0.037397j 0.152488+0.174685j -0.232393+0.182828j -0.0472483-0.198002j -0.130306+0.020804j 0.00893286-0.0349009j -0.0922622-0.0323566j 0.113823-0.0167435j -0.013807-0.0974652j 0.0110253+0.0252256j 0.0281622-0.00364909j 
-0.0973667+0.0287409j -0.0319612-0.108897j -0.037575+0.0332065j 0.0190325-0.0386168j 0.102295-0.151291j -0.0240833-0.044292j -0.0535725-0.145512j -0.0698896+0.0985705j -0.25707+0.171639j -0.00198456+0.000793061j 0.0141331-0.0712694j 0.0318142-0.0326009j 0.0463564+0.0733562j 0.108546-0.147773j -0.0887446+0.111257j 0.0461449+0.0487218j 0.00598124+0.0828199j -0.108613-0.134093j 0.190728+0.0378242j 0.0901903-0.0697289j -0.0209623-0.0300442j -0.160714+0.00641809j -0.109819+0.0207575j 0.0233665-0.00334827j 0.0482048+0.0396185j -0.0780213+0.010824j -0.181866+0.106423j 0.175599+0.170413j -0.0602924+0.139643j -0.187539-0.1073j -0.0399754-0.0548587j -0.044333-0.0372561j 0.0178825-0.022952j 0.0187046+0.0290529j 0.172852-0.253146j -0.196124+0.0200411j -0.000709936+0.0048527j 0.131352+0.0593231j -0.0810478+0.0414272j 0.0952837+0.0723637j -0.0884216+0.122737j -0.0238028-0.0475475j -0.0163948-0.0969357j 0.152812-0.0241924j 0.0600445-0.310653j -0.195357+0.0442658j -0.122315-0.00351644j -0.0568553-0.0376214j -0.0614608-0.0377427j -0.0991197+0.111463j 0.0962472+0.0823336j 0.0281596-0.0246853j 0.046896+0.000960174j -0.00638049-0.0343942j 0.00410992+0.00203172j 0.0021349+0.00377885j 
0.0146014+0.083774j -0.0808433+0.00771614j 0.0563591+0.0380033j -0.0217041+0.0968306j 0.150057-0.0255135j -0.087461-0.0242387j 0.0886309+0.0142309j -0.0881117-0.0017449j -0.184111-0.168226j 0.0174996-0.0421062j 0.0464786+0.00235368j -0.000635649+0.110952j -0.031001-0.000854203j -0.0642026+0.153009j 0.0338739-0.0229373j -0.0785163+0.0527141j 0.0564417-0.0339765j -0.072561+0.0472216j -0.0410371-0.208253j 0.0440351-0.079166j -0.153183+0.174898j -0.0435432+0.0289713j 0.151553-0.149755j 0.102281-0.144639j 0.0445062-0.0493011j 0.14531+0.0607072j -0.0716642-0.0435696j -0.138378+0.0156658j 0.127616+0.0422393j -0.230261-0.189258j 0.0879521+0.171175j -0.0479062-0.0351323j 0.134369+0.130974j -0.0909665-0.273697j -0.159992+0.199669j -0.0837847-0.210379j 0.117072-0.136673j -0.0230526-0.0498899j 0.254438+0.142162j 0.0651933-0.118033j -0.0539557+0.024722j 0.0201468-0.0550552j -0.0755062+0.0311352j 0.0742091-0.0960063j -0.0441445-0.110046j -0.043015+0.0561035j -0.0637042+0.0307387j -0.0471004-0.00131822j -0.0701439-0.0126667j -0.00687253+0.0671745j 0.0435657-0.0209131j -0.0463284-0.0103936j 0.0354616-0.0139605j -0.0196612-0.032956j 0.00560436+0.00907323j 0.00684441-0.00315612j 
-0.0231195+0.00997005j -0.00203606-0.0247166j -0.00133234-0.0179068j 0.0375341+6.05886e-05j 0.0360577-0.0218711j -0.0461734+0.0131678j 0.0624918+0.0232792j 0.0140443-0.017294j -0.00603232+0.0501022j -0.0177697+0.0386877j -0.0143535-0.0480894j -0.00263512-0.0941119j -0.0179378-0.00566541j -0.000455635+0.000102887j -0.0277154-0.0530895j -0.000573941+0.0260232j 0.0337744+0.0305719j -0.0127782-0.00562814j -0.0440312+0.00446635j 0.00830247+0.00306788j -0.0838753-0.000714845j -0.020377+0.0696039j 0.00711964+0.00313097j -0.0282442+0.0335079j -0.000468661-0.00402812j -0.0358854+0.02728j 0.0242597-0.0230531j -0.0203293+0.0798515j 0.00599894+0.0752478j 0.0421537+0.00356063j 0.0342539+0.0186353j 0.0067883-0.00155161j -0.0201817-0.0194203j 0.00635527+0.0104992j -0.0394276-0.0199178j -0.0723854-0.00402364j -0.0174306+0.0112167j -0.0296993+0.00319325j -0.00537899-0.00597281j -0.00101609-0.0282467j -0.059831+0.00642178j 0.0205026-0.0112695j -0.0204865-0.00645601j -0.00043334+0.0200433j 0.0199967-0.026482j -0.00719558+0.0224954j 0.00480532+0.0198031j 0.0504436+0.0485671j 0.0342314+0.016302j -0.0297442-0.0294935j 0.0590562+0.0168205j -0.0440039-0.0455821j -0.00860622-0.0172539j -0.0155558+0.0203134j 0.00292478+0.0417522j 0.0324904-0.00237072j 
0.000170292-0.0332992j 0.0269481-0.00863186j 0.0382451+0.0322195j -0.0324847+0.0235871j -0.00421076-0.040574j -0.0162099+0.00611136j -0.0581506-0.0331215j 0.000371601+0.0403419j 0.0226935+0.0176324j 0.0655094-0.00106441j -0.0498179-0.0251942j -0.0152345+0.0312107j 0.0110465-0.0260794j -0.0431685-0.015886j -0.0282869-0.00487254j -0.0248164-0.00340788j -0.0298302+0.0286456j -0.000991151+0.0455054j -0.00767332+0.0237878j -0.0080216-0.0157989j -0.0185837+0.00918087j -0.00468062-0.0774137j 0.0142319-0.0582897j -0.0113193-0.0014865j -0.014648+0.0231577j -0.051943-0.0176254j 0.0330647-0.0320914j 0.0186184+0.016122j -0.0759417+0.00449132j 0.0026328+0.00926111j -0.0432684+0.0378506j 0.004652+0.0144345j 9.15092e-05-0.0154398j -0.0165234+0.00816697j -0.00652372-0.0584991j -0.0116697-0.04226j -0.00365999-0.00020226j -0.0254856-0.0250912j 0.033168-0.0623833j 0.0429853+0.00751737j 0.0122635+0.00457228j -0.00591968-0.0179456j 0.0290761+0.00534574j 0.0234483+0.0072115j -0.0356563-0.0150959j 0.0488981-0.0285715j 0.0377215+0.00368463j 0.025185-0.0312482j 0.00656454-0.0459505j -0.064628+0.0404105j -0.00206954-0.0239325j -0.019244+0.0432513j 0.0296795+0.0163401j 0.0249377-0.0281385j -0.0353235-0.00617559j -0.000910767+0.0437912j 
-0.00140202-0.00693573j 0.0046732-0.00662486j 0.000413153+0.00470083j -0.00208083+0.00344961j 0.0151722-0.0185445j -0.0139714+0.0110756j 0.00629159-0.0144153j -0.00301294-0.00526178j -0.00192752+0.0190642j 0.0192602+0.0156582j -0.00648196-0.0192551j -0.0144323+5.00895e-05j -0.0215655+0.0159558j -0.0149505+0.0113092j -0.00777752-0.00620308j -0.00744795-0.025895j -0.0104405-0.00214259j 0.0249294+0.000285947j 0.0244691+0.00996198j 0.0209424+0.00661764j -0.0173737-0.0068384j 0.0107354+0.0102944j -0.00961692+0.0100597j 0.0287377-0.0130677j -0.00394761+0.00118628j 0.00814943-0.0147424j 0.006534+0.015559j 0.00866984-0.00601917j -0.00833555+0.0112915j 0.000707723+0.0132174j 0.0164933+0.006591j 0.012264+0.000932745j 0.0173194+0.0517223j -0.00844799+0.00998752j 0.0295481-0.016821j -0.0162553-0.00615095j 0.00718917-0.031652j -0.00113879+0.0272317j -0.0107806+0.00181491j 0.0213903-0.00598266j 0.017886-0.0302365j 0.00765365+0.00644406j -0.00121323-0.0144245j -0.000441255+0.0112861j -0.0235315-0.023157j 0.0122122-0.00213189j 0.0454756-0.00616854j -0.0116626+0.0049834j 0.000828106+0.0207434j -0.0101396+0.00315708j 0.00454149+0.00870214j 0.0125336+0.00148371j 0.0162318-0.00414291j -0.00277451-0.0111815j -0.000464943+0.00459609j 0.00714704+0.00305966j 
0.0017866-0.00413659j 0.00277899+0.00452342j 0.0124559-0.00239449j 0.00272644+0.00643224j -0.0155345-0.00612286j 0.00998402-0.00100042j -0.0137747+0.00752126j 0.00819952+0.00510833j 0.0174894-0.00417876j 0.0116408-0.00980578j -0.0290336+0.0030825j -0.00393397-0.024986j 0.00163813-0.00229334j 0.00235198+0.00085818j -0.0047681+0.00376761j 0.0102326+0.0371937j 0.00581407-0.0154266j 0.00924276-0.0179509j -0.0146486+0.0144638j -0.0101387-0.0167144j -0.0245988-0.0056845j 0.00526955-0.0073449j 0.00431327-0.0121376j -0.0182336+0.0166043j -0.0172003-0.0028277j -0.00962389-0.00744533j 0.00143657+0.0210604j 0.001954-0.0211159j 0.00187754+0.0131996j 0.00159303+0.00694255j -0.00319388-0.00338402j 0.00112176+0.000224031j -0.0167952+0.0101185j -0.000462008+0.0247061j 0.0309091+0.00188138j -0.00952035-0.018156j 0.0100123-0.0144887j -0.00582124-0.00327371j 0.00924014+0.0319082j -0.022259-0.0022987j 0.00837584+0.00175131j -0.00280815+0.0232075j -0.0304146+0.0131542j 0.0202168+0.0015354j -0.000474375+0.0304266j 0.011893+0.00772018j -0.00297758-0.0275091j 0.00256427+0.00766418j 0.0146628-0.0177925j -0.00875379-0.00586712j 0.00881422-0.00236231j -0.00632652-0.010989j 0.00301533+0.00462843j 0.0095431-0.00566415j -0.00500809-0.000402904j -0.000823513+0.00381237j 
