-0.0159171+6.98108e-18j 
-0.0234461+2.12479e-17j 
-0.0388853+5.0431e-17j 
-0.0596899-5.62703e-17j 
-0.0998809+1.61029e-17j 
-0.154522-1.77799e-16j 
-0.252422+3.81937e-17j 
-0.362045-9.85433e-16j 
-0.500783-5.76608e-17j 
-0.56175+2.56972e-16j 
-0.623138-8.18836e-16j 
-0.563411+1.02684e-16j 
-0.505042+1.13742e-15j 
-0.362532-1.24076e-17j 
-0.253003-1.19156e-16j 
-0.155217-5.46698e-16j 
-0.100277-1.20037e-16j 
-0.0597602+8.08018e-17j 
-0.0389172-2.78905e-17j 
-0.0234542-4.46176e-17j 
-0.0160184+3.21732e-17j 
