0.0427269-0.134065j 
0.105852-0.209281j 
0.251594-0.390951j 
0.543414-0.669246j 
1.11081-1.3052j 
2.10332-2.39446j 
3.64907-4.69911j 
5.56095-8.46571j 
6.86802-15.0587j 
5.68571-22.5498j 
-8.30904e-17-30.1801j 
-5.68571-22.5498j 
-6.86802-15.0587j 
-5.56095-8.46571j 
-3.64907-4.69911j 
-2.10332-2.39446j 
-1.11081-1.3052j 
-0.543414-0.669246j 
-0.251594-0.390951j 
-0.105852-0.209281j 
-0.0427269-0.134065j 
