0.0160184+4.1238e-17j 
0.0234542-1.96972e-17j 
0.0389172-1.6435e-17j 
0.0597602+5.50859e-17j 
0.100277+3.02285e-16j 
0.155217-7.98472e-17j 
0.253003-4.60233e-16j 
0.362532+5.58375e-16j 
0.505042+6.99828e-16j 
0.563411+2.2801e-16j 
0.623138-9.89975e-16j 
0.56175-3.62289e-16j 
0.500783-5.73712e-16j 
0.362045-9.85697e-16j 
0.252422-2.96738e-16j 
0.154522-4.8276e-16j 
0.0998809+1.20502e-16j 
0.0596899-3.58538e-18j 
0.0388853+1.67452e-17j 
0.0234461-5.60882e-18j 
0.0159171+5.63518e-17j 
