-1.07995e-07-1.7049e-07j 
-3.20254e-07-3.07332e-07j 
-8.76126e-07-7.17118e-07j 
-2.1089e-06-1.54146e-06j 
-4.73357e-06-3.82687e-06j 
-9.27553e-06-8.7812e-06j 
-1.50585e-05-2.04344e-05j 
-1.62127e-05-4.02496e-05j 
-2.19144e-09-6.33555e-05j 
1.62114e-05-4.02511e-05j 
1.50585e-05-2.04346e-05j 
9.2755e-06-8.78098e-06j 
4.73347e-06-3.82662e-06j 
2.10879e-06-1.54129e-06j 
8.76051e-07-7.1703e-07j 
3.20221e-07-3.07293e-07j 
1.07985e-07-1.70474e-07j 
