0.00410745-0.0248434j -0.0392839+0.00666748j -0.0107305-0.0334017j 0.0229373-0.0340519j -0.0114691+0.0177855j -0.00456265+0.00393364j -0.0158984-0.00346312j 0.00233536-0.00557181j 0.00418543-0.00896605j -0.00802034+0.00285042j -0.00366902+0.0123615j -0.0147142-0.0123671j 0.0205636+0.0024983j 0.0195603+0.0112595j -0.0275969+0.00260096j -0.030209+0.0161469j 0.0109336-0.00274249j -0.00309174+0.014164j 0.0044673+0.00154084j 0.0100122+0.00708369j 0.00537221+0.00811132j 0.00354407+0.00253204j -0.00260185-0.00384539j 0.000300515+0.00155603j 0.00255661-0.00354775j 0.00473356+0.00139589j 0.00601572+0.000114731j -0.00145918+0.00284532j -0.00245847-0.000633006j 0.00163793+0.00264532j -0.00309696-0.00351783j -0.00101875-0.000195558j -0.00332545+0.000713687j -0.0012103+0.0022957j -0.000791157+0.000233597j -0.0122656-0.00696344j 0.00370306-0.00875014j 0.00583978+0.00542213j 7.26898e-06+0.00191722j 0.0036223-0.00786638j 0.00150322+0.00609802j 0.000677609+0.0100478j 0.0033019+0.00427002j 0.00377841+0.00580475j 0.00436707+0.00377427j 0.002874+0.00979969j -0.00382932-0.00538689j -0.00229743-0.00780569j -0.000347154+0.00193897j -0.00333155-0.00325632j -0.000139233-0.000797476j 3.86561e-05+0.0054056j -2.2397e-05-0.00532872j 0.00302295-0.000620054j -0.00212103+0.00139055j -0.00178234-0.00178846j -0.00436318-0.00171089j 0.00453777+0.00134785j -0.000371248+0.0001358j 0.000487328-0.00115196j -0.000145068+0.00258853j -0.00197422-0.00240684j 0.00116623+0.0013829j -0.00805008+0.000358476j 0.00119216-0.00200471j -0.00233442-0.000896532j -0.00181145+0.00191661j -0.0009108+0.00256948j 0.000556391-0.000566675j 0.000111817+0.000140942j -0.0018278-0.000660542j -0.000450569-0.00256002j 0.00330402+0.000944582j 0.00203173+0.00117824j -0.00163139+0.00135672j 0.0014978+0.0011412j 0.00183548-0.00203583j 0.000480102-0.0012332j 0.000615378-0.00405928j -0.00180331-0.00117559j 0.000852029+0.00362913j -0.00835208-0.000928035j 0.000472446-0.00392915j -0.00167665-7.59284e-05j 0.00408804+0.000136523j 0.00185302+0.000229349j 0.00122449+0.00449489j 0.00728162-0.00789565j -0.00375101-0.0019713j 0.00118478+0.00578398j -0.000540897-0.00192528j 0.0081742-0.0186126j 0.0306809-0.0239851j -0.0112837+0.000561299j -0.00338951+0.0037345j -0.0084672-0.00885217j -0.00288388+0.0146627j 
0.0383026-0.00558614j 0.00679814-0.0258251j 0.0300362-0.0221469j 0.0163237+0.0155966j -0.0201833-0.0222778j -0.00754665-0.0168561j -0.00416499-0.0306824j 0.00696949+0.000376016j 0.0114588+0.00804378j 0.000829185-0.00421802j -0.00656579+0.00151009j 0.0142121-0.0104126j -0.0063864+0.00584892j -0.00962571-0.00807875j -0.0156728-0.00867897j 0.0158871-0.00255526j 0.0324057-0.0164786j 0.00420566+0.0060478j -0.00213863-0.0151199j -0.00540852+0.00182539j -0.0032347+0.000522468j -0.00494537-0.00578701j 0.00428863+0.00307678j -0.0021298-0.00211349j 0.00618448+0.00397421j 0.00322916+0.00277295j 0.00415611+0.00133475j -0.0046175-0.00116572j -0.00265545-0.000967041j 0.000387053-0.00182678j -0.00290966-0.00217194j -0.000351531-0.00166888j -0.00379213-0.00599849j 0.00109053-0.0016467j 0.00631256+0.00503436j 0.00315363-0.00485234j 0.00202894-0.000853702j 0.00133768-0.00792141j 0.010509+0.00594838j 0.000708096+0.00515843j -0.00347802+0.00869217j -0.00293644-0.00601395j 0.00322911+0.0116326j -0.0010954+0.0076516j 0.000826972+0.0047528j -0.00661197-0.00208368j -0.000977423-0.00496784j 0.00350479+0.0035802j -0.00453881-0.00109621j 0.00196697+0.000916019j -0.000943288-0.00211784j -0.00562259-0.00429737j 0.00445761+0.00283954j 0.000753206+0.00321037j -0.00480053-0.00462927j -0.00108487-0.00356356j -0.00224751-0.00280164j -0.00119321+0.000724825j -0.000860503-0.00153544j 0.000223363+0.000580413j -0.002274-0.00356412j -0.000961001-0.00382899j 0.000687396+0.00137078j -0.00168237-0.00283128j 0.00193481+0.00202236j 0.00180575-0.00117977j 0.00118106-0.000658595j -0.00395403-0.00327227j 0.00361736+0.00151183j 0.000647646-0.00199314j 0.00254069-0.00187389j 0.00313235-0.000270196j -0.00100916+0.00216152j -0.00231927+0.000136691j 0.000971971-0.00276502j -0.00262982+0.00115823j 0.00135162+0.0017497j -0.000844524-0.00235756j 0.00161437+0.00187976j 0.000601786-0.0038048j -0.00184044+0.000389448j 3.17961e-05-0.00671514j 0.00366178+0.00155536j -0.00139783+0.000299173j -0.00532468+0.00306776j -0.000909919+0.000583797j -0.00843347+0.00660203j 0.00348489+0.00113857j 0.00104579-0.00646725j -0.00132544-0.00265543j 0.0048754+0.0026501j -0.0314293+0.0238067j 0.00885368-0.0185579j 0.00258461-0.00452794j -0.00950007-0.000485428j 0.00347339-0.0148595j -0.00868029-0.00878446j 
-0.028425-0.0224402j 0.00256989+0.0289659j 0.0185098+0.0333274j -0.00872026+0.0145304j 0.0243637-0.0160298j 0.0119918-0.0193042j -0.00286737+0.00621846j 0.00419168+0.00878067j -0.0117896+0.0089772j -0.0115939+0.0298232j 0.00791022+0.00727339j -0.06726-0.00689565j 0.0569576-0.00462448j 0.0639361+0.0118371j -0.0106353+0.000977896j -0.00704658+0.016683j 0.0101652-0.0342414j -0.00468967-0.00716429j 0.0215653+0.00729092j 0.0075266+0.00446002j 0.00532439-0.00250087j 0.00884014+0.00764856j 0.00207817+0.00107221j 0.00362582+0.00197486j 0.0022774+0.00422172j 0.0030507+0.000152474j 0.00395092+0.00326813j 0.00356396-0.00239277j -0.000328573-0.00300279j 0.00614365+0.00173084j -0.000220771-0.00808474j 0.000644198-0.000828624j 0.0126211-0.00535595j -0.000673637+0.00743626j -0.0243034+0.00687688j -0.0197468-0.0181422j -3.18183e-05+0.0119377j 0.00424554+0.0177055j -0.0176077+0.0134012j -0.00966774-0.00227497j 0.00161286+0.00586828j 0.00873526+0.0141237j -0.0172268+0.00201144j -0.00157756-0.00834209j -0.00397901+0.00454264j 0.00214537-0.0009394j 0.00441925-0.00980869j -0.00508207-0.00641432j -0.00596488-0.00389034j -0.00889755-0.00694938j 0.00384543+0.00178913j 0.00244517+0.00320773j -0.000740609+0.00415666j 0.00389737-0.00742216j -0.000168216+0.000982716j 0.000860778+0.00381138j -0.00446243-0.00558908j 0.00877852-0.00129019j 0.00486658-0.00120132j -0.000630124-0.00335058j 0.00332625+0.000461345j 0.00135082+0.00175369j -0.0029678+0.00354918j -0.00400953-0.00234004j -0.00116445+0.000328991j -0.00184579-6.15091e-05j -0.000450114-0.00235813j 0.00782455-0.00350261j -0.00369183+0.00304689j -0.00134511+0.00453489j -0.00116077-0.00383692j 0.000188524+0.00195079j 0.00102152+0.000216185j 0.000394367+0.0039752j -0.00119785+0.00333369j 0.000605266+0.000111909j -0.00702754+0.000754547j 0.0022897+0.00290908j -0.00648201+0.000247148j 0.00348665+0.000268899j -0.00252912+0.00690376j -0.00213922+0.000991508j 0.000764989-0.00128408j -0.00739494+0.0019173j -0.00269242-0.00387146j 0.00132984+0.000636013j -0.00932043-0.0151169j 0.00197795+0.00125052j 0.00359384+0.00226766j 0.00500938+0.00649133j -0.00593079+0.00779408j -0.00887967-0.0333767j 0.0330947-0.0253326j -0.00106115+0.00572609j -5.41688e-05-0.00564507j 0.00304958-0.0150355j 0.0182218+0.0122123j 
0.00907035+0.0229247j 0.0299497+0.0219687j 0.0500466-0.0229807j 0.00947105+0.00252452j 0.0112618+0.000242209j -0.00602805+0.0136902j 0.0287916+0.00536017j 0.00477739+0.0110095j -0.00852135+0.0166273j 0.0162448+0.00499005j -0.0114184-0.0233962j -0.0265253+0.0443306j 0.00300952+0.00231534j -0.0319041+0.00295405j 0.0394727+0.0179125j -0.0132151+0.0352733j 0.00668344+0.0114009j -0.00336649-0.000621187j 0.00869042-0.00932942j -0.00205168+0.00699969j -0.00392028-0.00169597j 0.00283904-0.00290194j 0.0044441-0.00664869j 0.00318528-0.0012864j -0.0022907-0.00748793j -0.0102607-0.0027917j -0.00534821-0.00506427j -0.00224871+0.00125367j 0.00393807+0.000997138j -0.00467095+0.00275718j 0.00918275+0.00456974j 0.00133142+0.00422446j 0.00213792+0.0035534j -0.00705808+0.00409318j -0.0141742-0.010814j 0.0232026-0.0205964j -0.00991589+0.00501401j -0.0117881+0.000887991j -0.0138244-0.0228759j -0.00503537-0.00559931j -0.013525-0.00160559j -0.0110592+0.00252131j -0.00677374-0.0155995j -0.0027198+0.00381856j -0.00820441+0.00339843j 0.0018819-0.00300531j 0.0129944+0.00372616j 0.00562875-0.00452257j 0.000300932+0.0021673j 0.00464643-0.00656297j 0.00357543+0.000758534j 0.00134978-0.0040112j 0.0051106-0.00318318j 0.00307164-0.00373705j -0.00299313+0.00448236j 0.0052497+0.00194921j 0.00304788-0.000889591j 0.000951612-0.000475026j 0.00252454+0.00757544j 0.00382254-0.000349503j -0.00239969+0.000990694j 0.00364572+0.00739991j -0.00376459-0.00457957j -0.00279162-0.00101786j 0.00371723+0.00102391j -0.00583563+0.00462619j -0.00700489+0.00177944j 0.000568994+0.00245665j -0.0040555-0.000827616j 0.00131703-0.00292867j -0.00208425+0.000713712j -0.00343869+0.00479181j 0.00159114+0.0022651j 0.0013182+0.000791043j -0.00127488-0.00400164j 0.0050962-0.000681985j 0.00388837+0.00697301j 0.00054959+0.00652874j -0.00124524+0.00706298j -0.000921042+0.00234891j -0.0033118-0.00185947j 0.000812694-0.00602594j -0.00665424+0.00438979j 0.00140505-0.00105585j 0.00369298+0.00945389j 0.000576706+0.00267229j -0.00195703+0.000855146j 0.0061608+0.0127611j 0.00505081+0.00283207j -0.00414226+0.0041751j 0.00101029-0.000295474j 0.0362468-0.0247051j 0.00821219+0.0341424j 0.00340958-0.00484893j 0.00105973-0.0021559j 0.0155936+0.0108276j -0.00105612+0.0138627j 
0.0570157+0.0210388j -0.0212008+0.0275398j 0.0179846-0.0528448j 0.00890516-0.0202534j 0.0768013+0.0123864j 0.0646408-0.00543836j 0.0685383-0.0239691j 0.0536864-0.00068367j 0.0276053+0.0442672j -0.0231106+0.0443628j -0.0579806+0.0206286j -0.128928-0.00260668j 0.0604921+0.0166673j 0.0103277+0.132687j -0.00709886-0.0268632j -0.10967+0.124449j 0.124734+0.0970163j -0.0173618+0.0432264j 0.0595118+0.00830062j 0.0314439+0.0329738j 0.0161158+0.0152253j 0.0275226-0.00662229j -0.00849259+0.0014534j 0.00905868-0.00264774j -0.00932592+0.0128256j -0.00331669+0.0144002j 0.00296211+0.0149311j 0.000676621-0.00304496j -0.00060892-0.0108901j 0.0140878+0.00919163j 0.0074601-0.023272j 0.00191838-0.000189506j 0.0158378-0.00772351j -0.00887478+0.0179579j -0.0341726+0.00713987j 0.00137881-0.0403926j 0.0089314-0.0154857j 0.0250925+0.0258344j -0.0260895+0.016381j -0.00366639-0.0175227j -0.0264992+0.00775196j 0.00352127+0.0226927j -0.0264635+0.0110476j -0.00662587+0.00874166j -0.00760971+0.0145619j 0.00807021+0.0113935j 0.011753-0.0162153j -0.00772115-0.016891j 0.00298916+0.000562459j -0.00526385-0.0106275j 0.00760658-0.00173646j 0.0109961+0.00162727j -0.00318046-0.00316976j -0.00370598-0.00440233j 0.00614814-0.00661884j 0.00964772-0.00291419j 0.00212608-0.0139566j 0.00483665+0.00306757j 0.00820958+0.00429455j 0.00200558-0.000318527j 0.00391253-0.000979271j 0.00774725-0.00663756j -0.00307491+0.00543025j -0.00157182-0.0124466j 1.29009e-05+0.00304157j -0.00571301-0.00224516j -0.00992699+0.00378587j 0.0053148+0.00104927j -0.00672612+0.000536598j 0.00734537+0.0027752j -0.004647-0.0032117j 0.000898939-0.00212318j -0.00157969+0.00612591j 0.00591551+0.00427205j 0.000605251+0.00420222j 0.00163222+0.000408808j 0.000659802+0.00170867j 0.0111229+0.000484655j 0.0016062-0.00109131j 0.0028927-0.00138399j -0.00524537+0.00990878j -0.0106331-0.00586469j -0.00264697-0.00248325j -0.00213666-0.000470056j 0.0109335-0.00253051j 0.00490658+0.00851272j -0.0113624-0.0154841j 0.00802035+0.00902259j 0.00856659-0.00357949j 0.00318868+0.00771473j -0.000384956+0.00116622j -0.0160286+0.0299135j -0.0236555-0.0119493j 0.0166113-0.00604747j -0.0046448+0.00819611j 0.0220693-0.035566j 0.0296937+0.0153051j 
-0.008962+0.0330786j -0.0611783-0.0280424j -0.0500161+0.0176897j 0.0207483+0.00333846j 0.0165695+0.00348971j -0.0373681+0.00246325j 0.0182043-0.028053j -0.0404872-0.025331j 0.00475921-0.04454j 0.01109-0.0127976j -0.0171778-0.0263673j -0.0185679+0.0844989j -0.0325245+0.055074j -0.0299187+0.0622626j -0.00174561+0.0292945j -0.0929882-0.0645997j -0.0534104+0.108226j -0.0291773-0.0172645j -0.0181661+0.0335647j -0.0131245-0.000626582j -0.0156466+0.0150701j 0.00236292+0.00786046j 0.00846075-0.02099j 0.00564133+0.00579763j -0.00313051-0.0186624j -0.0185188+0.00451947j -0.00469481+0.00325335j -0.00787546+0.00913411j 0.00568411+0.000402641j -0.0121152+0.00948495j 0.0169241+0.00451264j 0.00135225+0.0103574j -0.00563712+0.0233085j -0.0128511+0.0130596j -0.008221-0.0314195j 0.0301024+0.000590276j 0.0221438-0.00251937j -0.0239778+0.027118j -0.00808903-0.0354904j 0.0234215-0.00631862j -0.00553046-0.0196113j -0.0229285+0.0151461j -0.00245015-0.0240048j 0.00100786-0.0116851j -0.00382633-0.00431796j -0.00741979-0.00136863j 0.010976+0.00877938j 0.0133868-0.0104278j 0.00377245-0.000890988j 0.00645143-0.00155323j 0.00209745+0.0014484j -0.00527029+0.0019739j 0.00796252-0.0139739j -0.000522407+3.09568e-05j -5.6664e-05+0.00527935j 0.00655415+0.00381091j 0.00605087+0.000538289j -0.00116766+0.00190343j 0.00362462+0.00369292j 0.00513753-0.000399196j -0.00978364+0.00744955j 0.00434765+0.00817136j -0.00269308-0.00543904j 0.000950862-0.00676343j 0.0038898-0.00241694j -0.00180914+0.00100047j -0.00606401-0.00104888j -0.00226838+0.0070769j -0.0041077-0.00658796j -0.000133384-0.00287152j 0.000808458-0.00167408j 0.000299956-0.00450356j 0.0011271+0.00610171j -0.00171022+0.00726378j -0.00192125-0.000601199j 0.00143138+0.000419278j -0.000967967+0.00045372j -0.00084415+0.00668142j 0.003031+0.00314532j -9.11971e-05+0.00806309j -0.00604056+0.00226523j -0.00774799-0.00377863j -0.00250082+0.000632608j 0.00810952+0.000101794j 0.0148941+0.00928218j 0.00301573+0.00523679j 0.00830864-0.00123441j 0.00941712+0.0116473j 0.00172157+0.000535673j -0.00180826+0.00349937j 0.00594318-0.00337047j -0.0120948-0.00200802j 0.0112104-0.0231966j 0.00270707+0.0119194j -0.0165092+0.00929252j 0.0219514+0.00909547j -0.0154982+0.0311332j 
0.00459517+0.0334058j -0.0175536-0.0435313j -0.0341326+0.0121401j 0.0281624+0.0116303j -0.0427811+0.0203485j 0.0106349-0.0557922j -0.0238738+0.0132194j 0.0204123-0.0529083j 0.0642454+0.0346835j 0.00749699-0.0173702j 0.0728502+0.0302094j 0.00618464-0.0397606j -0.047929-0.0700624j -0.0147255-0.054758j 0.000109514-0.0428744j 0.017054-0.0416173j -0.050046+0.00712265j -0.00249266-0.00321892j -0.0213674-0.00729269j -0.000773466-0.0158231j -0.0120538-0.00142971j -0.00244694+0.00525081j 0.0130034+0.00815415j -0.00433272+0.00252633j 0.00640401-0.00481547j -0.00249682-0.00622213j -0.0059298-0.00490519j -0.00343739+0.00345954j 0.00118556+0.00418805j 0.00335969-0.00308867j 0.000384297+0.00166836j 0.000379019-0.00582397j 0.00641658-0.00109986j 0.00819994-0.00827218j 0.0171327+0.00149303j 0.024434-0.00869498j 0.00835664-0.0140776j -0.00424615+0.0129108j -0.0178805-0.0112725j 0.0114855+0.00450897j 0.000469871-0.00942555j -0.0061675-0.00659475j 0.00300045+0.00142165j -0.00576995+0.00112018j -0.00445095-0.00275925j -0.0119212+0.0050714j -0.00218701-0.000839249j 0.00621904+0.00577855j -0.001947-0.00553994j 0.00457071-0.000123161j 0.00291531-0.000180405j -0.00569507+0.00731607j 0.0100203+0.00439175j -0.00488301+9.54547e-05j -0.00557744-0.00122375j 0.00177066+0.00290176j -0.00363656-0.000606369j -0.00342395-0.00170956j -0.00208477+0.00492108j -0.000817182+0.00252715j -0.00540176+0.00436053j 8.5635e-05-0.000166012j 0.00377705+0.00123983j -0.00212438+0.00451483j 0.00434224-0.000183244j 0.00117479+0.0015902j -0.00429949+0.00645308j -0.00876456+0.00429694j 0.00387677+0.000963243j 0.00131366+0.0012989j -0.00477871+0.0043612j 0.00451485+0.00822932j -0.00281294-0.00858232j 0.00194139-0.0111473j -0.00413208+0.000271612j 0.000163192-0.00141292j 0.0168473-0.00466628j 0.00396754-0.0074122j 0.00844529-0.00930004j -0.00258073-0.00410137j -0.00190083+0.000296219j 0.00395416+0.020236j 0.00297529-0.00364297j -0.00762127-0.00539102j -0.00967702-0.018719j 0.0113888-0.00549907j -0.0316945-0.00504724j 0.0175286-0.0234464j 0.00171842+0.0081348j -0.00649244-0.000701931j 0.00579442-0.00238156j 0.00180435-0.00543343j 0.00617934+0.0185496j 0.00304957-0.010811j 0.00572035+0.0014615j 0.00523825+0.00695708j -0.0133195-0.00666813j 
-0.0198321-0.0617967j 0.007348-0.0319822j 0.0150193+0.0466441j 0.00325267-0.0078292j 0.0280977+0.0498575j -0.045593+0.0440099j -0.0326445+0.0541179j -0.016649-0.0112707j 0.0393035-0.0352661j -0.0244399+0.0514293j 0.0004954+0.00356671j 0.0421555-0.0662297j -0.123707+0.000579811j 0.00229731+0.00696863j -0.00654953-0.0305576j 0.0809842-0.0841918j -0.0544367-0.0786112j 0.00323633-0.0132738j -0.016967+0.0266972j -0.00871553+0.0215603j 0.00536375-0.00685007j -0.010891+0.0050674j 0.00556188-0.00087373j -0.00400811+0.00340528j 0.00228626+0.00585843j 0.00178457-0.00534987j 0.00216529+0.00239967j 0.000272463+0.00420875j -0.000355364+0.00337224j 0.000470992-0.00603211j -0.00892947-0.00164515j -0.00478473-0.00535132j 0.00265402+0.0042178j 0.0188154-0.00773404j 0.0157632+0.00827798j -0.00240296+0.0168408j 0.00228618+0.00542663j -0.0216586-0.00440326j 0.0240522-0.019347j -0.00351059+0.0129502j 0.0172853+0.0055969j 0.00521229-0.00621526j 0.0117746+0.00486831j -0.00178426-0.0101503j 0.00624675-0.0106861j -0.0161915+0.00840992j -0.00925731+0.00274756j -0.000652107+0.00482777j -0.00750595+0.00530526j 0.00483687+6.15277e-05j -0.000378754+0.000722623j -0.00516692+0.00454328j 0.00171327+0.00684777j -0.00892793+0.000366053j -0.0100891-0.00163093j -0.00477297+0.00932602j -0.00213967-0.00379362j -0.00729071+0.00235225j 0.00134766-0.00291371j -0.00193061+0.000905746j -0.00965189-0.000672413j -0.00578463+0.00412341j 0.00397195+0.00446671j -0.000792056-0.00313224j 0.00433822+0.0045894j 0.00735012-0.00499394j 0.00110663-0.00719711j -0.0094287-0.00554046j 0.00299837+0.00231757j -0.00791653+0.00959798j 0.00052477-0.00101754j -0.00367078+0.0076386j 0.0111504+0.000886851j 0.00424636+0.000235803j -0.00942899+0.00197012j 0.000956724-0.000574138j 0.0075124+0.013761j 0.0023763+0.00212092j 0.00827975+0.00372993j -0.00885261+0.00103359j -0.00182475+0.000190276j -0.0217976+0.0059539j -0.00232645-0.00233228j 0.0060247-0.00561387j 0.0137199-0.00910154j 0.00279701+0.0104107j 0.0102534-0.0278151j 0.0250776+0.00709957j -0.0177455+0.0063061j -0.00160269-0.00543031j 0.00306622-0.000454782j 0.00454887+0.00281368j 0.011354+0.00277707j -0.00227637-0.00241816j 0.000281913+0.00187416j -0.0175671+0.00791972j -0.0178033-0.0100008j 
0.0259655+0.00886881j 0.000334999+0.0188299j 0.0699865-0.0313522j 0.00472565-0.1558j 0.0579576+0.0519772j 0.0584224+0.0259625j 0.0711208-0.00839453j -0.0364732+0.0477797j -0.041995-0.029319j -0.0912219-0.138252j -0.0605648-0.0710233j -0.0563751+0.10518j 0.0409024+0.115896j -0.177856+0.0883826j 0.00439027+0.0825998j -0.130159-0.0240941j -0.0131228+0.162065j -0.0335907+0.0577247j 0.0474431+0.00273069j -0.00149742-0.00512353j -0.00333448+0.0346941j 0.017611+0.0152431j -0.00155867-0.0129259j 0.0102628+0.0045121j -0.0047507-0.0105962j -0.0107927+0.0141028j -0.00969522+0.00777166j -0.00571133-0.00656919j 0.00304117-0.00166742j 0.00276124+0.00275172j 0.0133724+0.00128902j 0.0095664+0.00949807j -0.0064757+0.00624674j -0.018552+0.0225679j -0.0039764-0.0233029j 0.0245597+0.0104897j 0.00613296+0.000773858j -0.0228983+0.00080811j 0.0057589-0.0170368j 0.00832936-0.0145647j -0.0117022-0.00764651j -0.00948734+0.00763071j -0.00152599-0.00577223j -0.0173425+0.0137778j -0.00765442-0.00147736j 0.00885863+0.00788947j 0.00974949+0.012229j 0.00603047-0.0120394j 0.016319-0.00862741j 0.0031977+0.0097654j 0.000494005+0.00881058j 0.00225672+0.0102312j -0.000147295-0.0102992j -0.00211058+0.00407425j 0.00642773+0.000757216j 0.00919716+2.01542e-05j 0.010691+0.0027095j 0.000153891+0.00431019j -0.00286819+0.000882864j 0.00170574-0.00308042j -0.00589681+0.0103111j 0.00149631+0.000453816j -0.00180184-0.00918567j 0.00901041-0.0100172j -0.00464037-0.00207918j -0.00247815+0.000650231j -0.00485177-0.000974077j -0.000352119+0.00303594j -0.00626128-0.00212735j 0.00463026-0.0048273j -0.000284645+0.000490908j 0.000575818-0.00994304j -0.0104048+0.00263219j -0.00219525+0.00551595j 0.00429397-0.00127191j -0.00205737+0.00318257j -0.00780483-0.00564053j -0.00214788-0.00176308j -0.00150701-0.00720228j 0.00865995+0.00481786j -0.00562185+0.00309135j 0.0124476+0.00767222j 0.00408408-0.00772319j 0.00288899-0.000155487j -0.00502114-0.00629213j 0.00208936-0.00633393j -0.0173011+0.00467654j -0.00120732-0.0169995j 0.0167295+0.0028131j -0.00260349+0.00493185j 0.00545399-0.000862372j -0.0251351-0.000432055j 0.00511474-0.0252091j 0.00985035+0.0180117j -0.0141141+0.0115293j 0.0255756+0.00961959j -0.0131218+0.0227262j 
0.0298573-0.0464298j 0.0431206+0.0200393j -0.0181668-0.0209417j -0.0558816-0.0362215j 0.0303008-0.0755776j -0.0209232-0.0153214j -0.0510539-0.116664j 0.0107116+0.0617533j 0.0604013+0.0365124j -0.00715575+0.0175433j -0.0636254-0.0372352j -0.144605+0.02841j 0.173241+0.00671317j 0.0898116+0.0295087j -0.0180443-0.106479j 0.046719+0.15222j 0.168259-0.0433526j 0.0425319+0.0441342j 0.0328745-0.039177j 0.02221-0.00289866j 0.0244045-0.0056021j 0.00260117-0.0280707j -0.00198595+0.00560174j 0.00187819-0.00699265j 0.00620355+0.00975614j 0.0160511+0.00737715j 0.0126901-0.00725178j 0.00202668+0.0133081j -0.013899+0.000733697j 0.0274785+0.00378842j -0.0140727-0.00863561j 0.00159029+0.00375192j 0.0197755+0.00927646j 0.00414764+0.0180004j -0.0135399+0.0107775j 0.0187046+0.00735296j -0.00710026-0.00869638j -0.0038466-0.0124968j 0.00751302-0.00811876j -0.0176145-0.00520211j -0.0051851+0.0176662j 0.013326+0.00293095j -0.00356618+0.0119231j 0.00206486+0.00986083j 0.00071592+0.0025946j 0.00978061-0.00254976j -0.000258954-0.00486479j -0.00916153-0.00190168j 3.9015e-05-0.00529099j -0.00265447+0.00227564j 0.00268102-0.00352284j 0.00446053-0.00841103j -0.00478722-0.00241836j -0.000695221+0.00576448j -0.00420588-0.00784689j -0.00122907-0.00455503j -0.00139156-0.00662179j 0.00759219+0.0030486j 0.00145036-0.000250711j 0.00320164-0.000163637j 0.00213935-0.00320661j -0.00539652-0.00913389j 0.0023475+0.000649258j -0.00449517-0.000302325j -0.00198595+0.0020968j -0.00668934+0.00040104j -0.00391008+0.0101978j 0.00419725+0.00335793j -0.00550279+0.000801154j 0.00562288+1.65056e-05j -0.00213103+0.00537953j -0.00620574-0.00157044j -0.00148014+0.0019218j 0.00726636-0.00440174j 0.00735301+0.00667217j -0.00476359-0.00235889j -0.00422868-0.00383938j 0.0031376-0.00617518j -0.000762451-0.00761733j 0.00699628+0.003025j 0.00194488-0.000346618j -0.00538748+0.00103097j -0.0029865-0.0057972j 0.00154546+0.000903724j 0.00869131-0.00811424j 0.0029607+0.00444326j 0.000849769-0.00369689j -0.00028801-0.00299432j 0.00487401-0.00712698j 0.00800697+0.00143376j -0.00530732-0.00246197j 0.00541307+0.0235537j -0.0268188+0.00342139j 0.00953061-0.00275804j 0.00619941+0.0102244j -0.00165584-0.0154732j 0.0185311-0.00369095j 
-0.00694998+0.036609j -0.0229434+0.00866892j 0.0118357-0.0316979j -0.00734281+0.038609j -0.0337697+0.00420385j 0.0204345-0.0477034j 0.040038+0.0431575j -0.00818706-0.0340421j -0.0605505-0.0691422j -0.0205618-0.0352196j 0.105388+0.0282162j -0.0297293+0.0450824j 0.00055862+0.0372724j 0.0951181-0.121473j -0.130487-0.139292j 0.0200293+0.0302005j -0.0175289-0.0257437j 0.00562389-0.0101978j 0.00580038-0.017654j 0.0124459-0.016425j -0.00732475+0.0042417j 0.0156921+0.0155349j 0.0113019+0.0133027j 0.0123781+0.00650493j 0.0220161+0.00580385j -0.00176549+0.00404588j 0.0141865+0.016477j -0.030124-0.020455j -0.00457058-0.00525038j -0.0110192-0.00177446j 0.00837558-0.00239137j 0.0011195+0.00805961j -0.0342228+0.011441j -0.0208581+0.0267456j -0.0144436-0.00390361j -0.0151596+0.036001j 0.0220609+0.00882097j 0.00872921-0.00777172j 0.0396623+0.027436j 0.0106792-0.00309383j -0.00394942-0.0111818j -0.00240575-0.0034894j 0.00192941+0.00695404j -0.00107845-0.0023882j 0.00787333+0.00250838j 0.00385302-0.0112806j -0.00235492+0.000992103j -0.00293487+0.00191723j -0.00260444-0.00612556j -0.00510843+0.00688555j -0.000339118+0.00877804j -0.00113711+0.0050092j 0.00582009+0.0123169j 0.00221805-0.00350531j -0.000799924-0.00805009j 0.00855326+0.00434865j -0.00680152-0.00208047j 0.00254172-0.00434849j 0.000364469-0.00878391j -0.00410556-0.00534285j -0.00432978-0.00248543j 0.00639743+0.00252025j -0.00445973-0.0016079j -0.00940979-0.00906666j 0.00417343+0.00532887j -0.00157073+0.000444386j -0.00602922-0.00955178j -0.00795586-0.0123006j 0.00272206+0.00592639j 0.00216905+0.00396404j 0.00038577-0.0015416j 0.00361089-0.000434214j 0.00497035+0.000586106j 0.00299849+0.00599461j -0.00425893+0.00294765j 0.00208059-0.00140287j -0.00168978+0.00591281j -0.00101842+0.00259777j 0.00429318+0.00958573j -0.00130708+0.00703123j 0.000791599-0.000678083j -0.0124044-0.00392731j 0.0100754+0.00595126j 0.00188078+0.00272031j 0.00412857-0.00185203j -0.00575417+0.00391705j 0.00180082-0.0195373j 0.00734834+0.00929571j 0.000779876+0.00321887j 0.000566662-0.00332194j 0.00653825+0.0141516j 0.0131122+0.00043484j 0.0013428+0.0102189j -0.00451467+0.0133997j -0.017755-0.00724361j -0.0143362-0.00375384j 0.00295151-0.015025j 
