0.0187798+0.00959049j -0.0110071+0.00970149j -0.00438011+0.00898905j 0.00479213+0.00634065j -0.00583117-0.0090342j -0.00913091-0.0310869j -0.00103742-0.0351035j -0.00359631+0.0126767j 0.00184251-0.0230756j 0.00408566-0.0119114j 0.00573858+0.0123398j -0.019216+0.0113341j 0.0261022-0.0243786j -0.0300612+0.0366193j -0.0267532-0.00296276j -0.0148969-0.0326876j 0.0243358-0.0164147j 0.00792529-0.0173687j 0.00422595-0.00150382j -0.000342248+0.00407113j -0.0309302+0.0204975j -0.00252683-0.00273953j -0.0174546+0.00823061j 0.000487424+0.000136504j -0.00566281-0.000536895j 0.0312562-0.00813895j -0.00298208+0.00414738j 0.0116488+0.00208178j 0.0149091-0.00313788j -0.0156263-0.000547478j 0.0107276-0.00395858j -0.00630597-0.00318262j -0.00753239-0.00208715j 0.00235047-0.00885323j -0.0150072-0.0124343j 0.033144+0.00962653j 0.00130095-0.0147232j 0.00176441-0.001312j -0.00218277-0.016937j -0.0072907+0.00100538j 0.0074526-0.0132922j 0.00645578-0.00944179j -0.000187272-0.00504455j -0.00731029-0.00214368j 0.00022868-0.00941155j -0.00126134-0.00184373j 0.0103023+0.00494881j 0.00416154+0.00557954j 0.00890209-0.0051443j 0.000494068+0.00642974j -0.00665269-0.00779779j -0.0121613+0.00719887j 0.000740441+0.00417314j 0.00652041+0.000381178j -0.010863+0.00432359j 0.00363124-0.003932j 0.00826574+0.00612555j -0.00494745+0.00222501j 0.00453209-0.0112464j 0.000541983-0.011904j -0.0072203+0.00136699j -0.0143246-0.00478883j 0.00365508-0.00292357j -0.00592027+0.00181622j 0.00782041+0.00433779j 0.00989078-0.00197088j -0.00196976-0.00130991j 0.00471362-0.00677051j 0.00202391-0.00680921j -0.00291964-0.00181026j 0.00573397+0.00686788j -0.00533163+0.00207877j -0.00646026-0.00273027j 0.00513862+0.0054755j -0.00562442-0.000382483j -0.00412601-0.000337044j 0.00477692-0.00629521j -0.00114095-0.00262645j -0.00446741+0.00577507j -0.00367305+0.00203824j 0.00968569+0.00794209j -0.0030811-0.00979929j -0.0100202-0.000742508j 0.00020958-0.00880511j -0.00458299+0.000161295j -0.00177061+0.00478721j 0.00517085-0.00191665j 0.00227932+0.00634951j 3.28471e-05+0.00587534j 0.00384124+0.00662091j -0.00774203+0.00609999j -0.0115262+0.00721033j -0.0157299-0.00837385j -0.00183928+0.00345618j -0.00474723+0.00404956j -0.00308437-0.00501926j 0.0113225+0.000160104j 
-0.00486821-0.00749614j 0.0103725-0.000791646j 0.0113542+0.0118573j -0.00128336-0.01028j -0.0033189-0.0145789j -0.00272608-0.0370863j 0.000949437+0.0399989j 0.00251536-0.0132834j 0.00732064-0.0208611j -0.00377165-0.000208738j -0.00970336+0.032544j 0.000606719+0.0146068j -0.024637+0.022952j -0.014339+0.0014544j 0.00189655-0.00441367j 0.0109699+0.00866513j -0.00594893+0.0165107j 0.00776577+0.000902652j -0.019886+0.018153j -0.00795816+0.00367045j -0.00682113-0.00273664j -0.0348438+0.00935804j -0.00908261+0.000736738j -0.00441725+0.00160215j -0.0130696+0.00780057j -0.0105151+0.000839426j -0.0283219-0.00186093j 0.0161847-0.00237457j -0.0129662-0.0012904j -0.00891793-0.00616773j -0.00638957+0.00352459j -0.00704987-0.0031211j -0.0228438+0.00273963j -0.0170952-0.00667836j 0.0154494+0.0156303j -0.00302287+0.00816299j 0.00676194+0.00318656j -0.0028507+0.000872723j 0.00194301+0.000873574j 0.00154381-0.00685873j -0.00164626+0.00208226j -0.0145187-0.0010886j 0.006594+0.0122751j -0.0104326+0.00713449j 0.00268297-0.00143575j -0.00116871+0.000129831j 0.00164118-0.000621362j 0.00242494+0.0174962j 0.00569193+0.00545704j 0.000383705-0.012191j -0.00967151-0.00622573j -0.0142018+0.0057632j 0.0142727-0.00196734j -0.0165932+0.00763166j 0.00536153+0.00219805j -0.00864103-0.00620625j -0.00375853-0.00759751j 0.00239596+0.00614311j 0.00978804-0.00114072j 0.00110894-0.0093462j 0.011276+0.000854203j -0.00346491-0.000780368j -0.000395977+0.0129578j 0.00030978-0.000312909j 0.0142609+0.00592002j -0.0047191-0.0012434j -0.0011696+0.00476547j -0.00267622+0.00381321j 0.00366984+0.00329513j -0.00695055+0.00388446j -0.00616528-0.00309168j 0.00635644+0.0030505j -0.00629633+0.00249181j -0.00272415+0.00944498j -0.00370089-0.00455014j 0.00356678+0.00244046j 0.00745351+0.000711258j 0.00272163-0.00790242j 0.00796269+0.00839224j 0.000274624+0.00644128j 0.00096326-0.00563575j -0.00542642-0.00250453j 0.00489905-0.00383239j -0.00639708+0.00296745j -0.01001-0.000130476j -0.00296083+0.00833932j 0.00127381+0.00983855j -0.00801505-0.00168229j 0.00369807-0.00664188j -0.000568048+0.001598j 0.000437566+0.0086296j -0.000591096-0.00626732j 0.0076414+0.000554117j 0.00364272-0.002831j 0.00135291+0.00545663j -0.00187862+0.00239938j -0.00371849-0.00126503j 
-0.0182312+0.0193027j 0.00854771+0.0228008j -0.00635006-0.00847888j 0.00977797-0.00556909j -0.0173347-0.035338j 0.0172076+0.00677995j 0.00700375+0.00806548j 0.0132798-0.00337065j -0.00565125+0.00628527j -0.00244888-0.0222387j -0.019417-0.031289j 0.0422527+0.0350571j -0.0739456-0.0387357j 0.107055-0.0242392j -0.0112437+0.0896668j 0.0209976+0.106419j -0.0891096+0.00905337j 0.00966193+0.0214124j -0.0288942+0.000361151j 0.011695-0.0113105j 0.00438192-0.00932948j 0.0154597+0.000303315j -0.0148099-0.00249336j -0.00445326+4.13136e-05j -0.0078832-0.00928427j 0.00767053+0.0143624j -9.31581e-05+0.011324j -0.000843191-2.38684e-05j -0.000906113+0.00791522j -0.00182262-0.00738485j 0.00300101+0.00716371j -0.00400277-0.000875046j -0.00951955-0.00411162j 0.0192219+0.0191453j 0.0281424+0.0188119j -0.0257935+0.00983864j -0.00769131+0.00522562j 0.0259155-0.0174535j 0.00312521+0.0397649j 0.0135418-0.00478115j 0.0131132+0.0208286j -0.0144392+0.0197777j 0.0213837+0.0225894j 0.00408539-0.00322799j -0.00300563+0.0123858j -0.0114297-0.0136273j 0.0115444+0.0113867j -0.0122835+0.00760416j -0.00034852+0.00788461j 0.0109849-0.00557537j 0.00267336+0.00880347j 0.000331377+0.00456687j 0.00145168-0.00625771j -0.000408803-0.00459405j -0.0096335-0.00384166j 0.00297144+0.00752458j 0.00157523+0.00622601j 0.0091576+0.00286152j -0.00576264+0.00716896j -0.00372318+0.0118007j 0.00811133+0.000405814j -0.0133943-0.00474332j 0.000615887+0.00533304j 0.00977752-0.000699603j 0.0100052-0.00216222j 0.00680705-0.00388631j -0.00162283-0.00291567j -0.0104963-0.0048035j -0.0029543-0.00689731j 0.00379049+0.00893958j 0.0122725-0.00445118j -0.00381-0.00315561j -0.00103151-0.00619084j -0.00119677+0.00158874j 0.00558869-0.00229803j 0.00108922+0.00326357j -0.00025797+0.00392223j -0.00536185-0.000454061j 0.00674005-0.00109965j -0.000598762-0.00110584j -0.00562733+0.00538228j 0.00718252-0.00343398j -0.0027663-0.00452222j -0.00285315+0.0136015j -0.000407525+0.00844382j -0.012058+5.49427e-05j 0.00482005+0.00775174j 0.00277944-0.00120928j 0.0126338+0.0162988j 0.000289913-0.0052523j 0.0164476+0.00461288j 0.0025333-0.0100007j 0.00689923+0.00674212j 0.00350399+0.00317524j -0.00886725-0.0145725j 0.0278444-0.0482117j -0.0440749-0.0340544j 
-0.0022298-0.0208544j -0.0190658+0.00720946j 0.00713203+0.0153767j 0.00936654+0.0022263j 0.0245856-0.00991014j 0.000885646+0.00334701j -0.0174146-0.00277998j -0.0209096+0.0240774j -0.0306725-0.0159115j 0.0573826-0.00771779j 0.0437514-0.0128226j -0.0195934-0.0249924j 0.0403632-0.0218069j 0.053135+0.100662j -0.0445976+0.0267638j -0.0929976-0.000560073j -0.00319839-0.0838512j -0.0275558+0.00183462j 0.00604942-0.0194688j 0.0036841+0.00472914j 0.00645829+0.00790715j -0.00480846+0.0100947j -0.00451454-0.00520698j 0.00081877-0.00603395j -0.000937723-0.00949262j -0.00984446+0.000107559j -0.00597014-0.00667603j -0.00386911+0.00467645j -0.00751781+0.00334999j 0.00407958+0.0117049j -0.0213416+0.00447554j -8.53933e-05+0.00821032j 0.00124845-0.00510346j -0.0108392-0.015582j -0.014182+0.0110137j -0.013451-0.0301596j 0.00420323-0.00800023j 0.00628752+0.0262482j -0.0266335+0.012418j 0.00158174+0.018351j -0.0180149-0.00180132j -0.018522-0.0141974j -0.0106053+0.0180089j -0.000761314+0.00354585j -0.0171211+0.00475912j -0.0114644-0.0119839j -0.023485+0.00407779j -0.00393037-0.0161803j -0.0037972+0.00330083j 0.00939716+0.0158422j 0.000253495-0.00458238j -0.00932847+0.00277632j 0.00377119+0.00946197j -0.00586202+0.00303502j 0.0140908-0.000388076j -0.00045007+0.00849754j -0.0043823-0.00477913j 0.00576389-0.00463808j -0.00669862-0.00408204j -0.0023795+0.00618524j -0.00230606-0.00469865j -0.00152628-0.010595j 0.00931523-0.00650232j -0.00391563+0.011346j 0.00403902+0.00342184j -0.00859806-0.00527572j 0.00190491+0.00107697j -9.62389e-05-0.00100813j -0.0015213-0.00104877j 0.000729225+0.00163278j -0.00476484+0.00495793j 0.00169102+0.0109346j -0.000585497+0.00282482j -0.00204884-0.00679245j 0.00251463-0.00641404j -0.00633856-0.00213705j -0.00214528+0.00469652j 0.013054-0.00258787j 0.0138194-0.000555301j 0.00394131-0.00243097j 0.00330434+0.01094j 0.00705233-0.00418432j -0.00459341+0.00100917j 0.00864143+0.00157604j 0.00198904+0.00606348j 0.00646392-0.00202873j 0.00802777-0.0113804j 0.0041695+0.00174795j 0.0139954+0.000249531j -0.0226247-0.0033704j 0.00460504+0.0034675j 0.0130937+0.00302864j 0.00225227+0.0131032j -0.0132603-0.00986784j -0.0184492+0.0122982j 0.0339666+0.0229165j 0.0175934-0.0374419j 
0.000730338+0.00597523j 0.00665157-0.0040307j 0.00427935-0.0111806j -0.0058456-0.0021438j -0.0192229+0.00744122j -3.24595e-05-0.00293975j -0.0247327+0.00466008j -0.0483916+0.00380041j 0.0620589+0.0130596j -0.0116751+0.00284175j 0.0293488+0.0284505j -0.00129682-0.00152355j -0.0104443+0.00120334j 0.00866984-0.00666297j 0.00420436+0.0110231j 0.0247296+1.66142e-05j 0.00179248+0.0226288j 0.0119185-0.00414073j 0.00314237+0.00498744j 0.00140063+0.00160016j -0.00373192-0.000759964j -0.000370525-0.00356853j 0.00314062-0.000305715j 0.00224206+0.000851534j -0.00169674+0.0020375j 0.000337213+0.000600186j 0.000234737+0.00253825j 0.00288919+0.00019532j 0.00554262-0.000314324j -0.0030296-0.00325651j 0.00513573-0.000793593j 0.000144724-0.00197066j 0.00293477+0.00335068j 0.00129874+0.00311313j 0.00198966-0.00222043j -0.00103765+0.00441218j -0.00488996+0.00611579j -0.000417427-0.00581723j 0.0078877-0.000443384j 0.00105994-0.0110304j 0.00838246-0.00152134j 0.0150264-0.00199226j -0.00725277-0.00241559j 0.0044437+0.0128015j -0.00509483-0.00281464j 0.00182605+0.00261845j -0.00719824-0.000867653j 0.00942201-0.00153696j 0.000471249+0.00470524j 0.0020036-0.000790142j 0.00197805-0.0106464j -0.00236348+0.0068245j 0.0106627+0.00215511j 0.0179998-0.0123319j 0.00862314+0.00550584j 0.00657432+0.0201744j -0.000634377-0.00734738j 0.0173816+0.000363067j -0.00013214+0.0183631j 0.0017553-0.0147076j 0.00470675+0.00191518j -0.00782337-0.0087647j -0.000238502-0.00712201j -0.00219037-0.000693113j -0.00304868+0.000204045j -0.00167623-0.00403789j 0.00124231+0.00119526j 0.00193165+0.00153898j -0.00470361+0.0122089j 0.000124881+0.0036989j -0.00330212-0.00123726j 0.00164834+0.00360496j 0.00801251-0.0073641j 0.00469866-0.00442472j -0.00332962-0.00444863j -0.0098648+0.00150987j -0.001228-0.014822j -0.00211096-0.0126858j 0.0114241-0.00433138j -0.00808475+0.00139232j -0.00281468-0.00510608j 0.00265716+0.00733865j 0.0016174-0.0012062j 0.00419459-0.00531717j -0.00253294+0.00746548j -0.0163134-0.00427564j 0.00288004+0.00209924j -0.000495739+0.00147368j 0.00381304-0.00125584j 0.0107451+0.00603807j -0.00308428-0.00821044j -0.00158795-0.000292918j -0.00159766-0.00211654j 0.0077505-0.0016282j -0.00105525-0.00652677j -0.00605928-0.00435555j -0.00366455+0.00686252j 
-0.0096743-0.01396j -0.00586315+0.00680514j -0.000198852-0.0126374j -0.008391+0.000465674j 0.00249789-0.00770169j -0.00896012+0.01509j -0.0262171+0.00379247j 0.0310175+0.00524065j -0.00312496-0.00105568j -0.0151361-0.0114655j 0.034887-0.0135176j -0.0252519+0.00161987j 0.00648835-0.0479992j 0.0170201+0.0670083j -0.104372+0.00722489j -0.0748168+0.0245952j -0.0279365-0.0474971j -0.00457495+0.00590691j -0.0125374-0.0116318j 0.00701507-0.00247049j 0.0116623-0.00113808j -0.000905634+0.0107994j -0.0110077-0.00456014j 0.00208703-0.00649237j -0.00132629-0.00891772j -0.0052479+0.00569307j -0.00173654-0.00248645j -0.00888985+0.00163819j -0.00924108+0.00484282j 0.0043262+0.0100637j -0.0193439+0.00518007j -0.00187104+0.00612442j 0.00877752-0.00029433j 0.00129588-0.00394601j -0.000912304+0.0236121j -0.024163-0.0329416j -0.0188976-0.00531387j 0.0192045+0.0207692j -0.0368071+0.0218621j 0.00747142-0.00171855j -0.00749741+0.0105108j -0.0100242-0.00457473j 0.00869736+0.0196965j 0.00932092-0.0017153j 0.00232468+0.000163127j -0.000106706+0.00244557j -0.0120746+0.0115119j -0.00659335+0.000614222j -0.00727553-0.0030372j 0.011342+0.00818134j -0.00607425+0.00133171j 0.00358716+0.0123821j -0.0013681+0.0112562j 0.00433655-0.0065637j 0.00338938-0.00837797j -0.00711581-0.00392469j -0.0204152+0.0058701j 0.00317372+0.013441j 0.00441354-0.00152314j 0.00627409-0.00842779j 0.00464082+0.0114199j 0.00827066+0.00920295j 0.000300226-0.00627537j 0.0101565+0.00179243j -0.00826766-0.0031889j 7.3625e-05-0.00642882j 0.00956363-0.00196996j -0.0064135-0.00378991j -0.00128163+0.000463968j 0.00437183-0.00200167j 0.00138781-0.00952815j 0.00260533-0.00341724j 0.00528802-0.000964713j 0.00262584+0.0117663j -0.00878019+0.00137066j 0.0039295+0.00548944j -0.000667963+0.00012877j -0.00354456-0.00785389j -0.00443757-0.000166951j -0.00631594-0.00199721j 0.00668003+0.0147733j 0.00781964-0.00136511j 0.000989416+0.00468918j 0.00724911-0.00448548j -0.000371664-0.00266597j -0.00154832+0.00727502j 0.00142952+0.0109548j 0.00127786+0.00360914j 0.00821965+0.00175008j -0.00754349-0.00749621j 0.0209747+0.00124304j 0.0112048-0.00108743j 0.00951664-0.00251385j -0.00409068+0.00606145j -0.0105139+0.000921709j 0.0368221-0.00579315j -0.00800807-0.0460223j 
-0.00469727-0.00258961j -0.01725-0.0113822j 0.010557-0.00361924j 0.0106492+0.0151257j 0.0304862-0.00320216j -0.027634-0.00446526j -0.00211956-0.0218857j -0.0033162+0.0132087j 0.0178964-0.0127529j -0.00130627+0.00333521j 0.0171686+0.0146624j 0.021505-0.0166518j 0.0101544-0.00306944j -0.0708232+0.0536579j 0.00383891-0.0350898j -0.0432686-0.0278638j 0.0266255-0.0365098j -0.0198643-0.00962927j 0.0197661-0.0149846j -0.00696823+0.0118277j 0.00381057+0.00720283j -0.00603686+0.00580311j -0.00196303+0.00214589j 0.0012552-0.0040873j 0.00779925+0.000640222j -0.00466831-0.00639853j -0.00487817-0.00668145j -0.00735724+0.00545561j -0.0035697-0.00160931j 0.00423567+0.0119385j -0.011341+0.00207939j 0.00258283+0.00534599j 0.0104509-0.000311786j -0.0118504-0.0250158j -0.0276854-0.0132001j 0.0355979-0.0231714j 0.0140309-0.00547682j 0.000942415+0.0189142j -0.016632-0.0273825j 0.000401114+0.0126753j -0.00684533+0.00792273j -0.00274875-0.0235014j -0.0256715+0.00496425j 0.001514+0.0100603j -0.00823029-0.00984476j 0.00789347+0.000491095j -0.00961463-0.00920308j -0.00269991-0.0125006j -0.00288748-0.00758638j 0.0031661+0.000852821j -0.00643265+0.000832396j -0.00541621-0.00248118j -0.00714075+0.00172727j 0.0151354+0.00270663j 0.00338984-0.00652217j -0.00178826-0.00569751j 0.000806332-0.00622921j -0.00865172+0.00881j 0.00580422+0.00530274j -0.0077746-0.000364431j -0.0122825+0.00540014j 0.00714121+0.004617j 0.00276285+0.0108778j -0.0026337+0.00949754j 0.00571178+0.00313629j 0.0083192+0.00166741j 3.49e-05-0.00953782j 0.00922901+0.00244238j 0.0126981-0.0038125j 0.00515476+0.0084419j 0.0033646-0.0043309j -0.0106908+0.00571137j 0.00276209+0.00198981j -0.00483044-0.00737018j 0.00185236+0.00852871j -0.0030109+0.00585241j 0.00958883+0.00376164j -0.00162874-0.0105219j 0.00360593-0.000970853j -0.00545546-0.00221431j -0.000365589-0.00883928j 0.00549771-0.0027594j -0.0046535+0.00461706j -0.00268104-0.00232566j -0.00316717-0.0016126j 0.00563163+0.000122843j 0.00189468+0.00520959j -0.00114895+0.00347821j -0.000938187-0.00692572j -0.0245741-0.00755773j -0.0104779-0.0127452j 0.013344-0.0102241j -0.0120585+0.0156446j 0.00602802+0.00313551j 0.00113814+0.0143496j 0.0159054+0.0424829j 0.0325265-0.0154131j 
0.00734577+0.00972023j 0.0160438-0.0175867j -0.0315368+0.00358634j -0.0147421-0.0120128j -0.01354+0.0278468j 0.00597804-0.0131587j 0.0235155-0.00102385j -0.0122827-0.00608863j 0.0147757+0.0269567j -0.0164945+0.0230649j -0.00281164+0.0731718j 0.0321949-0.00201206j -0.0335285+0.0387661j -0.0231685+0.00282682j -0.0451894+0.0541991j 0.0477411-0.0246059j 0.0436375+0.0468214j 0.0183795-0.00121485j -0.0195327+0.0233242j 0.0136864-0.00669308j -0.00202527-0.00472671j 0.0011539-0.0149872j -0.00603111+0.0101549j 0.00754748+0.00424624j -0.0135815-0.00372827j 0.00309623-0.00496658j 0.0037913+0.0124507j -0.00322005+0.0219305j 0.030523-5.66726e-05j -0.0319043-0.0100848j 0.0174197+0.000882043j 0.0149724-0.00816659j 0.0177341+0.0205827j 0.0113569+0.0169967j 0.00908902-0.00351026j -0.0223866-0.0124569j -0.0139885+0.0203576j -0.00560573-0.00884353j -0.0211227+0.0141754j -0.00736905+0.002755j 0.00358286-0.0101523j 0.000876507-0.000531025j -0.00188058-0.00121323j -0.00079107+0.0045625j -0.00559219-0.00282319j 0.00829135-0.00589646j 0.00362524-0.00766078j 0.0109204+0.00281672j -0.00668266+0.00162458j 0.00333145-0.00228374j -0.00553105-0.00705525j -6.94881e-05-0.00138647j -0.0129932-0.00870861j -0.00504876-0.00829217j -0.00861477-0.00475477j 0.00908615-0.00940761j -0.00495212-0.0167267j 0.00299374+0.00364957j -0.0070561-0.00521338j 0.00229745+0.00128391j -0.00800249+0.00344555j 0.00181785-0.000696484j -0.00621474-0.00528855j 0.0034018+0.00237195j 0.00755851-0.000879439j -0.00827553+0.00870554j -0.000768045-0.0012737j -0.00803625+8.05313e-05j -0.00711084-0.000600585j 0.0081538-0.00285558j 0.0058452+0.0139769j 0.00176429+0.00675392j -0.00968984+0.000102626j -0.00543516+0.0089928j 0.00184277-0.00208078j 0.00156667+0.00953739j 6.32352e-05-0.000757353j 0.00698368-0.00538193j -0.00282271-0.00846408j 0.00132978+0.000401887j 0.000390435+0.000655275j -0.00597493-0.0113802j 0.00467546+0.00821798j 0.00102953-0.00992998j -0.00770009+0.00463147j -0.00105269+0.00349435j 0.008063-0.00166112j 0.00514633-0.00549413j -0.0015385+0.00496695j -0.00566108+0.00820442j 0.00340688-0.00946388j -0.013276+0.00570356j 0.000442101-0.0121165j 0.0045216-0.017529j -0.024375-0.0119262j 0.00887782+0.00508525j 0.00906341+0.00650671j 
0.00617431-0.000922614j 0.00490221+0.0144551j -0.0033206-0.0150987j 0.0060442-0.016435j 0.00239785-0.0155634j -0.00710742+0.0163136j -0.00561429+0.00257922j -0.0131527+0.00359147j 0.0128245+0.00542262j -0.00776297+0.00725422j -0.0192583+0.035825j 0.00857114+0.0424301j -0.00272797-0.0218964j 0.00269339+0.0411374j -0.0724224-0.046766j -0.025722-0.0104827j 0.0150791-0.00799223j -0.0152952-0.00690958j 0.00784953-0.00717846j 0.00449559+0.0141794j -0.00852109-4.9321e-05j -0.0022871+0.00253583j 0.0108093+0.00379895j 0.00080359-0.000116464j 0.0001175+0.00193627j -0.00376888-0.00328637j -0.0193762-0.0220517j -0.00458633+0.00767887j 0.00959954+0.00602986j 0.000714952+0.0169894j 0.00510012+0.00385674j 0.00774157+0.000838117j 0.00728288+0.011964j -0.000574019+0.00927857j -0.00578838-0.00241891j 0.00111538+0.00506177j 0.00562389-0.00228692j -0.00680155-0.00418924j 0.0230961-0.0218475j 0.00066841-0.0124849j 0.0131835+0.00801131j 0.00434389+0.0108071j 0.008-0.00938278j -0.0022391-0.0150595j 0.00067564+0.00405322j -0.00261734-0.00618884j 0.00549657+0.00207599j 0.000381804+0.00169684j -0.000137693+0.0166484j 0.0007756-0.00646469j -0.000662392-0.00498406j 0.00843467+0.00608587j 0.00217903+0.0074467j -0.00512915+0.00248838j -0.00605768-0.00612303j 0.00316358+0.00113477j -0.00077226-0.0055778j 0.00532625-0.00321364j 0.00240491-0.00918935j 0.00568566-0.00903146j -0.00521605-0.00919909j 0.00661259+0.00262051j -0.00481184-0.00590206j 0.00280398+0.00488588j -0.00559731-0.00344282j -0.00738695+0.0014427j 0.00296314-0.00309066j 0.00317964+0.00646879j 0.000544216+0.00528109j 0.000511998-0.00672447j 0.0001216-0.00441958j 0.00499606+0.00448633j -0.0034997+0.00720008j 0.0104755-0.00169692j -0.0027931+0.00061764j 0.00615897+0.000294966j 0.00295192+0.0108688j 0.00381993-0.00496651j -0.00437956-0.00603214j 0.00613352+0.00470095j 0.00811648-0.00434039j -0.000478972-0.00465082j -0.00293956-0.00428175j -0.00305307+0.00127191j 0.00102281+0.00157406j -0.00803181-0.00992361j 0.0132525-0.0049969j 0.00102203+0.0083568j 0.00531015+0.000429344j 0.00635444-0.000485845j 0.00246946-0.00826293j 0.0152579+0.00910583j -0.01099+0.0197342j -0.00850682-0.0135116j 0.00317744-0.0151414j 0.00144815-0.00510161j -0.0207875-0.010807j 
0.00390126+0.00862326j -0.00258238+0.0118182j -0.0011838-0.00258633j 0.00671886-0.00263818j -0.00632552-0.0132183j -0.000198191+0.0101727j -0.00182748+0.00196908j 0.00247662-0.0141386j 0.0329863+0.0130504j -0.0120399+0.00492085j 0.0257543+0.00906278j -0.0490919+0.0081206j -0.00621191+0.000706533j 0.0444315+0.0218011j 0.0201071+0.0275398j -0.0105406+0.0258746j -0.0196956-0.00596664j -0.0118252+0.00459496j -0.0012941-0.0093563j 0.00837351+0.00823904j 0.00583991+0.00994744j -0.000116697+0.00507741j -0.0093063-0.0194621j 0.0135575+0.00860084j -0.00969531-0.0196251j -0.00926054+0.000627651j -0.0174446-0.00985622j -0.0118717-0.0146798j 0.0114955+0.0187375j -0.010893-0.0325114j 0.00193026+0.00588372j 0.00237247+0.0159586j 0.00442806+0.00908561j 0.00465755-0.0142875j 0.0057659-0.0250076j 0.00777313-0.0156597j -0.00180626+0.00794801j -0.00986148+0.0103491j -0.002639+0.00733067j -0.00480833-0.0141765j 0.00815776-0.00453896j 0.00698452+0.00310909j -0.00184501-0.00971088j -0.00533117-0.0089768j -0.0011329-0.00333036j 0.00197791+0.00226221j 0.00570164-0.0109989j 0.002965+0.0030239j 0.000600717-0.00307129j -0.0102435+0.00594172j 0.00813093-0.0107119j -0.00021391-0.000791904j -0.000532372-0.00898813j -0.00098346+0.00106815j 0.00404026+0.00219602j 0.00927863+0.00433577j 0.011019-0.0131415j -0.00250846-0.00118242j 0.00717379-0.00271929j 0.00213369-0.00306056j -0.00754638-0.00755611j 0.00331732+0.00834481j 0.000765841-0.00313886j -0.00342395-0.0036565j -0.000862722+0.0108828j -0.000210519-0.00295203j 0.0159424+0.00764689j -0.00356988-0.0111529j 0.00747432-0.00027147j -0.00160815+0.00892329j -0.00392125+0.00520274j -0.00696346+0.00167074j -0.00316111-3.80684e-05j -0.00532486-0.00383334j 0.0016031-0.00420335j -0.00619659+0.00293103j 0.00011371+0.00871502j 0.00632244-0.00349781j 0.00478443+0.00139139j 0.0102703-0.00488159j -0.00745893-0.000906467j 0.00750763-0.00416853j -0.00413257-0.00365428j -0.0014244-0.000249743j 0.000645607-0.00519732j 0.00514947+0.00219747j -0.00722254+0.00298397j -0.00863994-0.00405602j -0.00656833-0.000673755j -0.00499176+2.49207e-05j 0.00251396-0.00124885j 0.0107748-0.00969052j 0.00522165+0.00553039j 0.0176978+0.00209359j 0.00769436-0.000460568j -0.0162264-0.00737304j -0.00556942+0.00429313j 
0.0037496-0.0108682j 0.00792051-0.0136451j 2.08772e-05+0.0147575j -0.0084909-0.00165275j 0.00360699+0.0176388j 0.00629126-0.0087622j -0.0086834+0.00249885j -0.0324949+0.0247799j 0.028107-0.025115j 0.0151671+0.0107562j 0.0448597-0.00273923j 0.0362446+0.00394558j 0.0154238+0.0135954j 0.00659275-0.0106359j 0.00527202+0.0165572j 0.010115-0.0300211j 0.0390795+0.000830735j 0.00735758-0.0161689j -0.00142917+0.00876104j 0.000773862+0.0121075j -0.0106479+0.00140959j -0.00814002-0.015063j 0.00592811+0.0159428j -0.00944178+0.0170339j 0.0134322-0.0319815j 0.0112908-0.0107242j 0.0198573-0.026492j 0.00828797-0.00747771j -0.0102647+0.0305706j 0.0111135-0.0113233j -1.7168e-05+0.00393869j -0.0099919+0.0147596j -0.00871274+0.0137837j -0.00072056+0.0143056j 0.00500998-0.00466225j -0.00412645-0.000375514j -0.00341997+0.00690835j 0.00412999-0.0100837j -0.000162844+0.00024325j 0.00356714+0.0123248j -0.00614139+0.0120976j -0.00499017+0.000401529j 0.00537246-0.000473425j 0.0104367-0.00136407j 0.00892639-0.00279798j 0.00302994+0.00604219j 0.00674877+0.00565263j 0.00197977+0.00582869j -0.00200189-0.00355282j 0.00886508-0.00956902j 0.00245589-0.00176498j -0.00149083+0.00172291j 0.00665224-0.0035143j 0.00475692-0.0023362j 0.00063622-0.00671368j 0.000329293+0.00684457j 0.014069+0.00180208j -0.000434036+0.00846078j 0.00574934+0.00298684j 0.00866258+0.00069107j 0.00204505-0.0147235j -0.00508453+0.00668264j 0.00569864-0.00465631j 0.00258131-0.00404444j -0.00590752+0.00082789j -0.0109382-0.00348567j -0.00603209+0.00839857j 0.00336297+0.00105624j -0.00552189-0.00166239j 0.00257366-0.0020662j -0.00986254+0.00465479j -0.00942412+0.00746378j -0.00700417-0.0062138j 0.00335396+0.00167804j -0.00202411+0.00209357j -0.00542767-0.00396978j -0.00992142-0.000769393j 0.00594852+0.0105502j -0.00175113+0.00190741j -0.000640945+0.00625472j -0.000487291-0.00588249j 0.00746451-0.00416408j -0.00433196+0.000687026j 0.00379265-0.000623107j 0.00882735+0.00174824j 0.00449469+0.000446535j 0.00222687-0.00139014j 0.00823547-0.00410078j -0.00729266+0.000276561j 0.00054115-0.00113236j 0.0118431+0.00938887j -0.00771005+0.00640575j -0.00588158-0.00216385j -0.0126522-0.00422168j 0.00387156+0.00457661j 0.00847727+0.00330107j -0.00123436+0.00162698j 
