-0.0720074+0.0932079j -0.0785545-0.0554021j 0.115173-0.455759j -0.690037-0.0812657j 0.00204423+0.521065j 0.0214171-0.127716j 0.0201171-0.0414653j 0.117711-0.0236562j 0.0622587-0.00765842j 0.0271233+0.00362665j -0.0110019-0.07777j 0.00426927+0.00353859j -0.0488104-0.0887183j 0.0480049+0.0159648j -0.0562429+0.0245277j 0.00320081+0.0218102j 0.0175395-0.0030265j -0.019138-0.0116691j -0.00599958+0.0138893j -0.0248196-0.0162808j -0.00383487+0.00883138j 0.0138941-0.0366731j -0.0193142-0.0181325j -0.019588-0.00833262j 0.00278021+0.00173379j -0.00665785-0.000685613j -0.0112565+0.0030878j 0.00631007-0.00354795j -0.0341184+0.00298652j -0.00837819-0.0474962j -0.00917348+0.00271477j -0.0359751+0.00635467j 0.00667879-0.0144703j 0.0266934-0.00514356j 0.000253754+0.0224069j -0.0099321-0.0086017j 
0.0156566-0.00515053j 0.00290296+0.0138324j 0.00409141-0.00408042j -0.0209701-0.00158435j 0.00418845-0.0361992j 0.0124767+0.0120724j -0.00851868-0.00694713j 0.00512715+0.00227225j -0.0143812-0.0154491j 0.0017991+0.00985563j -0.00191506+0.00192209j 0.0306064-0.0164068j 0.0161783+0.00106361j -0.0023401+0.000348395j -0.0192688+0.022162j 0.0206038+0.0183656j -0.0129639+0.0231131j 0.0272219+0.0277004j 0.0140365-0.00199286j -0.0164755-0.0186334j 0.0359019+0.0105228j 0.0345858-0.00691435j 0.0295617+0.0338042j -0.0348717-0.0181134j 0.0240225+0.00989954j 0.0239812-0.0167478j -0.00968975-0.00534559j 0.0106419-0.046556j 0.00613744+0.00416856j 0.0137907+0.00714854j 0.00412733-0.00369364j -0.00515785-0.0316244j 0.0175939-0.00507927j -0.0329265-0.0330445j 0.0738809+0.0111133j 0.0326927-0.0402404j 
0.00015261+0.000215479j -0.000195529+0.00214305j -0.00102409+0.00349942j 0.0171732+0.000962867j 0.000105672+0.0300552j -0.00717027+0.0113297j -0.0127536-0.0164717j 0.0149715+0.00763697j -0.0456645-0.0175897j 0.0222336+0.000973352j -0.0139548+0.0229589j 0.0422438-0.00468524j 0.0172832-0.0148116j 5.5817e-06+0.0141127j -0.00628516+0.00417378j -0.00693789+0.00143613j -0.00402114-0.00424819j -0.00039616+0.00374191j 0.0219563-0.013599j 0.00993477+0.0105029j 0.00574838+0.0039363j 0.00595072+0.00105751j -0.0278677-0.0271066j 0.0106023-0.00480494j 0.00154575-0.0247765j -0.0042761+0.00639445j -0.0103325-0.0146208j -0.00839571+0.0172385j -0.00930166-0.0153599j 0.0130759+0.00409522j 0.00794647+0.0175471j -0.00435755+0.0145555j -0.019854+0.0100461j -0.0031062-0.00609374j 0.0024427+0.00650115j -0.00824752-0.00447708j 
0.00328862-0.00205072j 0.00408484+0.0034989j -0.00173258-0.0161029j 0.020057-0.00200034j 0.00396273+0.00599275j 0.0332548-0.030331j 0.022379-0.0230384j -0.0118806-0.00229634j -0.0273555-0.0182135j -0.00295302-0.0118438j -0.00907959+0.00263811j 0.0311782+0.00995489j 0.00587963-0.0218956j -0.00326553+0.00582753j 0.0172359-0.000211492j 0.0152165-0.00350704j 0.059896-0.0153116j 0.00853977+0.00376591j -0.0724207+0.000646511j 0.00203629+0.00748775j 0.00594053+0.0159677j 0.000474903-0.00212373j 0.0119914+0.0382365j -0.0118214-0.00582747j 0.00500119+0.00171522j 0.00933516+0.000701394j -0.0308493-0.0844339j -0.0380798-0.0258917j 0.00343099+0.00451664j -0.0613639-0.00467547j -0.0498556-0.0250998j 0.0307973-0.0132634j -0.00469574+0.0095044j 0.000965939+0.0157512j -0.015083+0.00609748j 0.0241094+0.00486286j 
0.0110132+0.0191181j -0.0207988+0.0130486j 0.0163279-0.00228363j 0.0149368+0.0046147j 0.0165542+0.0116826j 0.0297524+0.0178112j -0.010744-0.00718907j 0.00907441-0.01078j -0.00342555+0.00162297j -0.0114377+0.0178201j 0.00961387+0.00782323j -0.00352417+0.0214164j -0.00399891-0.0102917j 0.00587084-0.0124459j 0.0047294-0.000321021j 0.0361443+0.013981j 0.0148727+0.0326068j 0.0292132+0.000812035j 0.0161092-0.00397174j -0.0363808+0.0069378j -0.00395327-0.0298621j 0.0138183-0.00321311j -0.0193389-0.0235884j 0.0142065+0.0341329j -0.0187878+0.00640392j 0.00225826+0.00764217j 0.0136601-0.0462466j -0.0181386+0.0335079j 0.00857183+0.00559589j 0.00447847-0.00486542j -0.0167585-0.00632917j -0.0207049+0.00390313j 0.00950816-0.0157768j -0.0343798+0.009753j 0.0244605-0.0038001j 0.00949939-0.0331358j 
0.00499062-0.0232225j 0.0230598+0.00736854j -0.00269375-0.00395253j 0.0125993-0.00215193j 0.00240357+0.0163978j 0.011971+0.00265886j 0.00784495+0.00406503j 0.00992336-0.00230395j 0.0122264+0.011755j 0.00708826-0.0094608j -0.00163321+2.46731e-05j -0.0176062+0.0171543j -0.0141627+0.00476331j -0.00129706+0.00174516j 0.0149999-0.0132745j 0.00629976-0.00925501j 0.021999-0.000548052j -0.00762052-0.0239551j 0.00286363-0.00374622j -0.0105496+0.00376189j -0.0416961-0.0329551j -0.0202905+0.00808155j -0.0304395-0.0459915j 0.021426+0.0374893j -0.025467+0.00475196j 0.00223837+0.0176369j 0.00191581-0.00989609j -0.00357447+0.0366675j -0.000516337+0.00469707j -0.0113185-0.00318963j -0.00573884-0.00345585j 0.0061128+0.0335052j 0.0153452+0.00435726j 0.00467859+0.0250019j -0.0371238+0.00348793j 0.00260202+0.0160025j 
-0.00140731+0.00164918j 0.00105116+0.00141283j 0.0210394-0.00187303j 0.00532757-0.000267948j 0.0213566+0.000676566j 0.00294023-0.0102893j 0.0238349+0.0383569j -0.00836995+0.015921j 0.0243483-0.00690674j 0.0152797-0.0632252j -0.0341123-0.0298528j -6.10637e-05-0.0533034j 0.0215214+0.020814j -0.0272622+0.0347036j -0.0126114+0.0158969j 0.00335448+0.00168448j -0.00389769+0.0099898j -0.00630935-0.00212875j 0.00394615+0.0258302j -0.0142598+0.00611979j 0.00959396+0.00547885j 0.00348087+0.00346643j 0.00329598-0.0100005j 0.0212586+0.000646534j -0.000241811-0.00880365j -0.00755172+0.00135173j -0.00429835-0.0111926j -0.0118209+0.00405775j 0.0170025+0.00269136j -0.00281665+0.00411819j -0.00573426+0.00274516j -0.0120713-0.00447814j 8.20437e-05-0.0171135j 0.00441165-0.00118829j 0.000974098-0.0108047j -0.000640084+0.00377128j 
0.0243511-0.00510421j 0.00795793+0.0251298j 0.00375827-0.0087351j 0.00667868-0.000817845j -0.00276608-0.00242667j -0.0321947+0.00180041j 0.00558468-0.0034339j 0.00998013+0.0100897j -0.00160843+0.00363874j 0.0122461-0.0051152j -0.00247826+0.007427j -0.00120943-0.00282797j 0.000454371+0.00865144j 0.00319535+0.00522614j 0.00102358+0.00208682j -0.0494117-0.00694681j -0.039997-0.0109559j -0.0246229-0.00692698j -0.00935315+0.00818763j 0.00768638-0.0233724j -0.0142183-0.00905912j -0.0215382+0.00794941j -0.0179203-0.0386885j 0.018381+0.0102634j 0.0054819-0.0343683j -0.0235688-0.00360239j 0.00660302+0.047863j -0.000226112-0.00890783j -0.00779704+0.00317696j 0.0115007+0.00813637j 0.035019-0.010049j 0.00575199+0.0108983j 0.00232199+0.00720936j 0.0206114-0.00966003j -0.0285781+0.00300956j -0.00890815+0.0229402j 
-0.0177101-0.00875406j 0.0123473-0.0183298j 0.02773-0.0156746j 0.00512475-0.00104286j 0.0213914-0.00438317j -0.030482+0.0170327j -0.0201061-0.0161599j 0.00227786+0.00298589j -0.0193764+0.000597659j -0.00399207+0.0228581j 0.0134674+0.0109595j 0.0156081+0.0128159j 0.00481912-0.010298j 0.0112585-0.0115109j -0.00987506+0.00703126j -0.0275306+0.0256955j -0.0581258+0.0262945j 0.0199687+0.0167284j -0.00135817+0.0180789j -0.0187566-0.0101866j 0.0225161-0.00947942j 0.00443036-0.0068243j -0.00938421-0.0129261j 0.0203809-0.000190205j -0.00100958-0.0262085j -0.0450042-0.00930573j 0.0144659+0.0138088j -0.0164178-0.0121039j -0.00185351-0.00350408j 0.0291953+0.00561887j 0.0186881-0.00165409j -0.0351314-0.0201935j -0.0212021-0.0150064j -0.0163487-0.0233956j 0.0189907-0.0197899j -0.0198833-0.0302645j 
0.000453981+5.79989e-05j -0.00243158-0.00021472j 0.00304292+0.030281j -0.0260119+0.00684041j -0.00238756-0.00583519j 0.00462439+0.012005j -0.00777268-0.0117898j 0.022119+0.00990676j -0.0466612-0.0154881j 0.0296031-0.0197559j -0.0241151+0.0240028j 0.0455613-0.00837133j 0.0182683-0.0120404j -0.00598888+0.0241995j -0.00214842+0.00628312j -0.00751724-0.00285857j 0.0214261+0.00721234j -0.00229884-0.00379956j 0.0314634+0.0028707j -0.0102798+0.0034169j -0.0202422-0.0278869j -0.0101456+0.00328496j 0.0100964+0.00547945j -0.011436-0.0152799j -0.00971723+0.0246717j 0.00959862+0.0045804j -0.000319382+0.0191309j 0.022075+0.00273093j 0.00740219-0.00379047j 0.00762757+0.00289681j 0.0055878-0.00212493j -0.00962394+0.0135825j 0.0106052-0.0111101j 0.00307775-0.000749837j -0.00361526-0.00656076j -0.0014861+0.00277481j 
0.00235335-0.00375959j 0.00327577+0.00342282j 0.0011939+0.00868632j 0.0114759-0.0109127j 0.0158118+0.0232968j -0.00761277-0.0100075j 0.00785644+0.00557133j -0.0285106-0.0116106j 0.00871083-0.0207634j -0.0139781+0.040306j 0.0190483-0.0143681j 0.000642144-0.0192385j 0.0138206-0.00517953j 0.00940936-0.013008j -0.00775812+0.0148469j -0.0239225-0.0141865j 0.0282724-0.0156195j -0.0141005+0.0295475j 0.000568535-0.00535689j 0.0362297+0.0412679j 0.0868694+0.0847138j 0.0138026-0.0197595j -0.00150001+0.0158053j -0.00416335-0.0453612j 0.00415779-0.0718493j 0.00913579-0.00526814j 0.0023807+0.0127364j 0.00561563-0.00733499j 0.0124003-0.0398649j -0.00348946-0.00956676j 0.00254914+0.000754043j 0.0119214-0.0197112j -0.0207406+0.0097421j 0.011495-0.00532311j 0.000349329-0.00210475j -0.00444907+0.00824074j 
-0.002846+0.0143257j -0.0142927-0.00168288j -0.012858-0.028351j 0.020033-0.0102631j -0.000930797-0.00304846j -0.00532007-0.0142838j 0.00505158-0.00499415j 0.016995+0.00561689j -0.0149866-0.00421384j 0.0198692-0.00272891j -0.00362223+0.0155902j 0.00438888-0.0114099j 0.00325635+0.00348653j -0.00113598+0.00168091j 0.00455827+0.00509032j -0.0497499-0.0355786j -0.0165438-0.0223615j -0.0475988+0.00244269j -0.0201533+0.00140473j 0.00768167-0.0447052j -0.0154605-0.0107047j -0.0111969+0.0114541j -0.022679-0.0437623j 0.0199497+0.0249409j 0.0132165-0.0539039j -0.00362576-0.00909251j 0.0136513+0.0131986j -0.0281339+0.0235783j 0.00170678+0.021404j -0.0024644+0.00916591j 0.0352291-0.031186j 0.0295278+0.00871981j 0.0176977+0.00530402j 0.0296149-0.0100646j -0.0218589+0.0257932j 0.0159966+0.0432577j 
0.00171389+0.000614077j -0.00134488+0.00303227j 0.000514684+0.00432954j 0.00414945-0.00367337j -0.0014503+0.0145091j -0.0767269-0.00386207j 0.0157209-0.00158055j -0.0295864+0.0298646j 0.014767+0.00748306j -0.0397523-0.021271j -0.00706254-0.0165583j 0.0182763+0.00430088j -0.00124201-0.00923194j -0.00118693+0.00334631j 0.00395252+0.00119604j -0.0820247+0.0612957j -0.0111302-0.0288698j 0.0481617+0.0198633j -0.0123167+0.00476386j 0.0111273-0.0180219j -0.00695584-0.0176223j -0.0643774-0.0211921j -0.00772645-0.00604955j -0.00996291-0.0038492j -0.0329355-0.0315244j -0.0351883-0.012431j 0.0119737+0.00506808j -0.0271153+0.00972102j -0.0413841-0.0245627j 0.00432236-0.000869027j 0.022433-0.0157015j -0.0223276-0.0221011j -0.00332411+0.0454411j -0.000307884-0.0178726j -0.0153625-0.0412858j -0.0207351-0.0233862j 
-0.00271703-0.00241983j 0.000191068-0.00152783j 0.0167818+0.0134394j -0.0120364+0.00960219j 0.00431479-0.0066209j 2.91729e-05-0.0126889j 0.00680586+0.00466212j -0.0121056-0.00699622j 0.00458989-0.0112485j -0.0103043+0.019997j 0.0119997-0.011088j 0.000685543-0.00748853j 0.00508332-0.00805192j -0.00332998-0.00852698j 0.00306858+0.00701609j -0.0714614-0.0491473j 0.0347834-0.00705605j -0.034133+0.0701382j 0.00468974+0.00325199j -0.0238598-0.0266925j -0.0494226-0.0764067j -0.00685541-0.0139733j 0.0072528-0.025805j -0.0181931+0.0375483j -0.0425702+0.0484132j 0.00936983-0.00353976j 0.0163971-0.0160763j -0.0317427+0.0453252j 0.032298-0.0142353j 0.00677479-0.00425297j 0.0204193-0.0293276j 0.0305441-0.016831j -0.00463067-0.0247107j 0.022159-0.0203531j 0.0151697+0.0445266j 0.0304652+0.0417917j 
