-0.285078-0.0390157j -0.06454+0.0967795j 0.190355+0.60956j -0.292692-0.169256j 0.250041-0.122j 0.0165493+0.130542j 0.477223+0.233822j 0.154327-0.0319634j 0.0482048-0.00757196j 0.107976+0.0584714j 0.0272583-0.00639671j 0.0256017-0.0219146j 0.0374294-0.0483778j 0.0266712+0.00958797j -0.00652692-0.0446424j 0.0164025+0.0190287j -0.0338928+0.0105783j -0.0794565+0.0183578j 
-0.449593+0.179754j 0.0118641-0.161644j -0.246134-0.183309j -0.250616+0.146882j -0.233269+0.622008j -0.0329137-0.102399j 0.269478-0.0573954j 0.226618-0.124907j 0.0548148+0.0546412j -0.0165733-0.0542843j -0.00790498-0.00181147j 0.0108395-0.0138564j 0.0245244+0.0636926j -0.0178922-0.00407761j -0.00533396-0.0345109j -0.0547824+0.0145409j 0.00540841+0.00970498j -0.0333485+0.0228971j 
0.0173382+0.0786267j 0.0430424+0.0225614j 0.0807394+0.0524203j -0.00811565-0.0176988j -0.0121734+0.0606631j 0.0310265+0.0430089j 0.0265347+0.0447656j 0.159085+0.105762j 0.164201-0.0288358j -0.335793+0.268478j 0.139686-0.0918037j 0.0133707+0.102909j -0.148886-0.0435489j -0.462059-0.176195j -0.082508+0.174024j 0.148537-0.213903j 0.0267553-0.0221896j 0.504635+0.0696103j 
-0.0757224-0.0877156j -0.0579577+0.0291203j 0.0453618+0.0371461j 0.0159053-0.0147879j -0.00427561+0.0215448j -0.0401197+0.00915397j -0.0194136-0.00334952j -0.205148-0.106297j -0.107606+0.112307j -0.222068-0.177785j -0.274671-0.413646j 0.180355+0.11336j 0.155566-0.0116491j -0.330377+0.162874j 0.231641-0.329807j 0.194978-0.250088j 0.143643+0.130629j -0.16573+0.166515j 
0.216098-0.0275545j 0.00664443-0.0340581j 0.044298+0.0568895j 0.0392532+0.00922728j -0.0259502+0.0176409j 0.0314947-0.03127j -0.011176-0.00394513j 0.42097-0.0910526j -0.0619687+0.024428j -0.147838-0.262292j -0.100662+0.177516j 0.517367-0.123253j -0.137007+0.0531328j 0.010667+0.167636j -0.0942186-0.138573j 0.377549+0.258287j -0.151738-0.0262044j 0.0952408-0.124724j 
0.0273109+0.0119152j 0.012555-0.0094246j 0.0189888-0.00467001j 0.00190572-0.00736376j 0.00323328+0.0234565j 0.00851136+0.00590057j -0.00536633+0.0167755j 0.0590666+0.00940652j 0.0289941-0.0489197j -0.0714581+0.0912513j 0.0207899-0.0228281j -0.00659203+0.000789673j -0.0897275-0.0263578j -0.136153-0.056057j 0.0124213+0.0597469j 0.00835444-0.000808003j 0.0331231+0.0452513j 0.0644996+0.0184961j 
0.00771171+0.0115299j 0.0170473+0.0203849j 0.00752036+0.0162784j 0.0305128+0.00840314j -0.0540339-0.000760358j 0.0191281-0.00762785j -0.0247041+0.00325252j 0.0162612-0.00076794j 0.000384706-0.0123621j -0.0139336+0.0238575j -0.00056703-0.00113742j 0.00546449+0.00387458j -0.028125-0.00172098j -0.0425993-0.0057788j -0.00155679+0.00366898j 0.0184762+0.00523206j 0.00117079+0.00748155j 0.0355584+0.00345967j 
0.0211474-0.0225677j -0.00765932-0.0186931j -0.00738164-0.00701537j -0.00060669+0.00682011j -0.0152673+0.0148244j 0.014013-0.00181094j -0.0127066+0.0236843j 0.028217-0.028661j -0.0243179-0.0352103j 0.0295025+0.00511544j 0.0381609+0.0688868j -0.0461489-0.0159443j -0.00474889+0.0554513j 0.0318216-0.0408222j -0.0380601+0.0652091j 0.0534893+0.0173565j 0.0389581-0.0204629j 0.0349304+0.0447671j 
0.0127787+0.00927688j 0.0262523+0.0120865j 0.0180015-0.00293151j 0.0117239-0.0218927j 0.0129874-0.0464231j -0.014016-0.0159899j 0.0210315-0.0234521j 0.017351-0.0155527j -0.00545257-0.0204822j 0.0100329+0.0094294j 0.0479622+0.000881613j -0.0362589+0.0197523j -0.0129873+0.0237782j 0.0156289+0.00434717j -0.0308032+0.0154926j 0.0294808+0.0134878j 0.0111243-0.00333028j 0.0183474+0.0228426j 
-0.00344116+0.00766552j 0.00961256+0.00957405j -0.00256544+0.00598682j 0.00495595-0.0061905j -0.00235376-0.0311442j -0.00686171-0.0054309j 0.0076683-0.0171016j 0.000731979-0.0107516j -0.0110017-0.00727497j 0.0294413-0.00641386j -0.0432938+0.0572307j 0.0304807-0.0374259j 0.0351549+0.0139913j -0.0366109-0.058713j 0.0278462+0.0522731j -0.00733851-0.00342447j 0.00962111-0.00090699j -0.00272864+0.00793372j 
0.00415487+0.0413938j 0.0113382-0.0202117j -0.00676225+0.0449901j -0.0283036-0.0127121j 0.00761793+0.0159828j -0.0214511+0.0280548j -0.00270207-0.0103978j 0.000842919+0.0186661j 0.0428811-0.0142247j 0.0288599+0.026349j 0.0227527-0.0431358j -0.03581+0.0230253j -0.0141404+0.049527j -0.0470154-0.0119967j -0.00557741+0.00884114j 0.0236124-0.00741164j -0.00108615+0.0296579j 0.00609795-0.00798496j 
