-0.075525-0.0079506j 0.0926124+0.0815491j 0.0649327-0.0791855j 0.17289+0.0266422j 0.450693+0.00952264j 0.00343876+0.042398j 0.0423541+0.678809j 0.0950562-0.120394j 0.487529-0.060314j -0.0460485+0.0267141j -0.0692159+0.0222744j -0.0498786-0.0166757j 0.017474-0.00472983j -0.0724951+0.0141201j -0.0480407-0.0621948j -0.00624842-0.000958374j 0.000979099-0.00702936j -0.050101-0.0858324j 0.0678474+0.0403845j -0.00419248+0.00121632j 0.0177606-0.00118232j 0.0579896-0.0884547j 0.0462301-0.0665621j 0.0279474+0.0394645j 
-0.0704447+0.0133334j -0.0922332-0.0579136j -0.0446204+0.0768354j -0.389905-0.133075j 0.202377+0.084059j 0.164158-0.671887j 0.0832866+0.0805558j 0.495394+0.0585151j -0.106717-0.0370815j 0.116017-0.0115639j 0.0416464-0.00341997j 0.0458853+0.107683j 0.00396993-0.00329604j -0.00924919-0.00245281j 0.0201097+0.0629984j 0.0872625-0.0105785j 0.00427065-0.00813517j -0.0261225+0.0244745j -0.0557875+0.0294861j 0.00777535-0.0162767j -0.03632+0.0641915j -0.0237408+0.015797j 0.00170211+0.0599838j -0.0203548-0.0161494j 
-0.000766323+0.00163321j -0.0394321-0.0579394j 0.0417846-0.0260404j -0.0509511-0.132693j -0.0362886-0.134257j 0.00564562-0.0319005j 0.00900838-0.00905878j 0.0159386+0.00260589j 0.00789234+0.132068j -0.076033-0.0711024j -0.213407-0.170455j -0.0495731-0.0697158j 0.109356+0.064381j -0.344868-0.23014j 0.0519776-0.0745379j -0.0514964-0.016066j 0.00780945+0.0459101j 0.232105-0.141489j -0.0457016+0.108339j -0.0256583+0.269911j 0.00996243-0.0126469j -0.328382-0.141024j 0.0501883-0.191637j 0.319889-0.429104j 
-0.000706253-0.00187723j 0.00743434+0.00432806j -0.00497364+0.00519194j -0.0351005-0.117206j 0.0123618+0.00550048j 0.0129454-0.0056722j 0.0114789+0.0324696j 0.00444205-0.0667755j 0.0414566+0.0292355j -0.11368-0.111732j -0.293794-0.280444j -0.00351139-0.0890796j -0.0531409-0.107271j 0.209621+0.249958j 0.287633-0.142531j -0.0679844-0.0282064j -0.00651271+0.272947j -0.178981+0.0150556j -0.282723-0.163574j 0.0305044-0.00110933j 0.192736-0.251587j 0.0581759-0.0624028j -0.288207+0.353399j 0.0922665-0.0751454j 
0.000461038-0.000304925j 0.0462371+0.0204609j -0.0157026+0.0371311j -0.0359852-0.128265j 0.00822897+0.0353502j 0.00401171+0.057087j -0.00484158+0.0169271j -0.0578319-0.0775291j 0.0455463+0.00965609j -0.308241-0.40614j 0.0574672+0.251732j 0.333299-0.124771j -0.0124008-0.254107j -0.0372431-0.0912798j -0.0486711+0.0728879j 0.272381+0.155429j -0.00602963-0.00520461j 0.0111804-0.00403573j -0.00653303-0.0563141j 0.0203218+0.00523686j -0.350528+0.315568j 0.046112-0.0600484j -0.182689+0.175328j 0.0924601-0.0727278j 
-8.23713e-05-0.0041983j -0.0152206+0.00710997j -0.00349469-0.0152925j 0.00030155+0.0533254j -0.00912988+0.0204982j 0.0136633+0.00823142j 0.0281252+0.0165384j -0.00337307+0.0034225j -0.00916081+0.0215251j 0.00982319+0.0685457j -0.0169653+0.047605j -0.0335898+0.0499501j 0.01039+0.0103898j -0.0527173+0.0291547j -0.0132873+0.0389455j -0.0235462-0.0128643j 0.0150672+0.000807417j 0.0304551+0.0484435j 0.0197046+0.0114779j 0.0352007+0.085381j 0.0156356+0.012526j -0.0576544+0.0430297j 0.0318106-0.00126402j 0.0215347+0.162222j 
0.01845-0.00187347j 0.00551473-0.026415j 0.0239893+0.00309164j 0.0145482+0.0176964j 0.01349-0.0055347j 0.0124122-0.0138167j 0.00254223-0.0346414j -0.00601912-0.00260309j 0.0212384+0.0156465j -0.0125001+0.0554007j -0.033081+0.0386609j -0.00795981+0.0281228j -0.00168201-0.00571403j -0.00731736+0.0199935j 0.0274807+0.00831734j -0.00841017-0.00344987j -0.00351466+0.0357742j 0.0147005-0.0236334j -0.0450888+0.0256555j -0.117253+0.0232663j 0.0149507+0.00365565j -0.0198214+0.0556563j -0.00101683-0.0553436j 0.057253-0.014839j 
0.0147645+0.00137474j 0.0129207-0.014051j 0.0116443+0.0128229j -0.0203-0.0173478j -0.0156028-0.0399441j 0.00396785+0.00776721j -0.0285614+0.0144352j 0.00865437-0.0138256j -0.0106647+0.00203239j -0.0203269+0.0176097j -0.0408552-0.0313691j -0.00400051+0.0104076j -0.0168099+0.00372573j -0.0190843-0.0733412j 0.0270342+0.0123115j -0.0122277-0.0155596j 0.0556111+0.0552534j 0.00807597+0.00494394j -0.0174088+0.0189562j 0.136119+0.0143759j 0.0182397+0.00190201j -0.0338055-0.0375007j -0.0276601-0.0751288j 0.0248157+0.0149918j 
-0.00244453+0.032873j 0.0162445+0.0122955j -0.0134296+0.0166175j 0.00239112+0.00712133j -0.0220715-0.00477181j 0.00557811-0.02243j -0.0080032+0.00681355j -0.00939705-0.00437205j -0.0130116-0.00243062j 0.00075904+0.0378853j -0.00322173+0.0375039j 0.00338054+0.00377202j 0.0359431+0.00589571j 0.00485064-0.0115015j 0.0114907-0.0200251j 0.00236426-0.00304499j -0.106978+0.0176144j 0.000339252+0.00553974j -0.00745006+0.0430344j -0.0372439+0.0187398j 0.0119346-0.00407002j -0.00372359+0.0183222j -0.016749+0.0119541j 0.0253497-0.0222982j 
0.00156829-0.00149938j -0.000386018+0.0205806j -0.0209566+0.000131871j -0.00888718+0.010216j 0.0215414-0.034047j 0.0338071+0.0203906j -0.0306651-0.0351911j 0.0291127-0.024643j 0.0121518-0.0138662j -0.00557046+0.0021302j 0.0151212-0.00918709j -0.000108403+0.00881255j -0.00974078-0.0202907j -0.0280778+0.00120279j -0.00726114-0.018141j 0.00597752+0.000560289j -0.0350411-0.0228097j 0.0150056+0.010503j 0.0114384+0.00255065j 0.0168544+0.0081175j -0.00678419-0.0319981j -0.0110763-0.00279783j 0.00999004+0.016185j 0.00646071+0.00412768j 
-0.031066+0.0281345j -0.00744914-0.014234j 0.0105882-0.00495957j -0.0077786-0.0162753j 0.00457241-0.0136245j -0.0026082+0.00607969j -0.00922546-0.0121553j 0.00508847-0.00536316j 0.00692378+0.0056538j -0.0312653+0.00515399j -0.0344376-0.0300132j 0.00652775+0.0145431j -0.0494366-0.0257885j -0.0129017-0.00666352j 0.0308695+0.00799686j 0.00235294-0.00509023j 0.0669551+0.0309165j -0.000226378-0.00435882j -0.0344649-0.0104914j 0.0222119+0.00853742j 0.00433738-0.0234286j -0.0117623-0.00216641j -0.0282037-0.0372095j 0.0259662+0.00904901j 
0.00108558+7.23067e-05j 0.0236405-0.000695563j -0.00096173+0.023388j -0.0176628-0.0081025j 0.0308544+0.0204621j -0.0218021+0.0364521j 0.0342001-0.0318543j 0.0259451+0.0302079j 0.0143923+0.0188734j 0.0058439-0.0145604j -0.0047649+0.0289977j -0.00406456-0.000207531j -0.0203482+0.0110528j -0.00706518-0.029755j 0.0125109-0.00153708j -0.00184417+0.011254j -0.0392639+0.0175971j -0.0100794+0.00857921j 0.00105813+0.0102682j 0.0198281-0.0176686j 0.01152+0.010088j 0.00404932-0.00811045j -0.0124717-0.00410523j -0.00672696-0.00407116j 
