-0.00363817-0.00742501j 0.00778366-0.00151407j 0.00380585-0.00483258j 0.00658819+0.00749894j -0.00349673+0.00157279j 0.00259069-0.00110406j 0.00847394+0.0072642j -0.00317919+0.00765364j -8.23513e-05+0.00308747j -0.00516939-0.000485147j 0.00230688+0.00322711j -0.00910301-0.00202229j -0.000266771-0.00747573j 0.00407854-0.00290409j -0.00261839+0.00218754j -0.00229416-0.00280673j 0.00432963-0.00205359j -0.00213329+0.000125229j 0.00419014-0.00218791j 0.00115318-0.000109226j 0.000141097-0.00199074j 0.000777602+0.00512195j -0.00497773+0.00293029j -0.000389656+0.00308391j 0.000823475+9.08805e-05j -0.00132265+0.00395827j 0.000991186+0.0024562j -0.000105485-0.000814885j 0.00101741-0.00838903j -0.00038583+0.00239904j 0.00119629-0.00241731j -0.00201432-0.0010303j -0.000110082+0.00144251j -0.00360548-0.000474281j -0.00604456-0.00395906j -0.0025158-0.00321958j -0.00492767-0.00522882j 0.00440689+0.000602535j 0.000389+0.00217053j -0.0048312-0.00183588j 0.000179117-0.00199654j -0.00146387+0.0041666j -0.00029158-0.00493709j -0.00120628-0.00871472j -0.0109571+0.00610875j -0.00296468+0.00739461j -0.00408521-0.00169245j 0.0133008-0.00815409j -0.00271498-0.00274844j -0.00196546-0.0268353j -0.00643897-0.00282007j 0.00180592+0.0298938j -0.00570295-0.0369124j -0.00112414-0.00909528j -0.0413088-0.0462955j -0.0350544+0.0489135j 
0.00839482-0.000910959j 0.003544+0.00791878j 0.00575886+0.00677478j -0.00652846+0.00278047j 0.0011133-0.0026395j 0.0049271+0.00513355j -0.00411687+0.00413416j -0.00185174-0.00378328j 0.000745297+0.00158j -0.0023337-0.000831451j -0.00701098+0.00325021j -0.0033634-0.00766235j 0.00318214-0.00132346j 0.0016809+0.00280428j -9.62288e-05-0.00138076j 5.63732e-05-8.50833e-05j 0.00153324+0.00413983j -0.00112429-0.00304535j 0.00246041+0.00410221j -0.00375209+0.0043498j 0.0063201+0.00129145j -0.00168941+0.000720366j -0.00634808-0.00599251j -0.000667054+0.000875253j 0.000566829-0.000555345j -0.00133358-0.00154355j -0.00339933+0.00208294j 0.000932151+0.00078698j 0.00482818+0.00129933j -0.0034058+0.000822805j 0.00509645-5.67227e-05j -0.000597234-0.00309073j -0.00344593-0.000843038j 0.00507476-0.00130521j 0.00126454-0.00421614j 0.00713715-0.00160702j -0.00153505-0.00268736j -0.00181495-0.00110893j -0.000647925+0.00115317j -0.00397981-0.00948818j -0.00157781+0.000360272j -0.00496828-0.00110476j 0.00193575-0.00169336j 0.00365816+0.000443272j 0.00292288-0.00838722j -0.0145948+0.00899783j 0.0100363-0.00168119j -0.00197503+0.00258814j -0.00728375-0.000607966j -0.000132708-0.00320568j 0.00290475+0.0400389j 0.0109159-0.00304385j -0.000183904-1.63879e-05j -0.0145236-0.0410347j 0.0358929-0.0479385j -0.0398569-0.0457516j 
0.00683912-0.000549652j 0.00407557+0.00600055j 0.00048497+0.00455867j -0.00581212-0.00409257j 0.00877306+0.0041275j 0.00502906-0.000113643j -0.00287383-0.00153084j 0.00870827-0.00481216j -0.00825606-0.0063459j -0.000124591+0.00262416j -0.0049489+0.00767747j -0.00448953+0.00448784j -0.00402455+0.00550997j -0.00385649+0.00470984j 0.0028229-0.00347753j 0.00178361+0.000267546j -0.00515095+0.00303843j 0.00356567-0.000386554j 0.00465989+0.00385395j 0.0043491+0.0071095j 0.00309922-0.00753434j -0.0022769-0.0106935j -0.00428843+0.000940524j -0.000671266-0.00593467j -0.00358932+0.00167977j 0.00183356-0.0044953j 0.00208755-0.00136773j 0.00453911+0.00148111j -0.00190088+0.00492698j -0.00306277+0.00102324j -0.00064328-0.00234124j 0.00394301+0.00209537j 0.00594637+0.00242141j 0.00242233-0.00948434j 0.0061442+0.00905189j 0.00239295-0.0057688j 0.00112096+0.0122815j -0.00119731+0.00777708j 0.000964818-0.00694133j -0.00100776+0.0113615j -0.000449576-3.56223e-05j 0.00160054-0.00962855j -0.000521164+0.00909411j 4.85276e-05+0.0118005j -0.01271-0.0186089j 0.000397156-0.0012724j -0.00768514+0.00760596j 0.0140721+0.00462492j -5.98876e-05+0.025538j -0.00311981-0.0282825j -0.0119241-0.0104415j -0.00579519-0.01304j -0.0359294-0.0480885j -0.0269282+0.0558632j 0.00401476+0.000974399j -0.00785036-0.00799024j 
-0.00150764-0.00517118j 0.00807661+0.000735226j -0.000130384+0.00208856j -0.00394888-0.000902132j 0.00850683+0.0013939j 0.000608525-0.00410626j 0.00433613+0.00321308j 0.00235853-0.00501377j -0.00717576+0.00139406j 0.000643803-0.00112091j 0.00476345+0.00805145j -0.00717223+0.00208003j -0.00075728+0.00236749j 0.00151787+0.00697585j -0.0040102-0.00174907j -0.00243507-0.00214762j 0.00466743+0.000532669j -0.00196583-0.0040032j 0.00146955+0.000193901j 0.000921125-2.79906e-05j -0.000347646-0.00252553j -0.00374279-0.00250975j -0.00438762-0.0012762j -0.00663323+0.000639474j -4.6501e-05+0.00235729j 0.000550825-0.00389058j -0.00485021+0.00160577j -0.00138957-0.000735875j -0.000150488+9.8469e-05j -0.00187865+0.00336494j 0.00395003+0.00107848j 0.00275042-0.0057476j 0.00034077-0.0071636j -0.00131056+0.00177369j 0.00247404-0.00191394j 0.000473986-0.00273029j 0.000461099+0.00969529j 0.0100353-0.0105959j -0.00300876+0.000187855j 0.00408748-0.00774155j -0.00110668-0.00100717j -0.0135885-0.0088976j 0.010544-0.00187729j -0.00151623-0.00145159j 0.00607023-0.0045107j 0.0133913+0.0251387j -0.00703196+0.0213481j -0.00254697+0.00324709j 0.006455-0.002118j 0.0142311+0.0359065j 0.00774533-0.0126267j 0.0189701+0.0516107j -0.0414642+0.0383045j 0.0231824+0.0250834j -0.00433924-0.00955602j -0.00177079-0.00340076j 
0.00170203-0.00110251j 0.00432685+0.00289884j 0.00529049+0.000308683j 0.00238213+0.00294348j -0.00453335-0.00316399j 0.0032231+0.00269458j 0.00160445-0.0017905j -0.0031575+0.000921061j 0.00165608+0.00440367j -0.00283787+0.000250378j -0.000912435-0.00834684j -0.00510399-0.00227217j -0.00106497+0.000136182j 0.000387829-0.00304524j 0.000486542-0.00248901j -0.000296451+0.000941673j 0.00410401+0.00671971j -0.00130385+0.000868518j 0.002219-0.0053718j 0.00270114-0.00622716j 0.0013966+0.00271441j 0.00300279+0.00354776j -0.00239421+0.00177389j 0.0041732+0.000373586j 0.000192651-0.00169144j 0.000935532+0.00115414j 0.00181474-0.00362005j -0.000571987-0.00558141j 6.15502e-05+0.000568061j 0.00125812-0.00364307j -0.00249535+0.00496684j -0.00404376+0.00074315j -0.00162533-0.000124084j -0.00406795-0.00156859j -0.00635128-0.00052081j -0.0017757+0.00309531j -0.0102507-0.0100204j 0.0015286+0.00624842j 0.00323499+0.00111911j -0.00656391-0.000240034j -0.00290762-0.00824963j 0.00108189+0.0105219j -0.00178476+0.00115294j -0.00172187+0.000288237j -0.00791715+0.00594477j -0.0012945-0.0164095j -0.00498692+0.0120137j 0.00440416+0.00147435j 0.00375859+0.00180512j 0.00475182+0.00815873j 0.0147375+0.00876729j -0.0161326+0.00253577j -0.00559509+0.0277543j -0.0562855-0.0100237j -0.0411195-0.00150012j -0.0149005+0.00337382j 
-0.00367523-0.00211586j -0.000623815-0.00109966j -0.00242121-0.00213113j 0.00690639+0.00307311j -0.00132681-0.00170711j 0.000230598+0.00371698j 0.00423697-0.000122705j 0.00429622-0.000878747j 0.000231566-0.00325843j -0.000654722-9.79756e-05j 0.00209119-0.00240115j 0.000380789-0.00185583j -0.00516385-0.000890567j -0.00176667+0.00162371j 0.00339184+0.000207j -0.000224824+0.000317193j -0.00342724+0.00198797j 0.00179117+0.00120458j -0.000999372+0.00146623j 0.00179346+0.000971516j -0.00416919-0.00291711j 0.0028817+0.00129128j 0.00447866-0.00120698j 0.00402506-0.0015306j 0.000454562+0.0010555j 0.00106532-0.00112339j 0.00419001+0.000161103j -5.06286e-05+0.00354716j -0.00724491+0.00145389j 0.00187919-0.00452545j -0.00282852+0.00333882j 8.59192e-05+0.00113716j 0.00181437+0.00444178j -0.00485584-0.00272804j 0.00192822-0.00134587j -0.00330366-0.00371911j 6.28586e-06+0.00245323j -0.000445217-0.00128671j 0.0005844-0.00304226j 0.00455997+0.00506237j -0.00472234-0.010229j 0.00506277+0.00453567j -0.00136027+0.0105833j -0.00635656-0.000898827j -0.00547889-0.016835j 0.00415958-0.00740676j -0.00638525-0.00793597j -0.001233+0.011896j 0.000456617+0.00717996j -0.0180841-0.00646205j 0.000222089+0.00946276j -0.00488892-0.00570152j -0.0537238-0.0143012j 0.00969596-0.0356079j -0.0146764+0.00592135j 0.0421505+0.00429875j 
-0.00487473+0.000184606j 7.09861e-06-0.00316245j -0.00138424+0.00114176j -0.00397886-0.0023997j 0.00510812-0.000800628j 0.00145341-0.00584713j 0.00552384+0.00370931j -0.000773591-0.00423831j 0.00359862-0.0014896j 0.00233712-0.00572218j 0.00700159+0.00462021j -0.00522541+0.000596595j -0.000395285+0.00472606j 0.0057712+0.00498985j -0.00634071-0.000247981j -0.00391568+0.00126814j 0.00120314-0.00963498j -0.00316959+0.00089134j 0.000854527+0.00535595j -0.00324605+0.00222987j -0.00010858+0.00171495j -0.003824-0.0060159j -0.00361734-0.00093882j -0.00966663+0.00205497j -0.00138808+0.000560429j -0.000264107-0.00432508j -0.00188069+0.00659371j 0.00265663+0.000578761j -0.00325084+0.00056025j -0.000145166+0.0100377j 0.00347056-0.0102269j 0.00488436-0.00438023j 0.00545252-0.00693169j 0.002929+0.000222593j -0.0020467+0.00211633j -0.00321345+0.00297826j 0.0102572+0.00847322j 0.00190976+0.00346148j -0.00198201-0.000135727j -0.00878691+0.000528375j 0.0170945+0.0257865j 0.00477655-0.0270909j -0.00705548-0.0170778j 0.00579373+0.00389609j -0.00394326-0.00201674j 0.0068371-0.00370429j 0.00528291-0.0176613j -0.007467+0.00899306j -0.0118522-0.0310749j -0.0188806+0.00158413j -0.0103791-0.0497527j 0.0428563-0.0257116j -0.00431378+0.00852552j -0.00724693-0.0016298j -0.0191294-0.00155315j 0.00123568+0.0084404j 
-0.00412676+0.000446036j -0.00192759-0.00318872j -0.00384898-0.00473299j 0.00567341-0.00175661j -0.0015144+0.00729203j 0.00569551+0.0012894j -0.00200635+0.00376366j 0.00272563+0.00399414j 0.000114111-0.00529325j 0.00033168-0.00760035j 0.00112063+0.00313975j -0.00471913+0.000767818j 0.0003026-0.000879761j 0.00711408+0.00552952j 0.00530046+0.00929976j 0.00431878-0.0074226j -0.00380008-0.00734081j -0.00365856+0.000380894j 0.00149539+0.0094169j -0.000127837-0.000129094j -0.00275668-0.00109055j -0.00111621-0.000756026j -0.00908009-0.00236318j 0.0030067-0.000520575j 0.00509827+0.00980348j -0.00844143+0.00158613j 0.00287873-0.00241225j 0.00188373+0.0145721j -0.000331431-0.00569921j -0.00288538-0.0054214j 0.00634081-0.00403117j -0.00116977-0.00415813j 0.00136121+0.00212105j 0.00122683+0.00520705j 0.00917011-0.0132522j 0.00798031-0.0103983j 0.00826224+0.00245639j -0.00945363-0.0217846j -0.00129335-0.00229485j 0.00808213+0.00288882j -0.00543161-0.00753259j -0.00183962-0.0160111j 0.0054334+0.0231585j -2.03024e-05-0.0119084j -0.00460131-0.0279151j -0.00824187-0.0234477j -0.0090257-0.00492122j 0.00280674-0.0242992j 0.000758002+0.0410016j -0.0380643-0.0361651j 0.0322475-0.0275681j -0.00217611+0.0202465j 0.00582082+0.00565647j -0.0128665-0.00478546j -0.00285569-0.00826419j -0.00860148+0.00489394j 
-0.00161202-0.00487152j 0.0096384+0.000500241j 0.0023784+0.000577386j -0.00421174+0.00102873j 0.00054028-0.00216564j -0.00601744+0.00198928j -0.00136005-0.00331137j 0.000235369-0.000955412j -0.00541268+0.00386776j 0.00514572+0.00365026j 0.00431399+0.00134886j -0.00194308+0.00243238j -0.00506615-0.00145357j -9.85963e-05+0.00401197j -0.00199587+0.00207413j 0.00111365+0.000141311j 0.00754622+0.000466983j -0.000103343-0.003978j -0.000514844+0.00303836j 0.00394384+0.00137155j -6.33352e-05-0.00670242j -0.00141509+0.00236324j 0.000688974-0.00120337j 0.00513918-0.000268922j -0.000622959+0.00351278j -0.00755878-0.00714559j 0.000994+0.00240606j -0.00233625+0.0112232j 0.000955747+0.00250183j 0.00140098-0.00431198j 0.00299282+0.0106899j -0.00377633+0.00219175j -0.0129028+0.00722429j -0.0141048+0.000611683j -0.00317894+0.0018634j -0.00326554-0.00806606j 0.0139146+0.0106001j -0.00228295-0.0101442j -0.00575121-0.0120039j 0.00220103-0.00175837j -0.00154684-0.0301554j 0.00229112+0.00116513j 0.00146843-0.00223345j -0.00405669+0.0125081j -0.0158218+0.00415544j -0.00273701-0.0185253j -0.015665-0.0400971j -0.0226186-0.00797326j -0.00352132-0.0305792j 0.0302852-0.0516317j 0.0313048+0.0133419j 0.00550871-0.00768883j 0.00425889-0.000422383j 0.0116483+0.0101641j -0.000244521-0.00597673j -0.00839325-0.0060104j 
0.000356624+0.00138224j 0.000368046+0.000685323j 0.001784+0.000338012j -0.00263421-0.000341703j -0.000316654+0.00253757j -0.00119464-0.00431199j 0.000308277+0.000581683j 0.00205826+0.00672454j 0.000792761+0.000206629j -0.000255007-0.000501489j -0.00225975+0.00338708j -0.00118692-6.33826e-05j -0.00252572-0.00291379j 0.000257745-0.00119534j -0.00330777+0.00222143j -0.000246782+0.00248676j -0.00529744-0.00806916j 0.00452569+0.00196279j 0.00649197+0.00300337j 0.00117153+0.00581655j 0.00340286+0.000385843j -0.00633401-0.0027654j -0.00205173-0.00300995j -0.00173094+0.00767358j -0.00205715-0.00139521j -0.000549012-0.00224444j 0.00095474+0.00710861j 0.00803929-0.000764172j -0.00266466-0.00122624j 0.0014813+0.00609982j -0.00389096-0.00362936j 0.00712692-0.00385943j 0.000499147-0.00173639j -0.000353613+0.00457632j 0.0093503+0.00379908j -0.00034914+0.00492794j 0.0127571+0.00875261j -0.000530809+0.00383176j -0.00625568-0.00263701j 0.0004503-0.00976789j 0.000195778-0.0119044j 0.00560845+0.0191358j -0.00924936-0.0109309j 0.00510541-0.00695147j -0.0153622+0.0110547j -0.0130551-0.00719423j -0.00664498-0.0119733j 0.0167888+0.0157164j -0.0289581-0.0311873j -0.035099+0.00831055j -0.00867395+0.00811295j -0.0620786-0.0103677j -0.034457+0.0133716j 0.0131717+0.00836252j 0.00962982-0.0063125j -0.00796695-0.000288747j 
-0.00264469+9.12746e-06j -0.00136928-0.00341318j 0.00047099+0.00117844j 0.00254413+0.00609489j -0.00346842-0.00549775j -0.00431203-0.000236251j 0.00640454+0.000409855j 0.000226673-0.00147876j 0.00507964-0.00180898j -0.00133787+0.00423916j -5.58042e-05+0.00768556j -0.00127607-0.00155545j -0.00397802+0.000151841j 0.00313342+0.000152882j -0.00629058-0.00304565j 0.00018993+0.00472689j -0.00614862-0.00333622j 0.00352414+6.00245e-05j 0.003099+0.00857827j -0.00297862+0.0100744j 0.00509437-0.000670695j -0.000505476-0.00317657j 0.000938021-0.00508674j 0.00403384+0.00214429j -0.00158114-0.00150456j -0.00285653-0.00708071j 0.00437404+0.00286313j 0.00317912-0.00130855j -0.00636903+0.00533244j 0.00342516+0.00945953j -0.0037362+0.000554903j 0.00512544-0.00281987j -0.0106099-0.000372101j 0.00547809+0.0038415j 0.00342487+0.00394107j 0.000999002+0.00268203j 0.00867293+0.0188873j -0.00755044+0.0142141j 0.00529709-0.00379324j -0.0148349-0.0203691j -0.00650851-0.00615041j 0.00572119+0.00851186j -0.0183424+0.0109257j -0.00928559+0.0126975j 0.00324372+0.00914243j -0.00121886+0.00156088j -0.00654055-0.0333895j 0.00197626+0.0119864j -0.0597246+0.0220528j 0.031181+0.0111286j -0.00752022-0.00701946j 0.00238705+0.018395j 0.0250567-0.00121538j -0.0157697-0.0102831j 4.27351e-05-0.00510526j 0.00703679-0.0016633j 
