-0.0646069-0j -0.00657323-0j -0.00664135-0j -0.00378315-0j -0.000546051-0j -0.00468141-0j -0.000675703-0j -0.00273082-0j -0.00039416-0j -0.0026667-0j -0.000471411-0j -0.00311115-0j -3.92842e-05-0j -0.00190518-0j -0.000549979-0j -0.00272226-0j -0.000336792-0j -4.58316e-05-0j -0.00112287-0j -2.8066e-05-0j -0.000481232-0j -0.000198498-0j -4.01026e-05-0j -1.65415e-05-0j -0.00205914-0j -0.00034319-0j -0.00232604-0j -0.00021016-0j -4.28987e-05-0j -0.00189921-0j -2.52783e-06-0j -0.000387674-0j -0.00191889-0j -0.000237401-0j -0.00166181-0j -0.000316535-0j -4.84593e-05-0j -0.00137092-0j -0.000193837-0j -0.000319815-0j -2.85549e-06-0j -0.000438016-0j -3.95668e-05-0j -0.000276968-0j -0.000195846-0j -0.000169607-0j -3.99768e-05-0j -0.000228487-0j -2.3315e-06-0j -3.4621e-05-0j -0.000139919-0j -7.30026e-05-0j -2.35566e-06-0j -4.47048e-05-0j -2.04006e-06-0j -2.85608e-05-0j -9.12533e-06-0j -1.68296e-06-0j -5.37715e-07-0j 
0.0104259-0j -0.0500155-0j -0.0505338-0j 0.000610503-0j -0.00839788-0j 0.000755459-0j -0.0103918-0j 0.000440685-0j -0.00606191-0j 0.000430337-0j -0.00358695-0j 0.00050206-0j -0.000909416-0j 0.000307448-0j -0.00418477-0j 0.000439302-0j -0.00256264-0j -0.00106098-0j 0.000181203-0j -0.000649718-0j -0.00366167-0j -0.00151036-0j -0.000928362-0j -0.00038293-0j -0.0642746-0j -0.00261132-0j -0.0726059-0j 3.39144e-05-0j -0.000659752-0j -0.0592824-0j -7.81605e-05-0j -0.0029498-0j -0.0598968-0j 3.83104e-05-0j -0.0518721-0j -0.0024085-0j -0.00074527-0j -0.0427923-0j 3.12803e-05-0j -0.00243346-0j -8.82917e-05-0j -0.0136724-0j -0.00060851-0j -0.00210744-0j 3.16045e-05-0j 2.73703e-05-0j -0.000614816-0j -0.00173855-0j -7.20899e-05-0j -0.000532446-0j 2.25793e-05-0j -0.000555474-0j -7.28369e-05-0j 7.2142e-06-0j -6.30786e-05-0j -0.000439246-0j -0.000140341-0j -5.20372e-05-0j -1.66261e-05-0j 
0.0085127-0j 0.000866099-0j 0.000875074-0j -0.0476566-0j 7.19485e-05-0j -0.0589721-0j 8.90317e-05-0j -0.0344004-0j 5.19352e-05-0j -0.0507248-0j -0.00593839-0j -0.059179-0j 5.17615e-06-0j -0.0362396-0j -0.00692813-0j -0.0517816-0j -0.00424259-0j 6.03884e-06-0j -0.0213588-0j 3.69802e-06-0j -0.00606211-0j -0.00250049-0j 5.28399e-06-0j 2.17953e-06-0j 0.000271315-0j -0.00652801-0j 0.000306483-0j -0.00532249-0j -0.000540398-0j 0.000250243-0j 3.33071e-07-0j -0.00737417-0j 0.000252836-0j -0.00601239-0j 0.000218962-0j -0.00602098-0j -0.000610445-0j 0.000180635-0j -0.0049091-0j -0.00608338-0j 3.76244e-07-0j 5.77136e-05-0j -0.000498426-0j -0.00526836-0j -0.00495997-0j -0.00429546-0j -0.000503591-0j -0.00434618-0j 3.07202e-07-0j -0.000436123-0j -0.00354358-0j -0.00138862-0j 3.10385e-07-0j -0.00113219-0j 2.68801e-07-0j -0.000359783-0j -0.000114952-0j 2.2175e-07-0j 7.08502e-08-0j 
-0.0012287-0j 0.0119138-0j 0.0120372-0j -7.19485e-05-0j -0.0461653-0j -8.90317e-05-0j -0.0571267-0j -5.19352e-05-0j -0.0333239-0j 0.0073215-0j 0.000854417-0j 0.00854175-0j -0.0101781-0j 0.00523073-0j 0.00099682-0j 0.00747403-0j 0.000610425-0j -0.0118744-0j 0.00308288-0j -0.00727158-0j 0.000872217-0j 0.000359771-0j -0.0103901-0j -0.00428571-0j -3.9161e-05-0j -0.0897971-0j -4.4237e-05-0j -3.99685e-06-0j -0.00362683-0j -3.61194e-05-0j -0.00131908-0j -0.101437-0j -3.64937e-05-0j -4.51492e-06-0j -3.16045e-05-0j -0.0828227-0j -0.00409694-0j -2.60724e-05-0j -3.68642e-06-0j -0.083681-0j -0.00149005-0j -8.33024e-06-0j -0.00334514-0j -0.0724698-0j -3.72462e-06-0j -3.22562e-06-0j -0.0033798-0j -0.0597846-0j -0.00121662-0j -0.002927-0j -2.661e-06-0j -0.0191015-0j -0.00122923-0j -8.50202e-07-0j -0.00106455-0j -0.00241465-0j -0.000771492-0j -0.000878206-0j -0.000280591-0j 
-0.00106409-0j 0.00510468-0j 0.00515758-0j 0.0119765-0j 0.000857105-0j 0.0148201-0j 0.00106061-0j 0.00864507-0j 0.000618691-0j -4.39211e-05-0j -0.0703665-0j -5.12413e-05-0j 9.28168e-05-0j -3.13787e-05-0j -0.0820942-0j -4.48361e-05-0j -0.0502722-0j 0.000108286-0j -1.8494e-05-0j 6.63116e-05-0j -0.0718324-0j -0.0296294-0j 9.47505e-05-0j 3.90826e-05-0j -3.39144e-05-0j 0.000266517-0j -3.83104e-05-0j -0.0632728-0j -0.0129426-0j -3.12803e-05-0j 7.97722e-06-0j 0.000301063-0j -3.16045e-05-0j -0.0714742-0j -2.73703e-05-0j 0.000245817-0j -0.0146202-0j -2.25793e-05-0j -0.0583584-0j 0.000248364-0j 9.01123e-06-0j -7.2142e-06-0j -0.0119374-0j 0.000215089-0j -0.0589632-0j -0.0510636-0j -0.0120611-0j 0.00017744-0j 7.35764e-06-0j -0.0104452-0j -0.0421254-0j 5.66929e-05-0j 7.43389e-06-0j -0.0134593-0j 6.43793e-06-0j -0.00861685-0j -0.00275312-0j 5.31103e-06-0j 1.6969e-06-0j 
0.000125404-0j -0.0018303-0j -0.00184926-0j -0.000702049-0j 0.0144393-0j -0.000868741-0j 0.0178677-0j -0.000506765-0j 0.0104228-0j 5.17615e-06-0j 0.0125494-0j 6.03884e-06-0j -0.0479269-0j 3.69802e-06-0j 0.014641-0j 5.28399e-06-0j 0.00896572-0j -0.0559148-0j 2.17953e-06-0j -0.0342407-0j 0.0128108-0j 0.0052842-0j -0.0489254-0j -0.0201807-0j 3.99685e-06-0j -9.55601e-05-0j 4.51492e-06-0j -7.84077e-05-0j -0.108452-0j 3.68642e-06-0j -0.0127397-0j -0.000107947-0j 3.72462e-06-0j -8.85709e-05-0j 3.22562e-06-0j -8.81381e-05-0j -0.12251-0j 2.661e-06-0j -7.23179e-05-0j -8.90514e-05-0j -0.0143911-0j 8.50202e-07-0j -0.100029-0j -7.71208e-05-0j -7.30673e-05-0j -6.32781e-05-0j -0.101065-0j -6.36214e-05-0j -0.0117503-0j -0.0875251-0j -5.22018e-05-0j -2.03274e-05-0j -0.011872-0j -1.66787e-05-0j -0.0102815-0j -0.0722045-0j -0.0230697-0j -0.00848179-0j -0.00270997-0j 
-5.72388e-06-0j 0.000139624-0j 0.00014107-0j -3.3517e-07-0j -0.00222005-0j -4.14752e-07-0j -0.00274717-0j -2.41939e-07-0j -0.00160252-0j -2.36258e-07-0j 1.00133e-05-0j -2.75634e-07-0j 0.0228313-0j -1.68791e-07-0j 1.16822e-05-0j -2.4118e-07-0j 7.15388e-06-0j 0.0266366-0j -9.94816e-08-0j 0.0163115-0j 1.0222e-05-0j 4.21634e-06-0j 0.023307-0j 0.00961364-0j -1.82431e-07-0j 7.28978e-06-0j -2.06077e-07-0j -1.86192e-08-0j -0.000174411-0j -1.68261e-07-0j -0.138527-0j 8.23468e-06-0j -1.70005e-07-0j -2.10327e-08-0j -1.47229e-07-0j 6.72359e-06-0j -0.000197018-0j -1.21457e-07-0j -1.71731e-08-0j 6.79326e-06-0j -0.156483-0j -3.88062e-08-0j -0.000160865-0j 5.88314e-06-0j -1.73511e-08-0j -1.50265e-08-0j -0.000162532-0j 4.85334e-06-0j -0.127768-0j -0.000140757-0j -1.23962e-08-0j 1.55067e-06-0j -0.129092-0j -3.96064e-09-0j -0.111797-0j -0.000116118-0j -3.71003e-05-0j -0.0922276-0j -0.0294672-0j 
0.00102919-0j 0.00604367-0j -0.00589471-0j 0.00347837-0j 0.00050206-0j 7.45751e-05-0j 1.0764e-05-0j -0.00489114-0j -0.000705975-0j 0.00245187-0j 0.000433433-0j 4.95608e-05-0j 3.61194e-05-0j 0.0017517-0j 8.76119e-06-0j -0.00241622-0j 0.000309659-0j 7.30099e-07-0j -0.00302569-0j 2.58049e-05-0j -0.000427131-0j -0.000534871-0j -3.55942e-05-0j -4.45726e-05-0j 0.00189325-0j 0.000315542-0j 3.7054e-05-0j 0.000193229-0j 3.94427e-05-0j 0.0017462-0j 2.32418e-06-0j 6.17566e-06-0j -0.00170316-0j 3.78181e-06-0j 2.64726e-05-0j 0.000291034-0j 7.71958e-07-0j -0.00245544-0j 0.000178221-0j -0.000283861-0j 4.54881e-08-0j -0.00157602-0j 3.63792e-05-0j 4.41211e-06-0j -0.000173828-0j 2.70185e-06-0j -3.54826e-05-0j -0.000409239-0j 2.14367e-06-0j 5.51513e-07-0j -0.000250607-0j -0.000262671-0j -2.09083e-06-0j -0.000160852-0j 3.24982e-08-0j -5.11549e-05-0j -3.28338e-05-0j -3.01433e-06-0j -1.93475e-06-0j 
-0.000162729-0j 0.045057-0j -0.0439464-0j -0.000549979-0j 0.00756533-0j -1.17914e-05-0j 0.000162198-0j 0.000773357-0j -0.010638-0j -0.000387674-0j 0.00323134-0j -7.83624e-06-0j 0.000819258-0j -0.000276968-0j 6.53167e-05-0j 0.000382037-0j 0.00230858-0j 1.65601e-05-0j 0.000478403-0j 0.000585306-0j -0.00318436-0j -0.00398759-0j -0.000807345-0j -0.00101099-0j -0.000299349-0j 0.00235244-0j -5.85875e-06-0j -3.05522e-05-0j 0.000594346-0j -0.000276099-0j 7.04118e-05-0j 4.6041e-05-0j 0.000269294-0j -5.97956e-07-0j -4.18569e-06-0j 0.00216973-0j 1.16323e-05-0j 0.000388238-0j -2.81792e-05-0j -0.00211625-0j 1.37807e-06-0j 0.000249191-0j 0.000548183-0j 3.28933e-05-0j 2.74847e-05-0j -4.272e-07-0j -0.000534672-0j -0.00305097-0j 6.4943e-05-0j 8.31052e-06-0j 3.96244e-05-0j -0.00195827-0j -6.33423e-05-0j 2.5433e-05-0j 9.84543e-07-0j -0.000770832-0j -0.000494759-0j -9.132e-05-0j -5.86139e-05-0j 
-0.000128649-0j -0.000755459-0j 0.000736839-0j 0.0415688-0j -6.27575e-05-0j 0.000891219-0j -1.3455e-06-0j -0.0584522-0j 8.82469e-05-0j -0.000306483-0j 0.0051798-0j -6.19509e-06-0j -4.51492e-06-0j -0.000218962-0j 0.000104702-0j 0.000302027-0j 0.00370063-0j -9.12624e-08-0j 0.000378211-0j -3.22562e-06-0j -0.00510448-0j -0.00639205-0j 4.44928e-06-0j 5.57158e-06-0j 0.0457759-0j -3.94427e-05-0j 0.000895909-0j 0.00464257-0j 0.000471365-0j 0.0422206-0j -2.90523e-07-0j -7.71958e-07-0j -0.0411799-0j 9.08627e-05-0j 0.000640069-0j -3.63792e-05-0j 9.22539e-06-0j -0.0593687-0j 0.00428199-0j 3.54826e-05-0j -5.68601e-09-0j -0.0381059-0j 0.000434755-0j -5.51513e-07-0j -0.00417645-0j 6.49154e-05-0j -0.000424039-0j 5.11549e-05-0j -2.67958e-07-0j 6.59094e-06-0j -0.00602115-0j 3.28338e-05-0j 2.61354e-07-0j -0.00386468-0j -4.06228e-09-0j -0.000611334-0j -0.000392385-0j 3.76792e-07-0j 2.41844e-07-0j 
-8.57658e-05-0j -0.00050364-0j 0.000491226-0j -0.000289864-0j -4.18383e-05-0j -6.21459e-06-0j -8.96999e-07-0j 0.000407595-0j 5.88312e-05-0j 0.0591977-0j -3.61194e-05-0j 0.00119659-0j -3.00995e-06-0j 0.0422929-0j -7.30099e-07-0j -0.0583369-0j -2.58049e-05-0j -6.08416e-08-0j -0.073052-0j -2.15041e-06-0j 3.55942e-05-0j 4.45726e-05-0j 2.96618e-06-0j 3.71438e-06-0j -0.000157771-0j 0.00761842-0j -3.08783e-06-0j -1.61024e-05-0j -3.28689e-06-0j -0.000145517-0j -1.93682e-07-0j 0.000149105-0j 0.00014193-0j -3.1515e-07-0j -2.20605e-06-0j 0.0070267-0j -6.43298e-08-0j 0.00020462-0j -1.48518e-05-0j -0.00685351-0j -3.79067e-09-0j 0.000131335-0j -3.0316e-06-0j 0.000106526-0j 1.44857e-05-0j -2.25154e-07-0j 2.95688e-06-0j -0.00988065-0j -1.78639e-07-0j -4.59594e-08-0j 2.08839e-05-0j -0.00634191-0j 1.74236e-07-0j 1.34044e-05-0j -2.70819e-09-0j 4.26291e-06-0j 2.73615e-06-0j 2.51194e-07-0j 1.61229e-07-0j 
