0.328373-0.139949j 0.143993+0.336238j -0.184966-0.0997308j 0.0907103-0.270369j 0.163077-0.120194j 0.139371+0.0285575j 0.0428823-0.0259613j 0.137816+0.0162137j -0.16097+0.0271632j -0.050718-0.04204j -0.0535804+0.0960727j 0.0076132+0.0100198j -0.0713299-0.0175324j 0.164677+0.144858j -0.0622663-0.0150414j 0.0116667-0.0266654j -0.135482-0.116438j 0.0223081+0.177181j 0.116148-0.257736j 0.205677+0.0528891j 0.215253-0.263026j 0.260686+0.213566j 
0.0187221+0.0408064j -0.0417336+0.0202561j -0.0267522-0.0108779j 0.010386-0.042298j 0.0345268-0.026679j 0.000901081-0.00919998j 0.00938914+0.0171715j 0.0377487-0.0132572j -0.0403681-0.00609811j -0.00172064+0.0014227j 0.000485019-0.0149725j 0.00624972-0.00556434j 0.000779972-0.00917752j 0.0477574+0.032141j -0.007525-0.0246712j -0.00903738+0.0141776j 0.00706654-0.0244974j 0.0175487+0.0403668j 0.025916-0.0396874j 0.024583+0.00485069j -0.047305-0.0243183j 0.0228195-0.0481325j 
0.0208998-0.0363924j 0.0368013+0.0185766j 0.00757256+0.000420877j 0.00626162+0.0171927j -0.0167024+0.013871j 0.0154733+0.0140127j -0.00253829-0.0123345j -0.0187094+0.0114575j 0.019152+0.00566837j -0.00445958-0.0130136j -0.00154013+0.0174794j -0.000268874+0.0095835j -0.00214889-0.000311823j -0.0182334-0.00781497j -0.00195053+0.0150977j 0.0148964-0.0148977j -0.0086088+0.00340287j -0.0101882-0.0134419j 0.00143594-0.000126916j 0.00458942+0.0053055j 0.029474-0.00853602j 0.00889651+0.0287235j 
0.0112528-0.0154569j 0.0154387+0.0099471j 0.00739247-0.00355226j 0.00555916+0.0130948j 0.000443239+0.00923379j 0.00653035-0.00203861j -0.00429535+0.00393129j 0.000294229+0.00734683j 0.007335-0.00604179j -0.00781872-0.00601122j 0.00822355+0.0117931j 0.0143668+0.00267746j 0.00327333-0.00502866j -0.00634231+0.00959121j 0.00062582+0.00344497j -0.000374003-0.0147173j 0.00248348+0.00351895j -0.0100246+0.0115584j 0.0149299-0.0148507j 0.0254738+0.00824762j -0.0238202+0.0187717j -0.0183527-0.025116j 
-0.0204327+0.00719745j -0.0059155-0.0203212j -0.0196157+0.0175657j -0.0260982-0.0203854j 0.0078821-0.0164243j -0.0128927+0.00755695j 0.0117433+0.0152217j -0.00384107-0.0097078j -0.00234834+0.00076805j 0.010778+0.0117685j -0.0110214+0.00289196j -0.00704819-0.0139685j 0.00550015+0.00206393j 0.00417309-0.0126968j 0.00311669-0.00688732j -0.0220963+0.0163661j -0.00370744+0.00184217j 0.00527813+0.00688841j 0.0098166+0.0360006j -0.0380337+0.00868811j 0.0178085-0.000725853j 0.00115958+0.0189418j 
0.00873235+0.0228903j -0.0228894+0.0104452j -0.00442818-0.0236694j 0.0304653-0.00800911j -0.0115536+0.0145647j 0.00246154-0.00294626j -0.0200616-0.026535j 0.0035616+0.00161846j -0.00378025+0.0131495j -0.00655289-0.00262541j -0.0119796-0.0134619j -0.0147104+0.0192399j -0.0145793+0.00950353j -0.00200352-0.00120321j -0.00704935+0.00148412j 0.0308773-0.00857878j -0.00125322-0.0189478j -0.00399933-0.0332674j -0.0441041+0.000653445j -0.00766391-0.0358608j -0.0031494-0.0256041j 0.0248338-0.00197268j 
-0.0207063+0.00212292j -0.000565152-0.0171467j -0.0146384-0.0126018j 0.00548841-0.0192323j 0.00387745-0.00463773j -0.0129628+0.00797841j 0.0120136-0.0107639j -0.00294074+0.00225325j -0.0100298+0.00316737j 0.00293583+0.0150996j -0.014508-0.00402546j -0.0148065-0.0142292j -0.0110957+0.00455269j -0.00447501-0.0111092j -0.00231236-0.00211681j -0.00460966+0.0101746j -0.00615997-0.00460159j 0.00146316-0.00923166j -0.010528-0.00084275j 0.00336742+0.000997655j 0.0109363+0.00118222j -0.000689632+0.0128804j 
0.01312-0.00590051j 0.00408419+0.0111355j 0.0114458+0.00602584j -0.000303732+0.0135733j -0.00190037+0.000504j 0.00896783-0.00419714j 7.86041e-05+0.00612223j 0.00127411-4.05124e-05j 0.00216771-0.00381098j -0.00477487-0.00982012j 0.00767571+0.00359415j 0.00739875+0.00412546j 0.00387499-0.00713187j 0.00360512+0.00459054j 0.000418468-0.00246887j 0.00135705-0.000928596j 0.00365279-0.00336749j 0.00582497+0.00779961j 0.0115207-0.00393466j -0.00158517+0.000728873j -0.00452826-0.00430601j 0.0035647-0.00542593j 
0.00635045-0.00618993j 0.00269584+0.00527846j 0.015548-0.000881631j 0.008063+0.0149502j -0.00900374+0.000235377j 0.00434919-0.0183238j -0.00103826+0.00673369j 0.00244703-0.00666646j -0.00112193-0.00391519j -0.0132218-0.0130187j 0.0112243-0.00770878j 0.0134631+0.00218975j 0.000546316-0.00980172j 0.00903903+0.00134272j 0.00281577-0.00359591j 0.00538246-0.0034974j 0.00460363-0.00333685j 0.0138051-0.00297846j 0.00491735-0.000549336j -0.0166353-0.000413482j 0.00163845-0.00248811j 0.000779534+0.00121569j 
-0.0173899+0.019362j -0.0181318-0.015855j -0.000837526-0.00275819j -0.00261132-0.00106993j -0.0171874-0.0011232j -0.0054318-0.0206529j -0.0181245-0.0101162j 0.00933654-0.00911574j -0.00745202+0.00805661j 0.000795366-0.00761045j 0.0100171-0.0121874j 0.00819594+0.0105595j 0.00213306+0.00945618j -0.000290455+0.00680929j 0.00413739+0.00262447j 0.0155731-0.00745701j -0.00285378+0.0183666j -0.00246071-0.0121354j -0.00172926-0.000676262j -0.00126113+0.0137881j -0.0104041+0.0146854j -0.013673-0.0105156j 
-0.00983135-0.00731549j 0.00523529-0.0105843j 0.00368692+0.00827433j -0.00405423-0.00283927j 0.0109916-0.0114465j 0.0278631-0.00142091j -0.00817398-0.0110215j 0.0034049+0.0066581j -0.00986115-0.00712785j 0.00856914-0.0108439j 0.00264773+0.00768715j -0.0107674+0.0217091j -0.00838628+0.0131091j 0.00901545+0.00900896j -0.00125017+0.00201628j 0.016268+0.0069277j -0.00912292-0.0280152j -0.00551222+0.00745232j 0.00440315+0.00510612j -0.0143792-0.00816644j -0.00199807+0.0137724j -0.0145479-0.001744j 
0.00675668+0.00674476j -0.00727312+0.00702042j 0.00714896-0.0129218j 0.0163692+0.00552388j 0.015473-0.00400357j 0.015623+0.0173648j 0.0170109+0.00854243j -0.00791577+0.0271227j 0.0191425-0.00843428j 0.0159799+0.0136335j -0.00233442+0.0111258j -0.00426709+0.00646022j 0.0156314-0.00722711j -0.00798959-0.0265598j -0.011598+0.016236j -0.0200116+0.00431765j -0.0252401-0.00106523j 0.00791982+0.0212594j -0.0131975-0.00492438j 0.00461454-0.0189035j -0.00975508-0.0049409j 0.00463817-0.00943683j 
0.0101532-0.00512767j 0.00103218+0.00980732j 0.0165458+0.00320277j -0.00370892+0.0136142j 0.00422291-0.00207785j 0.000264285-0.0175323j 0.00406626+0.00775046j 0.00167587-0.00610966j 0.000565171-0.00974934j -0.0170391-0.000725964j -0.00255581+0.00463537j -2.27189e-06-0.00248531j -0.0126254-0.0135198j 0.00574903-0.00240198j -0.000227055-0.0118877j -0.00400616+0.00799294j 0.0144151-0.021496j 0.00858512-0.00361262j -7.8818e-05+0.0164805j -0.0243447-0.0122446j 0.000606364-0.0119661j 0.0101537+0.0017914j 
0.00524951+0.0102333j -0.0119216+0.00795696j 0.0159152-0.0121446j 0.00772052+0.0115952j -0.0039361-0.00670829j -0.00828829-0.0187057j 0.0105352+0.0132218j 0.00689375+0.00788347j 0.00343742-0.00327555j -0.00739403+0.00496336j 0.00257568-0.000204354j 0.0173145-0.00114526j 0.0121209-0.00955273j -0.0122232-0.0220439j 0.00158261+0.00141485j -0.00844162-0.000792758j -0.0223381+0.0116943j 0.0197809+0.000122143j -0.00815261+0.00586175j -0.016655-0.00278333j 0.00021118-0.00929336j 0.0092766+0.00204504j 
-0.00876582+0.0161126j -0.0126656-0.00950278j -0.0175863-0.00819386j 0.00696308-0.00813218j -0.0124523-0.00415549j -0.00120226+0.00713799j 0.00310132+0.00255308j 0.00225168+0.00534662j 0.00819859+0.00757632j 0.00658893-0.00577817j 0.00319818-0.00106112j 0.0118409+0.000409506j 0.0202499-0.00321256j -0.00888148-0.00739002j 0.00307756+0.0109304j 0.00115864-0.0119312j -0.0121898+0.0276062j 0.00524881-0.000122347j -0.00532886-0.00643593j 0.00968649+0.00188483j 0.000299544+0.00603559j -0.00498875-0.0010777j 
0.00413803+0.000253006j -0.00217713+0.00542157j 0.0117487+0.00822081j -0.00896908+5.36335e-05j 0.00878846+0.00331492j 0.00183466-0.010073j -0.00149875+0.000373084j 0.00426644+0.00275125j -0.00159325-0.00562803j -0.00272323+0.00390789j -0.00126595-0.00356133j 2.25267e-05-0.000120504j -0.00421499+0.000942742j -0.00279359-0.000303675j 0.00435474-0.000967571j -0.00333548+0.00280267j 0.000179077+0.000147412j -0.00141749-0.00250704j -0.00726953-0.000887202j 0.000832525-0.000670209j 0.00157592-0.000785101j 0.000337468+0.0028337j 
0.000441917-0.00573748j 0.00629197-0.00115271j -0.0067621-0.00279271j 0.00928918-0.00106361j -0.00188806+0.00105335j 0.00257501+0.0137671j 0.00289281+0.00107769j -0.00711873-0.00236643j 0.00329562+0.00188619j 0.0053422-0.00350844j 0.0041888-0.00237861j -0.00144519-6.88409e-05j 0.00302488+0.000973247j 0.00604833+0.00342623j -0.00354859+0.00389234j 0.00457993-0.00191112j 0.000761095-0.000875867j 0.000223907-0.000810697j 0.00529294-0.00405444j -0.0016406+0.00219278j -0.00010967-0.000693816j 0.00052556-0.00149238j 
0.00015624+0.00549677j -0.00692864+0.000119827j 0.00762285+0.00466457j 0.000130988+0.00167533j 0.00834788+0.00248449j -0.000742502+0.00370255j 0.00479571+0.00525907j -0.00132815-0.00146333j 0.0101502-0.00462466j 0.00823555+0.0125886j 0.00810123-0.0137064j -0.00499098+0.00305232j 0.00166323-0.00377691j 0.00733776+0.00210319j -0.00749587+0.00696138j -0.00402766+0.00356521j 0.00732139+0.00562325j -0.00402583-0.00686701j -0.00755564-0.00245427j -0.00421862+0.00246621j -0.00811833-0.00101354j 0.00037677-0.00862895j 
