-0.000746387-0j 0.00731482-0j -0.0347571-0j -0.035897-0j -5.36487e-07-0j 1.05087e-05-0j -9.82756e-05-0j -0.000101499-0j 2.29888e-09-0j -4.99488e-08-0j -5.15869e-08-0j 1.41664e-08-0j -4.49572e-07-0j 6.0292e-06-0j 6.22693e-06-0j 1.86527e-09-0j 1.92644e-09-0j 1.25915e-08-0j -2.73581e-07-0j -2.82553e-07-0j 7.91367e-09-0j 8.1732e-09-0j 
0.00537139-0j -0.0309701-0j 0.0698615-0j 0.0721527-0j -0.000241589-0j 0.00336368-0j -0.0207783-0j -0.0214597-0j 2.81541e-06-0j -4.57511e-05-0j -4.72516e-05-0j -2.90325e-07-0j 6.89087e-06-0j -6.56876e-05-0j -6.78418e-05-0j 1.12307e-06-0j 1.15991e-06-0j -2.58048e-07-0j 4.19335e-06-0j 4.33087e-06-0j -1.62182e-07-0j -1.67501e-07-0j 
-0.0108174-0j 0.0179244-0j 0.00847598-0j 0.00875395-0j 0.00345533-0j -0.0285074-0j 0.0851147-0j 0.0879061-0j 0.000862145-0j -0.0092879-0j -0.0095925-0j 3.07937e-06-0j -4.84538e-05-0j 0.000273695-0j 0.000282671-0j -2.42295e-05-0j -2.50241e-05-0j 2.73702e-06-0j -2.94859e-05-0j -3.04529e-05-0j 1.7202e-06-0j 1.77661e-06-0j 
-0.00101573-0j -0.00027542-0j -3.76695e-05-0j -3.89049e-05-0j -0.014033-0j 0.035702-0j 0.012055-0j 0.0124504-0j -0.0146599-0j 0.0776358-0j 0.0801819-0j -1.68664e-05-0j 0.000130461-0j -0.000227245-0j -0.000234698-0j 0.000200176-0j 0.000206741-0j -1.49913e-05-0j 7.93906e-05-0j 8.19943e-05-0j -9.42192e-06-0j -9.73092e-06-0j 
1.53968e-06-0j 2.04005e-07-0j 1.65526e-08-0j 1.70955e-08-0j -0.00124477-0j -0.000233245-0j -2.44322e-05-0j -2.52335e-05-0j 0.0574163-0j 0.0104171-0j 0.0107587-0j 3.26616e-05-0j 8.65521e-06-0j 1.11038e-06-0j 1.1468e-06-0j -0.000518285-0j -0.000535283-0j 2.90304e-05-0j 5.26701e-06-0j 5.43975e-06-0j 1.82455e-05-0j 1.88438e-05-0j 
-0.0204505-0j 0.0762893-0j -0.0739704-0j -0.0763963-0j -5.29612e-05-0j 0.000587252-0j -0.00269269-0j -0.00278099-0j 3.64936e-07-0j -4.93088e-06-0j -5.09259e-06-0j -0.000100875-0j 0.00199077-0j -0.0151133-0j -0.0156089-0j -1.3282e-05-0j -1.37176e-05-0j 1.99883e-06-0j -2.70075e-05-0j -2.78932e-05-0j 1.25626e-06-0j 1.29746e-06-0j 
0.0216426-0j 0.0128197-0j 0.00269269-0j 0.00278099-0j -0.0113316-0j 0.0612542-0j -0.0837206-0j -0.0864662-0j 0.000267093-0j -0.00214594-0j -0.00221631-0j 0.00123546-0j -0.0144982-0j 0.0536571-0j 0.0554168-0j -0.00477918-0j -0.00493591-0j -2.44806e-05-0j 0.000196687-0j 0.000203138-0j -1.53859e-05-0j -1.58905e-05-0j 
-0.000272731-0j -4.84538e-05-0j -4.93088e-06-0j -5.09259e-06-0j 0.0347977-0j 0.0135034-0j 0.00214594-0j 0.00221631-0j 0.0365777-0j -0.0935358-0j -0.0966034-0j -0.00586031-0j 0.0218883-0j 0.00581536-0j 0.00600608-0j 0.0461109-0j 0.0476231-0j 0.000116122-0j -0.000296945-0j -0.000306683-0j 7.29819e-05-0j 7.53753e-05-0j 
0.00642404-0j 0.00174191-0j 0.000238243-0j 0.000246056-0j -0.000984628-0j 0.00250504-0j 0.000845842-0j 0.000873582-0j 1.73104e-05-0j -9.16724e-05-0j -9.46788e-05-0j -0.00967652-0j 0.0748479-0j -0.130374-0j -0.13465-0j -0.00127409-0j -0.00131588-0j 9.4813e-05-0j -0.00050211-0j -0.000518577-0j 5.95894e-05-0j 6.15437e-05-0j 
-1.94756e-05-0j -2.58048e-06-0j -2.09376e-07-0j -2.16243e-07-0j 0.00383831-0j 0.000719225-0j 7.53381e-05-0j 7.78089e-05-0j 0.0040064-0j 0.000726884-0j 0.000750723-0j 0.037477-0j 0.00993127-0j 0.00127409-0j 0.00131588-0j -0.144973-0j -0.149728-0j -0.000367209-0j -6.6623e-05-0j -6.8808e-05-0j -0.000230789-0j -0.000238358-0j 
0.0592492-0j -0.098176-0j -0.0464248-0j -0.0479474-0j 0.0003167-0j -0.00261286-0j 0.00780124-0j 0.00805709-0j -2.73702e-06-0j 2.94859e-05-0j 3.04529e-05-0j -1.68664e-05-0j 0.000265393-0j -0.00149909-0j -0.00154825-0j -2.22077e-06-0j -2.2936e-06-0j 0.000907377-0j -0.00977519-0j -0.0100958-0j -9.42192e-06-0j -9.73092e-06-0j 
0.00963605-0j 0.00261286-0j 0.000357365-0j 0.000369085-0j 0.0433916-0j -0.110395-0j -0.0372755-0j -0.0384979-0j -0.00155167-0j 0.00821734-0j 0.00848683-0j 0.000160009-0j -0.00123767-0j 0.00215584-0j 0.00222654-0j -0.000618966-0j -0.000639265-0j -0.00860813-0j 0.0455869-0j 0.047082-0j 8.93842e-05-0j 9.23156e-05-0j 
-2.0657e-05-0j -2.73702e-06-0j -2.22077e-07-0j -2.2936e-07-0j 0.00828085-0j 0.00155167-0j 0.000162536-0j 0.000167867-0j -0.122685-0j -0.0222589-0j -0.0229889-0j -0.000438201-0j -0.000116122-0j -1.48974e-05-0j -1.53859e-05-0j 0.00344791-0j 0.00356099-0j 0.0235743-0j 0.00427711-0j 0.00441738-0j -0.000244789-0j -0.000252817-0j 
0.00149381-0j 0.000265393-0j 2.70075e-05-0j 2.78932e-05-0j 0.0031894-0j 0.00123767-0j 0.000196687-0j 0.000203138-0j -0.000116122-0j 0.000296945-0j 0.000306683-0j 0.0320982-0j -0.119887-0j -0.0318521-0j -0.0328967-0j 0.00422632-0j 0.00436493-0j 0.0384967-0j -0.0984432-0j -0.101672-0j -0.000399738-0j -0.000412848-0j 
8.00043e-05-0j 1.06004e-05-0j 8.601e-07-0j 8.88307e-07-0j 0.000536685-0j 0.000100564-0j 1.0534e-05-0j 1.08795e-05-0j 0.000275407-0j 4.99673e-05-0j 5.1606e-05-0j 0.00169715-0j 0.000449738-0j 5.76972e-05-0j 5.95894e-05-0j 0.00022346-0j 0.000230789-0j -0.184115-0j -0.033404-0j -0.0344995-0j 0.000948062-0j 0.000979154-0j 
-0.0918216-0j -0.0543893-0j -0.0114241-0j -0.0117988-0j -0.00163639-0j 0.00884565-0j -0.01209-0j -0.0124865-0j 1.89626e-05-0j -0.000152353-0j -0.00015735-0j 0.000116854-0j -0.00137128-0j 0.00507505-0j 0.00524149-0j 1.53859e-05-0j 1.58905e-05-0j 0.000103862-0j -0.000834474-0j -0.000861841-0j -0.00498674-0j -0.00515028-0j 
0.00163639-0j 0.000290723-0j 2.95853e-05-0j 3.05555e-05-0j -0.102646-0j -0.0398324-0j -0.00633008-0j -0.00653768-0j 0.00760161-0j -0.0194387-0j -0.0200762-0j -0.000783878-0j 0.00292779-0j 0.000777866-0j 0.000803377-0j 0.0030323-0j 0.00313175-0j -0.000696731-0j 0.00178167-0j 0.0018401-0j 0.0334521-0j 0.0345492-0j 
0.000116854-0j 1.54829e-05-0j 1.25626e-06-0j 1.29746e-06-0j 0.000783878-0j 0.000146884-0j 1.53859e-05-0j 1.58905e-05-0j 0.000402258-0j 7.29819e-05-0j 7.53753e-05-0j -0.111192-0j -0.0294654-0j -0.00378014-0j -0.00390411-0j -0.0146404-0j -0.0151205-0j 0.00220326-0j 0.000399738-0j 0.000412848-0j -0.105785-0j -0.109254-0j 
-0.0430937-0j -0.0116851-0j -0.00159818-0j -0.0016506-0j 0.00660509-0j -0.0168043-0j -0.00567408-0j -0.00586016-0j -0.000116122-0j 0.000614957-0j 0.000635125-0j -0.00071558-0j 0.00553501-0j -0.00964121-0j -0.00995739-0j -9.42192e-05-0j -9.73092e-05-0j -0.000636025-0j 0.00336826-0j 0.00347872-0j -0.000399738-0j -0.000412848-0j 
0.000130646-0j 1.73104e-05-0j 1.40454e-06-0j 1.4506e-06-0j -0.0257482-0j -0.00482471-0j -0.000505384-0j -0.000521958-0j -0.0268758-0j -0.00487609-0j -0.005036-0j 0.00277143-0j 0.000734419-0j 9.42192e-05-0j 9.73092e-05-0j -0.0107208-0j -0.0110724-0j 0.00246332-0j 0.000446921-0j 0.000461578-0j 0.00154818-0j 0.00159895-0j 
-0.00757499-0j -0.00134579-0j -0.000136953-0j -0.000141445-0j -0.0161732-0j -0.00627611-0j -0.000997387-0j -0.0010301-0j 0.000588845-0j -0.00150578-0j -0.00155517-0j 0.00362865-0j -0.013553-0j -0.00360082-0j -0.00371891-0j 0.000477778-0j 0.000493447-0j 0.00322524-0j -0.00824752-0j -0.008518-0j 0.00202704-0j 0.00209352-0j 
-0.00061971-0j -8.21105e-05-0j -6.6623e-06-0j -6.8808e-06-0j -0.00415714-0j -0.000778969-0j -8.15962e-05-0j -8.42722e-05-0j -0.00213329-0j -0.000387045-0j -0.000399738-0j -0.013146-0j -0.00348365-0j -0.000446921-0j -0.000461578-0j -0.00173092-0j -0.00178768-0j -0.0116845-0j -0.00211993-0j -0.00218946-0j -0.00734366-0j -0.0075845-0j 
