0.0116639+0.000542967j 0.00228899-0.0187437j 0.0102939+0.00427047j -0.00159711-0.00159639j -0.0130382+0.00464986j 0.0100985+0.00381016j -0.00417288-0.0129043j 0.00214541-0.000421075j -0.0108692-0.0045858j -0.010175+0.0138857j 0.00803034+0.00636661j 
0.0224367-0.0117062j -0.0135294-0.0376854j 0.0202924+0.00200551j -0.00407013-0.00053427j -0.025884+0.0174273j 0.019892-0.00165431j -0.014695-0.0256529j 0.00240418-0.00263247j -0.0246991+5.92483e-06j -0.00914314+0.0271677j 0.0143811+0.00521136j 
-0.0105435+0.0101919j 0.0154955+0.0204923j -0.0176427+0.00311882j 0.00228739+0.000557241j 0.0110606-0.0221006j -0.0144155+0.00343661j 0.0213066+0.0128885j -0.00200647+0.00137976j 0.0164271-0.00574365j 0.00410004-0.0267631j -0.015262-0.00448264j 
-0.00555353+0.00263857j 0.00210501+0.00526422j 0.00409936+0.0035061j 0.00189846-0.00104071j -0.000233501+0.00750688j -0.000577877+0.00449188j -0.0078564-0.00304433j 0.000464118+0.00225338j 0.000819097+9.01319e-05j -0.0113566+0.00418495j 0.00174101+0.00970773j 
-0.0156701+0.0152702j 0.0134869+0.0186099j 0.0109159+0.00298696j 0.00436016-0.00478889j 0.0141716+0.016823j 0.000127903+0.0119977j -0.021707+0.00728274j 0.00342367+0.00564809j 0.00702629-0.000105692j -0.0214107+0.0196585j 0.013754+0.0213128j 
-0.000443111-0.000666561j -0.000839843+0.000369256j -8.54609e-05+0.000202736j 0.000120541+0.000169349j -0.000486188+0.000544242j -0.000342087-0.000153197j -0.000316436-0.000625581j -0.00019255+6.65304e-05j -5.43457e-05+0.000354308j -0.000374576-0.000615761j -0.000634094+0.000266455j 
0.0116912-0.0202344j -0.0191655-0.015599j -0.0114941+0.000791287j -0.00297269+0.00611977j -0.0204491-0.0124896j -0.00341246-0.0117724j 0.0196375-0.0149972j -0.00512849-0.0046367j -0.0076228+0.00192853j 0.014744-0.0260497j -0.0203076-0.0167961j 
0.00159771+0.00521754j 0.00530276-0.00117327j 0.00303026-0.00234185j -0.000566971-0.0016892j 0.00555999+0.000306337j 0.00337042+0.00142626j -0.002558+0.00558494j 0.00185812-4.1646e-05j 0.000295679-0.00121205j 0.00141689+0.00895758j 0.00756365+2.67651e-05j 
