-0.0419928-0j -0.00663964-0j -0.0052491-0j -0.0034994-0j -0.000757642-0j -0.00087485-0j -0.000309306-0j -7.29041e-05-0j -7.73265e-05-0j -6.44388e-06-0j -2.40149e-07-0j -0.039256-0j -0.0061201-0j -0.00474061-0j -0.000684248-0j -0.00432757-0j -0.000765013-0j -0.000510008-0j -6.37511e-05-0j -0.00044168-0j -9.01576e-05-0j -4.50788e-05-0j -5.31259e-06-0j -6.50656e-06-0j -4.19997e-07-0j -1.32287e-08-0j 
0.042428-0j 0.00670845-0j 0.00530349-0j 0.00353566-0j 0.000765493-0j 0.000883916-0j 0.000312511-0j 7.36596e-05-0j 7.81279e-05-0j 6.51065e-06-0j 2.42638e-07-0j -0.0380927-0j -0.00593875-0j -0.00460014-0j -0.000663972-0j -0.00419933-0j -0.000742344-0j -0.000494896-0j -6.1862e-05-0j -0.000428592-0j -8.7486e-05-0j -4.3743e-05-0j -5.15516e-06-0j -6.31376e-06-0j -4.07552e-07-0j -1.28367e-08-0j 
0.00494579-0j -0.0367775-0j 0.000618224-0j 0.000412149-0j -0.00848251-0j -0.00484586-0j 3.64292e-05-0j -0.00122864-0j -0.000865742-0j -0.000145049-0j -8.12265e-06-0j 0.00462346-0j -0.0338997-0j 0.000558335-0j -0.00766079-0j 0.000509688-0j -0.00423746-0j -0.00282498-0j -0.00107438-0j 5.20198e-05-0j -0.0010094-0j -0.000249695-0j -0.000119584-0j -0.000109654-0j -1.18298e-05-0j -5.2227e-07-0j 
-0.0061201-0j 0.0455098-0j -0.000765013-0j -0.000510008-0j 0.0104966-0j 0.00599645-0j -4.50788e-05-0j 0.00152036-0j 0.0010713-0j 0.000179489-0j 1.00513e-05-0j -0.000113237-0j 0.00083027-0j -1.36747e-05-0j 0.000187628-0j -1.24832e-05-0j 0.000103784-0j 6.91891e-05-0j 2.63137e-05-0j -1.27407e-06-0j 2.47221e-05-0j 6.11551e-06-0j 2.92885e-06-0j 2.68563e-06-0j 2.89736e-07-0j 1.27914e-08-0j 
0.00357006-0j -0.0265474-0j 0.000446257-0j 0.000297505-0j -0.006123-0j -0.00349793-0j 2.6296e-05-0j -0.000886878-0j -0.000624926-0j -0.000104702-0j -5.86324e-06-0j -0.00647661-0j 0.0474872-0j -0.000782125-0j 0.0107314-0j -0.000713979-0j 0.00593591-0j 0.00395727-0j 0.00150501-0j -7.28702e-05-0j 0.00141398-0j 0.000349777-0j 0.000167516-0j 0.000153605-0j 1.65714e-05-0j 7.31604e-07-0j 
0.00302676-0j 0.000478573-0j -0.0359885-0j 0.00025223-0j 5.46094e-05-0j -0.00599808-0j -0.00640651-0j 5.2548e-06-0j -0.00106589-0j -4.418e-05-0j 1.73095e-08-0j 0.0028295-0j 0.000441126-0j -0.0325022-0j 4.93193e-05-0j 0.000311923-0j -0.00524502-0j 3.67605e-05-0j 4.59506e-06-0j -0.00608827-0j -0.000618132-0j -0.000933696-0j 3.82922e-07-0j -8.96886e-05-0j -2.87955e-06-0j 9.53497e-10-0j 
-0.000436876-0j 0.0065664-0j -5.46094e-05-0j -3.64063e-05-0j -0.0348604-0j 0.000865199-0j -3.21789e-06-0j -0.0102804-0j -0.00355792-0j -0.00183014-0j -0.00017147-0j -0.000408403-0j 0.00605259-0j -4.93193e-05-0j -0.0314834-0j -4.50222e-05-0j 0.000756573-0j 0.000504382-0j -0.00898968-0j -4.59506e-06-0j -0.0041483-0j 4.45815e-05-0j -0.00150884-0j -0.000917506-0j -0.000199504-0j -1.32421e-05-0j 
-0.00353122-0j -0.000558335-0j 0.0419866-0j -0.000294269-0j -6.3711e-05-0j 0.00699776-0j 0.00747426-0j -6.13059e-06-0j 0.00124354-0j 5.15434e-05-0j -2.01944e-08-0j -6.53366e-05-0j -1.01861e-05-0j 0.000750516-0j -1.13884e-06-0j -7.20268e-06-0j 0.000121114-0j -8.48844e-07-0j -1.06105e-07-0j 0.000140585-0j 1.42734e-05-0j 2.15602e-05-0j -8.84212e-09-0j 2.07102e-06-0j 6.64924e-08-0j -2.20174e-11-0j 
-0.00216242-0j -0.000341909-0j 0.0257114-0j -0.000180202-0j -3.90149e-05-0j 0.00428523-0j 0.00457703-0j -3.75421e-06-0j 0.000761512-0j 3.15637e-05-0j -1.23665e-08-0j -0.00202149-0j -0.000315155-0j 0.0232207-0j -3.52354e-05-0j -0.000222848-0j 0.00374723-0j -2.62629e-05-0j -3.28287e-06-0j 0.00434967-0j 0.000441615-0j 0.000667065-0j -2.73572e-07-0j 6.40766e-05-0j 2.05725e-06-0j -6.81211e-10-0j 
0.000509688-0j -0.00766079-0j 6.3711e-05-0j 4.2474e-05-0j 0.0406704-0j -0.0010094-0j 3.75421e-06-0j 0.0119938-0j 0.00415091-0j 0.00213517-0j 0.000200048-0j 9.43052e-06-0j -0.000139762-0j 1.13884e-06-0j 0.00072699-0j 1.03962e-06-0j -1.74702e-05-0j -1.16468e-05-0j 0.000207583-0j 1.06105e-07-0j 9.57893e-05-0j -1.02944e-06-0j 3.4841e-05-0j 2.11863e-05-0j 4.6068e-06-0j 3.05776e-07-0j 
0.000312119-0j -0.00469126-0j 3.90149e-05-0j 2.60099e-05-0j 0.0249055-0j -0.000618128-0j 2.29897e-06-0j 0.00734466-0j 0.0025419-0j 0.00130752-0j 0.000122504-0j 0.000291777-0j -0.00432418-0j 3.52354e-05-0j 0.0224928-0j 3.21654e-05-0j -0.000540522-0j -0.000360348-0j 0.00642254-0j 3.28287e-06-0j 0.00296369-0j -3.18506e-05-0j 0.00107797-0j 0.000655498-0j 0.000142533-0j 9.4606e-06-0j 
0.00308982-0j 0.000488543-0j -0.0367382-0j 0.000257485-0j 5.57471e-05-0j -0.00612304-0j -0.00653998-0j 5.36427e-06-0j -0.0010881-0j -4.51004e-05-0j 1.76701e-08-0j -0.00277411-0j -0.00043249-0j 0.0318659-0j -4.83538e-05-0j -0.000305817-0j 0.00514234-0j -3.60408e-05-0j -4.5051e-06-0j 0.00596908-0j 0.000606031-0j 0.000915418-0j -3.75425e-07-0j 8.79329e-05-0j 2.82318e-06-0j -9.34831e-10-0j 
