-0.0138732-0j 0.0386345-0j 0.00557641-0j -0.060107-0j -0.0106255-0j -0.000885459-0j -0.00572239-0j -0.00101159-0j -8.42988e-05-0j 
0.0434209-0j -0.0601435-0j -0.00868096-0j 0.0159252-0j 0.0028152-0j 0.0002346-0j -0.0171792-0j -0.00303688-0j -0.000253073-0j 
-0.052634-0j -0.00076742-0j -0.000110768-0j 0.0210401-0j 0.0037194-0j 0.00030995-0j 0.063359-0j 0.0112004-0j 0.000933366-0j 
-0.0607765-0j 0.0416486-0j 0.00601146-0j 0.0253077-0j 0.00447382-0j 0.000372818-0j -0.025069-0j -0.00443162-0j -0.000369302-0j 
0.0601532-0j 0.0429755-0j 0.00620298-0j 0.025069-0j 0.00443162-0j 0.000369302-0j -0.0237992-0j -0.00420714-0j -0.000350595-0j 
0.0736723-0j 0.00107416-0j 0.000155042-0j -0.02945-0j -0.00520607-0j -0.000433839-0j 0.0303883-0j 0.00537194-0j 0.000447662-0j 
-0.0652186-0j -0.0465945-0j -0.00672533-0j -0.0271801-0j -0.00480481-0j -0.000400401-0j -0.0269013-0j -0.00475553-0j -0.000396294-0j 
