-0.0652186-0j -0.00859331-0j -0.0105246-0j -0.00107416-0j -0.00124034-0j -0.000126591-0j -5.77808e-06-0j 
-0.00672533-0j -0.00088614-0j 0.0510089-0j 0.00520607-0j 0.0121508-0j 0.00186673-0j 0.000142404-0j 
0.00665635-0j 0.000877051-0j -0.0504857-0j -0.00515268-0j -0.0120262-0j -0.00184759-0j -0.000140944-0j 
-0.000400401-0j -5.27574e-05-0j 0.00613837-0j 0.000626494-0j -0.0336349-0j -0.0105208-0j -0.00161764-0j 
0.00277406-0j -0.0347238-0j 0.000447662-0j -0.00872665-0j 5.27574e-05-0j -0.00051153-0j 2.45769e-07-0j 
-0.00475553-0j 0.0595266-0j -0.00076742-0j 0.01496-0j -9.04413e-05-0j 0.000876909-0j -4.21318e-07-0j 
0.000686401-0j 9.04413e-05-0j -0.0105229-0j -0.00107399-0j 0.0576599-0j 0.0180357-0j 0.00277309-0j 
0.00384305-0j -0.0481047-0j 0.000620169-0j -0.0120895-0j 7.30876e-05-0j -0.00070865-0j 3.40477e-07-0j 
-0.000554696-0j -7.30876e-05-0j 0.0085038-0j 0.000867915-0j -0.0465962-0j -0.014575-0j -0.002241-0j 
