0.0118986-0.0408963j 0.0764835-0.0511033j 0.124647+0.0920636j 0.0113344-0.150109j -0.0807088+0.0220058j -0.240894-0.206458j 0.0319382+0.117688j -0.0730432+0.237937j -0.15615-0.221299j 0.00256733-0.130404j 0.0938148-0.256903j 0.440345+0.0294043j 0.233437-0.0597549j 0.0833119-0.145689j -0.0749302-0.110183j -0.302288-0.475837j -0.255444+0.0458257j 0.385193+0.481883j -0.495281+0.376653j 0.260971+0.031904j -0.0263129+0.574672j -0.475318-0.0754915j 0.315015+0.715563j -0.0109434-0.0740925j 0.214845-0.676419j -0.626239-0.0725114j 0.544914-0.0132336j -0.185426+0.466785j -0.149074+0.0586763j -0.551745+0.121108j 0.123445-0.151911j 0.0260362-0.218238j -0.0787656+0.0971384j -0.136857+0.353318j 0.00268743-0.257906j -0.0943317+0.35368j -0.0381274+0.0146724j 0.363499+0.0962115j -0.326078+0.406013j -0.0167792-0.0272965j 0.639419+0.50031j 0.104708+0.588451j -0.149305+0.702775j 0.0671533+0.0751243j 0.793701-0.569184j 0.366681-0.36913j 0.335731-0.129004j 0.502909-0.53059j 0.0776587+0.0195744j -0.413172-1.1296j 0.066204-0.353095j 1.03788-0.336728j -0.0189386-0.426879j 1.02244+0.0575423j 0.180694-0.737825j 0.520048-0.646825j 0.105809+0.770284j 0.247484+0.0677529j 0.151726-1.05053j -0.216288+0.349058j 1.22462+0.0681065j -0.476988+0.566423j 0.539256+0.988248j -0.246941-0.0630706j 0.193033-0.076868j 0.317668-0.396112j -0.280335+0.334503j -0.471017-0.379037j 0.133407-0.912162j 
0.0544507-0.089172j 0.0498079-0.129563j 0.19326-0.190331j -0.0141286+0.0314379j 0.250987+0.18954j -0.184552+0.384423j 0.00453756-0.214638j -0.279899-0.00316732j -0.106753+0.220666j -0.0182672+0.363655j -0.134205+0.732632j -0.286688-0.0778815j 0.192968+0.185591j -0.400934-0.22524j -0.195135+0.0128527j 0.189793-0.0171675j -0.475106-0.138876j -0.239538+0.252361j -0.587633-0.202914j -0.0141513-0.130398j -0.813477-0.0303902j 0.214882+0.384539j 0.432673+0.150737j 0.255212-0.149686j -0.275052-0.480083j 0.0930775-0.207031j 0.27831+0.236809j -0.556653+0.0661692j 0.0714478+0.138973j 0.537689+0.0498547j -0.442435-0.285851j -0.325768-0.256127j 0.110493-0.279138j 0.806639-0.212473j -0.107713-0.249874j 0.424907+0.461334j -0.0682972+0.0293482j 0.491502+0.327512j 0.444667+0.114691j 0.644036-0.178251j -1.07376-0.085016j 0.0564084+0.352155j 0.333958-1.3872j 0.546053+0.0537598j -0.379806+0.191506j -0.297487-0.117827j -0.370279-0.192595j 0.0455768+0.427055j 0.731772+0.365397j -0.0118405-0.678636j 0.467219+0.440481j 0.128118+1.16586j -0.351192+0.321276j 0.678878-0.142732j 0.325347-0.717309j -0.125468-0.258584j -0.732241-0.262789j 0.482649+0.140186j -0.16557+0.189315j 0.0808821-0.0684475j -0.158362-0.356493j -1.30239+0.153333j 0.568941+0.442681j 0.146136+0.209005j 0.317698+0.0609495j 0.0511189+0.173421j -0.894526+0.397373j 0.0976686-0.522413j -0.438768+0.783721j 
-0.116843-0.177814j -0.118537+0.0847469j -0.132912+0.181394j 0.207952-0.616072j -0.250579-0.262568j -0.0595958+0.234945j -0.183023+0.0375513j 0.548272+0.222503j -0.0668902-0.472687j 0.117878-0.456892j -0.0777296+0.237944j -0.36014+0.0474576j 0.133411-0.168824j 0.612279-0.436637j -0.191349+0.298762j 0.291186+0.110488j 0.158373-0.0329495j 0.0150231+0.0956382j -0.161928-0.0585127j -0.244095-0.108494j -0.339687-0.188627j -0.266304+0.405888j 0.2613+0.16129j 0.767861-0.363181j -0.047491-0.067555j 0.71606+0.349819j 0.247903+0.00445375j 0.336863+0.216043j 0.166472-0.242221j -0.251671-0.226037j 0.265482+0.490536j 0.271113-0.000491643j -1.12584+0.19215j 0.591274+0.183669j -0.198801-0.459197j 0.108924-0.603438j 0.111805-0.0601752j 0.21106-0.963635j -0.909721+0.381206j -1.05604-0.229315j -0.113279-0.642624j 0.318261-0.0647771j 0.359638+0.164817j 0.168701-0.0501281j 0.951958+0.625761j -1.12994+0.52372j 0.351711-0.123986j 0.442706-0.0124827j 0.0825266-0.466517j 0.314814-0.218915j -0.320883+0.766813j -0.363946+0.084295j 0.319408+0.0782199j 0.311363+0.0497684j 0.562314-0.254549j 0.132844-0.200124j 0.283649-0.416986j -0.085356+0.0923755j -0.53522+0.101361j -0.109422+0.58791j -0.157914-0.68285j -1.00451-0.0964307j 0.253836-0.151652j 0.173035-0.702173j -1.07865+0.325342j -0.75745+0.654194j 0.0355691+0.417712j -0.277569+0.590807j 0.53664-0.130052j 
-0.146051-0.215801j -0.227444-0.0306699j -0.133797-0.319669j 0.0383314+0.119131j -0.322809-0.556609j 0.538572-0.228264j 0.249187-0.0619516j 0.161806+0.038649j -0.114101-0.227125j -0.461535+0.215983j -0.510909+0.01268j -0.0294054-0.085485j -0.00708936+0.371037j -0.309213-0.265474j 0.00636638-0.785602j 0.264509-0.250958j 0.0352154+0.483486j 0.0963291-0.137538j -0.384191-0.182623j -0.269063+0.22407j 0.404612+0.100772j 0.251356-0.126988j -0.115458+0.0336898j 0.529188+0.170233j 0.343159-0.679371j -0.00329523-0.0922424j -0.114024-0.472998j 0.124699-0.204245j 0.343146-0.161853j 0.112557-0.209142j -0.41359+0.619175j -0.561899+0.167026j -0.457704+0.663184j -0.692034+0.264136j 0.703009+0.852227j 0.0432936-1.00323j 0.126059-0.288338j -0.204387+0.115516j -0.0161587-0.0737596j 0.392529-0.0547109j -0.0456876-0.381703j 0.191627-0.242703j 0.514912-0.186639j 0.60479+1.38073j 0.211845-0.258223j 1.00457-0.472577j -0.721216+0.319212j 0.152987+0.096477j -0.0165482-0.17776j 0.0381454-0.320472j 0.0486891-0.208953j -0.900146-0.298396j 0.589134+0.184988j -0.267196-0.184843j 0.251899-1.47476j 0.415983+0.246831j -0.479132+0.0251158j 0.149214-0.518492j 0.293616-0.152586j 0.143652-0.100436j 0.184713+0.0292109j 0.0849354-0.293671j 0.108205+0.805448j 0.488381-0.729031j 0.566249+0.374899j -0.524629-0.611706j 0.609811+0.161532j 0.391064+0.490915j 0.230561+0.262491j 
0.214738-0.25264j -0.318422+0.170841j -0.241299+0.169736j 0.663647-0.454229j 0.0434187+0.169303j 0.403984+0.354303j 0.452008-0.0759334j -0.300585-0.382693j -0.456411+0.197402j 0.121881-0.153316j -0.0106547+0.0476718j 0.0938238-0.0534013j -0.249446+0.0759843j -0.186107+0.131986j 0.313502+0.210407j -0.746018-0.351576j 0.0328178-0.276236j 0.299414-0.00395774j 0.0454861+0.013108j 0.197984+0.623768j -0.258891-0.0585369j 0.46377-0.369062j -0.213995+0.280715j -0.378747+0.0667182j 0.0638731-0.346148j 0.52756+0.75254j 0.177841+0.319448j 0.0516247-0.0498954j 0.538831+0.289839j 0.0968729-0.117761j 0.383692+0.692017j 0.200568+0.349776j -0.544329-0.64466j 1.27656+0.0471639j 0.509029+0.983645j 0.288069+0.0995706j 0.986157-0.108413j -0.113415+0.593951j 0.289359+0.690964j -0.683751+0.168984j 0.358855+0.242798j -0.525506-0.199961j 0.0238605+0.028895j 0.511873-0.153339j -0.190531-0.0253385j 0.619194+0.208234j -0.152765-0.061635j -0.322823-0.750469j -0.164799-0.214121j -0.205319+0.030912j 0.725948-0.141336j 0.537955+0.253767j -0.955108-0.297904j -0.763961+0.708976j 0.0147954+0.194472j 0.251451-0.32371j -0.462935-0.104251j -0.16275-0.527387j -0.891916+0.189117j 0.95012+0.0550917j 0.286291+0.87895j 0.0106149+0.200253j -0.105078+0.635099j -0.481545+0.458758j -0.479769+0.0151936j -1.05079-0.191452j -0.263674+0.044874j -0.288821+0.386564j 0.00820089+0.288246j 
-0.447346+0.298446j 0.419077+0.106871j -0.281588+0.322469j 0.0555147+0.142859j 0.404527-0.348537j -0.205095+0.180275j 0.333969-0.0170994j -0.00437815-0.421187j -0.33827+0.1491j 0.635125-0.0938199j -0.496682+0.0600091j 0.374278+0.213332j 0.152439-0.193661j -0.181818+0.186712j 0.428515-0.0630039j 0.22131-0.263346j -0.334438+0.413289j 0.203727-0.277259j -0.283639-0.793846j -0.22058-0.335564j 0.0889991+0.239763j -0.480389+0.0687278j 0.41743+0.483612j -0.284396-0.100981j -0.220973+0.291364j 0.0575363+0.0742633j -0.407958-0.057732j -0.0204865-0.0911176j -0.475877-0.821967j 0.0707907-0.00292918j 0.180534-0.547727j 1.06542+0.678782j 0.351717-0.391084j -0.221875-0.0855876j -0.151696-0.178376j 0.557214-0.20521j 1.46195-0.057011j -0.270873+0.520115j -0.0665411-0.0597426j -0.35481-0.193453j -0.231692+0.0989614j 0.66576-0.475674j -0.11013+0.338437j 0.687624+0.749102j -0.685752+0.165415j -0.412903+0.222792j -0.278148-1.06161j 0.213772-0.517746j -0.487626+0.497683j -0.195459-0.695628j 0.101371-0.415786j -0.140068+0.17973j -0.607137+0.101089j 0.35194+0.288918j 0.469199-0.14781j 0.395448+1.27073j -0.0643414+0.211297j 0.977231-0.126552j 0.426768+0.276604j -0.496488+0.213689j 0.532655-0.230962j 0.125118+0.0556533j 0.400481-0.40563j -0.373778+0.446306j -0.7575-0.207503j -0.00133014+0.206138j 0.387011-0.361221j 0.428954-0.156235j 0.0882618-0.0739887j 
0.639443+0.221519j -0.0552394+0.414202j -0.29072+0.114527j -0.438903+0.0516403j -0.178481-0.340011j 0.0328461+0.432611j 0.129784-0.453769j -0.282676+0.257195j -0.0313132-0.384907j 0.315242+0.560584j -0.496381-0.204034j -0.233774+0.343888j 0.348324-0.323021j 0.0261429-0.87001j -0.0134651-0.0891387j -0.34134-0.0155656j -0.385123+0.235261j -0.655259+0.301906j 0.177197+0.388367j 0.0549698+0.435145j -0.0686613+0.180285j -0.268787-0.259966j 0.249047-0.483275j -0.208088+0.236274j 0.0859291+0.0661751j 0.0156603+0.27461j -0.105771+0.13024j 0.088091-0.274831j 0.0306517+1.32504j 0.0804423-0.0604269j 0.83042-0.043614j 0.0165143+0.285196j 0.302805+0.24789j -0.173998-0.255294j -0.140332-0.244472j 0.379054-1.13016j 0.752514+0.495635j 1.32939-0.414165j 0.0924377+0.133936j 0.552946+0.935626j -0.226834+0.151228j 0.0141735+0.524502j 0.58016+0.615853j 0.401463+0.817065j -0.885473+0.192509j -0.229695+0.198333j 1.01825+0.322916j 0.0865718+0.306411j -0.176901+0.0974841j 0.350406-1.08579j 0.537952+0.494926j 0.109177+0.0441386j 0.633809+0.545473j -0.846648-0.513964j 0.244711+0.0836173j -0.12203-0.554599j -0.198795+0.750801j -0.615569+0.415681j -0.0771875+0.155991j 0.428652+0.49188j 0.420913-0.0103463j 0.0262868+0.0309535j -0.0501706-0.374976j -0.023399+0.366601j 0.114689+0.282064j -0.0160917-0.138934j 0.0434543-0.205577j -0.146569-0.0667618j -0.165094-0.0201545j 
0.0747262+0.0214927j 0.0482515+0.150215j -0.200919+0.0435152j 0.168766+0.201643j 0.0795784-0.164782j 0.447046+0.136971j -0.127298-0.131061j -0.0161301-0.320462j 0.315815+0.20941j 0.0208536+0.101611j -0.109143+0.171847j -0.621359-0.118462j -0.254808+0.144927j -0.000174132+0.256112j 0.0634588+0.160552j 0.363877+0.46779j 0.480927-0.0435866j 0.31418-0.625371j 0.298739+0.337066j -0.0273812-0.018305j 0.0772033-0.509863j 0.836759+0.341721j 0.876908-0.271721j -0.388102-0.705521j 0.382052-1.42519j -0.0945144-0.472651j 1.07721+0.628101j -1.77779-1.0729j -0.0627008-0.237628j 0.479417-1.10458j 0.0251806+0.171719j 0.192391+0.136095j -0.0900219-0.0992942j -0.101702-0.272253j 0.17386+0.210563j -0.110621-0.30849j 0.0191093-0.00694462j -0.300616+0.0267618j 0.0760498-0.561337j 0.0657217-0.0128507j -0.42742-0.401105j -0.292857-0.351256j -0.152857-0.452487j -0.133085-0.0103781j -0.672356+0.524703j -0.403649+0.375607j -0.140265+0.186943j -0.309352+0.538271j -0.824581-0.45457j -0.447939+0.658324j -0.36259-0.232578j -0.710467-0.022576j -0.117086-0.15151j -0.235679-1.46041j -0.234147+0.664667j -0.236423+0.00606706j 0.0210669-0.38845j 0.93768+0.279142j -1.28562+1.02902j 0.523711+0.713521j 0.575632-0.683213j 0.714655+0.218897j 0.323508+1.39567j -0.0328155-0.510599j 0.0513347+0.487336j 0.80636-0.316007j -0.908771-0.251001j 1.2068-0.659133j 0.935588+0.743952j 
0.0383371+0.0840559j 0.0213514+0.222814j -0.266103+0.271617j -0.0343862-0.001166j -0.0722401-0.16976j 0.173822-0.454655j 0.0672859+0.223337j 0.327653+0.0884239j 0.0103033-0.308048j 0.00981951-0.409127j 0.520503-0.470236j 0.501997+0.510481j -0.330382-0.15183j -0.0891857+0.400179j 0.0301404-0.218043j -0.267671-0.511091j 0.320451+0.381429j -0.0126899+0.0487191j -0.851097-1.0761j -0.762052+0.040511j 0.399636+0.222235j 0.368857+0.53359j 0.230512+0.240274j 1.06175+0.00460549j 0.960932-1.03334j 1.16513+0.792425j -0.514896-0.311394j -0.370305-0.955193j -0.172669-0.0847729j -0.122617+0.635488j 0.48739-0.0848271j 0.400528+0.134709j 0.00910072+0.109615j -0.745389+0.206219j 0.240615+0.156982j -0.257822-0.213846j 0.0543778-0.0226543j -0.423386-0.213551j -0.427059+0.111946j -0.473464+0.353998j 0.248544+0.844634j -0.232227-0.376388j -0.721583+0.300353j -0.528081-0.173164j -0.23242+0.050483j 0.592311-0.415327j 0.0087654+0.198009j 0.578215-0.565621j 0.295936-1.01525j 0.482564-0.409164j 0.300486+0.135625j 0.70312-0.612757j 1.2101+0.994293j 0.0497292+0.701889j -0.711826+0.603351j 0.4157+0.893392j -0.617055+0.0173489j 0.385667+0.531682j -1.00938-1.02822j -0.551884-0.0778225j 0.48155-0.849147j 0.286879+1.32244j 0.239474+0.466253j 0.805764-0.308387j -0.698347+0.694053j -0.839597-0.843415j -0.155005-0.91373j 0.88927+0.260583j -0.800836-0.5445j 
0.246844+0.215163j 0.187627+0.0804408j 0.130277-0.173199j -0.182725+0.614819j 0.0925507+0.599552j -0.0881443-0.113356j 0.1279-0.290389j -0.52715-0.794205j -0.228322+0.26475j -0.202013+0.377889j -0.594209+0.25881j 0.144683+0.594965j 0.293944+0.155573j 0.441377-0.389012j 0.770663+0.00753521j 0.64199+0.536209j 0.126954-0.311082j 0.379047+0.560517j -0.291296-0.532719j 0.400742-1.13829j 0.60208+0.276279j -0.701609+0.458276j 0.331297-0.87557j -0.521028+0.252079j 0.132365-0.548156j -0.186751+0.834632j -0.483712-0.470557j -0.574199+0.573102j 0.0102339+0.291527j 0.776195-0.421357j -0.141795-0.465943j -0.123984-0.00329126j 1.04162-0.290059j 0.185241+0.0924034j 0.301896+0.100207j -0.1479+0.253346j -0.0531728-0.064992j -0.82488+1.11829j 0.471468+0.187974j 0.354984+0.556074j -0.890962-0.048465j -0.0814602+0.413217j 0.624391+0.185975j 0.244938-0.167082j 0.421215-0.0925088j 0.700431+0.916017j 0.468794+0.0704375j -0.880159+0.715438j -0.274022-0.00596523j 0.746122-0.565374j -0.668188+0.43869j -0.178221+0.411487j -0.816875+0.334307j 0.640382+0.196567j -1.31656-0.580446j -0.453716-0.175513j -0.114494-0.0384081j 0.661771+0.338831j 0.596186-0.199197j -0.337423-0.825155j 0.48111-0.453725j -0.553444+1.47408j -0.296211-0.464493j 0.701055+0.701195j 0.100111-0.64922j -0.626059-0.873212j 0.13515-0.0649961j -0.615369-0.734828j 0.0277308+0.944052j 
0.191245+0.172262j 0.177345+0.122127j 0.146123+0.33106j -0.00965879-0.391796j -0.0665498+0.389983j -0.568762+0.0988733j -0.240147+0.322508j -0.0050537+0.0720157j -0.099809+0.246991j 0.776698-0.168472j -1.04249-0.216119j 0.071136-0.542911j 0.450325-0.241791j -0.34207+0.329714j -0.00866397+0.68327j 0.671332+0.0733711j -0.268442+1.12118j -0.0817244-0.327914j 0.652567-1.00054j -1.13194+0.521008j -0.0630924-0.836762j -0.349839-0.0673324j 0.444614-0.0442472j 0.104017-0.177858j 0.606289+0.672533j 0.829472-0.304483j 0.629998+0.122644j 0.0433585+0.008396j -0.146878+0.224812j 0.543583+0.280127j 0.374102-0.514085j 0.302162-0.292838j 0.0446599-0.0171442j 0.382498+0.38896j -0.429003-0.542612j -0.497142+0.240261j 0.0830402+0.345596j 0.399087+0.492733j 0.137361-0.0906262j -0.873957-0.558552j 0.365747-0.996072j 0.26094+0.504124j 0.906467+0.240874j 0.210921-0.983152j -0.900326-0.358754j -0.27645+0.0385379j 0.021009+0.46514j 0.672604+0.0319989j 0.432709-0.400892j 0.311671+0.5433j 1.13558-0.158201j 0.0100878+1.38408j -0.194631+0.894604j 0.072123+0.374315j -1.78347+0.0210195j -0.785899+0.990617j -0.326756+0.897828j 0.67038+0.497178j 0.0757168+0.068959j -0.325124+0.489782j 0.212265+0.0626385j -0.552467-0.402205j -0.578417-0.293691j 0.315897+0.280439j -0.849942+0.881057j 0.633138-0.0556453j -0.297225+0.530263j -0.344894+0.331304j -0.396682+0.380627j 
